title,content,rating,username,genres
Iron Man 2 (Short Movie Review),Positives:Robert Downey Jr.The first actIdeas with potentialNegatives:Second and third actsInconsistent story and pacingVillain(s),6.0,Anonymous,"Action, Adventure, Sci-Fi"
Iron Man 2 is Totally Worth it.,"For some reason this movie had not been getting the greatest critic reviews. I do not understand that at all. I thought the movie was very enjoyable and a successful sequel in the series.For anyone who has seen the first Iron Man you can expect much of the same in this movie. Robert Downey Jr. plays Tony Stark like he is meant for the part. He has the same sarcastic wit and self-confidence that is evident in his other movie roles. Gwyeneth Paltrow, as Pepper Potts, has a comes more to the forefront in the sequel. I also personally love that Jon Favreau is the driver for Stark/Potts, and that he gets into the action a little bit. You have to respect the director for that, even though Jon has done plenty of acting himself.Normally in when they replace someone in a sequel with a different actor/actress I am very upset. However, Don Cheadle replacing Terrence Howard in Iron Man 2 as War Machine/Lt. Rhodes made me happy. This is similar to what happened with Maggie Gylenhal in the Dark Night.Samuel L. Jackson playing Nick Fury has a bigger role, and it leads all the viewers into wanting The Avengers movie to come out immediately. Scarlett Johansson also showed up with some impressive stunt work, along with her always gorgeous looks.All in all it was a well done sequel. The plot is not too convoluted to follow. The new villain, played by Mickey Rourke, is very impressive and fun to watch. The action scenes are all entertaining but they do not completely drive the movie. The only thing that I wished for leaving the theater was a longer final fight scene.Also, make sure to watch after the credits!! It is short, but worth it.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Awesome suits,"This movie contains some throughly enjoyable moments that are on par with some of Downey Jnr's highlights as Tony Stark. The relationship between Pepper and Tony is taken further and built upon brilliantly in this movie. It contains some really cool and innovative action scenes which are taken for granted now. However the poor villain, a pattern in Iron Man Solo Outings, and the lack of direction meant this is easily the poorest Iron Man Performance. It's still an entertaining watch but you wouldn't be wrong if you skipped this movie when rewatching MCU Classics.",,Anonymous,"Action, Adventure, Sci-Fi"
"Great beginning and end, not so great in the middle","At its high points - the first act and the climax - Iron Man 2 is actually better than the first film. Everything up to and including the action scene in Monaco is just great fun to watch: the action, the character interactions, and of course Robert Downey Jr's wonderful portrayal of Tony Stark. And the action scene at the end is pretty epic.The problem is, the film just stops being so much fun in-between. In a large proportion of this time, it's either going too slowly with little happening that's exciting or even particularly interesting, or it's providing some silly moments like Iron Man lounging on a giant display donut. To be fair, there's no problem with the many subplots this movie has: they all blend together quite smoothly.The acting in this film deserves credit: almost everybody does a great job. Robert Downey Jr and Gwyneth Paltrow are just as entertaining as they were in the first film, Jon Favreau gets more to do as Stark's chauffeur, Don Cheadle is actually a little better than Terrence Howard as Rhodie (again, maybe because he has a bigger role), Mickey Rourke portrays a decent but overall ordinary villain, and once Scarlett Johansson is allowed to do something substantial with her own action sequence, she's well worth watching. The only weak link is Sam Rockwell as Justin Hammer, who gets quite annoying after a while.Overall, Iron Man 2's slow middle section prevents it from being better than the first film as a whole, which is a shame considering how brilliant the beginning and end segments are.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
"Acceptable sequel packed with frantic action ,thrills, moving scenes and dazzling production design","A well-intentioned and interesting plot based on the characters created by Stan Lee and Jack Kirby , following the events developed in ¨Iron Man I ¨ and repeating the main actors . Because of his superhero alter ego, Tony Stark (Robert Downey Jr) must contend with deadly issues involving the government, his own friends and new enemies . With the world now learns of his dual life as Stark is submitted to the armored pressure from the government, the press, and the public to share his technology with the military , being only helped by SHIELD agency formed by colonel Nick Fury (Samuel L. Jackson) and Black Widow (Scarlett Johansson) . Unwilling to let go of his invention, Stark, along with Pepper Potts (Gwyneth Paltrow), and James ""Rhodey"" Rhodes (Don Cheadle) at his side , must forge new alliances and battle evil enemies as Vanko (Mickey Rourke) and Justin Hammer ( Sam Rockwell). Heroes aren't born !. They're built !. Get ready for a different breed of heavy metal hero !. Prepare for heavy metal! Even heroes fall !. Unleash the power behind the armor !. It's not the armor that makes the hero, but the man inside !Nice performance by Rober Downey Jr as superhero Iron Man, the billionaire inventor named Tony Stark who faces powerful enemies . This spectacular comic-book movie contains fantasy , noisy action, humor , romance , thrills and is pretty entertaining. This is a dynamic, fast- paced and fun movie . Full of action , it's complemented by exciting images, thrills and breathtaking scenes , including groundbreaking computer generator special effects . The picture relies on terrific flying sequences , rousing fighting , and relentless pursuits . The attractive story is made believable and the script has more pace to it than former film titled ¨Iron Man I¨ also directed by Jon Favreau ; both movies result to be an intense variation on Stan Lee's comic book creation . Our superhero, well incarnated by Downey Jr dons splendidly the metallic armor , the reason for he can be identified the rest of his life as Iron Man and he deserves credit for remaining true to character . Breathtaking array of technical effects with impressive set pieces illuminate the Iron Man's full-blown adventures . The amazing plot is pure entertainment and with screenplay by actor/writer Justin Theroux , based on characters created by Stan Lee , as usual appears in a brief cameo . Overwhelming production design , though full of digital effects with impressive scenes and portentous fights . Rousing musical score fitting to action by composer John Debney and colorful cinematography by cameraman Matthew Libatique .The motion picture was professionally directed by Jon Favreau , an ordinary secondary actor who triumphs as fimmaker with ¨Zathura¨, ¨Elf¨ , ¨Iron Man I¨and of course in this ¨Iron Man 2¨ .This big budgeted movie was compellingly made by John Favreau , directing brilliantly this superhero story . Subsequently , Favreau shot other spectacular and family movies with similar technician and artistic style : ¨Jungle Book¨ (2016) and ¨The Lion King¨ (2019) . Rating : Interesting and passable sequel .",6.0,Anonymous,"Action, Adventure, Sci-Fi"
Solid action-packed funny sequel,"I liked it a lot better than the mixed reviews I was reading would have led me to believe. It's not as fresh as the original, but the charisma and humor were there, and so were some great surprises. RDJ was amazing as always - it's hilarious that Iron Man is a funnier superhero than Spiderman, but the improv makes it work. Thumbs up! I think that anyone who enjoyed the first movie will like this as well, and enjoy a great thrill ride! And don't forget to stay after the credits for yet another Marvel movie tie-in that leads towards the inevitable Avengers movie in 2012! Don Cheadle did a good job - ScarJo was good, but not what I imagined the Black Widow to be like, but she *was* hot... And Gwyneth did her usual impeccable job. Mickey Rourke added weight to what could have been a cardboard cutout stereotype, and Sam Rockwell's character, though annoying, was well played.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
"Clash, Bang, Boom! Tony Stark is back.....","Jon Favreau knew exactly what he was doing with this movie. This is a sleek, no-holds barred superhero movie, with great performances from Robert Downey Jr. and Mickey Rourke. Let's face it, it was almost impossible to top the first one; nevertheless this a good sequel to one of the best superhero movies ever made.Scarlett Johansson fulfilled her role as the the sexy and cunning agent Natasha Romanoff, and Gwyneth Paltrow is fine as Pepper Potts. Sam Rockwell plays Tony Stark's competitor, and does a pretty good job at it.The only problem I have with this movie is that too many things have been fitted into 124 minutes. I understand that the movie was meant to be a roller-coaster ride, intended to thrill, but a little more character development would certainly have helped the movie. For example Samuel L. Jackson ans Johansson's characters are underused. Also, the ending was a little disoriented and predictable; something just didn't feel right about it.All in all, Jon Favreau has made a movie that would please the fanboys and satisfy the critics. This is a movie that entertains, while still complementing the first movie, and setting up a third movie. If you liked the first movie, just go ahead and watch this movie - you won't see a masterpiece, but you'll have a fun day at the movies.P.S.- Watch out for the after credits scene",7.0,Anonymous,"Action, Adventure, Sci-Fi"
A Nutshell Review: Iron Man 2,"Downey Jr continues his smirky role as the playboy and laissez-faire persona of Tony Stark (no Downey Jr, no Tony Stark I'd say!), now facing a life-threatening intoxication situation, and constantly having to deflect the US military's interest in and compelling him to turn over the Iron Man suit. Then of course there's the romantic angle with Gwyneth Paltrow's Pepper Potts who gets expanded screen time here, to whom he hands over Stark Industries to by appointing her CEO. I had enjoyed all the scenes between Paltrow and Downey Jr as they shared great chemistry, and didn't mind that the film took the pause from the action to throw the spotlight on this. In fact, Stark is pretty much the Santa Claus in giving away things, having to face his mortality and to put some business continuity plans into motion. A little too bad that the scene in the teaser trailer highlighting the banter in the plane didn't make it to the final cut.But all work and no play makes him a grumpy soul, so enter Scarlett Johansson as Natalie Rushman, his new sexy private secretary from the legal department who is more than meets the eye. Johansson has now proved that she's got it in her to be in an action film, and her limited action scenes here will surprise and leave you breathless. Mickey Rourke seem to have picked off from his Wrestler role in playing the Russian villain Ivan Vanko, riding on the parallel and theme of Fathers and Sons, whose father was seemingly played out by Howard Stark, and is finding it apt to finally take it out on Stark Industries using similar technology the earlier generation developed, and now backed by sugar daddy industrialist Justin Hammer, played by Sam Rockwell. Rockwell plays the classic business rival bitterly humiliated by Tony, and from observing Ivan's potential, decided to bankroll the Russian's capability for the US military. Hating a man in common make for strange bedfellows indeed.Cameo wise, there's Stan Lee if you can spot him in a brief moment, probably his easiest and non event-filled one to date given he's just standing around, Samuel L. Jackson continuing his role as Nick Fury of SHIELD, now assessing Tony Stark to determine if he's indeed the man they need for his top secret boy band, Gary Shandling as the senator pursuing the weaponization of the Iron Man suit for the military, and of course, director Jon Favreau himself who continues his role as Stark's chauffeur Happy Hogan, and you can tell his acting itch from his expanded role in getting in on the fun rather than just solely standing behind the camera.But of course the tongues will wag whether Don Cheadle can pick up from where Terrence Howard left off. Whatever the reason may be for the latter's departure, he will likely be kicking his behind now for leaving the project. That anticipatory look Rhodes had in the first film at the metal suit worn would bring a smile to any fanboy in the know of what would be the next logical step, and frankly speaking I would have enjoyed some continuity here. But having a different actor in a role done by someone else in a preceding film isn't something new, and Cheadle stepped in confidently from the start, helped by the script which puts it in point blank terms that he's there now, and they should move on. Well said, and great job on being War Machine, in a best-friends-temporal fallout subplot which accounted for the action at the midway mark.Justin Theroux, who wrote the screenplay for Tropic Thunder, took over the scriptwriting for this film, doing the narrative justice with plenty of fan-moments, and oh-not-so subtle merchandising opportunities that Tony Stark would be proud of. The excellent casting has the brilliance of Theroux's story to thank for in keeping the many subplots in check, making Marvel fans happy through the plenty of easter eggs peppered around, coming up with an intoxication of a different sort for Tony Stark to deal with and a chance for him to go back to the drawing board, getting his hands dirty with the building of something.Action-wise, yes there is only a handful of them, but each of them brought something to the table in terms of excitement, thrills and spills. The special effects and graphics here were one up against the previous film, and it was a definite visual feast especially when suits got up against suits, warranting a second look at the film just to catch everything that's happening at the same time. The finale was a full 30 minutes worth of action end to end and features the Iron Man-War Machine tag team up, which served up a lot more than what we've all glimpsed from clips here and there. Singapore, this is yet another opportunity to be proud of with our compatriots also involved in the visual effects department, ala Kick-Ass.Iron Man 2 is set to convert the non-fan, and is crafted so that newcomers to the hero could jump right into the fun without needing to watch the first one (why haven't you!). For Marvel fans though, you have Jon Favreau to thank for whetting all our appetites in making this film the teaser to the other upcoming Marvel films such as Captain America, Thor, and I will be right there to holler Avengers Assemble! when the time comes. Stay until the end of the credits for a scene which will make you salivate. A-One!",10.0,Anonymous,"Action, Adventure, Sci-Fi"
And that's coming from a neutral viewer:Iron Man's astonishing return!,"At first, when a heard about a second installment, i thought, i was unsure in it, because Jon Favreau is relatively new on the director's chair, so could he pull of another classic superhero movie?The answer is simple-YES! I saw it in its opening day and the theatre was full.I went along with a few friends, and all of them loved it!Here are some things, we all agreed we liked.CHARACTER DEVELOPMENT:It was pretty good in this movie-making aspect, although it is an action movie, there is some quite exciting development, especially the leads.Don Cheadle made a perfect substitute of Terrence Howard, and looked pretty good in the movie.So did the Gwyneth Paltrow and Scarlet Johansson's heroines.For me, Scarlet is one of the most gifted and talented and in the same time, the most beautiful actresses in the last decade and even more.And last, but not least, of course, the Iron Robert Downey Jr., making one of his unique, specifically for him, roles.He is smart, funny and in the same time, well, action hero type of guy-he adds so much to this otherwise, stereotyped role.Sam Rockwell was a little irritating, but that's what his role is supposed to be, and to those who have doubts, yes, Mickey Rourke made a decent and interesting role again.TIMING:Almost perfect, except, maybe, the opening credits and a few over timed scenes afterwards, everything was alright and on the perfect spot.PLOT/STORY:I finally can say it-YES, the day has come.A day, where superhero movies haven't got just CGI, put a pretty decent story, attached to the normal amount of CGI.Well, hard to say normal, a little bit over-the-top, but nonetheless fun, when you get use to the headache.The humor was perfect, brilliantly touched to the smallest line.And most importantly-it's not that predictable-i don't mean the ending, but the development, leading to it.Excecutet skilfully, when looked from this point of view.CGI:10/10, nothing else to add.Believable Flawless.Perfect.With no big flaws or plot holes, very funny dialogue, skillful acting and good directing, Iron Man is definitely the best movie of the year so far.The perfect blockbuster as well.I'm glad a saw it, and if the first one didn't made me a fan, this one did.I can't wait to see it again.Cheers to Iron Man Amazing! I would've given this a ten, but with some very few weaknesses, i'll lower this a little, although it did make me a bigger fan than before...My rate: 7.5/10",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Really good sequel,"It isn't as good as the original but Iron Man 2 is still a really good sequel. Robert Downey Jr. once again gives an incredible performance and is extremely charismatic. Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Samuel L. Jackson and Sam Rockwell all give great performances. Jon Favreau's direction is really good and it's consistently funny. The CG is impressive and the music by John Denney is good. However, Mickey Rourke is wasted as a forgettable villain and the final battle is a little short.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
"Doesn't reclaim the originality and fun of the original, but it'll do.","I went to go see this with a friend on Saturday night. Now, I heard the film from others that this a step or two below the original, but I went in with an open mind. By the time the movie was over, I was pleased. But then, after thinking about it more, this is a disappointment. The film is drastically different in pace. Honestly, it gets a bit of a bore for awhile, which never happened in the original. Sometimes, its just hard to take this film seriously as a superhero film. In my opinion, the overwhelming number of laughs and silliness in this film makes it hard to take seriously. There is a large list of new things in this sequel. First, we learn much more about Tony Stark's father than we ever did in the original. Its quite interesting. Jon Favreau has a much, much bigger role in this film than the original, and I absolutely loved his role in the film. We learn his character has a personality. The talented Don Cheadle replaces Terrence Howard as Rhodey,and I actually liked him better in the role. They both seem so different in the role. There's Scarlette Johansson as Black Widow. I was honestly disappointed with her role in the film. It was too small, I thought. Mickey Rourke is raw and sinister as Whiplash, the main villain, and its a perfect fit. He does an absolutely perfect Russian accent. Sam Rockwell as Justin Hammer is a good fit for the most part, although it was hard for me to take his character seriously after awhile as a villain. Sometimes, it seems like all his character does is be funny. Samuel L. Jackson has a much bigger role in this film as Nick Fury (he had a credit ending scene in the original). In a way it succeeds over the original, but for the most part it doesn't. It's missing some of the excitement and originality that made the original a truly great achievement in film. This is quite a bit different from the first, and you may not like how different it is. I certainly didn't. Many new actors, and a whole different type of ballgame. There's a bit, I think, too much silliness in this film. But still, it'll do. Go see this. Its not as fun as the first, but its not as disappointing as Spider Man 3 was. And do be sure to stay after the credits if you're a fan of Marvel Comics. Make sure you notice Stan Lee's cameo in this as well. Its rather brilliant. Overall, good film.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Very mediocre and didn't live up to the hype,"Iron Man 2 isn't as bad of a movie that people say it is, although it isn't great either.
It is one of the weakest movies in the MCU, which was a surprise especially when Iron Man 1 was one of the best MCU movies.Tony stark doesn't have the same motivations and doesn't care if people get hurt, which is completely out of character for him, since he started being a Superhero because he realized how many people his weapons were harming.Not a good movie, watch it only if you really like Robert Downey Jr. Otherwise skip this movie.",6.0,Anonymous,"Action, Adventure, Sci-Fi"
I like it... a lot,"I went to the premiere last night and maybe it's because I've just discussed the movie with some friends that I'm still excited about it, but I truly enjoyed it. I don't want to spoil anything, so I'll only state that there's old,new and more depth. That said I may be a bit on the generous side regarding my score, but it contains some of my favorite actors and the performances to go along with it.Downey Jr performance is excellent and Rourke(!) is still a hero, though my Russian is much better. ;) The incredibly beautiful ladies in this movie are as stated. One thing I thought was a pity was that Scarlett Johansson could've been given more time on the big screen, but maybe next movie will sort that out.I'm not one to criticize the directors vision and I won't, seeing as it's like the last movie, but more fun stuff. The Stark character has some funny moments that you don't want to end. Cheadle and Downey seems to have a chemistry that really works, but it may be good performances (what acting is all about).Marvel action at its best and yes... I'm easily amused.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Excellent again,"I am big lover of superhero movies and I really enjoy in them and it looks like I found myself in them . I like when I see Batman,Spiderman or maybe Iron Man . I was very surprised when last year I read article in newspapers that in 2010 is coming Iron Man 2 . This is one of the most expected movie in this year . I am surprised with more one fact . Why is movie coming a week earlier in Europe than in USA . I decided that I will watch this movie because I expected it so long . Then I saw trailer in cinema and I knew that it will be something spectacular . I was so excited and I didn't want to miss it .When I saw this movie I knew it that I can't be disappointed . Whole first impressions were great and I thought that I will again watch one masterpiece . This movie is something what I can't miss . There are maybe few things which made this movie a bit worse but I don't mind it .Jon Favreau directed this movie and he acted Happy Hogan . His directing is always full of imagination and great sense for entertainment . His funny appearance entertained me . I can still say that he didn't screw this serial . I can also say that his directing was completely different from first one because from one simple movie we got one big astonishment . I knew that i can't be disappointed with his directing . I can still say that his connecting of every part was on higher level and he got the best from whole cast .Robert Downey Jr. as Tony Stark/Iron Man was again excellent . Looks like he is enjoying in acting of this superhero . I can see that he isn't missing chance of his life because now he showed how he can be so good . Actually I like his performance from Sherlock Holmes and Iron Man . His sense for fun and great action made this movie great . I couldn't believe that from one I can say boring acting to great relaxed acting . He is again showing simplicity of one superhero . He was so realistic .Mickey Rourke as Ivan Vanko was great . No matter what I liked performance by Jeff Bridges but Rourke was definitely better . He made this movie great . His damn good performance deserved award ""The Best Villain in 2010"" . I can say that every his appearance was superb . If someone made this movie more amusing than first that was him . I think that he is definitely great choice by Jon Favreau . His convincing acting and something what is called sense for acting was great . I can see that he was on level .Gwyneth Paltrow as Pepper Potts was again in one difficult role and she acted her role the best that she could . I can see that she was on level maybe sometimes she had some failures but again something what we could see in first part . Her role was difficult but she found herself in it . Maybe she wasn't the best part of movie but I can't say that her performance is bad . She sometimes was in some her world but good performance .Don Cheadle as War Machine or Rhody was pretty convincing . His acting was in some cool style and I was fond of it . He surprised me so much because I didn't expect strong performance by him . There were so much parts when he was on level . I was surprised because he made big progress because of weak performance by Terrence Howard in first part . He was also great choice by Jon Favreau . I think that this movie is really better made .Scarlett Johansson as Natalie Rushman was pretty good . She had good performance no matter what her appearance was based on her beauty what is definitely truth . Maybe sometimes she had some downs but many times she had her ups . I was very surprised because she was in some hand entertaining . Her movements were good and every scene was delighted with some her sense for appearance . I think that she is so good actress .Samuel L. Jackson as Nick Fury wasn't so good but he had a style . He is definitely valuable actor and you can see how his sense for acting .I think that this movie was the best of superhero movies .",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Iron Man 2 Kicks-Ass,"I'll put it very simply, I think this movie was really cool. Excellent story, visual effects, action, all of it combined masterfully to create a great film that delivers entertainment and style throughout, without sacrificing a good plot. It has all the right elements and the cool elements in a proper balance making it fun yet not dumb.I liked a lot Iron Man 1 and I think if you also did so, then you would most likely like this one too. I really like films of this genre like Batman Begins, The Dark Knight, Hellboy 2, Watchmen and I think both Iron Man films are up to the level. It's great to see that this sequel is as good or even better than the first one.I absolutely recommend this movie, it kicks major ass.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
