title,content,rating,username,genres
Booyah!,"Coming as it did after critical darlings ""Reservoir Dogs"" and ""Pulp Fiction"", it's perhaps not surprising that Quentin Tarantino's next film failed to - at the time - scale those giddy heights. Yet on reflection these days, when viewing Tarantino's career over twenty years later, it's one of his tightest works.Working from master pulper Elmore Leonard's novel ""Rum Punch"", Tarantino had a concrete base from which to build on, which he does with aplomb. Cleaving close to the spirit of Leonard, ""Jackie Brown"" is rich with glorious chatter, each conversation either pings with a biting hard ass edge, or alternatively deconstructing the vagaries of the human condition.Oh for sure this is a talky pic, but nothing is ever twee or pointless, for it's a film that pays rich rewards to those prepared to fully grasp the characters on show, to be aware that all is building towards the final third. It's then here where the story brings about its stings, with a complex operation cloaked in double crosses and evasive captures, of violence and more...There's a wonderful portion of the story that sees Tarantino play the same sequence out from different character perspectives, but this is not self indulgency. Tarantino reins himself in, not letting stylisations detract from the characters we are so heavily involved with. His other triumph is bringing Pam Grier and Robert Forster to the fore, who both deliver terrific performances. It's through these pair, with their deft characterisations, where Jackie Brown is most poignant and purposeful.Is it a case of ""Jackie Brown"" being undervalued in Tarantino's armoury? Perhaps it is? For it's ageless, holding up as a piece of intelligent work of note, and well worth revisiting by anyone who hasn't seen it since it was first released. 9/10",9.0,Anonymous,Crime
"Solid film, never a dull moment, great characters","Although different than some of Tarantino's more violent precursors,  such as ""Reservoir Dogs"", ""Pulp Fiction"" and ""True Romance"" this is an excellent film. Where it lacks in violence however, the film makes up for in language earning it an ""R"" rating in the US. In certain scenes, I thought it Tarantino went to far with the explicit language and it seemed awkward and artificial, but that does not cast a shadow of over what I thought was an otherwise fantastic film. The editing and directing is excellent. There is good character development of the main characters, yet there is not one scene where the movie drags throughout its entire 150 minutes. I couldn't tear myself away from this movie until the very end.Especially enjoyable is the performance by Robert Forster whose character I thought was outstanding. Max Cherry, played by Forster, is a tempered bail bondsman who cautiously handles his unscrupulous clients. One day he is approached by Ordell Robbie, played by Samuel L. Jackson, to post a bond for Jackie Brown, a middle aged flight attendant for a low cost airline who gets caught smuggling Ordell's fortune in Mexico into the US. The initial meeting between Jackie and Max sets up a relationship between these two characters on both professional and personal level and that changes Max from a methodical and business man to almost an innocent young boy with a crush. The last scene in the movie between these two characters is absolutely brilliant.I highly recommend this film and it's fun to watch Tarantino mature as a director. The little extras littered throughout the film such as ""Chick with Guns"", the fabulous locations such as the Cockatoo Inn, and the excellent characters make this film well worth a view.",8.0,Anonymous,Crime
One of my favorite Tarantino movies,"Jackie Brown is considered by many (myself included) to be one of Quentin Tarantino's best films and also one of his most under-appreciated. There's love for it but it isn't met with the same reverence as Reservoir Dogs and Pulp Fiction, or the same enthusiasm as his genre homages that followed. But it should be more widely praised as it's an exceptional movie. The direction is wonderful, the soundtrack is fun, and the script is full of memorable dialogue, as you would expect from Tarantino. The cast is terrific, led by '70s legend Pam Grier in her ""comeback"" role and Robert Forster in an understated performance that deservedly earned him an Oscar nomination. Every scene with Grier and Forster, separately or together, is a treat. As fun as Sam Jackson is, these two are what hold the film together and make it so enjoyable to watch over and over. For his part, Jackson does what you expect him to do. He's foul-mouthed and funny but still very menacing when he needs to be. Robert DeNiro and Bridget Fonda both offer amusing support. Chris Tucker has a brief but funny appearance. The movie has a lot of humor. That's one of the main things that makes it so enjoyable to watch over and over. It's a great film that probably holds more appeal to non-Tarantino fans than most of his movies do.",8.0,Anonymous,Crime
Tarantino's sleeper. An underrated gem of a movie.,"Many people were disappointed with 'Jackie Brown' when it was first released as it didn't live up to their expectations created by the more flamboyant 'Reservoir Dogs' and 'Pulp Fiction'. I admit that I was one of those disappointed fans. But as the years have gone by I have come to appreciate this movie more and more, and if you deal with what it IS and not what you thought it was going to be, you'll see that it is an underrated gem of a movie. 'Jackie Brown' is much more character driven and leisurely plotted than Tarantino's previous two movies. I haven't read the Elmore Leonard novel on which it was based so I can't tell whether this was a conscious decision by Tarantino himself, or it's because of the source material, but it might be a stumbling block for those with MTV-style attention spans. 1970s crime movie buffs will find it much easier going. The big names in the cast like De Niro, Jackson and Fonda are all very good, but the real standout performances in this movie are by 70s blaxploitation icon Pam Grier ('Coffy', 'Foxy Brown', 'Black Mama White Mama',etc.etc.) and a revelatory one from Robert Forster. Forster back in the day showed plenty of promise in movies like 'Medium Cool' but quickly found himself stuck in b-grade exploitation movies like 'Vigilante' and 'Alligator'. Fun stuff, but hardly Oscar material. Max Cherry is the best role he has ever been given, and he is superb in it. The fascinating thing about 'Jackie Brown' for me is that Tarantino's critics accuse him of making shallow and violent self-consciously hip crime films, but the central story of this movie concerns an inter-racial Middle Aged romance, something I haven't seen done in a believable or realistic fashion by Hollywood before. By doing this so well Tarantino shows he has much more depth, and is a much more interesting and braver film maker than his more acclaimed contemporaries. 'Jackie Brown' is a fine movie that hopefully one day will get the kudos it deserves. Don't overlook this one just because it isn't 'Pulp Fiction The Next Generation'!",,Anonymous,Crime
"Personally, I find it to be Quentin Tarantino's Masterpiece","Sometimes a movie requires more than one viewing. The first time I sat down to watch Jackie Brown, I wasn't so impressed. I didn't hate the movie, but I didn't love it either. I thought it was decent. The second time I watched it, I knew the plot already so I really got to indulge in the characters of the film. And thats exactly what the film is, it's a character piece.Those of you who expect an energetic, stylized, violent, comic book-esque film like Pulp Fiction will not get that from this movie. Its a lot more tamed, and to say the least realistic. I love Pulp Fiction, its one of my all time favorite movies. But I doubt in the real world there would be two hit men in matching black and white suits. The scenarios of that movie, while fun and totally entertaining, aren't too realistic. Jackie Brown on the other hand has totally real characters that don't come off as too over the top.All the actors in the movie are superb.The lead is played by actress Pam Grier who nails the role. Tarantino again shows you don't need an a-list actor to carry a movie. Grier plays Jackie Brown, an airline stuartess in her 40s. Samuel L. Jackson plays Ordell Robbie, a gun dealer who uses Jackie to bring him in money from Mexico. Robert DeNiro (in a smaller role for such a big actor) plays Louis, Ordell's friend who recent got out of jail. Bridget Fonda plays Melanie, a ""blonde haired surfer girl"" who lives with Ordell. Michael Keaton (my all time favorite actor)plays ATF agent Ray Nicollette who wants to take down Ordell. And Robert Forster plays Max Cherry, a bail bonds man. Without giving too much away, all of these characters in one way or another are all after $500,000 of Ordell's money. Every character in this movie is great and unique in their own way. But for me, Robert Forster steals the show. Max Cherry is without a doubt my favorite character in all of Quentin Tarantino's movies.To some people, this movie is just a crime/heist movie. But to me there is something quite beautiful to this movie. After a few viewings of the film, you will notice that underneath it all, this movie is really about two people. Jackie Brown and Max Cherry. Two people who are middle aged, lonely, and tired of their dead end jobs. Two people that meet in a very unlikely way. Two people that together figure out a way to steal $500,000 and get away with it. Take this movie however you want it. But to me, thats the heart of the movie, and thats why the movie works so well.In conclusion, Jackie Brown is not a graphic crime story like Reservoir Dogs or Pulp Fiction that preceded it. Nor is it a stylized revenge saga like Kill Bill vol. 1 & 2 that followed it. Instead it is a stand alone film. A wonderfully acted character study. And for me, an absolute gem of a film. It's Quentin Tarantino's underrated MASTERPIECE.",10.0,Anonymous,Crime
Pam Grier!,"What a film! Amazing ensemble, serpentine plot, all based on an Elmore Leonard novel. I enjoyed the film when it first came out but I didn't appreciate its complexity and the caliber of its acting as I did when I saw it the other day.A tired airline stewardess (Pam Grier as the eponymous character) sees a slim window through which she could escape to a more leisurely life. However, she will have to steal money from a nasty small-time arms dealer and convince the Feds she is trying to help them get the dealer. Can she make it work? On her side is bail bondsman Max Cherry (Robert Forster) who, we think, might want to squeeze out that window with her.However, she has to outwit the venal Ordell Robbie (Sam Jackson) who we see is not the nicest guy in the world. Robbie is assisted by the dim-witted pothead ex-con Louis (Robert DeNiro) and his possibly-smarter-than-she-looks snow bunny Melanie (Bridge Fonda).On the other is the law, in the person of Mark Dargus (Michael Bowen) and Ray Nicolette (Michael Keaton). She has to convince the Feds she is complying with the terms of her agreement with them and she has to convince Ordell that she is not scamming him. It's a hell of a balance. Can she do it?Great music, typically a-bit-too-clever dialogue as one might expect from Tarantino. Tarantino features LA's grittiness in a way that those of us Angelenos who know that the Southland isn't all Beverly Hills and Hollywood really appreciate. The acting is fantastic. You've never seen Robert DeNiro act like this. He's dopey with a lot of repressed anger. DeNiro gets the essence of a conflicted ex-con. Robert Forster is competent and confident. The chemistry he has with Grier is smoldering. Sam Jackson eats up the screen in his scenes. It's like shooting fish in a barrel for him.Pam Grier is phenomenal as Jackie Brown. You don't know just how honest Jackie is but you have sympathy for her from the get-go. Grier makes her gorgeous, smart, hard-working, sexy, confident, and diligent. It really is a shame that she hasn't had another role even APPROACHING one of this richness. It truly is a great role though and Pam Grier delivers in spades.",10.0,Anonymous,Crime
The forgotten one,"Out of all the films in Tarantino's career as director, JACKIE BROWN is the one people are least likely to have seen. This may be because it's the director's most subtle and relaxed movie, and also the only one in which the material he directs isn't his own; instead this is an adaptation of an Elmore Leonard novel. This doesn't mean it's at all bad, and in actual fact it's entertaining to watch Tarantino try something different for a change.Of course, his trademarks are still apparent for the fans. The dialogue is as zippy and frenetic as ever, and the characters the usual bunch of double-crossing low-lifes you'd expect to see in RESERVOIR DOGS and PULP FICTION. There's a huge set-piece late on in which takes place in a shopping mall that manages to be just as entertaining as the chop-em-up showdown of KILL BILL: VOLUME 1 even if the on-screen events are more laid back.As with every other Tarantino movie I've seen (all of 'em, with the exception of DEATH PROOF), the cast is remarkable for its breadth and daring. Once again, Tarantino isn't afraid to pick forgotten or non A-list types as central characters. When he incorporates A-listers, like De Niro here, he does an about turn and casts them against type. It pays off. De Niro is hilarious as a no-good hoodlum and seems to be loving the chance to play something other than a slick mob boss.Elsewhere, we get cult favourite Robert Forster (ALLIGATOR) who gives what I think is his best ever performance; Michael Keaton, playing a pretty weird/wired cop; Bridget Fonda as a stoner; Chris Tucker, not annoying for once; Samuel L. Jackson as a cold-blooded, almost reptilian character and, of course, Pam Grier. While I appreciate Grier's iconic status - I've seen a fair few of the '70s flicks that made her famous - I don't think she's quite the actress that Tarantino hoped for when casting her, but she's adequate at least. Add in a Sid Haig cameo and there you have it: a typically offbeat, original and enjoyable Tarantino outing with a cast to die for.",7.0,Anonymous,Crime
No Fancy Fireworks needed,"Contrary to Pulp Fiction which had a very unusual editing and flashy situations, Jackie Brown focuses more on characters that are basically humans with very focused problems, for instance getting older which is an eminent theme tackled in the film. No one's evil in all this. They all have interestingly real personalities and I felt strangely comfortable watching them talk, eat, kill and argue with each other. Tarantino is an excellent storyteller and I wish I could write dialogues as interesting as his. The film flows with a slower pace than Pulp, with all it's many streched takes and lenghty scenes, but by doing so leaves us more time to grasp the characters with all their differences. A more mature Tarantino. Still loving what he does. And he said it himself before the film came out: ""This one is at a lower volume then 'Pulp.' It's not an epic, it's not an opera. It's a character study.""",10.0,Anonymous,Crime
Authentic and well acted but it drags on for far too long,"Quentin Tarantino is a man between genius and madness who has created some of the best movies ever but also a few true Fails in my opinion. ""Jackie Brown"" is just between both extremes for me and is maybe his most unspectacular film to date.On the positive side, this movie is Tarantino's most organic one until now. The characters are more credible than usual, the dialogues aren't all too over the top and the story line is quite easy to follow. The movie includes no special effects, shock moments or unexpected twists and feels surprisingly down to earth for a Quentin Tarantino movie. From that point of view, it's a quite unique movie from him. The acting is authentic and very well done. Pam Grier plays an attractive and intelligent lady in her forties who starts the movie as a victim just to become the one who plays with each other character around her. Samuel L. Jackson does a convincing role as superficial but not dumb gangster. Robert Forster plays a bondsman and smart gentleman with a lot of charisma as well. He's the actor I somehow like the most in this movie. In addition to the movie's authentic mood and the great acting, the soundtrack is as always quite convincing as well and introduces us to many great Afroamerican musicians. I must though admit that I preferred by far the soundtracks of other Tarantino movies such as ""Kill Bill"" or ""Django Unchained"" for example.On the other side, the movie definitely has its lengths as many Tarantino movies. There are some more or less important endless dialogues that should have been shortened in my opinion. This movie would have just been fine with a running time between ninety and one-hundred-five minutes in my opinion. Apart of that, the story is not only down to earth but also quite unspectacular and there isn't that much going on in two hours and a half. The movie feels a little bit too simple at some points. Apart of the acting, the movie lacks of a true highlight. The killing scenes are really unspectacular and you don't see very much. It's the same thing for one single and quite boring sex scene. The movie is supposed to have a few humorous moments but they really aren't all that memorable. The showdown in the mall also lacks tension. It shows us the same scene from three different views which gets quite redundant. The only truly gripping moments in this movie are the first E encounter between Pam Grier and Samuel L. Jackson in her apartment and the scene when Robert Forster and Samuel L. Jackson go to the Office of the bondsman.In the end, this film could have been a standout movie in Tranatino's career because it's quite different from what he usually does. The film though fails from that point of view and drags on far too long and turns out to be quite unspectacular or even boring at some points. It all feels more like a theatre play where convincing dialogues by solid actors matter but not much more. I have seen far worse but also far better movies and I would only recommend this flick to die hard fans of Quentin Tarantino's works.",6.0,Anonymous,Crime
Underrated,"Being a huge fan of Tarantinos earlier efforts Reservoir Dogs and Pulp Fiction expectations were of course high. Especially since Jackie Brown is based on the Elmore Leonard novel ""Rum Punch"". And Elmore Leonards stories usually fit the big screen very well, they are actually one of the rare occasions where i usually prefer the film to the novel.Tarantino sets a different mood here compared to the more frantic and violent Reservoir Dogs and Pulp Fiction. This is more of a slow crime story that focuses more on being cool than being shocking. I think this movie works very well despite the slow pace which seems to put a lot of people off. Mainly i think it works because the actors are all giving it their best (the casting is also excellent) while Tarantino seems to handle the whole story more gently than in Pulp Fiction. He doesn't stress it, he doesn't run the risk of over-doing the ""cool"" parts. The end result is enjoyable but a lot more somber than what you're used to from Tarantino.All in all i feel this movie is underrated. It's enjoyable, well made and stylish. Recommended to those not demanding all movies to head on at breakneck speed. I rate it 7/10.",8.0,Anonymous,Crime
