title,content,rating,username,genres
A realistic glimpse into our history....,"I was reluctant to see this movie. As a veteran of Desert Shield/Storm, I spent my first 90 days in-theater in the Weapons Co of A Swofford's Battalion. I later was moved to the 1st Bn of 7th Marines, but having been in the same unit for some of the same time I felt I could offer readers a unique perspective on the film's accuracy.From a purely aesthetic perspective I thought the film was well done. The acting was very good, and the script was well written, witty, and accurate. The actors were well suited to their roles. My personal preference for a good plot would have been disappointed were it not for my personal interest in the film. In my opinion this film is an outstanding dramatic-documentary, so adjust your expectations accordingly. If you are expecting a driving plot line and all the accompanying dramatic tension, then I think you will be disappointed (as many whose comments I heard exiting the theater certainly were). But if you think of it as a chance to take a glimpse into a point in history, and see it as some of those who lived it did, then I think you will be impressed.Many people may think that the obscenity of some of the interactions was overdone for effect. But whatever anyone's personal judgment of that behavior, that is the closest portrayal of Marines (or soldiers) being themselves I have yet seen on screen. Marines are vulgar. They do watch porn. They do fight among themselves. They do both hate, and love, the Marine Corps. There is an omni-present anti-war conspiracy theorist. The do say ridiculous things. There are some who are over the line. The reality of the Marine Infantry is that things happen there every day that are well beyond conventional sensibility, and which strain credibility to the average civilian. It's all true. I love the Marine Corps and I am still serving - I don't have an axe to grind. It just happens to be true.Are there parts of the film that I find incredible? Yes. But they are not the essential things. There is a scene, it's even in the trailer, in which everyone is firing their weapon into the air. I wasn't there, but I can't fathom a breach of discipline on that scale. I can't say it's impossible, but I am doubtful. But whether it's true or not is not important. At its essence this is a film about Marines, how they adjusted to the Marine Corps, each other, and a war. If there are a few incredible details, then we can just be grateful that Hollywood didn't impose a car-chase on us.This is a film about Marines. At that time, there were very few who turned down scholarships to Ivy League schools to come in. We were from strange backgrounds. We were obscene. We did want to get our kills. Many of us were frustrated that our war was only 100 hrs long. We knew we were filling the footsteps of giants - the Marines of Iwo, The Chosin, Belleau Wood - and I think we all wanted a chance to earn a place next to those men. In our wild, adrenalized youth, those aspirations just took the crude form of looking for a kill. Or at least that's how I've put it in perspective 15 years later.If you go and see this film, try to recall yourself at 18 (as I was). Suspend your judgment of the obscenity and vulgarity until you're sure you would've done it differently. I can't speak for Swofford, but I am still incredibly proud of my service there. The insanity of this film reminds me why: because it is characteristic of the immense hardship that our youth bears on behalf of the rest. Do the characters look stressed? It's not hyperbole. We were 18 and we thought we were going to die over there. Still, at H-Hour, everyone marched North. In my opinion, you better fill some big shoes before you judge that.So don't go into this film champing at the bit to pigeon-hole it as ""Anti"" or ""Pro"" war, with all the pre-fab rhetoric that comes with such a judgment. You have an opportunity here to look back into our little moment in history. Swofford has invited you into our memories. They are not Right, and they are not Left, they are just our story as Swofford lived it. If that kind of thing interests you, then go and see this movie.",8.0,Anonymous,Biography
Like collective insanity,"I have never been in the military, so I can only guess as to home realistic this film is. But one thing that startled me was how close to insanity the various Marines were in this film. One minute, one of them would seem pretty normal and the next they'd be losing their minds. This happened again and again to practically all the soldiers in the film...even the leading man, Swofford (Jake Gyllenhaal)!The story follows Swofford from a brief scene in boot camp to his advanced training to eventual deployment in Kuwait during the Gulf War. All during which, he and his fellow Marines were all just a few steps away from completely losing their minds.This is not a pleasant film to watch, but I liked that the story was NOT sanitized....it was nasty, ugly, and, most interestingly, focused on how incredibly boring and uneventful the war was for the average grunt. It also focuses on the emotional damage incurred by these men. Quite interesting if not enjoyable.",8.0,Anonymous,Biography
Pleasantly surprising,"I saw a promotional screening of the film, sponsored by my university. Following the screening was an audience Q&A with the author (and main character), Tony Swofford.And it was no surprise that the very first question from the audience was, quite ambiguously, ""Do you support the military?"" When Swofford dismissed the question as too broad and complex to be answered with a simple yes or no, the inquirer followed up with, ""Well, do you support the war?"" Swofford dismissed this even more readily.To me, this was perfectly representative of how the film handled its potential political implications.As Troy says early on in the film, ""To hell with politics. We're here now."" And that's essentially how the movie went.It bypasses the soapbox and simply tells you how it was, from the perspective of a single soldier. And while the opening boot camp scenes may seem like Full Metal Jacket Lite, the rest of the film is truly unique.Sam Mendes directs with his usual brilliance, showing once again his affinity for bright, vivid color, even in the largely monochromatic desert.Jake Gyllenhaal gives an excellent performance as Anthony Swofford, complemented by the able talents of Jamie Foxx and Peter Sarsgaard.The film's only real flaw is that, like the war on which it was based, it's pretty slow, and not a lot really happens.In the strictest sense, I would have a hard time even classifying this as a war film, and it's certainly not a deliberately political film.But in its own way, it tells an intense, personal story. Beyond that, you're simply left to make your own judgments.7/10",7.0,Anonymous,Biography
Full Metal Witch Project,"Just saw an advanced screening of this tonight. While it isn't the film that has been so brilliantly advertised, it's a very solid film. It feels a lot like ""Full Metal Jacket"" early on, but with more humor. Then, it becomes an entirely new animal. More of a psychological study. I would actually call this the ""Blair Witch Project"" of war films in that you (and the characters) know the Boogeyman's ""out there,"" you're just waiting for him to strike. And the longer you wait, the more stir-crazy you become within your own mind.The acting is superb and the cinematography is stellar. It's an anti-war film without being distinctly liberal about it. It's a true story, and for the most part, Mendes tells it like it is. So, you can make your own judgment about it. But based off what you see, and all that happens, you have no choice but see the absurdity, not only in war, but perhaps in some of the USMC's tactics as well. It's heartbreaking to see what an experience like this can do to young men.If you're looking for action, this is not the film you're looking for. No heroism, judgments, insight, or hope. Just the documentation and reflection of build up, the destruction of lives, psychological torment, boredom, camaraderie, and...waiting.",7.0,Anonymous,Biography
a worthy effort but seems to be lacking,"Gritty story based on the true life experiences of Marine recruit Anthony Swofford, a naïve teenager who gets more than he bargained for beginning in basic training, then a long and hellish nightmare of combat after he's shipped off to Kuwait during Operation Desert Shield. Well-crafted, strongly acted, and extremely political the film certainly holds your interest, but the script is unfocused, the subject matter never truly compelling, and the momentum slows more and more as it goes along. Gyllenhaal is respectable as the reluctant Marine who finds himself in over his head, while Foxx is a powerhouse as his gung-ho sergeant. Starts off strongly, but gradually becomes conventional and loses its way. **½",,Anonymous,Biography
A different war movie...,"""Jarhead"" is a Biography - Drama movie in which we watch a group of men who were selected to become snipers. After their training they were sent to take part in Gulf War. There they face many difficulties and they have to cope with the feeling of missing everyone and homesickness.I liked this movie because it was different from the other war movies I have seen although it reminded me in some moments Stanley Kubrick's movie ""Full Metal Jacket"" which is a masterpiece. The direction which was made by Sam Mendes was very good and he presented very well the struggles of marines for their hard training to their operations in Gulf War. He also showed the other face of war, the true face of soldiers when they are prepared to go to war and when they are at war. Regrading the interpretations of the movie, Jake Gyllenhaal who played as Anthony Swofford was for one more time simply amazing, Jamie Foxx who played as Staff Sgt. Sykes was equally good and Peter Sarsgaard who played as Alan Troy made a very interesting interpretation. If you want to watch a different kind of war movie without the stereotypes of it, then just watch this movie.",6.0,Anonymous,Biography
The life of soldiers during the Gulf War when the invasion of Kuwait by Sadan Hussein's Iraqi troops took place.,"In 1989, Anthony Swofford (Jake Gyllenhaal) is getting trained in a U. S. Marine Corps boot camp by the choleric, hard-boiled Drill Instructor Fitch (Scott MacDonald). After finishing boot camp, ""Swoff"" is dispatched to Camp Pendleton. Anthony Swofford talks us through his Marine training and service in 1991 Gulf War, is also about an institutionalised man in existential meldown. Anthony is approached by Staff Sergeant Sykes (Jamie Foxx), a Marine ""lifer"" who invites Swofford to his Scout Sniper course. He is selected to be trained as a sniper and paired with his roommate Troy (Peter Sarsgaard), who becomes Swofford's spotter. Every man fights his own war !. Welcome To The Suck !This is the story of a 20-year-old boy in the war of Iraq, a life that has little to do with what the newspapers and television offered. It's not often that a film captures exactly what it must have been like for a person to live through the Gulf War as a soldier, but Jarhead partially succeeds. The focus is on a youth who yearns to do what's expected -Are we ever going to get kill anyone ?. The movie's strong suit is vagueness, presenting combat as a semi-surreal state of ignorant expectation and dislocated experience. These warriors loll in the desert awaiting action or attempting to make sense of its consequences. Apart from a few caustic asides about oil and censorship there's barely a glance at life outside the barracks let alone any contemporary resonance.It is contemporary war seen from the surface with the images of oil wells burning in the night, like comets fallen from the sky, there were recruits laughing and reveling, and full of enthusiasm, and at the same time frightened by the idea that the battle could surprise them behind the next dune or hill. However, the infernal situation in which they live is compensated with their eternal loyalties, camaraderie that nothing could break, unlikely friendships, creating a brotherhood of 'Jarheads' who have sworn eternal fidelity. A gripping and powerful story packed with hard-hitting experiences , drama comedy and many swearings and bad language.Well starred by Jake Gyllenhaal who began his film career with ¨City Slickers¨ by Ron Underwood. After that, he made ¨Donnie Darko¨, ¨Bubble Boy¨, the drama ¨Moonlight mile¨, a disaster film: ¨The day after tomorrow¨and the interesting thriller ¨Zodiac¨. Achieving his greatest success with the highly awarded ¨Brokeback Mountain¨for which he obtained an Oscar nomination for best supporting actor. He's well accompanied by a good cast such as: Peter Sarsgaard, Scott MacDonald, Jamie Foxx, Lucas Black, Kevin Foster, Brian Geraghty, Dennis Haybert and Chris Cooper.This wartime picture was well directed by Samuel Alexander Mendes , though with no too much originaly. Sam Mendes was born in the United Kingdom as part of his family of Portuguese descent. In 1996 he filmed ""Company"" for television, a musical by Stephen Sondheim. Thanks to his admiration for his adaptation of ¨Cabaret¨ music. Which won several Tony Awards, Spielberg gave him the opportunity to begin a film career when DreamWorks produced American Beauty in 1999, winner of the Oscar for best picture and best director. Sam Mendes is a good director who has made some successful films played by important actors , such as : Jarhead , American Beauty , Revolutionary road , this Road to perdition and two Bond movies : Skyfall and Spectre . Rating: 6.5/10 . Above average. Well worth watching . Essential and indispensable watching for Jake Gyllenhaal fans.The saga Jarhead is made up of: ¨Jarhead¨ (2005) by Sam Mendes with Jake Gyllenhaal, Scott MacDonald, Peter Sarsgaard, Jamie Foxx, Lucas Black. ¨Jarhead: Field of fire¨(2014) by Don Michael Paul with Cole Hauser, Stephen Lang, Bokeem Woodbine, Esai Morales , Jesse Garcia, Jason Wong, Josh Kelly.¨Jarhead: The siege¨ (2016) by William Kaufman with Scott Adkins, Charlie Weber, Dante Basco , Romeo Miller, Erik Valdez, Sasha Jackson, Dennis Haysbert. ¨Jarhead: Law of Return¨ (2019) with Devon Sawa, Amaury Norlasco, Amos Taman, Nicholas Aaron, Robert Patrick .",7.0,Anonymous,Biography
A true and realistic story,"As someone who is in the military, I thought this movie was perfect. If you are looking for a message about war or politics you won't find it here. This movie is strictly a story told by the main character about his time serving in the Marine Corps and his tour in the Gulf. It is true to life. From the language, situations, to the way the characters interact, the film is right on with accuracy.The film is shot with striking cinematography. Scenes in the desert, especially with the oil fires, are breathtaking. The shots are done perfectly and originally throughout while the score and soundtrack takes it to a powerful emotional level.The film will receive bad reviews from a political standpoint. I read a couple before I saw the movie that all stated they didn't like the movie because it had no message or stance. To that I say good. It was refreshing to see a movie as a movie. I was glad that it was just a story, and there wasn't any motivation underneath it. That's not to say that the movie is one dimensional. There are many undertones, just none of which are attempting to reassert or defame the current war in the East.See this film if you want to see a humorous, sad, psychotic, intense, and most importantly REAL story.",10.0,Anonymous,Biography
Great performance from Jake Gyllenhaal,"Anthony Swofford (Jake Gyllenhaal) is a Sacramento kid who enlists in the Marines. The audience is taken along through his training, and then the first Gulf War starts. He's in the middle of it all, but it's a struggle to maintain his sanity in an insane situation.It's a compelling and fascinating story based on the real Anthony Swofford's book. The training provide some memorable moments. The deployment gets strange. It's the actual war that's where this movie is unusual. Most war movie is about the bang bang. This one is about the search and longing for the bang bang. Like the disappointment that Swofford must have felt, I think the audience also feels that disappointment in the film.Jake Gyllenhaal gives an amazing performance. Director Sam Mendes achieves exactly what the experience is about. The movie leaves you feeling empty and a little haunted. It makes you wonder if everybody wasted their time.",7.0,Anonymous,Biography
"Here's a simple guide to Jarhead, without an agenda.","I am not a professional writer, I am not a director, I am not important. I just enjoy movies. I'm not writing this to convince you of my opinion. I'm not even here to give you a professional review of this movie, or sound educated and witty. I'm here to give a layman's take on the movie and not be concerned with politics or agendas.1: Cinematography is downright beautiful in this movie. There are some unforgettable shots. Easily a contender for this year's cinematography award.2: This is not an action war movie. If you want it to be, find another movie. Black Hawk Down might be closer to what you're looking for, although finding an action movie about Desert Storm is kind of hard.3: This movie will invoke emotions. And just about any person can pick out a lot of evidence to support why they liked it and why they did not. A person can pick out a lot of evidence supporting the military, and at times make it look like a recruiting tool, or it can show anti war, anti-Bush, anti everything. It will make those that like to argue and takes sides, have a wonderful time with it.4: The acting is good and realistic. It shows the happy carefree side of war, and also the darker undertones, and not-so-under-toned evils of war.5: The military prepares people to become soldiers, just like a coach prepares people to become athletes. And once you are one, it is hard to switch it off once a person goes back to normal life. Even quote/ unquote ""desk jockey's"" and those that aren't in the actual combat but provide support roles, are still trained to fight.6: Media and movies have not helped our perception of war and those involved. They've been putting a spin on things for a while now, and they like to beat a lot of dead horses.7: This is based on a true story. No matter how ""Hollywoodized"" a movie can get, it's basic concepts and ideas are still generally intact. And Swoff was actually there. I was not.8: To me, Jarhead felt like the Full Metal Jacket of this generation. With extreme's of both ""anti's"" and ""pro's"" you take it or leave it. Full Metal Jacket is a good movie for taking the approach that it did. Jarhead is no different.9: Don't hate on anyone trying to do their job, if you see someone in uniform, don't think negatively or positively, unless you know the person. You don't know their story. If you want to find out, just listen. That's all, nothing more. Don't just wait for your next chance to speak.10: Find a way to see Jarhead, reserve your judgments until afterward, and if you're a jerk, then give all the snotty, ignorant, or mean opinions you want. You won't change anyone's mind, just tick them off.To finish up, this movie will make you feel something. Let it go. No wonder people's stress levels are high. If you offend easily, lighten up. If all you can do is go around in life and get offended, then I am truly sorry for you. Now, I'm going to grab a beer from the fridge, sit down and watch a movie, to have something to do. Nothing more.",9.0,Anonymous,Biography
