title,content,rating,username,genres
Keanu gets pissed and shoots people in the face for 101 minutes*,"John wick has a very simple revenge story. It can be summarized as ""Keanu gets angry and shoots bad guys"" but what makes it special? Directed by Chad Stahelski who's a stunt specialist boy does it show because the main selling point in the film are some real virtuoso action sequences, well made choreographies. Unlike today's action movies, it doesn't use quick-cuts or shaky cameras actually see what's going on.",8.0,Anonymous,"Action, Crime"
Story: 3 minutes; Entertainment: 101 minutes.,"It looks as if the filmmakers realized that the public was sick of certain movies. Most movies nowadays are full of wire work, sci-fi, etc. often topped with icing made of needless or predictable background stories that add nothing. For example the beautiful girlfriend who gives the moral speeches or the troubled teenage daughter, who aren't present here.Nothing of that is in John Wick. John Wick adds hardly a story, no character development, no needless character or background, no misplaced drama, no misplaced humor and not too much eye candy, nothing of that. What John Wick offers is action, action and more action. In fact, it is one long action scene, with some lines and close ups added. But that is not a problem. The directors promise action and deliver. While delivering they made it look good and convincing, without trying to be more, and they're smart enough to give the movie a satisfying beginning and ending.And for those who claim that Keanu Reeves is a horrible actor..... you are right. But his blank expression is perfect for this movie. Leave the acting to the bad guys and the delicious guest part for Willem Dafoe.If you're tired of movies with forced drama or loaded with CGI, John Wick will be a pleasant wake-up call.",7.0,Anonymous,"Action, Crime"
The best action revenge film of all time from 2014 so far!,"John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should really learn from this on how to make a decent action film, especially with the crap we are getting today like escape plan bullet to the head and such. This film to me is the greatest action film to come out in this century. Keanu was phenomenal the action was so fast paced and exciting my jaw literally dropped as Keanu took out all the bad guys! I personally think this film is better then all Taken films combined. It was simply brilliant, it was made for 20 million dollars and I am glad it made 40 million in the US. I think this film deserved to make 100 million!Old school action with no shaky cam. Definitely the best stunt-man-turned-director-debut I've ever seen. The story is set about John Wick (Keanu Reeves) a retired assassin, who gets dragged back into his field when the Russian Mob put a hit out on him, but instead of killing John, they steal his classic Mustang and kill his newly acquired puppy. This sets John out to exact revenge on the whole mob in a no nonsense kind of way...multiple shots to the chest and one to the head for good measure type of justice. I've never seen a film where the gun play is this to the point and precise as this. I don't know what the body count is, but it's gotta be up there...way up there. Oh...and another thing...they actually reload the guns. Don't see that that often in films. It's got an all star cast of cameo/small roll characters, from Ian McShane, William Dafoe, and John Leguizamo, and I swear one of the bad guy henchman is that ""Mayhem"" Insurance guy. One of the Best Movie, that Keanu Reeves ever made. From start to finish. Non stop action, all scenes look very realistic. ( The best action movie of the year. )I Love this movie so much I think the people behind this movie made a great astonish action movie. There are other things in the movie that I love so much. I even think John Wick is so much better than 47 Ronin (2013) that Keanu Reeves made. The most that I love in this movie is Adrianne Palicki as Ms. Perkins I think she did one of the best job portraying and playing the most memorable female assassin I have ever seen. Ms. Perkins made me realized and inspired me that there are a lot of women who choose occupation as a female assassin hired by the mob. There were a lot of female actresses who played an assassin but I have never see any women portrayed like that. Adrianne Palicki is a bad ass! She even played Lady Jaye in the G.I. Joe Team's covert operations a specialist in the movie G.I. Joe: Retaliation (2013) one of my favorite movies. The fight sequence between John Wick and Viggo Tarasov is real and very realistic I did not see any CGI in it. This wouldn't be an action movie without some action. There's plenty of it, and it's perfectly done. The The stunts are completely insane in scale. There is a lot of gun play and powder even the guys reload guns. There are even Daniel Bernhardt from Bloodsport II and The Matrix Reloaded in it. And he was perfect in here and the fight scenes with Keanu Reeves were well done by him. This is the first time In the movie I see Willem Dafoe been the good guy. I haven't seen him in decades playing the good guy since Platoon (1986) my favorite Vietnam war movie!The last thing about the movie I want to say that John Wick was a dog lover and I love dogs. I love how he avenge the puppy's death by mobsters who killed him and than he saved another puppy from the animal shelter when he was wounded. He wasn't a superhero without any bruises on him he was wounded. Keanu Reeves did a wonderful job better than he did in Knock Knock (2015) I only hope they want screwed up the sequel and making much better action movie than the first was.When sadistic young thugs senselessly attack John Wick (Keanu Reeves)-a brilliantly lethal ex-assassin-they have no idea they've messed with the wrong guy. With New York City as his bullet-riddled playground, Wick embarks on a merciless rampage, hunting down his adversaries with the skill and ruthlessness that made him an underworld legend That is the main plot the rating I am giving this movie is a 10/10 because It deserves it.",10.0,Anonymous,"Action, Crime"
delivers if taken for what it is,"Though he no longer has a taste for wet work, retired assassin and ""Boogeyman"" John Wick has suffered a personal tragedy that's left a huge void in his life. When he and his dog (really the last meaningful thing he has left) fall victim to a scummy group of Russian mobsters, he emerges from his shell with vengeance on his mind. Slow and ambiguous at first, but reveals more as it goes along, and once it kicks into gear it rarely lets up with plenty of stylized, visceral action scenes, an impressive arsenal of weaponry, plus sly direction and editing that give it the feel of a violent music video at times. Preposterously fun to watch, it just doesn't have much of a story at its disposal, not to mention all the over-the-top bloodletting and mayhem eventually becomes redundant. Savvy, indestructible Reeves looks right at home, and delivers many of his lines with a sardonic wit. **½",,Anonymous,"Action, Crime"
I Don't Get It,"I really don't understand the love that ""John Wick"" receives. It's just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.As for the story, it's basically not there. What's worse is the fact that the movie goes out of its way to constantly remind you that John Wick (Keanu Reeves) as a character is someone who is incredibly lethal and dangerous and feared by criminals. In my opinion, this completely kills whatever dramatic weight the cheesy storyline that ""they killed my dog and stole my car"" plot has to begin with.I guess people liked it well enough because it's got three sequels and more to come. Personally I don't think it's any better than the average Netflix Original action movie. Huge skip in my opinion.",6.0,Anonymous,"Action, Crime"
Manly action film,"Lesson learned: don't get on retired legendary hit-man John Wick's bad side. In the film of the same name, he goes back into action shooting up bad guys in a city where it seems that the cops have all simultaneously taken a vacation. Played by surprisingly youthful quinquagenarian Keanu Reeves, John Wick's style of shooting baddies is reminiscent of my days playing Whac-A-Mole, Duck Hunt, or any of those arcade games with the plastic guns. Wick is a vengeant superman, and this is the basis of the entire movie. Although he doesn't have a clear weakness that can be exploited like most heroes, Wick does get into enough trouble for the audience to be sincerely worried about him.If you're planning on seeing John Wick because you like movies with clever or meaningful story lines, then you're going to be disappointed. If you are looking for raw well- choreographed action and machismo, then look no further. House Greyjoy's Alfie Allen stands out as villainous Russian mafia brat Iosef Tarasov, and Michael Nyqvist (Girl with the Dragon Tattoo) plays Viggo, his mob boss father. Adrianne Palicki, Willem Dafoe, Ian McShane and Dean Winters round out a strong supporting cast.Overall, I enjoyed John Wick as a pure action film. It doesn't have a storyline like The Matrix or Speed, but it was visually entertaining and the simplicity of the story allowed for appreciation of the action. This movie is manly and primitive, and proves that at the age of 50, Keanu Reeves can still mix it up as an action star.",7.0,Anonymous,"Action, Crime"
I'm Thinking I'm Back,"John Wick is one of those few movies a year that seemed like it would be absolutely terrible, but when you finally sit down and watch it, turns out to be incredible. Not only is it one of the most fun films of the year, but it's so much different than the action films we have today. It doesn't try to be inventive or over-the-top, it just plays to it's strengths.I have never been a huge fan of Keanu Reeves. Even in The Matrix, which is a great film, his acting falls pretty flat to me. He hasn't showed me anything that can make him a true thespian on screen. But as John Wick, he's perfect. The role doesn't call for anything more than just being a likable bada**. Wick is a man dealing with the death of his wife and retirement of his past associations with assassins of sort. He finally feels like he get's closure with his wife and then it's all ripped away from him by the very gangsters he was once affiliated with. He goes on an absolute killing rampage. To say the body count adds up is an understatement. Wick goes to great lengths to find the people who took everything from him, but it's not exactly easy for him. Being someone who just came out of retirement means you may be a little rusty, well Wick is definitely that. That's one of the many things I appreciated about this film. It never seemed like he was blowing through these guys without danger. Sure he effortlessly kills plenty, but he also struggles with a few as well.Killing a cute little dog would tick off anyone, so I don't blame the character for being mad, but I'm not sure there needed to be this many deaths. There are plenty of innocent security guards who die at the hands of Wick. At times, it just felt like a little too much for a revenge film. But I really loved all of John's interactions with people from his past. They all seem to be as surprised that Wick is killing again, as we are that this film turned out to be good. I thought it was a nice touch that the police officer simply let the fact that there were a bunch of dead people in Wick's apartment, go. Alfie Allen plays the main villain, and it seemed as though his storyline is very similar to that of Game of Thrones. He's constantly under-appreciated and so he wants to prove himself, but ends up doing something terribly stupid. It was also nice to see Bridget Regan from Agent Carter briefly pop up.But besides the fact that the script was pretty weak and the body count was pretty high, the film is just awesome. The 'Drive' sounding music and score to go along with the breathtaking action sequences made for one helluva ride. Keanu Reeves should stick to these less demanding and fun action roles. Just don't try and do too much.+Stunts & action+Score/soundtrack+Reeves makes it believable+Villains aren't stupid-Body count-Weak script8.4/10",8.0,Anonymous,"Action, Crime"
"Violent and gripping story with plenty of unstopped action , shootouts and breathtaking fights","Ultra-violent first entry with lots of killings, thrills , noisy action , suspense , and crossfire . In this original John Wick (2014) , an ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him . With the untimely death of his beloved wife still bitter in his mouth he seeks for vengeance . But when an arrogant Russian mob prince and hoodlums steal his car and kill his dog , they are fully aware of his lethal capacity. The Bogeyman will find himself dragged into an impossible task as every killer in the business dreams of cornering the legendary Wick who now has an enormous price on his head . In this first installment John Wick , blind with revenge, and for his salvation John will immediately unleash a carefully orchestrated maelstrom of destruction against those attempt to chase him and with a price tag on his head, as he is the target of hit men : an army of bounty-hunting killers on his trail and a murderer woman everywhere . The legendary hitman will be forced to unearth his meticulously concealed identity and to carry out a relentless vendetta . Now, only blood can quench the boogeyman's thirst for retribution . Don't Set Him Off! . John Wick isn't the Boogeyman... He's the guy you send to kill the doomed Boogeyman. Revenge is all he has left. You want peace, prepare for war . Don't Hunt What You Can't Kill. Tick Tock, Mr. Wick. Everyone Is Waiting. For John Wick . Every Action Has Consequences. This Friday, Wick is Back . Its the World Vs. Wick. Every Action Has Consequences.Thrilling and nail-biting first outing with violent combats , kinetic energy , very high body-count and struggles in a comic-book style . It's an action-packed film with an interesting mingle of suspense , martial arts , gun-play , killing rituals with weird codes and bloody combats . The plot is simple and plain , as John Wick being forced into action to exact a relentless vendetta and steadily butchering his merciless enemies , while inching ever closer to the long-awaited bloody reunion with the boss killer . This is a bone-chilling thriller with non-stop action , including impressive fighting with a lot of blood and gore . It's a mindless but enjoyable for thrillers and martial arts aficionados of the old style , but adding some new technical being made by means of digital computer generator as well as expert stunts . Abundant fist-fights and lethal struggles in which arms and body parts are slice off here and there and limbs are slit open everywhere or blasted apart . Of course , highlights of the film are the impressive and groundbreaking Keanu Reeves' fights with lots of blood dropping here and there . Keanu Reeves is nice as John Wick , the expert former assassin , in which drenched in blood and mercilessly hunted down, he can surely forget a peaceful retirement as no one can make it out in one piece . He's well accompanied by a familiar cast -some of them to appear in the subsequent sequels- including as follows : Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki , Toby Leonard, Daniel Bernhardt , Bridget Moynahan , John Leguizamo, Ian McShane and the two fine actors recently deceased : Michael Nyqvist and Lance Reddick .It packs colorful , though dark cinematography by cameraman Jonathan Sela, mainly shot at night . As well as pulsing throbbing musical score by Tyler Bates and Joel J. Richard. The motion picture was professionally directed by Chad Stahelski and David Leitch . These craftsmen have made this adrenaline-fueled action franchise, ¨John Wick trilogy¨ formed by the following ones : ¨John Wick I¨ 2014 by Chad Stahelski, David Leitch with Michael Nyqvist , Alfie Allen , Willem Dafoe , Dean Winters , Adrianne Palicki . ¨John Wick: Chapter 2¨, 2017 , in this second installment , after returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life , played by Riccardo Scamarcio , Ian McShane , Common , Claudia Gerini , Lance Reddick , Laurence Fishburne , Tobias Segal , John Leguizamo , Bridget Moynahan. ¨John Wick III Parabellum¨ in which he returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail, after killing a member of the shadowy international assassin's guild, the High Table, John Wick is excommunicado , starred by Halle Berry , Ian McShane , Laurence Fishburne , Mark Dacascos , Asia Kate Dillon , Lance Reddick , Tobias Segal , Anjelica Huston , Saïd Taghmaoui , Jerome Flynn . And in production : ¨John Wick: Chapter 4¨ with Keanu Reeves , Donnie Yen , Bill Skarsgård , Laurence Fishburne , Hiroyuki Sanada.",7.0,Anonymous,"Action, Crime"
8/10,"The only word that keeps coming back to mind when reviewing this movie is: exhilarating. The fun factor this amazing action film has is probably the highest of any movie this year. I could not stop myself from having a blast!First and foremost, being also the first thing you notice, ""John Wick"" is self-conscious of what it is and doesn't, for not even one second, take itself more seriously than it should. Fortunately this doesn't shut out the place for character connection and empathy. People often think the two of these things exclude themselves, but that is not what I think and this movie is proof of it. It has such a genuine sense of fun and humor, so much so that you are often laughing WITH (not AT) the movie at the preposterousness of everything and at the same time feeling genuine tension for the characters you're rooting for. I know it sounds ridiculous, but every single f***ing kill by John Wick feels exciting and liberating, it was incredible how much I was rooting for him. To this contributes some stunning, fast-and-furious level action scenes that benefit amazingly by the practicality involved. Hats off to the director and the special effects guys for staging such a flawless string of adrenaline-pumping scenes, in particular to the director for the highly energetically stylish direction that never feels as a gimmick or out of place, yet instead makes everything all the more enjoyable. Furthermore this is one of the few movies in which sound actually stood out and contributed in making the film a great success. Keanu Reeves is perfect for the role and brings to the screen so much charisma I could not help but root for the guy. He is surrounded by a great cast too that has very fun moments on their own. If all of this wasn't enough, ""John Wick"" has some great original ideas and plays with them in the best way possible.Despite having a blast in the theater and wanting to maybe see this movie again in a year or so, it isn't original, stylish or innovative enough to say: ""we've seen this plot before, but not quite done this way"". Yes it has its brilliance, but it is kind of cheesy, even if in a good way, and predictable. It doesn't rank up to a higher standard of action movie because of its straight-forwardness. It does have some stakes, but all in all there isn't really an overwhelming set piece or twist that makes it highly remarkable.Obviously, that is not what it's aiming for and because of that I could recommend this movie to anybody, just go and have the best action entertainment fun in the theater!",8.0,Anonymous,"Action, Crime"
Most Excellent,"Wow what a great surprise this was. I was told by a friend this was good but it's been awhile since I liked a Keanu movie so I was hesitant to try it. Retired hit-man John Wick (Keanu Reeves) loses his wife to cancer. After her funeral he receives a puppy she left him. A few days later some thugs, led by the son of a Russian gangster John used to work for, break into John's house. They beat him up, take the keys to his beloved car, and kill the puppy. They did this not knowing who he was; they just wanted the car. Now John Wick is out for revenge and the Russian gangster is trying to save his son's life by sending killers after John.Keanu's great here. Glad to see him doing something watchable again. Willem Dafoe, Alfie Allen, Ian McShane, and Lance Reddick lead a good supporting cast. Michael Nyqvist was made to play villains. Even Adrianne Palicki was good. Oh and hey the beat-up guy from the Allstate commercials is in this. The stuff with the hotel for assassins and the way they all know each other was pretty funny. About the only problem I had with it was the unrealistic scene where the bad guy finally gets the upper hand on the 'hero' and doesn't kill him. This sort of thing is common in movies but it's always unbelievable and reminds me of the old James Bond villains. This is easily the best action movie this year. Possibly the best straight action movie since the first Taken. English-speaking action movies, that is. It doesn't reinvent the genre or anything but it's entertaining.",7.0,Anonymous,"Action, Crime"
