title,content,rating,username,genres
see the Zack Snyder version instead,"Don't waist your time on this bland, watered-down version of the movie, bungled by Joss Whedon and the mis-led executives who hired him. I mean, it's kinda fun, but forgettable, cause too mich of its gits were removed. Whereas, the newer director's cut by the original director, Zack Snyder, is the lengthy, epic extravaganza the story needs!",5.0,Anonymous,Fantasy
"Justice League is, unfortunately, plagued with post-production issues.","Here we are. The Justice League. DC's greatest superheroes come together to save the world...and what is the first scene you ask? Henry Cavill's CGI'd shaved face. Ohhh dear...yup...we're in for quite a ride. So with Superman dead, Batman and Wonder Woman must arrange a team of gifted individuals to stop the world destroyer Steppenwolf from, you guessed it, destroying the world. Sighhhh...I kinda just want to hug this film and repeatedly whisper ""there, there...it'll all be alright."". Apprehensively, I went into this unmotivated and expecting the worst superhero film since Suicide Squad. Fortunately, this isn't that bad. But, it's not great either. The film's greatest achievement is the coalition of the Justice League members. Their interactions, mannerisms and even their physicality was pretty much on point. Aquaman, although absolutely useless in this, had the physical prowess of a beastly underwater warrior. The Flash was quirky and provided several comedic moments. Cyborg was essentially the technological logistics manager. Wonder Woman and Batman were the parents who lead their children into battle. Heck, she even refers to them as children! Yet it all worked so well. Remember, this is a comic book adaptation, so the humour and light hearted nature of its source material does show. The human CGI for the most part was actually executed well (far better than ""Thor Ragnarok"") and the slow motion scenes with The Flash were gorgeous to watch. Snyder is typically style over substance, which is apparent here. The story is so boringly uninspired that it defines the word ""lazy"". I cannot be dealing with another 'save the world' situation. I'm also becoming irritated with underused, bland and weak villains who are supposed to be absurdly powerful. Steppenwolf was wasted potential. Constant use of green screen, hit and miss script, rushed third act...just too many flaws I'm afraid. Was it too soon for a Justice League film considering no origins for Aquaman, The Flash and Cyborg yet? Personally, I think so.",5.0,Anonymous,Fantasy
Big-budget superhero mash-up switched directors in midstream,"When an alien invasion, led by the sinister Steppenwolf (Ciaran Hinds in a motion capture performance), seems imminent, Batman (Ben Affleck) recruits the world's heroes to stop it. He seeks out Wonder Woman (Gal Gadot), Aquaman (Jason Momoa), The Flash (Ezra Miller), and Cyborg (Ray Fisher), but their combined power may not be enough, and they realize the one missing factor that could turn the tide of battle: the recently deceased Superman (Henry Cavill).This was another tortured production, with director Zack Snyder leaving the project either due to a death in the family or by the studio's insistence, depending on the source. Joss Whedon was brought on to finish the movie and ended up reshooting some earlier scenes. The final product seems rushed, under cooked, and dreadfully overloaded with too much unnecessary CGI effects. The common weakness in many of these superhero movies is the villain, and this is yet another example of that. The character is fully CGI and looks it, and it's difficult to feel menace from a cartoon in a non-animated movie. And the worst part is, it wasn't even needed, as the character was a normal human-looking person in the comic books, and the actor hired to basically just provide the voice, Ciaran Hinds, is a very good actor and would have been fine without the CGI embellishment. Another glaring visual flaw lies in Superman's mouth. Since the shoot ran over, Superman actor Henry Cavill was contractually obligated to start his filming on the upcoming Mission: Impossible film, a role that requires him to grow a bushy mustache. When he had to come back for reshoots on Justice League, the producers decided to just CGI out his mustache, with the end result a laughable, often deformed upper lip.On the plus side, Ezra Miller is amusing as The Flash, Gal Gadot continues to look great as Wonder Woman, and Momoa makes for an interesting twist on Aquaman, who is nothing like his comic book counterpart. Many of the acting heavy-hitters, including Amy Adams, Diane Lane, and Jeremy Irons, are just cameo window dressing.",6.0,Anonymous,Fantasy
Watch the Snyder cut that's the only Justice league,"After watching the Snyder cut i will never ever acknowledge this cut the josstice league , doesn't matter now this terrible corny tacky version is dead to me and surely every comic book fan you don't have to like Dc or love it you can hate it but once you watch the Snyder cut you will be like wow this is a comic book masterpiece.",2.0,Anonymous,Fantasy
This Above Average film by DCEU has got Enough Explosion to be called a Safe film.,"JUSTICE LEAGUE REVIEW : It was one of the Most Awaited flick for me during pre release period but later Critics reviews declared it an Average to Below Average film and i lost all that year built excitement in minutes. Let me say it straight, i'm not reviewing a Great film, i'm talking about Average film so if you see any soft corner about any field then that means Average one not even Good.Justice League starts very slowly, looks like a bore flick for first 35-40 minutes and then picks up smartly. Later it continues the flow but after every explosive and entertaining scene there're 1 or 2 minutes loo breaks followed. Don't know why it happens, why film gets slow for few moments when screenplay was in top form? Then enough explosion at the end and later one surprising factor after end credits saves this Average flick to look an Above Average stuff. We've seen Batman, Wonder Woman and Superman in prequel and i'm glad to welcome 3 new guys in the team, Aquaman is Good, Flash is too good, Cyborg is decent. Some musical scenes feels irritating. Runtime is shorter than 2 hours and thanks to the editor for that but how could he trim that Superman's re-entry scene from Trailer (Alfraid says, Let's Hope you're not too late) ? Superman's Returning is slightly curved towards emotional bonding but it doesn't work at all. Villain is powerful but a fairy tale and retro look doesn't impress much. Visual Effects are Brilliant, could have been better for 3D viewing. Direction is messy, Snyder either needs to improve or needs to be removed from DCEU. We're waiting for One Good film from him and we're still waiting. Thanks to Jenskine for that one good film Wonder Woman otherwise Snyder has almost finished DCEU. Why he always go for a Dark film, why can't he just go for some fun and light moments like Marvel?Overall, Justice League is an Above Average film, obviously not that bad as critics said. Chuck the critics and go for it, those who liked BvS will surely like this and those who did not like BvS will also find it an Average One Time Watch. Enough Explosion and action in middle and at the End makes this one to worth your ticket Purchase. Talking about Box Office this one should do decent business in the range of previous 2 DCEU films or might even struggle to reach there while $1 Billion club is out of reach. I'm going with 6/10* and hoping for better a sequel which will have a League of Villains (This might be a spoiler).",6.0,Anonymous,Fantasy
SNYDER CUT ROCKS,Please be careful while releasing the movie... don't cut essential scenes important to the movie.,2.0,Anonymous,Fantasy
Just basic,"I'm not sure how a movie starring so many iconic characters can be so limited. It's not that it's specially bad, it's just basic, extremely basic. Basically the story anyone could have written when thinking about putting the Justice League together.",6.0,Anonymous,Fantasy
Who ever made this justice league into garbage!,Should be fired and sued for destroying justice league movie.,1.0,Anonymous,Fantasy
Not a Zack Snyder movie,"Why is it still listed as Directer by Zack Snyder , when all world knows that Joss Whedon directed it.Please pls give credit to him. Snyder shows that he is far better then him.",,Anonymous,Fantasy
The end of good DC movies,"Imagine history backwards. Imagine that you were lucky enough to watch the Edward J. Olmos' version of Battlestar Galactica first, and then, after a while, they came back with the Lorne Green's version of it. That's exactly what happened with this Marvel-infected version of the Justice League.Gone is the brooding menace of what people with these special skills would harbor in real life. Gone is the sense of peril when you have the whole world at risk of being destroyed by god-like forces. Gone is the beauty of imagination beyond what Marvel would ever deliver.This is a parody of what the DCEU gave us before.We were THAT close to have a Justice League movie worthy of being called art; instead, we got another forgettable Marvel movie.Thanks for what you gave us, Mr. Snyder.Shame on you, Weldon, for ruining the art of bringing comic books to life.",6.0,Anonymous,Fantasy
Entertaining but flawed,"So after seeing Batman vs Superman, I didn't exactly have high hopes for this film. The trailer, particularly, with it's sacrilegious abomination cover of the Beatles' Come Together, gave me mixed feelings about it.DC have been playing catch-up with Marvel for ages, and it really shows. Half of the Justice League have already been introduced from previous films. The others (Aquaman, the Flash, and Cyborg) are given their proper debut here (no, I'm not counting their brief cameos in the other films) and the film does its best to integrate them into the story.The film is your standard 'evil overlord tries to take over the world' plot, with Batfleck trying to assemble the Justice League. The team have some funny lines occasionally, which I feel is thanks to Joss Whedon being one of the screenwriters, but once again, the Zack Snyder tropes come to the surface with numerous sped up/slo-mo action scenes. There were also a few lines of dialogue that made me cringe.The film overall is enjoyable but there are pacing issues. The villain of the piece is particularly forgettable. They try to build this sense of scale that looks grand and epic but ultimately it doesn't quite live up to the hype, in my opinion.If we're talking about wasted potential, how about JK Simmons as Commissioner Gordon? I really hope he has more time to shine in future films because he had no reason to be in this film other than establishing his presence in the DC Universe. Also, speaking of wasted talent/useless characters, Amy Adams as Lois Lane... I swear to God, her character development is halted in its tracks beyond simply 'I love Superman'. It's ridiculous.That aside, the main heroes perform well here. I particularly enjoyed Ezra Miller's interpretation of the Flash. Jason Momoa is just awesome in everything. Gal Gadot is great as Wonder Woman, yet again, Ray Fisher makes a good Cyborg (I found it ironic that his Dad was the actor who played Miles Dyson in Terminator 2) and Ben Affleck continues to be great as Bruce Wayne.Not terrible, not fantastic, but it's in the healthy middle ground for me.",6.0,Anonymous,Fantasy
it is awesome,"the movie is fun to watch, I am a DC fan, I have to admit it so I have watched this movie about 5 times to fully get all the stuff this movie offered. Differently, from the edgy tone of Suicide Squad or Batman vs Superman, this movie is just like a real-life version of the old justice league animated series. The movie has its moment, maybe too long with too much detail just in case for newcomers, and I am OK with that. What I'm trying to say is, don't expect an Oscar worthy movie or a deeply underrated masterpiece like Watchmen, the movie is fun to watch, it has its tone, one of the closest live action of the old justice league animated series. 9/10 because there is no green lantern, there cant be any justice league without Hal Jordan or John Steward",6.0,Anonymous,Fantasy
This is not Zack's movie.,"What a butcher job. Let the master (Zack) do his thing, he knows how to make a great movie. I mean come on (Dawn of the Dead , Watchmen, Man of Steel, and the extended version of Batman vs Superman) All 5-Star movies, and then the studio steps in, screws Zack and gives the movie to Joss. This movie should be removed from all media outlets and be replaced by the Zack Snyder Cut. (the real justice league movie) Burn in HELL JOSS.",1.0,Anonymous,Fantasy
Not as good as I hoped,"This film tells the story of Batman and Wonder Woman putting a team together to fight against evil forces who try to bring the fragments of the mother box back together.The visual effects are very impressive, and the story is very fast paced. In fact, it is so fast that it sacrifices the story telling. The main backbone of the story is there, but there's no cohesion, engagement and no captivation. The plethora of characters also mean that each of them get little screen time, hence there's little developer of characters. I thought I was just being fed some fragmented scenes. The socially awkward young guy tries too hard to provide comedic relief, that it makes the heroic efforts of the league less credible. Unfortunately I did not enjoy this film as much as I thought I would.",,Anonymous,Fantasy
Bloated and Poorly Executed...so an Improvement,"If Batman V Superman is the oozing, puss-filled, body wound to the DCEU than Justice League is the haphazardly applied bandage that's currently dressing it. It works at least as far as mitigating the damage, stopping the bleeding and keeping this ugly-looking spectacle alive, but it's not exactly the miracle cure for the mountains of ills currently plaguing the DCEU that fans were hoping for. What exactly does that make Suicide Squad; I don't know, probably the gangrene?Seemingly only a couple of weeks since the death of Superman, Bruce Wayne and Diana Prince aka Batman and Wonder Woman preemptively team-up to protect the world from external threat. To help them, they recruit young upstarts Barry Allen and Victor Stone aka The Flash and Cyborg; as well as marine demigod Arthur Curry aka Aquaman. This is so they can face down the eventual threat of the sinister Steppenwolf and his army of fear-fueled creatures from places unknown aka some inter-dimensional/space traveling hypno-beam (the film is not clear on this point).Starting with the good, the films as-of-yet introduced superheroes are interesting enough characters handled with the best of care by their actors. Miller especially does an excellent job keeping the mirth coming while staying true to the spirit and tone of The Flash and movie respectively. Momoa straight up shows up as Momoa sans the dreads but the rock star bravado he's known for works and works well all things considered. Fisher pulls double duty as a near constant fountain of exposition as well as a living breathing character worth investing in. It doesn't always work given the paragraphs worth of beans he needs to spill but at least no one is calling him the professor yet.The brightest star however is Gadot whose stunning beauty and otherworldly accent perfectly encapsulates every superficial thing we love about Wonder Woman. On a deeper level, Diana's naiveté from the fondly revered Wonder Woman movie is gone, but what's still there is an inner strength that both serves to ground this movie, while being an understandable progression of a character now centuries old.The fact that Wonder Woman is the only character worth not just caring for but believing in should be an indication of what's the biggest problem with this movie. Even with the Batman in the mix, the stitched-together cadre feels less like the world's mightiest heroes and more like a League of Extraordinary Gentlemen. They're given just enough time to go over their skill set and motivations but its all bullet points and untrimmed fat that at times derails the film's pacing. Take a scene transition early on where Bruce Wayne is buttering up Aquaman. This scene is then set against Wonder Woman's action-packed introduction, an edit that arguably works on a narrative level but feels jammed in there like a Janis Joplin tune played just after a cover of ""Come Together"".What's worse, Justice League always seems to be in a rush to get somewhere guaranteeing moments of depth and exposition stick out harshly against the action. Bruce Wayne jets here and there, Steppenwolf picks a fight with the Amazons and the Atlantians, Wonder Woman comes swooping through a terrorist plot etc. It's all action-packed in its own bruising, unremarkable way, but none of it is good at conveying information, establishing stakes or forwarding the plot.Luckily the plot is so simple as to ensure the slow bits are over quickly. Evil-because-he's-evil Steppenwolf wants all the shiny cubes and our protagonists are doing everything in their power to stop him. That's basically it, a first draft good versus evil macguffin hunt that seems to be avoiding themes from the other films until a certain subplot makes it impossible. It doesn't add anything to the genre that they're fighting the third DC villain in five movies with a horned helmet on some power trip about world destruction but at least it makes sense this time around.And before you go huffing and puffing about how the complex mythology behind Superman, Darkseid and the infinite Earth crisis is justification for the repetitiveness; you need to first read the forthcoming sentence aloud and slowly. Movies do not require homework! Knowing the larger purpose and machinations of a motherbox is no more an indication of this movies quality than reading The Dark Knight Returns retroactively makes BvS not a pile of garbage. Enough makes sense this time around but it's still repetitive.And can we take a moment to talk about Batfleck again? I was very loudly not a fan of his older, reactionary Batman in BvS but since that movie was such a dumpster fire, I was willing to give everyone involved a mulligan so long as this one was at least passable. It is, but the poor man still looks like a bewildered stepfather who won the part in a raffle and continues wearing the cowl because his stepson finally thinks he's cool. It's just not a good use of your Affleck. Affleck is good for two things: being an a**hole and being a quiet blank slate a la his character in Argo. Batman is neither of those things but thanks to Affleck he comes across as both. Not something you want for the founder of the Justice League.A reported $25 million worth of reshoots, the unexpected absence of director Zack Snyder due to personal reasons and a shaky foundation built upon the most hated franchise movie to come out since Batman & Robin; it's actually kind of impressive this thing didn't turn out worse. It's not up to the level of another team-up movie that shall remain nameless but at least with Justice League, DC and Warner Bros. prove they're slowly learning from their mistakes. I admire this movie, I really do, but to the extent that I'd admire a fat guy running a marathon. It's trying; it's just too ill-prepared and bloated to do the job efficiently.",6.0,Anonymous,Fantasy
Just an okay superhero film.,"I'm really not a fan of superhero movies, but I'd give some thoughts of this movie. 'Man of Steel' and 'BvS' were crap (except the cinematography in Man of Steel), I liked 'Suicide Squad' a lot, but 'Justice League' was an okay film with some fun scenes. Let's talk about the characters; the only characters I liked are Wonder Woman and the fastest man alive. I haven't seen 'Wonder Woman' yet, but she's really that hot af, and her character makes me want to see her own movie. Aquaman is okay character, nothing special. Batman is just boring af.. Cyborg is also forgettable.Effects and fighting scenes didn't even impressed me anyway. It was too much, and it looks like they really tried so hard to make us 'Wow!', but it didn't even make me. It's just a film with lots of fighting scenes that didn't impressed me which will be forgettable movie someday. I'd give it a 6.5/10 for some good scenes and the characters as I mentioned (without those characters I liked, it would be 4/10).",6.0,Anonymous,Fantasy
