title,content,rating,username,genres
The Better Half,"It's a matter of some debate which volume of Quentin Tarantino's ""Kill Bill"" is better. Let's end the argument right now: David Carradine doesn't even appear in ""Volume 1."" Hasn't the Academy mailed him his Best Supporting Actor Oscar already?In the first volume of ""Kill Bill,"" released only a few months before ""Vol. 2"" in the tail end of 2003, we met Uma Thurman, one peeded-off super-assassin taking out some folks from her past one at a time, with the occasional mega-posse thrown in for interest. ""Vol. 1"" had a lot of blood, violence, and wisecracks, and galloped across the screen like a rap video on steroids.""Vol. 2"" is way different. It makes sense it's a separate movie; the tone is such a departure from ""Vol. 1"" in two ways. One is style. Director Tarantino has fun stylistically quoting Sergio Leone and chop-fu cheapos from the late 1960s and early 1970s. Cinematic sampling is something he's good at and enjoys, but in ""Vol. 2"" he doesn't go as overboard as he does in ""Vol. 1."" He pulls back and lets the plot breathe, rather than filling every spare second with a homage-cum-parody that maybe a dozen lucky fans will get. Maybe some here wish he'd pile it on a bit more, but they have to make do with the goofy Pei Mai sequence, which is a flashback and hence not jarring in its ""Vol. 1""-style comic-book treatment. Throughout ""Vol. 2"" the emphasis is on storytelling and character-building, which is where it should be given we are now being asked to deepen our commitment of interest to these people. ""Vol. 1"" is okay for what it is, but its flash and action are no match for the depth and nuance of ""Vol. 2.""This gets to the second different tonal difference between the films, which is emotional. It all comes back to the characters. They don't quite become real people here, but they get close enough to get under your skin. Admittedly, the opening part of ""Vol. 2"" tests the viewer's patience a bit, there's some long bits that show the director hasn't really mastered self-discipline, like with Thurman's graveyard struggle, but the meandering usually has a purpose. Tarantino is building toward something here that has its payoff when Thurman's character finally has her face-to-face showdown with Carradine's Bill.From that moment forward to the end, this is the best Tarantino has ever been.Carradine and Thurman dominate the proceedings with two of the finest performances I've seen, certainly the best Tarantino has directed, playing off the mythology we've been taught in ""Vol. 1"" and developing resonances with the viewer both together and apart which will surprise those expecting a casual butt-kicking affair. We finally find out what Carradine means in the first line of ""Vol. 1"" where he tells a whimpering victim he is being masochistic, not sadistic, and its a powerful revelation, that this sinister baddie may have a heart buried under that cold exterior. Carradine is perfect in his phrasing, his pauses, the tired glint in his eye, or the way he says ""Kiddo."" You can't ask for a better veteran performance. For her part, Thurman presents a brilliantly conflicted character who can not stop either hating or loving Bill, and brings us not into a world of cartoon anguish, but real human pain.""Kill Bill Vol. 2"" is slow-moving, and needs ""Vol. 1"" in a way few sequels do, since it assumes you know nearly all the characters coming in. That's a weakness. So are some undeniably pointless bits, including the entire sequence with Bill's father figure, Esteban Vihaio, and some business at a bar involving Michael Madsen, who plays a former assassin now gone to seed.Madsen's good, though, and so's Daryl Hannah as another rather mouthy assassin, Gordon Liu as Pei Mei, and especially Perla Haney-Jardine as a girl named B.B. The nice thing with Tarantino is for every scene that strikes a bum note, there's four or five that hit the right mark, and some manage to do much more. My favorite scene involves a Mexican standoff in an L.A. hotel room between Thurman's character and an anonymous hitwoman, at once grippingly suspenseful, hilarious, and life-affirming. Still, it's the final moments of this film that will stay with you, as Bill and his former pupil work out their ""unfinished business"" and we are left to ponder the results of their decisions and actions.""Kill Bill Vol. 2"" may not reach the heights of cinema to which it aspires, the level of ""The Good, The Bad, And The Ugly"" quoted in its score, but it's a fine film that will make most viewers glad they stuck around for the second installment. I am.",8.0,Anonymous,"Action, Crime"
Not as good as the first Volume,"The second half to Tarantino's Kill Bill movie, Volume 2 gives us an adequate ending to The Bride's quest for vengeance. I'm not blown away by Vol. 2 and it feels like a weaker version of the first Volume. Gone is the caliber of character and flair that blessed the first volume. Gone is the sense of mystery carefully cultivated in the first volume, replaced by backstory that's wholly acceptable but ultimately uninspired. The dialogue is fine as well, it's Tarantino dialogue, but still not as good as the first volume. Soundtrack is fine, but definitely not as iconic as the soundtrack of Vol. 1.Volume 2 doesn't take itself seriously, a continuation of the same signature demeanor of the first Volume, but while Vol. 1 pulled it off in an irreverent manner, Vol. 2 comes across as goofy and slightly overdone, and not goofy in a positive way.It's an OK movie, my critique sounds overly negative but 7/10 really isn't a terrible film. I just don't think this lives up to the preceding volume. I'm sure there's some deep film-lover layers of meaning that flew over my head, I saw another review waxing poetic about how this was the best thing Tarantino's ever done and talked about all the homages to other film inspiration layered into the film that I very much did not pick up on. So if that's your demographic, this might be the movie for you.",7.0,Anonymous,"Action, Crime"
Tarantino's Triumph: Volume Two,"Rarely 	known a movie I've been looking forward to so much than Q.T's resumption of the Kill Bill saga. I, as well as millions of others film-freaks, awaited Uma Thurman's further adventures with wicked anticipation. And of courseTarantino didn't disappoint. Volume two is a completely different movie than volume one, but it's equally brilliant and the director's trademarks are shown more than obviously. Volume one merely was homage to the Eastern Martial Arts movies, with delightfully over-the-top splatter and gore while Vol. 2 fully focuses on ancient westerns and rural horror. There's more dialogue, more twists n turns and the anti-chronological structure results in more depth and involvement. Some unexplained elements from Vol.1 become clear now and even the entire background of Thurman's character gets unveiled. For the very first time, (as far as I can remember) Tarantino really knows how to create an unbearable tension! There's a sequence in which Uma is buried alive and trapped under the groundThrough simple methods, like a completely black screen, Tarantino arises claustrophobia among the audience! Truly terrific filmmaking.The actors in Kill Bill aren't Hollywood's best, but they each have their charisma and their typical Tarantino characters do the rest. The camera viewpoints are brilliant at times and  as usual  the tiny absurd elements are a joy to discover. Tarantino's entire Kill Bill achievement may easily be considered as one of the most creative and dared film-projects ever! Do yourself a favor and watch them! Over and over again.",9.0,Anonymous,"Action, Crime"
Glad to see the split.,"When I first heard that this film was going to be split into two movies instead of being presented as one as originally planned, I was angry. I accused the powers that be of trying to squeeze two box office triumphs out of a single project. But after having seen both 'Kill Bill' and 'Kill Bill Vol.2', I am glad because both films are extremely different even though the stories are tied together with primarily the same actors and having the same director. Containing less action than 'Kill Bill', volume 2 is intelligent, bizarre and extremely engrossing. It absorbs all of its elements equally and David Carradine's performance as Bill is the best thing to happen in movie villain history since, well, I'll leave that up to individual interpretation.",,Anonymous,"Action, Crime"
A Tarantino Masterpiece,"Over the last 40 years, I've seen a lot of movies. All types. Some great, some good and some mostly inedible; most left my breath with a sour smell. Westerns, sci-fi, comedies, dramas, etc. After seeing Kill Bill Vol I, I assumed that any sequel would pale to its predecessor. I, of course, was premature in my prediction. The movie was, by all means, a classic. I feel Taratino was really trying to make a great movie versus making money for his producers. To build his tasty sandwich, he took the lessons he learned from life as a movie maker and cleverly managed to meld some slices of meat from Sergio Leone (subtly), Akira Kurosawa (very subtly) and, I'm stretching it here, Ridley Scott, to create a great sequel to an excellent first movie. He used some great, almost forgotten actors (Daryl Hannah, Micheal Parks, and David Carradine to create a memorable meal. It was only a sandwich, but what morsel it was. I was full and wanting more. Very rare to find this type of film in our corporate world. He must wield some real power in the movie world. I don't know of anyone who has saw this movie who hasn't given it great feedback. And I know all types of viewers. My wife, who really doesn't like anything that is not overly melancholy or dripping with sentimentality, actually liked the whole movie. That in itself is an endorsement. Well done. Mr. Tarantino, you will be hard placed to match this gem.",10.0,Anonymous,"Action, Crime"
A masterpiece by Tarantino.,"I've been waiting to see this movie for so long, and when I finally saw it, I loved it! it was worth the wait.Vol.2 picks up pretty much where Vol.1 left, except for some flashbacks explaining what really happened with the characters.  Uma Thurman is back as The Bride, and we get to know her real name finally.  Also Daryl Hannah comes back as Elle Driver, the one-eyed killer, Michael Madsen plays Budd, Bill's baby/loser brother, and the infamous Bill is played by David Carradine.  The performances are just great, Uma Thurman delivers a great performance as The Bride, we finally get to know her character a little better and the true reasons why she wants to ""Kill Bill"".  I also have to say that David Carradine was perfect to play Bill.  He has great charisma and he's so smooth, it's impossible not to like him.  Daryl Hannah's performance was great too, and Michael Madsen's too.Once again the music plays a key factor in this movie, is very well selected and for every single scene the music fits perfectly.  And of course, the dialogue.  In this movie, we get a lot more dialogue than brutal fighting like in Vol.1, this movie is more centered in explaining what led Bill to do what he did, it pretty much focuses in the past, explaining the whole thing. I especially liked the dialogues between Bill (Carradine) and The Bride (Thurman), I thought they were clever and just great, like all Tarantino's dialogues.  Also the locations were excelent, I have no idea where they shot the film, but the landscaping was great, I truly enjoyed it.Well it would be better to see Kill Bill Vol. 1 and Vol. 2 as one movie, not different, because in the end, you must see them together to understand.  So I give this movie a 10/10, I loved it, it was great, great dialogues, great performances, great fighting sequences, everything was great! And I think that Uma Thurman and/or David Carradine (at least him) should be nominated for an Oscar, they were perfect and they deserve that international film makers acknowledge that. Tarantino you are the best!!!",10.0,Anonymous,"Action, Crime"
The Vengeful Bride Part 2...,"It's a hefty price to pay, preparing for your wedding day, as your jilted lover Bill, arrives in time to maim and kill, left unconscious, comatose, muscles wasting, decompose, four years later you awaken, and you feel a little shaken, so you start to wiggle toes, then start looking for your foes, there are several scores to settle, you know how to use sharp metal.The Bride continues to track down her past acquaintances and leaves them under no illusion how cold her revenge can be when it comes to finding the whereabouts of the titular Bill. In the style of several classic film genres from several countries, if the pursuit of ultra-violent and vicious vendetta with serious loss of blood and body parts is your thing, then you've come to the right place. Also contains great dialogue.",9.0,Anonymous,"Action, Crime"
Honestly better than the first,"Kill Bill Volume 2 is the astonishing follow-up to perhaps 2003's best film, Kill Bill Volume 1. Quentin Tarantino once again demonstrates a mastery of dialogue in this homage to the great western and kung fu movies that inspired him from his video clerk days.Simply, this film is as entertaining as hell. Tarantino unabashedly takes the viewer for a joyride, and the end result is a movie with intense action, tempered with some of the best dialogue I have ever heard.Some have pointed to this film as inferior to the first volume of Kill Bill: I disagree. Whereas Tarantino is a great action director (the scene in the first film with the crazy 88s is one of my top five favorite battle scenes of all time), he even surpasses this talent in his ability to write witty, intriguing dialogue: and this film really delivers it. One scene in particular, with David Carradine as Bill, near the end, speaking with Uma Thurman's The Bride while he makes a sandwich, is unforgettable and insightfully interesting. There are few points where the film drags, and the movie ultimately creates the impression of a visceral experience. 10/10. Go see this film, it is by far the best film released so far this year.",10.0,Anonymous,"Action, Crime"
Powerful Tarantino's Cinema,"Vol. 1 is blood and fun, Vol. 2 is a memorable piece of art.",8.0,Anonymous,"Action, Crime"
Disappointing and Overrated Sequel,"After killing O-Ren Ishii (Lucy Liu) and Vernita Green (Vivica A. Fox), The Bride chases Budd (Michael Madsen) and Elle (Daryl Hanna). Then, she finds Bill (David Carradine), where a surprise waits for her. The second part of Kill Bill is a disappointing and overrated sequel. The reason and the massacre in the Texas church are finally presented and is the best part of this volume 2. The first part (Vol. 1) of this story was full of action and very funny, but there is too much comic book cheap philosophy talk and a corny conclusion in this second part.  In Brazil, `Kill Bill Vol. 2' has not been released in the movie theaters yet. I saw it in an imported DVD and I really did not like it, since I expected much more from Quentin Tarantino. My vote is six.Title (Brazil): `Kill Bill Vol. 2'",6.0,Anonymous,"Action, Crime"
