title,content,rating,username,genres
Not as bad as the reviews say,"Knowing is one of Nicholas Cage's lesser films, that's true, but it's nearly as bad as the majority of the critics reviews. Knowing is a science fiction film starring Nicolas Cage and Rose Byrne. The plot surrounds children who are able to tell when the worlds most horrific disasters and atrocities happened. Figuring out how these kids know these things and what the numbers mean is really what the entire movie is about. The performances are pretty good from the two leads. Byrne and Cage both turn in believable performances. I think that the script was average, the writers did their job, it's nothing spectacular but it suffices. The idea of the movie was very interesting and it's executed well for the most part. There are some parts of the movie that do feel kind of lackluster but they pale in comparison to the ending and how interesting it turns out to be. Some people said they thought the ending was too weird and random but I think it was unexpected and cool. And I think the way in which it ended gave the film a meaning. Overall yes I would recommend Knowing, it's not one I'd go to automatically when recommending films to people but I would say it's a fairly interesting watch. 7/10.",7.0,Anonymous,Mystery
Interesting Ideas,"There was a lot that was right with this flick. There was some good and questionable acting moments. There were some liberties taken with the plot that had me scratching me head. I feel like this movie had cutting edge cgi for 2009. The last ten minutes dropped this from what could have possibly been a 7 if I was feeling generous. No one will ever read this. I am a lonely person. Ahahahahaha, a hahahaha, aaaahahahaha!!!",6.0,Anonymous,Mystery
What if everything's not just meaningless chance?,"A disillusioned professor in the Boston area (Nicolas Cage) acquires a document that has successfully predicted tragedies for the last fifty years, but new ones as well (!). Rose Byrne plays the daughter of the seer.""Knowing"" (2009) is a quality drama/mystery with elements of disaster/sci-fi and even a little horror. It's along the lines of wonder-inducing flicks like ""The Mothman Prophecies"" (2002), ""Contact"" (1997), ""The Forgotten"" (2004), ""The X-Files: Fight the Future"" (1998), ""Signs"" (2002), ""The Day the Earth Stood Still"" (2008) and ""War of the Worlds"" (2005). If you favor the style and themes of those movies you'll probably like this one.The film runs 2 hours, 1 minute and was shot in Victoria, Australia, with establishing shots of the Boston/Cambridge area.GRADE: B",7.0,Anonymous,Mystery
Alex Proyas's doomsday piece boasts a chock full of interesting concepts and sleek special effects to make up its fundamentally flawed climax,"This science-fiction thrill piece starring Nicolas Cage in the protagonist role is a film blooming with brainy concepts on science and religion, while hanging over apocalyptic themes that pay reminiscence of other end-of-the-world flicks like 'Left Behind'. After all, the key figure in the story is revolves around what appears be a biblical prophecy, although the spiritial theme only serves as a small undertone here rather than driving the storyline. Director Alex Proyas, the father of projects such as 'Dark City' and 'I, Robot', exhibits his grandeur of visual stimulating style that manages to triumph over its compelling, if somewhat flawed plot. Proyas is successful at making the thought-provoking ideas work, even if they are occasionally little rocky. The only major flaw is lies in the final act that borders on the line of preposterous. It is not a groundbreaking piece of work for the genre, but it is just enough to warrant for a sweet recommendation. This film opens up in 1959, at an elementary school where children are given the assignment to draw pictures of what society will like fifty years from that time. One girl, Lucinda Embrey (played by Lara Robinson), draws a long series of seemingly random numbers and places the paper in the school's time capsule. Flash forward to fifty years later, a nine-year old Caleb Koestler (played by Chandler Canterbury) and his class open up the time capsule, and Lucinda's paper is found in his hands. When he shows the paper to his widowed father John (played by Nicolas Cage), an astrophysics professor at Massachutes Institute of Technology, John believes the numbers are enigmatic codes to disasters occurring around the globe. Enlisting the help of Lucinda's daughter Diana (played by Rose Byrne) and granddaughter Abby (also played by Lara Robinson), John must encrypt the message of what seems to be a sign of a global catastrophic event.Some may question whether Alex Proyas is trying to deliver a cautionary tale about an apocalyptic prophecy or is pinning viewers with complex ideas of science and religious theology. Both are more than likely doubtful, especially when the plot shows little respect for the laws of science to begin with. Nonetheless, it keeps things deeply eerie and grim in terms of storytelling and tone, almost bordering the line of a psychological horror thriller. Caleb and Abby are children who are haunted by mysterious entities, resembling the alien creatures from 'Dark City', who introduce them to terrifying visions of the world facing mass destruction, an eerie, yet shocking concept that is placed with sweet visual spark in one scene where the former looks out his window and sees the forest engulfed in flames. The main protagonist in the story however, is John Koestler who is infused with a performance by Nicolas Cage that can only be described as acceptable, but not bad. When Koestler learns of the terrifying secrets behind Lucinda's prophetic message, that is when the story kicks into gear, allowing Proyas to experiment with his engaging concepts. His attempts at breathing life into his ideas are mostly successful and set room for some visually electrifying sequences such as devastating plane crash that leaves several victims flailing in flames and a subway crash that racks up an enormous death toll. However, the third act, which is predictable and sets up with heavy emotional sigma, is a little absurd; especially if how unrealistic the characters behave to such an unnerving situation that is on the horizon. Shouldn't they be more terrified? On the bright side, the audience is blessed with a riveting score by Marco Beltrami to settle the tone.Knowing is a compelling doomsday-themed piece with a chock of interesting ideas of science and religion put into play, and a surprisingly enthralling execution by Alex Proyas who brings his powerful visual grandeur to the game. It is a flawed picture with an execution may have a few scars, but not enough to make it a sore to sit through. Don't expect it to be anything revolutionary.",7.0,Anonymous,Mystery
Clever and well done.,"This movie was a nice surprise. I usually don't like Nicholas Cage movies. Any of them. But he was perfectly cast for this science fiction piece and delivered a solid, believable performance.The story itself was brand new, not a rehash of any tale that I can recall.The directing allowed you to see the film without knowing until the very end what was happening - which was great. I usually enjoy figuring out the end before it gets there, because it usually seems that if I CAN'T figure it out... the movie is poor. That has been my experience. But Knowing delivered a solid mystery up to the end, with the type of finale where one thinks, ""Oh, I should have seen it coming, those 100 things that happened all make sense!"" Really, all the little details came together in a flash of a solid closing.I also appreciated that there were no loose ends. Everything was tied together in a neat bow with nothing hanging out.The only negative that I have will sound humorous to you if you don't see the movie, but I won't spoil it for you except to say that the metaphor of a pair of bunnies wasn't necessary.Catch this movie when you can, it's definitely worth it.",,Anonymous,Mystery
"The Good, The Bad and the Ugly","The good: Strong start to the movie, the plot hooks you in, excellent sound, confronting disaster scenes, haunting images, Rose Byrne, at times quite freaky, The Bad: Special effects looked like they were from a video game, ripped off basically every science fiction movie ever made, poor acting from Nic Cage, very predictable.The Ugly: Last third of movie was shamefully ridiculous.Summary: If you are a science fiction fan, you will probably not be able to resist seeing this movie. Be warned, you will think you are seeing the sci-fi great that you have been waiting for but mid way the film gets lost. You may very well groan out loud at the ending. This had the makings of a great movie but unfortunately it couldn't come up with the goods.",7.0,Anonymous,Mystery
Interesting Idea,An interesting idea paired with suspenseful moments makes for a good 2/3 of a film. I just wasn't very happy with the end.,5.0,Anonymous,Mystery
Why all the hate?,"I know it's a bit late for a review but I feel compelled to reply to some of the criticism leveled at this movie. The reviews tend to be based on a few mistaken assumptions.1) The movie is pro scientology propagandaIf there is any truth to this then the propaganda is very obscure, as a quick reference to scientology symbols does not include the 7 pointed star as per one detractor. To state that the movie uses a numerical based prophesy and that this is indicative of scientology is conspiratorial and nonsensical. Both the bible and koran are full of them. Maybe I am too ingenuous but at no time did I feel I was being led along a path of conscription to scientology.2) plot holes due to slim chances of a text fortuitously falling into the hands of a person intelligent enough to decipher the meaning and be the father of one of the chosen survivors and have the descendants of the original prophecy play a part in the fruition of the plan.fair enough, but nobody seems to question as to why the prophesy itself is possible. Surely if the universe was deterministic, as suggested by the very presence of a prophecy, then a sufficiently advanced civilization able to foresee the prophecy would also be able to foresee the path they have subscribed to the resolution they have decided on.3) The movie doesn't make sense or jumps around too much.Fortunately there are many straight forward shows and cartoons to watch instead .",8.0,Anonymous,Mystery
"Anti-Armageddon, as far as Michael Bay goes","I feel a strange shift of priorities within moviegoers today, when a movie like District 9 can use very familiar content and simply shake it around a little, and then be hailed as a masterwork of originality and become immensely popular - while a movie like Knowing will be heavily questioned and criticized beyond it's proportions despite, or perhaps due to, the fact that it actually takes an actual leap of originality. I wonder when the latest time it was I saw a Hollywood-movie end up where this one ends up. While not being perfect, Knowing still is a proper science-fiction film in the vein of 2001 - A Space Odyssey and Close Encounters of the Third Kind. Certainly not as good, for various reasons, but at least clearly part of the genre.The storyline of Knowing is kind of a reversed bottle neck, by the end the multitude of the story is as big as it gets but to begin with, we are in a kind of X Files territory where we get a spooky prologue with a mystery note being dug under the ground (I won't go into the details, because it's really not important for me to go over them) and post credits we pick it up 50 years later when the note ends up in the hands of MIT professor John Koestler (Nicholas Cage) who is one of those I-lost-my-wife-so-I-lost-my-faith kind of guys, believing that the universe as we know it is all random and coincidental. Easily cracked, the numbers on the note, written by a little girl and buried for five decades, declare the dates and places of all future disasters to come, including death tolls. Cage sees 9/11 predicted from this little girls hands in 1959, as well as the Katrina and several disasters that haven't taken place yet. Without saying too much, he doesn't like what he sees at the end of the list of numbers.I have heard the movie be called predictable. Looking back, I must admit there's a lot of places where I could have seen a lot of things coming. Many quite blatant clues are placed right in the very first couple of scenes and if you know your plot and character mechanics, you would spot some obligatory scenes to come. However, I didn't. It seems I was in on the ride. The plot of the movie, I think, expands in such a methodical way that as long as you get sucked in to begin with, you don't ask any more questions. The mystery is intriguing enough to have you focus on the next shot, not the overall story. I was fairly annoyed by the story device that was seemingly on the side of the plot, dealing with Cage's kid being stalked by a couple of evil, albino trench-coat-guys looking like a bunch German electro-goths. I found that they distracted the viewer from the more interesting, down-to-earth kind of story going on with Cage. But come the ending of the movie, nothing is really earthbound and they seem kind of forgivable in retrospect. Just like in Close Encounters, Knowing is a movie that starts out cryptic but ends out in big scale cathartic satisfaction and harmony, as if it all (*all*) makes sense in the end.As for the flaws, I didn't mind the story or any of the plot holes (which mostly are arguable anyway). What did bother me probably more than anything else about the movie, though, was it's unfortunate big-time flirt with the melodrama. Take the score for instance, by Marco Beltrami, not really king of the subtle, and it's unfortunate for a movie which deals with this unusual hypothesis to have such operatic and stereotypical acting. And why, WHY, do Hollywood-movies nowadays feel the need to use those HORRIBLE matte paintings? They look like a 50's parody! As for plot, Knowing certainly bites off a lot more than it can chew. I quickly noted in the credits, with fear, that while the story credit went to one person there were like three or four guys behind the actual script. That usually means what we also get in Knowing. Messy conflicts within the narrative and sudden ""moronic behavior as plot device"" from characters. Also, not every mystery thread thrown up on the floor ends up with a sensible conclusion. But despite a lot ends up as fairly arbitrary anyway, I think a lot of the questions are meant to be left unanswered. Knowing picks up a lot of ancient SF-ideas, that probably would seem tired if this genre had been over-represented in any way, and at the end of the day, you didn't ask the monkey in 2001 how he figured out how to use that piece of bone, right? In all fairness, the movie is partly a thriller so it needs certain plot devices in order for the it to have a good spook value which, I might add, it surely delivers. This is the kind of movie that creeps you out just by having a character flip a bed on to it's side. I'm not sure if these abandoned mysteries is a giant flaw or just one of those things you can roll with, but I know that it makes sure it doesn't reach the top. Knowing is a movie made I'd say for 80% entertainment, and I could say I was 80% entertained. The remaining 20% is sci-fi fodder and that made me happy too. No masterpiece then, but a good ride that I certainly will recommend.Also. I get the feeling that a lot of people who dismissed Knowing this summer were the same guys who were angry at the Bay bashers of Transformers 2. I wonder, why on Earth are the flaws of Transformers 2 forgivable, whereas the strengths of Knowing dismissible?",7.0,Anonymous,Mystery
Under-rated,"Ok, so Nic Cage may not be the actor of the century but he does do poe faced well, lol. 
However this movie is highly under-rated. Chandler Canterbury is fantastic and the special Fx are some of the best ive ever seen. The storyline is also thought provoking and new. My only gripe is the ending, which wouldnt have been my choice.",9.0,Anonymous,Mystery
