title,content,rating,username,genres
Entertainment in its purest form,"Like many others, I saw the ""trailers"" featuring Jack Black. The featurette made me think ""Okay, at least I got to check this out"". Not much more. It didn't make me think ""This is gonna be awesome"" or anything like that.Boy, was I ever under-expecting.At first I thought it was quite okay, decent entertainment and at least not totally crap. But then the really funny scenes and details kicked in, after Po gets into the temple. From then on, it was laugh after laugh, excellent voice acting, amazing CG animation (but this is Dreamworks so I expected that).The whole deal simply hit home run for me. Spot on. I love martial arts movies, I love Dreamworks CG movies and I must admit I find Jack Black amazingly funny (saw Be Kind Rewind the other day and loved it). There was so much charm and amusement in this movie. It's without doubt the best animation from Dreamworks since the first Shrek.Now, I am not saying this will be for everyone. There IS a lot of fighting going on, and while it is (for most of the movie) comical (yet amazing to behold) violence, it might not be suitable for the smallest of children. But for any healthy kid aged 6-7 or above (especially boys), this will be kick-a**! I cannot really put my finger on anything bad. Sure, the movie is filled with clichés, but sometimes you can go a long way with those. And this one serves them perfectly. I even rated this higher than Ratatouille, due to the fact that it took me totally by surprise. With Ratatouille, I EXPECTED it to be great. Kung Fu Panda I only expected to be decent, but it was awesome. That deserves the last point.",9.0,Anonymous,Animation
Wasn't Expecting much - Got a very good movie,I was almost dreading seeing this movie - we won tickets to the screener and from the first scene I found myself laughing out loud. The movie is so much better than I thought it would be (and that was bad) - I expected the comedy to be slapstick/junior/potty but it wasn't. The story was also good enough to keep my kids focused glued to the screen. The animation is wonderful. Music is tasteful. I can't imagine anyone but Jack Black pulling off the voice though - he definitely made the movie for me. The only thing distracted me was that most of the movie I spent trying to figure out who was doing the voice of Tai Lung (Ian McShane). As mentioned previously in the forums about the pop culture references in this movie - I don't remember one - very nice indeed - it works with some of the other movies but I can do without. This is the first movie in a while I'd like to see again.,8.0,Anonymous,Animation
"Kick ass movie, almost note perfect","I saw this movie in the Cinema last night. I can not recommend this movie highly enough to kids of all ages. it is a long, long time since i have heard a Cinema audience laughing so much during a movie ( i think the last time was during Gigli!).Finally Dreamworks have managed to surpass the achievements of Pixar. All the elements are beyond anything i have seen in an Animated movie since The Lion King. the animation is hugely detailed and achingly beautiful, the script is the best i have come across in years. the only bum note in this symphony of fun is the fact that some of the immensely talented voice cast are badly underused. i can only remember hearing Jackie Chan's voice 3 times at most. having said that, the movie rests on the shoulders of jack Black and Dustin Hoffman. while playing their parts in a very different manner to each other, both are note perfect. they invest their characters with an energy (Black) and dignity (hoffman) that i could not find any fault with, even if i wanted to, not that i want to.Lastly, i believe that Oogway is the best animated character ever rendered, his facial expressions are hilarious and-surpass any previous attempts to give a character convincing facial expressions (i consider Gollum to be a CG character, not an animated character, for the record).in short, this is an utterly fantastic movie that everyone should watch 9/10",9.0,Anonymous,Animation
One of the best films from DreamWorks.,"Take it from me, this movie is brilliant. Don't go by it's silly child-pandering name, this film is for everybody. From little kids just looking for some simple fun for a little while to adults looking for a more compelling experience that makes you feel for the characters, this one's for everyone. Funny action adventure with some wise words scattered throughout.",,Anonymous,Animation
"Exceptionaly visual, funny, action packed and  intelligent movie for all ages.","One of the best comedy movies I've seen, this animation feature is both packed with action and intelligent at the same time. It's yet another variation on ""You can do anything if you believe in yourself"" and carries strong morale and educational message. But the way it's done, the incredible visual side of the story, as well as the dialogs, is just exceptional. You can't but love the fat Panda boy who's dreaming about being the greatest warrior of all China only to wake up to the reality of hawing to serve noodle soup in his father's shop. Unlike his father, who also dreamed but never found the courage to act on it, Panda follows his calling and by ""luck"" get chosen to be the legendary Dragon warrior by the Kung-Fu grand master, the old turtle, to defeat the evil tiger. That's when his training and troubles start. It's really for anyone between 3 and 100 and I laughed and loved it from the titles in the beginning to the very end. Much recommended.",10.0,Anonymous,Animation
A True Warrior Never Quits,"In China, the big, fat and clumsy Panda Po is a great fan of martial arts and worships The Furious Five - Tigress, Crane, Mantis, Viper and Monkey – and their Master Shifu. He works in the restaurant of his father specialized in noodles, but he dreams on being a kung fu hero. When Master Oogway summons the population to announce who would be The Dragon Warrior, he surprisingly points out to the slacker Po, frustrating the expectations of Master Shifu and Tigress. Po joins the academy of Master Shifu that does not believe that Po might be The Dragon Warrior. Meanwhile the evil Tai Lung breaks out the high-security prison where he has been arrested for twenty years and heads to the temple of Oogway, expecting to get the Dragon Scroll and becomes more powerful. The Furious Five tries to intercept Tai Lung, but they are defeated. Now the only chance to stop Tai Lung is the glutton Po.""Kung Fu Panda"" is a very funny and entertaining animation, with the delightful story of a clumsy Panda that dreams on being a hero. The computer-animated heroes and villain are hilarious, supported by the voices of Jack Black, Dustin Hoffman, Angeline Jolie and other magnificent actors and actresses. Po is tailored for Jack Black and I can not imagine this character without his voice. Dustin Hoffman also makes the difference with the voice of the wise Master Shifu. I just regret that I did not pay much attention to this animation before and only now I have watched it. My vote is seven.Title (Brazil): ""Kung Fu Panda""",7.0,Anonymous,Animation
"Finally, Dreamworks Animation has a classic.","After various 3D animated movies ranging from lacklustre ""star"" movies (""Madagascar""), boring tripe (""Shark Tale"", ""Bee Movie""), and over-rated, over-hyped overkill (""Shrek""), Dreamworks can finally be proud of a truly great film. (Sidebar: I actually enjoyed ""Flushed Away"" and ""Over The Hedge"".) First, the bad. If I could complain about ANYTHING it may be a few of the voices. Besides Po, Shifu and Oogway, the rest of the cast seemed pretty 'phoned-in'. Thankfully, those characters are pretty inconsequential so they're not really missed.Now the good... or rather great. While classic kung fu movies are poked fun at, Kung Fu Panda does an excellent job of treating the genre with great respect in a movie geared towards kids. And while it IS kid friendly, it is not dumbed down to the point where it's childish. All the classic elements of those great kung fu flicks are there, while still keeping it pleasantly G-rated.Let me get this out of the way: this movie has some of the greatest 3D animated fight scenes. Ever. What elevates them from good to great is that while I expected the unbelievable, gravity-defying stunts that are REQUIRED of a good kung fu movie, there is an amazing amount of 'realism' to the physics in this movie. Just watch the jailbreak and you'll understand.Speaking of animation, the cinematography, character design and backgrounds are all done very, very well. Whether it's flying through the air alongside a leaping character, the painting-like backgrounds, or the wonderful opening sequence (reminiscent of Samurai Jack), they're all beautiful. Snap zooms, slow-motion, and flying cameras are also used with great skill to further the experience.Even the music and sound is outstanding. Asian drums rumble in the background of intense fights... stones shatter and crumble away... fight sequences rise and fall with each of the music cues, or is that the other way around? Beautiful.What helps make this a new classic in my eyes is what it doesn't have. There are no Matrix, Spiderman, or other dated references. There are no inside jokes related to the voice actors. There isn't even any double entendre or unnecessary crude humour. Much like ""Finding Nemo"" or ""Monsters Inc"", there's just plenty of pop-culture-free goodness that is terribly entertaining.The last great part of this movie is often the most overlooked part of a good family film... heart. This movie has oodles of it. Other movies have tried to have a lesson in the end like 'be yourself' (""Shrek""), or 'the value of friends' (""Madagascar""), or... 'be yourself' (""Shark Tale""), but ""Kung Fu Panda"" has genuine cinematic moments with dialogue that carries real weight. Best line: Oogway regarding yesterday, tomorrow and today.So, finally, as a complete sucker for Pixar animation, I'm glad that another animation company can actually put proper thought and execution into a FAMILY movie. What else can I say? Congratulations Dreamworks. 10 out of 10.",10.0,Anonymous,Animation
Good,"I am not a big fan of Dreamworks' non-Aardman movies after Shrek. They used too many jokes, pop-culture references etc. instead of serving real story with real characters. The only exception is, I think, Over the Hedge, which, while not really Pixar-standard, is one where they didn't overuse pop-culture references but gave us lovable characters and a good story. I think Kung Fu Panda is closer to Over the Hedge than other Dreamworks-movies. Actually I didn't find real pop-culture references (while there may be a lot of references to martial arts movies - I lack knowledge of them - there is nothing that does not fit to the story and the characters) at all. Slapstick is very childish in the movie; I can understand that, they wanted to sell it to the little ones too. But other than that, and most of the time, it is a beautifully-animated kung-fu movie with great scenery that is more for adults and kung-fu movie lovers than for children. They even give time for character building, although it is only for the Panda and the two masters; others are really one-dimensional (they even don't really have too much screen time for more). The story is nothing new, but maybe that's not something you would expect from a Kung-fu movie. All in all, the movie is much more fun and sensitive but with less jokes than its ads suggest. i did like it even if I didn't love it - maybe you should be a kung-fu fan for the latter.",7.0,Anonymous,Animation
Dreamworks hits a HOME RUN with this one!,"From the very beginning, Kung Fu Panda had me practically falling out of my seat --- laughing. It was the perfect blend of comedy, heart, and action, all necessary elements in a successful and great animation/CGI film, in the tradition of The Incredibles and (less action, but containing the heart and laughter) Ratatouille, Finding Nemo and Monsters, Inc.I took my wife and nephew and niece to see it on a Friday night and they enjoyed it, too! We were totally laughing, smiling, and guffawing at Po, the main protagonist (voiced by Jack Black) and his misadventures at becoming a Kung Fu expert. This was certainly a flawed character, one that a lot of people can relate to because he dreams, he's funny, and he can laugh at himself. Also, the story was pretty clear and easy to follow because the storytelling was well crafted, and the animation was paired well with characters brought vividly to life by some of the most famous names in Hollywood.Jack Black and Dustin Hoffman are downright excellent as the main characters, and Ian McShane as the bad dude gave it the right fearful presence. Other big name stars don't shine as much, but that's because their roles are rather limited in the film. But that's still okay because the animators should be given equal credit (if not more) for delivering the funny, action and heart elements of this movie in an effective, amazing and (I've got to use this) AWESOME manner. Visually, this movie is stunning (notice all those scenic shots of the Chinese mountains, bodies of water, and the bridge scene; not to mention the action animation version of ""The Matrix"" with slow-mo)... simply a delight to watch.It's clear that Dreamworks has gotten back in the animation game with Kung Fu Panda, after slight ho-hums in Shrek 3 and Bee Movie (call me crazy, but I liked Over The Hedge more than those two). Hopefully, it should earn well over $500M worldwide because it is so good.This movie rightfully belongs in the top animation movies of all time (okay, let's not include the classic fairy tales of old; let's begin with the 90's onwards), alongside my faves ""The Incredibles"" ""Finding Nemo"" and ""Beauty & The Beast."" Has the makings of being a classic.My wife and I enjoyed it so much that we saw it again the night after. And maybe another time... haha!Enjoy!",10.0,Anonymous,Animation
"Weak, but well made for kids","When one goes to see a movie of this nature, it is expected that they will compare it to its peers; Finding Nemo etc. However, I cannot even come close to putting this movie in the same category as Finding Nemo when it comes to ratings. Let me explain.Kung Fu Panda is an easy 92 minutes, that will not only leave children in hysterics at the good clean humour, but will not leave you fuming at Dreamworks for taking another hour and a half of your life. Jack Black brings a full blown feast of his personality to the table, and Dustin Hoffman does a stellar job as the diminutive kung fu master. Jolie, Liu and Chan hardly feature in this star studded cast. The animation is as good as you expect these days, and the pace of the movie doesn't let anything to be desired.However, I do have a few bones to pick with this film. One can go see Toy Story and be captured by the notion of figurines coming to life while the human beings are away, or see Finding Nemo and be content with the assumption that all the beings of the ocean can talk to each other - while they still live in sea anemones etc. These movies thrive on these settings to aid and progress the plot of the movie. One has to wonder watching Kung Fu Panda, was there any other point to personifying these animals other than to play on our feelings as to what is 'cute', and sell movie tickets to parents with children? There were little, if any, jokes for older generations, whilst the plot line was nothing but your typical underdog story. In the end, one is reminded to believe in one's self etc... blah blah blah. This is apart from the many many many MANY continuity errors that might or might not irritate you.So, for the performances by Jack Black and Hoffman, as well the great animation and value for young children in the silly humour, I can give it a 6/10. As far as movies go, this does not measure up as much as other movies in its class, and certainly not as much as other movies in general, and I believe that more care was needed to take this good movie and make it a great one.Strongly recommended for children and bored adults who think it's cute and funny to see a fat panda try to do Kung Fu - no doubt there will be many of you.",6.0,Anonymous,Animation
