title,content,rating,username,genres
Shocked me how good it was,"I remember when I saw the trailers for this movie, I thought it would be a sad but sweet love story and nothing more. And while it is that it brings so much more flare and beauty that I would never have expected from this. It took me three years to see it and it far out shone any expectation I had.",9.0,Anonymous,"Comedy, Music"
Loving you is like loving part of my life,"This movie is infinitely close to when we were young: arrogant, romantic, dreamy, longing for love, but lack of money. Then when we have tasted the hardships and pains of society and finally achieved something, is the person around you still the one you love the most? Only when you have thoroughly pained and loved, can you understand how difficult it is to be innocent love. Only when you let go can you support your dream and fulfill your pursuit. In the end, Mia's fantasy surprised all the audience. This is the fantasy of all sweet love, and it is the most exciting meaning of this movie. I dare say that if there is no final fantasy, or the hero and heroine are together again, this movie will eventually become a second-rate love song and dance drama. Only if you can't get it, can you fully understand the bitterness and sweetness of youth. After all, the most beautiful love is just a flash in the pan. I love you, but I can only wish you happiness. This is the supreme love. This love becomes a part of life and a belief. LA LA LAND, loving you is like loving part of my life.",8.0,Anonymous,"Comedy, Music"
I hate musicals,"I watched this as Oscar's had been handed out and I felt it necessary, as is customary - to grant such films my valuable time.I hate musicals.It started as we know in a traffic jam. They started singing. ""I hate musicals"" I told my wife. ""Is this a bloody musical"" I asked.She didn't know.What followed was without doubt one of the greatest cinematic experiences I've ever had. I smiled, I rejoiced, I wept, I rallied, I wept again.I'll keep this brief. No matter your movie preference, no matter your music type, if you are breathing and cognisant - I urge you to watch this.It is beauty beyond my words.It is life in a fleeting moment.It is music and dance we didn't know we needed.It is lifting, it is crushing.This movie went from ""I hate musicals"" to ""this is the greatest movie I've ever seen"" in the course of two hours.I've listened to the soundtrack countless times.I hate musicals.It's beautiful.I have no articulate means to encourage you to watch this other than this - if this 48 year old wisened Irishman can fall for this, so can you.So please, watch this - otherwise you may miss a life changing event.",10.0,Anonymous,"Comedy, Music"
A true ode to the Golden Era of Hollywood,"The vibrant colors and use of musical scores to set the mood for scenes transported myself back in time. This movie feels not only like a beautifully nostalgic nod to Hollywood of yesteryear, but also that of a timeless love story. Gosling and Stone have a charm to their chemistry on screen during the musical and dance numbers. All these aspects lead to a raw portrayal of love that many experience in life, with still providing a sense of hope and wonder to the viewers. I was entranced from the opening scene until the final note played by Goslings piano. I absolutely recommend this film to any and everyone!",10.0,Anonymous,"Comedy, Music"
11/10,"Any chance I could give this 11/10, or a few more oscars, just for being so oscary... such a splendidly heart warming experience",10.0,Anonymous,"Comedy, Music"
"Like a dream come true, one of those films that totally banishes the blues away","Having just gotten back from seeing 'La La Land', with a rare day off music college, it came to me that it was one of the best new release/first viewings for me in a while.Very few films in recent memory has left me leave the cinema with my heart properly warmed, a beaming smile on my face, tears in my eyes, feeling uplifted and properly moved. 'La La Land' however has managed that feat. Would also go further to say that it is one of the best modern film musicals after Disney's Renaissance period in the 90s, and very much a modern classic. Am not surprised at all its award wins and nominations (including being a record breaker at the Golden Globes), and if it does well at the Oscars as well there will be no complaints from me.'La La Land' clicked with me most likely because of my love for golden age Hollywood, musicals (a somewhat maligned genre these days, but while there are a fair share of not particularly good ones there are a bigger number of great ones and even masterpieces), and how it fondly reminded me of what makes me love them so much. Also because of being able to relate to its themes and conflicts, due to being there myself. The talent was also appetising, starring Ryan Gosling and Emma Stone, directed by 'Whiplash's' Damien Chazelle and featuring cameo support from JK Simmons (who coincidentally won a Best Supporting Actor Oscar for 'Whiplash), John Legend and Rosemarie DeWitt.It was just sheer joy to see a film with so much potential deliver on that potential and even more so, having seen a lot of stuff recently film and TV that wasted their potential it was refreshing to see a film actually delivering on it.Visually, 'La La Land' is a gorgeous-looking film, with lots of vibrant colour that leap out at you from the screen while not having too much of a dizzying effect and cinematography that's not just a dream to behold but inventively done without falling into self-indulgent territory. The music and songs may induce, and has induced, mixed reactions, count me in as somebody who found the songs infectious, emotion-filled and with enough to make one top-tap and hum along.The musical numbers are winningly choreographed too with non-stop exuberance. The opening number is especially true to this. The script is warm, funny, affectionate and poignant, and also with an honesty. It's not a complex script, nor did it need to be, and neither does it make the mistake of being too simple. The story is admittedly slight in places, then again so were the stories of even the best golden age musicals and they still managed to be classics because of how everything else was executed and because of the atmosphere.Something that is true with 'La La Land', a film where anybody can relate to its themes. Even more special though is that not only does it pay tribute to musicals and films of the golden age (especially those with MGM), with their bold colour, exuberant marriage of music and dance, it also has a winsomeness and melancholic nature seen in films like 'The Umbrellas of Cherbourg' yet does it in a way that will appeal hugely to modern audiences. Loved that the two leads' relationship and chemistry was much more complex than the love-at-first-sight sort (far from it, more antagonists turned lovers) with a meet cute first encounter (again also not a case).Chazelle's direction shows someone with a sheer love for film and film-making, more than evident in execution that is affectionate and full-of-life rather than self-indulgent. The chemistry between the two leads and their performances would need to be good to make the film work. No worries there. Ryan Gosling and Emma Stone look so natural and at ease together, nothing looks false and it is easy to root for them and their conflicts.Both of them give terrific performances, performances so good that less than great singing was immediately forgotten about. Especially Stone who has never been better in a performance of great expressivity and nuance, so many emotions such as vulnerability, strength, cheekiness, charm and buoyancy with never a hint of a heavy-handed touch. Gosling matches her, if not quite as good, showing a very charismatic presence and an effortless twinkling charm. All the support, although basically cameos, registers memorably.All in all, a dream come true and totally banishes any blues and daily troubles away. 10/10 Bethany Cox",10.0,Anonymous,"Comedy, Music"
Original and creative,I do not like musicals. And after the first scene I thought I was in trouble. But the movie was pretty good. Great acting. Very talented cast. I feel like a lot of movies are just the same thing over and over. This one was definitely original and creative. I'd recommend it!,7.0,Anonymous,"Comedy, Music"
A Classic Romantic Hollywood Mastepiece,"La La Land stands as a cinematic spectacle. 
From the opening scene you can understand that this movie is not messing around, this scene delivers amazing feelings and prepares you for an emotional roller-coaster throughout the film. It is a pure Hollywood love story that has been portrayed by two amazingly talented actors. 
The movie circles around two options. Either choose love or choose dreams. At the end of the film you will surely understand what the two protagonists choose and why they chose it, again shown in a beautiful way. It takes influence from movies like ""Singing in the Rain"" and demonstrates some iconic scenes in a new modern way that makes you feel nostalgic about the classic one. It is so perfectly crafted, but what makes this movie unique from any other romantic movies is its ending. That ending. Not only does it deliver some extremely emotional scenes but it changes the whole idea you had for the film. 
Also, in a musical the music needs to be stunning for it to be successful. For the first time in a movie, I have cried so loudly when hearing a song. This soundtrack gives you the feels. It is a masterpiece from song one until the very last song. 
The film is ultimately everything it had the potential to be - an unashamedly romantic musical, infused not only with great song and dance numbers but with intense emotion and charisma from Gosling/Stone, wonderful visuals and a unique pacing and tension from Chazelle. Oh, and it's hilarious throughout too. A genuine achievement - must be one of the best films I've seen in a long while.
Cheers to the dreamers, the men and women behind the making of this musical classic masterpiece.",10.0,Anonymous,"Comedy, Music"
"Great production value, but painfully boring and overrated.","This movie is so overrated. It has great production value, but it kind of ends there. The movie is a musical, but half way through it decides to suddenly stop being a music and just turns into a boring drama with a dull plot. Although the movie started with decent momentum, it quickly just falls apart and gets really boring in the second half of the movie.Musicals often don't have very strong plots, but makeup for it with music. La La Land did not do this. Instead they just have a few songs and a boring plot. Also, Emma Stone and Ryan Gosling were terrible choices for this movie. They both are mediocre singers (especially Gosling) and terrible dancers (the dancing scene seemed so forced and unnatural). There are literally thousands of amazing theater actors and singers out there, but for some reason they chose two people who have zero experience in show theater. Makes no sense.Critics need to stop judging movies based on production value. This movie was mediocre at best and doesn't deserve any special recognition.",5.0,Anonymous,"Comedy, Music"
"Nostalgic, Colourful, Joyous CinemaScope Magic","Do I like musicals? Not really... but damn, 'La La Land' is a nostalgic, colourful, joyful marvel!Damien Chazelle gained international acclaim and recognition from his masterful drama 'Whiplash', what were the chances that he could pull off similar success two times in the row? Well, if 'La La Land' is anything to go by, then I'd say he did the job. With just three films under his belt as of 2016, Chazelle is slowly becoming the next big thing this movie industry has seen. His passion for classic movies and musicals is evident as he references and pulls influence from films like 'Singin' in the Rain', 'The Umbrellas of Cherborg' and even 'Rebel Without a Cause', the latter of which is one of my favourite films so seeing the nod to it was something I was pleased about.The chemistry between Gosling and Stone is strong to say the least, after two previous collaborations, their already-strong bond helped them become one of modern-day cinema's finest couples. The music is bouncy and toe-tapping catchy, the cinematography is utterly stunning with gorgeous colours and impressive long takes, and the locations sum up the American dream and the passion the characters hold for Los Angeles. 'La La Land' is by far one of the finest cinema experiences I have had in the past 5-10 years, and although this isn't a film I would typically enjoy (genre-wise), Chazelle has instead crafted one of my favourite films of this decade. A film I would recommend everyone see in the cinema to truly witness the CinemaScope magic.",,Anonymous,"Comedy, Music"
