title,content,rating,username,genres
A glorious film.,"It's a shame that I didn't see this at the cinema, I can only imagine what a treat for the senses this was on the big screen. A visual masterpiece, and an intoxicating story of belief and friendship.You must give so much credit to the team that produced this, not a book I would have thought easy to adapt, as it is so vague, the realisation is of course breathtaking, I absolutely loved it.I've read comments about those that wanted action and dramatic scenes, this film isn't about the destination, it's about the journey.Breathtaking, 9/10.",9.0,Anonymous,"Adventure, Drama, Fantasy"
Very impressed,"I was lucky enough to see Pi in full 3D Imax at a pre-viewing in San Diego last night, and as a huge fan of the book, I was intensely satisfied.Believe it or not, I was more impressed with the the casting choices and performances of the players than by the effects. Granted, the movie was very beautiful, but in the end, Life Of Pi was more character driven than anything. Suraj Sharma as the young Pi was charming, funny, and incredibly engaging, while Irrfan Khan as the older Pi was fantastically genuine and warm. Adil Hussain as Pi's father was also a joy to watch. The characters are so rich and full of life that you really can't help but fall in love with them. I would also like to add, as someone who spends time with tigers on a daily basis, the animators did a wonderful and accurate job of bringing Richard Parker to life and making him the active and vital character that is so incredibly essential to the success of this story.I would recommend seeing Pi in 3D, but I don't think that's it's essential to your viewing enjoyment. The 3D just takes a beautiful film and makes it a little bit nicer. Also, if you've read the book and are concerned that the story you loved may have been compromised in anyway, worry no longer. This is easily, one of the best book to film adaptations I have ever seen.Happy viewing folks. I hope you enjoy this film as much as I did. I'll be seeing it again in theaters very soon.",9.0,Anonymous,"Adventure, Drama, Fantasy"
Powerful storytelling and splendid performances presented in a brilliant 3D,"With his latest movie, ""Life of Pi"", Ang Lee further establishes himself as one of the greatest contemporary movie directors. Starting from his Taiwanese beginnings, and his highly enjoyable, family-harmonizing ""Father Knows Best"" trilogy (1992-1994), through his Academy Award winning works on gracefully choreographed, highly spiritualized Far East martial arts tour de force ""Crouching Tiger, Hidden Dragon"" (2000, best foreign-language film) and on an uncommon yet nostalgic portrayal of the Old West in ""Brokeback Mountain"" (2005, best director), to his other titles like ""Sense and Sensibility"" (1995), ""The Ice Storm"" (1997), and ""Lust, Caution"" (2007), quality and Kubrick-like versatility shown in his movies offer continuous attraction for wide audience of his admirers.Lee's latest and, so far, easily, greatest movie, ""Life of Pi"" is based on a screenplay adapted from the acclaimed fictional adventure novel written by Canadian author Yann Martel.Throughout his childhood, due to matching pronunciation of French word ""piscine"" (pool, swimming pool) and English word ""pissing"", Piscine Molitor Patel, named that way after later abandoned Parisian swimming pool, so predictably suffers from being nicknamed ""Pissing Patel"". In order to avoid it, once in high school he finally shortens his name to Pi Patel... Nowadays middle-aged Pi tells the story of his life to a visiting writer, apparently a book author Yan Martel's alter ego, who is seeking for the literal inspiration. Retrospectively, Pi divides his childhood and adolescence into three segments. In the first segment he gives shorter account of his life until the age of 16, describing his interaction with his family and schoolmates, in particular his relationship with his father and a girlfriend, concentrating on his exploits of God and spirituality, meandering between multitude of religious practices while in the last one he briefs about his testimonial given to officials from the Japanese Ministry of Transport, investigating the reasons why the ship his family was relocating on from India to Canada sank. Most detailed, and therefore the longest, is recollection of his 227 days in a lifeboat, an extraordinary ordeal he went through after the ship has capsized and everybody else, crew and passengers, diedWell, everybody human, but not everybody living. Namely, a number of terrestrial animals from their discontinued family zoo, offered for sale and brought along with other family belongings, have survived, too. But, not for long, because, while confined in the most limited space as they were, surrounded by vastness of the ocean, the law of the ""survival of the fittest"" prevails, takes its tall, and pretty soon Pi finds himself in a company of a single one topping the food-chain, a Bengal tiger curiously named Richard Parker.Not to reveal the story further, it is with greatest pleasure to inform that cinematic excellence has been achieved in several categories: in an engaging tale—whether allegory or depiction of realistic, believable events, filled with protagonist's rarely matched curiosity, imagination and his often reasonably unanswered doubts, encouraging the same in viewers—of an uncommon character, indeed, brought to on-screen life by outstanding performances from two contributing leads, remarkably presented via ubiquitous, yet inconspicuous animation, exceptional, CGI aided visuals and superb usage of 3D photography, all along complemented with an uplifting score. All these assets work seamlessly together in unfolding an intense relationship between Pi and Richard Parker, complex yet basic, difficult yet simple, initially charged with Pi's dreadful fear, swiftly shifting to respectful care, instantly boosting his never overbearing confidence and relentlessly improving his survival skills. Wholesome artistic experience reaches and maintains its pinnacle particularly in clever tactics and constructive survival techniques 16-year old Pi uses—amply benefiting from his instructive lifestyle of a zoo owner's attentive son, certainly well acquainted with animal psychology—to suppress the fear and convincingly impose himself as an equal to the one of the most elaborate ""killing machines"" among mammals, desperately striving for his own survival, nevertheless, generously, for survival of his seemingly sufficiently tamed companion, but still, initially and ultimately, magnificent adversary, Richard Parker, as well.""Life of Pi"" is, certainly, one of the most impressive movies of 2012, year that has just come to a close.",9.0,Anonymous,"Adventure, Drama, Fantasy"
The most imaginative film this year,"''I had to tame him,'' (Pi) realizes. ''It was not a question of him or me, but of him and me. We were, literally and figuratively, in the same boat."" From Life of Pi by Yann Martel.You will see no more imaginative film this year than Life of Pi, whose conceit of a young Indian boy stranded with a Bengal Tiger in a lifeboat amid the Pacific Ocean is fantastical yet real in its metaphoric implications. While the framing device of a story told to a stranger uses the old flashback, the lonely lifeboat is as new as any story told in the last century.The film begs interpretation from the multiplicity of religions to the place of mankind in a hostile, Darwinian world. Ultimately the benign brotherhood of beasts and humans is affirmed not so much by lofty philosophy but by the necessity of man and beast working together to survive.The digital rendering of animals, especially the Bengal Tiger, is beautiful to behold. The opening scene in Pi's family zoo could be right out of Terence Malick's visionary camera, a montage of nature gorgeous in its simplicity. The several formalistic shots of the boat at night are worthy of the best lighting in the best aquariums in the world. Together with the impressive use of 3D, director Ang Lee has visually taken us from the opulence of Crouching Tiger and the minimalism of Brokeback Mountain into a fusion world of fancy and reality. The images are stunning.In the end, Lee is interested in the individual's place in the universe as he struggles to harness nature and yet live in harmony with these elements. The conflict with the gross cook aboard the Japanese cargo ship taking Pi's family and animals to Canada is emblematic of the challenges facing the gifted with the groundlings. Pi's relationship with tiger ""Richard Parker"" represents all mankind's struggle to live in harmony with the forces it cannot control.""Believing in everything is the same as believing in nothing,"" says Pi's father because Pi samples religions from Hinduism and Buddhism to Catholicism and Judaism and wants them all. Although it is not given to us to have them all, Pi's piety practically makes us believers in the universal brotherhood.The Life of Pi is everyone's life; the film is one of the best of the year and, even remembering the greatness of The Old Man and the Sea, Moby Dick, and Billy Budd, the best you will ever see about a boy, a tiger, and a boat.",,Anonymous,"Adventure, Drama, Fantasy"
Probably the Most Complete Film of the Year,"The movie narrates an incredible story using the most beautiful special effects and great actors.It is more that a survival story and it is not about friendship. This story is about faith. Director Ang Lee use all the tools he have to make this movie about a solitary young man not a boring one. It is narrated by both, young Pi and the Adult Pi, it uses music all the time so there is not space for uncomfortable silents and the rhythm of the scenes is fast. The result a very entertained film.The most important thing of this film is it character. It is obvious because we are seeing for almost 2 hours just one character. So it is not only important to have a great character that appeals to the audience feelings, but to have an actor that portray this person the right way. Suraj Sharma was brilliant as Pi. He can make happy scenes as equal as sad, desperate, hopelessness, exhaustion and anger ones. Very few movies allow an actor represent so many emotions.But if Pi is a good character, Richard Parker can only be describe as unique. The tiger as personality of it's own. Not many films can make an animal with so many human features and yet never stop being a wild animal. This tiger is computed animated but the audience will barely notice, because the way it walks, eats, its factions, the eyes. It doesn't matter if it is computer animation, Richard Parker is alive and is his own character just as important as Pi is.If you think that ""Rise of the Planet of the Apes"" have good animal effects, you have to see how this people make a zebra, a hyena and a orangutan. All this, combine with a photography created by the same guy that make ""Tron: Legacy"" looks so cool and ""The Curious Case of Benjamin Button"" so beautiful, Claudio Miranda, makes it an incredible experience to see.This movie is definitely an Oscar runner for Special Effects, Cinematography, Director and Movie of the year.",10.0,Anonymous,"Adventure, Drama, Fantasy"
Breathtaking cinema,"When I heard that the film adaptation of LIFE OF PI was being released, I made sure to go and read the novel beforehand so I could compare it to the movie. I'm not a huge fan of Ang Lee and his overrated CROUCHING TIGER, HIDDEN DRAGON, so I wasn't quite sure what to expect with this. But I needn't have worried; this is a great movie, a film that fully explores the splendour of cinema and on-screen storytelling, and a film that's better than the book.The early and, quite frankly, boring parts of the novel are summarised well so that the storytelling is always on the move. The focus is on the survival narrative, which is as it should be, and the relationship between Pi and Richard Parker is brought to vivid and moving life. Sure, there are the occasional mis-steps along the way, like an ill-advised and tacked-on romance, but for the most part they get it right. The CGI is wondrous, especially the animals and an eye-popping shipwreck, and the story is moving, tender in places and full of heart. I'm not ashamed to say I had tears in my eyes in parts, and it's all down to Richard Parker, who must go down as one of the great animal characters in cinema. A great example of filming the unfilmable.",9.0,Anonymous,"Adventure, Drama, Fantasy"
"Great movie, but a great director!","Few movies will leave a lasting impression on you..Life of Pi is one of those. Not even a single moment is dull, in fact the story is woven so tightly that you never realize that the script is so simple. It is beautifully directed and kudos to Ang Lee, not only was he able to capture the beauty of India, he was also able to get the best of the actors. Though it does not rank too high on 3D, its just visually mesmerizing. My trust and faith in Ang Lee has gone up to the highest level after watching this movie..Luckily I was able to catch the premiere show and will continue to relish the after effects of the movie for the next few days!",10.0,Anonymous,"Adventure, Drama, Fantasy"
If you're expecting enlightenment...,"I read ""Life of Pi"" a couple of years ago while I was touring around Europe and I found it to be a mildly-entertaining book which touched lightly on the philosophical side. It was no surprise to me then, when I discovered Ang Lee's faithful film adaptation to be exactly that - mildly entertaining, touching lightly on the philosophical side.I believe a lot of people came to watch this movie with many different expectations, from those who wanted to watch a realistic sea-survival movie, contrasted by those who believed it would offer something truly deep and significant philosophically. Both these camps will be disappointed. As Jonathan Romney says in the IOS review ""Life of Pi is fatally scuppered by coy, bogus mysticism."" Conversely, as you will read on the message boards here at IMDb (spoilers abound there, be forewarned!) a lot of people couldn't even handle the philosophy-lite that was on offer and were ""disappointed"" that it wasn't the straight- forward boy-lost-at-sea-with-a-tiger story it falsely claimed to be (*deep breath*). Hey everybody, this film will not change your life. It will provide you with some inoffensive entertainment for a couple of hours, and probably little more.""Life of Pi"" - whether in book-form or in this adaptation - is neither high art, nor gruelling adventure. What it actually is is a fantasy story, framed at the edges with a smidgeon of realism in an attempt to add a soupçon of depth and food-for-thought. Approach the film as such and you may well enjoy it.As a heavily CGI-ed film it provides at times a stunning visual work. Again reviewers have been mixed, some claiming that the over-playing of visuals falls into the garish, and attempts to wash over the philosophical shallowness of the movie. Well, CGI is the trend today; it has some benefits, but the overall effect of digitally rendering your characters and sceneries is bound to leave something missing soul-wise. ""Life of Pi"" is pretty enough to look at, but personally I think much more could and would have been made of it if it was adapted as an (classic style) animation.I'd mark the film as 6.5 (it made my partner cry), but I'm rounding down this time because of the sudden wave of sycophancy present on IMDb, meaning that every film that comes out has 8-point-something (corporate presence?). Either way, a pleasant break from Hollywood aggression, and worth a watch.",6.0,Anonymous,"Adventure, Drama, Fantasy"
A visually opulent triumph of film-making!,"Ang lee's life of pi is an adaptation of a 'Man booker prize winner' novel by the same name, written by Yann Martel. It's a story set in the late seventies of an Indian teenager (Pi Patel) who is stranded on a life boat in the pacific. What distinguishes this tale of survival from the rest is that the author dishes out a delicious slice of creativity in giving the castaway, a tiger for a companion. Yes, like the posters and trailers have you believe, there is a boat on which a man and a tiger have to live! This makes 'life of pi' not only a story of human struggle against nature but also a profound tale that questions 'what separates man from beast?'. More interestingly, 'when does man become a beast'?But worry not, Ang Lee's movie does not force you think on these lines , instead it's a film that lets you enjoy it on so many levels. If you are just looking for a beautiful 3D movie to feast your eyes , Life of pi can be it. If you are in a mood for a thrilling adventure epic on weekend, this is the right ticket. If indeed, you want to experience something thoughtful, Life of pi never forces you on a particular thought, instead it whispers ever so slightly to think about matters of human disposition and finding comfort in convention while caressing your senses with fabulous visuals and background score.Suraj Sharma debuts as pi with utter sincerity while Irfan Khan(as adult pi) and Tabu(as mother) do justice to their parts. The rest of the supporting cast blend in perfectly too. Ang lee helms the film with difficult source material with absolute grace and expertise. However there are two true heroes that make Life of Pi work. Firstly the studio and creative director behind the magnificent CGI. The Bengal tiger is perhaps the best animated animal ever created! The angry green eyes, richly textured orange –white striped skin and every hair on its fur look rich and full of life in 3D.And then when your hear the thunderous roar for the first time, you will realize this is as real as it can get! The rest of the animals (a Zebra, an orangutan) look great too. The lovely blue ocean and its resident creatures are the jewel in the crown. The other hero is the writer David Magee(screenplay) who adapts the novel with near perfection. One gripe the fans of the novel might have is the lack of all the gore descriptions and a particular chapter that deals with the surviving 'French cook'. The addition of these might have pleased the audience who sought for the philosophical undertones from the story but the film would have lost out on the large PG-13 crowd (a fair deal considering the enormous budget).Life of Pi, is a rare masterpiece that stands as a prototype not only for a perfect book adaptation and a 3D movie( sorry avatar, you have just been replaced), but also for a movie based on intricacies of human nature . Now that is simply an impressive triumph of film-making!",9.0,Anonymous,"Adventure, Drama, Fantasy"
"Life of Pi is a visual spectacle, Irrfan Kahn's best","There are a lot of positive and admirable things about Ang Lee's latest Life of Pi. Cinematographer Claudio Miranda captures the most uproarious and glorious shots captured this year thus far. The 3D effects are some of the best ever seen and feels absolutely necessary in a film so heavy handed with religious tones. What Mychael Danna achieves in Lee's film has just placed him in the forefront of great film composers working today. He continues to impress with his musical range, envelopes the film's message and thematic narrative in somber and beautiful melodic notes. On Visual Effects alone, Life of Pi will likely land a nomination for Best Picture. What Lee invents with the ocean and the integration of the tiger and the other animals is spectacular. He allows the mood of the film and the imagery to marry each other in a ceremonial experience that stands next to Sci-Fi epics like Avatar (2009) and Hugo (2011).Newcomer Suraj Sharma puts a valiant effort in the role of ""Pi,"" a performance that may land him more critical and impressive roles in the future. The work is reminiscent of great breakthrough performers like Rudy Youngblood (Apocalypto, 2006) and Dev Patel (Slumdog Millionaire, 2008); both were impressive turns but sadly will not catch any awards attention. Irrfan Kahn, who has delivered in great supporting turns like The Namesake (2006) and A Mighty Heart (2007), could have his best chance ever for serious awards attention. His hurdle will be a minimal screen presence and a supporting actor race that's crowded with ""movie stars.""Lee directs the film with a firm hand. He knows what he wants to say and for the most part gets his message across. Unfortunately an unfocused and at times jumbled screenplay by the great David Magee creates an atmosphere that relies more on the visuals then the narrative. Also, I'm unfamiliar with the book by Yann Martel, never read it before, so I have nothing to compare it to but much of the story's elements of surprise feel rather cheap and ill-fitting. Not sure how it will play with others but the film remains pretty consistent on the entertainment sector.Lee explains his preparation for the film at the New York Film Festival with such passion and delight. He speaks about getting Sharma properly prepared by placing him on a boat in the middle of the ocean and meeting a real life shipwreck survivor; Lee's love for the project comes through, all four years in the making. It's a directorial achievement that the Director's branch of the Academy could easily get behind.The film lands solidly on the front door of awards season with ease and could rally a loyal legion of followers. Look out for the National Board of Review to kick it offI can almost put money on it.Read more reviews @ The Awards Circuit (http://www.awardscircuit.com)",7.0,Anonymous,"Adventure, Drama, Fantasy"
