title,content,rating,username,genres
Anything that makes fun of beauty pageants is alright by me,"A quirky original comedy that works it's way towards a genuinely brilliant finale. Strong cast, sharp humour and good pacing contribute to a modern classic.",8.0,Anonymous,Comedy
Love these characters,"Sheryl Hoover (Toni Collette) is trying hold this crazy family together. Her brother Frank Ginsberg (Steve Carell) is just released after his suicide attempt. Her husband Richard (Greg Kinnear) is a bad motivational speaker who is always talking about winning except he's a loser himself. Her son Dwayne (Paul Dano) is tired of his family, and has vow to be silent. Grandpa Hoover (Alan Arkin) was kicked out of his nursing home for misbehaving. Finally daughter Olive (Abigail Breslin) is so excited about getting into the Little Miss Sunshine pageant.The reason this movie works is that I love these characters. I love everybody except for the dad. They are just so weirdly likable. They are the essence of an underdog story. I love this family, and it's not only for the cute little girl. I even love the VW van.",8.0,Anonymous,Comedy
The Best Film of 2006-it has aged extremely well.,"I am still shocked that this film wasn't nominated for direction at the Oscars and that it lost best picture to the overwrought The Departed. This is film captures far more of life as lived in single scenes than most films capture in their entire runtime. It is not just the great script that has great comedic bits and utterly real characters. It's not just the pitch perfect cast. This is a great *visual* film as well because of the traveling scenes and the quirky design sense.The direction is extremely tight. Whether it is how the opening dinner sequence delineates character and their relationships-via clothing and seating arrangements-economically or how they kept the interior of the van visually fresh the film is filled with splendid and meaningful images. I think the script and the acting are so good that people just didn't notice the visual niceties the film captures. There's even a couple of hard jokes to land-i.e. Porn in the trunk-that the directors managed to make work far better than the story beat does on the page.I think the film's theme around the cruelty of the rat race and the insane pressure we put on ourselves because of ""competition"" land better in 2022. Maybe I am just getting older but Richard is a bit of an jerk who did need to learn to chill. I like that the film isn't anti-competition per se but encourages us to keep things in perspective.",10.0,Anonymous,Comedy
"Bittersweet and almost unbearable, in every way.","I get so disgusted with Indie films about deep characters that have no real personality. Everyone says that they're real because they suffer, when really it's the audience that suffers most. Movies are not supposed to take two hours of my life and leave me feeling vacant and hopeless. I want to spend those two hours with good people who are flawed, like those in my life I love most.That's what Little Miss Sunshine has, and much more. In the beginning, you won't be sure whether you like anyone. By the end of the movie, you'll wish they were real so you could get to know them better. Their history and their dreams about the future. Bravo, Michael Arndt, for creating something truly memorable.",8.0,Anonymous,Comedy
"One Of The Best Movie ""Gifts"" I've Gotten This Year...","It is very rare to see a movie that can charm the hell out of an audience without the use of special effects, worn-out clichés and bombastic action set pieces these days. It's even more ridiculous to hope that you will see such a film for FREE. But that's exactly what happened to me tonight at a sneak preview of LITTLE MISS SUNSHINE.I ""discovered"" this movie right here at IMDb, having heard not a peep about it beforehand. By the time I finished watching the second trailer for the THIRD time, I was floored...and hooked. Luckily, the Bulletin Boards steered me toward the proper link to access sneak passes for tonight's showing, and all I can say is that it will not pain me one bit to pay for the privilege of seeing this gem a second time.Assembling the best and most unlikeliest of ensemble casts you may probably see all year, SUNSHINE on the face of it is a relatively (pun intended) simple story. Little seven-year-old Olive (Abigail Breslin) has one wish in life: to be considered for the finals of the Little Miss Sunshine Pageant in Redondo Beach, CA. When her big chance comes at the most unexpected time, it's up to her unbelievably fractured family to pull themselves together and make it happen for her, no matter what it takes.And what it takes is a sad, painful, tragic and yet unendingly hilarious trek in a barely operational VW bus from Albequerque, NM to the Pageant. And although getting there is only half the fun and family drama, you have got to see what happens to believe it when they finally arrive and Olive gets to ""do her thing."" The strong cast sounds not a single false note, and when the more touching moments arrive, they don't seem forced the way they would in most other big-budget behemoths, because these moments are truly earned. But WHAT a collection of characters this is. Greg Kinnear is letter-perfect as Olive's judgmental, failed motivational-speaker father; Steve Carell finds new shades of darkest despair and human comedy as her suicidal gay uncle, a leading Proust scholar; Paul Dano does amazing things with little more than facial expressions as Olive's older brother who's deep into Nietzche and a vow of absolute silence, and Alan Arkin, though he has played this kind of role with both hands tied behind his back and his eyes closed, still shines like a crazy diamond as her cantankerous and hedonistic grandfather.And barely holding this motley crew together is Toni Collette, who amazes by playing a mother again and yet manages not to portray the role exactly the same way, (you might recall her Oscar-nominated turn as Haley Joel Osment's put-upon mom in THE SIXTH SENSE.) I'm not at all familiar with the work of the two directors, Jonathan Dayton and Valerie Faris, or the writer, Michael Arndt, but they have definitely raised the indie film bar with this effort. Not a single moment is wasted; not a single scene is in this film without having a reason for being there, and it's all character-driven. There's also nothing fluffy about it - commentary about everything from how twisted our pop culture can be, to how our drive for being #1 winners can blind us to all of the things that are the most important are all there under the bittersweet laughs and tears for the audience to discover.I can't recommend this one highly enough. And I can't wait to see it again.",9.0,Anonymous,Comedy
A highly enjoyable ensemble road movie - funny stuff,"I saw Little Miss Sunshine a week ago at the Sydney Film Festival, and the audience I saw it with loved it. There was a lot of laughter going on - especially at the hilarious ending. And amidst the jokes it deals smartly with it's theme of the value of chasing your dreams and being one of life's 'winners' versus valuing what you already have. Or put another way, it celebrates the joys of losing in a culture obsessed with winning.I'm not going to go into detail about the plot, as the film hasn't been widely released yet. There are no huge plots twists, but I think you'll have more fun with this film if you don't know exactly where it's going.As the film started I wasn't so sure about it. All the characters (apart from Toni Colette's perhaps) seemed to be written as being amusingly quirky in a predictable indie-comedy way. But as the movie went on it became easier to warm to them. I think it helped that the actors appeared to be having genuine fun together. These guys don't feel like much of a family at first, and I wondered a couple of times why these people would bother sticking together, but as things progress the strengths of this particular family unit become obvious. And just as all comedies should, it gets funnier as it goes on. I was pleased to see the script stayed true to it's messages all the way to the end, and didn't turn preachy or maudlin. The whole cast work excellently together, and I hope this film has all the success it deserves once it's released.",9.0,Anonymous,Comedy
A Joy To Behold,"Conjuring endless joy & heartwarming feels by bringing together an array of flawed characters, piling them all up in a Volkswagen van and sending them on a road trip, Little Miss Sunshine is the story of a dysfunctional family rediscovering themselves & each other over the course of their journey as they learn the importance of being together through the thick n thin and reforge their relationships.Directed by Jonathan Dayton & Valerie Faris in what's their directorial debut, this is a sensibly written tragicomedy that right away acknowledges the flaws of the family members yet provides ample room for all of them to help each other grow & evolve. Each one is intriguing in their own ways, and their interactions have an organic feel to it as well, which only makes the drama all the more effective & entertaining.The tone & treatment may be lighthearted but the story & characters packs enough dramatic weight & depth respectively and the filmmakers make sure both individual & collective on-screen efforts move things in the same direction, and the balance is sustained from start to finish. Performances are top-notch from everyone, including the young Abigail Breslin. And the climax brings the ride full circle with an amusing, uplifting & cathartic sequence.Overall, Little Miss Sunshine is a wonderful amalgamation of skilful direction, smart writing & heartfelt performances that promises a pleasant time to all its viewers and delivers it in spades. An impressive & promising debut for its directing duo, it is one hell of a roller-coaster ride that treats its characters' imperfections with compassion & understanding, and is effortlessly elevated by honest inputs from its committed & talented cast. Absolutely worth your time & money.",,Anonymous,Comedy
"""I'd like to dedicate this to my grandpa, who showed me these moves.""","I feel bad that everyone loves this movie and I thought it was just fun. I can see what they were going for, but for the most part I was felt depressed and a little anxious while watching it. That being said, Abigail Breslin is what made this movie for me! Her performance cracked me up, and the famous scene made it worth the wait.",6.0,Anonymous,Comedy
More than a fresh ray of sunshine!,"Here is a film that lives up to the expectations of a very funny trailer. It's an oddball comedy, and it's dark, and it's funny, and it's touching, and it will charm the pants off many in the audience. Here is a simple story in which our lovely contestant and her family try to find their way to California so that she can prove to the world she is not a loser! The premise itself can lead to years of therapy for a family that should get a group rate in psychiatric care.Expert editing and superb comedic performances from all the principals involved will have many overlook the fact that the plot line is a little too contrived at times. The set pieces will have the audience howling with laughter as we see different characters trying to overcome some pretty irreverent obstacles. The scene at the gas station contains moments of deep sadness and offbeat humor, something that Carrell pulls off wonderfully, and none will be able to look at the trunk of a car, some dubious literary material, and highway patrol the same way after seeing the infamous scene in the film.The best is of course, saved for last, and by this time we are waiting for something outrageous which ""Little Miss Sunshine"" delivers unapologetically. A classic track will probably be recharged for a new generation, as the bonds of family precariously balance a moment that could be as tacky as they come.""Sunshine"" is one of the best things to come out of American cinema this year, an original film that relies on a script that understands the differences between generations in the same family. It doesn't explain why each character is as quirky as can be, and it doesn't build much background because it is not needed to make the film work. Kinnear, Colette, Abigail, Arkin, and Correll are a fine team and keep the film's feel fresh throughout the film. Here is a family that has no special qualities or powers, a family that will make us rejoice that creativity is still alive in Hollywood, a film that will provide us with plenty of much needed sunshine in an otherwise pretty dull summer.",9.0,Anonymous,Comedy
"delivers in the most charmingly sweet, pure, honest, and innocent way","It would be unfair to limit the film to one adjective. But charming is the first one that comes to mind. I really don't know how they did it, but the screenwriter Michael Arndt and directing team Dayton/Faris (Jonathan and Valerie, that is) have managed to create a movie in which we are simply so connected to the characters it's frightening. This is a very quirky bunch, and while their traits can be found in everyone we know, they are certainly extremely weird and I certainly don't know any families who are quite as odd as the Hoovers. And yet, we forge such a strong bond with each and every one of them, right from the opening pre-title introduction sequence  probably the best character introduction sequence I've seen since Magnolia. These people are just so real! It's unbelievable just how three-dimensional these characters are. They remind me of The Squid and the Whale  another recent movie that comes to mind when I think of this type of character development  these are just normal, regular people, and the filmmakers developed them as such in the most in-depth, well thought-out and just ingenious way possible.That brings me to the second adjective: Realism. If you've seen the film you know that some pretty wacky things go on in it, but in the end, these people are just plain real. They are real human beings  at least we the viewing audience come to believe. If they weren't so incredibly well thought out and detailed and rounded, we wouldn't forge such a strong bond with them. But fact of the matter is, the Hoovers have quickly become one of the most memorable cinematic families. Their traits. Their flaws. Their dreams and ambitions. Their dynamics, mannerisms, nuances. Every tiny little detail about these people is just so incredibly portrayed.Obviously, it would be unfair to say that a comedy isn't funny. When Little Miss Sunshine gets funny, it's hilarious  we're talking pitch-black dark and very quirky comedy, but it works admirably, reaching sort of a peak in the infamous, hilarious and totally wacky traffic cop scene.The acting is. Simply put, amazing. You won't see any Oscar moments here, no characters that have some particular traits that require various forms of ""method acting"" to perform. This is simply actors playing a bunch of people who they are clearly quite unlike, but playing them as if they are. The shining star is young Abigail Breslin, who out-acts pretty much all of her older cast-mates. How she can embody a completely other character at such a young age is completely beyond me  and she's been doing it since age 6! Dakota Fanning, watch out! Paul Dano, the other young actor, also delivers an amazing performance. Myself being fresh out of that period of my life, I can say that his portrayal of a frustrated teenager  specifically in the scene where he just explodes (those who have seen the movie will know what I'm talking about) is just so true and realistic. Arkin is brilliant as the old grandfather, who is at once quite annoying and vulgar and at once the most human of all the characters. The three adult leads also deliver wonderful, nuanced performances  Toni Colette, who has quite a streak of wonderful performances in various films, particularly impressed me.But what makes the film so special is its message  and even more so, how it delivers it. Basically, the film's message can be summed up in one brilliant line delivered by Arkin's character, Grandpa Edwin: ""A real loser is someone who's so afraid of not winning he doesn't even try."" This is a family who see tragedy after failure after disappointment, and it's just so, so sad to see them so down, because we love them all and we know that they don't deserve it, despite all their flaws. Seriously, this movie is absolutely brutal to its characters. But ultimately, it's absolutely inspiring. Because despite disappointment after tragedy after blow to the stomach, this family just keeps their head up and say ""so what; we'll find another way"". Their determination and devotion despite all the obstacles in their way, and their ultimate removal from their anxieties and un-winding is simply and absolutely inspirational, and extremely heartwarming.The flaw of many independent films that carry a message is that they insist upon themselves. Sometimes it works admirably  a recent example I can recall is The Fountain; it's undeniably pretentious, but by fulfilling its own expectations it works as a message film. Little Miss Sunshine delivers its message in simply the most incredibly, charmingly sweet, pure, honest, and innocent way you could ever imagine. It's just so pure. And that's really the single most engaging and appealing aspect of what is already an amazing piece of work.",8.0,Anonymous,Comedy
