title,content,rating,username,genres
"With this, his best film, Spike did ""the right thing.""","Outstanding film, with brilliant work from Washington in the title role. Lee's direction is excellent and, despite being a tad preachy at the end, this is without a doubt his penultimate picture. The supporting cast also is great with fine performances from Angela Bassett as Betty Shabazz and the marvelous Al Freeman, Jr. as Elijah Muhammad. It's a terrific spiritual and emotional journey of a young black man in mid-20th century America. The fact that it is taken by a man who contributed so much to our history as Americans makes it all the more special. I urge all lovers of cinema- and history- to take this journey for themselves.",9.0,Anonymous,History
Great but needed a better editor,"A great movie if overlong and slightly unfocused.Washington carried the film with a great performance worthy of an Oscar nomination if not a win which might have been guaranteed had the director managed to focus.Spike Lee did a good job as director which is saying a lot, given the historical scope, danger of offense, and controversy of the project. His one weak area in this film was editing. There is no reason this movie couldn't have been half an hour shorter. Right off the bat, there were unnecessarily lingering camera shots and scenes that could have omitted. Off the top of my head, I'm thinking of Spike himself sliding under a woman's skirt and mugging the camera. That scene not only failed to further the story but instead made the audience stand up and say, ""Hey, that's Spike looking at us!"" Lee's biggest editing mistake was based on his desire to tell the story of Malcolm X AND tell the story of the African-American experience. That's more than enough for several movies so why cram it all under one title? After a clear scene illustrating X's life, Lee would move to a large dance hall to illustrate the richness of the African-American experience. A quick shot of the dance hall would have been sufficient. Instead the far away shots were maintained for too long and when the focus moved back to specific characters it moved to the character played by Lee himself. Why? I don't know. It certainly didn't help us to understand X any better. The ending with children saying ""I am Malcolm X"" also went on too long and should have been part of a separate feature. The cameos were distracting. The movie could have been tighter, shorter, and better except that Spike Lee wanted to put everything, including the kitchen sink, into it.That being said, it is a great movie and I'm glad I invested the three and a half hours to watch it.",8.0,Anonymous,History
The Truth seeker,"I think the major success of Alex Haley with this movie is that he tells the story of a dynamic person known as 'Malcolm X' with such a skill that no man from any part of any society get his feelings hurt. I think it is a commendable effort from Alex Haley, Spike Lee and Danzel Washington that they made a hero out of Malcolm X. I think he deserved it because he was the man who was not after money or popularity......he changed his statements, his way of life , even his faith as he knew that those were true. The theme of the movie is very clear that Malcolm X was not a hardliner rather he was always open for truth. Secondly, it also emphasized though in the end that negotiations and reforms is a better way than the violence. But yet it also gave the message that the ruling races reap the violence which they breed themselves; sometimes in the hegemony of their power or sometimes due the wrong interpretation of their religious verdicts. I think it was right to hit at the ' Black organization known as nation of Islam' and Elijah Muhammad. Muslim community is itself greatly indebted to this movie because Elijah Muhammad's teaching were very far from Islam. The real Islam practiced worldwide does not believe in the continuance of prophet-hood after Muhammad (P.B.U.H)and the Black supremacy by Elijah Muhammad was a ridiculous idea as Islam does not believe in Nationalism. Any Muslim anywhere in the world whether black or white are equal in Islam's teachings. It was great to see the scenes of pilgrimage to Makkah ....... these were not unnecessary ......because they helped us to understand the sudden change in the teachings of Malcolm X. Denzel's acting is really superb and also that of Al Freeman Jr. I think this movie is an invaluable resource for the people who want to take an insight into the Malcolm X's life.",9.0,Anonymous,History
The Denzel Washington Show.,"A stunning performance by Denzel Washington (Oscar-nominated) carries this film literally into cinematic excellence. He stars as the titled character, the controversial Black Nationalist Leader who is easily one of the most interesting people who lived during the 20th Century. Spike Lee's uncompromising direction focuses on X's life. From his very early childhood to his violent death, the audience is given lots and lots information on the character as the film runs about 195 minutes. A good supporting cast helps, but this is Washington's show from the very start. His performance is very dominant and this is easily one of the best jobs that was never honored with an Academy Award. Brilliant biopic. 5 stars out of 5.",,Anonymous,History
It inspired me...,"As I watched MALCOLM X, I was surprised how much I liked the film and how interesting it was. So interesting, in fact, that I soon was inspired to read ""The Autobiography of Malcolm X"" that was compiled and written by Alex Haley. Then, I read a rather interesting (warts and all) account of Malcolm X's mentor, Elijah Mohammad.From what I have since learned from these and other sources, I was quite impressed at the movie--it seemed to try very hard to get the story right. Malcolm X's life was neither over-glorified nor was he portrayed the opposite--the story seemed to be quite balanced and without a serious ax to grind. It would have been easy to make the movie just an attack on the Nation of Islam or an attempt to make the title character some sort of saint.As for the acting, it was super. The script, excellent. The direction, first-rate. An excellent film that everyone should see--it is fascinating from start to finish.",10.0,Anonymous,History
Excellent and interesting,"I was only familiar with the history and influence of Malcolm X before I saw the film so I can't really judge it's faithfulness or accuracy. But as a film, I thought it was great. I really like Spike Lee; he keeps things fast-paced and interesting with his camera angles and colours/lighting. For awhile after Malcolm first begins his activism with the nation of Islam, you find yourself conflicted, both respecting the man and often disagreeing with him. Lee handles it well without condemning or supporting really, just showing Malcolm's gradual transition in his beliefs. The inserted documentary footage, especially at the end, shows how Malcolm's words still relate today. Someone commented that they only watched an hour of the movie and Lee doesn't know how to tell a story but maybe if they would be slightly more open-minded, realize it's not a literal adaptation of the autobiography, and actually finish the film, they could understand that Lee does not just want to tell the story of one man but rather wants it to reflect the struggle of a race. I really enjoyed the film; it was long but never slow and definitely worth watching.",10.0,Anonymous,History
A Bloated Biopic!,"With Malcolm X, director/co-screenwriter Spike Lee has produced a true-to-life biopic on the title character who was first a strident advocate for the American Nation of Islam during the 1950's and early 60's, later becoming an extremely high profile human rights activist during the civil rights movement, before his assassination in 1965.The film dramatises key events in Malcolm X's life with the main thread beginning with his post war criminal career and later conversion to Islam whilst in jail, which directly led to his assumption of the identity of Malcolm X . Defining childhood incidents, including his father's death, his mother's mental illness, and his experiences with racism are dramatised in (ironically) brief flashbacks, considering the elephantine length of the rest of the film.From my understanding of the life of Malcolm X, Lee has stuck closely to the facts in constructing his biography. I believe there is only a limited amount of fictionalisation for artistic and dramatic licence. For that, I guess many will be grateful. Lee has also recreated the roughly two decades the film's story covers, extremely authentically. The sets and costuming are first class, with occasional pieces of newsreel footage and still photos supplementing that of his own filming. The performances are uniformly outstanding. Denzal Washington must have been desperately unlucky to miss out on the 1992 Academy Award for his powerful, central portrayal of the conspicuously, hard-nosed and divisive X.For me though at 202 long minutes, this film is too dragged out and warranted tighter editing. The first act focusing on his early life of crime in Harlem and later Boston is for instance, needlessly protracted with interesting, but ultimately quite unimportant night club dancing and musical interludes. Could it possibly be that its prolonged appearance is due to Spike Lee himself, appearing in this section as a supporting character?Malcolm X is a technically well-made, obvious labour of love for Lee, but I think it may have reached wider audiences if edited to a more manageable, less indulgent length.",7.0,Anonymous,History
Epic film does justice to its subject.,"Spike Lee struggled mightily to get 'Malcolm X' made, financially and artistically. But when all was said and done, he produced an epic blockbuster and a definite treatment of the man's life.There's great differences between the two as well, but to me Lee has many things in common with Oliver Stone. Both of them seem to have been born to make films. Both of them are uncompromising in bringing their artistic (and moral) vision to the screen, and neither will try to seduce the public by catering to their tastes. Both present their own interpretation of facts without apology. (For example, from what I've read it's not certain that Malcolm's father was actually killed by Klansmen. But Lee isn't in the same league as Stone when it comes to playing fast and loose with the ""truth."") Stone even ends his movie 'Nixon' in a similar way to 'Malcolm X,' with footage of real-life figures blended in, though I'm not accusing Stone of imitation.This movie has an epic sweep and scope and as a director Lee is up to the challenge. He is served well by being able to direct in several styles, one of which is almost cartoonish: witness the scene where Malcolm (Denzel Washington) and Shorty (played by Lee himself) go stepping out at the Roseland Ballroom, resplendent in their zoot suits. Some comic relief is welcome at times because otherwise the serious, heavy message of the picture might be overwhelming. For instance, the movie opens with a full-screen shot of an American flag while we hear a voice-over of one of Malcolm's most rousing, or inflammatory speeches, depending on how you look at it (""I accuse the white man of being the greatest murderer on the planet!"") The flag begins to burn and eventually forms a flaming 'X' as the fiery rhetoric continues. But if you haven't been scared away, the next scene shows the young man Malcolm Little in a funny situation, having his hair straightened by a concoction that threatens to burn off his scalp.Denzel Washington has won beaucoups of rightly-deserved accolades for his amazing performance in the title role. If you've ever heard or seen Malcolm X's speaking, you will be astounded at the similarities in tone and cadence. The illusion is so real one may not recognize that real archival footage of Malcolm is used late in the film. But this is not a case of style over substance here. Between Washington's talent and Lee's directing and screenwriting, an unforgettable character emerges. The film boasts other fine performances by Al Freeman, Jr. (especially good as Elijah Muhammad, a controversial figure in society, and eventually to Malcolm himself), Delroy Lindo, Albert Hall, Kate Vernon, Ernest Thomas and many others in its large cast.It's clear that Lee doesn't care for the Motion Picture Academy and they don't particularly care for him. But the snubbing he and his picture got at Oscar time would be comparable to Richard Attenborough and 'Ghandi' not being nominated the year that film was made. Ordinarily, one would think this film is the kind of production Hollywood loves to honor. But Academy Award nominations or not, the film 'Malcolm X' is like the man himself: impossible to ignore.",10.0,Anonymous,History
"Good film, but way too long","This movie was entertaining and did justice to Malcolm x but it didn't have much of an angle to it. It seems like spike Lee just wanted to adapt his autobiography word for word. The film would've been more interesting if it focused on one particular part of his life, like Steven Spielberg did in ""Lincoln"" instead of giving equal attention to everything. It's just the film felt like a documentary at times.",7.0,Anonymous,History
Spike Lee's best movie ever,"Reaching his apex of greatness, Spike Lee created a perfect biography of the Black Nationalist leader. In the title role, Denzel Washington literally becomes the character. From the opening, when he accurately accuses the white man of all the injustices that the white man has perpetrated, to his conversion to Islam (and rejection of his slave surname), to his eventual assassination, the movie is top-notch in every respect.Having read Malcolm X's autobiography, I can affirm that the movie followed it very closely. Reading his autobiography will actually help you understand him even further. As will his indication that African-Americans bled for the white man in Korea, Japan, Italy, etc., so why shouldn't they bleed for their freedom at home? Anyway, ""Malcolm X"" is a perfect movie in every way.",10.0,Anonymous,History
