title,content,rating,username,genres
mamma mia!,"I didn't use to like this movie, but as I got older I started to love the movie more. It's definitely a cheesy movie and far from perfect, but it's a fun watch with catchy songs (duh, it's ABBA). It's not too long nor too short, so it's a perfect movie to watch when you're feeling down or to watch with friends on a movie-night.",7.0,Anonymous,Romance
Good light hearted fun for the summer,"With this big opening weekend either you're going to see the darker film The Dark Knight or you are going to see something more light hearted like Mamma Mia! Now I work at a movie theater, a lot of people were just assuming that everyone was going to see The Dark Knight, yesterday someone came up disappointed saying ""my show sold out""... I looked at her with a smiling face and said ""oh, yeah, dark knight, I know""... she said ""no, mamma mia"", I looked up all surprised, Mamma Mia sold out as well, people were really looking forward to this movie as well. I did see this movie on Saturday and really enjoyed it, as cheesy as it was, I do enjoy musicals, I think the only thing is that this this is the happiest musical that I have ever seen. So it was nice to just sit there and be happy with these characters and you can't help but laugh at the predicaments that they get themselves into.Sophie is a young woman who is about to tie the knot with her loving and adventurous fiancée, Sky, her life is great. She has a very loving mother, Donna, who is running a broke down hotel in Greece and used to be in a girl group called The Donna's. Sophie has one problem, she has never met her dad, she finds her mom's diary and discovers that she has three potential fathers. She invites them all to the wedding putting her mom's name on the invitation. So the three men: Sam, Harry, and Bill come to see her and Sophie is caught in a situation where she doesn't know who's her real dad, but they end up having the time of their lives and enjoying life together.Mamma Mia is the light hearted comedy that I'm sure any musical lover could enjoy. I loved how well paced it was and how the cast looked like they had the ultimate time making this film, that's what made it so much fun. This film also brings a lot of fun energy into you and just keeps you smiling. The songs were very catchy, which I know this musical was based on the songs of Abba, so we have that good old 70's groove going on. I would recommend Mamma Mia, if you're looking to smile, laugh, and dance, I'm sure you'll love to see Mamma Mia. It's a sweet film with the cheesy plot that is so much fun to laugh at, plus it has men in speedo's who are dancing like crazy, where can you go wrong with that? OK, you can, but it's all good.8/10",8.0,Anonymous,Romance
Here we go again ...,"Mamma Mia! Does the mention of anything Abba-ish send you cringing to a corner? Or are you already joining in and dancing on the tabletops? Maybe another few drinks . . .In short, if you are not allergic to Abba, book your tickets now. If you are, why would you be reading this? At a pinch, it is worth seeing for Meryl Streep alone, who not only throws herself headlong into every refrain with unashamed gusto, but adds a touch of class and nuance to what otherwise could be a one-dimensional adaptation. Streep vacillates engagingly between playing herself and not taking herself too seriously. Pierce Brosnan just about keeps up, and manages more expressions than he ever did as James Bond. Colin Firth and Julie Waters trail behind somewhat. Yet Mama Mia! is a roller coaster of emotion, careering colourfully from the blue waters of the Adriatic, bursting 'like Aphrodite's Fountain' into the lives of Donna (Meryl) , her lovers and friends, and her soon-to-be-wed daughter. It is the party spirit that says kick your shoes off and sing silly cheesy songs. Altogether now.And yes  there's a story. Donna's daughter Sophie is getting married. To the buff-looking Sky. Only  where's her dad? She's never met him. A sneak-peek at Mom's diary shows Mom had three lovers before Sophie was born and Sophie secretly invites all of them. This is a film of threesomes. Three past lovers (Sam, Bill and Harry). Three close friends (Donna and two best pals). And, not to be outdone, Sophie meets up with two other young girls at the start of the film.The breakneck pace still allows for brilliantly put together shots. Like Streep doing a 'Titanic' with drapes blowing in the wind. Or a pier-load of young hunky stag night crew doing a dance in trunks and deep-dive flippers. Moonlit boats and beaches to ""I Have a Dream."" Filmed on location, the views won't disappoint. And like a favourite song whose ending we know, the drama is in the details and execution.As with many adapted-from-stage musicals, two young leads are played by talented singers, and the older parts by serious actors can sing well enough. Streep manages extremely well. Her performance is so professional and assured it leaves others standing. Fortunately, it is perhaps easy to paper over any cracks in musical comedy. Sweeney Todd relied heavily on Depp's charisma and stunning cinematography. Across the Universe, too heavily on the songs. Mamma Mia!, on the other hand, simply tailors everything to its joyous headlong rush. The songs fit naturally to the action. Streep even manages to sing them with her tongue firmly in cheek. She confesses to having been a ""stupid reckless little slut"" but then says she ""grew up"". (To which her pals chime in, ""Well grow back down again!"") The film is not without faults. There is a notable lack of chemistry between the people that throw themselves rapturously against each others' faces. Even Streep looks less than convincing in a brief lips-mash. And the men are a bit croaky in the singing department (Hugh Grant might even have been a preferable casting choice). And some of the time-line is wobbly. For instance, strange as it may seem, music from more than twenty years ago does not all come from the same era. So reminiscing about flower power (early sixties) in the same breath as a Johnny Rotten t-shirt (Sex Pistols, mid-late seventies) is either anachronistic or wishful thinking.Sadly, I am of a generation that can remember Abba-mania. The records would shoot to number one. Yet even then few people would admit to buying them. I used to manage a night club, and Abba was great music to ask a girl up to dance. My entire chat-up repertoire at that time consisted of, ""Would you like to dance?"" and ""Do you want to come back for a coffee?"" But girls would be so happy dancing to Mamma Mia they'd say yes anyway. I'd fall in love with a new girl each week. Ah, those were the days! Now there's a new generation of Abba fans who have no need to 'come out of a closet'. Abba is retro-chique. Even Madonna segued an Abba riff into one of her songs. From karaoke to hen nights. From '70s' nights to gay dance-floors. Dress up. Camp it up. Sing it up. Get sassy and cheesy. Or, if you're old enough to remember, fly back in time to wonderful memories.Mamma Mia!, whatever detractors might say, has been one of the most successful stage shows of recent times. Supported by the same director and original band members, the movie may well reach the similar fan bases. Or just the party spirit in all of us.",7.0,Anonymous,Romance
If you think you'll love/hate it then you probably will  for the same reasons as those that feel the opposite way,"The critical and audience reactions to this film seemed to suggest that it was very much a Marmite of a film, with people either loving it or hating it. By the time I thought I should check it out, the ""biggest film of the year"" had become a sing-a-long classic and I decided to wait for the DVD. Watching it myself I can totally understand why this reaction was forthcoming and it is not really down to the film so much as it is the viewers. See, those that hate it will do so for the same reasons as those that love it. Mamma Mia is a film version of a stage-show but it is not an adaptation in that it has been made into a film so much as it is a stage musical made into a film. What I mean by this clunky sentence is that all the standards of the cheesy musical have been left in  from ""big"" action, colour and simple dumb cheer.For me personally this doesn't really appeal and nor did I particularly enjoy the film as it did feel all forced smiles and joys, scenes shoe-horned to fit the lyrics and fake fun in the actors and extras. By the end I had pretty much had as much camp fun as I could really stand and was glad it was done. Now others have taken that to mean that the film is rubbish, but it isn't  it just didn't work for you either. However for what it does Mamma Mia is actually very good because it knows who it is aiming for and what it has to do. Yes this means that it is daft and cheesy but that sort of ""big"" cheerfulness is what the target audience want  they want to feel elated and lifted even if it isn't real in any form. In that regard the film delivers as it is built on beautiful colours in the sets and costumes and a cast that put their egos to one side and throw themselves into it.This last part is important because to my disinterested eye all the star actors came off looking daft. Streep is certainly not someone I expected to be doing this and to her credit she throws herself into it, showing a camp overacting side I didn't know she had. Likewise Walters, Baranski, Firth, Brosnan and Skarsgård all do much the same  albeit to varying degrees of success. If you're into it then the ""big"" performances are all part of the fun but if, like me, you're not, then it will be endlessly embarrassing and it will be hard to shake the feeling that I was watching award-winning actors making themselves look and sound like muppets. Of course that is why they are ""good"" in the context of what the film is trying to be and yet at the same time ""bad"" if you are not in the swing of the film.What we are left with then is a film that we have seen plays really well to those that get it but leaves everyone else wondering why on earth people like Streep and Walters would make such nonsense. I personally disliked it but that does not make it a ""bad"" film, only a bad one from my point of view. For what it sets out to do though, it is a winning achievement  full of cheerful cheese and lots of colour. In fact, it is such a targeted film that you will already know whether you will love it or hate it long before you press play.",,Anonymous,Romance
James Bond needs singing lessons!,"I did enjoy this romp in the Greek Islands and was surprised at how well Meryl Streep sang. It's light, full of froth and bubble and perhaps has some aspects of Grease and Bollywood in it. The reason the music works I feel is that they haven't really messed with the arrangements of the songs keeping them generally faithful to the Abba originals. But Pierce Brosnan's vocal efforts were abysmal, almost laughable. Perhaps it was meant to be a send up of the original songs all the way through but he really did manage to mangle the vocals in my opinion. If you have seen the musical on stage you will know what to expect and there are some funny moments in the film and the Greek islands are as always a superb backdrop for the action.",7.0,Anonymous,Romance
"Pure happiness, that is all and that is enough.","This movie is two hours of music and happiness. This movie is an easy 11/10 method of being happy and one of my all time favourites. There is no ingenious plot or thought provoking question, and that's fine. Just sing along and enjoy.",10.0,Anonymous,Romance
"A strong soundtrack, casting against type, and a few laughs","As a musical, pure and simple, 'Mamma Mia' has the briefest and silliest of stories, backed up by a large selection of Abba songs (Super Trouper, SOS, Voulez Vous, Gimme Gimme Gimme, Money Money Money, Dancing Queen, The Winner Takes It All, Lay All Your Love On Me, Our Last Summer, Mamma Mia, etc.).Meryl Streep has a daughter about to marry, and a cloudy past which has left three possible dads - Sam (Pierce Brosnan), Harry (Colin Firth), and Bill (Stellan Skarsgard). Now you can imagine that when Brosnan was James Bond he never thought he'd be cavorting along to Swedish pop on the big screen - but despite his weak voice, he does OK - the same can be said for Firth, who seems to choose roles with such little discrimination it is no longer a surprise to see him in anything.Donna (Streep) also has two friends to support her - Julie Walters and Christine Baranski. Walters is as fun as ever, cavorting in her headscarf and singing appallingly; while Baranski is another Samantha from Sex and the City - chasing young barmen and struggling in her high heeled boots. Their scenes together and apart are hilarious - and Streep's singing cannot be faulted.Is the film any good? It is hard to tell. It is certainly fun, and funny. The direction isn't particularly inspired, nor is the screenplay clever or profound - but then, neither is the music of Abba. Taken purely as bubblegum, feel-good cinema, it does OK, and isn't as bad as you might have expected.",7.0,Anonymous,Romance
Whose idea was it to make a musical where no one can sing or dance?,"Armed with irresistible hooks, soaring melodies and near-celestial vocal stylings, the Swedish pop group ABBA churned out a body of insanely catchy and superbly crafted tunes - ""Waterloo,"" ""SOS,"" ""Fernando,"" ""Dancing Queen,"" ""The Winner Takes it All,"" etc. - that made it the world's top-selling musical act of the 1970's and early 1980's. Several decades later, ABBA's music became the basis for a hit stage musical entitled ""Mamma Mia!"" in which a simple narrative was deftly woven around many of the quartet's songs. Now, the much-ballyhooed movie version of ""Mamma Mia!,"" written by Catherine Johnson and directed by Phyllida Lloyd, has arrived on the scene.The story takes place on a beautiful Greek island where the never-married Donna (Meryl Streep) single-handedly runs a modest hotel for an ever-thinning crowd of tourists. Her daughter, Sophie (the charming Amanda Seyfried), has never known who her real father is, mainly because Donna herself doesn't even know. With the help of her mother's diary from twenty years ago, Sophie narrows the candidates down to three (Pierce Brosnan, Colin Firth and Stellan Skarsgard), then secretly invites them to her wedding in the hope that she will be able to figure out which of them is her real father in time to have him accompany her down the aisle.On stage, ""Mamma Mia!"" succeeded primarily because it was able to keep its wafer-thin storyline modest in scale and life-sized in scope. But blown up to the magnified proportions of the big screen, the material becomes a compendium of overacting (Julie Walters being the most egregious culprit in that regard), ham-handed literalization, forced spontaneity, and production values that look both gaudy and chintzy at one and the same time. Moreover, the direction is clunky, the choreography abysmal (especially compared to what we were treated to in ""Hairspray"" just a year ago), the photography either over or underexposed (depending on whether the scene is set at night or during the day), and the singing not unlike what one might hear emanating from the local pub on an average karaoke-night.In fact, there has always been an inherent problem built into ""Mamma Mia!,"" which is that much of ABBA's charm derives from the crystalline voices of its lead singers, Anni-Frid Lyngstad and Agnetha Faltskog. Take away those harmonies and at least a certain percentage of that charm is lost. Now the movie version of ""Mamma Mia!"" comes along and simply compounds the problem by hiring big-name actors rather than trained singers to somehow interpret the pieces for us. Indeed, this must be the only musical in movie history made up almost entirely of people who can't sing (at least in the old days they used to dub the voices in if they had to). One has to give Streep brownie points for at least trying to belt out the tunes, but her rendition of ""The Winner Takes it All,"" which was the rafter-rattling showstopper in the stage version, falls flat due not only to her own inadequacies as a vocalist but to the awkward staging and foolish hand gestures she uses to accompany her singing (almost as if she were trying to act out the lyrics as she's singing them). Actually, I've never understood why anyone would buy either the original cast recording or the soundtrack to ""Mamma Mia!"" anyway when the real thing is readily available and clearly far superior to any imitation.All that being said, I am still inclined to at least half-heartedly recommend that people go to see this movie for a number of reasons. First, because the music itself (written by Benny Anderson and Bjorn Ulvaeus) is fun, infectious and finally irresistible, no matter how much the singers may be unintentionally stomping all over it; second, because even though their singing leaves much to be desired, Streep, Bosnan and Seyfried somehow make us care about the characters and the silly little predicament they're caught up in; and third, because there are a number of scenes that actually work quite nicely, the best being when Donna sings the sweet mother's lament ""Slipping Through My Fingers"" (a song clearly within Streep's limited vocal range) to her soon-to-be-wed daughter. Streep and Seyfried are both very moving and poignant not only in that particular scene but in all of the scenes in which they appear together.For the half dozen or so audience members who aren't already familiar with the ABBA oeuvre, one can only hope that they will use ""Mamma Mia!"" as a springboard to sampling the real deal.",5.0,Anonymous,Romance
Surprisingly good,"Went to see Mamma Mia without particularly high expectations. Not being a big connoisseur (or even fan) of musicals, I didn't really know what to expect. Though I adore ABBA, I never bothered to watch the stage production of Mamma Mia. But having a cinema membership, I didn't have much to lose (no money, at least), so I went for it. And boy, am I glad that I did! I can safely say that I enjoyed every second of it. And I'm not even ashamed to admit it!Give Meryl Streep another Oscar and get it over with already. If she could get a nod for the Devil Wears Prada, she definitely deserves one for this. She really let her hair down on this one. Mrs. Streep can obviously not pass for a trained singer, but somehow, it just doesn't seem to matter. It just really worked in the movie (unlike -say- Helena Bonham Carter's singing in Sweeney Todd). When I heard Meryl's rendition of ""The winner takes it all"" in advance, it lowered my expectations considerably, but in its context, it totally made sense.Most of all though, this movie was just sheer fun. People were clapping, laughing...Rarely have I seen an audience as enthusiastic. The crowd especially responded well to Meryl and her two cronies (arguably the strongholds of the movie). Also, because I had never seen the musical before, I was amazed (and amused) at the inventive ways in which they managed to incorporate so many ABBA-songs. Equally brilliant was the way the extras (usually some Greek old women) were deployed throughout the movie...And then of course the setting (beautiful Greece) was mesmerizing...Basically, Mamma Mia is a superb musical that doesn't take itself too seriously. If you're just a little bit crazy and want to have a good laugh, if you love ABBA, want to see Meryl Streep like you've never seen her before or if you simply have a secret crush on Colin Firth and/or Pierce Brosnan (his singing was nothing short of hilarious), you will LOVE this movie. Best summer flick so far. Warmly recommended.",9.0,Anonymous,Romance
Super Pooper,"Let me tell you. Just because I've been listening to ABBA almost non-stop since I saw MAMMA MIA! two days ago does not mean I enjoyed the film all that much. It's just the Swedish pop super group's music is so darn infectious. You would think that energy would translate to feel-great good time at the movies but sadly this is not the case. First time feature filmmaker, Phyllida Lloyd, spends far too much time dragging her feet when they should be dancing up and down the beach and no matter how many shots of the moonlight shimmering against the waves there are, the film is still a clunker instead of a stunner.When a musical is paper thin on the stage, it runs the risk of being just plain silly on the screen. On the stage, MAMMA MIA! is a somewhat justified excuse to revive a bunch of ABBA tracks wrapped into a completely implausible, overly romantic farce. Young Sophie (played on screen by Amanda Seyfried) is but 20 and about to marry the very supportive and very handsome, Sky (Dominic Cooper). Something is missing though. Sophie has lived on this tiny Greek island her entire life and helped run a crumbling hotel with her mother, Donna (Meryl Streep) but she has never met her father. As far as she knows, he left before her mother could say anything to him but a chance encounter with her mother's diary from the summer of her conception narrows the possible men to three. So rather than talk to her mother about her desire to know where she came from, she invites all three men (Pierce Brosnan, Colin Firth and Stellan Skarsgard) to her wedding, pretending to be her mother looking for a reunion. Naturally all three men accept the invite and hijinks ensue. While the campiness of the whole affair is forgiven on stage because the suspension of disbelief doesn't apply, this screen version is too far removed from the stage to feel the least bit plausible.I believe in angels, something good in everything I see. And while there is very little good to focus on in MAMMA MIA!, at least there is always surprising Streep. She jumps up and down on beds, slides down banisters without the least bit of concern for breaking her hip. She can sing too. Much like she did in THE DEVIL WEARS PRADA, Streep's performance as the lonely mother of the bride carries the film forward and, in the show stopping ""The Winner Takes It All"", elevates the film to heights it could never have achieved without her participation. Though the two don't get nearly enough screen time together, Streep and Seyfriend make a great mother/daughter combo. Seyfried's fresh exuberance seems like it might actually be inherited from her movie mom. The rest of the cast delivers varying results  Julie Walters clearly thinks she is a comic genius but she comes off too brash; Christine Baranski is miscast as an older bombshell making for some particularly awkward moments with younger men; and someone should ensure that Pierce Brosnan never sings on screen again.Ultimately, MAMMA MIA! never connects all of its components. A melodramatic moment is followed by a peppy ABBA song, which somehow erases everyone's pain. In that sense, ABBA's music is the perfect choice to set the tone as it is some of the most depressing pop lyricism set to upbeat melodies in pop history. While the contrast adds weight to the songs themselves, the musical masking casts an air of falseness that never lifts. What your left with is a compilation of poorly choreographed, plainly sung music videos. No offence, Meryl, but you are long past your MTV days.",6.0,Anonymous,Romance
