title,content,rating,username,genres
The Day I Stopped Trusting Critics,"This movie was dishonestly mauled by critics and reviewers simply because it was directed by Snyder. Watching this again in 2020, I have to say this will go down as a classic in years to come. It's an absolute blast from start to finish and is one of the most loyal adaptations and faithful to the Superman lore found in DC comics. One of its greatest achievements was the magnificent depiction of Krypton and giving Zod the gravitas and motivation that he lacked in Superman II. You felt empathy for him. Shannon was outstanding in his portrayal of Zod; up there with Ledger's Joker.I remember people actually complained about the level of destruction in this movie and the excessive use of special effects, but for me this is what makes a Superman movie. Take off your nostalgia tinted glasses and watch this with an open mind. This is the greatest Superman movie bar none.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Ignore the critics,"I am old enough to have seen the original 2 Christopher Reeve Superman movies, and the idea of combining them is great. Henry Cavill is a better Superman, Amy Adams is a better Lois Lane, the script is far stronger, the baddies are more believable, I honestly can't understand the negatives; with the exception of the first 20 minutes, which just didn't work. A great attempt, far better than most DC movies, except the Nolan ones.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
I've changed my mind,"Here, eleven years after this movie released, I have changed my mind about this movie. In the last eleven years, we have seen so many others DCEU and MCU superheroe movies, with one would or could connect to the other, making us assume or create some fan theories, about what happened and what will happen next.For example, I think Infinity War and End Game were the peak MCU, everything after that the storyline kinda made up. While DCEU to be honest never even started. The connection between one another felt forced.But this movie, can be a standalone movie. No need of sequel or prequel, it's already a great movie about a man.Every essential you need to he a superhero is fulfilled. The background, the struggle, the realization, principles. Everything. It's a perfect superhero movie.Initially I rated 7, but now it's a solid 9.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Better than WW84,I was really happy with the origin story aspect of this movie... although I would have liked to see more of Kevin Costner's character. I didn't see this until New Year's Eve 2020 and had heard a lot of comments about the movie... positive land negative. Exceeded my expectations.,7.0,Anonymous,"Action, Adventure, Sci-Fi"
Best Superman to Date,"I love Superman. Every version. I'll defend Superman 4 if you want? But this is the definitive version. The version I've always dreamed of seeing - the version I'd write if I could have. Challenging, thought-provoking, insightful. Not there to be a poster child, but rather to be an inspiration. Inspiration comes through internal struggle and strife, not through BANG BANG, POW POW. I wish DC had more faith in this storyline - cause it was clearly going somewhere wonderful. #ReleaseTheSnyderCut.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
A Brand New Superman You've Never Seen Before,"This is not like all the previous Superman movies. This is not ""Smallville"". This is not the sequel of ""Superman Returns"". This is ""Man of Steel""! This movie is awesome.I am not a big fan of Superman but this is the best Superman movie I've ever seen. (Christopher Reeve's version is also good, but this Man of Steel is better. And.. the Brandon Routh's version? Naaaaah...) The plot is really structural. Not so many flashbacks, so you won't get confused. The whole storyline is just really simple. It told the very beginning of Superman and then, yeah, his adulthood.The special effects here, I think it is as awesome as Marvel's Avengers. Yeah, alien and superheroes, what do you expect? Battle scenes are good, I can feel Zack Snyder ""300"" sensation in here.Henry Cavill succeeded bringing a whole new version of Superman to the big screen. He wiped out all our knowledge of the previous Superman movies and replaced it with a darker version of Superman (Nolan's kinda ""darkness"") This movie is enjoyable. See? There's still hope for DC Comics' superheroes movies.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Ahead of its time,"I never had the opportunity to see this film in theatres, though, after my first viewing at home, I was instantly blown away by the tone, visuals, soundtrack, story, performance, thriller and action to this film.Man of steel truely felt as though it was an alien invasion film set in our present time.Superman has literally searched to find himself and when he does, he must learn not only learn his origins, though his abilities and how to use them.He was bound to question himself and make mistakes along the way and following his journey is something I'm extremely excited for.Most certainly a superhero film for adults.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
It's good,It's good not amazing but good it's a bit too serious but it's good but it's good it's dramatic and epic but it's good,7.0,Anonymous,"Action, Adventure, Sci-Fi"
The soundtrack is epic.,"Henry Cavil is my Superman. He's the best Superman ever. Interesting story, with deep meanings and realism. The camera work is not so good, some parts is good but others it feels like a Michael Bay film. The action sequences are pretty intense and excessive. However the soundtrack is probably the best thing of the movie. I've told it again, Hans Zimmer is a brilliant worker in music. The music names of the movie that I really love is:Flight
Sent here for a reason
If you love these people
What are you going to do when you're not saving the world?Look to the starsJust beautifully pieces in my ears. Overall the movie could have been much better, but I appreciate that it's underrated. For me, the best scene of the entire movie is when Superman learns how to fly in the first time. Just, a masterpiece scene.",5.0,Anonymous,"Action, Adventure, Sci-Fi"
Criminally Underrated,"It is the most criminally Underrated superhero movie ever. It's also the movie that made me love Superman .Zack Snyder best work and Hans Zimmer was amazing. Visuals , Storytelling and Action scene were top notch .Too bad this movie did not get a proper sequel",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Remember that sinking feeling you had watching The Dark Knight Rises?,"I wanted to like this movie. Admittedly, I went in with high expectations, but I thought the names behind the movie, the actors and the beautiful trailer justified my high hopes.And - at first - I thought it was all going to work out. For the first 40 minutes or so, this movie is awesome. Krypton, an ALIENated Clark Kent doing odd jobs on earth, a confused boy trying to cope with his powers...Some reviewers have bashed the movie for being too serious, but there's nothing wrong with a little seriousness, or a little reverence towards the character. In the first half, I think the tone is perfect. A little dark, sure, but it all feels like we're building up towards something truly awesome. Then, kind of suddenly, the main story with Zod and the action starts. And, as much as I love action movies, I really wished it hadn't.When the serious actions starts, all coherent story telling stops. In the blink of an eye the movie goes from feeling like a sci-fi Batman Begins to Transformers 3 minus the nuanced story telling. Suddenly Superman is here and we get these big sweeping beautiful scenes, and they're just completely boring and out of place. And I don't even want to talk about the totally contrived Lois Lane - Superman romance. (Lots of sighs, and ""WTF?"" comments at the theater I was in).I kept waiting for it to recapture the tone of the first half, but the action just keeps getting bigger and dumber. In the middle of the unending action spectacle of the second half, I actually nodded off.This movie had the creative talent, and the actors to make something really great. And I feel like without a Michael Bay explosion quota maybe they could have done it here... But in the end this is a missed opportunity.",5.0,Anonymous,"Action, Adventure, Sci-Fi"
What's with all the hate?! I LOVE MAN OF STEEL!!!,"Am I one of the few people who actually love this movie? Man of Steel has beautiful visuals, an amazing cast ensemble, and action scenes to blow you away. The story is better than that awful Superman Returns movie and it's like the actors are doing their best. It's no Wonder Woman or Aquaman, but its a very fun watch and completely unforgettable!!",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Mostly good but I despise the Krypton storyline,"For a superhero movie there's definitely some positives here. Henry Cavill is fantastic and I enjoyed the take on Clark choosing to live in obscurity instead of the happy-go-lucky reporter at the Daily Planet. It felt very grounded.I enjoyed Diane Lane's performance alot. Costner and Adams aren't given alot to work with. Whilst Costner kind of stumbled through Adams' performance outshines the limited story and dialogue. But I agree with others who have said that the chemistry between Cavill and Adams is VERY forced. And finally I'm always going to enjoy seeing Chris Meloni and Richard Schiff appear on my screen.Now I pretty much hated everything Krypton related in this movie. Starting with the atrocious aesthetics between the costumes and sets. It's so black and plastic looking. And there were alot of names, references and long winded explanations of what was happening that never really made sense or came together to form a coherent picture. It's like they committed at the beginning to telling ""Krypton's story"" but halfway through realised it was going to be too much work so they did the bare minimum.The actor who played Zod was terrible (a charmless, Cookie cutter bad guy) and who the hell cares who else was tagging along with him. Russell Crowe has a handful of good moments but it's mostly pretty boring stuff.Overall it's a passable mild entertaining movie for a Sunday afternoon. But ultimately pretty forgettable.",6.0,Anonymous,"Action, Adventure, Sci-Fi"
Watched recently and forgot how good it is,"An epic Superman film one of the best ones that is incredibly well directed by Zack Snyder! Goes from explaining how Clark/Superman gets sent to earth because of his parents to the right amount of character development with Lois Lane and power along with epic action sequences. I've seen a few times even then I really liked it, this adaption deserves plenty of praise all around. The cast is excellent, beautiful cinematography, amazing story, emotions on point, and superb action!",9.0,Anonymous,"Action, Adventure, Sci-Fi"
A Look Back at This Movie From 10 Year Out ...,"First of all, I've been a Superman fan since I was a pre-teen when George Reeves was cast in the role on TV. We've come a long way since then and special effects/CGI has elevated the film experience to heights we could have only imagined. I put that all into perspective and appreciate each version of Superman according to the time frame in which it was filmed. When ""Man of Steel"" was first released, it didn't really grab me. Why not? It had the most incredible cast so what was it lacking? Looking back at the movie, I compared it to, ""The Avengers"" which was released within a year of ""Man of Steel"". The MCU had humor, humor, humor and in case you didn't catch it the first time ... HUMOR. ""Man of Steel"" did not. The director/producers attempted to insert total gravitas as its driving force and that translates to a cinema experience without punch/pizzazz. ""Man of Steel"" could have been any movie which portrays a struggle between any normal person's struggle to balance his biological parents/humanity/personal strength. And it didn't do it all that well. This makes me sad. As I've said, I'm a Superman fan.",7.0,Anonymous,"Action, Adventure, Sci-Fi"
An Underrated Masterpiece,"Man of Steel is a breathtaking and ambitious reimagining of Superman's origin that deserves far more recognition than it received. This movie breathes new life into the classic hero with stunning visuals, a grounded storyline, and one of the most powerful scores ever composed by Hans Zimmer. This film is nothing short of a chef's kiss - an underrated masterpiece that elevates the superhero genre to a whole new level.Zimmer's background score is the beating heart of Man of Steel. His music captures the essence of Superman - hope, struggle, and inner strength - with a haunting, emotional resonance that stays with you long after the credits roll. Tracks like ""Flight"" and ""What Are You Going to Do When You Are Not Saving the World?"" take each scene to a higher plane, perfectly conveying Clark Kent's journey from outsider to hero. Zimmer's score is monumental and tender at once, turning each action scene into a visceral experience and each emotional beat into a moment of pure cinematic magic.The film's visuals are nothing short of stunning. Snyder creates an immersive world, filled with grand, awe-inspiring scenes that lend Superman's story a sense of mythic scale. The Krypton opening sequence alone is a visual marvel, introducing audiences to a fresh and imaginative view of Superman's home world. And when it comes to Superman's first flight, Snyder delivers a scene so exhilarating and hopeful that it feels like an invitation to believe in the impossible.This isn't just a superhero movie - it's a deeper exploration of identity, sacrifice, and the weight of destiny. Henry Cavill's Superman is both human and heroic, facing internal struggles that make his journey feel grounded and real. The movie's action scenes are intense and powerful, but they're backed by meaningful stakes that make every punch and every victory feel earned.Man of Steel deserves to be remembered not just as a Superman film, but as a true cinematic gem. Snyder's direction, Zimmer's score, and Cavill's heartfelt performance make it an unforgettable experience that soars above typical superhero fare. For anyone who loves powerful storytelling wrapped in stunning visuals and an unforgettable score, Man of Steel is a must-watch - a true ""chef's kiss"" that honors and redefines an icon.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
