title,content,rating,username,genres
Super underrated.,"Before the time travel stuff, it's a bit tired...but man, once we go back in time, it's actually astonishing how great it is. Brolin rules, the model party scene is perfect, and I don't think it can be overstated how wonderful Griff is. Most importantly, it solidifies J and K's relationship in ways that most Hollywood comedy sequels wouldn't even bother, becoming a surprisingly emotional story of friendship and commitment.",8.0,Anonymous,Comedy
Bigger Imaginations,"It's been a decade since the last MIB film was released. We kind of missed the series even though Men In Black 2 wasn't really that good. In this sequel, it's pretty small and unnecessary but it still has the charms and bright imagination. Great Performances and Solid Visuals. It also has the same tone of the original Men In Black films. It's a wonderful action, adventure movie with non-stop enjoyment.Thankfully, it does not follow the modern blockbuster roots and stay loyal to its own. By the way, this is a comical action film. It may not be a large one but what matters here is the fun characters. Will Smith and Tommy Lee Jones still got it but who shines here is Josh Brolin. He can perfectly imitate the facial expression and voice of Agent K and it's a lot better when he's around.The plot sounds like a generic time traveling story, but there are imaginative and wonderful sequences in these. The humor is still clever. There is still a heart. The action is not quite appealing but the time jump scene was spectacular. A lot of people will be rooting for the design of the villain, Boris the Animal. At first glance, you might think it's creepy but you'll realize how awesome he actually looks.Blockbusters like this are now obsolete. Our usual modern blockbusters are generic and bland cookie-cutters that are easy to be forgotten. This actually stays to its own kind. It's comical, it has life, it cares to the characters no matter how small and absurd the story is. Yes, it's small, but there are so many merits that are worth seeing. Either you're a fan of the series or not, you'll find it very enjoyable. The Men in Black series is still imaginative and fun.",7.0,Anonymous,Comedy
Josh Brolin Played a Perfect Tommy Lee Jones,"I am not exactly a Will Smith fan. I think the last Will Smith film I watched and liked was the first ""Men in Black"" film back in 1997. I was surprised to learn that there will be another installment of ""Men in Black"" this year, the third of the series. The second MiB was shown in 2002, and I did not even care to finish that one. Will the ten years between the last episode and this one make a difference? I needed to see that.In this film, a vicious alien villain known as Boris the Animal escapes from his prison on the moon, where he had been locked up since being arrested by Agent K (Tommy Lee Jones) back in 1969. One day, Agent K disappears from the present day. His partner Agent J (Will Smith) realizes that K had been assassinated by Boris forty years ago, which caused a major change of events, allowing Boris' alien race to overrun the Earth. J had to find a way to travel back in time to 1969 in order to save K and rectify the tragic consequences of his death. Can J save K and in turn save the Earth from the clutches of Boris?The odd couple was just as they were before in the first films. Will Smith is still his old loudmouth Agent J as Tommy Lee Jones was his tight-lipped Agent K. As J goes back to the past, he will interact with the young 29-year old K, perfectly played by Josh Brolin. Brolin amazingly captures the laconic persona, and even the distinct voice, of Jones so well that they seemed to have been one and the same actor. It was also good to see Emma Thompson again in a major film as she portrayed Agent O, another senior agent with a soft spot for K. The younger Agent O was played by a cutie named Alice Eve, but she certainly did not convince us that she would look or act like Emma Thompson when she grows older.I must say that this film was really a most entertaining one. Well, maybe more for me than for my kids. Younger audiences may find the jokes about 1969 cultural references, such as the hippies, the racial tension, etc., to be a bit difficult to grasp. But the fun action sequences with some exciting futuristic vehicles and weaponry, the imaginative and repulsive aliens made by no less than the master monster-maker Rick Baker, the thrilling integration of the historic Apollo 11 lift-off, and the touching revelation of K's big secret made this a very good and enjoyable movie to watch. 3D did not seem necessary. Director Barry Sonnenfeld got it right this time, and this segment certainly gave perfect closure to the story arc of the whole series.",8.0,Anonymous,Comedy
Surpassing the previous two movies...,"I will start out by saying that ""Men in Black 3"" is the best of the series so far, at least in my opinion. Why? Well simply because of the depths of the story, it is better planned and executed, and more enjoyable than the previous ones.The story ""Men in Black 3"" is about Agent J traveling back in time to prevent an alien invasion of Earth and to prevent the assassination of his partner, Agent K.Unlike the previous movies, the various aliens in all their strange appearances do not have that much of a prominent part of the movie. Sure they are there, but mostly as background characters. That is nice in itself, because there is still a large range of strange alien creatures to be seen, just in a less active role in the movie. The story in ""Men in Black 3"" is more character driven, with focus on Agents J and K in particular, and a single alien, Boris the Animal. This does work out quite nicely, because the story takes on a more personal aspect of storytelling, and there is a really, really great moment towards the end of the movie when you learn the truth about the two agents relationship. That was something that I really enjoyed.Again, you have Will Smith and Tommy Lee Jones returning to their roles, and then Josh Brolin really pulled off stepping into the shoes of portraying a younger version of Agent K. Boris the Animal was also nicely played by Jemaine Clement. And Emma Thompson stepping in as Agent O, new leader of the MIB agency after Zed having passed on.And as with the previous two movies, the CGI effects in the movie were really great, and the aliens were realistic and believable. Which really is an important thing to make a movie like this enjoyable.I found this to be the best of the series so far, because it is a more personal story where the multitude of strange alien creatures didn't have a huge part of the screen all the time. And the depths of the plot were well planned and executed, despite the minor flaws here and there (if you read through the 'Goofs' (here on IMDb), but that is really minor details that, I will admit that I didn't notice at all, you'd notice only if you are a, well, a nerd! No offense to anyone. But you really have to be a perfectionist to factual details to notice that, so hats off to those who pointed them out.If you enjoyed ""Men in Black"" or ""Men in Black II"", then you definitely have to watch ""Men in Black 3"", because it adds a lot to the overall storyline of the MIB universe.",7.0,Anonymous,Comedy
"A playful return to form....well, almost.","A decade away from the movie scene has given the Men In Black series a chance at a fresher, newer perspective. Taking its cue from Shrek Forever After, MIB 3 takes on a tired concept (time travel in this case) if only to acknowledge the failure of its dull sequel and take us back to a different era allowing us to view the franchise from an unsullied angle. The result is a film that returns to its roots and gives audiences the chance to relive much of what they first enjoyed – a smart, sci-fi, buddy comedy that embraces everything weird and wonderful about the unknown universe.In his first cinematic role in nearly 4 years, Will Smith's Agent J is the usual charming, witty wiseass we expect him to be. Still teamed up with the laconic Agent K (wrinkly Tommy Lee Jones) he is no closer to cracking his older partners deadpan demeanour but their relationship issues take a back seat when a nemesis from Kay's past, Boris the animal, turns up to exact revenge for having been imprisoned on the moon 40 years ago. His elaborate plan takes him back in the past, to the day he was caught, and sets ripples in the present, where K no longer exists and a different reality results. J has to then literally time jump (off the Empire State building no less) and fix the past for normalcy to return in the present.Directly Barry Sonnenfeld seems to find his groove once again with the zany and icky shenanigans that put him on the map with the original. Using plenty of the wide angle camera work that gave him fame as the Coen's favourite lenser, the resulting imagery should work wonders for those who decide to pay extra and catch the film on 3D (converted). Boris the animal is also a return to series villains being screwball and menacing in equal measure (remember Vincent D'Onofrio?) and Rick Baker's excellent makeup effects are both incredible and revolting. The big surprise is how well Josh Brolin impersonates Jones in the role of a younger K – which should not be a surprise considering Brolin's recent, impressive body of work as a bonafide actor, most notably in W. So chameleon-like is his performance that you forget it's him and actually completely believe it's just a younger version of Tommy Lee Jones that you're seeing.The films primary achievement and a true signal of its return to form though are the scenes set in the past. Not only is Josh Brolin a deadringer for Tommy Lee's K during his youth, but the hip musical vibes of the late 60's/early 70's allow for plenty of playfulness to ensue with a particularly hilarious segment devoted to Andy Warhol. If that isn't enough, everything very neatly ties into another epochal scientific moment from that time period and ends on a moment of curiously satisfying emotionality that provides not only closure to the film but the series as a whole. If that doesn't make you forgive all the wrongs that the sequel did and embrace this film as one of the years better movie franchise offerings the only thing that might work on you is a neuralizer.",7.0,Anonymous,Comedy
Entertaining and well made,"This film is about Agent J going back in time to rescue Agent K from being murdered by aliens.My friends say that ""Men in Black III"" is a brainless comedy, you can go in just for a few laughs and switch your brain off. After watching it, I can safely say that I have another opinion.""Men in Black III"" does have its brainless moments. It can be politically incorrect too, but it is entertaining and fun to watch. Special effects are realistic, and the scene involving a very tall building made me so nervous that my palms perspired a lot! The ending is very touching; I certainly did not see it coming even though a friend guessed it.I think it is great that ""Men in Black III"" manages to combine emotional elements in the middle of mainstream blockbuster entertainment. I look forward to the next film in the series already.",,Anonymous,Comedy
Great Adventure,"The criminal Boris the Animal (Jemaine Clement) escapes from the LunaMax, a moon-based maximum security prison. He comes to Earth seeking revenge from Agent K (Tommy Lee Jones) that has blown his arm up and arrested him forty years ago and protected Earth from a Boglodyte invasion. Boris is defeated again and he travels back in time to 1969 to kill Agent K.When Agent J (Will Smith) notes that the time line has changed in the present days and Agent O (Emma Thompson) tells him that K died in 1969, he decides to travel to 15 July 1969 to save K on the next day. Agent J has difficulties to convince the Young Agent K (Josh Brolin) with lies, but when he decides to tell the truth, K believes in his words and they seek out Boris together.They are helped by the amicable alien Griiffin (Michael Stuhlbarg) that has precognitive powers and gives the ArcNet to K to protect Earth from the Boglodyte invasion. Further, J learns a secret about K and himself.""Men in Black 3"" is a great adventure of this franchise, with a wonderful story and magnificent special effects. I had low expectations with movie, but I was favorably surprised with an adorable film. My vote is seven.Title (Brazil): ""MIB³ - Homens de Preto 3"" (""MIB³ - Men in Black 3"")",7.0,Anonymous,Comedy
A Bit Outdated But  MiB3 Is Still Fun,"Well, whaddaya know, the ""MiB"" have gone MiA for 10 years already! No wonder many of us have forgotten about them as Men In Cape and Bodysuits (aka The Avengers, Batman, Spider-Man, et al) have been hogging the cinemas while the ""Men In Black"" go missing-in-action. No matter, they are still a barrel of fun in this three-quel that comes as more of a surprise than a treat that we have been waiting for.And with Barry Sonnenfeld back at the helm of this troubled and delayed US$215-million production, it is a nostalgic film in more ways than one.Will Smith and Tommy Lee Jones reprise their roles as agents J and K of the secret Men in Black organization that monitors alien activity on Earth. The 'odd-couple' have their work cut out for them when extra-terrestrial serial killer Boris the Animal (Jemaine Clement) escapes from his maximum security prison on the moon and travels back in time to kill K. Since only J remembers K's existence, it's up to him to venture through time, look for a young K (now played by Josh Brolin) and stop Boris from destroying the world once and for all.I have never been a fan of time-travel plots and I still don't like them. However, the time-travel subplot here is just to provide the ""Back To The Future"" fantasy to the MiB franchise. The narrative, as well as the mood and tone of the movie, are light-hearted, fun and always on the outer limits of credibility. Again, it is nice to see how a deadpan face like Jones' can generate so much mirth. The Smith & Jones pairing is augmented by Brolin who gives a good representation of how K would be in the Sixties, with most of the sequences accompanied by popular Sixties hits on the soundtrack.One of the staple jokes of the MiB series is the celebrity cameos that suggest alien origins. In MiB3, we have a 'twist' that suggests a certain pop art personality is an undercover MiB agent! Still, the mainstay of the MiB series is Rick Baker's creature designs and make-up rendered in 3D. The 'monster show' does not disappoint, especially that of a huge fish that attacks diners at a Chinese restaurant. Oh yes, there are also a couple of cool gadgets and vehicles like the giant wheel hoover-bikes used by Agents J and K. On the whole, Agents J and K still provide the 'L'. - limchangmoh.blogspot.com",7.0,Anonymous,Comedy
"A shocking return to form after the sub-par second film, ""Men in Black 3"" is a fast, fun, quirky film and a surprisingly good sequel.","I remember back in 2002, after ""Men in Black II"" came out, there was chatter about a third film. And I was excited to see a third film, even though the second was a poorly-written, under-developed cash-grab that felt as though it was without identity. I was just too addicted to the chemistry between Tommy Lee Jones and Will Smith, and I loved the world that director Barry Sonnenfeld had helped create in the first two entries.But as time went on, it seemed less and less likely. Sure, we'd hear a tidbit of news here, or a rumor there... But it was never anything substantial. After about five years, I gave up all hope that a third film would even happen. So you can imagine my surprise when this film was finally released in 2012, about 10 years after the prior entry.And you can also imagine my surprise that despite the second film being... well, pretty bad, this one was actually a very shocking and surprising return to form, and is actually a pretty strong and generally well-told sequel.Smith and Jones return as agents J and K, now having known each other for about 14 years. They have their usual tension and banter, but J is starting to notice some odd things about K, and wonders what made him the way he is. However, this is put on hold when a ruthless alien villain called Boris ""The Animal"" (Jemaine Clement) escapes from prison and uses a time traveling device to go back in time and murder a younger Agent K. J, somehow being one of the only people to remember who who K even was, is forced to follow Boris back to 1969 and stop him from killing a younger Agent K (Josh Brolin). J and the young K must also work together to stop Boris's other dastardly plans for the future in the process.The acting is a lot better this time around. Particularly in terms of the chemistry between Smith and Jones, which I felt was somewhat muted by the poor writing in the prior film. Their banter and dialog is almost as good as it was in the original, and both actors are great not only together, but on their own as well. Josh Brolin is also a bit of a revelation as the young K, who appears on-screen far more than the older, modern K. Brolin isn't just doing a Tommy Lee Jones impression, he's doing something different, since K was a different man in 1969. It's interesting to see how K evolves and changes over the course of the film due to what happens, and we can see how he will eventually become the man we first see in the original. Brolin just nailed it perfectly.The villain portrayed by Clement is also a lot of fun, and he has some great moments of not only comedy, but of intimidation and creepiness. (Although I will admit he's not a deep character and is borderline one- dimensional, I can forgive it because at least he wasn't terribly written as... certain other villains from a certain other ""Men in Black"" sequel were) And Michael Stuhlbarg as Griffin, a 5th dimensional being who is able to see all possible outcomes of all situations at once in the past, present and future is a LOT of fun. He's a major supporting character, and both his child-like glee and his darkness in being such an all-seeing character are both well played. He's almost the heart of the film.The production is a lot of fun, especially with the time-travel plot, which gives us two radically different visual aesthetics. The set, costume and of course Rick Baker's alien designs are fantastic in both time-lines. I particularly enjoyed how Baker and his team made the aliens in the 1969 New York look more like aliens from cheesy, old- school Sci-Fi flicks from that era as opposed to the more modern and intricate designs of characters from the modern day sequences.Sonnenfeld's direction is a lot more fluid and fun in this film. (Again, as opposed to the second... I really hate to keep comparing this film to the second, but it's hard not to when this is so much better) And the script written by Etan Cohen is funny, tightly-paced and has some unexpected and truly heartfelt moments that may in fact bring a tear to your eye.This film does lose a few points, however, in that some of its jokes are very hit and miss, and a few plot-related issues. In particular with the time-travel approach. I did notice many inconsistencies and changes to the ""rules"" of time travel throughout. And it did bug me quite a bit. However, not enough to ruin the film.Despite some flaws, this is still a very solid, well-made sequel and is a definite return to form for the series. And it has re-ignited that ""Men in Black"" fire, and left me hoping for a potential fourth film.I give ""Men in Black 3"" a pretty good 7 out of 10.",7.0,Anonymous,Comedy
my favorite,"This part of the Men in Black series is my favorite. I liked everything and the end was ... It doesn't have to be described, it has to be watched.",10.0,Anonymous,Comedy
