title,content,rating,username,genres
Account of Crucial Naval Battle in Emmerich Style,"This film is a straightforward retelling of the events in the first months of the War in the Pacific beginning with Pearl Harbor and culminating in the Battle of Midway (June 1942). In between, it also touched on Doolittle's Raid on Tokyo (April 1942) and the Battle of Coral Sea (May 1942). The story was told mainly from the point of view of two American soldiers, namely pilot Lt. Dick Best (Ed Skrein) who led his dive bomber squadron at Midway, and intelligence officer Lt. Comm. Edwin Layton (Patrick Wilson) who with his code-breaker team predicted the Midway attack.Along the way, we meet other famous American soldiers: Admiral Chester Nimitz (Woody Harrelson) Commander in Chief of the US Pacific Fleet; Vice Admiral William ""Bull"" Halsey (Dennis Quaid) who led the aircraft carrier USS Enterprise; Rear Admiral Raymond Spruance (Jake Weber) who took over the Enterprise for the Battle of Midway; Best's fellow aviators Lt. Comm. Wade McClusky (Luke Evans), Lt. Comm. Eugene Lindsey (Darren Criss) and Lt. Comm. Jimmy Doolittle (Aaron Eckhart); cryptographer Commander Joseph Rochefort (Brennan Brown) and Aviation Machinist Mate Bruno Gaido (Nick Jonas).The side of the Japanese Imperial Army and their unique military culture were also given fair screen time in this film. Admiral Isoroku Yamamoto (Etsushi Toyokawa) of the Imperial Japanese Navy and the Commander in Chief of their combined fleet, was portrayed with calm and quiet dignity. We also get to meet other Japanese officers and their own brands of leadership Rear Admiral Tamon Yamaguchi (Tadanobu Asano) who commanded the Hiryu with nobility, and Vice Admiral Chuichi Nagumo (Jun Kunimura) whose controversial battle decisions had negative impact against the Japanese campaign.The execution of the critical battle scenes are the main draws to watch this film. Director Roland Emmerich will always be remembered as the man who brought us ""Independence Day"" (1996) and ""2012"" (2009). Of course, there are big explosions and massive destruction here as well. The massive scenes showing fiery exploding seacraft and aircraft were rendered with crisp cinematography and meticulous visual effects to create impressive screen spectacles. The aviation scenes, particularly the dive bomber runs by Dick Best, were excellently staged, shot and edited to elicit an exhilarating rush.For its 2 hours 18 minute run, the story of the crucial naval battles and the heroism of its real-life protagonists were front and center here in ""Midway."" There were no fictional characters or cheesy love stories like in the first ""Midway"" film or ""Pearl Harbor."" While seeing some popular young actors like Criss or Jonas can be distracting, the all-star cast generally rendered honor and respect to the heroes they portrayed. Focusing on soldiers of lesser rank allowed for some intimate personal drama in actual battle situations, perhaps with not much depth as possible. As this movie is rated PG, so do not expect to see graphic injuries at the level of ""Saving Private Ryan.""",8.0,Anonymous,History
Both good and disappointing - depends on the target audience,"As someone very knowledgeable about the subject, I was somewhat disappointed. Whether it was the wrinkled uniforms, the painful dialogue, the over-the-top dramatics and exaggerated explosions (hey, it's Emmerich!)... it was clear the film was not made for people like me who know the details and the characters very well.The rating depends greatly on the target audience. It's clear this film was made for a younger audience, and as such, it does a very good job of conveying the history quite accurately. It's a lot to take on with a 2:20 movie (complete with a 6-month summary of events leading up to the title battle) and it does a fine job of that.Correct history of this great nation tragically just isn't taught anymore, so I heartily applaud any effort to do so. I just wonder if younger audiences have any desire to learn it. So if I'm rating from that perspective, it jumps up a few points.I just wish a little more care with the details and script had been taken to leave the older audience satisfied from our knowledge level.",6.0,Anonymous,History
More than you'd expect,"Critics are trashing this film, I went into it skeptical. After, I'm not so sure why. They tell a simplified story of the events leading up to, and eventually the battle of midway. You get to see two sides of life, the Japanese and the American forces. The script is fine, acting is pretty good in my opinion as well (shout out to Dennis Quaid, he is a great salty kinda guy). CGI was not that bad, especially for fast paced scenes. Only complaint is it is a bit long, which I understand due to how much they wanted to include. But there were 2-3 times I thought it might end, but there were still a few minutes left. In the end, a solid war movie that, in my opinion, does a great job showing some brutality of war, in addition to brothership and slice of life of the time. A solid film to honor the brave men and women that died for a better future.",8.0,Anonymous,History
Historicaly correct but visualy not,"I'm just coming from the cinema, Midway is a worth to see movie, but the filmmakers used a bit too much CGI, sometimes you feel like watching a Medal of Honor game trailer.",6.0,Anonymous,History
Poorly written dialogue,"Especially when it comes to Ed Skrein's lines, the writing of this script was so bad. Attempts at drama come off as embarrassing. Also for some reason I just don't like Ed Skrein in this role. This movie could have been good, but it just had me shaking my head the whole time.",,Anonymous,History
Feels like a made-for-TV movie,"Midway feels like a made-for-TV movie. It's full of cliched dialogue, acting, and plot points. When most of your movie hinges on the lead actor's performance, and that performance turns out to be melodramatic and cheesy, you've got a problem. Also, the visual effects were inconsistent, swinging from impressive to corny. This isn't a bad movie, but it's going to be easy for me to forget about it.",6.0,Anonymous,History
Better then I thought it would be,"Midway delivers a solid, visually striking depiction of one of World War II's most pivotal battles. Directed by Roland Emmerich, the film is packed with breathtaking aerial combat scenes, impressive special effects, and a clear respect for the historical significance of the events it portrays.The standout feature of Midway is its dedication to historical accuracy. From the strategic decisions to the portrayal of key figures like Admiral Chester Nimitz (Woody Harrelson) and Lt. Dick Best (Ed Skrein), the film successfully immerses viewers in the high stakes of the Pacific Theater. The cast does a commendable job, with standout performances from Harrelson and Dennis Quaid, although some dialogue can feel a bit stiff and overly dramatic at times.While the action scenes are gripping, the movie's pacing struggles in places. The focus on numerous characters and events, while admirable for its scope, can feel overwhelming and disjointed, leaving some storylines underdeveloped.Overall, Midway is a respectful and thrilling tribute to the bravery of those who fought in the Battle of Midway. While it doesn't quite reach the emotional depth of films like Saving Private Ryan, its action-packed sequences and historical focus make it a worthy watch for fans of war movies and history buffs.",7.0,Anonymous,History
Hollywood actually made a decent war movie without pushing a political agenda,"This is probably the first time in over 50 years Hollywood made a solid war movie without inserting a sappy, contrived romantic sub-plot, pushing some radical political agenda, or re-writing history.
The movie is good. The dialogue is believable, natural, and convincingly delivered in almost all cases.While no movie is perfectly accurate historically - historians don't even agree on much, so who is to say - the few errors here are trivial and immaterial to the how events progressed. As somebody who is a buff on this period of the early Pacific war - reading every book by Prange, Lord, and many others - I was very impressed.I went into this movie expecting the worst from Hollywood, but this was their best historical piece in generations. Even the casting seemed to echo the real people in looks and demeanor.The Japanese point of view wasn't neglected either. While I can't say whether the Japanese dialogue was believable or well-delivered, by all outward appearances this acting was also top notch. The similarity between the real Admiral Nagumo and the actor was particularly striking. They made the right call in using solid Japanese actors speaking Japanese.The accurate portrayal of the friction between the Imperial Navy and Imperial Army with Emperor Hirohito almost powerless to restrain the militarists was very refreshing. This was a very important, complex contributing factor to the war. Few outside Japan and some narrow historical circles ever learn about this dynamic.About the worst I can say about this movie is the pace was too fast. Unless stretched into an 8 hour mini-series, I can't imagine they could have avoided this. With my background, I could fill in gaps and context the movie seemed to miss. Others might be left confused. Even though not well-read on this chapter of history, my spouse followed the storyline without issue and really enjoyed the movie as entertainment.Kudos to the producers, writers, actors, and entire crew. This was a job well-done and a fitting tribute to heroes like Layton and Best.",9.0,Anonymous,History
You sunk my battleship!,"Midway is not just the name of the place where a historic WWII sea battle took place between the Americans and the Japanese, it's also the point in this film where I realised I didn't know what was going on. Director Roland Emmerich (Godzilla, Independence Day, 2012) is obviously no slouch when it comes to action scenes, bringing us some truly astonishing battle sequences that provide much bang for your buck, but he struggles to tell his complex historical story with any coherence.As the movie cuts back and forth between the American and Japanese forces, with numerous ships, locations, characters, and much detailed wartime strategy to take in, it's easy to lose track of what's what and, more importantly, who is who, making it hard to feel anything when they meet their inevitable fate in a ball of flames and twisted metal (the most emotional part of the whole film comes right at the end when photos with captions show the real-life people who were instrumental in the battle).Of course, those who are watching, not for a history lesson or for heart-rending pathos, but for thrilling scenes of destruction and derring-do, are more than catered for with countless huge explosions, plenty of machine-gun fire and loads of impressive aerial combat. While most of this is realised through the use of CGI, it's well-handled and, for the most part, very convincing.5.5/10, rounded up to 6 for IMDb.",6.0,Anonymous,History
GREAT WATCH!!!!!,I am a veteran and this was a hit. The special effects were good and I don't understand why people were saying it was too much. The characters were evenly played out in the movie and there was no stupid romance part that was in the last Pearl Harbor movie. It told the story amazingly and it dived right into what it's all about. You don't need too much character development to tell a story of four people during that time. It was such a great watch and I Definatley recommend it. It ranks up there as we were soldiers! It's been a long time a good war movie came out and this was it. And when you see other reviews about it's a disgrace to veterans don't listen to those reviews. Obviously they haven't been through tough times such as how these people lived. I was in live fire so I can compare. Enjoy the movie is amazing!,10.0,Anonymous,History
