title,content,rating,username,genres
Underrated & A Film To Think About,"This gets high marks for being an involving film that, despite a long length of almost two- and-a-half hours, keeps ones interest all the way. Being a Stephen Spielberg-directed film, it's no surprise that the photography is first-rate. This is nice-looking movie. Tom Cruise also was very good in here, not the obnoxious character he sometimes portrays (or did more often in his younger days.).The film is a good mixture of action and suspense. Only the one chase scene was overdone with Rambo-like mentality of the good guys not getting hit when they should, and vice- versa.The subject matter is interesting, too: what would do you (or the police) had very reliable information on crimes that were about to be committed, that you could prevent things from happening before they actually did?I recognized two people in here who went on shortly thereafter to become recognizable in TV series: Kathryn Morris (""Cold Case"") and Neal McDonough (""Boomtown""). Add Colin Farrell, Max Von Sydow, Samantha Morton and you have an interesting cast. I am of the opinion that this is one of Spielberg's underrated gems.",9.0,Anonymous,"Action, Crime, Mystery"
"Looks great, interesting story","May be this film has some flaws but while watching it I wasn't too distracted by that. Here we have one of the greatest directors alive (Steven Spielberg), a very big star (Tom Cruise) with a great ensemble (Max von Sydow, Colin Farrell, Peter Stormare, Samantha Morton, Tim Blake Nelson) around him, a good cinematography (Janusz Kaminski) and a nice score by John Williams all packed in a great story (based on the novel by Philip K. Dick) with perfect visual effects.In the year 2054 murders can be predicted and stopped before they happen. If you were about to kill but stopped you are locked. Tom Cruise is one of the agents who stops those murders. Then he discovers the next murder they have to stop will be committed by himself.I will not reveal more of the plot. The story itself is great. It is intelligent, but also exciting with great action scenes. The visuals are truly beautiful and perfectly support the sci-fi story. If you like action thrillers and you don't mind they are set in the future (with some futuristic gadgets) this is your film. 9/10.",9.0,Anonymous,"Action, Crime, Mystery"
Minority Report is one of the top films of 2002,"I read a lot of previous posts about this movie. This is one of the best films of the year, and of recent years. This is a perfect blend of action, suspense, thrills and film-noir. The plot is intelligent and fresh. People saying it is not original must have slept through the movie. Tom Cruise is fantastic, Colin Farrell is amazing, as well as Samantha Morton. Spielberg again proves that he is the master of cinema. A truly great director. I'll agree, the ending was a little too happy, but not worth complaining about. This film is not about product placement as previously suggested, it is simply a entertaining and yet realistic glimpse of what our future may look like, as advertising becomes more advanced and intrusive. The film creates many moral questions and issues, and should leave you thinking. Is being arrested for doing something you actually havn't commited yet fair? It is worth seeing again and again. As a film lover and critic, i can say it is one amazing movie.",10.0,Anonymous,"Action, Crime, Mystery"
What must film makers do? This was GOOD - believe nothing else.,"I think some people just write reviews for sites like this because they like to complain. I actually find myself wondering if all the gripers here have actually seen Minority Report, as I just have, because I have to say that is one of the most gripping and involving movies I have seen in quite a while.The content is amazing - all the little details that put the audience firmly in the middle of the 21st century. Personally I can absolutely believe that technology will have advanced in the kind of ways portrayed in the film within 50 years. Just look back 50 years into the past and you should be able to see why. The lives of everyday people in the film, where they are scanned and advertised 'at' all day every day, apart from an excuse for product placement (and why not?), certainly make you think about a world where 'they' know your every move (a future towards which we are already hurtling with some speed).The style is amazing - why the wooden balls? Because they're cool is why. I like to think that as we progress as a civilization we will keep a few such elegant idiosyncrasies knocking around. The plastic, chrome and glass sets, objects and architecture all looked clean and functional and the way that they suck the color out of a scene worked well and gave the film a distinctive palette. The cars are the best looking vehicles I have ever seen in a film. I have only one criticism here - why do all the computer displays look like Macs? Surely a touch unrealistic ;)The story is amazing - complicated, yes, but also engrossing, exciting and scary. There are elements here that are only hinted at, but which give the plot a depth increasingly lacking in modern action flicks. And it asks the kind of questions about morality, justice, exploitation and society that'll keep you thinking for much longer that the film's two and some hours.The direction and performances are amazing - the pre-visualization on this movie must have been a nightmare and yet all the incredible special effects blend perfectly into a visual style that is completely natural and assured, as might be expected from Spielberg and Michael Kahn. There are, of course, numerous references and homages to the work of Stanley Kubrick, which have given a hint of the edge and flair of 'Clockwork Orange' or '2001'. I hope it will continue to be a big influence on Spielberg.Cruise delivers a first class performance as usual, but the discovery of this film is Samantha Morton as Agatha. Who saw the film and didn't share her terror and vulnerability? Little touches such as the way she clings to Cruise, almost like a baby's reflex, make her a character you immediately care about, innocent and tragic.Anyway, if that's not enough to recommend the film, then you'll probably never find another one you like again. But if you need another reason, go to see it just for another fantastic soundtrack from the master, John Williams.Full marks, five stars, a must see several times and buy the DVD movie.",,Anonymous,"Action, Crime, Mystery"
Looks like I'M in the minority here...,"Based on the mostly positive reviews for this, it looks like I'm in the minority here (wink), because I don't think that this film quite worked the way it should have, or the way it could have. It's quite rare that I leave a moviegoing experience feeling dissatisfied, but I think that the movie set high expectations with a very cool premise, but then lost it in a mess. I can break down my thoughts into two categories:1. PlotThe notion of ""precrime"" is pretty slick, and I don't mind that the first 20 minutes of the movie spend time explaining and demonstrating it. But it sets rules and guidelines that are ultimately broken by the end, leaving me quite confused as to why I should buy into these plot points in the first place. I don't really find myself feeling like they are plot holes, but more that the premise becomes loose and messy. To be reductive, in a movie where beings are predicting the future, there really shouldn't be too many surprises or plot twists, right?2. ToneThis is what stuck out to me first. This movie plays it pretty straight, and doesn't have comic relief characters (like Goldblum in ""Jurassic Park). So when the first big fight scene breaks out, the tone shifts and things start to get quite silly (bumping a breakfast table, interrupting a student practicing saxophone), and then all of a sudden it feels like ""Men in Black."" I welcome moments of levity, but the ones here did not feel earned. Any cheerful or ""funny"" moments really stuck out from the rest of the film.I won't dock it any points for weird SFX or anything, even if I think that the ""conducting"" while using touchscreens looks super forced and unnatural.Ultimately, its 145-minute runtime allows it to explore more plot twists. The movie doesn't necessarily feel long or slow, but it does have a moment towards the end where it felt like it should have ended. I think the script was trying to do way too much, and resulted in having four separate stories that barely dovetail gracefully.I don't feel inclined to give Spielberg or a Williams much credit here. I think there are some cool sci-fi moments, and some good performances (though I don't think that anyone delivers a Top-5 performance here), and that's why I feel like a 6/10 rating is appropriate.",6.0,Anonymous,"Action, Crime, Mystery"
Full of imagination.,"Before they joined forces to give sci-fi fans their hugely disappointing version of War Of The Worlds, Spielberg and Cruise worked together on Minority Report, a near-future tale based on a short story by Philip K. Dick in which violent crimes can be predicted and prevented from occurring, the perpetrator intercepted before they can carry out the deed. Star Cruise plays pre-crime cop John Anderton, who finds himself on the run after it is predicted that he himself will commit a murder.The good news is that Minority Report is a lot more enjoyable than the duo's H.G.Wells debacle, with an engrossing murder mystery plot, lots of great visuals, excellent production design, and some well executed and extremely fun action set-pieces, all of which help detract from the story's inevitable paradoxical issues and Spielberg's occasional, frustratingly unrestrained direction (Cruise leaping from car roof to car roof on a towering vertical road stretches plausibility a bit too far, but at least it's not 'nuke the fridge' bad).7.5 out of 10, rounded up to 8 for the 'sick stick' a police baton that makes the victim projectile vomit.",8.0,Anonymous,"Action, Crime, Mystery"
Minority Report,"So - can you be arrested for a crime that you haven't actually committed yet? I suppose that is conspiracy - but this cleverly crafted crime drama questions even the morality of that stance. Tom Cruise is a policeman in the ""pre-crime"" unit who uses information from three people who are able to see into the future, to arrest the spiralling crime rates by intercepting the perpetrators on the cusp of their criminality. Murderers, rapists, bank robbers - you name it, and this has a profound effect on the crime rate. All looks plain sailing until Cruise ""Anderton"" becomes embroiled in a potential killing of his own, and his erstwhile colleagues - not least Colin Farrell (""Witwer"") and Max von Sydow (""Director Burgess') are on his trail using his own techniques against him. Steven Spielberg has concocted a plot that, though complex, is relatively easy to follow with plenty of action and thriller elements that do exactly what they are supposed to. The ending is maybe just a bit disappointing - far too tidy for my liking; but Cruise, Farrell and von Sydow combine well to generate a fair degree of menace and suspense to keep it interesting. The CGI hasn't really stood the test of time so well and I hope Bulgari (amongst others) got their money's worth - I wouldn't rush out and buy one, but I would watch the film again.",7.0,Anonymous,"Action, Crime, Mystery"
You still have a choice...,"Steven Spielberg is one of the few directors around today who can still manipulate an audience in one sense while dazzling and daring that same audience with storytelling and character skills fused with ingenious visual effects.  Minority Report is a shining example of that, which also has the grace of having an intelligent concept to start with, which so many sci-fi films lack much less summer sci-fi films (look at MIB2 to see what I mean), and also better than average acting.Cruise takes the lead role here as John Anderton, who leads, more or less, the agency of police that prevent all murders on the basis of predictions from three Pre-Cogs (one of them Samantha Morton who has the most important role of the three).  The system is presumably perfect, until to the surprise of Anderton, he is seen to commit a murder and so starts his quest to try and find out if there is a flaw in thirty six hours.  This could be the basis for average sci-fi fodder (Impostor, a film based on another Philip K. Dick story that came out earlier this year, is an point of that), yet Spielberg elevates a story and creates a unique atmosphere to coexist with his characters; by the time the film is HALF way through you'll be exhausted in entertainment.Bottom line, this is the type of picture to see twice, first to get the feel and presence, and the second to clear up any misunderstandings in the plot (or maybe to avoid Scooby Doo and Windtalkers), since this is indeed one of the best pictures of the year and one of Spielberg's best recent pictures. Grade: A+ or A",10.0,Anonymous,"Action, Crime, Mystery"
Wasted Opportunity,"This film has elements to it that could've made it a dystopian masterpiece, yet it failed due to its at times unrealistic writing and unamphatic character development and lack of deep conclusion.Action scenes are great and the idea out there is pretty great it just has its missing pieces.Tom Cruise is doing a good job as the leading action hero as he always does - his bread and butter.",5.0,Anonymous,"Action, Crime, Mystery"
One of the best/most complex science fiction films,"Steven Spielberg sets Minority Report in the near future of 2054, in which the technology is advanced, but not far-fetched. Cars can drive themselves and ride up elevators, computers come with holograms as a user interface, and stores recognize you from your eyeball scan. As all science fiction fans know, however, the genre is not about technology but about ideas. The big idea for Minority Report is based on a short story by the venerable Philip K. Dick. In this future, there is a ""pre-crime"" unit in the police force, which revolves around three psychics who are able to see violent crimes before they occur. These visions are projected in a flat screen panel and manipulated by detectives with the grace of a symphony conductor. Equipped with futuristic stun guns, jet packs, and search robots, these cops then arrest and intern the criminals before the crimes are committed.We learn all this in the first ten minutes of the movie. After this introduction, the plot really starts when Detective John Anderton (Tom Cruise) finds out that the precogs saw him kill someone, someone that he has never met. He finds himself in a race. With the forced recruitment of a precog, Agatha (Samantha Morton), he must clear his name before the predetermined murder. All the while, his old buddies, now helped with a special agent from the FBI (Colin Farrell), are trying to track him down.Spielberg, with Janusz Kaminski, his cinematographer for many films, have crafted a visually stunning movie. The special effects are seamlessly incorporated of the world they created. The muted blues echo the style of black & white film noirs. John Anderton is similar to noir's morally ambiguous characters--a good cop with an illegal habit that is forced (by circumstances and desire) to betray the very things he loves.But this is not just a special effects or mystery movie. The characters, all well drawn, are supremely acted by the cast. Tom Cruise is a good physical actor and he shows it here. By the way he sits or walks, we can intuit the grief and confusion that's going through him. Samantha Morton does a good job of portraying a haunted young lady who has seen too much. Colin Farrell skillfully balances the ambitious and professional sides of his character. As always, Max von Sydow authoritatively plays the respected father figure.This is one of my favorite Science Fiction films. I would also recommend the following films. These (I think) influenced Minority Report.""The Maltese Falcon"" ~ film noir ""A Clockwork Orange"" ~ science fiction ""Blade Runner"" ~ science fiction (also based on a Dick story)***** out of *****",,Anonymous,"Action, Crime, Mystery"
