title,content,rating,username,genres
It broke my heart,"Not saying this isn't an excellent film, it is just bluntly honest. I remember in English class in high school, we were learning about racism in the 60's, and how horrible it was. The worst part was that I am from a very racist town, unfortunately, and watching the beginning of the film terrified me because I felt like this world hadn't changed since I felt like I was living that film. Being one voice sometimes can either be helpful or get you into a lot of trouble.I didn't want to see this film again because of the awful situations I saw or heard of. Now, I am out on my own, and I had the chance to see the movie once again, and felt that I could see it. It's a terrific and very powerful movie that can get anyone to cry unbearably. It's not just the actors, but Gene and William's characters, I wanted to be just like them, they were able to stand up even though the many times of being knocked down and caring so much just to try to in some way save that town.I honestly feel that everyone should see this movie, it can change your life or make you look around and want to change things. I know this comment feels more like a lecture than a comment, but that's how much this movie got to me. I think we all can do something right in this world, it's just a matter or standing up. Even if this film isn't historically accurate, it's accurate enough to see how people treat other people. Hopefully, we will have a better future for generations to come.9/10",9.0,Anonymous,History
"The film succeeds by being gripping, emotional, and disturbing","Mississippi Burning is set in 1964 when three civil rights activists are murdered in a small town by the Ku Klux Klan Two of them were white and one of them blackBased on actual events in Philadelphia, the screenplay centers chiefly on the hostility relationship between the two FBI agents (Gene Hackman and Willem Dafoe) sent down to the small Mississippi town to seek information about the vanishing of the three victims Immediately upon their arrival, they are greeted with hostility by the local law enforcement and the town in generalDafoe's Ward in charge of the casecomes off as the embodiment of everything those men in the south dislike about the ""Yankees"" who are coming down there commanding them how to actAnderson(Hackman), who was once a Mississippi officer himself, has a special feel for how to settle things with Southerners He uses his charm to win the confidence of the friendly wife of a Klansman deputy, whom he suspects holds the key to unravel the details of the caseThe scenes between McDormand and Hackman are the best of the film They dramatize how quickly two lonely people can match...The film succeeds by being gripping, emotional, and disturbing Alan parker graphically explores the hatred, motivations and mentality that were once flaming through the American society in the 60's.",8.0,Anonymous,History
Good but hard to watch,"On June 21, 1964 three young men drove a CORE (Congress of Racial Equality) station wagon from Meridian to Longview, Mississippi. On the return trip to Neshoba County Deputy Sheriff Cecil Price arrested them for speeding. He jailed them in Philadelphia, MS. Then finally released them a little after 10 p.m. And told them to leave town. A few miles outside of Philadelphia the deputy stopped their car again--this time after a wild chase--and turned them over to a group of Neshoba County Klansmen. Their bodies wouldn't be found until over a month later by FBI agents.That's the real story. ""Mississippi Burning"" is a close dramatization of it.I watched in both disgust and surprise. I was disgusted by the actions of the proud citizens of Mississippi and I was surprised to see actors that I knew nothing about when the movie came out in 1989--the likes of Willem Dafoe, Frances McDormand (Three Billboards...), R. Lee Ermey (Full Metal Jacket), Michael Rooker (Merle from The Walking Dead), Frankie Faison (commissioner on The Wire), and Darius McCrary (Eddie Winslow on Family Matters). I was surprised, not in a bad way, but in a ""Whoa! He's in this?!"" way. Sure these names aren't A-listers but they are all familiar faces to me that I never knew culminated on a 1989 project.As for the movie itself, there was some creative license taken but it was very close to the real events. In fact, the FBI knew so much about the murders because one of their informants was with the guilty party. The movie does evoke strong feelings and it is unavoidable. How do you depict 1960's deep south without raising the hairs on the back of someone's neck? Because this movie wasn't a through-and-through tragedy there was a modicum of justice served. I thought all the actors did a good job (too good in fact in some cases) and the script was well written. I still file this movie under ""hard to watch"".",7.0,Anonymous,History
The Best Film of 1988,"Great movies are ones that invoke a strong emotional response that lingers long after the movie is over. Mississippi Burning is that kind of film. You may love it, you  may hate it. You may think that it is an accurate depiction of the south in 1964, you may think its pure fiction. No matter what you will respond strongly.Director Alan Parker has been down this road before with Midnight Express, another crushing, gut-wrenching tale based on a true story. In both cases, a great deal of liberty is taken with the facts, but that doesn't matter. Mississippi Burning is not a docudrama or an A & E special, it is at its heart, a police drama, and a near perfect one at that.It is criticized by some for its depiction of southerners of the time as a group of brain-dead racists with no moral fiber whatsoever. I don't believe that is the movie's intention, but it spends time showing this side of society to make us understand how hate breeds itself, and how it becomes a way of life and an accepted standard. As one character states, ""When we were seven years old, they told us that segregation was in the bible. You hear that long enough, you start to believe it"".Mississippi Burning won a (well-deserved) Oscar for cinematography, but sat and watched Rain Main take home the majors. It was clearly the best film of 1988 and stands as one of the great works of American cinema of the 80's. Hackman and Dafoe are at their best, and Frances McDormand delivers a beautifully understated, powerful performance as the deputy's wife - a woman at war with her sense of right and wrong, struggling with fear and loyalty. Her character is the centerpiece of the movie.This is not a preachy or melodramatic movie. You won't get a lecture on why racism is wrong. You will get an rich, engaging crime drama depicting a pivotal time in American History, and you will never forget it.**** out of ****.",,Anonymous,History
Where does hatred come from?,"Where?  Where does racism come from?  How can one race feel superior to another?  Are we born with it?  No.  Do we become it on our own?  Maybe?  Or is it perhaps that we are taught it?  There is a small scene in Mississippi Burning that is just as powerful as any Gene Hackman speech or any violent montage to gospel music that is in this film.  There is a rally at a park with the head of the KKK ( without his hood ) telling thousands of people that have gathered that he loves being white.  He loves the fact that Mississippi is segregated.  And in the crowd the camera pans across and shows three year old kids smiling and cheering as gleefully and loudly as their parent's are.  It is haunting.This film is bit like JFK in a way.  It is not an absolute recreation of the events that took place in 1964, but it is a film that tells a true story and then adds a bit of fiction to make it more interesting for a mass audience. For example, the case was not cracked by Mr. Anderson fooling around with Pell's wife.  But that is besides the point, the point being that this film is mesmerizing.  Everything from its direction, cinematography, acting, writing and music, it is the best film of 1988.  And having Rain Man take most of the major awards is really quite sad.  Because Mississippi Burning is much more ambitious, important and well done.  Rain Man is a very good film and I will even go as far as to say that Hoffman is the only one that deserved to win best actor just as much as Hackman did.  But 1988 was a bad year for the rest of the Oscars.  Anyway...I have been edgy before.  Boyz and the Hood did that to me, but this film makes me angry.  It makes me want to jump back into 1964 and try to do something to stop this.  The film is that strong at showing us how terrible and pointless racism is.  And in order to make this film work, there has to be strong elements in all areas.  But for me, what really made me feel the things that I did is the actors that played their roles.Hackman is brilliant.  He gives the performance of a lifetime and it is his anger that gives him his edge.  He sees things differently than Mr. Ward does and that sometimes makes them bump heads with each other.  But they ultimately have the same goal in mind.  Just different ways of achieving that goal.  Dafoe is great as well, but it is the supporting cast that really makes this film.  From Dourif to R. Lee Ermey to Stephen Tobolwolski, these characters are richly portrayed by the actors that play them.  There is however one actor in particular that I wanted to touch on and that is Michael Rooker.  He plays Frank, the nastiest, meanest, no conscience, negro hating person that I think I have ever seen on film.  I don't know where his anger comes from, but he is the kind of character that you can imagine had a violent father that drank too much and always told stories about how bad the black man was.  When Rooker is on screen you listen.  You pay attention to what he is saying and doing.  And my hatred of him was one of my favourite parts of the film.Mississippi Burning shows us how strange people are when it comes to racism. The characters in this film don't know why they hate the way they do, they just know that they do.  And they are powerless to stop themselves.  What happened to the three civil rights workers was a disgrace and a tragedy. But not just because three boys were murdered, but because no one knows why they were murdered,besides racism that is.  Why did they have to die? Because they were a different colour of skin?  Because they were Jewish?  It really doesn't make any sense.Mississippi Burning is one of the best films I have ever seen.  It is important and it is entertaining.  If you haven't seen it, do so just for the scene with Mr. Anderson and Deputy Pell at the barber shop.  That is worth the price of the rental alone.  But for a really important film that has something to say, this is one of the best.",10.0,Anonymous,History
"Well executed,gripping story.","This film is a good,though not flawless representative of the turbulent 1960's south.The character representation is good,though taken to a bit of an extreme in places.Gene Hackman gives another knockout performance here,as he does always as does Willem Dafoe.The cast is great,though Gailard Sartain was a surprising choice as Sheriff Stuckey, given his penchant for appearing in the worst of films.It is based on a true story,and as we all know,true stories are never presented to perfection.It is,however,presented as well as it can be.This is a very gripping,edge of your seat film,and very well done.",8.0,Anonymous,History
Just watched again after nearly 30 years,What a great film. Hackman and dafoe amazing. Brilliant and moving story. Hasn't aged for me,10.0,Anonymous,History
1964 - The year America was at war with itself!,"1964 - The year America was at war with itself! Thats a pretty good tag-line. The promotion for this film seemed to pitch it as a thriller or a buddy movie. It is neither. This is a very mature investigation of a racist Mississippi town where the brutal murder of three civil rights activists took place in 1964. The film is inspired by real-life events.Dafoe and Hackman play the two FBI agents sent to investigate. Their differing styles of pursuing the case and Dafoe's belated admiration for Hackman's ""method's"" is an interesting layer of flesh added to the structure of the film.You will see some really nasty racist characters played by familiar faces like Brad Dourif, Lee Ermey and an especially violent Michael Rooker. All are excellent. Frances McDormand really steals the movie as the wife of racist Dourif.This film is far more intelligent than some of the Stanley Kramer movies of the 60's which dealt with racism. It does not shy away from showing the seriousness (and sickness) of the racial mindset without being excessively preachy. It is in fact very watchable - largely due to a colorful and humorous Hackman whose character was himself a Mississippi small-town Sheriff at one time and understands the pitfalls of the Hoover boys going in all guns blazing.Highly recommended!",10.0,Anonymous,History
Great acting and directing ...but a severely compromised script.,"THE FILM: The third of Parker's 80's heyday films following Birdy and Angel Heart,Mississippi Burning is an acting masterclass.From Hackman and Defoe in the leads to all the supporting cast. As per usual it looks great and has some strong images. For all this it gets 7 out 10.THE STORY: Is based on the real events of the murder of 3 civil rights activists in 1964 Mississippi and the subsequent FBI investigation into their deaths. The problem is not with the ongoing story of how the Fed's crack the case.This is fiction based on fact and as a police story it works fine.THE COMPROMISE: 1, the FBI. J.Edger Hoover in 1964 was possibly the most powerful man in the country, with a file on everyone of importance or power.The FBI was his private fiefdom. Mr.Hoover believed Martin Luther King was a Communist and had no sympathy for the Civil Rights Movement.This is mentioned in one small line of script.The Bureau would have to go after murderers but was certainly on no crusade. Mr.Hoover detested the Kennedys and only kept his job because he had enough info to destroy them.So how the Defoe character, as a Kennedy man , got beyond a filing job is hard to say. Mr.Hoover used Hollywood to create the myth of the G-man ,this myth is still alive and kicking in this film.The Gene Hackman character had been a Mississippi sheriff and obviously part of a Bureau dirty tricks squad and we are expected to believe he has a bleeding heart under his badge. What would have made it interesting if his character was more truthful.The FBI was an all white agency and it certainly was not politically correct.Mr Hoover's views were no secret so rascism would certainly not effect anybody'career.Again this is hinted at in his speech about his father. 2,the KKK, It seems the whole white community in the South is a member which oversimplifies the situation a lot. Also, it does not show the main cause of the hatred was the Southern establishment,the wealthy landowners who encouraged the politicians,the police and judiciary to preach segregation as a classic measure of divide and rule of the poor- whites and African-Americans. It also ignores the fact that segregation had been twisted into the very fabric of the Southern states post- Confederacy identity. 3,the African-Americans, The docile passivity,gospel singing over ashes of churches and the lack of anger is patronising in the extreme.The Civil rights movement was born in South and the churches were its most vocal advocates.Maybe if this film had been made in the 70's rather than the 80's these major background issues would not have been ignored.",7.0,Anonymous,History
It helps to be wise in the ways and mores of Dixie,"It's now a well documented fact that FBI director J. Edgar Hoover was convinced that the Civil Rights movement was somehow being directed from Moscow as part of the Communist conspiracy. As if anyone's struggle for equality needed outside direction. Hoover's bugging of Martin Luther King is legendary both for its lack of useful information to prove that thesis and for the titillation that King's indiscretions provided for certain people in power courtesy of J. Edgar.But when the murders of those two outside civil rights workers from New York City Michael Schwerner and Andrew Goodman happened the nation was shocked. First it was a missing persons case, then a homicide when the bodies were discovered. Public opinion forced the FBI and its director to take this seriously. And I have to say that when they did, the job was done.The names of the civil rights workers were not mentioned nor was the name of the young black kid who here was simply in the wrong place at the wrong time. In real life James Morton was a voter registrar working with Goodman and Schwerner. That gave some dramatic license to the producers of Mississippi Burning to spin their own version of events. Given the redneck wall of silence that federal investigators had to deal with I'm not sure the spinning was too far from the truth.Willem Dafoe's portrayal of a button down FBI agent of the Hoover era rings real true. Hoover's own standards regarding appearance and behavior of his agents somewhat hampered law enforcement in certain fields. He had other foibles that have come down to us since his death in 1972, some real, some speculative. Dafoe just isn't getting the job done.Which brings us to Gene Hackman who is a former Mississippi sheriff and wise in the ways and mores of Dixie. When Dafoe gives him a free hand Hackman gets results even though like in real life these Ku Klux Klansmen could only be tried in federal court as no Mississippi state jury would have convicted these creatures. Hackman got a well deserved Oscar nomination for his performance. And it's a good thing that the ACLU wasn't looking to hard at Hackman's methods. It was like what Sean Connery taught Kevin Costner about bringing down Al Capone in The Untouchables. It probably did take the FBI bending Hoover's precious rules to get justice in real life.Frances McDormand plays a truly sad role as the wife of one of the sheriff's deputies who was in on the killing. She's a caring and compassionate woman and indiscreet about her husband's activities. She pays for that. It is restrained, understated, but very powerful performance that netted her a Best Supporting Actress nomination.Mississippi Burning won for Best Cinematography and got a number of other nominations including Best Picture. Sad to say it was up against Rain Man that year and I'd hate to split the difference between what Hackman and what Dustin Hoffman did in his classic.It's ironic that I saw this film and between seeing it and writing about it I attended one of many marriage equality rallies throughout the nation as the Supreme Court hears arguments about same sex marriage. The same people who could not comprehend the mixing of races are in the forefront of a fight against marriage equality because their minds can't comprehend that either. A seismic cultural shift against racial segregation took place just as a seismic cultural shift is occurring now toward the acceptance of the LGBT lives and lifestyles. It's been a privilege to live in these interesting times.Mississippi Burning with a bit of literary license remains a fine dramatic film and should be required viewing for those who want to study those times and get an idea what the civil rights struggle was about. Books will not give you as good an idea as Mississippi Burning will.",9.0,Anonymous,History
