title,content,rating,username,genres
One of the best Disney movies in recent years.,The movie is still one of the best modern Disney movies. Its a real pleasure to watch with the kids. My daughter especially enjoys the Polynesian style and the catchy songs..even when i sing then out of tune. Worth a watch and a revisit from time to time.,8.0,Anonymous,Animation
"Beautiful in every sense, Moana will soften even the hardest of hearts","Moana is a return to the classic Disney formula, the clichés and characters ripped from a number of other animated films. However, the pure beauty and skill of the production rises the old story into new heights.Following from the success of Zootropolis, Moana follows a more traditional narrative we know and love; the princess who wishes for something more and is whisked on a supernatural adventure. We know this story so well yet Moana seems fresh and thrilling as if the plot was innovative. Perhaps this is due to the Polynesian setting or the morally ambiguous Maui, played perfectly by Dwayne Johnson, but most likely it is it the simple magic of Disney – the wonder for both children and adults has reached its peak with the perfection of the classic formula. For once, the clichés make the film more enjoyable. The quality of the animation helps too: it's clear they have reached the pinnacle of blending realistic textures with stylised designs, creating an aesthetic beauty that few other companies can match – Disney have mastered water to the point it looks better animated than in real life! Even the music has been perfected here, the annoying catchiness of Frozen's tunes replaced by memorable but effective songs that fit the culture and setting of our adventure. A childlike warmth was awakened in me and many other adult members of the audience as the film brought the emotional highs of the Disney renaissance without the modern subversion of the classic tropes. While Moana sometimes threatens this with pop culture references, the film thankfully keeps to mostly traditional values and morals; a step above many children's animated films released today.Moana is good, old fashioned Disney magic; the traditional narrative and morals updated with stellar animation and an awareness that's effective but never overpowering enough to threaten the integrity of the Disney formula.SWEETVisit https://sweetorsaltedmoviereviews.com/ for more.",9.0,Anonymous,Animation
what a delight!,"Wow, what a great great movie! The visuals in this movie are breathtaking!! They are so gorgeous! But, besides the visuals there is such a heart and imagination and creativity to this movie. Moana is such a likable, smart, and relatable person. the voice work for Moana is so sweet and so good. The chemistry between Moana and Maui is so great and so natural. The songs in this movie are so charming, catchy and fun! But, How Far I'll Go is such an emotional song and it has such heart...I dare say I like it a little more than Let It Go! The way Moana sings it and you can feel it!! Wow, I just looved this movie and it is great for kids and adults. I will always love it and I wanna see it again!",8.0,Anonymous,Animation
7.6??,"Why this movie has 7.6? Y'all crazy, this is a great movie, with amazing music. Yes is not perfect portrayal of polynesian culture and that's usually never the point with Disney movies.",10.0,Anonymous,Animation
"Visually beautiful, but problems with plot and characterization cause this movie to stumble.","I have been largely unimpressed with Disney's recent animated movies, and many of my criticisms with them hold true with Moana. Looking back at Wreck-It Ralph, Zootopia, and Frozen, it seems to me that Disney is more interested in building a visually beautiful world than building a great story. This is true with Moana. The animation is wonderful. The world is gorgeous. The story, however, is rather dull and shallow.The world is by design fairly sparse. There aren't a lot of characters in this movie. So to make up for that, the story or the characters need to be particularly compelling. Unfortunately, they aren't.Disney breaks no new ground with Moana's story. That isn't new for Disney, and to be fair, it isn't necessarily a bad thing. Many good movies are just well-done re-imaginings of classic stories. But Moana isn't even that. At every step of the way, I couldn't shake a feeling that I'd seen it all before. The story never gripped me nor did it leave me feeling fulfilled. Thus, the film just feels empty.If either Moana or Maui were engaging characters, this movie could have been good. Despite a good performance from Auli'i Cravalho, Moana had a very small character arc. She was not that different a person at the end of the film than she was at the beginning. For much of the film, she had very little agency of her own. The plot seemed to carry her along, rather than she driving the plot.Maui did everything he could to cause the plot to stall. This could have been great, as his antagonistic attempts to stop the main character could have worked as the central conflict. But since Moana is rarely actually trying to move the plot forward, the conflict just seems to be her-vs-him, which is mildly interesting at best.It's a shame. Moana could have been such a good movie. But it suffers from the same failings as most recent Disney animated ventures: wonderfully crafted world without a story worthy of that world.",6.0,Anonymous,Animation
Just the best!!!,"I love everything about this movie. The colors, the setting and the characters, all good to my eyes!",10.0,Anonymous,Animation
THE BEST DISNEY MOVIE EVER,"This is yet the best disney movie ever made, the animation, screenplay,sound and strory line is outsanding,kids love the movie, and even adults
overall-10/10",10.0,Anonymous,Animation
I know that chicken ... I voted for him .... TWICE!,"Instant classic.Easily ranks among the best from the Disney Studio, and a very worthy successor to Mulan 1998, a similar story equally well done.Oddly also seems to be best work ever from Dwayne Johnson, perhaps not the first name I would have associated with ""voice acting,"" but a star turn nonetheless.If you want to be picky -- which is the reviewer's job, after all -- the momentum slows a little at the top of the third act, but the ultimate themes of redemption, forgiveness and self-discovery at the finale are an absolute joy.As they used to say, ""for children of all ages.""((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",10.0,Anonymous,Animation
"When it comes to sheer entertainment value and visual beauty, 'Moana' knocks it out of the park","Despite being a lifelong Disney fan, that is not to say that everything they've done is great. They've done many classics, their best revolutionary, though they had hit and miss periods in the 80s and the 2000s.'Enchanted' and 'The Princess and the Frog' saw a return to form, while the likes of 'Tangled', 'Wreck It Ralph', 'Zootropolis' (aka 'Zootopia') and 'Frozen' were even better and there was a lot to like too about 'Big Hero 6'. Of the ""2nd Renaissance""/""Disney Revival"" period, 'Moana' is up there with the best of them and as one of Disney's best in about twenty years.Maybe the momentum dips ever so slightly going into the final act, Maui's change of heart is a touch rushed and for me there was no real point to the pig character that induced more unintentional awkwardness than amusement. It was however difficult to fault 'Moana', because of how many things it did right and how brilliantly the things it did right were executed. There have been criticisms regarding a formulaic story, HeiHei the chicken being irritating and the portrayal of Maui being stereotypical, but these were criticisms that didn't bother me at all.Firstly, the animation is phenomenal. Disney's best-looking film in a long time and one of their best-ever looking films, not just this but perhaps the most visually exquisite animated film this year in a year that also saw 'Your Name', 'Kubo' and 'Zootropolis' and even one of the year's best-looking films. The attention to detail is impossible to fault, whether it's the water, the trees or even Maui's tattoos, while the colours just pop out at you and everything is immaculately detailed with not an ounce of artificiality in the backgrounds, further boasting visually stunning sequences such as the climax, ""We Know the Way"", ""Shiny"" and with the coconut pirates.The soundtrack has garnered a huge amount of praise, and for good reason. Love the evocative orchestration and instrumentation, with its seamless blend of South Pacific Culture, pop and Broadway. Likewise with the songs, which are along with 'Frozen' the best and most consistent set of songs from a Disney film since 'The Hunchback of Notre Dame'. ""How Far I'll Go"" is an ""I want"" sort of song that's infectious, heartfelt and inspiring. ""You're Welcome"" sees Dwayne Johnson showing a quite wide range of emotions through a surprisingly good singing voice. ""Shiny"" is deliciously kooky and like something that David Bowie would be proud of, Jemaine Clement sings the heck out of it. ""We Know the Way"" sends chills up the spine.Scripting-wise, 'Moana' encompassed a wide emotional range within me. There is something for everybody, never too complicated for children and never too childish for adults, tonally it's focused throughout, and it's very witty and thought-provoking. Throughout there are many opportunities to laugh, cry and be inspired. The story is, while not exactly original, beautifully paced and enthralling.The whole Polynesian culture, faith and seafaring traditions included and explored generously but in a way that feels part of the story rather than just thrown in, and while there are elements that reminds one of Disney past and present this feels more affectionate than Disney just running out of ideas. The coconut pirates scene may seem like filler, but instead of being incidental and dull filler it was entertaining and visually dazzling, while the musical numbers bring the storytelling forward and say much about the characters' motivations and the climax is hair-raising.Moana is has now joined the list as one of my favourite female Disney characters, while Maui is a fun, compelling character and the chemistry between the two being a large part of the film's humour and heart. Personally found myself entertained by HeiHei and that his existence and role in the story were justified. If anybody does find him dumb or annoying, this is a rare of those not being bad things for a character clearly intended to be that way from reading up about the film. The voice acting is top notch, with Auli'i Cravalho making a startling debut (voice and singing, goodness she has pipes). Dwayne Johnson, on paper an unlikely and eyebrow-inducing choice, is also splendid, as an actor he's grown a lot, while Alan Tudyk is amusingly zesty and Jemaine Clement bringing gleefully kooky menace.In summary, knocks it out of the park in visual beauty and sheer entertainment value, Disney does it again with their latest classic 'Moana'. 9/10 Bethany Cox",9.0,Anonymous,Animation
Moana,"From the opening lyrics to the final shot, Moana was a fun glimpse into Polynesian life. Reminds me of Spirit: Stallion of the Cimarron with its depiction of tribal peoples, people who depend on the land and environment to live. As one of the several catchy songs say, the island gives them everything they need. No need to go beyond the reef.I'm glad that Moana and Zootopia, Disney's two most recent feature films, humorously refer to the archetypal Disney traits that appear in film after film -- i.e. an animal sidekick, the heroine bursting into song, following your dreams. Even if they do year after year, it never gets old. (... Well, maybe a little bit. I'm actually jaded by the happy ending trope in practically every work of film, literature, etc. out there. But that's beside the point.) Even if you can predict the ending of Moana, it's not quite what you expected. Disney has recently been changing things up a bit and having creative endings. Frozen, for example. Even if they weren't slightly creative, the story still enacts the Disney magic -- the ability to inspire, motivate, uplift, and ultimately enlighten further on mankind's communal desire to go beyond the norm. You don't have to do something amazing to make a name for yourself. It's not the hook that defines you, it's what you do that defines you and makes you who you are. Just don't follow hard tradition all the time. If someone says you can't achieve your dreams, he/she is most likely right. HOWEVER. That's only true if you don't give it your all. Those right now who are living their dreams gave it their all. If it's something you really want, after all, then naturally you'll give it the necessary effort and force of will. It won't be easy; life wasn't meant to be easy.It's not as amazing as Zootopia, but Moana is still a genuinely good Disney movie. It has a superb single, a nice accompanying soundtrack, great characters, sublime animation with crystal- clear attention to detail, and wonderful themes and messages. I admit, I was expecting too much from Moana after seeing Zootopia, which is probably why I give Moana a 9. Zootopia hits the 10. If you haven't seen either one, I recommend seeing Moana first.",9.0,Anonymous,Animation
