title,content,rating,username,genres
Nothing To Criticize Here - Very Solid Animated Film,"This is a very entertaining animated film. I've seen it twice and enjoyed even more the second time. Billy Crystal said he enjoyed making this film as much as any film he's ever done, so that's a good testimony that you'll get some laughs and enjoy this movie as an adult, too.Kids will love it, I am sure. The ""monsters"" in here are funny-looking and almost lovable, nothing that would scare your kids (or you). Crystal has a bunch of funny lines but overall I found this to be as much if not more of a human interest story than a comedy.There is a lot of sentimentality to it, even overdone a bit at the end, but that's okay. There is absolutely nothing offensive in here, either. The colors look spectacular, too.",9.0,Anonymous,"Adventure, Animation, Comedy"
The animation even holds up at times.,"I was recently gifted a ""100 movie advent calendar"" for Christmas. When you are ready to watch a movie you scratch one of the boxes off and it tells you what to watch. The first draw was Monsters, Inc. I haven't seen this classic for over 10 years, but my wife was pulling quotes out verbatim. The opening 10 minutes are executed to perfection. The characters are introduced nicely, the plot and obstacle to overcome laid out, the world built, and the comedic timing perfect. The compilation of Mike training Sully with scare exercises had me rolling. The movie does lose steam after this first 10 minutes but it certainly never sputters out. Monsters, Inc. is a classic for a reason, and is a must see.",9.0,Anonymous,"Adventure, Animation, Comedy"
Monstrously clever and funny early Pixar CGI feature,"Sully and Mike (voiced by John Goodman and Billy Crystal) are employees at Monsters Inc., a scream-fueled plant that provides power to Monsteropolis. Screams are generated by 'scarers' (and Sully is the best), who enter children's bedrooms via the closet and are harvested by their partners (in Sully's case, his best friend Mike). Extreme care must be taken, as children are highly toxic to monsters, so when one is accidently transported to the factory, pandemonium ensues. The film is the fourth of Pixar's full length animated features and like most of the studio's work, is excellent. The story is fun with a clever 'twist' to the ending, the animators manage to inject a tremendous amount of character and personality into the CGI characters, and the choice of voice talent is perfect (I especially liked Steve Buscemi as the chameleonic villain Randall). CGI technology has advanced considerably since the film was released but the imagery still holds up and the vast 'closet door' storage facility is great. Typical of the studio, there are a lot of amusing details in the background that are worth watching for. Good, timeless fun for all ages.",9.0,Anonymous,"Adventure, Animation, Comedy"
"Adorable, funny, perfect voice casting for the lead roles","I thought Billy Crystal and John Goodman were great. I like them anyway, but I can't imagine anyone else in their roles. John Goodman comes across as a warm, fuzzy teddy bear type in so many of his roles, and this time he was actually drawn that way. Crystal and Goodman were great together, even when their characters showed signs of not getting along. And Boo sounded so natural, so childlike. There's no way an adult could have done her lines the way they were executed.And the writing was so intelligent, this movie was not just for kids. There were a lot of clever jokes that kids might not get. Still, the warm and fuzzy qualities of so many of the monsters make this a perfect choice for kids as well as adults, and I really don't get why ABC couldn't give this a TV-G rating. It may have been a little violent or scary at times, but never all that intense. Kids see worse on Saturday morning.",,Anonymous,"Adventure, Animation, Comedy"
Now here's a story children and adults can relate too.  Monsters in the closet.,"While monsters in the closet may seem to be a scary reality for some children, `Monsters, Inc.' makes it light hearted by showing them it's all in a night's work.  The characters are as charming as the cast that speaks for them.It's a learning experience children get to see how an industry works. Monsters, Inc. is an in-genius corporation that has scientifically learned how to channel children's screams into energy that is used for electrical power.  It has monster employees, an assembly line of doors (which give monsters access to children's bedrooms), a top-flight training program and some of the top Monsters in the scaring business.There's a colorful Metropolis, filled with houses, buildings, businesses, cars and everything that makes a city run smoothly along with a population of colorful creatures.  One of the colorful groups of creatures is the yellow swat team.  Their job is to protect the Metropolis of Monsters, Inc. from human contamination.But what happens when a human child mysteriously gets through the bedroom door and terrorizes the city with screams and boo's.  It's wondrous and funny.  In the mist of all this is industrial crime, brought on by greed. But, the story ends on a very happy note.John Goodman is the voice of `Sulley' a colorful large blue-green ape like monster who's the star Monsters, Inc. employee.  He's some type of monster, cut, cuddly, and he has a conscience that leads him to feelings of regret about scarring children.  He becomes attached to Boo (voice of Mary Gibbs) a cute, little big-eyed girl who is mysteriously brought to Monsters, Inc. and in his quest to return her home becomes very attached to her.Sulley's best friend is Mike (voice of Billy Crystal) who's a funny looking green ball with stick legs and one huge eye.  His comedy is seen through out the movie.  Mike is Sulley's driving force, acting as his agent.  Mike's job is to make sure Sulley remains the top Monsters, Inc. employee. But when it comes to laughter Mike proves he's on top.Mike's girl friend Celia (voice of Jennifer Tilley) is the stylish employee who has Mike's best interest at heart.  Her job is to keep him out of trouble.I give Monsters, Inc. a ten.  It is an animated movie that can be enjoyed by the whole family.  It makes for great family fun.",10.0,Anonymous,"Adventure, Animation, Comedy"
"Does For Monsters What ""Toy Story"" Did For Toys!","Monsters, Inc.We were all, at one time, scared of monsters under the bed. Shadows of clothes in the closet. Weird sounds outside in the trees. I remember thinking there were all kinds of monsters in my room - not as much under my bed as in the closet. And once again, Pixar, who brought us ""Toy Story"" 1 & 2, plays on both adults' memories and children's dreams, making it equally enjoyable for both children and adults.John Goodman voices James P. Sullivan, known as ""Sulley"" to friends. He is a big, blue, hairy monster with horns on his head and hands the size of a watermelon. Billy Crystal is Mike Wazowski, his wisecracking, one-eyed best friend. Both of these monsters live in Monstropolis, a world where monsters roam freely. Their city is powered by a rare source of power - children's screams. That is where Monsters, Incorporated comes in. At Monsters, Inc., monsters like Sulley and Mike open portals into children's rooms - through closet doors - and scare the children, capturing their scream in a little yellow bottle. Sulley is the top-scarer, bringing in the most scares. But Randall (the always enjoyable - even when animated - Steve Buscemi), a wormy, multiple-armed lizard-monster with the ability to change appearances to its surroundings, is jealous of Sulley, and will attempt anything to get more scares...even if it means taking a child from the real world and bringing it into Monstropolis. But after the child escapes, Sulley and Mike reluctantly look after it, all the while trying to get it back to the real world before Mr. Waternoose (the late James Coburn) and others find out about the incident...""Monsters, Inc."" does for monsters what ""Toy Story"" did for toys. Pixar once again not only expands our mind, but our very worlds. I respect their company and commitment values very much, as you can read in my ""Toy Story"" review. They stick to the values that made Disney films so family-friendly back in the fifties and sixties: Respect for the audience, respect for quality, and respect for the audience's INTELLIGENCE, something Disney, who has recently coughed up a bunch of lousy, thoughtless sequels, has forgotten. Now, I know that LEGALLY Disney is co-creator of ""Toy Story"" and ""Monsters, Inc.,"" but they really are not. They just give Pixar the money and get their name branded on the front box of the film. And even then, I have heard multiple claims that Disney is very mean-spirited towards Pixar (read into sequel trouble for ""Toy Story 3"") and gives them the bare minimum.But that is straying off the subject. ""Monsters, Inc."" is one of the most enjoyable animated films I have ever had the pleasure of viewing. I didn't enjoy it as much the first time, but I then bought it, and have since watched it many times. It is an instant classic. I will be watching it years from now, when I am old and frail and in a rocking chair. It ranks right up there with ""Toy Story"" 1 & 2, and all the OLDER Disney films from the 50's-70's. It has all the elements of a sweet, charming, emotional and pleasurably good-natured animated film. And, more coudos to Pixar: Thank you for not packing it full of the language and inappropriate content that Disney shoves into the dark recesses of their films nowadays.Not only has Pixar brought back the ""Family Film"" genre to what it should be, but it also redefines it. Pixar's animated films are some of the most thoughtful, imaginative and enjoyable animated films ever - not to mention 100 % family safe. Thank you, Pixar, for getting back on track.5/5 stars",10.0,Anonymous,"Adventure, Animation, Comedy"
Adorable movie with top class entertainment.,"The best way to describe this movie in one word is; fun! ""Monsters, Inc."" is a movie you can easily fall in love with. It has some great fun character, some awesome moments and some well placed comical moments. ""Monsters, Inc."" is entertainment at its bests.The voice cast is amazing. John Goodman and Billy Crystal form a great leading duo. Steve Buscemi is a great villain and James Coburn has a great voice that fits his character perfectly. John Ratzenberger as always is very entertaining this time in a role as banished Yeti.The story itself is pretty simple but thats what makes it easy to follow and so much fun to watch. The movie not only knows how to entertaining but also knows how and when to emote. The combination of fun and emotional things is perfectly balanced and placed within the movie.There is some great dialog but the true power of ""Monsters, Inc."" are the wonderful characters. Not is there only a wild variety of strange and weird characters but also some characters that are good for some serious laughs and Boo is simply adorable and a pretty fair representation of a kid in real life. Well done Pixar!Pure entertainment for the entire family!10/10http://bobafett1138.blogspot.com/",10.0,Anonymous,"Adventure, Animation, Comedy"
"touching, emotional, original and hilarious masterpiece","I only watched it on DVD, but I wish I was at the theater, when Monsters, Inc. was released. Anyway, I was blown away. Sometimes I was rolling on the ground while laughing, sometimes I couldn't hold back my tears. Simply amazing, marvellous filmmaking.The animation is picture-perfect, the dialogue is brilliant, the story is truly original. Pixar's finest, I think, it's way better than Finding Nemo. A cinematic masterpiece, which is full of emotions and laughter. If you haven't seen it yet, then GO, RENT IT! You won't be disappointed, I guarantee it.Boo is the cutest animation movie character EVER.An obvious 10/10",10.0,Anonymous,"Adventure, Animation, Comedy"
"Light, enjoyable fare that proves animation is still on top...","... when it comes to producing well-rounded, realised and consistently entertaining movies.  Is it just me or have there been no REALLY awful animated films from the stables of the top studios like Pixar and Dreamworks, etc?  The movie industry as a whole should perhaps sit up and take notice of the craft that goes into these movies.  Both 'suits' and audiences are sure to benefit if that ever happens.  Long may the tradition of quality animated movies be, I say!I actually bought a ticket for this last night after finding to my dismay that another premiere, ""From Hell"", was already sold out by the time I arrived.  These are certainly two distinctly different films in theme!  I was slightly grouchy, because, coupled with that minor disappointment, I'd had an argument with a friend on the way over to the theatre, and was now proceeding solo.  I wouldn't say that ""Monsters Inc"" made me glad I missed ""From Hell"", but I still got a solidly entertaining film for my money.  I just hope I don't miss ""Ocean's 11"" next week...For every plus-point to the movie I can also think of a criticism, but on the whole the good points JUST outweigh the bad.  The setup may be a little too complicated for younger audiences and the supporting cast of voices is wasted.  There was definitely not enough Steve Buscemi, whose bad guy just seemed like an afterthought to all the Keystone Cops esque capers of trying to get ""Boo"" out of Monstropolis.  The script is pitched at a much younger level than ""Toy Story"" was, and so as a result adults may be bowled over by the animation, but slightly starved in the belly-laughs department.  That said, there are still a couple of moments guaranteed to have older patrons guffawing heartily, just not enough for my liking.  Even without laughter, the story is still diverting and inventive enough to fix your attention satisfactorily.  The movie really comes into its own when the kid is introduced, as thereafter the action rarely pauses for breath.Good as the voice talents of Goodman and Crystal are, it is undoubtedly youngster Mary Gibbs who inadvertently steals the show.  Her cute gurgles and shrieks are enough to put a smile on most people's faces and warm their hearts.  The job the team did on collecting all her voice samples for the finished movie is nothing short of amazing; indeed, just like the animation achievements were as well.  Goodman excels in his voice acting, making ""Sulley"" a truly memorable character.The animation is wonderful, and at times will make you unable to do anything else but gawp.  Techniques in this arena seem to be moving at lightspeed, and in just a few years will make the graphics seen in ""Toy Story"" seem unremarkable.  Just for this factor alone, ""Monsters Inc."" deserves to be seen, but the likeable (if not always best used) cast and the imaginative plot add an extra dimension that make it worth your time. Nowhere near a ""Toy Story"" beater for sheer polish and appeal to all ages, but a commendable effort nonetheless.  Well done!Altogether now... ""Put-that-thing-back-where-it-came-from-or-so-help-me..."" !",7.0,Anonymous,"Adventure, Animation, Comedy"
"""We scare because we care""","Monsters generate their city's power by scaring children, but they are terribly afraid themselves of being contaminated by children, so when one enters Monstropolis, top scarer Sulley finds his world disrupted.Monster's Inc explores childhood fear, the fear of looking under your bed or looking at your open closet thinking a monster would pop out. Pixar of course wouldn't make it fearful, but brought lightheartedness to it and made a highly imaginative tale of a fictional world where monsters scare children to power their city. This film is illustrated with creative monsters and styled with classy/jazzy music. The feeling while watching this is amazing and the emotions you feel for the monsters is just magical. Pixar has once again OUTDONE their-selves with every project they have thought of. Monster's Inc is definitely one of the top Pixar movies and also one of the most creative. If you can outlook the childish themes and look deeper into the movie's heart and soul, you will definitely be immersed in Pixar's movie-making magic. Most people would complain about the animation because animated movies have this thing when where one sees one, it's automatically horrible and childish. If one is made by Pixar, I highly recommend you sit down and see what they can do to animations; you will be amazed. 10/10.",10.0,Anonymous,"Adventure, Animation, Comedy"
