title,content,rating,username,genres
An ambitious film which for the most part delivers spectacularly,"Saw this just now in a small indie cinema in Heidelberg, Germany and I have to say, it was a romp. In my humble opinion this film manages to be both Wes Anderson's funniest picture so far and his most melancholic. The utter uncompromising stylishness of his other work is also present here, perhaps even heightened, but in contrast to The Life Aquatic (and to a certain degree The Darjeeling Limited), the emphasis here is firmly on plot. The brave and often odd visuals never overwhelm the story and the audience never feels like they are not quite in on the joke, like in The Life Aquatic. The tone does tend to become a bit erratic, especially in the last third of the film when Anderson seems to want to pack so much into every frame that the film becomes a bit cartoonish at times (hence the not-perfect score from me). All in all, though, the plot is very balanced and the pacing is great. The two young leads are superb and the brave move by Anderson to place unknown actors front and centre pays off beautifully. The rest of the cast is on paper even more star-studded than The Royal Tenenbaums and yet Anderson never steers into unnecessary character development just to accommodate his stars. A touch here and a touch there are more than enough to paint a picture of a group of people who are eerily similar in their dissatisfaction with their lives and yet react quite differently to the two young lovers' dash (literally) for happiness. In conclusion, a must-see for Anderson fans and highly recommended for everyone else.",9.0,Anonymous,Romance
Possibly Anderson's best film in terms of style.,"The year is 1965 and a remote North Eastern coastal community is plunged into confusion when it discovers that two kids have run away. Sam, a discontented Khaki Scout, and Suzy, a put-upon older sister and forgotten daughter, abscond into the forest to escape their dissatisfying existences. The responsible adults – Sam's Scout Master Ward (Edward Norton) and Suzy's parents (Bill Murray and Frances McDormand) – and the entire town set out on a frenzied search, which gets wild when the largest storm in recorded history touches down and puts everyone's life into question. What ensues is a battle between youth and age, hope and disillusionment, faith and cynicism.In terms of story and character, Wes Anderson's previous films, especially The Royal Tenenbaums and The Darjeeling Limited, are superior. Even in the most compelling relationship in the film between Captain Sharp (Bruce Willis) and Sam doesn't embody Anderson's ability to take his characters into deep emotional places of hurt and healing without melodrama. However, the newest addition to the Anderson canon is a cinematic experience.Moonrise Kingdom's story, co-written with Roman Coppola, takes a definite backseat to style, as Anderson saturates the entire film with a ""Norman Rockwell-type of Americana"". Stylistically, it may be Anderson's most masterful work, as the costumes, sets, and settings transport the viewer to an alternate universe, a place of wonder and adventure. The soundtrack is especially effective, as it recalls a time when things were simpler: Hank Williams was on the radio, and children listened to records instead of playing video games. However, Anderson isn't content with reminiscing about the year 1965. He takes this nostalgia and twists it, infusing the film with a twinge of sadness through the reality of life's disappointments. He doesn't reject the Rockwellian view of America, but argues that it doesn't tell the whole story.Moonrise Kingdom is that place of beauty and passion that we all have been in at least once in our lives – the one place on earth where we believe that anything is possible. It has since been lost, but it persists in our memories in moments of nostalgia.",8.0,Anonymous,Romance
Like watching Lord of the Flies while on acid...,"and I absolutely loved every minute. There's nothing better than when you see actors commit fully to absurdity, and there wasn't a misstep in the entire film, stellar cast and a great movie watching experience. My favorite, of Wes Anderson's films, and what a move picking the two lead child actors - their performances were brave and spot-on. I want to find this island, I want to liquidate everything I own and move there, I just wonder if a place like this still exists in the World? I bet it does. Quirky and humorous, this film doesn't disappoint (or at least I've only heard of 1 person so far not giving it a thumbs up), anyone who doesn't get this film I suspect had a very regimented childhood and didn't take any risks. Great soundtrack, two people near me in the theatre jumped up into the aisle to start dancing (I suspect they may have been there for a second viewing!), the entire audience enjoyed it. Really, Anderson's best film yet in my book, highly recommended.",9.0,Anonymous,Romance
"Moonrise Kingdom will leave you dreamy and smiling, with a hint of melancholy","Let's try to understand the miracle I have just witnessed. Director Wes Anderson is 12 years old, has just experienced his first love while at Summer camp, and immediately rushed to a camera to tell us, his pen pals, the story. A slightly embellished story which follows the perfect scenarios we would draw at night in our beds at this age. It has all the tiny details, the sense of adventure and the freshness of youth. How someone 43 years old in real life could do this movie is beyond me. The drawback of this miracle for the viewer is that such a jump back into the kind of idealized feelings you had in your early teens leaves you with quite some melancholy when you leave the cinema.It could be that some people do not connect to the movie and just see it as ""adorable"" or ""cute"" and nothing more. But I suppose most people will feel connected, notably because the movie has this straight-to-the-point attitude in both the technique and the story-telling; the story is read to you, not force-fed with dramatic music and whatnot. Just like one of the characters who reads bedtime stories to the others.You might complain about the lack of character development for some of the big names in this film (Norton, Willis, Murray - McDormand less so as she gets more detailed screen time than the others) but I suppose this is wanted: kids will see hints of the issues adults are facing, but can't understand them fully. And remember this is a movie shot by 12-year old Wes Anderson.",10.0,Anonymous,Romance
Anderson's finest yet?,"In the past, Anderson has whirled us from melancholy dreamscapes set deep below the Pacific to tales of inter-generation betrayals in the name of love, from doomed romances in Paris hotels to deliriously bizarre animal revolutions in the English countryside. But for all the retro-stylings his films so proudly wear, Moonrise Kingdom is Anderson's first period piece - a tender love story set in the sepia-soaked sixties of Anderson's youth that have worked their influence into every one of his movies. It is fitting that this film is his most childlike - not in any way any simpler than his other films (as anyone with an accurate memory of childhood will remember all it's complexities; the way each trivial thing became a nest of thorns), but an accurate and deeply heartfelt depiction of childhood. It is not aiming to be as crushingly dramatic as Life Aquatic or as deeply tragic as Hotel Chevalier, because that wouldn't be appropriate for the story it's trying to tell. Instead, while still bearing Anderson's still surprising streak of black humour (some acts of violence really catch you off-guard; then again, children are violent so hats off Wes), it is largely concerned with the dramas and tragedies of youth. Yes, it is less ambitious than say The Life Aquatic but it also has none of the flaws that that film does (and believe me, I am a massive Steve Zissou fan). Instead, it is perfectly executed, wonderfully acted poignant beauty, with fantastic performances across the board (especially from newcomers Gilman and Hayward). This, while not his most ambitious, is certainly Anderson's most perfect work so far. You owe it to yourself to see this movie.",10.0,Anonymous,Romance
"Innocent, beautiful and brilliant fun","Despite the dreadful title, Moonrise Kingdom is simply wonderful.Since his flying start with Bottle Rocket and the triumph of Rushmore, I felt that Wes Anderson had rather tottered off a true path. The Royal Tenenbaums was hit and miss, The Darjeeling Limited was too twee, and The Life Aquatic was simply AWFUL. I take against ANY film that wastes Bill Murray.Moonrise Kingdom doesn't repeat that error. Despite covering ground Anderson's already visited to an extent in Rushmore, MK looks at a teenage crush with fresh eyes, and surrounds it with a fantastic cast of oddballs and misfits. Unlike his films where the characters are irritatingly quirky for the sake of it, these oddballs seem organic to their strange island home. Star among them is Ed Norton as Scout Master Ward, who looks as if he's having the time of his life in shorts and woggles, in charge of a troop described as 'beige lunatics'.Bruce Willis, Frances McDormand and Bill Murray all play their parts but never feel as though they're elbowing for the spotlight, which keeps the mood kind, befitting the hearts of all involved in the search for runaway scout, Sam, and his pen-pal, Suzy.Visually, it's a feast of saturated colour and fabulous design, but - as with the best of Wes Anderson - the devil's always in the detail. The laughs come from minutely observed accessories (keep an eye on the scouts' badges!) and from throwaway truths. And the soundtrack is a great mix of wistful Western and classical pieces. Definitely buyable.Anderson flirts with surrealism, but never gets Burtonesque, controlling his story with a firmer hand and to better effect. His situations might be bizarre, but the people in them are always painfully, wonderfully human. It's also a rare film - one you could watch with your grandmother or your grandchildren, with only a couple of moments where young eyes would have to be covered, and no real violence or swearing.There is an overwhelming feeling of innocence and good will throughout.I loved it from the opening frames, and it only got better from there.",10.0,Anonymous,Romance
Might be my favourite Wes Anderson film,"The thing that I enjoy most about Wes Anderson films is that they each feel like a great adventure and in this sense I think Moonrise Kingdom is his best yet. It tells that tale of Sam, an orphan on scout camp, and Suzy, a misunderstood girl, as they run away together. At first I found the two actors playing the kids to be kind of limp but after a few minutes I warmed to them and I actually think they were both pretty good overall, particularly Jared Gilman who plays Sam and even more so knowing that it's the first acting he's ever done. The rest of the cast are all pursuing or helping them in some way and there a couple of sub-plots with the island's policeman (played by Bruce Willis) and the parents of Suzy (Bill Murray and Frances McDormand).I thought that the rest of the cast was great. In fairness I am a bit biased because I love Bill Murray, Edward Norton, Bruce Willis and Frances McDormand but even so I have to say that they were all really good, especially Edward Norton who plays the scout master, and Bill Murray. There are also a couple of minor roles for Jason Schwartzman, Harvey Keital and Tilda Swinton who were also a lot of fun. Everyone in the cast fits into their role really well which is obviously exactly what you want, but not only is that the case for the main roles but also for the less important ones, like the scout troupe (especially Sam's 'enemy'), Suzy's three brothers or the oddball narrator.Cinematography wise I didn't think this movie was particularly spectacular, especially in comparison to other Wes Anderson movies like 'The Life Aquatic' or 'The Royal Tenenbaums'. There were a couple of shots that were cool though, some really long zoom outs (which sounds clichéd but it worked) and the doll house type ones that I love and think are awesome.I wouldn't expect to wet your pants laughing at any moment in 'Moonrise Kingdom' but it is funny. There are a couple of laugh out loud moments and as a whole the jokes are pretty sharp and intelligently done. The reason I like the humour in this movie is that it's a part of the ambiance and feel of it, it won't make you crack up but it will make you have a smile on your face for pretty much the whole thing and leave you feeling strangely happy.That kind of ambiance is really why the movie is so good, and is possibly Wes Anderson's best movie. The whole story is this fantastic blend of reality and child-like dreaming and it's wonderful. At times I felt kind of nostalgic and sad that I'm not a kid anymore. On the other hand it feels like a tribute to those myths and dreams of being a child and it works so well. This is the kind of film that I feel I could watch over and over again, each time spotting something new but also feeling good and enjoying the overall purpose.Definitely go and see it!",9.0,Anonymous,Romance
Average Wes Anderson tableau,"The average Wes Anderson film - if you liked the other, you will like this one as well. In many ways, it reminded me of the Royal Tenenbaums, but at the same felt more genuine in its intentions and relatively toned down visually. Don't get me wrong, everything is as over-stylized and artificial as usual, but I guess the preteen coming-of-age adventure premise just made the pill easier to swallow?",6.0,Anonymous,Romance
"Sweet, beautiful, and funny","I loved this movie! One of Wes Anderson's best - up there with Rushmore and Fantastic Mr Fox. Top reasons to see this movie:The love story between the quirky dark characters was so sweet. The casting for the 2 lead kids was spot on! You can take kids to this movie. They won't get all of the subtle humor but you will. The music and the film setting. The quirkiness of the filming, scenes, and narrator. Everyone in short pants... classic! Bruce Willis is actually good in it. Beautifully shot. You leave the theater with a smile on your face and a tear in your eye. Best movie so far this year.Anyone who said they did't like it, doesn't get Wes Anderson. If you like his movies, you will love Moonrise Kingdom!",10.0,Anonymous,Romance
Great Cast Bring Innocent Tale to Life,"Moonrise Kingdom (2012)*** 1/2 (out of 4)Teenager love birds Sam (Jared Gilman) and Suzy (Kara Hayward) run away from their homes to find a better life together but soon a search party is out looking for them. Wes Anderson's latest picture is quite a gem because it's been a very long time since a film has captured the innocence and beauty of young love. Now this certainly isn't a love story but then again the film is so original that it really doesn't fit into any one genre. There's the love stuff but also plenty of great comedy and best of all are the terrific performances from the entire cast, many of which haven't done this good of work in years. Anderson and Roman Coppola's screenplay is so simple yet so beautiful and innocent that it's nearly impossible not to get caught up in this crazy world. The visual style of Anderson is certainly on full display as is the weird and surreal atmosphere that really makes you feel as if you're seeing some sci-fi movie because it just appears to be a different universe than anything you've seen or known. At just 84-minutes without the end credits, there's really no filler or scenes that don't belong. This is a very tight ship that tells its story, gets the characters developed and then moves on. Both Gilman and Hayward are terrific in the roles of the young lovers and it's easy to see that they've both got a great talent and Anderson exploits every bit of it. The comic touch by the two was very impressive and they fit Anderson's world perfectly. Frances McDormand and Bill Murray are both extremely funny as the girl's parents and especially Murray who can play weird like no one else. Edward Norton turns in his best work in years as the scout leader and we even get a strong bit by Tilda Swinton. Harvey Keitel pops up towards the end and it's always great seeing him. Bruce Willis is the one that really jumps off the screen. I remember PULP FICTION brought him back to life in regards to showing he could ""act"" and didn't have to always play Bruce Willis and this film proves the same. Willis is extremely good, funny and at times touching in his part and it was great to see him acting again. MOONRISE KINGDOM isn't going to be a film for those seeking brainless action but those who want something more are bound to be entertained.",,Anonymous,Romance
