title,content,rating,username,genres
"Energetic action flick, somewhat wonky near the end","Since going through most recent action movies is like chewing through cardboard, Mr. and Mrs. Smith is pleasantly energetic for an action flick. Mr. Smith and Mrs. Smith is good fun, and does a decent job of satisfying the occasional need for summer-movies.The effectiveness of the film lies in the exploration of what happens to a failing marriage when the couple are at their wits end ... and ... for the first time, come to realize that the other is a professional assassin ... and ... subsequently push the ceiling on what is termed 'spousal abuse' ... and ... of course, get to play with guns.The success of the film, however, lies in how Jolie and Pitt actually bother to exercise some of their acting talent. They look like they are having fun, and genuinely enjoy the other (surprise! surprise!). The chemistry is good, and the actors are super sexy, which is always a plus for any film.The movie fails, naturally, when the ending summarily degenerates into what is expected of action-fare, the shootouts, gun battles, and kisses. Enjoyable, nonetheless, even on its final wonky legs.(Note: it is also a shame that in a film with so much shooting that no one gets to shoot Mr. Vince Vaughn. My, is that guy a terrible actor who can't resist hiding himself.)",7.0,Anonymous,"Comedy, Crime"
Hmmm,"I find it quite hard to..i don't know..analyse this movie.On one hand this could be a masterpiece, with the swirling clever cinematography and the obvious chemistry between Angelina Jolie and Brad Pitt (as they hitched up in real life during the filming). But, on the other hand, this is a stupid film, just an action flick, trying to be emotional and meaningful but turned out trying to be a blockbuster.I hope you see what i mean. I have rated this film 7, because of the reasons above, as the clever cinematography mixed with some good fun comedy and watchable action can't be that harmless can it. Can it? See for yourself.",7.0,Anonymous,"Comedy, Crime"
So Much Better Than The Previews Would Have You Believe,"John Smith and Jane Smith has the perfect marriage. Well, not quite so perfect. And they've been keeping secrets from each other. They work for rival firms that do outsourcing work for the CIA. (Sadly, this would be better if viewers didn't know this for the first twenty minutes of the film, but the previews already gave it away.)Based on the preview, I thought this would be a Pitt-Jolie lovefest. I have enjoyed many of Pitt's films but not so many of Jolie's. And together, it was like a showcase of perfection for the American masses. Do I need to be reminded I'll never be handsome or rich? (Some will say movies help us escape this, and maybe it does, but still...)My concerns were unfounded. This movie is well-acted, well-directed and well-written. The story is layered and brilliant, as well as quite funny. The direction fits well. The acting is superb, some of the best from Brad Pitt yet. And the explosions and gunfire and things breaking and high-tech gadgets? Very nice - someone put a lot into this film and/or has some natural talent I hope we see more of in Hollywood.I don't know if this film is PG-13 or R. I heard it was PG-13 because a sex scene was cut. Well, let me say: you should have kept the scene and kept the R. With all the excessive violence (really over the top) and the cussing, a little smut isn't going to make much difference. I mean, as an action film, I expect a solid R rating (look at Bruce Willis and ""Die Hard"" or ""Hostage"").No real complaints about this movie. I really want to say something bad, but I cannot. I was entertained the whole time and found the film very persuasively believable. I don't know who wrote or directed this (I guess I could check, but I didn't) but they just scored points in my book. Unless it was Michael Bay, but I'm pretty sure he had nothing to do with this.",8.0,Anonymous,"Comedy, Crime"
Good,"It may be unfair to say, but its easily admitted that the most interesting ploy this film can rely on was the media storm surrounding ""THE affair"" that led to ""THE Hollywood couple to be"" Brangelina. As a matter of fact, the film is actually rather good and the playful yet genuine chemistry berween Pitt and Jolie excuses the ludicrous plot and reliance on marketing gimmicks. The film really isn't a serious one, but it is a sexy one.",,Anonymous,"Comedy, Crime"
Nice Surprise!,"I saw an advance screening of this movie tonight, and I must say it far exceeded my expectations! Of course, due to the stars involved I knew there'd be sex appeal. And due to the advertising I knew there'd be plenty of stuff ""gettin' blowed up real good."" But what I wasn't expecting was the tongue in cheek jokes, dark humor, and respectable plot twist! Brad Pitt and Angelina Jolie will only fuel rumors of their relationship with their performances - their chemistry on screen is scintillating, to say the least. The allure of each actor as an individual is undeniable, but when they're together, whether getting busy or getting pummeled, the screen fairly sizzles. It's a popcorn, Hollywood movie, of course, and you'll have to get past the fact that the two leads are the only two among many professional killers who seem to be decent shots! But the action is kickin, the acting well above par, the leads luminous, the plot is lots of fun, and the laughs are plenty. Enjoy! I sure did...",7.0,Anonymous,"Comedy, Crime"
Pretty Good Summer Blockbuster,"Brad Pitt and Angelina Jolie play husband and wife ""John and Jane Smith"", a seemingly ordinary couple living in the suburbs, who each have a secret that they keep from each other: they're assassins for competing organizations. Their marriage is put to the test when they're assigned to kill each other, adding even more excitement to their romance.Mr. and Mrs. Smith isn't the best film of the summer but if you're looking for some mindless fun then this movie should fit the bill. It offers enough explosions and romance to engage the viewer and the film hardly ever gets boring. The script is the only thing that keeps the movie back from truly succeeding. It is riddled with holes and some large ones as well. Of course, they didn't even occur to me until the movie had finished. This shows that the film is quite engaging if it can take your mind off the problems with the story. The screenplay was written by Simon Kinberg and he was behind Elektra and XXX 2. So, it's no surprise the script is weak since he probably only focuses on the action sequences and not the actual plot and character development.The acting is pretty good and the actors make up for the weak script. Angelina Jolie offers a very good performances and she looks amazing on screen. Her co-star also gives a good and funny performance. Together, Pitt and Jolie have more than enough chemistry to carry the movie and the film works so well because of them. Vince Vaughn is the highlight of the supporting cast and his performance is pretty funny. His role may not be very big but every time he appears on screen, he manages to keep the audience laughing. Adam Brody gives a terrible performance and he isn't funny at all. Luckily, his role is small so he doesn't hurt the film too much.Doug Liman does a decent job behind the camera but I was expecting a little more since he also directed The Bourne Identity. He does a nice job with the action sequences and the film has a very nice style to it. However, the movie still felt a little ordinary and I don't think he really took full advantage of this interesting premise. If you do give the film a shot, keep in mind that this is a summer blockbuster and not an Oscar quality movie. It entertains the eyes and it won't make you think. In the end, Mr. and Mrs. Smith is worth checking out in theaters. Rating 7.3/10",7.0,Anonymous,"Comedy, Crime"
Entertaining as Hell!,"This is a daaaamn fun movie! Heh. To all the critics, yes, there are a lot of explosions, gunfire, unrealistic battles, plenty of times where you think ""they MUST have been hit by a bullet by now..there is noo effin way..."", and over-dramatized violence, but there's plenty of good stuff too that should not be ignored.Probably the best part about this movie is the couple. I know it's been said before, but it's so true that I'm gonna repeat: Brad Pitt and Angelina Jolie have incredible chemistry. It's no wonder they're still together today. Even when the movie couple, John and Jane Smith, where in their ""off period"" of marriage, you could feel something between the two. They are an amazing screen couple, they work incredibly well together. Their dialogue is just right...when one says something to the other, it's smooth and real. And of course, Pitt and Jolie are both extremely attractive, so they're fun to watch. Haha.The plot is all right..nothing extraordinary. It's a typical action movie plot, simple enough to leave plenty of room for the battle shots and violence. Nothing special. The dialogue wasn't bad, it wasn't lame action movie words. No stupid puns or anything. There was really nice cinematography, some shots that really were stunning. Usually the emotional aspect of action movies is dense and easy, cliché and boring, but I liked it in this movie. You could tell that they really loved each other, yet at the same time were committed to their jobs. You could feel the conflict.I own this movie and I'm glad I do. It's a good time. I recommend it.",9.0,Anonymous,"Comedy, Crime"
The trick to this review -- it is a TIME CAPSULE not just a movie,"If you look at this film as merely another glitzy Hollywood spy thriller/spoof -- in the grand tradition of say OUR MAN FLINT or KINGSMAN -- then it is merely an ""8"". As in great writing, acting, direction, casting and generally a lot of fun.So far, so good.Here is the trick -- for viewers of the future, when we mere mortals have come and gone, but the IMDb lives on, this is better viewed as a time capsule.The two stars were, to under-state it -- at the peak of their fame and charisma. I recall from the time a survey which conclusively showed, for example, that Angelina was not merely the hottest woman in show business but possibly (these surveys tend to over-state) the hottest woman on the planet.(To be fair, they only surveyed living men. If the dead had also been allowed to vote, who knows, maybe Helen of Troy would have won?) And the Bradster was also at his peak.Once you understood the hidden and secret dynamic of the film, it becomes both iconic and classic, and will be entertaining viewers for a very very long time.(PS == watch Vince Vaughn before TRUE DETECTIVE, also of historical interest)",10.0,Anonymous,"Comedy, Crime"
The Smiths Have A Little Something For Everyone.,"Mr. & Mrs. Smith is a story of a husband and wife who are working as assassins, unbeknownst to each other, and not surprisingly, are in therapy to save their marriage. Ironically, they both believe their lives together are too boring.John Smith (Brad Pitt) meets Jane (Angelina Jolie) while both are in danger of being exposed in a foreign country, while working. They are both experienced assassins at the time and go with the flow, and eventually falling for each other. Neither tells the other what they actually do for a living.Needless to say, they find each other out and both agencies who they work for, give the order to kill the other within 48 hours. Thus, the hijinx ensue. Both are vying for control and to discover how much the other actually knows. Upon finding that they both know everything, a full on mini-war begins.This movie has a little bit of everything. The Smiths are not without their humorous sides, especially Brad Pitt. Also, there are a few good fight scenes, between The Smiths along with some others. There are a few nice weapons to be admired here, as well as some very nice eye candy (I am talking about Miss Jolie, but I hear the ladies are fond of Brad, also). Also, I would like to give an honorable mention to Vince Vaughn as Eddie. I feel his performance was funny, but too small for this movie.This movie is a fun little romp through the house with some nice action scenes. Recommended if you would like a somewhat toned down True Lies. 8/10",,Anonymous,"Comedy, Crime"
Skip it. You'll be happier and smarter for doing so.,"A wife (Angelina Jolie) and husband (Brad Pitt), both with secret identities as hit-men, are given contracts to kill each other. This movie has some genuine laughs, but just does not work. It is incredibly implausible and silly. While this is not normally a problem (I thrive on silly movies) the movie ultimately fails when it tries to up the drama factor. How can this be taken seriously? Two people, one named Jane Doe, the other John Smith, marry each other spontaneously while not being the least bit suspicious of each other's backgrounds? Even if I wasn't a trained assassin, I would be suspicious. Stu-pid. And it takes them 5-6 years to figure this out? Stu-pider. The acting is fine. Brad plays Brad (and he's done it well over the years) Angelina plays herself. There are a few funny moments supplied mostly by Vince Vaughn, and when Brad and Angeline are trying to conceal their secret identities and later when they try to kill each other (spousal abuse is funny!), but eventually it reclines back into every unmemorable action movie you've ever seen. The bullets become ignorable because there's no way the stars'll die (Even the Terminator was more destructible). You know how the plot ends. Bor-ing. This gets a C",6.0,Anonymous,"Comedy, Crime"
