title,content,rating,username,genres
"Disney comes through with yet another animated masterpiece, and this one goes by the name Mulan.","Mulan is a young girl in ancient China. When the Huns start attacking the country, the Emperor orders one member of every family to join the Chinese Army and defend the country. The one member must be a man, but in Mulan's family, the only male is her injured father. Not wanting to allow her father to die, Mulan dresses like a man, and escapes into the night to join the war. To protect her, the ancient elders of her family ask the great Stone Dragon to watch over her. Unfortunately, the great Stone Dragon is destroyed by the little tiny dragon Mushu (Eddie Murphy). So with Mushu and a small cricket by her side, Mulan heads off to help destroy the Huns.I think we can all guess what happens. Mulan, although a woman, manages to save the day. The plot line isn't really a surprise when you break it down. And the animation is, by now, expected to be great, and Mulan certainly lives up to the great Disney tradition. It's the story and the feeling you get that makes this movie so wonderful. Disney went through a lot to make sure it's depiction of ancient China was accurate. From the decorations on the walls, to the matchmakers, to the great honor in family, Disney manages to show what the country of China was like, and in many ways, still is today. Following the Disney tradition, there is a strong female character, this time taking lead. There are the over the top bad guys, and of course, the comic relief. Eddie Murphy was just down right hilarious in this movie. I wish they had showed more of him. The songs were sort of a change of pace, with Matthew Wilder and Jerry Goldsmith doing the honors, and not the venerable Alan Menken. The music was good, but the lyrics in some of the songs were weak.The reason I feel Mulan was better than recent Disney fare like Hercules and The Hunchback of Notre Dame is because it had a much more lively feel to it. Hercules was very dark, animation-wise. Everything was centered on the color blue, so it didn't feel alive. And The Hunchback of Notre Dame was a more adult story, and some of the scenes were very dark and broody. Mulan took a simple plot, put it in ancient China, and made it very colorful and fun to watch. It was light, and ""Disney"" enough for kids to enjoy, while still being adult enough for the parents to enjoy.Overall, I'd say Mulan is definitely one to watch. Disney animation has done it again.",8.0,Anonymous,Animation
"Thank you Disney, for making mulan so great!","Mulan is a well-known ancient folktale in Chinese history. It tells the story of mulan, who disguises herself as a man and goes to the war to protect the country in place of her aged father, and finally returns as a national hero/heroine. Although the story of mulan was evidently modified from its original, Disney did a fantastic job at retelling the story, and delivered it through the beautiful hand-drawn animation that has been lost to us for many years. As a Chinese myself, I know the mulan story like millions of Chinese people do. Some people (espcially Chinese people) may not like the Disney version of mulan simply because Disney didn't stay true to the original, but i feel somewhat differently about this. Not only did i have no problem with Disney's decision to make modifications to mulan's story, I actually kinda appreciate that they did. Cuz Disney's retelling of mulan turned out to be rather amazing, and even better than the original in my opinion. I mean, the original story is great, but it lacks fun and humor, which you can find in Disney's mulan. In the Disney version, Mulan is an outgoing, smart, and independent young woman who has difficulty fitting in the more traditional and reserved ancient Chinese society, where a woman's value is judged by marrying into a good family and being a good wife. So naturally this creates conflict and inner struggle for mulan, and thus brings out the musical number ""reflection"" that expresses mulan frustrations and desires. This song is so beautifully written and the lyrics have such meaningful morals and depth that it touches me every time i hear it, and I'm a guy! This song can certainly relate to a great many of young people, not only girls but also boys, cuz its central theme is all the same, that is to be your true self regardless the environment that you in. And now back to the movie, there's a lot to love about Disney's mulan: the story, the fun characters, the songs and music, the beautiful animation, etc. The story is smoothly-paced and very believable. You have no problem understanding why things happen the way they do and why mulan has taken certain actions. And I think Disney created the characters very successfully because they made them look like real Chinese people instead of the classic Disney characters that we used to see. And they made the backgrounds in the animation look like beautiful Chinese landscape paintings, which really amazed me! And the opening of the movie is probably one of the most brilliant among the Disney animation features. I was completely blown away when i first saw it in the theater. Although Disney didn't completely stay true to the original mulan, it stayed true to the spirit of the original story and the spirit of china in most part! And as Mulan being a Chinese story, i think Disney did its best to make it look like and feel like Chinese, and i really appreciate their effort. So thank you Disney, for making mulan so great!",8.0,Anonymous,Animation
Why Mulan sticks out as a great Disney film.,"I was impressed by this Disney film for so many reasons, too many to list here, but I will go on the record as saying that Mulan has got to be one of the best Disney female characters that ever saw production, in the midst of a colorful and artistic film, that will resonate in your memory.Mulan sticks out in my mind for this reason. For once, we have a strong female lead, or at the least, stronger than most of them. She isn't counted among the Disney ""princesses"" line-up. She doesn't want for herself, and she seeks to look deeper within herself to discover her inner being. She isn't like Ariel, who wants to be someone else. She isn't like Jasmine, who sits in luxury, waiting to be swept off her feet by Prince Charming, just like Snow White, Cinderella, Sleeping Beauty, and almost any female character that Disney brings to life. And while she does share some traits among this list, she stands out because she does something that these do not. She uses her mind.Mulan, in fact, has more in common with male Disney leads than the female Disney leads. Mulan is a thinker, and a do-er. She's resourceful, like Aladdin. She is quick to act, like Eric (mermaid.) And she sacrifices herself for the sake of others, like Hercules. She also speaks her mind, even in a culture that does not allow such a thing. She doesn't waste time pining about ""will I ever find true love?"" Indeed, we see that she has an attraction to Shang (as he was her husband in the legends,) but we see her uncomfortable and unsure of meeting the Match-maker. She begs for her father's life when Chi-Fu came to the village. When you see her make her decision to take her father's place in the army, she does so out of her love for him, valuing his life above hers. She doesn't wish to become a man to see what it is like or for a change. Only to save his life. She later doubts herself and her reasons for going, but she did so because of her inner strengths, something other female Disney leads too often lack. (And it is these strengths that Shang is attracted to at the end.)This movie also has a simple, but very effective villain, Shan Yu. Though not as memorable as Jafar or Ursula, he is more effective and more menacing because he is not fantastic. By that, I mean that he is not magical, he holds no special power. He is portrayed as a man, and as a man that could have truly existed, performing vicious acts that men do. We see the destruction that his army lays to a village, and when Mulan finds the doll, it shows that Shan Yu left no one living, man, woman or child. This is what makes him so effective as a villain, showing how truly human he indeed is. Granted, the producers did not develop him in any great depth, but they showed enough of him to remind us of his threat to China. Besides, sometimes the better villains are the ones you don't know too much about, or see a lot of.Of the rest of the supporting cast, I will only mention four of them as being memorable in any real way. Chi-Fu, the emperor's consultant, was a reminder of the way many men looked at women in this culture. He thrusts his head up when Mulan begs for her father's life, and when she is discovered to be a woman, though she is a hero, he is quick to insult her, and to order her execution, simply because she impersonated a man. The other three were, of course, her comrades, Ling, Yao, and Chian Po. Though they were mainly comic relief (almost like a 3 stooges set,) they remained loyal to Mulan and trusted her fully, even after she was discovered. I like them, because they were not discriminatory to her in any way, even trying to stop her execution. When Mulan told them she had an idea to help the emperor faster, they were the first to her side, even when Shang was still reluctant to do so.Overall, a wonderful movie to the Disney list. If you haven't seen it, then do so, you won't regret it.And yes, Mushu was a cool character as well.**** In Response to an earlier post by Phoenix-1 **** To expect any movie to accurately portray history in any way is lunacy. Even those movies that come close to historical accuracy are flawed in many ways. This was a way of telling a story, as any movie is. It can be argued that it tries to provoke curiosity in another culture, but it is also meant to entertain. I would also like to point out that Mulan is really not ""historical,"" like Joan of Arc, but rather she is a legend, much like Hercules and Aladdin, who also come from the realm of myth, stories and legends. And while there is some difference between the original legend and this movie, your examples of how Disney would butcher tales of George Washington and Abraham Lincoln do not compare to this story in any way. Your arguments for comparison should be better applied to Pocahontas, as she was an actual historical figure.",,Anonymous,Animation
The growth of the typical Disney heroine,"There are two things I love about this movie, aside from its stunning and beautiful animation.  One is that I love the fact that Disney is exploring legends from other cultures and I am so glad it brought us this one.  The other is that I just wanted to stand up and cheer at this great heroine.  I am a huge fan of Disney movies, but most of the heroines, while spunky, are still just your basic damsel in distress.  I loved Mulan's character.  She was strong, she was powerful, she could do anything she wanted, and she overcame much diversity.  I was thrilled to see the portrayal of a strong female character surviving because of her own integrity and strength rather than because of her looks.  Bravo, Disney, for bringing us this wonderfully progressive Chinese tale.",10.0,Anonymous,Animation
A True Masterpiece,"Every Disney movie is always advertised as ""a masterpiece"", but Mulan is one of the few that REALLY fit the bill.  The animation itself is simple and flowing, reminiscent of ancient Chinese art.  But the animation for this is really something else.  In fact, this is the best thing since The Lion King.Mulan is a young girl who does her best to bring honor to her family.  Then, when the Hun army invades China, one man from every household must serve in the Imperial Army.  Since Mulan has no older brothers, her crippled father must serve.  And it's obvious, early on in the movie, that it's impossible for him to fight with a crippled leg.  There's a great likelihood that this man is going to die in battle.So, out of the sheer love for her father, Mulan disguises herself in his armor and takes his place in the army.This movie isn't about some gal going off to war to prove herself, or break free from the caste system, like so many other Disney heroines.  And it isn't about ""finding your prince and living happily ever after"".  Mulan goes for the simple love of her father and because of the her dedication to her family.  She risks losing everything to SAVE everything.Mulan is a wonderful movie because the main character is realistic.  She's not perfect, she has her faults, and we all identify with her because we all try out best to please our fathers.  This is one of the few movies I watched with my dad that he really liked, and he isn't that fond of animated stuff. It's a great film.And that's what makes a true masterpiece.",10.0,Anonymous,Animation
Great Movie for little girls,"I have a 4.5 year old daughter who is going through the princess phase. We read lots of fairy tales etc and its very difficult to find a fairy tale where the princess is strong and resourceful. Most of the time they are pretty passive and the worst one is sleeping beauty. I find myself treading a fine line between letting her enjoy the fairy tale and occasionally commenting on the fact that perhaps some of these princesses just don't do enough to help themselves and how they can help themselves a little bit more. I don't want to destroy her pleasure in these fairy tales, after all, I loved them too. But it took me a while as adult to see how the subconscious message of helplessness in these fairy tales can reinforce the existing values of society and parents that girls are meant to be saved.So it is a great pleasure to be able to show my daughter a story of a strong and intelligent girl - Mu Lan and its great that Mu Lan and we are both ethnically Chinese. Here is a heroine who is resourceful, uses her brains, saves the Captain and China. We draw many discussion points from the story, such as why it is that women were not allowed to join the army, the value of trying hard and training and practising hard, what is discipline and why it is needed to succeed, using your brains and thinking of how to solve a problem, not just using brute strength, etc. Even some politics - like why did the Hun king want the Emperor to bow to him and why the Emperor wouldn't bow to him but would bow to Mulan. My challenge is the explain things in a way which is both accurate and yet understandable to a 4 year old. My daughter loves the story because Mulan does a lot of ""saving"".My daughter has probably watch the movie only 3 times coz I limit TV and video a lot. But she'll ask me to tell her the story in my own words, based on the video. It works out great.The fact that the movie Mulan captivates me as an adult also helps. There's only so much I can enjoy of a barney video.I definitely recommend this movie to parents with young girls, as a good place to start talking about being a strong and intelligent woman. Another good one is Beauty and the Beast. I've not seen Pocahontas so I can't comment on that.",9.0,Anonymous,Animation
Another great Disney,"I can't think of a single animated feature film done by Disney that I don't like. For some reason they never bore me and they never feel the same. The classics like 'Snow White' and 'Cinderella' are great but I think I like the newer ones ('The Little Mermaid', 'Beauty and the Beast', 'The Lion King') even more. 'Mulan' definitely belongs to the best ones.Mulan is a girl who doesn't do much right. For the honor of her family she joins the army instead of her father. She takes his gear and runs off. She pretends to be a man and does the training to go to war against the Huns who invaded China.With some nice new songs, great music by Jerry Goldsmith and beautiful animations this is a real Disney. A little dragon called Mushu is helping her on the way. He is send by the ancestors. The voice of Mushu is from Eddie Murphy and he does a very great job. With a quick and good story and a lot of funny moments this is a great movie.",8.0,Anonymous,Animation
"Solid story, but needs to lose some of the kids stuff","Mulan is an entertaining tale of a young girl who takes her father's place in the Chinese army. I think what I appreciate most about this film is that they don't spend a massive amount of time on her possibly being discovered. There's one scene that creates that kind of tension, but otherwise she remains hidden until the movie is ready for her to be revealed. The rest of the time she's just treated like any other soldier who is trying their best to become an effective warrior in the battle against the Huns. I like the training sequences, I find the other soldiers that she meets to be charming, and I'm always a sucker for those scenes when the instructor presents a seemingly impossible task and our protagonist figures out how to make it happen. The film manages to condense the war down to a single moment, but I thought it was a surprisingly effective way of making our heroine a savior on such a grand scale that it allows people to ignore centuries of tradition that minimize the role of women.Where I think Mulan suffers to some degree is that the creators felt beholden to the Disney animated tropes. The small cricket and dragon are not important to the plot and mostly provide slapstick comedy breaks. I'm all for Eddie Murphy being silly in an animated film, but the tone of Mulan feels less suited to his antics. In fact, I suspect the live action remake of this film will be one of the best because they will probably excise Mushu and Cri-kee from the script. The musical numbers are good songs, but they also feel a bit unnecessary in this story. I wouldn't say they bothered me, because the tunes are catchy, but I didn't think they needed to be there. My only other complaint about Mulan would be that the entire film feels a bit rushed. This might also be based on the fact that they were trying to meet some Disney animated movie standards, and keep it under 90 minutes for the young kids. I just felt they could have used a little more time to let some aspects of the story breathe and develop some of the characters a bit more. However, Mulan works quite well as a film, and it also looks great. This is definitely one of Walt Disney Animation Studios' successes.",7.0,Anonymous,Animation
She's an Oriental Yentl,"Good-looking but lumpish and derivative Disney animated musical based on Chinese folklore. Young girl, a failure in Concubine School, decides to join the Chinese Emperor's Army disguised as a boy to save her family's name. The dozen-plus ""drag"" jokes and vocal hamming from Eddie Murphy (as a tiny dragon) may make older kids giggle, but this is far from the studio's best work. The bathing sequence is a hoot, there are moments of beauty and wonder, but Mulan simply isn't a very intriguing character. The songs from Matthew Wilder and lyricist David Zippel are not memorable and the picture seems exceptionally long at 88 minutes. ** out of ****",5.0,Anonymous,Animation
"Excellent, if a little different","Now I must admit I wasn't sure about this one. MULAN seemed to break most of my preconceived rules on Disney movies. These included the fairytale element - a cross-dressing Chinese soldier doesn't have the same magical appeal as, say, the son of the Greek gods searching for his birthright, etc etc. Also, this verge towards realism meant that the bad guy would not be as appealing - Disney villains are camp, over-the-top thespians by rule - Jeremy Irons in THE LION KING for example. I was concerned about the absence of king-of-melody composer Alan Menken, whose wonderful songs encapsulate the charm of Disney.However, that said, I thought this film was wonderful. The characters were well thought out and expertly drawn. Not enough songs were present for my liking, but those that were fit perfectly with the story, and the chance to hear the wonderful voice of Lea Salonga (Mulan's songs) is worth the price of this film alone. Eddie Murphy has managed to be as good, if not better, than Robin Williams as the comic sidekick. And the film's conclusion is as genuine and as heartfelt as any adaptation of this story. The mountain scene contains some of the best animation I have seen from Disney, and the rousing score from maestro Jerry Goldsmith accompanies the action superbly.This may not turn out to be a classic in the same way as THE LION KING and BEAUTY AND THE BEAST, but I enjoyed it immensely. Go see it now!!!",,Anonymous,Animation
