title,content,rating,username,genres
Sheer brilliance... but,"I feel it's hypocritical to call a movie a ""masterpiece"" (which this is), while at the same time slapping it a bit for the very essence of what it is and tries to achieve... but that's what keeps this from being a ""10"" for me. Because, after watching and then exhaustingly reading about the film (and understanding more about it that way), it's pretty obvious that many/most people won't ""get it"" fully the first time... and that detracts a little... even though the complexities are what ultimately makes it great. Does that make sense?It's a Catch-22. You can't KNOW about it before you start... that would ruin the presentation... and yet there's a very legit chance you won't fully understand it either if you go in cold. It needs either a 2nd viewing, or the post-movie research to understand (if you're willing to do that, and even if you DO, you're going to want to watch it again anyway). All the clues are there and it all makes sense, once you know. But it is so intentionally deceptive, it's hard to know what you don't know.But it's brilliant, artistic, evocative, and clever. It slaps hard at Hollywood and the dream machine, and the disillusionment of aspiration. There is quite simply nothing like it. It has been called ""the best film of the 21st Century,"" and I won't dispute that. But it IS hard to follow and understand and demands more of the viewer than almost any film I've ever seen. So I'd say watch it, draw your own conclusions, read about it, hear what others think and believe... and then watch it again. You will be rewardedBut there is no denying that it is absolute brilliance, and David Lynch's crowning achievement.",9.0,Anonymous,Mystery
"Possibly Lynch's best; brilliant, enigmatic, and masterfully filmed","Originally filmed in 1999 as a TV pilot, ""Mulholland Dr."" was rejected. The next year, David Lynch received money to film new scenes to make the movie suitable to be shown in theaters. He did so - and created one of the greatest, most bizarre and nightmarish films ever made.The film really doesn't have main characters, but if there were main characters, they would be Betty (Naomi Watts) and Rita (Laura Elena Harring). Betty is a perky blonde who's staying in her aunt's apartment while she auditions for parts in movies. She finds Rita in her aunt's apartment and decides to help her. You see, Rita's lost her memory. She has no clue who she is. She takes her name, Rita, from a ""Gilda"" poster in the bathroom. So the two set out to discover who Rita really is.David Lynch has been known for making some weird movies, but this film is the definition of weird. It's bizarre, nightmarish, and absolute indescribable. It's like a dream captured on film. By the 100-minute point, the film has become extremely confusing - but if you've been watching closely, it will make perfect sense. Having watched the movie and then read an article on the Internet pointing out things in the film, I now understand the movie completely.The acting is very good. Watts is terrific. Justin Theroux is very good as a Hollywood director facing problems with the local mob. The music is excellent. Angelo Badalamenti delivers one of his finest scores. And the directing - hah! David Lynch is as masterful a filmmaker as ever there was.Is this your type of film? Well, that depends. You should probably view more of Lynch's work before watching this movie. You'll need to be patient with the film, and probably watch it a second time to pick up the many clues Lynch has left throughout the movie. For Lynch fans, this is a dream come true.""Mulholland Dr."" is a masterpiece. It's brilliant, enigmatic, and masterfully filmed. I love it.",9.0,Anonymous,Mystery
This is why this movie is brilliant... actually... never mind.,"10/10Recently, I read an excerpt from a book by Dennis Lim called ""David Lynch: The Man from Another Place."" In it, the author mentions how much Lynch despises interpretation of his work. He writes:""Writing about David Lynch, it can be hard not to hear his voice in your head, protesting the violence being done to his work. 'As soon as you put things in words, no one ever sees the film the same way,' he once told me. 'And that's what I hate, you know. Talking—it's real dangerous.' Not for nothing does ""Mulholland Drive,"" the Lynch movie that has invited the most fervent flurry of explication, end with a word of caution: 'Silencio.'""This reminded me that 11 years before this edit I had written this very review on IMDb, which contained an interpretation of the film's plot. I've decided to remove all of that. Whether or not you are satisfied with a particular interpretation of the plot should be irrelevant to your enjoyment of the film. I enjoyed it before I had that satisfying interpretation. And I'm hoping that I can clear it from my mind the next time I watch ""Mulholland Dr.""I will leave one thing from my original post. A quote by Peter Greenaway. ""I would argue that if you want to write narratives, be an author, be a novelist, don't be a film maker. Because I believe film making is so much more exciting in areas which aren't primarily to do with narrative.""",10.0,Anonymous,Mystery
Speachless,This was my first David Lynch film and it left me completely stunned and amazed. You will have to come up with your own interpretation of the movie and that changed my view on movies and art as a whole. Recommended for everyone who wishes to see something truly unique and interesting.,10.0,Anonymous,Mystery
My First David Lynch Film,"Like the title said, this is my first David Lynch film. I do not know who David Lynch is, nor have I heard of his previous films. So maybe I am missing something by not seeing the others. I do hope that this is not the case. I was told to watch this my a close friend as she regarded it quite highly. This is not an easy movie to understand, so to be fair, I watched it three times, each time with a different mindset. The conclusion, unfortunately, is that this film is not one that should be hailed for being a ""piece of art"" or anything extraordinary. This film has some beautiful scenes, but that is about it.Many people have claimed that this film is art. Well, I must respectfully disagree with them on this regard. If all art is is putting pretty pictures together, then anyone can be an artist. True art goes much deeper. This is where Muholland Drive fails. During my second time of watching, I was told to ""think less and let it (the movie) flow"". This is quite impossible as whatever flow this movie tries to achieve is destroyed by its inconsistency.My final time I tried to pick up certain parts of the movie, and tried to make some sort of sense to it. However, it leaves 40% of the scenes unexplained. Is the director trying to lure people in by showing us eye candy and hoping the rest would flow as people get too caught up with their desperate attempts to scrounge up some meaning for it? I think it might be the case.Should you watch this movie? I don't know. It is a beautiful movie but that is it. Pure eye candy with no substance. I really wanted to try to find some meaning to this film, but it seems that it is the movie that is preventing me from doing so.",6.0,Anonymous,Mystery
"love lynch, or hate lynch, admit he's a master","""twin peaks"" and ""blue velvet"" have always been two of my favourite pieces of film-making, and even though past films by lynch have been slightly disappointing for me they have always been worth watching a number of times.  to be pretentious, lynch can be like a good wine - he must be savoured and mulled over.  but in the end you must make up your own mind about what you have seen, for lynch never gives you the full answers.many people will walk out of ""mulholland drive"" possibly wanting to throttle themselves over the mind-bending visual jigsaw puzzle that has just unfolded before them.  but there is a twisted logic to this film, you just have to look for the clues. betty (naomi watts) arrives in hollywood, doe-eyed and in search of stardom.  she then finds an amnesiac in her bathroom who has escaped from an attempted murder on mulholland drive. together they try to uncover the secrets behind the amnesiac's life.  this all leads to a club called silencio, where a blue box will reveal all. and that is when the film throws everything out the window.  people we thought we knew are entirely different people altogether... is it a dream?  a reminiscence about life's previous escapades? you will either love this film or hate it.  david lynch always draws such extreme reactions from his viewers.  but as his universe itself is always about extremes, it is fitting that his films provoke such reactions.It is best to look at this film thematically, rather than as a straight-forward narrative.  and appreciate the fact that lynch is a film-maker who will still let you draw your own conclusions.  he has had many imitators as of late, particularly in ""vanilla sky"", where a mind-bending film decides to give you all the answers in the last rushed five minutes, and you will probably forget about that film as soon as you walk out of the cinema. mulholland drive will haunt you.",10.0,Anonymous,Mystery
maddening surreal tale,"Betty Elms (Naomi Watts) is a naive Canadian aspiring actress who arrives in L.A. to stay at her aunt Ruth's Hollywood home while she's away filming in Vancouver. She finds a dark-haired beauty in the shower. She (Laura Elena Harring) has amnesia after a car crash on Mulholland Drive and takes on the name Rita. There's a diner called Winkies. There's director Adam Kesher (Justin Theroux). There's a hit man (Mark Pellegrino) who has a hit that keeps going wrong. Rita remembers the name Diane Selwyn and Betty joins her to find the dead woman.This film is maddening. David Lynch has created a confusing surreal tale. I'm sure someone has dissected this to make sense of everything. I can't tie the whole movie down. The pairing of Watts and Harring is great. Watts is especially terrific. If this comes with explanations, I may just like this more.",6.0,Anonymous,Mystery
"Surreal, intriguing and frustrating","I've been trying to wean myself off writing IMDB reviews. But felt I had to respond to the reviews for Mulholland Drive.""It's an art film and I got it! 10/10!""
""It's an art film and I didn't get it! 1/10!""I'm right in the middle.It's an art film. I got the bits that it is possible to get. I didn't get the bits it isn't possible to get. 5/10.The premise is about a car accident that leaves a woman (Laura Harring) with amnesia, who then finds a friend in an actress (the excellent Naomi Watts) who has just arrived in a Hollywood that is full of danger and mystery. But this narrative is only loosely followed.For nearly 2 hours Lynch leads us on a dreamlike journey through the women's search for truth, with plenty of detours via a film director under pressure (Justin Theroux) and strange, often horrifying characters lurking in the shadows.And then in the last half an hour the movie flips everything on its head and goes to a completely different place.And it's this final half hour that is the movie's undoing. It just doesn't tie in well enough with the first part of the film. Certainly you can see the connections, but they don't stand up to scrutiny. There are far too many loose ends. And justifying it by saying it's ""surreal art"" isn't a good enough excuse.The real masterpiece would have been a film that tied everything together. Mulholland Drive could have been a spectacular mystery thriller, but instead it hides behind it's artistry.",5.0,Anonymous,Mystery
A film you immediately want to watch again,"Getting through David Lynch's catalogue and not all of his films have done it for me (or even been watchable for me). Mulholland Drive, though, was a mesmerising experience, which I thoroughly enjoyed. The fantastic third act revelations make rewatching it urgent!",9.0,Anonymous,Mystery
Where does it begin and end??,"Hitchcock would be proud of this movie.  Even when nothing happens, it is suspenseful.  Director David Lynch overuses a few cheap thrill tricks here and there, but he intersperses them with other cinematographic techniques to keep it from becoming obtuse.Altogether surreal, this movie is like waking up and remembering most of a dream but not enough to make it sensible.  I am still trying to figure it all out and will probably have to see it again to catch things I missed and which may help me understand it better.  It is a very detailed plot that very slowly comes together, so you must be patient and pay attention.  Get your bathroom trip out of the way before it starts.  And yet, the plot is overshadowed by the theme, the mood, the character development, and the filming techniques.The dual roles of the main actress, Naomi Watts, showcase her enormous talent.  That is, when I could get my eyes off of her co-star.  What an acting pair.Lynch surprises throughout the movie with unusual camera angles, the length/timing of editing cuts, jumping back and forth between scenes. Combined with smart use of music and sounds, it all helps to build suspense in our minds, doubtless a major objective of the director.  Well, he kept me on the edge of my seat, even had me talking to the actors to be careful here, and not be so naive there.  You know, the kind of stuff you want to smack your kids for doing at the movies.",10.0,Anonymous,Mystery
