title,content,rating,username,genres
"Fans of Poirot steer clear, for there is no Poirot here","This movie was clearly made for a modern audience with no familiarity with Agatha Christie's work. Branagh's portrayal of the legendary Belgian detective Hercule Poirot bares only a passing resemblance to the source material with an inconsistent accent, the wrong mustache, and only some of his iconic quirks and mannerisms. That being said, it is a decent mystery that follows the plot of the story pretty well and it would probably be enjoyable to people seeing the story for the first time and having no preconceived notions of what Poirot should be.A strong supporting cast featuring Michelle Pfeiffer, Daisy Ridley, Johnny Depp, Willem Dafoe, Judi Dench, Penelope Cruz, and many other familiar faces performs well. However, no one stands out in the way Ingrid Bergman did in the 1974 adaptation or Jessica Chastain in the 2010 version.There were also several semi-action moments that were incredibly out of character for Poirot, yet provided no actual excitement to justify the sudden stylistic change. The ending hints at Death on the Nile being the next mystery for this detective masquerading as Poirot to tackle, but Poirot should not be summoned to solve a murder, he simply stumbles upon them whenever he goes on vacation.",6.0,Anonymous,Mystery
"Visually stunning, fairly decent film.","I must admit as an Agatha Christie obsessed fan, my initial thoughts were of pure joy, it's been a while since Agatha Christie was on the big screen, appealing to new fans, and how magnificent that such a stellar cast was assembled. Then I thought, of all the titles, why go for such an obvious choice, which has been done several times.Firstly, the film is undeniably beautiful, the costumes, sets, filming etc, the film will undoubtedly win an Oscar for the visuals. You can see big money was put into the look of the film.My major irritation throughout, was his moustache, just absurdly over the top, when Depp and Pfeiffer should have been dominating scenes, all I could look at was that moustache. That apart Branagh was excellent, I never thought he'd carry it off, but he did.I am intrigued as to whether this is a one off film, or if there'll be the odd appearance on the big screen. Only time will tell.All in all, it was good, I wanted and hoped to absolutely love it, unfortunately I didn't, but no way is it as bad as some say, too much quality for that.7/10 (hoped for a perfect 10!)",7.0,Anonymous,Mystery
Average,"Agatha Christie needs a bit more mystery and depth in a film particularly when the story is so well known. Branaghs's Poirot is more eccentric than brilliant, in fact most of the characters are over played and a bit silly.In the end you don't really warm to anyone or want more, it's very predictable and flat.",6.0,Anonymous,Mystery
This Version Is A Train Wreck,"If you have any affection for Sidney Lumet's 1974's stellar version of ""Murder On the Orient Express"", do not bother watching this new version, you will be very disappointed. Even the poster reflects an uninteresting tone, the font used is modern and lacks any sense of style.Kenneth Branagh is a great director and actor that has given us some memorable films, unfortunately ""Murder On the Orient Express"" isn't one of them.At last night's screening of ""Murder On the Orient Express"" I had to use the restroom after about 40 minutes. As I reentered the theater the person entering with me asked me ""Do you think this movie will ever get started?"" I said ""I don't know; I guess we'll have to see."" It caught fire way to late, in about the last 20 minutes.Indeed, the movie had a painfully slow start, with a completely overproduced prologue that seemed quite unnecessary. The introduction of the characters is messy and it becomes rather confusing as to who they are. The cast is full of great actors, but so few are able to ""shine"" in this production.Kenneth Branagh is an interesting Hercule Poirot, he seems to be trying way too hard, and for me somehow he never ""owned it."" The extremely grotesque mustache seemed to get in the wayMichelle Pfeiffer, as Mrs. Hubbard is lackluster and quite flat, until the last 20 minutes where she does get a chance to shine, but by then it's too late, but it's not her fault.Derek Jacobi, one of our greatest actors is so misdirected in this version that he delivers an insipid performance. Penelope Cruz walks through a part that gained Ingrid Bergman an Oscar in the original, again not their fault.Interestingly enough, it is Johnny Depp who gives the best performance. He embodies his character with the right amount of vile corruptness, and sleaziness that brings life to the screen. He also has the most interesting costumes in the movie.Judi Dench is elegant and funny but her companion played by Olivia Coleman, who usually turns in stellar performances is totally uninteresting here, again not her fault.The production is indeed rich and elegant in its production design, and cinematography. The costumes however are fine, but lack a certain panache and glamour we have grown to admire in past Agatha Christie films, such as those designed by Tony Walton, and Anthony Powell. Alexandra Byrne is an extraordinary designer, but somehow it feels like the concept was to be subtle and ""real"". She needed to be bold and adventurous like her work on the ""Elizabeth"" films with Cate Blanchette.The musical score vacillates from very generic, to frantic and never finds the right tone, never providing a sense of mystery and suspense. Only when true vintage songs are incorporated does the atmosphere come alive.Kenneth Branagh is such a gifted filmmaker, it is sad to see this film fall short. He is in almost every frame, perhaps he would have crafted a better film if he was not in it. As the conductor of this train, he did not provide an elegant journey with wit and great character development for one of Agatha Christie's finest stories.",,Anonymous,Mystery
You'll never guess who dunnit,"There's a big problem with Kenneth Branagh's 2017 filming of the Hercule Poirot-based murder mystery. and that's the 1974 Sidney Lumet classic featuring Albert Finney in the starring role. For that film was so memorable – at least, the ""who"" of the ""whodunnit"" (no spoilers here) was so memorable – that any remake is likely to be tarnished by that knowledge. If you go into this film blissfully unaware of the plot, you are a lucky man/woman. For this is a classic Agatha Christie yarn.The irascible, borderline OCD, but undeniably great Belgian detective, Poirot, is dragged around the world by grateful police forces to help solve unsolvable crimes. After solving a case in Jerusalem, Poirot is called back to the UK with his mode of transport being the famous Orient Express. Trapped in the mountains by an avalanche, a murder is committed and with multiple suspects and a plethora of clues it is up to Poirot to solve the case.Branagh enjoys himself enormously as Poirot, sporting the most distractingly magnificent facial hair since Daniel Day-Lewis in ""The Gangs of New York"". The moustache must have had its own trailer and make-up team!Above all, the film is glorious to look at, featuring a rich and exotic colour palette that is reminiscent of the early colour films of the 40's. Cinematography was by Haris Zambarloukos (""Mamma Mia"" and who also collaborated with Branagh on ""Thor) with lots of innovative ""ceiling down"" shots and artful point-of-view takes that might be annoying to some but which I consider as deserving of Oscar/BAFTA nominations.The pictures are accompanied by a lush score by Patrick Doyle (who also scored Branagh's ""Thor""). Hats off also to the special effects crew, who made the alpine bridge scenes look decidedly more alpine than where they were actually filmed (on a specially made bridge in the Surrey Hills!).All these technical elements combine to make the film's early stages look and feel truly epic.And the cast what a cast! Dame Judi Dench (""Victoria and Abdul""); Olivia Coleman (""The Lobster""); Johnny Depp (""Black Mass""); Daisy Ridley (""Star Wars: The Force Awakens""); Penélope Cruz (""Zoolander 2""); Josh Gad (Olaf!); Derek Jacobi (""I, Claudius""); Willem Dafoe (""The Great Wall"") and Michelle Pfeiffer (""mother!""). A real case again of an ""oh, it's you"" film again at the cinema – when's the last time we saw that?It's also great to see young Lucy Boynton, so magnificent in last year's excellent ""Sing Street"", getting an A-list role as the twitchy and disturbed countess.With all these ingredients in the pot, it should be great, right? Unfortunately, in my view, no, not quite. The film's opening momentum is really not maintained by the screenplay by Michael Green (""Blade Runner 2049""; ""Logan""). At heart, it's a fairly static and ""stagey"" piece at best, set as it is on the rather claustrophobic train (just three carriages on the Orient Express really?). But the tale is made even more static by the train's derailment in the snow. Branagh and Green try to sex up the action where they can, but there are lengthy passages of fairly repetitive dialogue. One encounter in particular between Branagh and Depp seems to last interminably: you wonder if the problem was that the director wasn't always looking on to yell ""Cut""!All this leads to the ""revelation"" of the murderer as being a bit of an anticlimactic ""thank heavens for that"" rather than the gasping denouement it should have been. (Perhaps this would be different if you didn't know the twist).However, these reservations aside, it's an enjoyable night out at the flicks, although a bit of a disappointment from the level of expectation I had for it. I can't be too grumpy about it, given it's a return to good old-fashioned yarn-spinning at the cinema, with great visuals and an epic cast. And that has to be good news.For sure, Branagh does make for an amusing and engaging Poirot, even if his dialogue did need some 'tuning in' to. There was a suggestion at the end of the film that we might be seeing his return in ""Death on the Nile"" – the most lush and decorous of Peter Ustinov's outings – which I would certainly welcome. He will have to find another 10 A- list stars though to decorate the boat, which will be a challenge for casting!",7.0,Anonymous,Mystery
The Little Engine That Couldn't,"I have to agree with several others who have commented on this film. It lacks any sort of spark. Each actor plays to the camera and there is little interaction among them. Johnny Depp is pretty good as the victim, but even he seems a caricature. It is a star studded cast and that may have been a mistake. Branagh's Poirot is so dull. And that awful mustache. It looks like he glued on the bristles from a hair brush. The plot is confusing and there is little mystery. When I saw the first film, I knew the ending, but I thoroughly enjoyed it. There are several strange events that take place in this one. Poirot is way to brusque and unpleasant. My picture of him is a kind of shyness. The ending scene, where things are explained and the murderer revealed, is incredibly dull. Too much hoopla and not enough good direction.",6.0,Anonymous,Mystery
Too different from the book,"At first when I saw the trailer, I was so excited and thought ""Finally, a remake of Agatha Christie's masterpiece!"". But after I watched the movie that night, I can't hide I was so disappointed.The movie is so different from the book! And many of the scenes are exaggerated, and some important parts from the books are not included in the movie. Some characters lost or exchanged names. No ""dr. Constantine"", Greta Ohlsson changed into Pilar Estravados, Antonio replaced by some Italian name I can't remember. Some of the characters' personality are also too much for me. Count Andreyi is a... count. It's impossible he is so temperamental in the movie (while in the book Count Andreyi are more respected and well-behaved).Disappointing, for a Christie's adaptation.",6.0,Anonymous,Mystery
beautiful but lacking,"After solving a case at the Wailing Wall, famed detective Hercule Poirot (Kenneth Branagh) takes a boat to Istanbul where he boards the Orient Express with various characters. While crossing the Alps, the train is stuck in the snow and a murder occurs. Poirot must find the culprit and its connection to a famous child kidnap-murder case.Branagh uses his skills to create beautiful stages on which his actors can perform. The only problem is that the characters are little more than facades. They are surfaces without interiors. While it's impressively beautiful, there isn't any blood pumping through this story. It begins with Branagh and his crazy mustache. It's an artifice in place of real character work. It also draws attention away from any real work. There is an artificiality with the whole world although it is a beautiful art world. I do wonder if this is the best way to update the adaptation of this classic.",6.0,Anonymous,Mystery
Sheer entertainment,"Why does everyone say that this movie is so bad? I agree with it being a bit cheesy and not exactly Knives Out in terms of suspense-surpise, but I think it is really entertaining and captures much of the spirit of the original book! Drop the pretentiousness and enjoy 2 hours of good old fashioned, classic whodunnit:)",7.0,Anonymous,Mystery
Difficult to Review,"Difficult Kenneth Branagh makes, produces, and stars in good movies, and this version of Murder on the Orient Express features impressive sets, beautiful scenery, and lovely period clothes. An impressive case features Penélope Cruz, Johnny Depp, Derek Jacobi, Michelle Pfeiffer, Judi Dench, Willem Dafoe, and Kennth Branagh as Hercule Poirot. I think those who are not familiar with Agatha Christie, Poirot, or the story may very well like this movie.I, on the other hand, was massively disappointed, especially by Branagh as a sort of English upper-class colonel with a stick-on cavalry moustache and by the needless addition of an introductory scene at the Wailing Wall. But I am prejudiced. I read the 1934 novel decades ago and again more recently. I liked the 1974 star-studded version with Lauren Bacall, Ingrid Bergman, Jacqueline Bisset, Sean Connery, John Gielgud, Wendy Hiller, Anthony Perkins, Vanessa Redgrave, Richard Widmark, and Michael York—despite the fact that Albert Finney was a very poor version of Christie's Hercule Poirot.In my opinion, the 2010 television version of the story starred David Suchet as the definitive Poirot, and the ending was far and away the best of all the versions with which I am familiar. So I think Christie fans may want to skip this edition of the classic.",5.0,Anonymous,Mystery
