title,content,rating,username,genres
Second time around,"I must admit that when i watched this movie for the first time i didn't really think that much of it. Sure the acting was amazing, but that was expected. But then something happened. I got a chance to read the book by Dennis Lehane and suddenly all the pieces fell into place. I watched the movie again and this time it was amazing.I don't know how i should interpret how my feelings toward this movie changed after reading the book. Is it a good adaptation if i like it more after reading the book? Should a movie stand so well on it's own merits that the book is not necessary? I don't know myself, all i know is that it all became so much clearer after reading the book.First of all the acting was amazing even the first time around. But still, after reading the book it was as if the characters gained one more level of depth. I have always felt that Tim Robbins is the true gem in this movie. His pained portrayal of the lost soul Dave Boyle is pure magic, seldom has an Oscar been so well deserved. Sean Penn is predictably great in his portrayal of Jimmy Markum. It's a difficult character, a person you really don't know what to think about. In one respect he is a worried father, in another respect he is a cold-blooded man with few things to like about him. The rest of the cast is solid, with Kevin Bacon the brightest star among them.When it comes to the plot itself this was where much was changed from reading the book. The trick is not to watch this as a crime-drama. Rather it's a movie about behavioral patterns, about humans. What they are capable of and what dictates their actions. There are huge amounts of sadness and melancholy to this story. Of people unable to break out of the path it seems life has chosen for them. This i think didn't really break through to me that well when i watched the movie for the first time. But the book is much more clear on this and when i watched the movie again i saw it there as well.In the end this is a triumph of two things really. First the great acting of some of the finest actors in Hollywood today, second the sensitive and thoughtful directing of Clint Eastwood. He manages to bring out Dennis Lehanes story in a way that is so understated and minimalistic at times i didn't even catch on the first time around. But if i look closely all the elements are there and it is truly a great adaptation as well as a great movie.",8.0,Anonymous,"Crime, Mystery"
A Tragic Story of the Loss of the Youth in a Contemporary Classic,"Twenty years ago, the boys Jimmy Markun, Sean Devine and Dave Boyle are neighbors and pals, playing hockey on the street. One day, Dave is kidnapped by two men, being sexually abused, but escapes from them four days later. In the present days, each one of them followed one way in their lives: Jimmy (Sean Penn) is married with Annabeth Markum (Laura Linney), has three daughters and has a small business. Sean (Kevin Bacon) is a detective, and his pregnant wife left him six months ago. His colleague is the detective Whitey Powers (Laurence Fishburne). And Dave (Tim Robbins) is a traumatized man, married with Celeste Boyle (Marcia Gay Harden) and having a young son. When the nineteen years old daughter of Jimmy, Katie Markum (Emmy Rossum), is found dead in the neighborhood, the three friends in childhood meet each other again, in the investigation of the murder. A tragic event happens in the conclusion of this investigation. This movie is excellent. Yesterday, I saw it on DVD and I was impressed with the direction of Clint Eastwood and the performance of the cast. It is almost impossible to highlight one actor or actress, but I was stunned with the performance of Sean Penn. It is a film based on the acting, and not on special effects, shootings or race of cars. I was very impressed, since the tragic story of the loss of the youth is very real, full of human flaws, disturbances, prejudice and judgements. The destiny of this movie in the future may be to be considered a contemporary classic. My vote is nine.Title (Brazil): `Sobre Meninos e Lobos' (`About Boys and Wolves')",9.0,Anonymous,"Crime, Mystery"
"Chilling, effective and real","After a while, one has come to expect mediocrity from Clint Eastwood. ""Blood Work"" ""Space Cowboys"" and ""Sudden Impact"" all shining examples of this. But what he has here is true; sophisticated, intricate and rewarding. Viewing is definitely recommended.Three boys, Dave (Tim Robbins) Jimmy (Sean Penn) and Sean (Kevin Bacon) are reunited after the murder of Jimmy's nineteen year-old daughter. Immediately, a whodunit case arrives. Sounds average, dunnit?...No. It's much more than average. What might appear as a normal murder mystery is more. The acting, particularly from Robbins and Penn, is immaculate. Robbins is still recovering from child sexual abuse along time ago. Penn, so realistically and amazingly, mourns over the loss of his daughter. Laurence Fishburne (playing cop Whitey) is as smart talking as ever, whilst Kevin Bacon gives a solid performance as the homicide cop investigating the case.Though the film becomes a bit uneven towards the end, this tough, brutal and uncompromising; but still, a masterpiece, and the best work Eastwood as done in years.Final Analysis: 9 out of 10",9.0,Anonymous,"Crime, Mystery"
Eastwood's intricately-plotted family drama,"Eastwood's expert direction and wonderful performances from the three leads make MYSTIC RIVER a drama worth watching. The film is made up of three interlocking sections, each represented by one of the leads. Kevin Bacon supplies the lesser police procedural aspects of the movie, Tim Robbins lends plenty of mystery to a whodunit plot, and Sean Penn is at the heart of the family drama-cum-tragedy.The film is unpredictable throughout and slowly paced, taking its time to get to grips with the storyline instead of rushing through the plot. Never once does it feel boring. The attention to technical detail is spot on as you'd expect, and the mood finely judged throughout. It takes actors and a director of rare talent to make a movie this compelling, but in the case of MYSTIC RIVER everything comes together in a film that never disappoints.",7.0,Anonymous,"Crime, Mystery"
Simply stunning,"This movie is a kick in the gut. Rarely is such a brilliant cast assembled, and even when it happens, rarely do they act like this. Tom Guiry (very impressive), Tim Robbins and Sean Penn show emotion that directors don't often stick in. And it comes off flawlessly. During a scene with Marcia Gay-Harden and Tim Robbins crying in their kitchen, there is an energy coming off of the screen that strikes you right in the chest. Which is really the way the whole movie works. It grabs you and shakes you, and makes you watch even when it can be painful to do so. The only reason that this film didn't win best picture is Return of the King. Any other year, and Mystic River has it. Eastwood's finest moment. Check it out--you won't be disappointed.",9.0,Anonymous,"Crime, Mystery"
A well-told whodunit tragedy,"Watched this movie in 2022 as it had been almost 20 years since I'd seen it and couldn't really remember much. The story is still tragic, the acting is still very good, the directing is still top-notch, and the ending is still haunting. On paper, Mystic River could have turned into a classic murder mystery film, but the material actually goes much deeper. There are additional themes explored here: childhood trauma, consequences for our actions, connections from the past, ripple effects of neighborhood tragedy, etc. These elements are carefully intertwined with the main storyline which is what keeps Mystic River a step above its peers. A star-studded cast bring this film into Oscar-winning territory and you will be glad you rewatched it.Verdict: Watch it.",8.0,Anonymous,"Crime, Mystery"
to rank among the 5 best movies made in 2003,"Let's say it straight away: before ""Mystic River"" (2003), Clint Eastwood's last works had left me a little unsatisfied; particularly ""Blood Work"" (2002), a watchable thriller with a certain charm but without great originality. But the following year, with ""Mystic River"", he made a sensational comeback and quite obviously this movie, which critically and commercially gave a boost to his career is his most accomplished since ""Unforgiven"" (1992).By watching ""Mystic River"" one can feel that Clint Eastwood, more than ever put a lot of effort into the elaboration of his movie. From a subtle screenplay written by Brian Helgeland who shows that he is a far better scriptwriter than director (as far as I'm concerned, I hated the rather insipid ""A Knight's Tale"" 2001), Eastwood develops an absorbing and ingenious directing which contributes in weaving a shady and even stifling by moments atmosphere. On another extent, Eastwood takes back a way that had worked for him in ""Blood Work"": favoring calm and patience. And indeed, on an unhurried pace, the film-maker takes all his time to shot the evolution of this detective story. More important, he made this choice for another reason: to do a thorough psychological study of the three main characters. The basis of ""Mystic River"" consists in a classic detective investigation (nevertheless passionating in its construction) doubled with a relevant description of the three main protagonists.To watch ""Mystic River"" is like to find oneself on the edge of a forest and to disappear into it. The more the movie progresses, the more we discover three heart-broken characters because they are linked by dark events. First, Jimmy Markum (Sean Penn). We learn that he has flirted with violence and has spent a few years in jail but he seems to have become a well-behaved man: he works in a grocery store and regularly goes to church. But the death of his daughter crushed him and he is determined to avenge her. Then, Sean Divine (Kevin Bacon) who appears as a reliable and lucid cop but whose private life is hell: he experienced a failed marriage and his wife keeps on harassing him day and night. At last, Dave Boyle (Tim Robbins), a broken father who underwent a deep traumatic experience (he was kidnapped and raped by two men who claimed to be priests). The consequences are terrible: he can't communicate anymore, he can't defend himself anymore and he wanders like a ghostly figure in the streets of his neighborhood. As a matter of fact, this traumatic scene is at the root of the three characters' misfortunes. Being the very first sequence of the movie, it sets the tone of Clint Eastwood's 24th movie. It presents Jimmy, Sean and Dave playing in a street. The sky is gray, the houses of the neighborhood are bare and austere. The ball which disappears through the manhole may symbolize the loss of childhood. Then, a big black car arrives. One of the men gets out and claims to be a priest (or does he?). He orders Dave to go into the car and the latter drives away. This moment will haunt the three boys for the rest of the lives and will deeply influence their personality. Roughly, ""Mystic River"" demonstrates in a conclusive way how such a past dramatic event can influence our present lives.In virtually all the critics I have read, ""Mystic River"" was hailed for its cast. It's true that Penn, Bacon and Robbins rank among the best American actors of their generation and I think we will never thank Eastwood enough for having reunited them. By giving a lot of depth to their respective characters, one can feel that they were giving their all, which can explain why the movie was shot in a rather short time (39 days). They may even never battle their dazzling performances. And the rest of the cast is just as equal as the whole, especially the actresses whose female characters have an important role in the story since they influence (unconsciously or not) their husbands' actions and characters.To a third degree, Eastwood's major work is also used to denounce the deceptive superficiality of the appearances, the omnipresence of violence and the credulity of many inhabitants. The film opens with an overview of the neighborhood but doesn't show yet that it is devastated by violence. No matter what the time is. Violence is omnipresence and the fact that it touches younger generations proves that it isn't ready to subside.At last, let's also congratulate Eastwood for the remarkable music he has signed himself with his son. With this music, simplicity rhymes with efficiency. One has just to listen to a few notes to feel an intense emotion inside us.In the middle of all these qualities, there are just minor faults. So, Bacon is a tormented cop due to his disastrous marriage and however, we really don't know what went wrong with his wife. Is it Dave's kidnapping? Is it his trying job? This point remains ambiguous. Ambiguous is also the adjective that suits the best to qualify the end of the film. What can mean the gesture Bacon makes to Penn? But these two points let freely the way to any possible interpretation.The contribution of the crew in Eastwood's work is total and so is my enthusiasm for ""Mystic River"". If you haven't seen it yet, go and watch it. You won't regret it. At the age of 73 years old, ""grandad"" Clint Eastwood is still in great form and given the recent triumph of ""Million Dollar Baby"" (2004), he seems to have decided to bring the house down again in the landscape of American cinema for our greatest pleasure.",10.0,Anonymous,"Crime, Mystery"
"Eastwood's next Oscar hit after ""Unforgiven""","Eastwood's big Oscar hit after ""Unforgiven"", that other masterpiece directed by Dirty Harry himself. ""Mystic River"" is based on the bestselling novel by Dennis Lehane and it has an incredible cast. The main leads are for Sean Penn, Tim Robbins and Kevin Bacon. Furthermore we have Laurence ""Morpheus"" Fishburne, Laura Linney and Marcia Gay Harden. The movie itself is very dark and sober without much music. The story is brilliantly written and the acting is without any doubt superb.I'm glad Sean Penn finally won an Academy Award, he's a brilliant actor and he certainly deserves the recognition. Tim Robbins was good as well, but I think Benicio del Toro should have won the Academy Award for Best Actor in a Supporting Role. His performance in ""21 Grams"" was much more superior to Robbins' performance in ""Mystic River"". Anyway, that's just what I think. Kevin Bacon was excellent as well and he is one of the most underrated actors of his generation. Marcia Gay Harden and Laura Linney were good as usual.Although I very much enjoyed this movie, it didn't exactly turned out to be the masterpiece I was expecting. But that's maybe because this was only the first time I watched it. Anyway, I'm still looking forward to see Eastwood's masterpiece of this year: ""Million Dollar Baby"". But this movie is absolutely worth seeing as well.8,5/10",9.0,Anonymous,"Crime, Mystery"
Mystic River is a well acted and well directed American classic.,"When I finally got to watch Mystic River, I was mesmerized by the acting of the ensemble cast. I watched this movie twice, alone and again with my husband. The content of the movie is relevant in any time frame. Upon watching it the second time I noticed ""small"" things that tied the movie and its characters together. Forgiveness, no I would not classify any of the characters as forgiving. It is very clear that Dave probably never receive counseling for the unspeakable crime done to him as a boy, Jimmy never really let go of his ""on edge nerve"" and Sean remains the responsible friend but not afraid to face life's messes. To watch a human drama unfold with such sad consequences and heavy retribution on one hand and little to no retribution on the other hand is a depiction that life is not always fair and some of us receive the bounty of life, while others get the smaller piece of pie.This movie was well acted and well directed. I will never forget Sean Penn's portrayal of Jimmy in this star ensemble cast.",,Anonymous,"Crime, Mystery"
Classic Eastwood,"This movie is a good study in human nature and fate.  Eastwood has always tried to haze the line between a good guy and the things a person does to define him as such.  His good guys do so much bad and his bad guys do so much good that we are often left pondering what we see in his movies. Mystic River will take your imagination and patience to the limit.  Mystery, intrigue and suspense are superbly blended for a home run.",10.0,Anonymous,"Crime, Mystery"
