title,content,rating,username,genres
"Take ""National Treasure"" for what it is.","This is a fun movie that most everyone in the family can enjoy. It's rated PG, has some violence, but no nudity and no language. Younger kids will probably not understand the Masonic and Knights Templar references, but they'll probably still enjoy it. The only thing anyone needs to understand about the Masons is the Knights Templar eventually became the Masons, and many of our founding fathers were Masons, so there's a bit of Masonic lore/connection tied into the movie. Other than that, it's easy to follow. Ben Gates is chasing a dream of finding a lost treasure, the map to which is supposedly hidden on the back of the Declaration of Independence. He steals the Declaration, then takes off on his adventure to find the treasure. To put it simply, ""National Treasure"" will remind you of a cross between the Indiana Jones trilogy (minus the snakes) and ""Ocean's 11"" (minus the drinking and profanity). You don't have to be a genius to watch it, and you don't have to be a history nut to understand it. No, there isn't really a map on the back of the Declaration of Independence (Is there?), but Indiana Jones didn't actually find the Ark, either. It's a fun, fantasy, what-if, kind of movie. Enjoy it.",7.0,Anonymous,Mystery
Witty Fast-Paced Fun Adventure-Thriller For All Ages,"Jon Turtletaub's best film must endure the critics propensity to penalize highly popular commercially successful family-friendly Disney films... ""What does the common folk know about filmmaking?"" It's much better than most of those reviews indicate.Yes, this film works hard to be likable and appealing to a mass audience - perhaps it's just too preposterous a story, and has too much witty repertoire to be taken seriously by some critics. Witty repertoire CAN wear thin and become precocious in movies, but in 'National Treasure', it's the film's most endearing and appealing factor, carried off successfully by some of the most experienced actors in the business - They keep the film fun and pull off their quips with deft skill - Bravo!A well casted, directed and edited film that doesn't pretend to be more than it is, and delivers what audiences came to see.Enjoy this snappy-paced treasure hunt Disney ride without guilt - it's OK to have escapism fun watching movies, and this one does it as well as any, so grab a bowl of popcorn and indulge yourself.👍👍",8.0,Anonymous,Mystery
Pleasant Surprise!,"National Treasure was not on my must-watch list. but it turned out to be a most pleasant surprise. the history behind the show may not be accurate and it also has around it, an air of mystery, but it certainly was a fun filled ride with the face-paced action flicks! I'm NOT a particular Cage fan. nonetheless i had to admit he did a pretty good job as Ben Gates - slightly serious yet very witty! together with Riley, they provided the tickles that brought the audience through the entire film.with no explicit language and scenes, National Treasure is well-suited for family entertainment! its a light-hearted film good for an evening of chilling out! the subtle love story also adds credit to the film.well done!",7.0,Anonymous,Mystery
my notes,"Very fun and entertaining movie. Some good action, comedy, and general excitement. there are also some cheesy moments but nothing too severe. i miss nicholas cage in his prime. (about 3 viewings)",7.0,Anonymous,Mystery
Security risks,"""National Treasure"" is a thriller that was obviously targeted for young audiences. John Turtletaub, its director, has created a film that will resonate with those audiences because of the great ride and the adventure it depicts. On the other hand, heaven help us, should anyone feel inspired to emulate the hero of the film and attempts to do something similar, which in a way, doesn't say much about the security in guarding the real ""natural treasures"" of the country.If we can believe Ben Gates can pull the caper, then there's no problem in enjoying this film, which offers an action packed couple of hours that could have been trimmed a little bit to make it even better.Not being a Nicolas Cage fan, one was prepared for the worst, but this is one of the films in which Mr. Cage is at his mellowest intensity and it's easy to tolerate his antics. Diane Kreuger is a beautiful addition to the film that pays well. Justin Bartha does what he can being a computer nerd and pulling fantastic stuff to help his friend. Sean Bean, Christopher Plummer and Jon Voight, are seen in supporting roles.This is a film that will play well with young minds and with adults that will allow for the silliness of the situation at hand.",7.0,Anonymous,Mystery
fun adventure,"This was a fun film, sort of like an Indian Jones movie, but the treasure hunter must figure out clues. I'm sure the reason this was made and released now has a lot to do with the Da Vinci Code. The plot is just like it except instead of involving religious history, the clues center around American history, and namely the founding fathers.So Nick Cage, plays Ben Gates, the treasure hunter whose family has been looking for the treasure of the knights templer for years. One of his relatives possessed the last remaining clue from a dying Mason. So, the movie starts with Cage finally solving that clue, and the film goes from there. Of course, we have the evil billionaire guy who wants the treasure for himself and the funny sidekick. But, I think the sidekick failed because he wasn't all that funny. The movie could have used some more humor. And of course, Gates hooks up with a beautiful woman along the way to help him solve the clues, which sounds just like Da Vinci.It is unbelievable that someone could just come up with the answer to these difficult clues after thinking about them for 2 minutes, but we don't have time to let the characters ponder them for a few months. It is meant to be fun, so forget about the plot holes. The whole set beneath the church looked very neat, but I would have to think all those wooden stairs would have been rotten by then and no one could walk on them. But who cares, it's fun.And the theft of the Declaration of Independence was reminiscent of Ocean's 11. Funny how anyone can steal anything in a film, forget locked down security.FINAL VERDICT: If you like adventure films, I recommend it. It is not like Tomb Raider, which some have compared it to. Tomb Raider was horrible. This is more like Indiana Jones.",7.0,Anonymous,Mystery
Fairly entertaining,"I am NOT, repeat, NOT, a Nicolas Cage fan, mainly because he relies too much on action to carry his films (instead of his acting), but this is a pretty decent flick. There is enough action and suspense to keep the viewer's interest and also to maintain the pace of the film. There's actually not very much actual violence (strange for a Cage film!), but the story is so well-written that even Cage can pull it off without any gore. The basic story has been reviewed several times, but it's the continuation of a 200 year old treasure hunt. Cage must solve riddle after riddle to find the ultimate clue to the treasure's whereabouts. The clue is finally determined to be on the back of the Declaration of Independence. How Cage figures the clue that leads him there is pretty far-fetched but its the key to the story. If you buy into that, the rest of the riddles are acceptable. There's also a double cross plot headed by the great Sean Bean that provides a lot of the action. The lovely Diane Kruger portrays the poor lady who gets caught up in the middle of all this intrigue. Overall, except for the figuring out of the clue found in the ship (the viewer just has to assume that he's that far above the rest of us in intelligence), a pretty exciting film with a little something for everyone.",7.0,Anonymous,Mystery
A Surprisingly Stunning Gem.,"A descendant (Nicolas Cage) of a family of fortune hunters looks for a treasure chest that was hidden by the Founding Fathers of the new United States after the Revolutionary War. After being double-crossed by European Sean Bean and his men while obtaining another clue in the Arctic, Cage and sidekick Justin Bertha (who nearly steals the show with his quick-witted one-liners) travel to D.C. to obtain the Declaration of Independence. It is believed that there is an invisible map on the back of that historic document. A daring cat and mouse game continues between Cage and Bean as the ultra-hot Diane Kruger (who made almost no impression in the disappointing ""Troy"") gets involved as well. Jon Voight (Cage's skeptical father) also gets thrown in the mix as the movie progresses and he does some of the best work of his career in an endearing and quietly comical role. A brilliant scavenger hunt for clues along the major cities of the East Coast will leave you on the edge of your seat. ""National Treasure"" is a fun trip to the movies. The setup (told by Cage's grandfather, Christopher Plummer) is a bit uneven and I was worried that this was going to be a disaster, but I am glad it was not. The characters are all smart and intelligent and the pace is fast and furious. Wonderful entertainment for the entire family. Surprisingly one of the finer pictures of 2004. 4 stars out of 5.",,Anonymous,Mystery
A national gem,I enjoy my action/adventure movies so finally checked this one out and it was a lot of fun This is basically mission impossible meets Indiana Jones how cool is that?!,9.0,Anonymous,Mystery
Enjoyable but fairly simple adventure,"Legend has it that the founding fathers of the United States of America were in possession of an enormous treasure. This treasure has been passed down through the centuries from great civilization to great civilization by conquest and all sorts of other means, but... it is true or just myth? Ben Gates is one person who believes it to be true and pursues the clues where his father before him has given up.This story is very similar to a Dan Brown novel in its real time development and an interesting mix of historical information into an entertaining plot. While it isn't quite as rich as a book can be, it is still a good clever little adventure. Well paced with some good action scenes that will keep you hooked all the way through.There are some glaring errors in logic and moments of sappiness that bring down what good have been a good thriller, but seeing that this is a family oriented movie it is forgivable. Also the film is pretty much geared for an American audience, but should be a good evening of light entertainment for most movie watchers. 7/10Rated PG for mild violence and action",7.0,Anonymous,Mystery
