title,content,rating,username,genres
A Masterpiece of Animated Cinema,"Director Hayao Miyazaki won a place in my heart after I saw his 2001 film Spirited Away. I'm in no position to claim to be an expert on Miyazaki (I've only seen three of his films), nor am I really a big fan of Japanese animation; but I can safely say that Nausicaä of the Valley of the Wind is one of the very best animated films I have ever seen. The beauty of the animation is stunning, with its close attention to detail--every frame is constructed as a work of art--and the story is enthralling. As with other Miyazaki films, the majority of characters are much more three-dimensional that you typically get in Western animated features, and nearly all of them aren't exactly what they seem to be.Nausicaä, which is based on Miyazaki's gargantuan Manga series, is set in the distant future, after fires destroyed much of the earth. The world is being consumed by the Sea of Decay, a toxic forest that spreads through airborne spores and is protected by giant insects called ohmu. The Valley of the Wind is one of the last pure places on earth, and its Princess, Nausicaä, is a strong-willed yet free-spirited young woman seeking to solve the mystery of the Sea of Decay. A nearby nation, which claims to have harnessed the power that allowed humans to rule the earth a thousand years before, takes over after a plane carrying a mysterious living cargo crashes in the valley. What follows in the film is a struggle, not of good versus evil, but of man versus nature. The story is complex, as is its message, and Miyazaki has ingeniously spun deep complexities into the animated characters: what look like foes may not be, and what look like friends may be a bit more dangerous.The animation is colorful, sweeping, expansive, and beautiful, as are the plot and characters. There is an immediacy to the story that makes a big emotional impact and makes us question how we handle our position in nature. As one of the characters in the film asks, have humans become but a tribe destined to be swallowed by the Sea of Decay? It is ultimately a film about compassion in the face of violence and war, which is what makes it so different from Western features.Disney's recent DVD release is excellent. The film can be watched either in the original Japanese audio or Pixar's dub with Patrick Stewart and Uma Thurman, and there are separate subtitles for each language track--a literal one (hallelujah!) for the Japanese track, and a more closed-captions style set for the English track. The film is so stunning in the Japanese that I have never considered watching the dub, though a fellow film buff has said that it is ""not so bad."" After this film was released in the US in the 1980s in a completely mangled version called Warriors of the Wind, Miyazaki suspended all US rights of all his other films until the distributor would honor the stipulation that they be released without any editing. The fact that Disney, which is known for watering down nearly everything it touches, has done this with such a non-Western-style movie is amazing.",9.0,Anonymous,Animation
The first of the 'canonical' Miyazaki films.,"The first thing to establish is that this is a science fiction epic. It has more in common with 'Dune' or any number of SF novels - Brian Aldiss's 'Hothouse' springs to mind for one- than it does with a typical western animated children's film. Therefore one's expectations should be a little different, and ultimately it was the SF aspect which gave the movie such a high grade in my books. Whereas it didn't have quite the emotional clout that I look for in an animated feature, it was a stupendously told SF story.Technically not a Ghibli film (Miyazaki actually used the studio which did most of 'The Last Unicorn', and which more or less became Ghibli when 'Laputa' was made a couple of years later), 'Nausicaa' is a far-future SF story with a princess/warrior/nature-lover heroine and strong environmental themes. There's also an opposing princess/leader trying to use technology to overcome the apparently hostile environment. If you're starting to think 'Princess Mononoke', you'd be on the right track. In some ways 'Nausicaa' seems like an early stab in the direction of 'Mononoke', though the latter would delve far more into spirituality and mythology, eschewing the SF aspects.There aren't really any major weak points in Nausicaa - unless you count the frustrating 12 drawings per second animation which I constantly complain about in Japanese animation. The backgrounds aren't as amazing and the animation not as good as the last few Ghibli films, but for 1984 it was plenty good enough. I have a fairly trivial complaint in that the character of Kuratowa is drawn in a slightly more 'anime' style, ala Lupin III, whereas all of the other characters are done in a realistic style. He just seems a little out of place, though he's quite delightfully drawn.The really strong points of the movie are its pacing (at least until the very end. Miyazaki was unhappy with the end too), its story telling, which manages to be sophisticated without being impossibly complex, its engrossing background drawings and settings, - and most of all in the amazing attention to detail in the fully realized post-apocalypse SF-fantasy world in which the story is set. Every little thing is worked out and placed such that you find yourself admiring inventions, ideas, structures, creatures, etc which don't draw attention to themselves, but simply exist as part of the backdrop of the movie. Of course 'Nausicaa' had existed for several years as a serialised Manga, so Miyazaki no doubt knew its universe inside-out.There's a very clever plot, which I won't give away, but which involves humanity's relationship with the Earth and nature.It's the sort of movie which you can get thoroughly caught up in, and which will stand repeated viewings. It really is a film which is perfectly pitched at both a young and an adult audience. As Miyazaki's second feature film it is also, rightly or wrongly, usually considered the start of Studio Ghibli, and is arguably worth watching for historical reasons, too.Not the very best from Miyazaki or Ghibli, but an auspicious beginning.PS, in case you didn't know, there was a heavily butchered US version floating around called 'Warriors of the Wind', which is universally reviled as a disgrace. Just to make it confusing, some of the Japanese copies are also called 'Warriors of the Wind'. The thing to look for is the 116 minute running length. If you get that, you've got the right one. At the moment the only way you can get the film is in Japanese dialog with English subtitles. Personally I'd go ahead and do that, rather than wait while Disney squats on the US distribution rights (Amazon gives it a release date of 2010 for God's sake). You can always replace it later.Good stuff.",8.0,Anonymous,Animation
'The atmosphere is saturated with anger'...,"... and it's only got angrier since this epic critique of the damage and destruction the human race affects against the flora and fauna of the place we call home, as well as upon itself. Visionary, prophetic, disturbing and heartbreaking, often concurrently, a testament to future generations that we were fully aware of our impact and neglect, that we chose to do very little about it and that what we did do was long after the horse, the fish, the insects (especially the bees) had bolted.",8.0,Anonymous,Animation
"If Miyazaki had made that film only, his legacy would have been the same...","The name of Nausicaä belongs to Greek mythology; she was the Princess who saved Ulysses from drowning. And the ""Valley of the Winds"" was loosely inspired from the tragedy of Minimata Bay and the way it maintained its ecosystem viable despite the pollution. ""Nausicaä of the Valley of the Winds"" finds the perfect balance between the theme of nature always finding its way and the dramatic struggle of a heroine saving humanity from ""drowning"" in belligerent wickedness.I'm mentioning Minimata but the tragedy of Fukushima could have inspired a similar intuition that technological advances could only lead to the downfall of humanity inasmuch as men continue to display the same carelessness and arrogance. In his ""Nausicaä"", Hayao Miyazaki doesn't warn us but rather confronts us to a plausible future, a future with a few survivors driven to the last corners of Earth where wind and water prevented a toxic jungle name Fukaï from spreading.The film, all in visual splendor, displays the usual Sci-fi and Fantasy archetypes but they don't distract from the environmentalist and pacifist message. We accept them in the sense that the story is set one thousand years after the apocalypse and we expect technology to have produced jet-propelled gliders and flying vessels. But the film also has a Renaissance look à la ""Princess Mononoke"", it's not an artistic license, the privileged people of the Valley represent a wiser side of humanity that got back to the roots, acknowledging the eminence of nature, a renaissance indeed.They live in an oasis-like area where the air is breathable, outside; they must wear a gas mask, accentuating the dystopian look even within a natural setting. The hostility of nature is symbolized by giant mutant insects and the Ohm, armored trilobite-like insects whose eyes turn to an ominous red whenever they feel threatened. But Miyazaki never lets us get the wrong idea about these Ohm, understand they're not the most life-threatening creatures out there.There's a key scene right in the beginning where a little fox-like creature bites Nausicaä, she patiently keeps her finger until its frenzy fades out and then the animal licks her wound. This moment is pivotal because it highlights the real tragedy that caused men's downfall, not violent actions but immediate assumptions of violence causing bad reactions. Only Nausicaä is capable of showing mercy and empathy toward any living creature, she challenges all the common conceptions and even tries to understand the place she lives in, which is the epitome of wisdom.From the spores taken during regular expedition, she discovers in her laboratory that plants are capable of producing air, later in the film that some jungle plants purify the polluted topsoil and produce clean water. In other words, life always finds a way but humans can't see it. Nausicaä becomes the messianic character that will open the eyes of humanity, and as truth can be stranger than fiction, she's also a pivotal moment in Miyazaki's career, as the first film to have emerged from the fertile soil of his own imagination.Nausicaä foreshadows all the elements that will define his work: the independent free-spirited heroine, the aerial settings and the environmental and anti-war messages, and more than that, the revolutionary notion that you don't need villains to make a story. Everyone is imperfect and fallible, even the most violent attacks are meant as defensive moves or precautions. The film contains a lot of action, lethal explosions and battles, people die by the sword, including Nausicaä's but Miyazaki couldn't have been more pacifists, every detail says in subtext that violence isn't the answer.Indeed, how can the cause of the trouble ever be the solution? Miyazaki, a master storyteller, delivers crucial information even in the most unnoticeable moments, even the opening credits show through Roman mosaic and medieval tapestry the fate of the modern world. Seven giants launching immense fire blasts (metaphor for nuclear power?) into modern buildings, it's just as if Hiroshima was depicted like the Pompeii eruption. But what is the tragedy exactly, that history taught men a lesson or that men didn't learn it?Nausicaä is set at a time that looks like a second chance but people are still fighting for good or bad reasons, from a sword master and father-figure named Lord Yupa, a young Pejite interceptor who respects Nausicaä's actions and the Tolmekian queen who (like Lady Eboshi from ""Mononoke"") is perhaps the tumultuous counterpart to Nausicaä, mutilated by the creatures, she believes in violence as the language of the force, illustrating its dangerously communicative effect, the never-ending spiral that killed the world or that might lead to a third worldwide conflict.And in the midst of nihilistic violence and desolation, Nausicca emerges as a beautifully inspirational heroine. There's a hypnotic flashback (with a so-catchy playful tone) where Nausicaä's father kills a baby Ohm, on the basis that human and insects can't live together. The whole conviction of Nausicaä is that every creature has its place on Earth; it's not just about empathy but the unshakable faith on Nature's equilibrium. It is very significant that the most beautiful images from the film, all in golden yellow, are provided by the Ohm's tentacles, weren't they supposed to be the ugly monsters?Yet, at the time of its release, the film was badly edited for foreign audiences and lost into translation to become some Manga adventure in the air, and the Ohm were indeed hostile creatures. It's just as if Miyazaki was ahead of his time and it would take one decade and half before people would come back to their senses and realize that this isn't ""Flash Gordon"". Nausicaä is about conviction and goodness, pacifism and environmentalism deprived from any political innuendo.Miyazaki drew the original Manga so the film could be made, showcasing as much confidence as his heroine. In a way, Miyazaki was the Nausicaä of animation, a man with a vision, spirit and guts.",10.0,Anonymous,Animation
"A masterpiece, if you can find the real version","First off, let me state emphatically that I'm referring to the REAL version of the film, not the pathetic crippled creature distributed as ""Warriors of the Wind"" on video. Although I must admit that I first fell in love with the movie in that form, I have now seen the full subtitled version, and I place a hideous curse on those who hacked over 20 minutes from its running time.Although the incredible ""Princess Mononoke"" later upstaged this early work in terms of art and detail, in many ways I still prefer ""Nausicaa"". Its imaginitive and well-conceived world puts me in mind of Dune with its feuding factions, its giant creatures, and its strong ecological message. Even with a rather long running time, the story moves very briskly (boiled down as it was from a very lengthy manga series). The music deserves special mention, as well, as it is a large step up from the electronic pop stylings of most anime.If you can get your hands on a copy of the original version, you'll find it more than worth the effort.",10.0,Anonymous,Animation
"loyalty, bravery, and adventure after an apocalypse","This was the film which introduced me (and many others in the 1980s) to Miyazake, and even in the form of a poor quality VHS on an ordinary TV, it was amazing.  By 1984 Miyazake was already well known in Japan for his anime work in film, TV, and for the comic strip that this film was based upon.In this early full length film he really got to spread his wings.  There are fantastic aerial sequences like the jet-glider evading the flying snakes, which (this predates computed 3D, and aerial sequences are present in most of his work) are just a tour-de-force of imagination and geometry.  And yet this is a world that feels very organic, not geometric, with a cast of characters drawn in a unique cross between hobo, samurai, and pirate - totally blending in to an imaginary post apocalyptic world where humans scratch out a precarious life in villages hidden in the few green valleys left in a world of desert, where the only remaining resources are wind, sunlight, and humans.But it is also a world of enormous dangers, including airborne bandits and the strange, mutated creatures that have evolved to control the barren and scarred earth.  When our heroine's valley home is attacked by raiders, she embarks on an adventure against them that will lead her, and some unlikely allies found along the way, to an eventual confrontation combining warring armies of bandits, ancient machines of infernal destruction, and the implacable, mysterious, threatening beasts which roam the badlands.  The pace is swashbuckling - if this were a book, it would be one you could not stop reading.It has the feel of the original comic books, but plays out wonderfully on the screen - you don't need to know the comics.  The style is very unique. Even though it is very stylized (no photorealism here), you immediately get the feeling of the world and the characters.  The story works for children of all ages (mine both first saw this before they were 6, and have memorized it long since), and combined with the wonderful visuals it is a treat for adults too.  As a genre I would classify it as soft (no attempt at scientific correctness) sci-fi rather than fantasy, though some might think it more a work of fantasy.  It is fascinating partly because its roots in style and action are unexpected for a western viewer.  Japanese manga and stories had evolved in their own way, and although this is early Miyazake, it is already a product of that mature and distinct art form.As always with Miyazake - if you haven't seen his work, well you haven't seen anything like it, and it is time you did.",10.0,Anonymous,Animation
THE film to challenge people's assumptions about anime.,"I saw the dubbed version years ago and, even in that form, was taken by the imaginative visuals, interesting storyline, and worthwhile characters. I was also impressed by the fact the lead character was a strong young woman, who was a ""warrior"" yet whose greatest strength lay in her compassion (rather than striving to become a female Rambo.)I tracked down a copy of the VHS and sent it to my young nieces, pleased with a ""kid's"" movie which provided a positive role model without being dumb. The movie captivated them as well -- they wore the tape out, and it started them on a lifelong interest in anime. It was they who sent me the uncut subtitled version years later, completing the circle.Nausicaa is decent science fiction, often breath-taking animation, and unusually *human* characters, and every time I see it I am glad I returned. Everyone should give it a chance, especially those who have written off anime as ""round eyed kids and lots of explosions"".",,Anonymous,Animation
The film of all times.,"The film of all times. My personal favorite of all films, anime and non-anime. It has it all, a great, involving story that holds many important lessons of life. Interesting characters. Action, adventure, and above all feeling, the mood just sucks me in and holds on till the very end and beyond. The music is epic, and the animation is top class. The setting is a futuristic kind of midevil inspired fantasy... if that says anything... but anyway it feels very real although fantastic and apeals to me. This movie is from the very heart of Hayao Miyazaki, the master of anime... Its so sad that the dubbed version was so butchered, it was the first version I saw(actualy the swedish dubbing of the american dubbing(sigh)) and I thaught it was great, but now that I have seen the original, a new door has opened and revealed a true masterpiece. I recomend this film to all and everyone. Average 10(10)",10.0,Anonymous,Animation
Wonderful fantasy with ecologist significance by the Japanese master Hayao Miyazaki,"Riveting and marvellous film by the genius cartoonist Hayao Miyazaki , it's a classic cartoon movie set many years from now , a dangerous, desolate post-industrial world of the future where rules the strongest law . This magnificent cartoon movie concerns about Nausicaa legend, a young princess and heiress to the throne living in the far future who attempts to understand and feels it is wrong to destroy the toxic jungle . This fascinating and haunting adventure set in the post-apocalyptic wasteland world by the great Hayao Miyazaki and happens upon a thousand years after a nuclear war left the Earth as an aftermath , with the barren and stark lands . Human race has destroyed the Earth in the ""Seven Days of Fire"". Now, there are small pockets of humans that survive . Warrior/pacifist Princess Nausicaä desperately fights to avoid two warring countries from destroying themselves and their dying . The Valley of the Wind, a small community commanded by King Jil battles for survival as the kingdom attempts to defend the Valley from gigantic Ohm bugs and toxic plants that live beyond the Valley in the Sea of Decay . The Valley is invaded by the Tolmekian warriors who scheme to destroy the Sea of Decay by utilizing the greatest monsters that caused the holocaust. Nausicaa goes after the pirates, severely damaging their aircraft but she is gunned down . After Nausicaä is caught , Nausicaä breaks out and goes beneath the Sea of Decay where she learns the toxic plants are not poisoning the air and are purifying the world by draining the air of radiation and toxins . Later on , Nausicaa join forces with the creatures Ohms and makes a friend ; both of them will confront on the air taking place overwhelming chases , pursuits and dogfighting on the skies and set out to the Valley and foil the Tolmekians schemes of unleashing the Great Monster Warrior.This attractive film is plenty of fantasy , adventures, spectacular dogfighting and with agreeable message . Masterfully made by Miyazaki who also directed other excellent cartoon movies as ¨ Ponyo , Howl's moving castle, Chihiro, Nicky , Porco Rosso , My neighbor Tororo , Castle in the sky ¨ and many others .The picture is narrated with sensibility and sense of wonder and being quite entertaining , it is apt for small kids but no contains graphic violence as ¨Monokome-Hime¨ and similarly contains an ecologist message. The film packs lively situations , hilarious scenes , spectacular images and culminating in an impressive confrontation with breathtaking ending . Note that the foreign release titled Warriors of the Wind is an adaptation well restored and remastered from television series and released in cinemas , being entirely kiddiefied rendition that edits the original episodes heavily, thus creating a completely diverse tale . All roles have multiple dimensions and display really astonishing humanity . Never remotely didactic , the movie is ultimately an enjoyable fantasy that touches brief thoughtful issues dealing with ethical , ecological and juvenile psychological themes . The drawings have a special ancient touch that conveys the forgotten wisdom of the past that could really affect the way you interact with others and with the ambient . This stunning film with appropriate runtime , converted the first of any kind to get a big hit in Japan .The motion picture was splendidly realized by Hayao Miyazaki and accompanied with sensitive music score composed by his usual musician, Joe Hisaishi. Miyazaki wasn't yet a culture hero in Japan when made this animated mythic adventure ; later on , he directed ¨Princess Monokone¨converted the first of any kind to gross over the box office in Japan and all over the world , it raised him to a status approaching living national treasure . Miyazaki also directed other excellent cartoon movies as ¨Lupin¨ (1978) , Castle of Cagliostro¨ (1979) , ¨Howl's moving castle¨ , ¨Laputa castle of the sky¨ ,¨Porco Rosso¨ , ¨Kiki's delivery service¨, ¨Chihiro¨ or ¨Spirited away¨: the highest grossing Japanese film ever , and the cult movie : ¨My neighbour Tororo¨ . Sensational and fantastic tale, it's a masterpiece cartoon movie , a great animation with an enjoyable meaning . One of a kind, if you enjoy interesting stories and have a soft spot for deep characters and well planed scenarios, you are in for a great one. Rating : Better that average , worthwhile watching ; advisable to see for children and adults who appeal the gorgeous drawings .",7.0,Anonymous,Animation
Story Unable To Match Interesting Visuals,"Visually - thumbs up; story - thumbs down.The animated effort from the famous director-writer Hayao Miyazaki features, as usual for him, very nice animation. I especially enjoyed the beautiful colors in the landscapes, the interesting windmills, World War II bombers, strange insect-monsters and a lot more.The problem is that it's too long and, despite the decent characters and colorful animation, 116 minutes of this so-so story is too much. Combine it with a story that can be convoluted at times, way too environmentally preachy at other times (tree huggers would like this storyline - literally) and I can see where viewers' minds would begin to wander or get discouraged after about 45 minutes.Nausicala is a cute little heroine, but bland, someone I just couldn't relate to, and an unnecessarily unclad for a preadolscent. The main villain, ""Princess Kushana,"" didn't excited me much, either. I couldn't get involved enough with the characters to sit through a two-hour animated movie and be entertained as I hoped to be.More good and bad: I liked the main voices, those of Alison Lohman and Patrick Stewart. A little humor would have helped, but there is none in here. (Exteme environmentalists aren't a bunch of laughs.) This should be a lot of fun to watch, but I didn't find it such.",6.0,Anonymous,Animation
