title,content,rating,username,genres
An Unlikely Film of Soul...,"In this age of super-broad comedies and sexed-up teen films, there comes Nick and Norah's Infinite Playlist. It's all-too-easy to groan at the thought of sitting down to a high school film these days, yet 'Nick & Norah' attempts to make you rethink that. It tries to achieve that so rare of an achievement; it tries to make a genuine and honest teen comedy.It succeeds.Michael Cera, that king of adorable dorkiness, stars as Nick, the sole straight member of a queer-rock band. Kat Dennings plays Norah, a rocking rich chick who is just as unattracted to teenage pettiness as the rest of us are. These two meet through a random encounter and together set out to try and find the secret show of the aptly titled rock band Where's Fluffy? They cruise the town like grown adults, yet underneath both are incredibly naive. They argue, fight, flirt, and, yes, fall in love; what makes the film great is how mature and honest a relationship they create. We know from the beginning that it is the destiny of Nick and Norah to get together, yet when they do it is nothing short of soulful. With a wonderfully witty script along for the ride, it's apparent that this is much more than your average teenage comedy. 7/10 stars!Jay Addison",7.0,Anonymous,Music
Sweet and silly fun with an indie rock backdrop,"I was pleasantly surprised by this movie. It's not as raunchy as its teen comedy predecessors, yet not as cloying as the usual chick flick. Nick and Norah's Infinite Playlist manages to strike up a nice balance between the two with a dash of hipster thrown in there. However don't let the title fool you. It isn't all about the music!The movie is very character-driven and, fortunately, the cast was strong enough to carry it. Michael Cera and Kat Dennings make one quirky and fun on screen pair. The supporting cast members also shine in their roles. Ari Graynor, for instance, plays one of the most ridiculously likable drunks I've ever seen. The performances delivered by this young cast are really what make this movie.Overall I enjoyed what I saw and can't wait for the DVD release. You don't have to think too hard about this one. It's a quick glimpse into the NYC music scene, light on the drama, but romantic and funny where it needs to be.Ah, and, for the record, you don't have to be into the hipster subculture to appreciate this movie. It's definitely an accessible story, whether you've heard of Vampire Weekend or not.",7.0,Anonymous,Music
Sweet Tunes,"On one particular night in New York City, an elusive band by the name of Where's Fluffy? have announced a secret concert. The word spreads through the city's underground punk scene faster than it can go out of style and before long, it reaches Nick and Norah. Nick and Norah don't know each other when this news reaches their ears but before the end of the night, they will each find something infinitely more important than Fluffy. NICK AND NORAH'S INFINITE PLAYLIST is a contemporary romantic comedy that sets itself in an entirely unconventional place and time (can you think of another way to describe a straight romance in the queer punk underground?), but presents itself in a sometimes far too conventional fashion. While it can at times be too cool for school, it is the roughness around its edges that give it an unexpected and genuine warmth. Like any finely balanced playlist, it works its way into your head and your soul.Nick (Michael Cera) has been down as of late. It seems his fragile heart has been trampled by Tris (Alexis Dziena), a girl so clearly wrong for him but whose physical beauty is apparently capable of diverting people from noticing her lack of a soul. Norah (Kat Dennings) has some trust issues as she naturally assumes that any man interested in her is likely more interested in her connections (her dad is an enormously successful record executive). As a result, both Nick and Norah have withdrawn  not externally as they both still function amongst the other humans but they do so at arm's length. Like sleeping beauties though, they are both awoken from their waking comas by a shared impromptu kiss. Suddenly, worlds they never knew existed have become possibilities and an ordinary evening becomes an adventure. While the twists the evening takes are at times unrealistic, they do give the night and the film a sense of spontaneity that makes the viewer believe that anything can happen.Peter Sollett is a delicate director. His first feature, RAISING VISTOR VARGAS, in which a group of Hispanic youths in New York's lower east side figure out how to stop playing and how to be themselves instead, was a singular revelation. He created a strong sense of hesitation in face of the unknown and a desire to be something more. He has an ease with creating simple, real spaces that foster intimacy and humble his characters and Nick and Norah are no exception to his treatment. Outside of these two though, the remaining ensemble are little more than comic relief and functional plot progression pieces. They can come across as occasionally transparent and one-dimensional but thankfully never enough to distract from the delightful romance budding at the center of all the chaos. Cera proves his versatility once again by showing that there are hundreds of facets to being an awkward teenager, that awkwardness does not define you but is rather just how who you are can come across. Dennings is his perfect counterpoint; she is sharp and strong, a worthy adversary, but frightened underneath it all, an ideal match. The two are so strongly suited that they transform the sometimes too facile script into something much more mature and meaningful.NICK AND NORAH'S INFINITE PLAYLIST made me want to fall in love. It also made me laugh and swoon, delight in the magic of music and believe in the transformative properties of one crazy night. It made me long to be in New York City. It made me wish that I was that young again and that believing in possibilities was that easy to do. It may not be perfect but it is almost better that way, more real. There is something so genuine at the heart of this film that makes it almost impossible not to want for Nick and Norah to realize their potential  a potential that is just as infinite as the playlist they are about to create together.",8.0,Anonymous,Music
Nick and Norah's Passionate Playlist,"'Nick and Norah's Infinite Playlist' turned out to be a sweet and cool surprise. I was just expecting another usual teen flick and while the main storyline does follow the formula, its the treatment that appealed. The director really shows that even though there is a physical attraction between the two leads, they also have characteristics that repel each other. But, what really brings these two people closer is their passionate liking for music. Both have the same taste and the best parts of the films are the sequences where the two talk about their favourite songs and singers.The movie pretty much takes place during an entire night and Sollett's portrayal of night in the city is amusing and exciting. Lighting is cleverly used and the yellow tinted colour adds more excitement into the night. With the exception of that Spice Girls track, I like the soundtrack.Michael Cera and Kat Dennings suit their parts wonderfully. They maintain a good chemistry (even though their love scene looks a little awkward). Aaron Yu, Rafi Gavron and Jonathan Wright provide some fun comic relief as Nick's friends/bandmembers. Ari Graynor is hilarious.I like the title of this movie and how the movie stays true to it. It's a charming little film that is perhaps best enjoyed at night.",,Anonymous,Music
Surprisingly funny,"I had a small feeling about Nick and Norah's Infinite Playlist that it was going to be a decent hit, with the popularity of Juno, not to compare, but this movie had similarities. This movie has my main pet peeve with the younger generation of today, the people who are the ""I heard this band before you did so I have better taste than you do"" type of mentality. The independent rock music movies are just not my thing, so I wasn't too excited to see this movie, but when some friends invited me to go see it with them, I had low expectations and actually ended up having a great time watching Nick and Norah's Infinite Playlist. It's honestly one of the better comedies that is out in theaters right now, although I have to admit I feel so dirty watching all these horny teenage girls, I'm a girl, and it just made me feel uncomfortable, this is how teenagers act? Scary; anyways, the story is really fun and gives you a great time laughing.Nick is having a hard time after his rough break up with super slutty Tris, he continues to mix CD's for her that her fellow student, Norah listens too and enjoys it. By chance Norah meets Nick not knowing that it's Tris's ex and says that he's her boyfriend to show Tris that she's no prude. But when Norah learns that Nick is the ex, Nick also won't shut up about Tris, but they find out throughout the night that maybe they're musical soul mates and can really dig each other's vibe. But in the mean time with their crazy friends, they try to find their favorite band that is hidden in New York.Nick and Norah's Infinite Playlist is definitely worth the look, I would say that it's worth full price. The only thing I have a problem with is our leading man, Michael Cera, this guy is a nice actor, but he hasn't really expanded himself into different roles, he's been playing the same character since Superbad to be honest. But I'm seeing Kat Dennings more and more, I'm enjoying her presence on screen, she's very lovely and has potential. But the person who definitely stole the show was Norah's drunk friend, Caroline played by Ari Graynor, she was just beyond hilarious and stole all the laughs. Nick and Norah's Infinite Playlist is a great new teen comedy, though I really hope teenagers don't act like this... if they do... oh, I'm praying that our future is going to be alright.7/10",7.0,Anonymous,Music
Remember that One Day You Were a Teenager and You May Enjoy this Teen Romance,"In New Jersey, the straight high school student Nick (Michael Cera) plays guitar in the gay band Jerk Offs with his gay friends Thom (Aaron Yoo) and Dev (Rafi Gavron). Nick misses his sweetheart, the bitch Tris (Alexis Dziena) that despises the CDs he gives to her. The teenager Norah (Kat Dennings) that studies in the Sacred Heart school with her best friend Caroline (Ari Graynor) and Tris, has never had a boyfriend and does not know Nick but loves his musical taste, and collects the CDs that Tris throws in the garbage.In the weekend, Norah and Caroline hang around to see the concert of the Where's Fluffy band and they meet Tris dating Gary (Zachary Booth). Meanwhile, Nick drives his old Yugo to meet Thom, Dev and his boyfriend Lethario (Jonathan B. Wright) and play in the same club where Norah, Caroline and Tris are. Tris gibes the lonely Norah and she asks Nick to be her boyfriend for five minutes without knowing that he was the ex to Tris.When the alcoholic Caroline is completely wasted, Thom and Dev offer to take her back home and ask Norah to date the brokenhearted Nick. Along the night, they learn that they are soul mates.""Nick and Norah's Infinite Playlist"" is a typical teen romance for teens. However, it is possible to an older guy like me enjoy this forgettable film. It is just necessary to remember that one day you were a teenager and you may enjoy this teen romance. The characters are very charismatic and it is only hard to believe that a pretty and cool girl like Kat Dennings does not have a boyfriend. My vote is six.Title (Brazil): ""Nick & Norah - Uma Noite de Amor e Música"" (""Nick & Norah – A Night of Love and Song"")",6.0,Anonymous,Music
could use some clever cutting,"Michael Cera reprises a role he does best (a good-natured dork) as high school student Nick O'Leary, the only straight guy in the mostly gay-punk group The Jerk Offs. Nick makes 'closure' CD soundtracks (up to Vol. 12!) for his bitchy ex-girlfriend Tris (Alexis Dziena, another stereotype for most annoying girl ever--originally hated her in Fool's Gold). Nick meets Tris' best friend Norah Silverberg (Kat Dennings), a mysterious, brooding type, when she asks him to play her boyfriend for a few minutes (another old trick in the book).Just like the characters' purported awkward age, Nick and Norah's Infinite Playlist was painfully awkward in its acting, story and editing. There were a few highlights and seriously funny moments, but they are a sad sprinkling. Ari Graynor's antics as Caroline, Norah's drunk and ditzy friend, seemed genuine but it wasn't established how and why they remain friends. Some of the dialogue is hilarious but you are rewarded by these handouts only if you're patient enough not to sleep through this infinitely long-drawn out teen flick.Oh, the soundtrack was perfectly ambient but not particularly memorable (which is the saddest part!), however, I thought the escalator kissing scene was really sweet.",6.0,Anonymous,Music
It's about the atmosphere...,"All right. Listen up out there. You could say this is Juno without the baby...or almost as useless and watered down as a straight to DVD movie...but you would be missing the point--not that every movie has to have a point.N&N is not trying to sell something or be something--it's not even trying to be great...because most love stories that try to be great fail. When you see N&N (and if you're in the mood for a lighthearted enjoyable movie, you should), don't go with an expectation of grandeur or even for the entire thing to be great. Alexis Diziena is as useless in this film as she is anorexic and whorish--her part is almost explicitly sexual. And there are so many subplots that their lives appear at times to be exaggerated. What matters almost seems to be camouflaged by what should be secondary.The movie succeeds in a number of understated ways, though. Ari Graynor's part is by far the funniest character of the bunch and Ari plays the part extremely well. The gay band Michael Cera is a member of adds a quirky afterthought to his character's back story. And what's most important--the characters Nick and Norah act like slightly more interesting versions of normal people. They have their flaws and their disagreements but they're capable of finding the beauty in each other and their story along the way.Movies should be about the creation and expansion of a spark of magic--not about giving you exactly what you expect or want. The perfection of the movie lives in its imperfections. The love is in the relationships that are real and what is fake gets left behind in a sketchy area near 10th street (that's not a spoiler). It amplifies grace with its soundtrack and hope with its random culmination of peculiar events over a single-night.So just let the infinite playlist play and enjoy it already.",9.0,Anonymous,Music
Cute but forgettable,"Michael Cera plays Nick, a rock musician who has recently been dumped by his girlfriend (Alexis Dziena). The rest of his band forces him into the arms of a beautiful girl, Norah (Kat Dennings) who has showed up to their show. The film takes place over one night in New York City, and we watch the two kids fall for each other while some hip music plays over the soundtrack. The two leads are quite charming. We've seen Cera do this same role before, so Dennings is the real surprise here. She's stunning, and this movie's sure to make her a big star. The casting is quite off in this movie, though. It's the kind of movie where Norah is frequently chastised for being a nerd and ugly and sexually inexperienced, but she never comes off as such. Dziena comes off as far too sexy to have been dating Cera in any life. Jay Baruchel shows up as Norah's on-again-off-again boyfriend, and, if you're familiar with his career anyway, he's way too dorky and likable to be playing any sort of villain. Or even anyone cool. I did like the three gay guys who comprised the rest of Cera's band. Aaron Yoo is quite good. He was also in the underrated film Rocket Science last year.",6.0,Anonymous,Music
A fun romp through New York's night-time music scene.,"For years, teenagers have connected with one another through music and the discovery of new and different bands. Even though technology has allowed music to be more widespread and portable, there is still the thrill of late-night adventures seeking live performances from favourite bands. In Peter Sollett's Nick and Norah's Infinite Playlist, he brings this out on screen in a fun manner that shows you do not necessarily need crude humour or death-defying encounters to make a night out with friends an interesting and worth telling story. Throughout the film, the audience becomes more enriched by the characters and their ideas. Nick and Norah could have easily become a smug ""teenagers rule over all"" tale like this year's Charlie Bartlett, but is instead is a sweet romance between two individuals that most people can easily relate to.Nick (Michael Cera) is the guitarist for a queercore band with his two friends Dev and Thom (Rafi Gavron and Aaron Yoo). He is currently grieving over the separation between his former girlfriend Tris (Alexis Dziena), but decides to join his friends for a performance out in New York City. In an act of desperation, he encounters Norah (Kat Dennings), who asks Nick to be his boyfriend for five minutes. After her drunken friend Caroline (Ari Graynor) runs off into the city, Nick and Norah along with his friends scour the city in search of her. Meanwhile, Tris is decides to go after Nick to find out if it truly is over between them.One of the key successes of this film lies with the ensemble cast of talented young actors. Adults are barely featured in this film, as the teenage characters are given the overall spotlight here and Peter Sollett has hired some very good actors to play these parts. Michael Cera is still playing the awkward individual he has been doing since Arrested Development, but he still grows into the part well, as his character is not quite as nervous as previous roles. He proves to be likable and relatable in the part and his chemistry with the other actors comes off very well. Kat Dennings surpasses him, though, giving Norah a sarcastic wit and coming off as very easy to relate to. The way Nick and Norah progress throughout the film is handled very well by Cera and Dennings. Ari Graynor deserves some acclaim for her wacky, but still nuanced performance as Caroline. She is given the bulk of ""stunts"" in this film, particularly when sharing the screen with a piece of gum that ends up becoming a separate character by itself. Aaron Yoo, Rafi Gavron and Jonathan B Wright allow their best friend roles to become more than just simple stereotypes as they prove just as likable as the leads. Jay Baruchel also does a fine job in a small role that is definitely very far from the meek actor he played in last summer's Tropic Thunder.Credit should also go to first-time screenwriter Lorene Scafaria, adapting the original source material by Rachel Cohn and David Levithan. She writes a funny and intelligent script with well-developed characters who evolve effectively and realistically as the film goes on. She also does not go the Adventures in Babysitting route by showing New York after hours as a grungy underworld, instead opting for a more light-weight approach to the material. She understands the independent musical scene of the Big Apple and she portrays it effectively throughout the course of the film. Director Peter Sollett and Cinematographer Tom Richmond also do well in lighting the city and allowing it to breathe. Even though the large majority of Nick and Norah takes place at night, there is still plenty of light that shines through, particularly in showing the vast culture. Legendary locations like the New Jersey Turnpike, Times Square and Pennsylvania Station also make appearances to give the film an even more New York feel.Nick and Norah's Infinite Playlist simply wants to be a fun, breezy ride through New York's music scene and the audience is happy to go along with it. The characters are easy to relate to, the writing is intelligent and the direction is solid. Though there have been plenty of ""one night in the city"" films, Nick and Norah's Infinite Playlist manages to stay fresh and original and unique through its running time. Overall, this is definitely one to watch at the evening showing with the buddies.",8.0,Anonymous,Music
