title,content,rating,username,genres
"This is yet another romantic comedy with a cookie-cutter plot, but it will make you laugh!","I had very low expectations for No Strings Attached. The couple would make the decision to use each, one would fall for the other, and in the end they would live happily ever after. I was correct about the overall story line, but, impressively, the writers found a way the mix in enough comedy to keep you entertained for the full 110 minutes. On top of that, there is enough cutsie romance to make for the perfect date night movie. Comedy to make you laugh and romance to cheer up any romantic girl.... sounds like a romantic comedy to me!Natalie Portman shows her range of acting abilities by having two extremely different films in theaters at the same time. I was thoroughly impressed with her ability to drop the comedic one liners and portray a unaffectionate woman who's fallen in love realistically. Comparing this to her award-winning role in Black Swan made her abilities even more impressive. I cannot say the same for Ashton Kutcher. He has a great face and is great at comedic acting. However, each serious, romantic scene he was in became unrealistic and uncomfortable.Overall, this is the perfect date night or girls night movie. It has some great comedic moments and brings in the romance that most ladies love to see. If you are looking for a light-hearted romantic comedy, this is a great choice.See more reviews at http://burningreview.blogspot.com/",6.0,Anonymous,Romance
a raunchy rom-com from the female perspective = interesting,"What is most fascinating about this movie is that it's a raunchy rom-com from the female perspective. Knowing that the film was written by a woman prior to my viewing it made the nuances jump out to me. It's those nuances and that perspective that make the film enjoyable. No one scene or moment merits more then a minor chuckle but the characters themselves expand and grow as the story unfolds. It's hard to care about the leads at first because there's no set up or real establishment of character. Then, they kind of grow on you even though neither really rang true for me in any real world sense. Natalie Portman is great as many would expect but Ashton Kutcher did a fine job as well. I've seen others criticizing his performance but I think that's based on a pre-determined hatred of him rather than on his work. The supporting characters were VERY weak and useless save for the father character played by the wonderful Kevin Kline. Overall, better than I was expecting it to be.",,Anonymous,Romance
A very funny chick-flick that both men and women will enjoy.  Nothing new but still very entertaining. I say B+,"Can you really ever be just ""friends with benefits""? After a drunken adventure ends with Adam (Kutcher) naked on Emma's (Portman) couch they decide to strike a deal. When Adam wants something more the problems begin. This is a chick flick that many guys will also enjoy. A little more girlie then I was expecting, but still a really, really funny movie. The movie is pretty raunchy in some parts and you will find it difficult not to laugh. If you are looking for a chick flick that your boyfriend/husband will watch with you this is a great choice. If you are looking for a movie for your girlfriend/wife that will not be two hours of torture for you this is a great choice. Very, very funny for both sexes, enough romance for the ladies, and enough comedy for the men. A perfect movie for date night. A little predictable, but most romantic comedies are. I give it a B+.Would I watch again? - I actually would.*Also try - Going The Distance & Love And Other Drugs",7.0,Anonymous,Romance
A Good Movie! Natalie Portman was GREAT!,"OK... i was NOT expecting much from this movie but i was really WOW at the end!!!Yes, the movie was alright for some but I LOVED IT!!! As a Natalie Portman FAN, i was really worried about her doing a full-on Comedy role... from her past films like Leon and the Star Wars movies (Her role: Padme Amidala has a SAD ending...) Closer, V for Vendetta, Brothers... her roles from these movies were sad and sweet and her recent film Black Swan - she was super-powerful and gave an Oscar Winning role as Nina!!! I was so happy after watching No Strings Attached - Natalie Portman was super, super FUNNY - she did an amazing job!!! There are scenes where Natalie Portman is over-the-top - but i think she was great... the amount of ''BAD WORDS'' in the movie is WOW... loads of it!!!The movie overall was good - Ashton Kutcher was alright & funny..... did an OK/ good job! The side-actors were average and the soundtracks were good...Anyways, No Strings Attached is a must-watch movie!My review: 7/10",7.0,Anonymous,Romance
Cute!,"I gave this movie an 8/10 simply because it will keep you laughing the majority of the time. Sure the ending is predictable and a few of the background actors deliver lackluster performances but Natalie Portman and Ashton Kutcher fit very nicely together as the main characters, you could really tell they had fun working together.I see a lot of other reviews criticizing Portman for ""stooping to this level"" and I'm not too sure why, maybe they didn't go see it in the right frame of mind...this movie is what it is, a romantic comedy about two friends who decide to take their relationship to the next level without having any of the commitments and ""duties"" of being an actual couple, that's what the trailers showed it as, that's what the actors described it as, nothing was a surprise...she did a cute, funny romantic comedy, it's not like she dove head first into the adult film industry.Will this movie be nominated for awards, probably, will it win, probably not, but overall it was cute, it was funny, and I left the theater feeling like the $10 I paid for a ticket was well worth it.",8.0,Anonymous,Romance
"Silly and Incoherent Plot, but Natalie Portman and Ashton Kutcher Make the Film Worth","Fifteen years ago, Adam Franklin (Ashton Kutcher) and Emma Kurtzman (Natalie Portman) meet each other in a colony and every now and then they stumble on each other.In the present days, Emma is an MIT graduated doctor and Adam is the stage assistant of a TV musical show and aspirant screenplay writer. When Adam visits his father Alvin (Kevin Kline), who is a successful TV producer, and finds that his ex-girlfriend Vanessa (Ophelia Lovibond) has moved to Alvin's house and is dating him, he gets totally drunk and calls every girl in his cell phone's contact list. On the next morning, he wakes up at Emma's apartment and they have quick sex. Emma does not want to have any emotional involvement and proposes a relationship driven by sex only without romance or commitment. But love is not possible to be rationalized and the couple is affected by their behavior.""No Strings Attached"" is a romantic comedy with a silly and incoherent plot since the motives for the behavior of Emma are not well developed and she becomes an inconsistent lead character. The story is visibly inspired on the adorable ""When Harry Met Sally"", with elements of Glee and spiced with sex.However, the film is cute and the chemistry between the lovely Natalie Portman and the pleasant Ashton Kutcher make the film worth. I believe that a high percentage of viewers love Natalie Portman and it is a pleasure to see this talented actress in any movie.Kevin Kline has a small part but is also hilarious. This is the first time that I pay attention in Lake Bell and she is really a beautiful woman performing the role of a clumsy and nerd character. However several support characters are neither funny nor interesting. My vote is seven.Title (Brazil): ""Sexo Sem Compromisso"" (""Sex Without Commitment"")",7.0,Anonymous,Romance
"Its enjoyable, may not be great but it was good enough","Don't let the""7""fool you, its still a good rating coming from me.OK so this movie is a very well...its about friendship taken to a whole new level, and if you saw the trailers it asks you""can best friends be sex-friends?"" The movie itself does answer that question with one of those""You have to watch it to understand movie"" the story does have a few silly remarks but its moving for me, i never really understood people who do, do the things that Natalie Portman and Ashton Kutcher do in this movie but it doesn't matter it shows us the true meaning of friends and love!yes this movie has some eh moments of funny,sex, and dialogue. does that matter? not really! its a well made movie, it touched my heart!Its a great date movie, and might settle to be a good buddy comedy.",7.0,Anonymous,Romance
"A weak, weak light comedy with a wasted Portman in the lead role","No Strings Attached (2011)You expect more than you're going to get here. There are two strong leads, Natalie Portman at her finest relaxed self (seeming) and Ashton Kutcher in a slightly amusing, self-deprecating mode that is a little dulling but fits his part. But there isn't the necessary conflict here to make their attraction take on fire. They drift together, they push apart, they find each other again, and so on, all mildly engaging and a bit sleepy.And don't expect much from Kevin Kline, either, mostly because his part is small and a bit canned, a caricature dad with too much to prove. The rest of the cast is frankly just functional, and you start to look harder at why the movie fizzles with so much apparent talent, especially Portman. And the only real answer is the director, who is more a producer at heart, Ivan Reitman. You can't fault the success of some of his movies, but it's an uneven bunch, from ""Ghostbusters"" to ""Kindergarden Cop."" Something lacks energy and imagination here, and the writing stretched a bit.Enjoyable? Somewhat. Be warned, it's not funny, romantic, or energized enough to quite make it on any score.",4.0,Anonymous,Romance
Lacklustre,"This film is about two sex friends who, slowly but surely, develop feelings for each other.Considering the cast and the big budget, ""No Strings Attached"" is very disappointing. The two leads are very attractive, but they have little chemistry with each other. Maybe it's to do with the nature of their initial relationship, they do not have any sparks with each other, and hence their subsequent feelings seem so forced and unrealistic. There is little comedy either, the whole plot is plainly delivered. With nothing much to laugh about, no romance to savour, ""No Strings Attached"" becomes a lacklustre bore.",,Anonymous,Romance
No Strings Attached Review,"This movie is far more better than you might think! It's not just sex, sex, sex! It's actually fairly good! The is mostly about two friends; two sex friends. Ashton Kutcher's character is a down to earth guy, and Nataile Portman's character is basically a crazy chick. He wants to start a relationship with her, but she put's out that she is two busy to have one and she's not good at having relationships. So they basically become sex friends.It's not a typical Hollywood romantic/comedy! It goes a little off ""Formula"", if you know what I mean. Some of the plot is a little awkward and dumb, but overall a ""Ok"" movie.",6.0,Anonymous,Romance
