title,content,rating,username,genres
Great,"I realize this movie came out 18 years ago, but I wasn't on IMDb then. Did IMDb even exist? I don't know. But as I'm sitting in the barbershop right now, this movie is being played on the tv right now, and I'm reminded how much I love this movie. In my opinion, one of the best comedies ever made. I know it's not for everyone (I have friends who hate it), but it's a classic to myself and some others I know. Excellent writing and acting.",9.0,Anonymous,Crime
Master Storytellers,"Those Coen brothers' movies really do grown on you. I had just seen Fargo when I rented this. It is one of the most creative, off the wall films I have ever seen. As these characters bumble their ways after a prison break, they are embraced by a series of the most unconventional personages ever to hit filmdom. And one gets turned into a frog--sort of. their flirtations with fame, the Klan, a cyclops, and all the other episodes, make this a hilarious romp. George Clooney's Ulysses is an obsessive, full speed ahead, damn the torpedoes, coupled with the charming half-wittedness of his fellow travelers, works at every level. Like Greek poetry, he is butting heads with the gods, but despite setbacks, keeps moving. It is story telling with charm and a load of bull. Everyone is some kind of philosopher, but the words come out of gap toothed, shaved headed hillbillies. And, of course, Clooney has hell to pay. I could watch this over and over again. And then there's the really cool music. I didn't even mention that!",9.0,Anonymous,Crime
This film brought back memories.,"We lived through the depression and related to some of the conditions portrayed. We have watched it perhaps a dozen times. Each time we see it we pick up on something we had missed because we were still laughing at, or discussing, an earlier scene or line. The entire film was a collection of photographically great faces. We are still asking ourselves whether the entire cast were professionals or whether some were individuals found on location. The film was rich with subtle tie-ins like the children tied together with twine, as the prisoners were connected by chains. We still think the cow may have been hit unintentionally. Fords of that era had mechanical brakes. The driver of the car may not have been accustomed the longer stopping distances required. The many allusions to Ulysses Odyssey inspired us to do an inter-net search. We found a modern text version and discovered more sly references. We appreciate blue grass and country music as originally American and found it thoroughly enjoyable, along with the authentic ""Go To Sleep Little Baby"" and ""Down from the Mountain."" We were emotionally touched by this film because of our age, and find it totally entertaining every time we view it. We are still amazed that someone not of our generation could have captured the essence of that period of United States history.",,Anonymous,Crime
"surprising, refreshing and hilarious","Thank goodness for the Coen Brothers. Their success has brought them bigger budgets,but hasn't rid them of their creativity. I had planned on seeing another movie, but it was sold out so I went to this one instead. By the time it began, I had forgotten what movie I was there to see. I was surprised in more ways than one. This movie is hilarious, but they don't make any cheap jokes just to get the laughs. The writing is brilliant, and delivered with great skill by George Clooney (after this, nobody can say he's just a pretty face) and the rest of the cast. It can be appreciated on many levels, whether you remember the Odyssey or not. I can't remember the last time I saw a movie that was this clever. I've seen others I would describe as beautiful, intriguing, funny and charming, all of which also describe ""Oh Brother,"" but this movie reminded me of older seinfeld episodes where all the subplots came together in the end. You can feel that their journey is building up to something, but you can't tell what. And the Coen brothers do not fail us, the end is certainly not disappointing. It's surprising, and ties up all the loose ends neatly, without wearing the story out.",10.0,Anonymous,Crime
A Serious Comedy with wonderful characters,"The Coen Brothers have truly outdone themselves in this wonderful saga of three escaped convicts. Though it is based on ""The Odyssey,"" the ancient work of Homer, you do not have to have read ""The Odyssey"" to be able to follow the story. The brothers Coen have woven a tapestry of celluloid and aural delights! The soundtrack is intrinsic to the film, indeed it is as though the soundtrack is the product and the film is wrapping paper. Each character is wonderfully exploited and harkens back to the days of old when films were rich with character actors whose very appearance in the film adds richness, texture and authenticity. George Clooney is magnificent as the grease haired Everett Ulysses McGill, a honest con on the run whose pompous linguistics and vocabulary are comical and endearing. O Brother, Where Art Thou is easily the best Coen film to date as well as Clooney's best effort. Clooney is good enough to warrant a best actor nomination as is Tim Blake Nelson's portrayal of the dimwitted friend Delmar, while the film itself is deserving of a Best film nod.",10.0,Anonymous,Crime
Hillbilly hi-jinks. Bluegrass music. Laugh out loud funny!,"The Coen Brothers have done it again. Three depression era convicts(George Clooney, John Turturro and Tim Blake Nelson)escape a Mississippi chain gang and head off in search of buried treasure that will fund their new lives. Along the way, they sing on the radio and become much sought after stars as well as escapees. Great laughs and a soundtrack that is a lesson/introduction to bluegrass music.Clooney is outstanding as the fast talking, quick witted Ulysses Everett McGill. Holly Hunter plays his estranged wife. Turturro and Nelson are flawless stumblebums. Also in the cast are John Goodman and Charles Durning.Dan Tyminksi provides the singing voice for George Clooney on ""I Am A Man of Constant Sorrow"", the Soggy Bottom Boys song that serves as a template for the bluegrass laden soundtrack that also features Alison Krauss, Ralph Stanley, The Whites, John Hartford, The Cox Family and Gillian Welch. Toe tapping, knee slapping fun for the whole family. You'll be surprised with how relaxed and funny this movie is.",7.0,Anonymous,Crime
Pretty darn good,"Having seen most of the Coen Brothers previous films I expected something different and slighty off centre. OBWAT is certainly those things, but it also has a heart as big as..well..as big as Mississippi. It is one of the most plainly enjoyable movies to have come out in recent times, intelligent, well-crafted, clever and superbly acted.Characters are delivered in their myriad shades by a group of marvellous actors. George Clooney winning me over completely with his Clark Gable-ish looks and character. Having only ever seen him in Three Kings and his Thin Red Line cameo, I am now a fan. More comedy please George.John Tuturro and Tim Blake Nelson ably assist, especially Nelson. If ever ""The Simpsons"" is made into a movie then he must be a natural to play Cletus the slack-jawed yokel. I don't think there is a performance that falls short of excellent from the entire cast. My special favorite is Stephen Root as the blind Radio Station Man.Great old-timey music, a jiggy type dance by Clooney that I am trying to learn, and a feel of depression era southern US enhanced by sepia-like photography make this the best movie I've see  so far this century. The only drawback to the film is that it has almost sent me broke buying the soundtrack, the DVD and a DVD player to play it on....it's THAT good!",10.0,Anonymous,Crime
Looking for logic where there is none.,"There is a line in O Brother, Where Art Thou? that sums up not just the consensus view of this movie, but also that of nearly every Coen Brothers production. George Clooney says to his chained counterpart John Turturro, ""It's a fool that looks for logic in the chambers of the human heart."" Indeed, there may never have been a better and more meaningful statement uttered. For that sums up the total outlook Joel and Ethan have given to us ever since their stunning debut in 1984 with Blood Simple.Although this is not a new concept for them, I think these themes work really well with the setting of this movie, one of the most original in remembrance. Here, we get the story of Homer's The Odyssey set in the 1930s of the American South as three bumbling ex-cons search for a treasure while encountering many obstacles along the way. However, like many a Coen Brothers movie, the plot is just a spot to hang up the arc of the story in order to give way for the really interesting aspects; here being the idiosyncrasies of the characters, the gorgeous wide-screen photography, and the overall crass view of human existence.Through all this, there is a great amount of fun and joy in this story. Clooney is the fast-talking, slick leader of this weirdly likable trio and despite many believing he is too good looking and polished for the role, I believe that only adds to his repertoire, for this Everett needs to be a fast-talker in order to be taken serious because of his looks. Turturro and Tim Blake Nelson add comic support but also depth with their portrayals of Pete and Delmar, chained to Everett and loyal followers the whole way. Even with the clever writing and shifty characters, there is something of a heart behind this story as well as the typical cynicism of the Coens.This is certainly the type of movie that grows on you and multiple viewings are needed not necessarily to understand the plot but to capture the tone and message of the movie; if there is one. Still, if nothing else, one can certainly appreciate the intelligent/stupid mixture of humor the Coens are capable of mixing together so well. Clooney, Turturro and Nelson are wonderful in their respectable roles and of course, Roger Deakins perfectly captures the feeling of the old South with his colorful and rich cinematography. Here is a great looking, fast talking, clever movie with not much of a message. With the Coens in charge, what is the problem?",7.0,Anonymous,Crime
"Great Music, But Drags A Bit","I know I may get a bit of flack because this is a Coen Brothers film and it is an interesting take on The Odyssy, but I couldn't help but find myself checking the clock from time to time. When the film is good, it's really good, but the lulls in between can make this film feel longer than it is.",6.0,Anonymous,Crime
It will grow on you,"I have walked out of a Coen movie before and not quite known how to feel. The two best examples of that are The Big Lebowski and Fargo. Lebowski was so ridiculously original and so filled with strange humour that I had to like it. On the other hand, there were some unnecessary reveries with flying people and killer bowling balls that just didn't seem to fit the mold of the film. Still, I liked the film and now own a copy of it. Fargo made me howl with hysterics, sometimes I wasn't sure why I was laughing so hard that it made me cry, but nonetheless I was. There were many seemingly strange characters in Fargo, but upon further investigation, they were really just real people talking about real situations. That is why the man with the shovel ( or was it a broom ) was so side-splittingly funny when he was telling the police officer about some funny looking man down at the bar the other night. And that is also why the theater erupted in laughter when he then says that there are some funny looking clouds coming in. (I own a copy of this film too) The Coen's have a way of masking their film and their characters as being somewhat eccentric and perhaps a little off the wall. But if you look closer at some of those same characters that seem zany, you will always find that in some strange way, they all ring true. That is what is quite exceptional about O Brother Where Art Thou? This is a film that is out there. I mean it is not even in the same ballpark as a traditional film. I reviewed the film Shaft this past summer and in it I said that Shaft was an okay film that I have seen a thousand times before. But you can not say that about a Coen Brother's film and you most certainly can not say that about this one.This film has everything in it from a jail break, crooked southern politicians, muses, references to what I can only assume are historical figures, riverside baptisms, bank robberies, violence towards animals, singing flocks of religious fanatics, KKK, lynch mobs and so on. There are obviously many references to Homer's Odyssey in here as well, but I wouldn't know that because I have never read Homer's Odyssey or even knew one thing about it. Every other newspaper reviewer seems to know all about it and they think that this cynicism and almost spoof-like quality towards it makes the film that much better. Well coming from a guy who doesn't know anything about it, I can tell you that it is still an entertaining film. There were times when again, as is usual for a Coen film, I wasn't sure why I was entertained or laughing, but I was.This is a road picture where three men travel along the way to find a hidden treasure that Clooney says he has hidden to his two other cell mates. He has to take them along because they were also chained to him when they had their chance to escape.I like all the principal actors in the film and many of them are Coen cronies. It was nice to see Goodman again. It was nice to see Hunter and especially Turturro who seems to have a place in every Coen film. It's too bad they didn't find a place for Steve Buscemi but that is a different story all together. But back to Clooney. The man just has charisma. He is a one hell of an actor as well and here he is not quite as zany as the others but even he has his own idiosyncrasies. His work here is quite awesome and I really hope this shows that he is capable of playing any range of character.Now after heaping all this praise on the film, let me just say this as well. I didn't really enjoy the film at first. I found it to be quite tedious and a little boring. There were too many ideas in here and not enough care went into harnessing them for all what they were worth. But then the film began to grow on me. It took a while but it did grow on me. I don't think this is their best film, but it is still a good one and I am giving it a 8.5. But the reason that I do recommend this film is for one reason only.Every day you can go look into the paper and look at the films that are playing and say to yourself, seen it, seen it, oh, seen it last year, that is the same as this film and that is the same as that film. Most films have been recycled in some form or another. Not the Coen's films. They have not been recycled and if they have I don't know about it. That is reason enough to see something that they put out. Originality counts for a lot in my books. The Coens are original and they are good. And that is not common in todays cinema. Enjoy them while they are allowed to make films. Because you don't get vision like this in many films, so when you do, enjoy it!",10.0,Anonymous,Crime
