title,content,rating,username,genres
Just great,"George Clooney, Brad Pitt, Matt Damon, Bernie Mac, Elliot Gould, Carl Reiner, Casey Affleck, Scott Caan, Shaobo Qin, Miguel Perez, and Livingston Dell make up ""Ocean's Eleven,"" a 2001 film directed by Steven Soderbergh. The film also stars Andy Garcia and Julia Roberts. This is a remake of the rat pack ""Ocean's Eleven,"" which I've never seen so I can't make comparisons. I suspect that this version has more emphasis on plot and the older one has more emphasis on the pack.The mastermind of a plot to rob Las Vegas' Bellaggio Hotel vault of $160 million is Danny Ocean, a very recent ex-con who had lots of time on his hands in prison to plan it. With the help of his buddy, Rusty Ryan (Pitt) he recruits 9 people who specialize in a particular expertise to carry out the elaborate heist. Problems come in when Ocean, obsessed with his ex-wife (Roberts), approaches her, to the annoyance of her present boyfriend, the owner of the hotel, Terry Benedict (Garcia). He ""makes"" Danny by sending out a bulletin with Danny's photo to the hotel staff, which puts him out of his own plot at the insistence of Rusty. But Danny isn't one to exit easily, in either marriage or robberies.This is a fast-paced, tension-filled, exciting movie that's highly entertaining. The plot is completely improbable so you have to take it for what it is - fantastic fun. And you never know whether something is going wrong or if it's part of the plan. The chemistry between the actors, particularly Clooney and Pitt, is great, and there is some wonderful acting. Clooney is solid as Ocean, a passionate man of quiet determination; Damon is terrific as an insecure participant; Don Cheadle, sporting a Cockney accent, is hilarious as an explosives expert; Elliot Gould is outrageous as their financial backer; Carl Reiner is excellent as an older con man who can do accents. Just as they all contribute their different talents to the heist, they do so in this movie. This includes the acting in the smaller roles played by Bernie Mac et al - everyone is perfect. Andy Garcia is fabulous as Benedict - both elegant and scary, he whispers instead of shouts and stays in control for the most part. Megastar Roberts is wasted - she doesn't have much to do.Any actress could have done the role, but I guess the producers wanted an all-star cast.Highly recommended for blockbuster entertainment value and star power. Just don't look for it to be realistic.",8.0,Anonymous,Crime
One Word: WOW,"When i first saw trailers for Oceans 11 i was amazed that they could get a cast like that into a film. George Clooney, Brad Pitt, Julia Roberts and Matt Damon are among Hollywood's elite and the lesser known actors such as Don Cheadle, Bernie Mac, Scott Caan, and Casey Affleck have made big impressions in other films that they appeared in. Whenever big hollywood actors are in a movie i always want to see if they're actually making a good movie or if they're just putting them together to make a profit and a bad film. Then i heard that Steven Soderbiergh was directing. By that time i was hooked because he directed one of my favorite films; Traffic. After all that time of waiting last night was the night. Opening Night with about 12 of my friends and a semi-packed theatre. After viewing the film i have to say my verdict is......WHAT A DAMN FUN, ENTERTAINING, and CLEVER FILM. Words can't describe how much i loved it. These actors weren't in it just to make a profit they were in it to make a memorable film. I don't want to give any of the plot away because it's just too good but i will tell you what i liked and some things i didn't like about the film.What I Liked:George Clooney and Brad Pitt are the embodiment of charisma. I'm a straight male but there is no denying that these guys possess a lot of style and charm. Not to mention talent. I've always enjoyed George Clooney as an actor and with each film he does he becomes an even better actor. i've always been a fan of Brad Pitt as well. He's just seems like an everyday guy in his films. Very natural and laid back. He's truly at home in this role.The supporting cast is uniformily good. To see Julia Roberts in a supporting role was odd at first but even in the few scenes she's in you can't deny that the girl has talent. Her scenes with Clooney are priceless. The dialouge in these scenes are suitably sassy and snappy. Don Cheadle and Bernie Mac making a lasting impression as well. Don Cheadle is becoming one of my favorite actors and Mac is obviously on his way with this film and his own hit TV show. Matt Damon is good in his role and his chemistry with Clooney during the last act provides us with some truly entertaining and hilarious moments. Andy Garcia makes for a truly suave villian in the film. I haven't seen him in much lately which is quite a shame because he's a wonderful actor. Scott caan and Casey Affleck are a dynamic duo. They provide some of the most hilarious moments in the film and it's because of their off-beat chemistry.Soderbergh is a wonderful filmmaker. He has an obvious love of films and this aids him in making good movies. He knows all the tricks of the trade and he uses them throughout the film. Subtle things are also down through the use of music. Images fly over a hip soundtrack that give the film an edge. This is especially certain during the final few scenes. Soderbergh is probably one of the best directors of our generation.Vegas is a pretty interesting back-drop for everything that goes on. Vegas is basically another character in the film and through Soderbergh's work on the film he gives it a life of its own.The final half of the film is outstanding. So much is going on yet the story flows at a nice pace so we know what is exactly going on.What I didn't Like:I tihnk i only disliked one thing about this film. Some of the dialouge was a bit cheesy but what film doesn't have that. My major gripe in the film was Julia's lack of screentime. She's good in the scenes that she's in but because her character isn't well developed you don't really care about her plight. If julia wasn't playing her however i don't know if any other actress could make you almost care with the screentime that she possesses.It's rare that i dislike one thing about a film. Ocean's 11 has already made it's way into my top twenty and it's most definitely the best film i've seen this year. Very nice work9/10",9.0,Anonymous,Crime
Tasty cast in very cool and slick movie,"What a tasty prospect for a film: George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Julia Roberts and for the young at heart amongst us, Joshua Jackson of 'Dawson's Creek' fame in a cameo role -all directed by the Oscar winning Steven Soderbergh!George Clooney plays Danny Ocean who soon after being released from prison, puts together a team of eleven to undertake a robbery of the three biggest casinos in Las Vegas in an attempt to bring in a reward of $150 million. What soon becomes clear is that it's not the money which will give Danny the ultimate satisfaction, but the opportunity to get revenge on the owner of the three casinos he is robbing -Benedict (Andy Garcia) who just happens to be the new beau of Danny's ex, Tess (Julia Roberts).Some of the gang of eleven are more memorable than others -especially the Chinese acrobat, the explosives expert with a dodgy cockney accent and the medallion wearing Reuben -aka Monica Gellar's dad!  The cast are brilliant at acting cool -even if all Brad Pitt is doing is snacking on the screen (he does this a lot!), you are still transfixed by him because he looks so good on screen.What makes the story so intriguing is the fact that Danny's mission seems so impossible: security in the casinos is paramount and the route to the reward is littered with obstacles.  The number of close calls that the gang is faced with is great fun and one can't help but root for these crooks throughout the film.  It is also refreshing to watch a film which is dominated by male stars and is not filled with macho swearing.  Instead, we have a banter between the stars which is indicative of their camaraderie.'Ocean's Eleven' is a welcome option in the choice of movies available at the moment which is dominated by Oscar nominees that are not going to be everyone's cup of tea.  With this film, it's simply a case of sit back and enjoy the fun!",8.0,Anonymous,Crime
One of my all-time favorites,"There is just something about this movie that makes it so great. There's nothing truly outstanding about any one aspect of the movie; nothing that will blow you away. However, everything is put together perfectly.Personally, I have a theory that any movie that absolutely blows you away the first time you see it, will lose its entertainment value very quickly. Not necessarily because the movie was not good, but because it just seems to get old too fast. This is NOT one of those movies.This is the kind of movie that will be enjoyed countless times. The dialogue is slick, and always to the point. There are few (if any) overdone scenes and/or lines that tend to become annoying over time.This movie flows exceptionally well. Personally, I couldn't quite figure out why until I watched the ""behind the scenes"" footage on the DVD. I didn't really notice all of the work they put into using as few shots as possible. The extra features on the DVD really explain it all. Almost every scene uses considerably less shots than you would think it takes to convey all of the activity going on. The music punctuates the flow of the movie and the shots extremely well.The cast is almost all big names. It's great to see actors like Pitt and Clooney and Damon come together in a movie and interact so well, without having to be the pretty boys or bad-ass heroes of the movie.",10.0,Anonymous,Crime
Fluffy but lots of fun,"A rarity--a remake that's better than the original. 11 men led by Danny Ocean (George Clooney) prepare to rob a vault linked to 3 casinos in Las Vegas. His partners in crime include Brad Pitt, Carl Reiner, Elliot Gould, Casey Affleck, Matt Damon and Scott Caan. Also, the casinos are owned by Tery Benedict (Andy Garcia) who is romancing Ocean's ex-wife Tess (Julia Roberts). Fun, engrossing, just simply the most enjoyable film of 2001. It moves smoothly, the entire cast plays it cool and easy and Steven Soderbergh directs it with flair and intelligence. Yes, it's light; yes, it's a trifle but it's so FUN! I really loved this film. Affleck and Caan are hilarious as bickering brothers. My only complaint--Julia Roberts (the only woman in the cast) is shot very cruelly. She's beautiful so why does she look so bad? Aside from that this is a fun movie. Just sit back and enjoy.",10.0,Anonymous,Crime
One of the most Entertaining films ever!,"Ocean's Eleven is a very easy-going and purely fun movie to watch. The film is loaded with celebrities such as George Clooney, Brad Pitt, Julia Roberts, Andy Garcia, and Matt Damon. Ocean's Eleven is very ""loosely"" based on the original Ocean's Eleven starring Frank Sinatra. Steven Soderbergh did a fabulous job directing this movie and having all the characters to connect to Danny Oceans group of 11. The plan is to steal 160$ million dollars from three Las Vegas Casino's. Sounds wacky? The planning time took up most of the movie, and you almost believe that it could be done after you see this. Andy Garcia did a fabulous job playing Terry Benedict, the owner of the Casino's where Ocean (Clooney) plans to rob. Brad Pitt plays and interesting role as Danny Ocean's sidekick. The plot flows quickly and some parts leave you laughing on the floor. Each one of the eleven characters had its own story behind them and it is seen when Rusty Ryan (Pitt) and Danny Ocean (Clooney) first go to recruit them to plan this heist. I have to say Julia Roberts didn't have a flexible character but nonetheless her presence in this film as Tess, Danny Ocean's ex-wife, is apparent. Ocean's 12 is due out in December with the same old cast and it promises to be a hit. This movie is one of my favorites because the premise is great and the actors are great.**** out of *****",8.0,Anonymous,Crime
They are having more fun than me,"When i first watched Ocean's Eleven my overriding thought was that these guys are having more fun than me.
Twenty years later i decided to re-watch to see if my opinion had changed at all but no , They still were having more fun than me!Dapper Danny Ocean is a man of action. Less than 24 hours into his parole from a New Jersey penitentiary, the wry, charismatic thief is already rolling out his next plan. Following three rules: Don't hurt anybody, don't steal from anyone who doesn't deserve it, and play the game like you've got nothing to lose. Danny orchestrates the most sophisticated, elaborate casino heist in history.I believe this film has a better reputation than it deserves.
Don't get me wrong , its mildly entertaining but for the most part it's very unremarkable.
The biggest problem i have is there is no jeopardy.
Terry Benedict , played by Andy Garcia is supposed to be this big time casino owner who you do not steal from but there is very little indication
that he is a menace or a gangster and the fact that they are having fun backs that up.Now to the elephant in the room. Don Cheadle.
Some people may find his accent hilarious and he may even be doing an English accent badly on purpose but think it's unforgivable. and lazy.
Surely they could afford an accent coach to at least make him sound slightly authentic.Ocean's Eleven is an example of style of over substance and the 1960's version is no different.
You can have have as many big stars as you like but if the story isn't interesting enough it makes no difference",7.0,Anonymous,Crime
"O.K. so I watched a ""big"" movie . . .","At the request of my friends & family over the recent holidays I went to see this film.  Though it's not my usual M.O., I really enjoyed this movie.I've not seen the original 'Rat Pack' version of the movie (except bits and pieces), so a comparison between the two is not possible on my part.This version I found playful and relatively harmless, and the plot twists are undeniably clever.  The comradery between the actors is the most entertaining part of this film in my opinion. Elliot Gould's part had to be my favorite character if forced to pick, followed in close order by Clooney, Pitt & Damon.  Actually all of the actors did an excellent job with their roles.This movie won't change the world, or probably change your mind about anything significant, but the plot is fun, the cinematography is excellent, the actors all shine in their roles, and on occasion that is enough.",10.0,Anonymous,Crime
Crackerjack caper,"I imagine that followers of the legend of the Clan would find it unforgivable
that George Clooney remade the ultimate Rat Pack film Ocean's 11. But I
think even Frank, Dean, and Sammy would be happy with what Clooney and
director Steven Soderbergh did with it. It's nothing less than a crackerjack
caper film with a few stars to gaze at also.The point in the original is that this was a film almost made as a lark for the
participants while the main players were appearing at the legendary Sands
Resort in Las Vegas. These were old army ranger buddies who decide to put their training to use and heist five casinos.Clooney and buddy Brad Pitt's film has them in the Frank and Dean roles and they're a much more professional outfit who are only doing one of them. But it's the one Andy Garcia owns and Clooney has a score to settle
with him. He's taken Clooney's wife away played here ever so briefly by
Julia Roberts. In the original Angie Dickinson had the part. And it was also
a brief part.Clooney and Pitt go out and recruit a crack team, some they know, some they don't. But it's a professional job and close run thing.Garcia is in a part the equivalent of George Raft from the original. It was 
business for Raft and business for Cesar Romero the syndicate guy he hires
to find them. But Garcia's a nasty character who settles his own accounts.The film has got a whole lot of nice touches stylistically and cast is expensive and first rate. For those familiar with the original the irony of that ending is replaced by something completely different. More in keeping
with George Clooney than Frank Sinatra.Nevertheless I think the Chairman of the Board would like this Ocean's Eleven.",7.0,Anonymous,Crime
Not as Good as I Expected,"I'd heard good things, so maybe went in with too high expectations. It's entertaining, but nothing ground breaking.The plot of Clooney's character motivated to do the job to get back at his wife (get back with her?) I thought was cliche and dull.Overall not bad, but not great.On a sidenote, Cheadle's British accent I think is the worst attempt I've ever heard of it by any human never mind actor? So instant -1 just for that. Why not just have him be American or use an actual cockney actor if you must have that accent. So bad.",6.0,Anonymous,Crime
