title,content,rating,username,genres
Not  as good as 11...Much better than 12.,"Normally the sequel to a movie is a let down. Especially if the first part was really good. I think that's what's happened with Ocean's 12 for many but l hope this doesn't mean that they won't be watching '13'.I was happy to see all of the same characters and actors together again because that is one big cool cast. Not to mention Al Pacino...icing on the cake.Who could resist?For those who are in doubt about Ocean's 13, i hope you're not affected by some bad reviews because history doesn't repeat itself with this one. It's got an interesting story and some fabulous actors and acting. Don't miss out.",8.0,Anonymous,Crime
A tad drawn out though it does deliver by the end,"'Ocean's Thirteen' marks the end of the Ocean's trilogy in a good way.It's slightly below the level of 'Ocean's Eleven' but does better 'Ocean's Twelve'. As with the preceding two, the cast elevate these films up with strong performances from George Clooney & Co. In regards to O13, I feel the plot is a tad drawn out though it does deliver by the end with its entertaining outcome.",8.0,Anonymous,Crime
Entertaining Yet Forgettable,"I went to see this movie with only one expectation, surely it cant be as bad as the second film. On this front i was greatly pleased as the sense of smugness surrounding twelve has been completely lost. The only real problem i had was that after the film finished i really struggled to remember anything particularly about it.The performances were all OK but no one really stood out, whereas Matt Damon was the only person i didn't want to slap in twelve, he never gets the chance to shine. Al Pacino has no chance to make a memorable villain out of the limited screen time leaving you not really caring if they can pull off the job or not. Clooney and Pitt also do an OK job of an average script, but it never rises above OK.The area i think this film falls down is with a cast that is too big, while inventive and different in the first film, just hinders this one. There are too many people trying to get their five minutes on screen to really give a damn. Maybe this is the directors feels we already care about them as we know the characters, when in reality the damage caused by twelve was enough to need character building again. Arguably a plot on a smaller scale would have been better with a sharp focus on one or two characters as in the first film.While flashy this film is all about style over substance and if you are looking for a shallow but entertaining summer movie this may just be it.",6.0,Anonymous,Crime
Slightly Better Than Its Predecessor But Still No Match To The Original,"Slightly better than Ocean's Twelve but still not close to Ocean's Eleven, the third & final entry in The Ocean's Trilogy finds the original gang returning to Las Vegas for one last heist as things get a bit personal in this concluding chapter. Retaining the cool style & lighthearted vibe of its predecessors, the film does many things right but is still forgettable in the end.The story of Ocean's Thirteen is set in motion when one of the original eleven is double crossed by his former business partner who now owns his new hotel-casino. When the gang finds out about it, they decide to avenge him by concocting a plan to spoil the new hotel's opening night but to pull it off, they turn to a foe who shares their contempt for the common enemy and offers his assistance.Directed by Steven Soderbergh, Ocean's Thirteen marks a little improvement over its predecessor and, by taking a persona route, brings something new to the table. The light, playful tone remains in tact but the premise is more involving than it was the last time. Also, unlike the previous entry, the new addition to the ensemble plays a key role in the plot and has an interesting arc of his own.While the story has an interesting outline, the writers still end up making the plot complex and not easy to follow. Not every twist n turn makes sense, some moments are as ludicrous as the second film's museum robbing sequence, and it expects the viewer to just go along with everything that's unfolding without questioning the logic of it all. Sometimes, it does work. Other times, it doesn't.Coming to the performances, the original eleven return to reprise their respective roles once again. Vincent Cassel also makes an appearance while the most notable amongst the new additions is Al Pacino who plays the antagonist and utilises his infectious persona to great effect. Clooney & Pitt once again lead from the front but Damon gets a promotion as well while the rest play their part as expected.On an overall scale, Ocean's Thirteen is a satisfactory conclusion to the saga of Danny Ocean & his associates, if not a memorable one, and offers a good, lighthearted dose of fun & amusement just like its predecessors. It corrects a few mistakes that were made in the second instalment but also ends up creating some new ones which stop it from reaching the heights & delights of the original. Nevertheless, it's worth a shot.",,Anonymous,Crime
Hits the Jackpot!,"I was a huge fan of Ocean's Eleven, it was smart, witty, funny and in my opinion the best remake I have ever seen. The great cast and the smart dialogue just made it a pleasure to watch, leading my expectations to reach phenomenal levels before seeing its follow up, Ocean's Twelve. So perhaps that is why Ocean's Twelve seemed such a let down, my expectations were to high. As a result of this originally my expectations for Ocean's Thirteen were horribly low, I contemplated not even seeing it at one point. However after re watching Ocean's Eleven, I decided to give it a chance, perhaps Soderbergh at made an effort this time, perhaps it would reclaim the glory of the original movie. Thankfully it has not only reclaimed my respect for the series, but also produced, in my eyes, the best entry so far. The return to Las Vegas has also seen a return of a great script, a plot that is followable, decent jokes and also just a sense of fun that Ocean's Twelve was sorely lacking. In many ways this makes up for the mistake that was the past movie, this is the sequel we should have had. In actual fact, apart from maybe a couple of details, this movie has next to nothing following on from the second movie. This is a good thing as it allows more people to see the quality first movie and then not have to worry about seeing the horrific second one before seeing the best of the series.Ocean's Eleven worked particularly well because of its starry cast, and the fact the cast were clearly having an absolute ball making the movie. We had George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Julia Roberts and loads more. Ocean's Twelve saw the inclusion of more stars, including Catherine Zeta-Jones and Vincent Cassel. In Ocean's Thirteen two of the cast members have gone, thankfully the lack of Julia Roberts and Zeta-Jones doesn't leave a mark at all. In fact it seems a bit of a breath of fresh air, and even fresher when the reasoning for them not being in the movie is explained with one line of dialogue. But to make up for their disappearance we get Al Pacino in their stead, and trust me he more than makes up for it. Andy Garcia was a great villain in the original, but he lack the menace that Al Pacino has. He easily steals the beginning of the movie, and he threatens to steal it for the whole movie as well. He isn't overused, and he's certainly never underused. He's the best villain this series has had and it makes the quality of the movie increase. But of course this is still the original elevens' movie, and all of them get their moments to shine. George Clooney is still the best, he's such a great actor to watch as he just oozes star quality. He's the kind of person you wouldn't mind meeting in real life because he seems a genuinely nice guy. He's also used more in this movie, unlike in Twelve where he seemed to co-star in a movie with his name in the title. Brad Pitt is used less than Twelve here, and thankfully that works as well. My biggest problem with Twelve was the fact Rusty took centre stage, and in my opinion Rusty isn't an interesting character. In small doses he's brilliant, but in large doses his character just isn't good enough. Matt Damon has some great comedic moments here and there, Andy Garcia continues his role with style, Eddie Izzard's character actually seems to have a point here, and all the rest of the cast just carries on perfectly. They're all having a blast and they put their all into this movie.So what of the actual storyline then? Well the actual motives for this movie seems to have improved a lot. Ocean's Twelve's storyline just didn't work for me, I liked the fact that they had to re-pay their money to Bennedict, but I didn't like the fact it got all involved with Vincent Cassel's jewel thief. Here though its all about revenge, and it works better here. It also helps that Al Pacino's Willy Bank is such a jerk that you can't wait to see the gang exact their revenge on him. How they do it, and if they do it I will leave as a surprise, and trust me there are a few little surprises install along the way. Some characters show up that you don't expect to show up, and also the movies pacing is tremendous. It throws you in at the deep end, the planning stage isn't very long, its all about the actual heist pretty much. The opening and the first half is generally talking, which some people might dislike. I personally loved it as the conversations were brilliant, and the quick fire dialogue a welcome relief from the clunky blockbuster stuff I'm used to at the moment.Overall Ocean's Thirteen is a masterclass in smart, silly blockbusters. Its storyline is preposterous, and how the heist goes is a bit silly, but that's part of the fun, that's what makes the Ocean's series in general such a blast. The movies ooze style (yes even Twelve to some extent). If this is the final movie of the Ocean's series, and I personally believe it is, then they have the left the series on a very high. This has the potential to end up being the best Blockbuster of the summer, a surprise as I really didn't expect much from this. I highly recommend it, its cool, funny slick and most importantly of all, very cool.",10.0,Anonymous,Crime
Suave but a Bit Flat,"I liked ""Oceans 13,"" but I wanted to love it.I love the handsome stars, the great clothes, the nifty sets, the music -- David Holmes' score is a really fun, retro trip back to 1965. I love the deadpan delivery of funny lines: ""I just bit into a pepper,"" a man says, when caught tearing up. I love the payoff when scams reach their climax.But I wanted this movie to thrill me as the previous ""Ocean"" movies have, and, while it was a slick good time, it wasn't memorable.There is less character development here than in previous movies. Ocean is not pursuing Tess. Linus has pretty much proved himself.There wasn't the spectacular stunts as performed by Shaobo Qin in ""Ocean's 11"" or Vincent Cassel in ""Ocean's 12."" ""Ocean's 13"" doesn't fully exploit Las Vegas -- we've seen this movie's Las Vegas before.Al Pacino is kind of blah as the villain. I wasn't afraid of him; I just kept wondering why he had orange hair. Andy Garcia is more juicy in a smaller, ambivalent role.The movie resuscitates the film career of Ellen Barkin. She looks spectacular: flat stomach, legs to die for, magnificent cleavage. And then what do they do? Humiliate her and make a bitter comment about how she is a woman ""of a certain age."" ""Oceans 13"" would have been a better movie if it had made better use of this hot actress. A sex scene between her and the ever cool Matt Damon would have perked the movie up.",7.0,Anonymous,Crime
Really good,"They are back and now there are 13...The movie is any day better than ocean's twelve (which i think was really bad) but still not as good as the original! All of them are back and why not with such an amazing director and support group who wouldn't come back. Al Pacino is fantastic as always and adds that extra bit to the movie.Story is actually at par with the first one and 20 times better than the second movie! Got to see an early screening and loved it. I don't want to spoil the movie. But one thing is true that the story is again complicated and its for the better only as the more complicated the better. Acting as always amazing.After disappointments of spider-man 3, shrek 3 and to some extent POC 3, this one s easily better than the above three and thus this is a must watch 9/10",9.0,Anonymous,Crime
Good closing,"This movie is at the level of the first.With an exciting story that captivates the viewer, the film manages to give us a good robbery story, with well-executed plot twists, good story development, good production design and funny moments. There are a few holes in the script that don't explain what happened to characters that came out in previous movies, as well as some conveniences for the story to follow.But the movie is entertaining and is a good closing for this trilogy.",7.0,Anonymous,Crime
Lucky Number 13,"Danny Ocean and his Eleven are back in Las Vegas. This time, Danny tries to talk sense into Willie Bank, the owner of a series of highly rated ""5 Diamonds"" hotels who double-crossed one of Eleven, Reuben Tishkoff (Elliott Gould), on a hotel deal causing the man a heart-attack and coma-like state. After the ruthless and arrogant Bank suggests that Reuben ""rolls over and dies"", Danny and his team decide to take the Bank's stunning new casino out of business on the big opening night.The third Ocean's movie is great fun and a wonderful mixture of genres that works as comedy/crime/thriller/revenge. Vegas is spectacular. The jokes are funny, the dialogs are witty, the directing is first class with the split screens, unusual angles, and the camera that always moves fast but does not rush. The acting is terrific. The absence of Julia Roberts and Katherine Zeta Jones is more than compensated by the presence of great Ellen Barkin who is a better actress than two and a hot beautiful woman, the real ""cougar"". Besides Ocean and his Eleven (who all have fun with their parts but this time Carl Reiner was simply outstanding), it was good to see David Paymer as an unlucky (or was he?) hotel reviewer and Eddie Izzard as a famous computer hacker. Did I mention that Al Pacino took the role of Willie Bank and he was excellent playing in his quiet mode without screaming which I like a lot? There are certainly the holes in the story and the absence of logic but I did not care a bit. ""Ocean's Thirteen"" is not about logic or plausibility or realism, it is all about fun and entertaining and it entertains admirably. It is a very successful and enjoyable sequel in the series of Ocean's movies and we all know that good sequels don't happen too often.",9.0,Anonymous,Crime
A Good Movie To Watch And Multi-Task With,"Have you ever watched a film while multi-tasking? Well if you have, you should do it again but this time put on Ocean's Thirteen. I would not describe myself as a fan of the Oceans' movies but I have pretty much enjoyed all of them. In light of that though this is the worst one of the series.The movie is very well acted in that it appears the whole cast has fun with the material from top to bottom. That does not make it a good film though it just makes it a nice to get together. One thing I could say though was this time around I actually noticed Casey Affleck because of his recent breakout performances in other films. So with that, he and Al Pacino just adds to the fun of watching all the great actors and stars in the film. The script is very witty at times and did have me chuckle more often then not. What was missing though were the star actresses. Tangle in all the fun of a crazy scheme to rob a casino, gambling and just Las Vegas is the women. It would have been great to see Julia Roberts or Catherina Zeta Jones or even both back for the film. Instead we had to settle with Ellen Barkin who has not nearly as an impressive career or persona as her counterparts.As the rest of the series this film really is not too thought provoking or deep. It won't inspire you to do something so honestly it won't be too necessary to focus all your thoughts on this film. This is an entertaining film considering George Clooney, Brad Pitt, Matt Damon, Al Pacino, Don Cheadle, Bernie Mac and Casey Affleck are in it but yet it isn't as well made or enjoyable as its predecessors.",7.0,Anonymous,Crime
