title,content,rating,username,genres
"Michael Bay's World War II is entertaining, yet deeply flawed","For the past two decades now, Michael Bay has been known littering his films with countless explosions, and with this heavy special effects, garners wide success at the box office. Here, Michael Bay steps into the war genre with this intense, dramatic retelling of the fateful event that pulled America into World War II in the 1941. Set near the dawn of World War II, Ben Affleck and Josh Hartnett play Rafe McCawley and Danny Walker, two Airforce soldiers who have been best friends since childhood. As they grow up, they are caught in a love triangle when they both fall in love with beautiful nurse named Evelyn (played by Kate Beckinsale). Things get pretty complicated when Danny and Evelyn are transferred to Pearl Harbor where Rafe returns from fighting overseas in Great Britain to find the two are in a relationship. Next morning, December 7, Danny and Rafe wake up to find hundreds of Japanese fighter pilots dropping bombs on Pearl Harbor. The two friends arm themselves with the F-51s in attempt to fight off against the Japanese fleet. With the U.S naval base devastated and thousands of innocent lives lost, the U.S declares war against war. From there on, Dafe and Rafe and their army lead by Lieutenant Colonol James Dolittle (played by Alec Baldwin) prepare for a fight against Japan to overcome their country's catastrophic defeat. This film also features Cuba Gooding Jr. who plays Captain Dorie Miller, the first African- American in history to be awarded the U.S Navy Cross.The bombing of Pearl Harbor was one of the most shocking moments in the history of America, and it makes interesting subject matter to be told on on screen. Although this movie does manage to paint the horrors that took place during that fateful day, this film does suffer from some flaws that director Michael Bay is often known. Now with a war movie being directed by Bay, audience should go into this movie expecting abundance of explosions and this film plenty of these during the 40-minute action sequences that takes place during the attack on Pearl Harbor. The entire scene is very well done and the special effects are great. The scene really captures the grim details of what the civilians of Pearl Harbor suffered through as we watch countless of people killed from gunfire and drowning, as well as others who suffer some gruesome injuries. This entire scene is quite difficult to watch and it really pulls at your heart strings. Now here is where the film falters. Along with the whole Japanese attack and its aftermath, audiences are treated with a romantic subplot involving Josh Hartnett, Ben Affleck, and Kate Beckinsale that takes up a good portion of the film. What we get from this is poor acting and cheesy dialogue between Affleck and Beckinsale, including a line ""I love you so much it hurts"", a line that is highly laughable and far too corny, especially when dealing with a war flick. The whole love story is not terrible, but definitely takes more than what is needed of the film. With the whole story, the film ends up running 183 minutes.Pearl Harbor is certainly not one of the best war movies in Hollywood and definitely not the best of what Michael Bay has to offer. I feel that this could have done better if it was handled someone like Steven Spielberg who has been masterful with the World War II genre (Saving Private Ryan, Schindler's List). Overall, this is film is not terrible. Despite some of its flaws, it still works and is entertaining to watch.",7.0,Anonymous,History
"It May Be Long, but at Least It's Dull","About one third of the way through this mess, my daughter left her friends and came to me for some money to go to the concession stand. I asked her if they were selling pillows there. This is one of the longest movies I have ever sat through (at least that's what my back tells me). It has some of the worst writing I have ever heard. The set-up and the romantic intrigues are predictable and uninteresting. There is absolutely no suspense. The whole plot is contrived. Oh, yes, there is an endless attack by the Japanese, but by the time it happened, my mind was wandering. As far as those tragic lovers, I thought I was watching a bunch of eighth grade girls and boys ticked off because she said he said she said, whatever!! Then, of course, we have Jimmy Doolittle, going on his raid to make up for what those guys did to us. What a slap in the face to the real event. How can a director with 135 million dollars make the attack on Pearl Harbor dull. Yes, it probably looked like that. Those bombers and fighters moving clandestinely in on the island--destroying the fleet with no conscience. What about a script? What about the building of some sort of momentum? How about focusing on the realistic politics of the time and seeing the world from both sides. I was so disappointed in this film. People wonder why it's so expensive to go to the movies these days. It's because the studios are footing the bill for this kind of bilge!",6.0,Anonymous,History
"C'est magnifique, c'est ne le guerre pas!","(Please excuse my French, it's probably wrong)
 
 Roll up, roll up! See the cinematic spectacle of 2001! See the horrible 
 deaths of 2500 or so people commemorated by a film about two guys who 
 fly fast planes really fast. See them go ZOOOOOOOOM, see them go 
 WHIIIIZZZZ! See them reprise the 'flypast and debriefing' scenes from 
 Top Gun. Watch the beautiful love story unfold. See the true love two 
 people have for one another tested and broken when Kate Beckinsale 
 comes between them.
 
 See a fine young actor reduced to playing Token Black Guy. Watch as he 
 fights to prove he's more than a Token Black Guy, even though he's 
 given so little to do that he ends up as nothing more than a Token 
 Black Guy (even though, unlike the two guys in the planes, Token Black 
 Guy actually existed).
 
 Watch the awful bombing of a military target. Watch the heroic bombing 
 of a city. Watch Jon Voigt recreate Peter Sellars' unforgettable 
 character Dr. Strangelove.
 
 Watch the whole reality of war, and the lives and deaths therein 
 trivialised to make a Big Dumb Action Movie that thinks it's some kind 
 of ghastly tribute to the American dead of December the 7th.
 
 Or better still... don't!
 
 On the other hand, if you want an unrealistic film with ponderously 
 paced romance, fighter planes zooming all over the place and nice 
 explosions, check this out. It's a lot of fun. Just don't take it 
 seriously - you'll only encourage them!",,Anonymous,History
Multiple love stories with some action scenes in between..,"Pros:
Very good special effects that stand the test of time.
Nice action scenes.
Good acting from some of the cast.
Cons:
Too long!
Mainly focuses on the love stories and the war scenes are something like a break from them..Overall a quite good movie but not great or something epic!
And 3 hours! is too long, maybe the love stories should be a bit shorter eg. 30 minutes shorter in total.",7.0,Anonymous,History
Awesome Music,"Music tied the romance and the history together. I absolutely love the song Tennessee.Brotherhood works on me very well. Little Danny in the arm of his big-o father Ben Affleck. That's good.The acting is so-so.The story is a difficult piece to put into a movie. The movie takes care of both individual romance and historical event in a readable way, but not exactly perfect.Actions and CGI are well executed.Historical inaccuracies have no importance for me.",7.0,Anonymous,History
Its entertaining,"Unlike some other war movies, Gallipoli, Full Metal Jacket etc Pearl Harbor seems to be more focused on entertaining rather than deep characterisation of a morales tale.So not looking for the answers to those deep questions regarding war, this is a movie of love, loss, action and entertainment.I'm not sure fun is the right word so lets go with enjoyable.Its a long film that keeps you engaged and interested the entire time.What more can we really ask?",7.0,Anonymous,History
I'm confused with all the hate of the film.,"I've never written a review before but after seen how many people are saying this film I thought I better.
I actually think the film was great the main premise of the film which I feel most people have completely missed is a bond between two guys that is as strong as a brotherhood hood. The alpha one who has the confidence to take over the world and the quiter one both who would die for each other in an instance. And maybe it was just me but I really did feel the emotions that they feel throughout the film. It seems like a lot of people hate the film so maybe I'm missing something but i think its a great film. The film is not totally accurate but films don't need to be and I film is long which is the reason I suspect it gets so much hate.",8.0,Anonymous,History
"""Get me into a damn plane!"" Ben, I think the more appropriate request would be ""Get me into a half-decent movie!""","After seeing this film, I have to say that I'm glad I listened to what all my friends were saying about this film and only paid attention to less than half of this film. The two battle scenes were what I found worth watching, and I hadn't expected anything else, from what everyone told me about the film. Had I not been fully aware that nothing other than those two scenes were worth watching, had my state of mind been completely open to this film, I would have hated it, and my review would have been a thoroughly negative one. It's more than likely that I would have commented on Jerry Bruckheimer's and Michael Bay's lack of actual talent and their extreme use of explosions(usually overplayed and overdone ones) to cover this up. But I won't. I won't comment much on plot, pacing, acting or characters. I could complain that this is just another typical, empty Hollywood film that takes a historical event and smothers in with romance and sappy sentimentality instead of bringing the real story(as if it didn't have enough impact on its own), much like they(seemingly; haven't seen it, for obvious reasons) did with Titanic. I could argue that the plot is thin and everything but the actual historical events seem bland and unimportant, that the acting seems flat, the pacing excruciatingly bad and the characters paper-thin clichés and stereotypes. But I'll try not to. Instead, I will comment on the two battle scenes, for those who share my point of view on the sappy romantic drivel of many late epic films. They look pretty good. The effects are impressive, though the CGI is overly obvious at times. Most of it looks good, and the overuse of explosions supposedly won't bother most action fans(though I, being in favor of realism in war movies, found this to be quite bothersome and annoying). If you really like strong war-action, you should check out a movie that delivers more of it(like Black Hawk Down) or at a far more realistic approach to it(like Der Untergang). However, if you want to see the Bruckheimer version of a war scene, by all means, see this film. I warn you, though, most of it is simply not worth paying attention to. I recommend this to fans of war movies with Hollywood action scenes and/or people who can't watch a movie that doesn't contain romance. 6/10",6.0,Anonymous,History
Someone get me a pair of scissors!,"What a great film this could have been!  The recreation of the attack on Pearl Harbor is some of the best film-making ever - an extraordinary and moving sequence made utterly believable by state of the art special effects. It ranks up there with the opening sequence from ""Saving Private Ryan"" and the sinking of the ""Titanic"" as one of the most harrowing ""disaster"" sequences filmed in recent years.  But like both those other two films, PEARL HARBOR is desperately in need of a decent script to frame the disaster sequence.Okay - I could almost accept the hokey old love triangle romantic plot - certainly the stars are great to look at - but the dialogue really sucked: ""I don't think I'll ever look at another sunset without thinking of you"". Please!  And all those hero shots from the ground, and the slow motion love bits, and the soppy music, and the eternal sunsets...But what this film really needed was an editor!  The climax of the film is the attack on Pearl Harbor - an American defeat.  But it seems the film-makers decided that the American audience wouldn't be satisfied with this - and so the movie grinds on and on for another hour or so dramatising a revenge attack on Japan.  And we're supposed to believe that this attack was fought by the very same guys who were on the ground in Hawaii.  I mean we all know that America won the war in the end, so did we really need this long epilogue?Personally I'd cut out all the Roosevelt and the Japanese high command scenes and concentrate on the experiences of the people on the ground at Pearl Harbor.  The Japanese stuff was all completely unbelievable anyway. The sad loss would be the superb performance of Jon Voight as Roosevelt - but maybe they could make another film about him.  I'd also end the film after the attack at Pearl Harbor, as the survivors pick up the pieces.  So why not have a shorter Director's Cut - a novel concept - that makes this film the great film it could have been.  If you like I'll lend the scissors!",3.0,Anonymous,History
"I don't care what people say, I love this movie","I don't care how much people hate this movie and how cheesy it is. It's entertaining, gripping, beautiful, romantic and a good old war/love epic i always circle back to time and time again. Plus Josh Hartnett in a pilots uniform? HEK YESSSSSSS!",10.0,Anonymous,History
