title,content,rating,username,genres
How to survive in pitch black?,"Pitch Black is a survival story. It's about how to survive in an hostile, alien world against even more hostile enemies. The task gets even more difficult when the nearest enemies can be found within your own surviving group.The plot of Pitch Black is quite usual and has been seen several times before in different variations. But what makes this movie shine above others, is it's well-written characters.The group consists of very different people with few more interesting than the others: Jack, a boy with a secret; Fry, a pilot having hard time with her own conscience; Johns, a bounty- hunter with a drug-habit; Imam, a holy man facing the fact that God is sometimes cruel and Riddick, a convict and a murderer learning to value others, not only himself. Characters start to live in the movie. They aren't only paper like in many other movies of this genre. You start to care for the characters, especially for Riddick though that feels quite odd. He is supposed to be the bad guy. In this movie, the line between light and pitch black is very thin. All characters are familiar with both.Other thing that works in this movie is the casting. Rarely do actors fit to their roles this well. Radha Mitchell is suitable for Fry. Cole Hauser brings the right amount of cruelness and sense of responsibility for Johns. But the most impressive work is done by Vin Diesel. He does great job as Riddick. In his hands Riddick is quite creepy, definitely very dangerous and also deep character, just as he is supposed to be.So, how do you survive in Pitch Black? Keep your friends close and enemies even closer.",8.0,Anonymous,Horror
Interesting and entertaining with a good cast of mostly unknowns and great special effects.,"The opening scene of this movie is pretty incredible.  I've seen a number of sci-fi movies with great special effects but my roommate and I looked at each other after the opening sequence and he said plainly, ""sensory overload.""  The plot of the movie is pretty simple but the nice thing about this sci-fi movie is that it lets the audience figure out most of the technology for themselves instead of wasting time to ""subtly"" explain it. The creatures in this movie are also very interesting.  You don't get a really good look at them until about two thirds of the way through. Overall, a very entertaining movie.",8.0,Anonymous,Horror
Relentless and gorgeous sci-fi action film,"Let me waste a moment of your time to explain how I approached this film. 1st I dismissed the trailers out of hand because the film appeared to be an uncredited remake of Aliens, which I consider to be one of the weakest films in the Alien series. Stupidly continuing to dismiss the film after I heard positive things about it from people whose opinions I trust, I missed the theatrical run completely. I then became hooked on Farscape, in its 3rd or 4th season at the time, and found Pitch Black on cable one night around bed time - so I said ""oh why not, at least it has Claudia Black in it."" Soon, I recognized Keith David, and began to realize that Vin Diesel, Radha Mitchell and Cole Hauser could all act (why this should surprise me, I do not know). I was captivated. I have now remained captivated for four years. I just watched the film for the 3rd or 4th time, and I still love it.This is not an art film, not an independent, and its not entirely original, but where it fails to break a lot of new ground, it utterly succeeds in providing interesting, realistic characters, hard-driving action in the medium of a compelling but simple plot, and non-stop entertainment; an absolutely beautiful environment with tastefully rendered special effects. Sound to good to be true? Don't take my word for it... see it for yourself.The film also highlighted the charisma of the now somewhat iconoclastic Vin Diesel, introducing the character of Richard Riddick. Diesel would go on to star in the somewhat Riddick-ulous Chronicles thereof (which I also enjoyed, though recognizing its rather huge flaws) and is now something of a legend. Diesel is so charismatic, so big, and so interesting to watch that it is easy to ignore the fact that he is not only a talented actor, but a smart one too. Checking out the DVD version of Pitch Black, with the audio comments on might just blow you away.The film is about the crew of an inter-system transport ship stranded on an unknown planet after a crash-landing in which their captain was killed. The new commander is inexperienced but bright and heroic (Mitchell), but she is caught between two dominant and dangerous personalities - a bounty hunter with secrets (Hauser) and a dangerous criminal who has been surgically altered to see in the dark (Diesel). Is that all? Of course not - the planet is inhabited, and the inhabitants are hungry.As unoriginal and improbable as some of this may be, Pitch Black is beautifully filmed, well told, and very nicely performed. Don't expect to learn anything, and don't expect to have to think a whole lot, but do expect to have fun with this modern sci-fi action classic.",8.0,Anonymous,Horror
"This is a great film!  If this is your genre', you won't be disappointed . . .","I will admit, I was already a fan of Serenity, Riddick Chronicles and all that, so I did go into this film with a bit of predetermined anticipation. On the flip side, I'm not always that much of a Vin Deisel fan, in that he is somewhat mono-dimensional in his range of characters, but for the embodiment of Riddick, he does fit perfectly. As for the story and how it plays out, the pace is good, not too encumbered with gratuitous special effects and all that, but where it does fit, the CGI is well done and appropriate.The one really glaring technical defect in this story is how everyone just gets out and starts walking around, breathing in the air without the slightest concern for differences in the atmosphere, microbes and so on, but this is a common flaw that is often somehow glossed over in many such stories, so I can't harp on that detail too much.As for Radha Mitchell, she is smokin' hot here, not in a ridiculous or frivolous way, but as her tough, seasoned interplanetary merchant marine ship's captain character ""Fry"", she nails it perfectly. If anything, she very much reminds me of Andrea Osvart (see her as the Hungarian assassin ""Gilda"" in the film ""Two Tigers"").Now, if these two ladies ever appeared together in a film, I would drop everything and go check that out in a heartbeat . . . but I digress.In any case, I have no trouble with granting 8 stars to ""Pitch Black"".",,Anonymous,Horror
A Very Pleasant Surprise; Good Performance By Vin Diesel,"Exciting and interesting from the start, I have to say that while I approached this movie with at best limited expectations I came away from it pleasantly surprised. Vin Diesel is not really my cup of tea as an actor, but in fact he put on a very good performance in this futuristic sci-fi drama as Richard Riddick, a convicted murderer who's being transported to prison on a spaceship that crashlands on a strange alien world. Once there, the survivors discover that there are terrifying creatures who come out only in the dark, which at first doesn't seem much of a problem since the planet has three suns and is never dark. They then discover, though, that the planet is about to go into an eclipse, plunging it into complete darkness for an unknown length of time, and releasing the creatures to hunt them down.Diesel's Riddick ends up as the hero of the movie, because he has surgically enhanced eyesight that allows him to see in the dark, and so he takes on the task of leading the others to safety. This movie is at times frightening, and on the odd occasion graphic, but not gratuitously so. A lot of effort was put by director David Twohy into developing the character of Riddick, and into portraying the change as the others slowly learn to trust him with their lives. I thought it slowed down a bit in the last third or so of the movie, and somehow became less interesting once the creatures were actually released by the eclipse. There seemed to be far more suspense as the survivors tried to figure out some of the mysteries of the planet and as they faced the approaching darkness. Once the darkness came, in some ways the movie became a pretty standard sci-fi monster type of movie. Still, it was a lot better than I had expected it to be. 7/10",7.0,Anonymous,Horror
The director just loves Riddick,"I remembered this as a tight, well made and exciting little sci-fi film, but either I've become more judgmental twenty three years ago or this just hasn't aged well. Actually, it's just the first third or that is a problem. The beginning has quite a bit of poor acting and preposterous behavior from the survivors of a crashed space ship on an unknown planet. They adjust to the monstrous crash they've just been through, which is well done, and new surroundings astoundingly rapidly. They barely seem shook up and are not remotely believable. However, it gets better and the last two thirds are still pretty exciting. I kind of remembered the final scenes, but not the actual ending, so I was a little surprised, which is always good. Bottom line, this is a pretty good sorta Grade B type movie that gave the world Vin Diesel for better or worse. There was a terrible sequel to this, with Judi Dench no less, and another that I don't think I saw. The director hasn't made a film since Riddick 13 years ago and is now making two more. This character is this guy's directing career!",7.0,Anonymous,Horror
Impressive creature feature,"A nice twist on the Alien formula, with a surprisingly good script and a great performance by Vin Diesel. Riddick is one of the most likable anti-heroes in recent memory, and in this film he's given equal doses of hero and villain. The exposition is nearly perfect, introducing all the characters very well and setting up the story adequately. It moves a little too fast after that, though, bypassing a lot of the story in favour of quick kills. Still, the visuals are solid and the direction is quite innovative - I liked the high contrast showing how bright it was on the planet. Diesel carries the movie, but Radha Mitchell is pretty solid opposite him. Some pretty nice gore scenes too. Just a pretty good creature feature.",7.0,Anonymous,Horror
An Excellent use of Sci-Fi as a story telling medium,"While most movies that pit humans against horrendous extra terrestrials end up being cheap imitations of the 'Aliens' series, Pitch Black stands as a fine piece of Sci-Fi, and an excellent movie all around.  Perhaps my favorite aspect of the film is the lighting.  This movie beautifully employs many different colors, shades and intensities of light which set the mood and lend a unique feeling to the film itself, something different than the 'normal' movie lighting we are generally subjected to.  Vin Diesel brings his character to life in an excellent manner, skillfully avoiding the routine portrayal of the hardened criminal.  After all, the film is about Riddick's (Diesel's character) personal journey, so thankfully Vin doesn't drop the ball.  The remainder of the cast (with the exception of the talented and gorgeous Claudia Black) were unknown to me but all turned in marvelous performances, animating the diverse characters with unique quirks and mannerisms.  Pitch Black is a perfect example of making a great film with out the resources of an excessive budget.  The special effects are more than adequate, but at the same time they are by no means the sole focus, as in many high budget 'blockbusters'.  It's a great movie because it uses Science Fiction as a medium to tell an engaging, provoking story, rather then telling a mediocre story to use the flash of Science Fiction.",10.0,Anonymous,Horror
Great,"The 2000's great times for movies, the CGI is opening the possibility for new ideas, combine that with some great actors and you get Pitch Black a Great movie for the time.The Director did a great job I could not find any mistakes so he gets a 10⭐
The actors did a nice job, maybe some improvements here and there but nothing major they get a 8⭐
The story is unique and fresh for the time with allot of focus on the surviving element and the unknown situation, maroon on a random planet with a convict on the lose is a fresh idea for the time and it gets a 9⭐
The effects are in the early stages, the CGI was just starting to make waves so from a modern standard it gets a 4⭐This is a Sunday night movie with friends and family with some heavy popcorn and juice!!!ENJOY!!!!",7.0,Anonymous,Horror
In Darkness,"When their spaceship crashes on an outskirts planet, fears mount in regards to an incarcerated convicted murderer who fled captivity in the crash, however, the crew and passengers soon find something far more terrifying on the planet itself in this action thriller with a sci-fi twist. Relatively simple as the premise may be, it is undeniably effective with the film's best moments coming from the crew and passengers scurrying about in fear of Vin Diesel's killer, accidentally shooting one another in the process. The tension is not quite the same once Diesel decides to unite with the group to overcome the vicious alien presence on the planet, but there is still plenty to ponder over as all concerned find it so hard to trust Diesel even in the face of a very real alien threat. As for the alien presence on the planet, it brings up a whole gigantic slate of unanswered, perplexing questions, particularly in relation to their allergy to sunlight. Then there is the amazing coincidence of the characters crash landing just before the planet is about to plunge into several days of complete darkness - but this is a pretty decent film when one focuses on trust/mistrust themes and the portrait of diverse individuals all banded together in the name of a common goal to survive. Diesel is very good too in the role that really kick-started his career; he has an awesome line towards the end about saying good night, and with his blacked-out contact lenses and designer goggles, his character leaves an indelible impression that lasts long after the movie has ended.",6.0,Anonymous,Horror
