title,content,rating,username,genres
Turn off your brain and just enjoy....,"The most important thing you might wanna know about this review is that I am certainly NOT in the target demographic group for this film. As a 53 year-old man, I am not the type to ever watch ""Pitch Perfect"" in the first place and did so only because my daughter insisted that it was a good film and I would enjoy it. And, fortunately, I did enjoy it quite a bit. Now I am NOT saying I think it's a great film, it certainly has its faults, but it is fun and entertaining.The film is about a capella singing....certainly not the sort of thing most of us enjoy or even care about...though the film manages to infuse the subject with enthusiasm. And, you'll soon find yourself moving along with the singing...and much of it is very infectious. And, the film is about most every stereotype I could think of when it comes to young adult films---you have the bossy and nasty leader of the group, the lesbian, the fat girl who is funny and the rest of the clichés (such as the final big number where not only do ALL the ladies know the lyrics BUT also the choreography of a song they NEVER practiced). But, it manages to make it enjoyable because it SAYS that these are stereotypes at times and the music is pretty cool. I could have done without all the vomit, however. Overall, this is a very watchable and enjoyable picture.",7.0,Anonymous,"Music, Romance"
"Geared up to hate this, but ended up loving it.","When my girlfriend suggested put this on I mimed blowing my brains out with an imaginary revolver.That was a mistake. This is a great, fun film!An all girl acapella group have to regain their crown by winning a competition.
So a motley crew of underdogs is assembled, including our main character, to challenge the superior competition.The characters are heavily stereotyped, and this is the source of a lot of the comedy.
I found the characters engaging and lovable, and laughed along with most of the gags.
The cynical, misogynistic, judgemental, biased commentators were especially funny.The singing segments are short and sharp and just enough to get your foot tapping without going full blown Mary Poppins.I didn't expect (or particularly want) to enjoy this but I did a lot.My recommendation is that even if this is not your kind of movie force yourself to watch the first fifteen minutes, their is a good chance you will make it to the end with a smile on your face.",8.0,Anonymous,"Music, Romance"
It has been years since I have seen a movie that I had such low expectations for...,"That I loved so much. I scored free tickets to a Denver Screening awhile back and was just going to have my wife and 13 year old daughter go , but I watched the trailer and really thought Anna Kendrick was terrific in 50/50 and very good in Up in the Air so I thought, what the heck, I'm going too. Was I glad that I did. I laughed like crazy and loved the a capella singing. This film is really raunchy and just skirts around an R rating several times, but it is just so fun.I am pretty confident that it is going to be the surprise box office hit of the fall and it is so much better than the films that it is bound to be compared to like Mean Girls, Bring it On, and even Bridesmaids.Speaking of Bridesmaids Rebel Wilson almost steals the show with every scene that she is involved with being hilarious, and in a lesser movie her scenes most certainly would be worth paying the price of admission alone, but there are so many other talents involved. Elizabeth Banks has never been funnier. Skylar Astin as the love interest is also terrific though he needs to change his name, because for me the name Skylar brings only one thing to mind and she is married to Walter White.This is no Oscar Winner, I am certain that I will see a dozen or so better movies this year, but none will having me laughing and smiling as much.",8.0,Anonymous,"Music, Romance"
Watch out - you're going to like it whether you want to or not!,"We two 50+ grandmas went to see this film on the spur of the moment because we enjoy musical movies. We were probably the oldest people in the audience which ranged down to younger teens but everyone, regardless of age, was laughing and having a grand time. Much less schmaltzy and self-serious than Glee, but wonderful vocals and dancing and personality. You can't help but fall in love with the hilariously quirky characters, especially Rebel Wilson as the irrepressible Fat Amy, Elizabeth Banks as Gail, the sexually frustrated female announcer, and Hanna Mae Lee as Lilly, the wackadoo who releases the most shocking comments in a voice that barely exceeds a murmur. Fun, feel-good and highly entertaining.",9.0,Anonymous,"Music, Romance"
Typical underdog movie and reasonably entertaining chick flick,"""Pitch Perfect"" (PG-13, 112 min) is a light, inconsequential musical comedy about college and Capella groups. It's one of those movies that would have been a big box office smash hit in the early '90s when these types of comedies really sold. The film has enough pleasures to overcome its failings, even if the margin is fairly slim at times and entirely predictable, which makes the whole feel, like thing been-there-done-that. In a way, ""Pitch Perfect"" (2012) is pretty much ""Bring It On"" (2000) with a Capella-singing instead of cheer-leading. The cast is full of good actors ( Anna Kendrick, Rebel Wilson, Elizabeth Banks) but like most modern comedies, it's ~20 minutes too long, yet at least the music works well.Rating: 6+/7-",6.0,Anonymous,"Music, Romance"
Crazy Funny!!!,"Take Bring It On, Glee (not in the icky cheesy way, but because there's singing involved, the good kind), Mean Girls, and add some quick-witted, sharp-tongued dialogue and commentary, and you have the funniest of movies.At first I was leery: a movie about A Cappella singing groups; I thought at best, it would be a teen flick. Yes, I know, Anna Kendrick. But bigger (some better) names have made some doozies. But, I was unbelievably surprised. Every kind of humour is covered here, and done to absolute perfection. You will be adopting many, many of the lines into your daily lexicon.For me, Rebel Wilson (as Fat Amy) and Elizabeth Banks (as Gail, the commentator) have some of the most hysterically smart lines ever committed to celluloid (right up there with Young Frankenstein).Loved it.",9.0,Anonymous,"Music, Romance"
Fun movie,Start watching and the movie hooks you in pretty quickly. Some laugh out loud scenes. Fun stuff. Recommended.,7.0,Anonymous,"Music, Romance"
"What ""Glee"" Wishes it Could Be.","""Pitch Perfect"" is basically ""Bring It On"", but with a cappella singing groups instead of cheerleadersand it's also a million times funnier. Directed by Jason Moore and adapted by Kay Cannon from Mickey Rapkin's novel, ""Pitch Perfect"" tells the story of Beca (played by Anna Kendrick) an aspiring DJ attending Barden University, who's hobbies include seclusion, nonconforming and listening to Mashups (which kind of makes her a conformist). In an attempt to have Beca become more socially active, her father (who is also a professor at the University) urges her to join a club on campus. But upon perusing each club (especially the glee clubs) she quickly decides that the loner lifestyle is far less humiliating. That is, until a rather awkwardly nude run-in with one of the members of the The Bellas, an all-girl a cappella group on campus that sings nothing but Ace of Base. And since The Bellas are coming off of an embarrassing loss at the previous year's singing competition, Beca, as well as a multitude of other ""a ca-losers""; including Fat Amy (as advertized) and Lilly, the girl who can apparently speak no higher than a whisper, are asked to try out in a desperate hope that a group of misfits could be just the thing that sends the conservative Bellas all the way to the finals of the national Glee-esque competition. And if this doesn't sound generic enough, there is also a love story subplot centered around Beca and a guy who looks shockingly like Dane Cook. OK, so if this sounds like every teen flick that you've ever seen, about a misunderstood misfit who ends up helping the popular kids (that were mean to her in the beginning of the movie) win their something-or-other championship/tournament, only to discover that in the end that they are all the same no matter their social standing, then that is only because, from synopsis alone, ""Pitch Perfect is exactly that. But before you write this dark horse off, let me just say that due to a sharply satirical script and a surprisingly hilarious, eccentric and immensely engaging cast, which include the likes of Brittany Snow, Hana Mae Lee, Rebel Wilson (as Fat Amy) Skylar Astin and Anna Kendrick, giving a performance which not only solidifies herself as a true leading lady in any genre, but also as the new Kristen Bell, but with talent, ""Pitch Perfect"" does elevate itself far above the mundane-ness of your everyday teen comedy. In fact, from the non-stop laughs, to the quite satirical teenage dialogue, to the perfectly hilarious ""Best in Show""-esque banter from Elizabeth Banks and John Michael Higgins, who play the two commentators of the national a cappella competition, ""Pitch Perfect"", aside from a curiously abrupt ending, works on EVERY level; even in its rarest of sappy moments.""Pitch Perfect"" vs. ""Glee"": The main reason ""Pitch Perfect"" works so well is actually quite simple. Where ""Glee"" is so in love with its self-proclaimed perception that glee clubs are the new ""cool"", this is a comedy that isn't afraid to make fun of a cappella groups, glee clubs and people randomly breaking out into song, while at the same time presenting interesting characters that audiences want to root for. So, if you where thinking of avoiding this film on the basis of your dislike of ""Glee"" (or that awful show ""The Sing-Off"") but find yourself being dragged to see it anyways, no need to worry because chances are you will be happily surprised by what ""Pitch Perfect"" has to offer.Final Thought: Even though most of the comedy here is on the cruder side, this is still a PG-13 venture. In short, ""Pitch Perfect"" is not the raunchy female buddy comedy, filled with overlong skits about feces that ""Bridesmaids"" was. But good news""Pitch Perfect"" is so much more funny and (more importantly) more accessible than ""Bridesmaids"" will ever be. What I mean by ""accessible"" is, men will be able to watch this movie without hearing the phrase: ""You wouldn't get it because you're a man."" All kidding aside, I haven't seen a comedy with this much clever teenage personality since ""Easy A"". So, in the comedic cesspool that has been 2012, filled with half-assed attempts such as ""That's My Boy"" and ""The Watch"", ""Pitch Perfect"" is not only my pick for the biggest surprise to come out of the genre this year, but also the funniest movie of the year (so far); narrowly edging out ""21 Jump Street"".Written by Markus Robinson, Edited by Nicole I. AshlandFollow me on Twitter @moviesmarkus",9.0,Anonymous,"Music, Romance"
"Ridiculous, but it knows that it's ridiculous","Pitch Perfect is ridiculous, but it knows that it's ridiculous. The fact that this movie is in on the joke about how seriously these characters take acapella singing makes it enjoyable. The whole cast has moments where they shine, yet Anna Kendrick, Anna Camp, and Brittany Snow really are the standout performances. Even Rebel Wilson is more humorous than annoying. Plus, despite the corny choreography and cheesy vocal arrangements, I enjoy the songs they sing throughout the movie. Pitch Perfect isn't a film I'll watch regularly, but if others want to put it on every now and then, I won't complain.",7.0,Anonymous,"Music, Romance"
Best movie ever,"All the pp movies are worth watching don't think any differently to go ahead and watch them, the best choice I ever made was watching this.",10.0,Anonymous,"Music, Romance"
