title,content,rating,username,genres
An underrated masterpiece,"I'll admit: This is not my top favorite Disney movie. Probably not in my top three. But this movie is still good.I'll also admit I don't usually choose to watch this movie. But when I do watch it, I see that this is an INCREDIBLE Disney movie with INCREDIBLE songs telling an INCREDIBLE story. I really do like this movie, even if it's not my favorite. And Pocahontas is SO pretty. And I love the hair movement in this movie. It really bugs me when cartoon hair barely moves whatsoever, but this movie's hair is more realistic. Plus it's entertaining while telling history that's (kind of) accurate. Thank you for reading my review.",8.0,Anonymous,Animation
"A couple of minor flaws, but this is a beautiful film!","Why on earth is this movie rated so low? It's even rated lower than some of the DTV sequels. That shouldn't happen. It is historically inaccurate, but why should that be an issue? All I want is a visually stunning film with great music, and that's what I got. The animation is splendid. America looked so rich in colour, and the colours were so bright. The songs are sometimes the weakest element of an animation. Here it is the main reason why this movie is so memorable. ""Colours of the Wind"" is one of the most beautiful songs I've heard, and I've sung it before. Pocahontas's singing voice is none other than the Broadway singer, Judy Kuhn, who was absolutely terrific. When I was 12, I tried to sound like her. The incidental music is also definitely the most lyrical of the Alan Menken scores. The weakest element of the film, is actually the character development. The protagonist, voiced by Irene Bedard, is very well done, but most of the other characters are not as effective. Mel Gibson has a singing voice, but his speaking voice is too monotonous to my liking, and Ratcliffe isn't a very likable or memorable villain at all(one of Disney's blandest villains actually), despite enthusiastic voice work from David Ogden Stiers. But Meeko and Flit are great fun, and Grandmother Willow was good too. Don't say this film is racist. Some of the imagery is fantastic in the songs of war and animosity, and the film has a great love story and message. The ending was actually quite effective and poignant. In conclusion, one of the least memorable of the Disney movies, is so worth watching. 8.5/10. Bethany Cox",8.0,Anonymous,Animation
Another triumph for Disney in the '90s...,"Perhaps there should have been a disclaimer at the start of the movie saying: ""Loosely based on the true story of the Indian princess"" and then there wouldn't be all this fuss about a Disney movie not sticking to historical facts. First of all, when you go to see ""Pocahontas"" knowing it's a Disney animated feature, do you really think you're going to see an accurate depiction of events? It's not meant to be a documentary--take it for what it is, a charming, completely enjoyable work of art with stunning visuals, great songs (by Menken and Schwartz) and an uplifting tale that has a message for kids and adults. What more could you want?Definitely a must-see Disney film for the whole family. Should create an interest for kids to learn about the actual events if they are so inclined. As entertainment, it's top-grade Disney with a hauntingly beautiful score that would fit well into any Broadway musical. The songs are splendid: 'Just Around the Riverbend', 'Colors of the Wind', 'The Virginia Company' -- and the artwork combined with the music for the gold-digging number is outstanding.Belongs up there with 'Beauty and the Beast' and 'Hunchback of Notre Dame' as one a serious film fan should not miss.",,Anonymous,Animation
Disney's romanticised take on the Pocahontas tale!,"As with all Disney films, this was a warm and charming movie with some fun set piece sing songs, and your stereotypical big baffoon baddies and your clean cut and heroic good guys!It's a family film and it doesn't get too hung up on being historically accurate. It does romanticise the tale of Pocahontas, and she is tied very much to the land and her people, and has a heroine's role at the end, as supposed to just being a Princess looking for Mr Right.She does of course meet a man at the end, but it's not your typical Disney ending. Much like Mulan, this was a period when the role of Disney Princess was changing.It's worth mentioning the animation, it is fantastic with the shape and movements of the key human characters, absolutely flawless.",7.0,Anonymous,Animation
Wonderful musical from fictitious version of true story.,"Though not entirely surpassing the Lion King this was some of the best music ever experienced in an animated musical. Pocahontas is the daughter of a chief who wishes to find her path in life. She feels it her duty to keep peace between her own people and the intruding British who are hoping to find gold as did the early Spanish explorers. She finds herself falling in love with one of these new visitors and uses this relationship in attempting to prevent a potential war. But can she stop the greedy settlers from their determination to find Gold, and can she convince her Father that they should try to live in peace with their new neighbors? You may be pleasantly surprised. Between the music and the animation Pocahontas is a classic Disney film that should be included in every video collection. Just don't expect to learn any hidden truths about American history. Take it for what it is.",7.0,Anonymous,Animation
I forgot just how beautiful this movie is...why is it so underrated??,"I haven't watched Pocahontas in maybe ten years, but I was feeling nostalgic one day and popped it in. I could not believe how truly BEAUTIFUL this movie is, in every aspect.MUSIC: Aside from the songs everyone knows (Just Around the River Bend and Colors of the Wind) every single other song in the film is wonderful, with soaring harmonies and Broadway quality singing. Everything was masterfully written and executed. The music alone is reason enough for this to be adapted into a full out Broadway musical, but don't worry...the music is brilliant but it doesn't scream ""MUSICAL!"" like Hairspray or Mamma Mia.ANIMATION: Drop. Dead. Gorgeous. Every single frame is such wonderful eye candy, and the camera work serves the sweeping storyline extremely well.STORY: Dramatic (with it's humorous moments of course), romantic, and it carries a very important message of peace, maturity, and fighting against ignorance and prejudice from BOTH sides. This is possibly the Disney movie with the greatest message for kids.HISTORIC ACCURACY: Yes, Disney changed the true story quite a bit, but if you look to Disney for accurate re-tellings of historical events you have a serious PROBLEM. This movie is more 'Inspired by' than 'Based on' and since the true story is about a 13-14 year old falling in love with 30-40 year I think we can all appreciate that they took some liberties with a KIDS' MOVIE.All in all, I really don't get why this isn't revered as a classic right along with The Lion King and Beauty and the Beast.",10.0,Anonymous,Animation
"""I'd rather die tomorrow than live a hundred years without knowing you.""","Disney take on the story of Pocahontas and John Smith. I just saw this for the first time since its initial release. My feelings back then were somewhat lukewarm but, to put that in context, my tastes were more narrow then and I was not really into Disney or anything that felt even slightly like a 'chick flick.' Now I'm happy to say I recognize what an enjoyable film this is. The animation is wonderful with so much beautiful imagery that it took me by surprise because I didn't remember that from my first viewing. The scene where John Smith first sees Pocahontas will take your breath away. The movie makes excellent use of lush colors. Some scenes are saturated with purples and blues -- it's really stunning. Pocahontas herself is gorgeously drawn. She's easily one of the most striking Disney Princesses ever. The score is evocative and lovely with one great song (""Colors of the Wind"") and some other forgettable ones. The voice work is wonderful, especially Irene Bedard in the lead. There are nice touches of humor throughout with a talking tree and playful animals that seem to have stepped right out of Bambi's forest. The emotional stuff is where the movie really knocks it out of the park, whether it be the romance between Pocahontas and Smith or little brilliant scenes such as when Powhatan feels his wife's spirit in the wind.The cause for much criticism and complaints about the film come, of course, from the history police. The movie is historically inaccurate, which should come as no surprise to anyone over the age of four. I'm never one to get all that worked up about historical accuracy in movies (let alone cartoons) anyway. You want to be entertained, watch this movie. You want to learn more about history, open a book. One charming reviewer here said the movie was guilty of whitewashing genocide. What a shocker that Disney didn't want to make an animated version of Soldier Blue! Look, it's a cartoon loosely based on people who lived and died 400 years ago. Unclench your fists, take a breath, and stop relying on Hollywood to educate your children and getting ticked off when they don't do it the way you want them to. It's a good animated film and I think everyone who isn't looking to get angry about as many things as they can before they die should see it.",7.0,Anonymous,Animation
Even better 10 years later!,"Recently I started watching this again with my 4yr old son and fell in love with it all over again! The music is outstanding (I especially love the ""Colors of the Wind"") and the entire movie is a visual treat! I know many have complained that the movie is a European version of an event and demeaning to American Indians, but from what I've read, Russel Means (voice of Powhatan) was happy with the final product and its portrayal of Native Americans. Whether or not it is historically accurate, it is great entertainment and I believe the overall message of peace and acceptance between peoples is timeless good advice. All in all, a great addition to the Disney catalog of movies.",10.0,Anonymous,Animation
One of the better modern Disney films,"Yes, this is surely one of the better modern Disney films. The story is straight and well focused on the two main characters. We have some sidekicks here, the little dog and the raccoon. Both works very well, with loving little gags and without any tendency to crude jokes, that often seen in modern Disney-films, i.e. the stupid fart-joke in ""The Lion King"", which, in my opinion, disturbing this good movie too much. ""Pocahontas"" match the spirit of the older Disney classics well. I love especially the impressionistic, colorful sequences. It is a wonderful way to tell a story with colors, pictures and music rather than dialogue. A technique, that was first used in ""Fantasia"" and than pushed up to the utmost perfectionism in ""Bambi"", and later get lost in the most modern Disney movies. And there is another detail, that i like very much: The villain is not really a totally cruel villain. He had his own problems too, and he was more driven by the demand of his company to find gold under all circumstances. The film did not focus exactly on historical facts, but come on, it is a Disney film, and it had is dark and sad scenes too. As i know, this was only the third Disney-movie (after ""Bambi"" and ""The Lion King"") in which a important character died, which is not one of the villains. Fortunately the end of the movie is ""not typical Disney"". it was done very well in a wonderful closing scene, but without that the... but i will not spoil it for you! But some disappointments are here too: ""Pocahontas"" can't mess with the detailed Animation and deep characters of the older Disney films, especially Disney's ""Big Five"": ""Snow White"", ""Pinocchio"", ""Fantasia"", ""Dumbo"", and especially ""Bambi"" are invincible in the detailed animation and the characters. In ""Pocahontas"" all of this is far simpler done, perhaps to decrease the costs of the movie and not because the animators can't do it better. Overall, i give it 7 out of 10 stars and i hope, that modern Disney will come back to movies of this high quality in the future again.",7.0,Anonymous,Animation
A mature Disney romantic drama,"I read the poster's comments (the one from Paris) and had to laugh, because I completely understand him. I went away for school in Europe in '95 when the film came out, and when I came back Pocahontas was the rage. You know, the way all Disney films were back then-there were commercials, songs on the radio, stuffed animals, etc....until the NEXT Disney movie came to dwarf it until a lame sequel or TV series came out. So let me tell you, I was skeptical about Pocahontas.I saw this a year after it came out and instantly fell in love with it. It's a mature Disney animated feature- (in my opinion) even more mature than Japanime films I have seen. The love story seems very real-there is a sort of chemistry between the leads that you can feel.The soundtrack is one of my favourite parts about the movie. Every song matches perfectly with the spirit of the time and place..a new world in the 1600's.Finally..whoever had the idea to cast Mel Gibson(and Christian Bale) is a genius. Love those voices!One aspect of this movie often overlooked is its dreamy editing. It is so consistent throughout and rivals many critically acclaimed films with great editing.See it again, and remember: ""You can own the earth and still, all you'll own is Earth until you can paint with all the colors of the wind.""",,Anonymous,Animation
