title,content,rating,username,genres
They Don't Make Them Like This Anymore,"This movie is an absolute classic. This is the machoist movie ever made. Schwarzenegger in his prime, Carl Weathers, Jesse ""The Body"" Ventura and Bill Duke--I don't think the line up could have been any better except if they added Sly Stallone.""Predator"" is one of the rare movies from the 80's that I can watch again and again and not feel as though it's dated. The action was great, the lines were memorable and the predator was a beast.""Predator"" was a fresh addition to the action movie genre. No fighting gangs, or terrorists, or enemy nations--this was the toughest of the extraterrestrials versus the toughest on Earth. Man they don't make 'em like this anymore.",9.0,Anonymous,Sci-Fi
Must-See Sci-Fi Horror,"Predator is the perfect blend of 80's action and slasher style sci fi horror. Although it was coined ""alien in the jungle"" when the script was first floating around, Predator exceeded expectations and cemented itself as a sci-fi titan. Arguably Arnold's best role. The cast had outstanding chemistry and the characters traits and personalities were developed well through the action and what dialogue was there. Special nods to Carl Weathers, Bill Duke, and Jesse Ventura. Very well paced film and some of the best one liners of all time. Pairs together great with the explosive action and gruesome kills. The practical effects still hold up to this day, and the predator costume/design (RIP to the late Kevin Peter Hall who gave us an especially great predator performance) are ahead of it's time. An 80's sci fi gem and truly one of my favorite movies to watch, thank you to everyone who helped make this movie possible.",9.0,Anonymous,Sci-Fi
Arnie is at his best in this sci-fi classic!,"This film will always have special place for me, as aside from being one of the best horror/sci-fi films of the eighties; it's also a huge childhood favourite of mine. Despite the fact that I've seen it dozens of times as a kid, I have only seen it once during adulthood; and that single viewing was more than enough to remind me what it is that I love about this film! Predator works as a macho action film, gory horror and intriguing sci-fi, and despite it's short running time of just 100 minutes, it somehow manages to find room for all three. The fact that it stars action icon Arnold Schwarzenegger ensures that the film will always be favourably remembered. He's not a good actor, but Arnie always manages to bring that extra something to his movies. The plot is deliciously simple and follows a group of commandos that go off into the jungle on a secret mission. However, things go awry when it turns out that they aren't the only ones with weapons there. Finding the skinned bodies of the last group of men that entered the jungle is about to become the least of their worries...The jungle makes for a great setting for an action sci-fi flick such as this. These sorts of films tend to be set in space, so seeing the action down here on earth is different; and the fact that it's set in the jungle, with it's dense foliage, ensures that Die Hard-director John McTiernan is able to bump up the suspense, as just like in the Vietnam war; the soldiers are dealing with an unknown enemy. The atmosphere really is excellent, and the special effects help to create a futuristic tone, while the suspense builds and makes sure that the audience are on the edge of their seats at all times. Predator was released hot on the heels of the success of James Cameron's amazing 'Aliens' - but don't be thinking this film is merely a rip off following a trend, Predator has more than enough up it's sleeve to ensure that isn't the case. The action is great, and director McTiernan clearly knows what he's doing. It's fast and furious, and the amount of weapons on display ensures that the film is sure to delight fans of macho action films. The fact that the lead actor is a monster of a man doesn't exactly hurt the film either!Now, Arnold Schwarzenegger may well be a terrible actor; but it doesn't matter because it's his screen presence, not his acting ability, that makes his performances what they are. At times he's cringe-worthy, but it's hard to deny his prowess when it comes to the action sequences, and that is all a film of this nature needs. Arnie isn't the only big man in the film either, as an assortment of muscle men, including ex-wrestler Jesse Ventura, and Carl Weathers; Rocky's Apollo Creed, among other B-movie actors, join him. The man himself also finds himself a very worthy ally, in the form of the movie's central alien. The Predator may not be as beautiful as the creature from 'Alien', but it's just as inventive. Here we have an extra terrestrial that isn't merely trying to breed, or to 'phone home' - but one that is actually there to hunt humans for sport! Aside from being ingenious, the idea also borders on frightening. The gore here is gratuitous, but never goes over the top and on the whole, Predator is a film that never really got the credit it deserves. It's mindless fun - but its damn good mindless fun!",9.0,Anonymous,Sci-Fi
They just don't make them like this anymore,"Predator is my favourite film, next to Rocky, and has always had a special place in my heart. Scaring me to death as a youngster, the film succeeds completely in merging different genres together. For the first part, a gung-ho action flick - for the second part, a nerve-jangling horror that develops into a tremendous adventure film.The film feels like a real team effort, much like the heroes of the film itself. Everyone involved in the production has brought something creative, unique or memorable to the table and has made Predator become a hugely popular film and franchise.Firstly, the scipt is chock-full of classic dialogue, making this one of the most quoted films in history, with so many cheesy one-liners that you've be forgiven for thinking the characters were being hunted by a hungry mouse. However, the script and the premise is genius - by simply pitting an alien hunter against Earth's finest prey, humans (commandos even), the situations write themselves; boy-scout traps, mud-camouflaged Arnie and the villain which imitates and toys with its prey. The sequel, which is OK but not a classic, managed to develop this idea even further with a wider arsenal and deeper understanding of the alien race, which gives this film a little something to separate it from other standard Alien-ripoffs.Secondly, director John McTiernan keeps the film zooming along at a sensible pace. When there's any danger of actual character development, we move straight on to the next scene and dispense with said character lol. There's a tremendous atmosphere as the commandos enter the jungle - it's like another world and straight away the audience is thrown out of its seat with a shocking discovery up in the trees. In fact, the massive outbursts of violence in Predator are still very savage today and despite more violence now getting through censors, we don't get to see anything quite so shocking as skinned corpses and spinal cords being ripped out! Eventually, the tension is cranked up to breaking point as it's left to Arnie to ""stick around"" and avenge his team, Tarzan-style.Next, the visual effects people should be congratulated. From amazing pyrotechnics to the legendary heat vision and camouflage which is part of Predator's unique quality. Even today, the image of a blurry silhouette running through the jungle gives me the shivers and when the final battle kicks in, sparks truly fly. The cameo-effect is one of the best special effects i've ever seen and feels like the discovery of bullet time or something just as classic.Thank the lord for Stan Winston, who practically saved the film by ditching the original dopey design of the Predator and coming up with the masked humanoid with some nice dreadlocks. Most people prefer Giger's Alien design over this, but I always prefer the Predator, largely thanks to Kevin Peter Hall's performance. Instead of a guy in a suit, which Alien eventually seemed like at the end, we get a nasty looking alien under a mask. Never do we think that it's just a bloke under there. The Predator swings from to tree to tree like a monkey and bounds great distances like Frankenstein's monster on steroids. Instead of a clumsy, fake alien, we get something that really does act and look intelligent enough to hunt a team of crack commandos. The appearance itself is truly memorable and it's debatable whether the Pred looks cooler with or without his metal mask.As I said before, it's a real ensemble effort and even the actors bring something to the film that stands out. We don't need character development for this type of film, we just need something that makes each guy different so that we know who's getting wasted - a problem which many monster flicks mess up by throwing in a bunch of blands. Here, every character is radically different; Dutch, the sensible team-leader (although Arnie doesn't exactly need to be distinguished), Dillon who has shades of Apollo Creed in trying to keep his cool and save face, Mac who starts off quite laid back and eventually goes mad, Blain who utters the best one-liners and carries a bleeding mini gun around(!), Billy the tracker who is just out-there and knows something's wrong from the off, Poncho who speaks Spanish and wields a grenade launcher and Hawkins who reads comics, works the radio and tells dirty jokes.Finally, the score needs mentioning as this is one of the most atmospheric soundtracks ever and adds to the films pounding tension. As soon as we enter the jungle, the music spells doom for all with subtle tones that soon explode to life. Considering how much hiking through jungle there is (and yeah, the locations people should be noted as well because this is some truly bad-ass bush), it's surprising we don't feel it because the whole time Alan Silvestri keeps us entertained with the film's classic theme tune.Spawning a decent sequel and countless other media, it goes to show the power of Predator. It all started here, when it was just considered an alien-ripoff but has since shrugged off those roots and claimed it's own slice of history. Everyone involved in the film has contributed something - it's as though their careers have all peaked at the same time and met up on this film. The result is just quality; remarkable, memorable and exhilarating.",10.0,Anonymous,Sci-Fi
An excellent Schwarzenegger classic that still attracts viewers and keeps people thrilled,"Predator is definitely one of the best alien thrillers ever made. It is one of my personal favorite movies. When I first saw just a brief part of Predator when I was about five, I was freaked out and scared to even watch the movie for many ages, but eventually, once getting older, came to like it. The Predator, played by Kevin Peter Hall, is a very realistic and believable creature for the 1980s, when this movie was created. I like how humanlike its form is, and how un-humanlike it is at the same time. The creature's four mandibles were a great idea for its distinct facial characteristics and the creature's roar is awesome, one of the best ever produced. This movie stars Arnold Schwarzenegger, Carl Weathers, Bill Duke, Jesse Ventura, Richard Chaves, Elipidi Carillo, Shane Black, and Sonny Landham and they are all believable in their roles and even add to the humor that this movie has. This is obviously the best of the Predator movies and still one of the most highly liked thrillers today. And let's all show respect for Kevin Peter Hall, who died a year after he had made Predator 2.",10.0,Anonymous,Sci-Fi
Sci-fi classic,"One of the classic sci-fi movies and one of the most entertaining action movies ever made. Certainly one of the best Arnold movies, along with Terminator 1 and 2. Mix a simple but effective story, one cool alien, well directed action scenes, Arnold kicking ass and you get an top notch action movie. Sure, there are some exaggerated macho performances, but John knows how to do it with style.So if you're a young (but not too young) movie viewer who haven't yet seen Predator, be sure to do so to get a sample of action 80's style with Arnold at his peak.Rating: 8/10",,Anonymous,Sci-Fi
Very Good Sci-Fi actioner,"One of Arnold´s best movies. Here he plays the leader for an elite army-unit who is given a mission to rescue south-american officials from left-wing terrorists in a south-american jungle. On their way to the terrorist compound one of the men sense something in the trees and they discover skinned corpses. What they don´t know is that an invisible alien creature is pursuing them. It has come to earth just to hunt for sport and Arnolds group makes a perfect target. The team reaches the terrorist´s camp and levels it to the ground in a very well filmed action-sequence. However they don´t manage to save the officials. When they return to rendez-vouz with the helicopter they are being hunted of the Predator who picks them off one by one. The Predator is a very well done film which catches you from the start. The location-filming is brilliant and so is the casting of tough characters in Arnolds team. I´m specially fond of Jesse Ventura. The script is un-pretentious and straight told. The monster is a kind of Rambo-Alien. Very awesome and very intelligent with the seven foot Kevin Peter Hall in the monster make-up. As always in Arnold´s films, the action scenes are of highest class. I consider this a winner and ranks it: 7 of 10.",7.0,Anonymous,Sci-Fi
"Very, very tense and murderously suspenseful","First of all, if you haven't seen this action, suspense and violence extravaganza, you most certainly are not a true action movie afficionado. The immediate grabbing feature of this movie is its score, very imaginatively composed and created by Alan Silvestri whose other credits include the Back to the Future series and other gems like Who Framed Roger Rabbit. The tempo and build up which the score lends to the film engage its viewers with feelings of fear and nerve wracking suspense for what lurks within the thick of the forest.  Take note of Sonny Landham's comment;""there's something out there,and it ain't no man.The action is fast, furious and merciless. The commandos are killed off one by one, leaving Arnie, Carl Weathers and the surviving members extremely terrified and on the verge of breaking down.  Note the heated arguments that some of the commandos get into with each other.  There is very animated and fiery action in the beginning (assault on the terrorist camp) but as we are introduced to the true terror of the jungle (or should I say, outer space), the action takes a turn for the more insane eg.Arnie running away armed only with a knife and trembling in fear, almost drowning in a waterfall and thereafter, continually pursued by the Predator).   All this followed by a half hour long jungle battle mano a mano with spears, rocks and fists and hall deafening yells by both warriors.  Very, very fierce and macho stuff I assure you all.I shall not go into the other intricacies of the film and will leave it to the curiosity of potential/virgin viewers to find out for themselves. ""Predator"" is essentially one of the few action movies that truly lives up to its name and delivers the thrills and spills in no small amount and at breakneck speed.  True connoisseurs of hard action.....YOU WILL NOT BE DISAPPOINTED!!!!! 9.5/10",9.0,Anonymous,Sci-Fi
"Lean, Mean Action With Arnold","Watching `Predator', which is one of Arnold Schwarzenegger's best action movies, it becomes obvious why Arnold's recent return to action (`End of Days', `The Sixth Day) have all tanked at the box office.  For some reason, Arnold's chosen to play men with a dark past in his recent films, men with a complex background . . . men with laughably bad backstories.  His great characters - such as Dutch Schaeffer in `Predator' - have no background. It's not necessary.  The second Arnold steps onscreen, you know it's time for blood and bullets, plain and simple.  Not every moviegoers' cup of tea, to be sure, but it works.  Unlike `End of Days' or `The Sixth Day', classic Schwarzenegger action films like `Predator' never insult the audience by attempting to explain the often threadbare plot.  Predator is kind of a Zen-philosophy action film - the violence and cheesy one-liners just happen.`Predator' is a fairly simple story; it's essentially a sci-fi version of `The Most Dangerous Game.'  A group of American soldiers, led by Dutch (Schwarzenegger) and his rival Dillon (Carl Weathers), lead a full-blown assault on a group of South American revolutionaries.  Carnage ensues. After wiping out said revolutionaries, an alien creature armed to the teeth with high-powered weaponry - the Predator - assaults the American soldiers. More carnage ensues.Hey, it's not exactly Shakespeare, but thoughtful, well-written action movies aren't exactly common.  `Predator' works as an action movie - and as a darn good one - because it's kept simple (thus minimizing the plot holes and the head-scratching moments), it maintains a high level of excitement, action, and tension, and it's cool.  Schwarzenegger is larger than life as Dutch, pure swaggering testosterone at its best.  Jesse `The Body' rules as Blaine, Carl Weathers is icily cool as Dillon. . . and so on and so on. Enough sarcastic, macho one-liners and brutal firepower fill the movie to make it a male adolescent snapshot of tough-guy heaven.  The Predator looks wicked as well - Stan Winston outdid himself, as the Predator does look and move like a vicious being from another world, and not just some stunt guy in a rubber suit.  The direction by John McTiernan adds the final piece to the puzzle; the cinematography of the jungle is appropriately hot, steamy, and claustrophobic, and the quick pacing of the film moves rapid fire between all-out action and the tension of hunting one's prey . . . or being hunted. Everything adds up to a simple, streamlined, first-rate action movie.Again, not the most intelligent film ever made, but `Predator' is still quite good - it's probably Schwarzenegger's best pure action movie.  (Not his best movie overall, though; that honor belongs to the excellent `Kindergarten Cop'.)  `Predator' is a lean, mean, intense action flick from start to finish.Grade: B",7.0,Anonymous,Sci-Fi
"It Hunts For Pleasure, It Kills For Sport...................","""Predator"" is a genuine Classic. Action, Horror, Sci-Fi it's all there. Lets see for starters we have Arnold Schwarzenegger, on top form riding to the peak of his action status, leading a team of tough Commandos. Made up of a great cast including Carl Weathers, Jesse Ventura and Bill Duke. They're on a mission to rescue Hostages from Gorilla forces but are double crossed by the C.I.A, stop there and you already have a great action movie.But oh no, this film also has an Intergalactic Alien Big Game hunter equipped with plasma cannons, Stealth Invisibility and Thermal Vision. It would be so easy to imagine this film going nowhere if it where to have fallen into the wrong hands. You could really imagine a plot of an Alien hunting Commandos in the jungle coming off a bit lame but no, Fox thankfully had faith and McTierman had a vision. Fox's faith may have been down to there two previous unexpected big hits ""Aliens"" and ""Commando"" which you could possibly say this film is a hybrid of.Film also benefits from being made in that 80s early 90s era where your action film could take its self seriously yet still not too seriously. One minute we see a fairly realistic use of of weapons and tactics the next Arnie throws a truck down a hill equipped with C4 and Jesse Ventura pulls out his M-134 Mini Gun and shreds some Gorillas.The Predator it's self is a classic design, thanks to the genius Stan Winston, and in my opinion never looked better than in this movie. It looked slightly fake in Pred 2(Not a bad film too) and don't get me started on the travesty that is AvP. It could have been a different story if they had stuck to the big rubber turtle they had shot scenes with thank god Arnold himself suggested Winston.I won't spoil the plot for anyone who's not yet seen it I just urge you to see this movie.",10.0,Anonymous,Sci-Fi
