title,content,rating,username,genres
There's a lot to like but the film has one distinct disadvantage.,"Back in 1995, the definitive version of ""Pride and Prejudice"" was brought out--and everyone I know who saw that one agrees with me that it is simply the best. Much of it is the acting (having Colin Firth as Darcy isn't bad) but the biggest reason to adore the made for TV version is that it's long--very, very long. This allows the story to unfold slowly and is never rushed. Unfortunately, every movie version I've seen is just too rushed--and it's hard to shove this wonderful story into a two-hour time slot. So, no matter how good the 2005 movie is (and it's quite good), it cannot hope to equal the mini-series. It's a shame, actually, as there's so much to like about this Keira Knightly version. The music is great, the locations top-notch and the Bennett girls actually look their proper ages! For example, in the 1940 MGM version, the actual ages of the actresses was their mid-20s to almost 40! And, the Bennetts are supposed to be teenagers (there about)!My advice is go ahead and watch this 2005 film--it's really very lovely. But then do yourself a favor--find the 1995 version. You'll be thankful, believe me.",8.0,Anonymous,Romance
Handsomely filmed adaptation of a beautiful book!,"The book by the wonderful Jane Austen is definitely better than the film, dealing with the consequences of love, and the social differences of the late 18th century. The film is certainly handsome looking, with some truly beautiful locations and costumes, with a nice script and some excellent performances from Keira Knightly as Lizzie and in particular Judi Dench as Lady Catherine. Donald Sutherland (yeah, you saw right) was quite charming as Mr Bennett if you put his awkward accent aside. I liked Matthew MacFadyen as Mr Darcy, with his handsome looks and all that, but I will say I do prefer Colin Firth's interpretation from the sublime 1995 mini-series, Firth seemed to adopt a more likable and sympathetic approach to the character. I liked the way the film dealt with the period look and the social differences, and while there was a lot of the pride I would have liked to have seen a little more of the prejudice. If anything, the film could have done with being twenty minutes longer, as I felt there wasn't quite enough content from the book. Then again, it's been a long time since I read it, so I could be wrong. Overall, a beautiful film, not quite as good as the 1995 film Sense and Sensibility with Kate Winslet and Emma Thompson, but worth watching for the detail that obviously took a lot of effort to get right. 8.5/10 Bethany Cox.",8.0,Anonymous,Romance
brilliance took two decades to arrive,"before i start, i would like to say this. i can read, have read the book, and i read the title of the movie before watching, as should you all. quite disappointed in all the pompous idiots filled with prejudice about the movie.I know that another version of the well-mined Jane Austen classic would need to be brilliant indeed. Such diverse and beautifully written characters and such a delightful plot, so deeply rooted in a profound understanding of human nature, are timelessly attractive to directors, actors and audiences alike. So give them a break. you couldn't do any better.Lets start with Mr Darcy. Darcys embodied by Olivier, Firth and now Matthew McFadyen bring differently significance to enjoy in the proud and socially awkward leading male role. Where Olivier and Firth gave us an aloof, arrogant Darcy encased rigidly in a shell so impenetrable it was almost impossible to believe he had been moved by Lizzie's sardonic criticisms or attracted by her spirited independence, McFadyen shows a more accessible Darcy. He's vulnerable, even fragile behind his stiff manners. His aloofness is more believably from social inadequacy than arrogance, yet he is believably constrained by his social standing to regard decorum, fortune and propriety in a wife's family as significant in his choice of a bride. His capitulation to Lizzie is therefore more believable.Similarly Garson, Ehle and Keira Knightley illustrate the lively intelligence, sharp-minded wit and wry humour of Elizabeth Bennet in equally shining ways that nevertheless bring out different aspects of the character. Keira Knightly's performance as Elizabeth Bennett is by far her best, as she sparkles in this role.The two have a chemistry that i had yet to see on the big or small screen - one that mirrors real life romances. the dislike on both accounts is obvious, watching it grow to love was beautiful and stunning. the love story is heart-felt and sweetly, deeply affecting to a level that modern romantic comedies rarely achieve. I found this movie to be a a richly photographed, memorable ensemble production in which the romance is predominant over the drama but does not eclipse it. though my one disappointment - the ending?! of course i wanted to see them kiss, who didn't? but the shots of them arguing in the rain, and as they draw close with the sunlight shining between them was breathtaking.Giving due significance to the rural environment which plays such an important part in the story, the cinematography captures wide frames of soft, misty fields, copses and winding country roads as an environment which underscores the gentle manners and passionately beating hearts beneath empire gowns and ruffled shirts. The surroundings both detract from the humans and function as appropriately natural settings for the dramas of human nature.Keira Knightley's swan-like Elizabeth moves with energy and grace, hotly opinionated and profoundly moved by principles and prejudices, and magnetically drawn by the seeming arrogance, reticence and gallant behaviour, finally revealed, of Mr Darcy. For two centuries Elizabeth Bennet has been a heroine much admired for her self-contained independence within a culture more conditioned to female submissiveness. Knightley's portrayal is true to the original.All in all, i must give this movie 5 stars, 10 out of 10, 100 % brilliance. The story itself, the characters, the actors, everything that was in the movie 'bewitched me body and soul'. i have never been more moved by a movie, especially not one where i found it to be as hilarious as it was moving.",10.0,Anonymous,Romance
Jane Austen for ever,"Jane Austen's tale of love and economics reaches us once more with the energy of a thorough novelty. ""Pride and Prejudice"" has been a favorite novel of mine since I first read it and I've seen Laurence Olivier and Greer Garson, Colin Firth and Jennifer Ehle and now Matthew MacFadyen and Kiera Knightly. Amazingly enough I've never been disappointed. The material seems to be full proof. Colin Firth's Darcy, in many ways, is the Darcy I've always imagined. He's been an actor I've followed feverishly since his glorious Adrian LeDuc in ""Apartment Zero"", Matthew MacFadyen was totally new to me but he managed to create that sense of longing that makes that final pay off so satisfying. Kiera Knightly is a ravishing revelation. I must confess, I didn't remotely imagined that she was capable of the powerful range she brilliantly shows here. The other big surprise is Joe Wright, the director, in his feature film debut which is more than promising, it's extraordinary. The photography, the art direction and the spectacular supporting cast, in particular Donald Sutherland and Brenda Blethyn, makes this new version of a perennial classic a memorable evening at the movies",10.0,Anonymous,Romance
Spirited Modern Interpretation of Austen's Classic Love Story,"A ""modernised"" version of Jane Austen's classic novel that should not be compared unfavourably with 1940 Hollywood Olivier / Garson version nor several BBC serials culminating in the most acclaimed TV series version from 1995 with Colin Firth & Jennifer Ehle-a personal favourite.This 2005 film clocks in 127 minutes (UK / Europe)& 135 minutes (USA & Canada) -the extended version allowing audiences to share more of the timeless love story with the main characters -Elizabeth Bennet & Mr Darcy.Director Joe Wright plus his screenwriters ( Oscar winner Emma Thompson contributed to the final screenplay) have chosen to emphasise Elizabeth Bennet / Mr Darcy plus Jane Bennet/ Mr Bingley story lines & reduce Mr Wickman, Charlotte & Mr Collins to supporting characters.Austen's famous wit,satire & humour that forms the basis for her enduring appeal (Pride & Prejudice was finally published in 1813 & continues as an annual bestseller)is sidelined to open up this version as more emotional drama for modern audiences.If you are open to a newer interpretation, can avoid comparisons to the nearly 5 hour 1995 TV version which allowed for greater depth & detail in telling all the characters story lines & accept some of the new film's rushed story lines-you are in for a treat .....New British star Keira Knightley (Elizabeth Bennet))excels in her first real leading actress role ably supported by fellow Brit Rosamund Pike (Jane Bennet) as the sisters supportive of each other's & their Bennett family problems.Knightley at 20 is the right age for her character,this allows Elizabeth's girlish personality plus her character's pride, misjudgements & loving nature to shine through....Great star turns from Brenda Blethyn as their mother Mrs Bennet plus Oscar winner Judi Dench as fearsome Lady De Bourgh (Mr Darcy's aunt)add depth to this film version.Claudie Blakley as Elizabeths's wise friend Charlotte Lucas & Simon Wood's amusing Mr Bingley are delightful supporting performers.One major surprise is Canadian actor Donald Sutherland's touching performance as Mr Bennet -capturing both the humour of living in an all female household & five daughters to look after with the poignancy of seeing his eldest children's difficult relationships develop -easily his best acting performance in years.In the difficult role of Mr Darcy rising British star Matthew Macfadyen (BBC's Spy series Spooks & Award winning New Zealand film ""In My Father's Den"" rises to the occasion.With the short running time, there is not enough time to allow Darcy's repressed & prejudiced personality to be fully represented -Macfadyen perfectly displays Darcy's social & class problems, his unfortunate attempts at gaining Eliabeth Bennet's interest & his painful adjustments to achieve their personal love story.Macfayden & Knightley's objectionable first dance,their embarrassingly moving Collins House meeting,the unexpected Pemberley encounter plus their two proposal scenes are highlights of this film.Engaging acting performances with wondrous film photography,film locations at some of United Kingdom's most famous stately homes, marvellous film sets & costumes plus one of 2005's best original music scores add greatly to this new film version.All in all one of the better films of 2005 -not perfect film making and not intended to be as subtle as Austen's novel -but a wonderful surprise with some changes to present a modern version of Pride & Prejudice for current audiences -do see this film as & when it is released worldwide....And after seeing the film or re-visiting 1995 BBC TV series -read the original novel for its classic storyline, memorable characters & Austen's brilliant writing style,wit & humour.....9 Out Of 10 for this different interpretation of an enduring classic",9.0,Anonymous,Romance
Exquisitely filmed.,"Pride and Prejudice has always been one of my favourite books, so any screen incarnation has to live up to certain personal expectations of character, style etc. And of course, there is the gold standard of the 1995 BBC series, which, as other reviewers have pointed out, had the luxury of several episodes to cover a story that here takes just two hours. So I was truly delighted to enjoy this movie so much. It had a lot to live up to.The first thing I must say is that it is exquisitely photographed. The atmosphere set by the beautiful cinematography, is perfect. The film deserves to be nominated for an Oscar on that basis alone. I am in awe of the technical crew and director who could find such unspoiled vistas and such perfect weather in England, and I say that as a Brit who used to live very close to some of the eastern England locations! I sat right through to the end of the credits to see where it was shot, because I assumed it must have been filmed in some remote, rural, continental European locale. I felt quite ashamed that I had doubted the ability of my native land to still provide such delightful scenery! The mist rising off early morning fields, geese on a perfect farm pond, magnificent country estates and enormous trees more usually associated with California than England. Also perfect were the interiors. The air of genteel poverty in which the Bennets lived was well captured. The slightly down at heel scruffiness of the Bennet's farm and house, and the general dirtiness of 18th century life for most people, contrasted well with the ridiculous, rich fussiness of Lady Catherine de Bourg's house and the stark, museum-like beauty of Darcy's home.The cast were excellent. I thought Rosamunde Pike as Jane Bennet was perfect, Simon Woods as Mr Bingley was charming although perhaps a little too puppyish, I enjoyed Donald Sutherland and Brenda Blethyn as Mr and Mrs Bennet and I'm one who thinks Matthew MacFadyen did a very good job as Mr Darcy, a characterization which was slightly more user-friendly than Colin Firth's 1995 Darcy. Also outstanding were Claudie Blakley as plain Charlotte Lucas, rescued from a life of unmarried oblivion by pompous Mr Collins (a very good Tom Hollander) and Kelly Reilly, as the bitchy Miss Bingley. Is Rupert Friend (Mr Wickham) destined to play Orlando Bloom's brother? Am I alone in seeing a similarity? Of course, Keira Knightley plays the title role of Elizabeth. I have followed her career closely since Bend it Like Beckham, and I thought this easily her best acting performance so far. She captured the playfulness and wit of Lizzie's bright mind wonderfully well, and made me think long and hard how truly frustrating it must have been to be an intelligent young woman in a world that expected nothing more of her than an ability to choose ribbon and to capture a husband possessed of money. The only possible slight criticism I might make, is that Keira Knightley is perhaps a little too waif-like to pull off the 18th century characterization entirely convincingly. She is stunningly beautiful, but her stick thin appearance alongside her more robust looking screen sisters, made her look as if Mr Bennet might well have doubted her parentage!",,Anonymous,Romance
A timeless adaptation of a timeless Jane Austen novel.,"The fantastic romantic world of Jane Austen again makes its way to the silver screen in Joe Wright's new adaptation of the classic novel Pride and Prejudice. It is the first feature film to be adapted from it in 65 years, and believe me when I say it does not disappoint. This adaptation is, for lack of a better word, a BRILLIANT achievement that keeps you actively involved from the first scene to the very last scene, just about consuming you with aching romance  and it is sprinkled with humour and intelligence.Still taking place in the late 1700s and still interweaving its story with timeless emotion, pride, narrow-mindedness and love, Pride and Prejudice (2005) zooms in on the Bennet household in class-conscious, stuck-up England. In this household, we follow five spirited sisters under the idealism of their overbearing mother (a superbly neurotic Brenda Blethlyn providing for the comic relief) who desperately wants them all to marry and thereby secure the future of the family estate. But the standout sister and protagonist in the film, Lizzie (Keira Knightley) is clever enough to have other ideas, but alas too romantic to carry them out... *sigh*When reviewing period films such as this one, one often focuses on the setting and costume design. I believe this is done because they are often better crafted than the actual story. But in Pride and Prejudice (2005), the stormy emotions of its charactersbottled up but bubbling to get outcompletely consume the entire film and places understated set designs in the backseat. Only when it was consciously put forward, like when Lizzie Bennet was admiring the beautiful architecture and Greek statues of Mr. Darcy's estate, did I ever notice the background  and it was, of course, extraordinary. A similar state displaying the dynamics of its central cast should be attributed to the grand dancing scene between Lizzie and Mr. Darcy  the two are so absorbing that when Wright purposely fades out the the rest of the dancing crowd, you do not notice a change. Your eyes are still solely Knightley and Macfadyen. It took me three viewings to realise this.As for acting performances then, the unspeakably lovely Keira Knightley has finally done it. She has proved me wrong with a truly Oscar-worthy performance and she does it without crying, worrying, moping and sighing like the other nominees that year. Knightley is in fact all about sweet subtlety here, bringing a fantastic presence to her high-spirited character Lizzie. She is the type of character that every girl and woman in the world can identify with and with Knightley behind her to give her oomph, you will not find a more likable creature in films this year. MacFayden is completely satisfactory as Lizzie's love interest Mr. Darcy, but he is no Colin Firth  lacking in charm and is a bit too wooden. But no matter, because these two have the best on-screen chemistry I have ever seen. I'm not kidding, this was sensational. Such magnetism. It is highlighted from scene 1, playfully touching upon their sexual tension and gradually turning it into feverish love that sends chills down your spine.Every last actor in the cast of Pride and Prejudice (2005) gets to shine in their characterfrom Dame Judi Dench as a cold rich lady to Donald Sutherland as caring Mr Bennet, all except Jena Malone whose all too Valley-girl American attitude was distracting and annoyingly anachronistic. But it is Knightley who is in focus and who propels the film with her warm charisma. It is impossible not to fall in love with the main characters, and I say this as someone who avoids romance-themed films and who does not care for period films.This is a truly timeless story and this film will hopefully be remembered, celebrated and praised for breathing life into it with such passion.10/10 (which is a rare grade for me)",10.0,Anonymous,Romance
The realism was unauthentic.,"I felt distracted by the 'realism' of the film. Jane Austen would not have gone into detail about the 'farm' (chickens, hogs, etc.) portrayed in the film. Jane Austen's world was a gentle one and the Bennets, despite their pretensions, were middle class. The television series got it right. This film did not. The new film deviated too far from the book and the author's intent in dealing with the manners of the aspiring middle class in the early nineteenth century. Although the costumes appeared to be authentic, the makeup was too heavy; the eyebrows on the women too sculptured and the men's beard too unshaven, as are characteristic in 2005. One good feature was the variety of clothing styles form the current (early 1800s) to the outdated of Judi Dench and Donald Sutherland. I remember David Maclean saying about the film Dr. Zhivago that they forgot about the hairstyles. Here they forgot about the makeup.",6.0,Anonymous,Romance
Outstanding...MacFadyen is a worthy Darcy.,"Outstanding ... MacFadyen is a worthy Darcy and a darned good actor to boot! The scenery, backgrounds, and country folk were much more realistic than previous versions. The costumes and hairdos also seemed in keeping with the times. Another great addition is the priceless Donald Sutherland who, in a perfect world, would have had more scenes with Judy Densch. If those two can't chew up the scenery, nobody can. And, finally, Keira Knightly is a jewel. Her beauty is so apparent that it almost detracts from the fact that this is a very good actress who can hold her own in any room. This was a delight and I only wish that it could have been 6 hours long.",10.0,Anonymous,Romance
Acting is superb,"While I will say first off, that no movie production ever made will ever equal a novel, especially one of this magnitude, this movie is very well done. I read many reviews going either way, but I must say I enjoyed the film very much. Many are quick to criticize Mac's performance saying he didn't do a good job. I thought he was fine, but believe me he is no Colin. Keira Knightley was absolutely incredible in the film, I would go as far to say it is her breakout performance. Donald Sutherland was amazing, but as can be expected from him. Judi, like always is incredible at her role as Lady Catherine.If you are a complete avid fan of the book as I am, you may or may not like it. My only complaint was that it was in fact short, but then again it is quite hard to make a 370+ page novel into a two hour movie easily. There is a phenomenal display of acting by the entire cast, and the score is perfect.One warning though, the movie concentrates on the love story more than Austen's satire of society, so many Austen fans may be angry with that. But overall I thought it was a great film.",10.0,Anonymous,Romance
