title,content,rating,username,genres
Decent film with room for improvement,"Public Enemies is a crime drama based on the true story of the infamous bank robber of the 1930's, John Dillinger. Johnny Depp does an outstanding job playing the main character, but I don't feel that this is his best performance. Perhaps it is a lacking script that causes the unimpressive characterization. Christian Bale plays the FBI agent chasing Dillinger with fervor. His betrayal seems a bit dry and lackluster. The story is interesting and well paced, but there is slightly too much time put into the setup and not enough in the execution of the plot. The action sequences are quick and the machine gun shoot-outs are mind blowing. Overall, I left the theater feeling that this was a decent film with room for improvement. It is worth a watch, especially if you like the period portrayed. I give this movie 7 stars for a just-above mediocre production. I hope this review was helpful. -MovieJuice",7.0,Anonymous,"Biography, Crime"
Fun but flawed,"I liked PUBLIC ENEMIES but I didn't love it. It comes close to feeling like an epic at times, detailing the cat-and-mouse games between infamous bank robber John Dillinger and the G-man on his tail. Unfortunately the screenplay feels a little bloated at times and the truth is that while Michael Mann is a consummate professional as director, his films always possess a certain coldness that makes it hard to get close to the characters.And that's the case here. Superficially, the movie looks good and the characters go through the motions with aplomb, but you never really care about what happens to them. Bale's protagonist is totally unmemorable, leaving Depp to hold the fort as the anti-hero of the piece, but whenever the film moves away from a complex action set-piece it falters. Depp's romance with Marion Cotillard is particularly gruelling and heel-dragging.Nevertheless, the drama and excitement when it comes is very well handled, with the shoot-out in the woods particularly fine and the bank robberies all staged very well. As ever, Mann has a steely eye for the action so the film zips along when concentrating on them; it's everything else that's a bit lacklustre. In addition, the cast is so big that the supporting players, like Stephen Dorff, James Russo, Billy Crudup, David Wenham and Stephen Lang get lost in the mass, each lacking truly memorable scenes. The ending, when it comes, seems almost arbitrary.",6.0,Anonymous,"Biography, Crime"
Overview of a criminal mastermind,"Public Enemies is an alright docu-crime-thriller that, thought well-made, ends up coming out dry. Many of the scenes are well paced, but in its running time the film feels like a very rushed overview of the final years of John Dillinger. What I mean to say is that this is a good movie, but you probably won't leave the theater feeling like you've learned anything about John Dillinger, other than trivial facts. The movie never really gives Johnny Depp a chance to shape the character into a believable icon because as I previously stated this film feels more like a dramatized overview of Dillinger's career instead of focusing on the man himself.Now, Johnny Depp is a fine actor, and he reminds us in this movie that he isn't only a go-to man for quirky, weird, whimsical, and bizarre characters. In Public Enemies Depp reminds us that he is talented as a traditional actor and that he is still one of the best in Hollywood today. The problem is the script he is given for Public Enemies never lets him expand on anything regarding John Dellinger as a person. In Ridley Scott's 'American Gangster' Denzel Washington was given a chance to really emphasize the qualities he felt reflected his view of Frank Lucas. Public enemies, Johnny Depp never truly gets to define what he feels are the most important aspects of his portrayal of Dellinger because often the film gets too caught up in the action and events instead of its characters.Christian Bale bounces back after a sub-par performance in 'Terminator: Salvation' and it's good to see him working his voice manipulation ability again, because I for one was beginning to think he'd gotten stuck on his Batman-style growl. Playing the FBI agent pursuing Dillinger he is an interesting character due to his dedication and could have been a really interesting character, but like Depp, Bale never really gets a chance to try and expand on his character.The music isn't anything you haven't heard before in previous crime films of this sort, but for the most part it works. I wouldn't buy the soundtrack to this film, but it certainly didn't take away from the experience. Also, songs from the 30s are played throughout, and most of the time they manage to fit into the story's many montage scenes very well.Director Michael Mann seems a tad bit off when compared to some of his previous films. He often goes for a look that makes the audience feel that they're in the middle of everything, and that's good in small stretches, but I felt he used this technique too often and I found myself growing a tad bit dizzy at times, and had a desire to see what was going on in the shootouts. I found it strange, that with his recent films such as 'Collateral', where the characters had been the center-focus of the entire film, he could then make a movie about one of the most infamous criminal minds and have it be more about the history than the characters who lived it.The thing that is most fascinating about this film is the costumes and sets. The men and women behind these really outdid themselves and created a very authentic view of 1930s Chicago. This aspect of the film alone makes it worth seeing! Every costume and set seems to have been made with the utmost attention to detail, and the final result is very pleasing to the eye.The final product in an okay docu-drama on the life of one of America's most infamous criminals, but in the end you really don't discover anything about John Dillinger that you couldn't have found out by looking him up on Wikipedia. So this is a pretty film to look at, and with Depp and Bale it's a good way to introduce those unfamiliar with Dillinger to the criminal, but if you were looking for a character study on the bank robber you may find yourself a tad-bit disappointed.I wouldn't come close to calling Public Enemies one of the best movies of the summer, or of the year, but when compared to several other films that are currently being screened I would still highly recommend it. With movies like 'Transformers: Revenge of the Fallen' out there your money is best spent on Michael Mann's Public Enemies.",7.0,Anonymous,"Biography, Crime"
"Good, but not without flaws","Public Enemies, this film has been built up for quite a while, why not? It stars Johnny Depp as one of history's most famous bank robbers. Also the city of Chicago has been excited to see this, in some strange way we considered Dillinger to be a Robin Hood as he never took money from the common man, just from the banks. He also was clever enough to escape jail by making a fake gun out of a soap bar, I lived in Indiana for a year and people are incredibly proud that Crown Point was where Dillinger had fooled everyone, lol. So naturally I was really looking forward to seeing this movie, especially with Johnny Depp as John Dillinger, it's a can't miss. Unfortunately for me, the film fell short of our expectations as the way it was made and how there is lack of material for Depp and Bale to work with to give these characters any depth. Mann makes a film that is using a digital camera for a film set in the 1930's and doesn't really bring his A game to the film as it's more like ""Here's Dillinger's story enjoy"".Set in 1933 John Dillinger is brought to a penitentiary, but is there to break out the rest of his gang. After loosing a few of his friends, he's headed to Chicago to make his mark on the banks. Melvin Purvis is upgraded by J. Edgar Hoover, who is protecting the FBI from scrutiny by politicians, to lead the hunt for John. John later meets Billie Frechette, whom he takes to dinner. He states plainly what he will do for her and how he will treat her if they are to have a relationship. After a shoot out gone horribly wrong and making the police look more incompetent, Purvis demands that Hoover bring in professional lawmen who know how to catch criminals dead or alive. Though Hoover had hoped for more pristine agents, he agrees. While John and Billie are enjoying the luxuries across the States, the police finally find Dillinger and arrest him and his gang in Miami. However, Dillinger and a few inmates escape from prison using a fake gun. He is goaded into a bank robbery job by an acquaintance, Dillinger agrees. The robbery goes fine until Nelson impulsively kills a nearby police officer, alerting more of the robbery, making Dillinger Public Enemy Number 1.Now Public Enemies is by no means a bad film, some of the actors were terrific and the sets were perfect as well as the whole feel of the film. But it just won't stop with the ""Run! Chase! Run! Chase! Shoot! Shoot!"" scenes that seem to dull down after a while. The love story between Dillinger and his gal, Billie didn't seem too necessary, it added to the story but for me felt a little out of place at times. I have to tell you that I'm feeling so incredibly bad for Christian Bale this year as it seems like he's been given characters who are not well written, but I'm starting to wonder if the Batman voice is his new trademark because he was starting to use that voice again in a few sentences. Depp does the best he can, but once again with the lack of material; he's made out completely as the hero of the film, instead of maybe having more of a documentary feel to it and being biased on how cool Dillinger was. Maybe he's Mann's personal hero, who knows. But over all the film is decent enough for the watch, I'd just say if you want to see it, go for a matinée or a rental, it wasn't worth the full price.7/10",7.0,Anonymous,"Biography, Crime"
The devil is in the details,"It's as hard to get a grip on Mann's impressive but vaguely off-putting new movie about John Dillinger's last thirteen months as it is to project yourself into the coldly beautiful digital images. The title itself provides a clue to the problem: it doesn't focus on the star criminal embodied by the charismatic and -- here -- coolly dashing Johnny Depp, whose quips and provocations in the trailer draw us into the theater to see him, only him, and his bold exploits. It points instead to the wider focus of Mann's book source -- 'Vanity Fair' writer Bryan Burroughs' 600 pages of meticulous research, 'Public Enemies: America's Greatest Crime Wave and the Birth of the FBI, 1933-34.' Relentless G-man Purvis (a convincing but bloodless Christian Bale) and his rising boss FBI chief J. Edgar Hoover (Billy Crudup, both droll and period) are part of another story as important as the bank robber's final wide ride, the story of the growing cruelty and relentlessness of the forces of American law.Look at another title of a movie about a doomed but spectacular crime spree: Arthur Penn's 'Bonnie and Clyde.' That 1967 classic works so well because it's character-driven. Even in the sketchy but powerful scenes that outline John Dillinger's romance with French-Native American hatcheck girl Billie Frechette (Marion Cottillard, working wonders with limited material), character is subsidiary to function: ""I rob banks,"" Johnny says. And then: ""What else you need to know?"" Well, quite a lot, actually, for a rounded character to emerge. Mann's movie is meticulous as to period look, to facade, but not to essence. Its street scenes are full of detail, its clothes immaculate and accurate. Taking place in 1933-34, however, it provides too few overt signs of the Great Depression. The film is also misleading in showing the Dillinger gang only robbing grand, marble-hall-and-column banks, when in fact they mostly robbed small and middling sized ones.The overall result is a collection of contradictions. There is romance, but the effect isn't romantic. There's precise realism, but the overall effect isn't realistic. Perhaps the only unmitigated pleasure that remains is the images, the digital with its cold precision, its crisp edges even when many of the cameras are jiggly and hand-held, the depth of detail in darkness, the color that is neither bright nor faded, the sheer satisfying crispness of everything and everybody. And in this one aspect, a sublimely heightened vérité whose look is something quite new, 'Public Enemies' matches 'Bonnie and Clyde:' it makes us feel we're seeing period scenes with contemporary eyes. The best and most memorable images are the complex ones you won't see in stills where many actors are running back and forth in front of the camera, the gunshots are popping realistically in every direction, and there is no hint of the usual film chiaroscuro or highlighting, but the light is somehow beautiful. The cameras move too much, but they do rub your face in the action. What's gong on you may figure out later.Maybe you can't avoid mythologizing when you shoot a movie about a famous Thirties bank robber and shouldn't try to, but Mann does. He's working, with great accomplishment, from that meticulous historical account, involving dozens of players on both the cop and the crook sides. Dillinger (and alternatively the totally unappealing Purvis) stay in the foreground. But there too is a contradiction, because the way Depp plays his part, witty, cold, and focused rather than warm and down-to-earth, his character ends up being impressive, but ultimately absent. (Contrast Warren Beatty's impotence and blinking charm as Clyde Barrow, an absence you yet want to cuddle.) Even when the characters are strong in Public Enemies, they don't get enough chance to interact. Dillinger is rarely with Frechette. His chance to confront Purivs is too brief, the moment when Purvis tells him he's to be extradited to Indiana and he quips, ""There's absolutely nothing I want to do in Indiana."" He's not facing off Purvis; he's playing to the audience.This should have been one of the showpieces of the season, and it is indeed a blockbuster with class in a world of junk. Its virtuoso look and complexly orchestrated scenes will hold up with time, but despite a freshness in approaching familiar genre material, it's missing that certain 'je ne sais quoi.' Even though it's different, it lacks style, movie-making panache, playfulness, suspense, the ability to push a climax, the capacity to take a breather so the momentum builds up again. There's an impressive twittering machine functioning here on all its Ford V8 cylinders. But the light touch is missing, the capacity to make you say ""Yeah!"", to simultaneously stand apart and admire while utterly caught up in it all.",8.0,Anonymous,"Biography, Crime"
John Dillinger- Public Enemy #1,"The year is 1933, it's the Great Depression. A time for the desperate to do the unthinkable. Crime was on the rise and people were suffering. For John Dillinger (Johnny Depp) it was a time of infinite possibilities and opportunities. To combat the sharp incline in rampant criminal activity, J. Edgar Hoover (Billy Crudup) forms the FBI, led by Melvin Purvis (Christian Bale). Together they target Dillinger as public enemy number one. Relying on new methods of intelligence gathering (such as tracking the purchase location of a coat or recording phone conversations), the firepower of trained gunmen, and his own relentless nature, Purvis gets closer and closer to Dillinger and company.""I like baseball, movies, good clothes, fast cars... and you. What else do you need to know?"" - John Dillinger. Johnny Depp IS John Dillinger. He's perfect for the role. The cool, confident and almost cocky nature of the character is really portrayed on screen (such as bragging to reporters about his bank jobs and teasing Purvis and agents who are after him). It's a look of how a man lived and succeeded in a hard time. Dillinger was a man that lived in the moment as only a man in the depression could. From the worlds on John Dillinger, ""I'm to busy having fun today to even think about tomorrow."" Who knows what tomorrow might bring? Bale also succeeds in his role and is a solid counterpart against Depp. It works well having two top, well known actors opposing each other on screen.The film is directed by Michael Mann who brought us such films as Heat, The Insider, and Collateral and he adds another good film to his resume with this one. The action sequences, bank heists, and shootouts in this film are probably the biggest highlights. After all, this is from the same guy who gave us one of the most famous and arguably the best shootout of all time in Heat. The sequences are cool, slick, and gritty. Excellence at it's best. (I have to throw in a note of praise for the superb shootout at the Little Bohemia lodge, which was an extremely impressive scene)The cat and mouse aspect makes it intriguing, but I think more could have been added to it. It just feels as if something was missing. Much of the film focuses on the love story between Dillinger and Billie Frechette (Marion Cottillard) It's also interesting to see the other gangsters of this time and how they relate to Dillinger and the criminal world.Much has been made of Public Enemies being filmed on HD video, mostly complaints. I must say that at times, the picture looked amazing. The night sequences, especially looked beautifully slick and realistic. I loved the cinematography here. The cars, headlights, street lights, and everything looked fantastic. Other times, it doesn't look as good. It just felt as if something didn't look right. I'm not sure what to think about this.One problem I had with this film would have to be the lack of character depth in many of the characters. At times, it seems as if we are expected to know and understand the characters before going to see the film because it is a real life story. But as a film, it could have developed the characters more to help us (and those who know nothing about Dillinger, his life, or Purvis and the FBI) understand them better. Another problem was some of the historical inaccuracies. Many things portrayed in the film, do not happen as they did in real life. Many sequences are just out of order. I know the filmmakers had to know about this and just tried to work it in as best as they could. It's not a documentary, it's a movie.I really enjoyed Public Enemies. It's a solid crime drama and a good summer film. I understand expectations were through the roof, but that's a little hard to ask for. It's a really good film, but not quite a great one... The action is fun, the story is interesting. Maybe instead of being a very good film, it could have became a really great film if more was put into the characters? I'm not sure. It just felt as if something were missing. But who can knock a film for still being good?",,Anonymous,"Biography, Crime"
Johnny Dillinger and other characters,"Digital is the world of Michael Man with all its drawbacks. It works up to a point, if you don't mind being distracted by the make up on the actors faces, pimples and blemishes. The final adventures on John Dillinger's life look and feel like a work of fiction and I suspect that in ""Public Enemies"" they are, 50/50, fact and fiction. Johnny Depp is marvelous no matter what and his is a star performance. There is only a vague approach to a real characterization, but I didn't care because I go wherever Johnny Depp wants to take me. It was like that with Gary Cooper too, wasn't it? Part of the sneaky narrative is to have Dillinger the criminal played by the angelic Depp and Purvis the noble FBI guy played by Christian Bale that emanates evil without even trying. If you're interested in performances, like I am, Billy Crudup is the thing in a sensational turn as J Edgar Hoover in spite of the digital thing, that makes him look as if Hoover suffered from some rare skin condition, damn shame if you ask me. Marion Cottillard is absolutely lovely but we knew that already and the rest of the characters remain an enigma, they enter and leave the scene without us ever having a clue who they are. Giovanni Ribisi, Stephen Dorff, Jason Clark, who were they and Lelee Sobieski? It was startling to see her appear on the third act. Who was she suppose to be? In any case, the film has a Michael Mann feel and it's technically great. The shootings are extraordinary and Johnny Depp totally beautiful. I suppose that should be enough to applaud and recommend ""Public Enemies"". I did and I will even if, I must confess, I expected more or maybe less.",7.0,Anonymous,"Biography, Crime"
Back to the '30s with Mann,"My grandpa's first reaction when he heard this movie was being released was -why? Why yet another movie about Dillinger? What can it add? My grandpa's question triggered my thinking. Movies and Hollywood filmmakers don't seem to care anymore about adding something to history or the medium. They just seem to compulsively adapt other movies, toy lines or videogames into modern reworkings. It's a culture of thoughtless recycling. Fortunately, and although I haven't seen the '30s or '70s biopics, Michael Mann does have something to show.The first surprise is how the movie is shot. As one of the most vocal followers of digital video, Mann seems to exploit its handicaps instead of trying to convince us it can look as good as film. Throughout the movie we're treated to 3D video feel, artificial grain and close-ups which show up every pore on the actors skins. It's like someone sent a documentary crew back in time. However, this incongruous approach also made me experience the 1930s in a way I'd never done before, as a reality instead of a postcard. Almost all movie depictions of the ""public enemies"" era (even the gritty ones, like Bonnie and Clyde) are stylish and sophisticated. Instead, Mann's compulsive attention to prop and costume detail combined with the hand-held camera-work are immediately urging and attention-grabbing.Mann, as a filmmaker, always seemed to me more interested in technique than depth or story. This is arguably the same film he has made twice before (I'm talking about Thief and Heat), only this time history-based. As I read on about Dillinger and Melvin Purvis after watching the film, I realized the movie's script is very unusual in that it almost seems to strip the juicy bits out of the story. Where is the scene with the people soaking their handkerchiefs on Dillinger's blood, or the '30s era depression portrait? Like you guys were saying, Little Bohemia was in fact an embarrassment to the FBI in which civilians got shot and the criminal walked away unharmed. Except for a weird scene in which Dillinger walks into the Chicago police station and wanders around, there's a very down-to-earth approach to the character, taking away his more mythical elements and leaving us with a career robber who, like James Caan's character in Thief, seems to abstractly decide to fall in love to make up for lost time.The movie focuses obsessively on this relationship, instead of the more obvious paths it could have taken. Hoover's incompetence and his closet homosexuality are brief side notes. So is Melvin Purvis. The movie strips him of a personality, showing only the professional side of the policeman. This is so evident that when the title card near the end informs us that he later shot himself, I had to laugh it was so random. I seem to be speaking against all of this, but in fact what I'm doing is pointing out how unusual all of these directorial choices are. In fact, I celebrate them. Public Enemies is a movie that might seem frustrating to many, but to me, it was a refreshing, exciting journey into a world too often depicted and too easily neutralized. It's a great thing to see a copmen-and-robbers film without feeling like I've seen it all before. And make no mistake, the film's action scenes are intense.I'd like to finish by pointing out that the movie has a hell of a cast. Johnny Depp is a revelation in a time when it looked like his awesomeness was exhausting itself. Christian Bale is not given much to do as Purvis, but he's competent, mostly the Bale serious face we see too much of all the time. Billy Crudup's Hoover is great, he deserves his own flick. Marion Cotillard is a great foil to Depp. There are a lot of very famous faces on the film (in fact, maybe too many), and some of them are only in for very brief seconds - Lily Tomlin, Giovanni Ribisi and Leelee Sobieski enter and leave the screen and they're all very good, but none have any big scenes. This might be the artsiest blockbuster I've ever seen. Which, in my mind, is a compliment.",8.0,Anonymous,"Biography, Crime"
"Not one of Mann's best, but still...","Whenever a Michael Mann movie comes out, I am besieged by expectations. This is one director whose style I seem to consistently like. The Insider, Heat, Collateral, The Last of the Mohicans, and yes.. I LOVED Miami Vice the movie (despite the many negative reviews it seemed to have got). So, when Public Enemies came out, and seeing Mann team up with Johnny Depp and Christian Bale, I knew I could not miss this. However, probably because of the high standards he has set for himself, I was a little disappointed with this.The story is about a gangster bank robber, John Dillinger(Johnny Depp), back in the '30's, who pulled off a couple of daring heists and prison breaks. He was generally considered a hero among the public, as this was during the years of the great depression and Dillinger was seen as someone who steals from the rich man. A fledging FBI, led by the peerless J. Edgar Hoover, decide to hunt him down so that they can grow the organization, and name him Public Enemy Number 1. Melvin Purvis(Christian Bale) is assigned the task of leading this group of agents.Johnny Depp is as usual great, but you get a feeling he would have been even better if the script had given enough scope to explore the character of Dillinger. The same goes with his love interest, played by Marillon Cotillard. Again, a wonderful actress, but at times the love story seemed forced into the story. Despite this, they have great chemistry.Which brings me to Christian Bale. This is an actor who has so much more to offer than the half baked roles he has been getting this year. You get a feeling this year that he is being offered big movies which don't give him a character he can bite his teeth into. First there was Terminator Salvation, and now this. In both, his character never really seemed into the movie as compared to the others. I'm waiting to see a movie again where he will assert himself.Despite the flaws, this is still a good movie from Mann. Just don't go in expecting it to out do his best.",7.0,Anonymous,"Biography, Crime"
It is an entertaining backseat ride into the life of a country boy turned bank robber,"With Billie Holiday singing her heart out and the subtle details of cracked nail polish and $3 dresses, Public Enemies brings you into the era of the Great Depression without boring you with back stories and explanations.It is an honest bio-pic with little factual variations outside of John Dillinger's romantic ambitions. It is an entertaining backseat ride into the life of a country boy turned bank robber in a time where America hated money-makers and banks. A time when people were starving and in need of a gun-toting, charismatic mid-western boy to stir things up a bit, one bank robbery at a time.A Cast of Winning Players Director Michael Mann is known best for Heat, Collateral and Miami Vice. His attention to detail is known and it is said that he went above the call of duty in his research for this movie. Obviously he deemed it important to depict a true version of the Dillinger story with a bit of Hollywood sprinkled in to keep our attention. Johnny Depp is solid as the charismatic bank robber, adopting his mannerisms, speech and swagger and even the trademark smirk that is seen on all of Dillinger's photos. Christian Bale is perfect as Melvin Purvis, looking similar to the ""G man"" and confidently playing the role convincingly.Digital Camera and No true sense of good and Bad The camera threw me off a bit switching from an old sepia toned look to a digital one during fights. At times it made you feel as if you were an observant on the street while other times it felt just like a movie. I wasn't sure why this was but I concluded that Mann wanted us to be there with Dillinger most of the time and at other times we are to observe from a distance. There was no great love felt for any of the dark heroes, the charismatic Dillinger was likable but I never felt concern for his well-being. The FBI agent in Purvis (Christian Bale) was the typical white knight archetype and was given little personality outside of this so I felt nothing for him either. The romance between Dillinger and Billie Frechette (Marion Cotillard) was interesting but felt clichéd (gangsters always have THAT chick in these movies) and just like real life that political blowhard J.Edgar Hoover (Billy Crudup) is the only real ""bad guy"" in the entire film.Final Thoughts It felt like a different time period and the choreography of the gunfights were done well enough to keep me interested. With as colorful a crew as the boys who ran with John Dillinger, it would have been hard to direct a movie like this while keeping everyone relative. Men like Alvin Karpis (Giovanni Ribisi), Pretty Boy Floyd (Channing Tatum) and Baby Face Nelson (Stephen Graham) are given screen time, as well as Capone's number one do-boy Frank Nitti (Bill Camp). Still there was so much shown that you tend to lose your familiarity with Dillinger's quest for whatever it is he wanted and the hopelessness of his situation settles in after awhile. It is a good movie with no real emotional weight, just a ""this is what happened"" gloss to the entire thing with a sprinkling of charisma to top it off. If anything, you will go researching Dillinger and gang after the movie has piqued your interest.www.SpicyMovieDogs.com",8.0,Anonymous,"Biography, Crime"
