title,content,rating,username,genres
One of the great films of Spielberg's career and one of the greatest adventure films of all time,"It was born from the minds of some of the leading filmmakers of the moment, but an adventure that would become one of the leading film franchises. George Lucas had just created and launched two sci-fi classics with the first two chapters of the ""Star Wars"" saga while Spielberg was also already considered one of the most promising directors in Hollywood having effect astonishing successes with ""Jaws (1975)"" and Close Encounters of the Third Kind (1977) "".Classic recipe for matinees adored by George Lucas, the work of screenwriter Lawrence Kasdan is one of the most consistent doing an excellent job of keeping to the basics: virtually all characters in The Raiders of the Lost Ark are based on archetypes, but none of them lack personality. Indy himself is one of the most famous characters in American cinema, fitting the profile of the classic action hero, but with several peculiarities that make him special, from his acid sense of humor, his clumsy way to achieve a goal and also his intelligence. All villains are purposefully shallow and Manichean, with Nazism incorporating all the evil on Earth in a cartoonish way, but that never sounds strange in this proposal.In ""Raiders of the Lost Ark"", Spielberg makes his first openly action movie, even though ""Duel"", ""Jaws"" and ""1941"" had their setpieces there, here is a popcorn adventure from start to finish, and this is a category in which the filmmaker would become an expert. The opening scene alone is a lesson in how to introduce a character and his universe, with Spielberg's camera keeping a mystery about Indy's identity - Douglas Slocombe's photograph skillfully covers Ford's face with shadows - but building your personality and your iconic figure through frames that portray your courage and demonstrate your skills; see the closed planes of the hat, the leather jacket and the whip on the long belt before the protagonist draws it against an attacker. It is an aesthetic care and well elaborated by the filmmaker's camera game, which is maintained throughout the film's other numerous action sequences. Between shootings in bars, races to stop a truck and a fist fight on an airstrip, what most charm the project is the ability of the filmmaker to create an atmosphere of tension that embarks on a frantic and good-natured adventure. is one of the great strengths of the feature, guaranteeing the film never to lose its rhythm, while the characters go over obstacle after obstacle, as in a real board game. Spielberg's ability to command the action is present in the most ""naive"" scenes, such as the snake pit or the fight in the Nazi plane, even in the most elaborate ones, such as the chase of trucks involving Jones and several soldiers.Classic backstage story, it was Harrison Ford's suggestion that Indy, when faced by a skilled swordsman in the Cairo market, simply shoot his opponent instead of starting an elaborate fight with his whip - as the script originally said. A sensational improvisation that came out of the mere fact that Ford and several members of the team were sick because of the heat and the local food, and that perfectly ended up defining one of Indy's personality traits. Throughout two other action scenes, the hero ""asks"" an opponent to wait while he prepares to return to the fight, and casually answers one of his colleagues who asks him what his plan is: ""I don't know, I invent on the way"". Priceless phrases and actions, and that only Harrison Ford would be able to deliver with such charisma and naturalness, in what is definitely the most striking role of his remarkable career. Ford is loose, unlike what he commonly complained of Han Solo here he can show some more facets and not a predominant one as is the extremely obvious scoundrel antihero. He is incredulous that the journey he will take will result in something really in the encounter with something divine in fact, in addition to being able to represent well the teacher for whom his students sigh, besides of course to reproduce the cliché of forbidden love for someone of the past, In this case, Marion, the strong and feminine character of Karen Allen, a woman who is clearly not a full-time damsel in distress.With special care for the action, what is also striking is how Spielberg maintains his same technical eye for the most expository scenes. For example, the scene where Indy and Brody (Denholm Elliott) are approached by government officials, and the archaeologist explains the Ark of the Covenant myth to them, Spielberg films much of the dialogue in an open plan with all four characters there, well-disposed through a mise en scène that puts the agents - and the spectator - in a classroom, where Indy even uses the blackboard to present some concepts that will become important in the future; an exhibition that does not sound forced, after all the protagonist is in fact a teacher. We also see Spielberg's brand developing, where the filmmaker works on long shots that always change the characters' positions and the graceful movement of the camera, giving the strong impression that a cut has happened, but remaining in the same shot. Iconography is also a factor that Spielberg and Slocombe masterfully explore, as in the scene where Indy visits Marion in her bar, casting a giant shadow on the girl, but being Marion a fearless woman - and the most memorable one in the archaeologist's gallery - she is very capable of opposing the presence of Indy, and the shadow soon fades over the course of the conversation.The master of Star Wars songs, conductor John Williams had already been working with Spielberg since ""Jaws"", and not tired of delivering memorable themes, he reaches one of the culminations of his career with the Indiana Jones musical piece. It is a cheerful, adventurous and even flashy theme, which summarizes all the feelings and themes of the franchise, as well as offering emotionally demarcated tracks, such as the love theme with Marion and the most oppressive and heavy orchestra to portray the Nazis. Another work of genius, for a change.Being an example of the 80s, and literally beginning the decade, the overwhelming majority of the special effects of Hunters are done in a practical way, being done in the studio, unlike the digital effects so common today. It is very good that Spielberg did not like his friend George Lucas who adapted the effects of Star Wars for the ""current times"" which would be to deny the nature of the film and the time in which it was made. The snake scene was made with real snakes (and that scene with a cobra was filmed with a cobra between a glass panel and the actor. The giant ball at the beginning is actually a giant ball, and the scene where Indiana Jones is dragged by a car was filmed that way, with some stuntmen obviously, but Harrison Ford himself was dragged by the car at one point. We have rubber dolls and animatronics to serve as the dead henchmen, while the need for a more supernatural practically takes the film on a path of trash terror. Anyone who watched the film as a child is forever scarred by the images of Nazis having their faces twisted, exploded and melted when the Ark demonstrates the magnitude and horror of its power, and Spielberg and his team have fun here. Okay, the matte paintings and projections of the ""spirits"" of the Ark are images that today appear considerably dated, but still have an impact, as well as the wonderful eighth of the Nazi Ernst Toht (Ronald Lacey) literally melting before our eyes.One of the great films of Spielberg's career and one of the greatest adventure films of all time. The film, despite being a big blockbuster, still has personal traits of the director who is Jewish, so don't think that the Nazis are villains by chance. Spielberg prints in Caçadores gains a strong and constant critical sub-text that enriches the cinematographic experience, combining narrative lightness with very strong ""strikes"" against the most murderous regime of the 20th century. It is almost like a form of indoctrination in which a certain political position was instilled in the subconscious without our realizing it.""Raiders of the Lost Ark"" borders on perfection, as it shows that the academic or scientific search can evidently solve some mysteries, while so many others are apparently instituted to be solved with time and investigations that will last for the lives and generations of many scholars, and this feeling gains even more strength with the scene that precedes the credits, where you see a shed with numerous artifacts kept, all waiting to star in one or more adventures of Indiana and yours.With all these elements well balanced - including a predilection for fantasy - ""The Raiders of the Lost Ark"" became one of the biggest commercial successes in cinema history, competing for eight Oscars and taking four, starting a millionaire franchise and also generating several imitations. We witnessed a perfect adventure film here, being one of the most dignified and perfect examples that the genre has ever seen. Indiana Jones is already born an iconic figure, thanks to the good ideas of George Lucas and the technical virtuosity of Steven Spielberg, who delivers his first great action film in a fun and intelligent way, using the nostalgia of a very specific period to create something completely new.",8.0,Anonymous,"Action, Adventure"
When Harrison Ford was crapping gold,"This is the first movie in the Indiana Jones series. It is also the best film in the series. Indy is hired by the US government to track down the sacred arc of the covenant. While he is on his quest the Nazis are also searching for the arc. This is a wonderful adventure story that covers many countries. Harrison Ford was born to play this role, and he does it with flair. After having seen this film quite a few times, you also get to pick out the Easter eggs that are scattered around. One hint is be on the lookout for two well known Star Wars droids.
I do not think that there was a better combination in the 80's than Lucas and Spielberg. This in everything you would want from an adventure movie and more.",9.0,Anonymous,"Action, Adventure"
Will stand the test of time forever.,"I've seen Raiders of the Lost Ark numerous times on TV, DVD and big screen. My local theatre had a special showing last night and the 400-seat screen completely sold out (as Indy films always do). Luckily for me and my pal, we got the last 2 tickets available! I can't think of many films that still sell-out 25 years after their original release. There's just something about Indy movies(iconic hero, affection, epic spectacle) that brings you back again and again.The only trouble with that is there are zillions of reviews, critiques and dissections of this movie already out there, so what I have to offer will probably not be anything new. I will however not go the way of the cliché and mention 1930's serials, Tom Selleck or the sword/gun fight.I will, however, ask you one question. Did you know that some of the more iconic, memorable sequences from Raiders owe quite a lot to Duck Tales? What? Surely it's the other way around? Well, no. The globe-trotting adventures of Scrooge McDuck, Huey, Duey, Luey and Donald in Carl Bank's Disney comic-books from the 50s came first. If you can find some of these then you'll surely notice the similarities.The hunt for the Ark of the Covenant is more than just an excuse for action. So many movies these days seem to come up with action first and string them together with some lame plot. Movies like this are quickly forgotten and one of the reasons Raiders holds up so well is because it works the Covenant story so well into the plot.The action comes in a succession of set-pieces. I do enjoy films that have to increasingly better themselves in every scene. Raiders introduced this as a standard that the sequels had to live up to. My fave scene has to be the massive truck chase through Egypt, which is made up of many of its own smaller sequences. One little idiosyncrasy I like about Indy is that even though he's a College Professor and Doctor, he has no beef killing people. So very far from the ubiquitous PC heroes of todays movies.You might think that it's rather geeky to hype up the editing and sound design, but they do stand out from recent action movies. The gunfire and punching seem to have a sort of 'Indy' signature sound to them, that I've not heard in any other films. And obviously, John William's classic score is one of those themes that just everybody in the world knows (though I prefer his score to Temple of Doom), truly one of the best movie themes ever. Better than Star Wars!I'm not sure if Spielberg planned on Raiders starting the Indy franchise but there's already enough in here to establish a whole universe of potential stories and character arcs. There's talk of a fourth movie at the moment, but I personally don't think it will happen and I don't want it to. It's perfect existing as a trilogy and a sequel that comes traipsing in 18 years after the last is just not going to feel right. Even if you are hungry for more Indy then there are loads of books and video games out there and then there's the Young Indiana Jones TV show (where are the DVDs?), which are official Indy canon and even starred Ford once (they bounced around in time).I am giving Raiders 9/10 because I just have a soft spot for Temple of Doom (which is obviously a 10/10 movie). Even 25 years after it first came out it still has the power to captivate the audience and provoke sheer excitement every time. And in 25 years it will still be far superior to almost everything.Now there's something you cannot say about The Fast and the Furious! Sigh, where did all the special movies go?",9.0,Anonymous,"Action, Adventure"
A blockbuster how it was meant to be,"Nowadays we keep forgetting how beautiful blockbusters can be. Too much CGI makes everything possible and therefore very often also arbitrary. In Raiders you actually seem to feel the physical pain some of the actors/stuntmen had to go through to provide 2 hours of pure entertainment.Of course the story isn't waterproof, the Nazi weren't that present in Egypt in 1936 and how did Indy survive that ride on the submarine again? But lots of good and variable action scenes are accompanied by a story that develops fast and excitingly and is always close to being implausible but luckily never is.Spielberg, Lucas and most of all Harrison Ford created a hero that is nowadays iconic. With their attempt to make an homage to adventure comics of the 1930's they created their own legend.It's funny, exiting, thrilling and romantic. What more can you ask for?",10.0,Anonymous,"Action, Adventure"
What movies should be.,"Absolute perfection from start to finish,pulls you in and doesn't let you go til it's over.. in my top 5 movies of all time.",10.0,Anonymous,"Action, Adventure"
There will never be another film like Raiders,"It is a hot sunny day in South America. We see a bunch of men, shot mostly from the back. They are walking deep into the forest. We see a tall dark figure. He is wearing an old leather jacket, he has the 5 o'clock shadow looking like it's closer to midnight, he wears a fedora and he carries a bull-whip ( yes a bull-whip ). Finally, two of the men enter a cave and we hear about some guy named Forstall, who was good, very, very good, but he never came out of the place alive. But they enter anyway. They are confronted with tarantulas, spears that are triggered by blocking out the light, a pit that they must swing over and then more tiny poisonous darts that come out of the wall. All this to protect an ancient gold statue. They recover it. One guy dies and the other barely makes it out of the room before it all falls on him. Then he has to get out of the cave and a giant boulder chases him. Finally he makes it out of the cave only to be surrounded by Hovitos and his arch enemy named Belloq. He takes the gold statue that this guy worked so hard for and then the guy runs and makes it to the plane where he is in the passenger seat and there is big snake in the plane. He hates snakes. This mans name? Indiana Jones!Whhhoooooo!! I'm left breathless just describing that opening. But is there a better beginning of a movie ever? Absolutely not. Does the beginning have anything to do with the rest of the film. No. It is all decoration for what the movie is going to put you through in the 90 minutes to come.Indiana Jones is the best character to ever hit the screens. And he better be. He is created by George, Steven and played by Harrison Ford. That may seem normal now that we have lived with him for 20 years, but can you imagine what that must have been like back in 1981. That would be like Tom Hanks or Will Smith joining forces with James Cameron and Steven Spielberg for a completely original idea in today's terms.Raiders took a simple idea and maybe an idea that the guys had from watching Saturday afternoon movies and made it larger than life. This film never stops for you to take your breath. It is filled with rich characters from Indy himself to Marion to Belloq and even to Marcus Brody. Each has their own personality that shines through in certain scenes. Some of my faves were when we first meet Marion having a shot contest in her bar in Nepal. Then there is her scene with Belloq and they get drunk together and she tries to leave using only a butter knife. And of course who can forget Indy's battle with the swordsman and his unrivaled determination to get the ark. "" Indy, there is not time. If you still want the truck it is being loaded on a truck for Cairo. "" ( a battered and bloody Indy ) "" Truck? What truck?"" ( and then later ) ""Get some transport back to England, boat, plane, anything. Meet me at Omar's. I'm going after that truck. ""Sola ) "" How? "" ( Indy ) I don't know I'm making this up as I go.""Raiders has more energy than three action films. And that is what makes it the classic that it is. If you like movies, then Raiders is a movie that will not let you down. It is pure entertainment and that is indisputable. It finds the youngster in all of us and bombards us with this silly, whip-cracking, average, incredibly determined archaeologist and only asks us to have fun. And that we do. And to me, the only reason that Chariots of Fire won best picture that year is because it is a serious film. Raiders was heads and shoulders above Chariots and it should have cleaned up at the Oscars in 81. But more politics with the academy.Raiders of the Lost Ark is the epitome of entertainment. What more can be said about it. If you haven't seen this movie in a while or if you haven't seen it at all ( gasp ) then do yourself a favour and rent it tonight. It is awesome.TRUST ME",10.0,Anonymous,"Action, Adventure"
One if not the Greatest Action Adventure Movie Ever,"From an Amazing cast that give you a great story of the old fashion action, adventure, love, comedy plot. It is a good movie with great photography. This is a movie that you will surely not want to ever miss.",10.0,Anonymous,"Action, Adventure"
Just perfect,Simply the best adventure/action movie of all time. Have nothing to say But perfect. Exiting and amazing through out the whole movie. Harrison Ford plays the role Indiana Jones amazingly. George Lucas and steven Spielberg did an amazing job as well and for me this is the best movie out of the whole Indiana Jones trilogi.,10.0,Anonymous,"Action, Adventure"
Excellent movie and brilliantly crafted entertainment with a superb casting,"I remember seeing this movie when I was young, and it may well have been in the cinema with my Father, I can't quite remember (if he does, then please post the answer), anyway I do remember seeing it and being thoroughly entertained and that feeling of excitement and total fun staying with me to this very day as that is the feeling that the movie conjures up whenever I think of it.I think a part of that is down to the fact it's a complete retake on the old serial movies combined with obvious comic book style, and that is just perfect for kids and appeals to them no end, or rather it did then! So it was with excitement that I opened my presents on my birthday and found the boxset for the Indiana Jones Trilogy, and with even more excitement when I finally watched the first in the trilogy, Raiders of the lost Ark.It was just as I remembered, fun, excitement, wise cracks, a tiny splattering of romance but with a manliness that kids would allow, and lots of stunts and action. It's a superb movie and captures that style of serials, adventure stories and comic books perfectly, how I know that for sure is only through repeats since I wasn't alive during those times.The set pieces are fantastic, and although some of the wilder end sequences are slightly dated now, it hasn't lost the excitement factor. It's a perfectly crafted movie as well, moving from location to location without any distraction or superfluous scenes, it just feels like it's all there for a reason and that it belongs there.Harrison Ford is excellent in the role, and I'm inclined to think he was more Indy than he was Solo, but that's a personal opinion. He has many more facial movements and voice inclinations in this early movie than he does nowadays, now he belongs to the moody, quiet school of acting, then he was dynamic, adventurous, strong and as wisecracking as the best of them.There are some excellent movie making moments in this with George Lucas and Steven Spielberg showing talent galore just oozing out of every pore (where did all that go for Star Wars I to III Mr Lucas?), and they end up making an excellently entertaining movie.Some could argue that there could be a bit more depth or seriousness to the story, but come on, it's a ripping adventure yarn, you don't need depth. Saving the Ark from the Nazi's, surely that's enough! An excellent movie and great fun too, without a doubt one of my favourite of all time.",10.0,Anonymous,"Action, Adventure"
Great,"This movie has it all, action, romance, comedy, giant boulders and occult seeking Nazis. Story conceived by George Lucas and screenplay written by the same guy that wrote Empire Strikes Back and Return of the Jedi. If that doesn't sell it, then look no further than Steven Spielberg because he directed it. Awesome movie all around and definitely a genre classic. An absolute must see for any movie fan that likes fun.",,Anonymous,"Action, Adventure"
