title,content,rating,username,genres
"Alice slays, as usual","Alice was her usual badass in this installment in the resident evil franchise. The objective should never be to go in with high expectations, it's all about over the top action with a sprinkling of plot. This fits the bill. The storyline was a bit disappointing because it doesn't have much of a beginning or end, it all just kind of happens. Overall decent acting, good cinematography and zombie action. I thought Alice and Claire had good chemistry, and the newcomers held up as good cannon fodder.",6.0,Anonymous,Horror
"no story, but enjoyable","I liked this compilation of scenes. I liked the soundtrack; I liked the acting; I liked the settings; I liked the effects. As a game, it works greatly. The movie is a sum of chunks of stories. Most of them are action stories. A few are horror stories. Another few are mystery stories. And none of them are connected to each other. They just share common characters.Honestly, the plot is just an excuse for great action scenes. And I liked the action scenes. I rate it zero for the story, ten for the technical quality. And I have to admit it: in the end, I liked it as a whole.",6.0,Anonymous,Horror
Alice's Afterlife Aggregation...,"A prison breakout's always fun, especially if you're on the run, from multi-tongued mutant defiance, or a hooded giant axe wielding giant. Arcadia's moored just off the shore, if you make it there your safe for sure, just try to avoid the shaded fella, who pulls the strings of Umbrella. If your losing faith with all the confusion, you need to prepare for retribution, where everything you've seen before, is repeated, recycled, churned, turned once more.",5.0,Anonymous,Horror
Patchwork filmmaking,"Alice (the eternal Mila Jovovich) is back and in multiple copies. Her prime target is the Umbrella Corporation and the now T-virus enhanced Albert Wesker (Shawn Roberts). After a full frontal attack the Umbrella base is left destroyed, but the whole batch of Alice clones get blown sky-high, when Wesker manages to fly away unscathed and detonate the plant. Conveniently for the movie the original Alice survives unscathed as a castaway on-board the plane. During a skirmish with Wesker Alice gets injected with a antidote, that turns her back to being human (but somehow she still manages to survive a terrible plane crash unharmed and keeps her over-the-top fighting abilities largely intact). With Wesker dead and Umbrella disposed of Alice returns to the States to search of her friends, who left for sanctuary in Alaska, only to disappear in mysterious circumstances.In general a much improved instalment of the series and if anything the whole series remains enjoyable, if uninventive. In this part Anderson actually outdoes himself and instead of thinking up something original he starts borrowing scenes from other movies. Wesker looks and fights like Neo's twin brother, the new zombies bring to mind ""Blade 2"", whilst The Executioner has a disturbing familiarity to Pyramid Head of the Silent Hill franchise. Nonetheless some of the scenes are very memorable with the combat with The Executioner a real highlight for the movie (especially given the abrupt ending of the final fight).There may be a bit too many generic elements with this movie, but that has never stopped the franchise from being mindless slash-em-up fun. Even if a somewhat weakly scripted one. Also Alice remains a very likable heroine, so no matter how bad the script if she gets proper screen time and a couple of intriguing fights, than the movie just never seems to feel like a waste of time.",6.0,Anonymous,Horror
Alice unites a group of survivors who want to relocate to a strange place called Arcadia,"Fourth spectacular , action-packed and stirring installment of the ¨Resident Evil series¨ , adapted from the video games characters produced by Hiroyuki Kobayashi . Yet another noisy film rendered from a video game which never gets as eerie as a Zombie picture should . Umbrella Corp (The Hive) is the front for some genetics operations and a secret military tech . The deadly virus has decimated the world, exception a little zone in Alaska where live people no-infected . Years later , one time Racoon was destroyed , the Umbrella corporation led by ambitious Dr. Albert Wesker (Shawn Roberts) continues his weird experiments with the deadly T-virus . The deadly virus has been released and reanimated the dead , the Zombies spread the epidemic and those exposed to cruel bite suffer a complete transformation turning into meat-eating sickos . Alice (Milla Jovovich) is attempting to survive , and goes to Alaska , traveling throughout ice desert . While still out to destroy the evil Umbrella Corporation , Alice flies with Claire (Ali Larter) to Los Angeles, where she sees a group of survivors on the roof of a prison asking for help and under siege of the undead . Alice finds new mysterious survivors (Kim Coates , Sergio Peris Mencheta , Boris Kodjoe and Wentworth Miller) at a building in L.A . Alice joins a group of survivors and they must confront carnivorous hordes of zombies starving of human flesh and an evil corporation chief who creates the most horrifying creatures ever made . The survivor group is surrounded , facing the world destruction by deadly epidemic . The misfit bunch wants to relocate to the suspicious but supposedly unharmed safe haven known only as Arcadia.Unstopped-action gore-feast that provides for high-octane escapist amusement with some eye-catching visuals and pulsing soundtrack . This exciting picture contains thrills, chills , action-filled with fierce combats and lots of gore and guts. The horror and action moments are fast moving and compactly realized. This sequel takes more , more approach , more fights , more blood and gore . The film turns out to be a crossover between 'the nuclear apocalypse of Mad Max 2', the 'George A Romero's Zombies', 'Zack Snyder's Dawn of the dead' and genetic experiments from 'Sigourney Wever-Ripley in Alien saga' and the monsters from ¨Blade¨ and ¨Lord of Rings¨. Of course, the film takes ideas from former parts as 'Resident evil'(2002, Paul W. Anderson, here also producer , director and screenwriter) and 'Resident Evil: Apocalypse' (2004,Alexander Witt) . The creepy images of wide range from the genuinely fantastic to the bizarre along with scary and amazing frames. It's predictable but we have seen the previous chapters but also its predictability is redeemed in part by the charismatic acting from the action-women, Milla Jovovich and Ali Larter. The flesh-eating mutants appearance deliver the goods, plenty of screams, shocks and tension . The make-up assistants create a truly horrible zombie cannibals . Horrifying and astonishing images about apocalyptic events with deserted and destroyed cities, such as the fantastic scenarios in Los Angeles totally inhabited by flesh-munchies creatures . Cool,luminous cinematography using Steadicam by Glen MacPherson and haunting,pulsing Techno-musical score by Tomandandy .The motion picture is regularly directed but with startling visual style by Paul W Anderson.The complete saga is formed by the following films : ¨Resident evil¨ by Paul W Anderson with Milla , Eric Mabius , Michelle Rodriguez , James Purefoy , Colin Salmon ; this is the best , dealing with a group of containment specialists are sent in and have to fight employees who have been contaminated , while A.I. computer instigates a series of defensive measures to contain the virus . It's followed by ¨Resident evil II : Apocalypse¨ by Alexander Witt with Jared Harris , Iain Glen , Oded Fehr , Sienna Guillory . And ¨Resident evil III¨ by Russell Mulcahy with Ali Larter, Ashanti , Mike Epps , Oded Fehr and of course Milla Jovovich.",6.0,Anonymous,Horror
Mindless fun.,"This fourth Resident Evil instalment was only ever going to be worth seeing if it featured lots of amusing gore and entertaining action scenes that utilised the third dimension successfully. Evidently, director Anderson must've known this too, because nary a second is wasted on anything else. From the get go we're embroiled in a mass raid on Umbrella's high-tech underground headquarters by dozens of Alice replicates. It's Matrix-y slick, features a massive body count and is a great way to kick off proceedings, even if the CGI is occasionally substandard.The remainder of the film becomes grubbier once it relocates to an abandoned maximum security prison surrounded by thousands of the ""infected"". Alice, and the ragtag bunch of Los Angeleno's she meets in the jail, encounter blood-thirsty zombies left, right and centre with murderous glee. The finest sequence on offer comes thanks to the inexplicably nonsensical inclusion of an unnamed 10ft creature with a mammoth axe-like weapon, who was apparently only introduced so we could witness its gruesome demise. With rain-drenched slow motion and heart pounding music, watching Alice and Claire despatch of this demented beast is a thrill.To mention other dispensable elements of this movie – you know, acting, character development, dialogue, plot plausibility, etc – would be redundant for two reasons, (a) because your enjoyment of Afterlife can be measured wholly on your reaction to the above couple of paragraphs and (b) we all know that the aforementioned filmic elements will be close to non-existent anyhow.Mindless fun.3 out of 5 (1 - Rubbish, 2 - Ordinary, 3 - Good, 4 - Excellent, 5 - Classic)",6.0,Anonymous,Horror
What happened?,"One of the things I like about the Resident Evil films is that they take the time to fill in the details while holding the audience in suspense.This forth film completely falls flat on both accounts. Thanks to 2 dimensional characters, an overdone plot, and poor use of foreshadowing, the entire film is predictable. At the same time it doesn't bother to show or explain how certain important plot devices came to be. The movie reeks from it's overuse of Deus ex machina.The special effects were the only engaging thing about this movie. A lot of it felt like The Matrix in 3D.One other thing this film did well was continuity from the 3rd film. I like that they didn't spend much time on flashbacks while being faithful to the events of the 3rd film.All in all my feeling after seeing the movie was that I was expecting more. They could have made it longer, filled in some missing details, developed the plot/characters more, and had a much more enjoyable film.",4.0,Anonymous,Horror
Resident Evil: Full of Life,"I am a huge fan of the video game series; I've played & completed every Resident Evil game there is and I have 100% trophies of Resident Evil 5.I loved the previous Resident Evil movie trilogy although many fans were disappointed by them because it wasn't to close to the games and Alice is the main character who isn't in any game. The filmmakers can't please everyone when it comes to movies based on video games because if the movie is very similar to the game then people will say that ""What is the point of the movie when it is just as same as the game?"" but if it is very different then people will complain that it is not related to the game in any way, shape or form. What Paul W.S Anderson has done is created an original story and had the setting of the game in the first film & in this one as well. Which is the best thing to do and he has proved that he is a terrific writer & director, he may not be the best filmmaker ever but he does know how to make good movies based on games and he is one of my favourite directors. His two movies Mortal Kombat & Resident Evil are both the best video game adaptations to date.The plot of Resident Evil: Afterlife is that it takes place after Extinction and Alice is continuing to look for survivors in world that has been infected by T-Virus that has turned into flesh eating zombies plus she wants to take revenge on Albert Wesker and this time she if fully prepared with her clones, telekinetic powers and awesome weapons. Fighting Wesker isn't an easy task because he is superhuman himself just like in Resident Evil 5. This instalment is very close to the games and particularly Resident Evil Code Veronica & Resident Evil 5. Those who have played the 2 games will get flashbacks while watching the movie.This was the most anticipated film for me this year and it absolutely did not disappoint me at all. I loved every minute of it right from start to end. Resident Evil: Afterlife was relentlessly entertaining, exiting and a perfect popcorn movie at the cinema kind. The movie had a great blend of action, horror, sci-fi and thriller. This one had a much more post-apocalyptic look than in extinction and has amazing special & visual effects in just in a $60 million budget. The monsters were just like in Resident Evil 5, e.g. the zombies look like the majini's with their predator like mouth, the executioner and the dogs that split their heads open with teeth inside it. So it was fascinating to see that.The cast was great, Milla needs no introduction & is fantastic just like always and she is improving in acting, stunts and she doesn't struggle to get the job done because she can do it. Shawn Roberts was a much better Albert Wesker than Jason O'Mara in Extinction.Overall it's not an Oscar winning kind movie & it doesn't need to be. It's a movie for the fans not for critics so ignore their negative reviews but I had a really good time watching it since I am a fan and check it out if you're looking for an entertaining movie and it's a must see if you are a Resident Evil fan.",10.0,Anonymous,Horror
"Eh, it's got its moments.","Plot: As Alice (Milla Jovovich) continues her fight against the nefarious Umbrella Corporation, she meets up with a group of survivors in Los Angeles, who are trying to reach the safe haven known as Arcadia.So far, here's how the series has done, in my opinion: the first was great, the second was horrible, and the third, though somewhat laughable, was still entertaining. After seeing this one though, I think the series is starting to go downhill again. The movie delivers basically what you could expect: tons of zombie-killing action, some cardboard cutout characters, and a useless story. Afterlife succeeds in all of this.Aside from the lead performance by Jovovich, I could hardly care less for any of the other actors. One of the unfortunately bad performances actually goes to Wentworth Miller, who played an agonizingly hollow Chris Redfield. And the story needed a complete re-do, because it was almost pointless. One example is the use of the Executioner from the game series. Though I thought his fight with Alice and Claire was cool, I was completely puzzled as to what his purpose in the movie was.It does do well in the action sequences, including an awesome, though short, standoff on a rooftop. But some of the action is overdrawn thanks to the ridiculously large amount of slow-motion. If they ran the movie without slow-mo, I bet the movie would lose half of its running time. XD I also liked the soundtrack by media boys tomandandy and the film's use of 3D really helped during some of the more intense moments.Overall it does have its perks and the 3D's good, but this is nothing more than a one-trick pony. Believe me; I'm a big fan of the games, and even I was disappointed.",6.0,Anonymous,Horror
Good,For a fourth film in a franchise breathing some new blood into the franchise of movies.,7.0,Anonymous,Horror
