title,content,rating,username,genres
Predictable but well done,"We saw this in 2D, on a digital projection system. While the movie is an hour and 36 minutes, it felt longer to me. I guess it's because there was nothing new about this, it was all pretty predictable. I even dozed off for a few minutes part way through.Now, on the positive side, the movie's colors are rich and vibrant. The animation quality is simply amazing; some of the wide scenic shots looked almost real. The music is a lot of fun and there are some good laughs, especially in the latter half of the film. My 10-year old son was glued to the screen; even asked us when it was over which was our favorite scene(s). Overall, it's a good film. I'd say take the kids and go have some fun.",7.0,Anonymous,Animation
"Rio-an epic, lovable, beautiful and visually stunning animation","Not many animations like Rio come around these days.When i first saw the trailer and the team behind this very anticipated animation, the Ice Age team, i knew it will be very enjoyable and fun to watch.Seeing a TV spot right now, i remember that it was all those things, but much more as well.The quality of the animation was unique-only two or three movies can still compete with this and those are Tangled, Up and How to Train Your Dragon.But still, there was so much going on in Rio, the birds, the colors, the non-stopping stream of movement, lights, music and songs, around the carnival in Rio or in the opening and closing scenes with the singing and dancing of the birds in the forests around the city.So much was going on and with such quality, that no animation has matched.And those epic proportions of the animation are its strongest qualities.Something one can't see every day.The character development was very good, beginning with a little background of the macaw bird Blu's life, with his owner Linda in Minnesota.Maybe, the other macaw, Jewel, was a little underdeveloped as a character, but with positive reviews coming, there might be a sequel coming on the way as well.Then, Jewel's background might be better developed.With an animation of such proportions, some box office power along with a few Oscar noms will surely be along the way and the fact that it takes place in Rio alone, will act as an audience magnet, given that Rio's one of the most popular and non-stopping cities in the world.This magical feeling stays all along the movie.You just can't forget you're in Rio.Rio is as well another example of an animation, worth the time and money of both young and grown-ups.That's what catches the eye.20-th Century Fox has made a great animation and with the possible box-office power of the movie, a sequel might as well be on the works.So, a great animation, very epic and visually stunning, Rio will keep everyone mesmerized and captivated long after the end, and personally for me is one of the best, if not the bast animation i've seen.I definitely hope for a sequel and i'll definitely see it again, at the movies.10/10 for this stunning, colorful, heartwarming and breathtaking experience, named Rio!P.S.The one thing i thought was missing, was Bellini's Samba De Janeiro- this song can make the mood of every crowd in the world :)",8.0,Anonymous,Animation
Culture and Flight Film,This is an alright film for everyone to watch. The storyline had some weak points. The crew could have created the film better. The cast selection was great. They did a splendid job fully committing to their respective characters. Anne Hathaway does an excellent job in every role she plays. This film is full of colour and culture. This film reveals to viewers the strength and wisdom that culture can have. It shows spirit and tradition that viewers can learn and understand. Culture can be good for everyone. This film clearly reveals the limit of culture. This is a fine film for everyone to watch and probably enjoy.,7.0,Anonymous,Animation
I believe I can fly ...,"Or not. But what does matter is that the movie is fun. And it's not only fun for a younger audience, but also for adults to watch. Some (especially in Great Britain) were fed up with the movie even before they watched it, because the two stars of the movie were starring in an ad for a cell phone company (Orange). Of course that kind of treatment would be unfair to the movie.If you are not biased and can handle a bit of romance and the overcoming odds story, then you will enjoy this. As Jesse Eisenberg is spot on as a ""bird out of the air"" so to speak. Even people who don't enjoy George Lopez as a comedian, might like him here. I thought his performance was spot on. Not a perfect movie overall, but the cast (as mentioned) and the mostly very well written jokes, work their magic!",7.0,Anonymous,Animation
Minnesotan Macaw Resists the Tropics,"Seb's Rating: 7 Stars
Sienna's Rating: 7 Stars
Paul's Rating: 7 StarsWatched July 2020.",7.0,Anonymous,Animation
"Location, location, location. It's Rio!","""Oh, how wish I was back in my cage, with my mirror, and my little bell""Jesse Eisenberg should be forever grateful that the Oscar-nominated ""The Social Network"" was released before Rio. That's because his voice as Blu, the macaw, is so distinctive and perfect, that in my mind he will always be Blu. And if Rio had been released months ago, audiences worldwide would think that Mark Zuckerberg, the Facebook founder, missed his cage, mirror and little bell.Now, for the movie itselfLocation, location, location. Because what's Rio, the movie, without (pulsating, colorful, exuberant, romantic) Rio, the city? The story is delightful, though predictable. The characters are cardboard, even if 3D and feathery. But ""predictable"" and ""cardboard"" are the worst adjectives I could possibly link to Rio. The Rio deal, is that I laughed all the way through it, like everybody else in the theater.Blu, the last male of his kind, is the happiest macaw, out there in a snowy town with Linda, his nerdy owner. Jewel, the last female of her kind, lives in Brazil, and is the saddest macaw, imprisoned in a cage and fighting for her freedom. She's a free-spirited soul, with the world at her feet. Blu has lived a sheltered life, can't fly, and loves every minute of it. What happens when they meet? Anyone above the age of 7 can guess how it ends (age 5 if he's seen the trailer). But there's so much delight from the first minute to the last, that you don't want it to end.I was one of the lucky few to watch the premiere of Rio in Rio, and at this point I can hardly wait to see it again. A Brazilian, Carlos Saldanha, directed the movie, and it shows. The details of the city are all there, but so is the big picture (you know, everything that really matters, along with wide panoramas of Rio by night, of a crowded beach, of a sunset in the cable cars of Santa Teresa).Lots of AMAZING aerial views in the action scenes. The main characters are birds, thus flying should be expected. Many of those places showed in the movie can be visited by tourists.Rio doesn't have the depth of stories such as Toy Story or Up. It is a simpler plot. It is, however, pure fun from start to finish, and visually stunning. Location, location, location. As a native of Rio, I could recognize most places, and was stunned with how realistic were the slums, and how the geography of the city, especially the mountains, could be so painstakingly reproduced.The movie is not a musical, but it comes close to it. There's funk, bossa nova, a few clichés of Brazilian music and even samba sang in English (still conflicted about it!).There is also the portrayal of animal trafficking, a centuries-old problem in Brazil, and the subplot of a boy who lives on the streets and must resort to petty crime, which adds up to a much-needed social commentary.By all means, don't miss this movie!",10.0,Anonymous,Animation
Two birds of a feather,"The story starts as a number of birds is caught in the middle of the Brazilian rain forest. One of them is a blue parrot, and as it turns out, a very special one. Years later the wheels of fate have taken him into the loving hands of a woman that treats him very well, maybe a little too well. Fate is again turning on him and his presence is needed in Rio.And that's where this very colourful animation film really starts rolling. He quickly meets a number of friends and a necessary number of enemies and the rest of the story unfolds at a pleasantly quick pace.Animation wise this one is nice, but not more than nice. The colour scheme is just great, spot on for the type of film, but action wise it's too much of a kids film - there's too little fun stuff hidden under the surface to keep the adults happy.Story wise it's a little too rich on clichés and the easy turns and tangles. It's not bad but it's not great. All in all, it works great on the children, and works OK on their parents/guardians.7 out of 10 feathers in a ruffle",7.0,Anonymous,Animation
"Good animation,good characters,good humour,good movie.","Rio is a great movie,the animations great,the characters are great,the humours great,the cast is great,the musics great,the movie in general is a well deserved hit.After a bird is adopted several years ago,he has never left his owners site,hes afraid to go outside and the bird (Blu) can not even fly,but he isn't bothered about it on e bit.A male bird doctor comes asking for Blu and the owner to come to his hometown,Rio so he can breed the birds almost extinct species with a female bird.But while at Rio,the two birds get kidnapped and the adventure begins.",8.0,Anonymous,Animation
"Nothing new, but look at that breathtaking scenery. Wow!","Rating: *** out of 4.I usually don't like movies like RIO, mainly because they always end up being rehashes of previous movies; unless your talking Pixar, there's very little to no new things in animated movies nowadays other than their exquisite looks. So when I saw a special advanced screening of RIO a few days ago, my expectations were low, enough for me to expect that the film will fail. But hey, what a surprise! It's pretty good actually. So RIO ain't a new masterpiece-it's not at all much different with any Dreamworks or Blue Sky Animation effort that comes out every given year- but it was fun. The kids at the screening had a ball with it, but I can also hear older teenagers and adult audiences chuckling along with them. And I'm up there with them.The story isn't something you haven't heard before. Blu (voiced by Jesse Eisenberg) is a rare Blue Macaw raised in Minnesota by the bookish Linda (voiced by Leslie Mann). But being the last male of his species, Blu is requested to leave his Minnesota homeland and shipped to his real birthplace, in Rio de Janeiro, where a female of the same species is being kept in captivity. Blu doesn't warm up easily to the impetuous Jewel (voiced by Anne Hathaway), and certainly a rare bird such as her being kept in captivity like that doesn't help. It also doesn't help that Jewel wants to escape and Blu, being a total ""housebird"" and all, can't fly.But what it lacks in a fresh new idea it more than makes up for in lively execution. This movie is just amazing to look at, boasting one of the most gorgeous looks of any animated movie since some of the Pixar films and the occasionally bizarre but lavish-looking BEE MOVIE. It may even be more beautiful since this is exactly what it wants to be and not much else. Director Carlos Saldanha, who helmed two ICE AGE sequels, and the rest of the crew have done just that. The eye-popping visuals are the moneymaker and one of the few films to come out once and a while that is worth paying extra money to see on 3D. Once again, the 3D ain't something groundbreaking, but it's exactly what comes to mind when thinking of 3D; the visuals are pristine and dynamic, with flying scenes that are just breathtaking to watch. I could almost feel the wind as a glider glides past the Christ the Redeemer statue. Rio itself looks gorgeous, from the ""Carnival"" parades to the look of it during the nighttime scenes are just beautiful. If nothing else, it's a virtual tour of a beautiful portrait painted by Saldanha and his animators. The voice cast ain't bad either. Eisenberg is hilarious, and granted he'll be doing these kind of work sometime soon. The real standout is Jemaine Clement (from FLIGHT OF THE CONCHORDS), who lends an irresistible bad guy charm as a cockatoo named Nigel. Hathaway, George Lopez, will.I.am and Jamie Foxx all fulfill their roles perfectly.RIO ain't much new, but at least I enjoyed it for what it is. And I wouldn't mind going back to it during its official release and wallow in the dazzling scenery again. Here's a movie meant to be done (and seen) on 3D.",,Anonymous,Animation
Adventures of Bird Blu!,"It's story of how love compels to break comfort zone and discover our new self. Visually stunning Rio is brilliant stroke of writers to add magic to adventures and love tale of endangered bird ""Blu"". Story wouldn't have been same with Samba, carnival, beaches, mountain views, Tram buses if it was not Rio.The whole story revolves around Tamed Blu and wild Jewel. Jesse Eisenber and Anne Hathaway did their best voice acting. Apart from Blu and Jewel there are plenty of characters which build story effectively and added plenty of rib tickling moments.Even though story is simple and very much predictable with obvious ending, still story survives to tell a tale of love despite differences. Brilliant animation in 3d will take you on Journey of adventure and fun!A must watch for its animation!",8.0,Anonymous,Animation
