title,content,rating,username,genres
Dazzling rocket,"Although classical music and opera is more my cup of tea/forte, that has never stopped me from having always admired Elton John and loving most of his songs. ""Your Song"", ""Something About the Way You Look Tonight"", ""I'm Still Standing"" and pretty much all the songs in 'The Lion King' are especially great, one of the few exceptions being ""Crocodile Rock"". He is/was also a quite interesting man, both stage persona and personal life, and the period that is primarily focused on is a very compelling one and worthy of being told on film.'Rocketman' was not a perfect film, but on the most part it was thoroughly enjoyable and at its best dazzlingly executed when seeing it in the cinema earlier this year. As far as films released in 2019 goes, 'Rocketman' is to me in the better half. Even if accuracy and the chronology can be called into question, it still makes John and his personal life, detailing his childhood, early career and how it came to be and the troubled period of his career, quite fascinating. As well as being worthy of a lot of admiration in its own right.Not everything works. For my liking, the last twenty minutes or so are executed too tidily.While John and Bernie Taupin are well rounded and fully realised characters, the other characters, despite being well acted by particularly Bryce Dallas Howard, felt like underdeveloped caricatures (i.e. the parents' cold behaviour towards Reggie not being explained).However, 'Rocketman' has so many things working in its favour and more so than the bad. First and foremost, Taron Egerton. A totally committed and quite brilliant performance full of confidence, swagger, flair, subtlety and nuance, not to mention a great singing voice, treating John with respect without impersonating him. The scene where he opens up to his mother and his reaction to her cold response was heart-breaking in particular. Jamie Bell is the other performance worthy of note and the relationship between John and Taupin is handled beautifully, with the right amount of intensity but also taste. One can tell how well they clicked and feel their mutual affection and it really drives the film and at times the heart of it.It looks great too, beautifully photographed and John's flamboyant costumes are a sight to behold, one of the bigger examples being that unlike-anything-you've-seen-before one in the therapy. The songs are as magnificent as one expects and staged with a lot of brio and confidence without being overblown. The very moving ""Your Song"", performance and the understated staging, being a big standout in this regard, another powerful part being with what is done with the opening of ""Yellow Brick Road"", done so truthfully and mirroring what is going on at that present moment without spelling it out too much and showing how much Taupin cares for John. Heck, the film even manages to make ""Crocodile Rock"" tolerable in one of the film's more exuberant moments.The script manages to be both entertaining and sincere, underneath all the flashiness there is depth too. There may be conventional moments in the story (a lot of biopics though are like that), but the scenes showing off John's unique showmanship are difficult to look away from and the story detailing John's troubled personal life at the time is powerful. A great job is done showing who John is, what he is and how his mind worked when dealing with troubles and when he was writing and performing. Dexter Fletcher's direction is adept.Summing up, a very, very good and often great film that just misses out on being brilliant. 8/10",8.0,Anonymous,"Biography, Music"
Should have expected this.,"It's going to get very mixed reviews. I predict many will love it, and many will revile it. I was caught somewhere in the middle. Without giving any actual spoilers away, consider this:1. If you absolutely HATE musicals, save your money. This is the John/Taupin equivalent of a Rodgers & Hammerstein. It is not presented as a straightforward biopic in the same manner as BOHEMIAN RHAPSODY.
2. Much as I love Elton John, this ""rock & roll fantasy"" of his life treads a little too far into campy territory for me, with 2, maybe 3 very (thankfully) brief moments in the film that can only be described as cringeworthy. (""Oh, come on, guys--seriously?"" moments.) There were times when I genuinely felt this was going to end up as the Ken Russell version of TOMMY for the new millennium.
3. Never, at any point in the film, is Paul Buckmaster mentioned or acknowledged. This infuriated me! For those who don't already know: in the early days of EJ's career, Paul was the orchestrator who provided EJ with the BEAUTIFUL, lush string accompaniments that added so much to EJ's early music (classic example: EJ's soundtrack to the 1971 French film, FRIENDS) and, IMHO, could have been a big player in his success as a burgeoning artist, firmly introducing/establishing The Elton John ""Sound."" He SHOULD have been a part of this film--even a small one, if deemed necessary--but for him to be utterly omitted from the story mystifies me. Maybe someone in the know can enlighten me on this.These 3 things, however, are about my only problems with the film. Credit must be given where it's due:1. Taron Egerton is actually pretty amazing. Some might see his acting as occasionally over the top, but frankly and for all we know, maybe EJ really did act that ""extremely"" at times, considering his anger issues. His singing, most of the time, is virtually spot-on, catching EJ's lilting singing style quite well.
2. The supporting cast:
Jamie Bell (Bernie Taupin), Bryce Dallas Howard , Richard Madden (EJ's agent & self-centered 1st lover), Stephen Graham (Dick James), Tate Donovan (L.A.'s Troubador Club manager Doug Weston), Gemma Jones (Ivy, EJ's grandmother, I think...? Or friend of the family?) & Steven Mackintosh (EJ's cold, uncaring father)...and all others in the film, essentially faultless. ESPECIALLY Jamie's portrayal of Bernie. Wow.
3. You can't really find fault with the staging and choreography of the musical numbers. Very professionally done.
4. You will learn many things about EJ's life in this film that you may not have known before...I know I did.
5. Have a few Kleenexes handy. Enough said.
6. Don't leave right away after the credits roll.So, is it worth seeing? My criticisms aside (and we all know what they say about opinions), it really comes down to this: if you're a fan--and especially a DEDICATED fan, like me, who's followed him from his humble beginnings in America in the summer of 1970--go see it. Decide for yourself if my gripes hold any water.",7.0,Anonymous,"Biography, Music"
Give Taron Egerton an Oscar IMMEDIATELY!!!,He was AMAZING in the spirit of an fabulous Elton John biopic musical.... and Jamie Bell was awesome.. as usual!,8.0,Anonymous,"Biography, Music"
A musical as pop as sad,"First things first,Elton Johnbeing one of the most famous artists in the world, with a career of about half a century and 300 million albums sold, a biopic was then more than legitimate and was even eagerly awaited. This film is conceived like a musical based on the songs and the life ofElton John, from the 50s to the early 80s, the selected songs being representative of the manifold events of his life, the ups (his life as an accomplished artist mainly) and the downs (his whole private life according to the movie), since his childhood during which he quickly turns out to be a natural born musician until his first sentimental disappointments and the first cures of detoxification (alcohol, drug, ... and tutti quanti). The movie ends with the punchy « I'm still standing », song written in 1983 after a bad patch and foreshadowing a frantic recovery of his life, the lyrics being written by his friendBernie Taupin.One of my favorite scenes among many others is the meeting at the Royal Academy of Music, with the third movement of the Sonata Piano No. 11 byWolfgang Amadeus Mozartplayed twice. I do not know if it's true but, if so, this child is ingeniously bluffing!The costumes are superb and the actors are fabulous. The realization is ingenious especially with the appropriate and relevant insertion of the songs in the film, like in a musical. As a synthesis: 7/8 of 10.",,Anonymous,"Biography, Music"
Rocketman > Bohemian Rhapsody,"Rocketman decides to focus on Elton John's character evolution more than anything else, chronicling his life from when he was a wee-little boy to his glory days as the colorfully decorated, piano-playing, musically blustering star. One detail I must address that really hoisted the exploration of John's life was, in reality, the ""R"" rating.You get to see a respectful and psychological turn in his persona, you get to witness the heartbreaking ""addictions"" that he constantly forces himself into, you get to view the uncut collision of him dealing with his sexuality, and you even get to feel that loss of love that Elton had felt when he persistently questioned his relationship with peers. All of these affairs are dispensed without and blockades or any desires of censorship and I must commend the filmmakers for going about this risky decision.And sure, Rocketman is arguably quite the corn-fest at times, but the movie is able to take these cheesy elements of the typical rockstar biopic and format it into a creative fashion that characterizes more charismatic and less repetitive exhibitions. Which brings me to my next point...I am so pleased that Rocketman turned out to be a nearly full-on musical? I mean, it had to find some way to be different from Bohemian Rhapsody, right? Whenever a musical note comes on it's not just there for Elton John fan-a-holics. The songs always pertain to the presented events transpiring on screen. The methods they use to present the songs as well, offer some more than compulsive and devouring visuals. I also appreciated how they redid all the songs to fit the scenes in a more appropriate manner. It makes the film seem less like a compilation of Elton's original greatest-hits and more like a rendition of what each song means to the story.Now, Taron Egerton's performance in this is...wow, wow, wow, wow, WOW. He is just bleeding with range and chaotic pizazz in this encapsulation of a contrasted human individual. If someone is worthy of an Oscar nomination this year, it's this guy.Rocketman doesn't entirely rely on nostalgia like most of its kind does-that implying that sometimes it does, however-and most of its misfit adventures proved about in the story seem earned rather than glossed over at a maximum pace of negligence. Definitely check this one out, especially if you're an Elton John fan!",6.0,Anonymous,"Biography, Music"
Here is what many people don't understand,"This is not a movie about a rock star with their music simply part of the facts of the story. It is a musical in the truest sense, that uses his own music to show his tribulations through the eyes of a man during the troubled years of his life. The movie is not always chronological and in some cases is more figurative than historical. In this way it can convey Sir Elton John's life and struggles in a way that the viewer may understand on a more personal level. The acting, writing and singing are superb.
The star did not try to truly imitate Elton but instead preforned the pieces in his own style that he molded as closely as possible to the original. It sounds odd, but it works.
As always you can never sum up any life, book or story in a 2 or so hour movie, but this comes close. You leave feeling like you really got to know the real, yet flawed, human Elton John. Overall a wonderful movie.",9.0,Anonymous,"Biography, Music"
"Good, but felt a little rushed.","Not really sure where I sit with this one. A gripping tale of one of music's biggest icons. While Egerton shines as the glorious John, all the surrounding characters seemed to be simple generic caricatures of staples from this kind of stories. And the story blazes by, many of the acts with little explanation of motives. It follows the basic by the numbers of the musical biopic, never really seeming to let the weight of one single action hit with the viewer before moving onto the next tragic act. While the characters and story seemed to ring a bit formulaic and hollow, Egerton's performance is able to carry the gravitas. And the music, oh the music. John's catalog is beautifully strewn throughout the film in all its glory, though Taron's vocals struggle in parts and he is outsung by his supporting cast at points. And in the end, the conclusion and resolution come, yet once again seemingly easily and out of nowhere as had the conflict earlier in the film. A great story of a great artist that just seemed to miss on a few points for me. Did I enjoy the movie? Yes. It just seemed like a cliff notes version of what could have been a deeper and more compelling story.",7.0,Anonymous,"Biography, Music"
"Elton John is amazing, and he is a complicated man....this film reflects his tormented side","Taron Egerton's portrayal of Elton John is superb and only heightened by the producers allowing Taron to sing his own versions of many of Elton John's classic hits. It would be impossible to capture all aspects of Elton John's life in the 2 hours provided in this musical/biographical film, so instead the producer/writer/director concentrated on Elton's early childhood which helped shape his destiny when he first met his partner in song writing the great Bernie Taupin played by Jamie Bell.There were far too many other excellent performances from the supporting cast members to mention them all but I have to mention two in particular who were top notch. Bryce Dallas Howard plays Elton's irresponsible (wife cheating) mother, and Richard Madden who plays John Reid one of Elton's early but serious lovers remained Elton's manager for decades after their sexual relationship ended. Both of these actors added a lot to the films depth in the one area that focused on Elton's tormented soul and led him to binge drinking and pill popping which is the area this film reflected.I hope we don't have to wait for Elton John to pass away (God forbid) before some producer realizes that Elton John and Bernie Taupin whose lifestyles and personalities are so diametrically opposite that they deserve their life stories to be developed into a (minimum) ten (10) hour TV Mini-Series to cover a heck of a lot of both of these musical genius's personal lives as well as their successes with their musical portfolios.Rocketman is well worth seeing and rates a perfect 10 out of 10 in my version of Elton John's quasi autobiography book.",10.0,Anonymous,"Biography, Music"
"Should NOT been a self-pity musical, and should HAVE had accurate song timelines","What a disappointment. Bad writing. Pitiful representation of EJ. I couldn't stand the musical portions and ended up FFW past them. And how do you screw up concert/show dates with when the actual song was created? Casting was great and Egerton nailed his role, but he should've lip-synced the music and had the actual EJ songs played. Not saying his voice was bad, but basically I just saw a 2 hour pity party played/sung by a cover band musical. This film would have been much better as an actual biopic. Compared to Bohemian Rhapsody, this film was a huge flop for me. It's a generous 6/10 mainly for Egerton's great performance.",6.0,Anonymous,"Biography, Music"
Emotionless,"Elton John is one of the greatest contemporary artists of the world, no doubt. However, this highlight of his life is a terrible overrated film, without any emotion and an exploitation of Elton John as a needy alcoholic and drug addicted gay. He is needy because of his one-dimension parents that are never developed and the viewer never knows why they treat the boy that way. His gay side is also poorly developed and more exploited. In the end, the film is lost between a shallow drama and a boring musical. The performance of Taron Egerton in the role of Elton John is the best this movie can offer. My vote is six.Title (Brazil): ""Rocketman""",6.0,Anonymous,"Biography, Music"
Elton the Truth,"Not just a biopic of Elton John, but a musical biopic. This may sound blindly obvious but it does not follow the regular formula of lead character strumming guitar or taping at keys on piano, then music swells and film throws another classic tune at you. No here it's delivered in full blown musical mode - street full of people bursting into dance, non-musical characters bursting into song, even people floating as songs connect with them. Just relying on auidence good will on the basis of great songs, will not be enough, and here you have Taron Egerton showing he can not only act but has a pretty good singing voice as he performs those classic tunes. It also has the advantage with the main protagonist still being alive, and clearly wanting not to hold back on his own personal demons that shaped his character. So often in uncompromising ways we see the dark journey that he went through to achieve his fame, and the real cost it had on him and those he loved. The magical musical realism that the film uses to tell his story works well for the most part, but I did find that it relied on some knowledge of his life story that im places did seem to be rushed over and not quite as clear as it should have been.",7.0,Anonymous,"Biography, Music"
