title,content,rating,username,genres
A Fever Dream of Teenage Intensity,"Like many who saw this as a teenager, this was a movie that felt like the most sophisticated thing I'd ever seen, while also being accessible enough to my immature brain. And that's pretty much how I'm going to judge it today.This is Shakespeare. It's as much Shakespeare as any other adaptation over the centuries. And yet Baz Luhrmann went in with a very specific approach, not only to modernise it while maintaining the poetic dialogue, but to also make it enticing for a teenage audience; the audience most arguably suited to the tale of Romeo and Juliet. It's chock full of the same hallmarks of modern day teen dramas; beautiful teens from wealthy families, sudden and passionate love affairs, with a dash of violence and murder, capped off with an emotional gut-punch or two. It's a tale quite literally as old as time: Star-crossed lovers finding each other against all odds, fighting to keep what they have against the forces around them, and the near-miss of longevity, like every Rom-Com airport scene. It's the type of story that has endured so long precisely because it appeals to us at the most emotional and vulnerable time of our lives, speaking to how we feel about the world around us. It's a hormonal barrage of narrative cues.So Luhrmann takes this timeless classic, and decides to transplant it into a modern day setting to appeal to modern day teenagers. Or at least, the teenagers of the late 90s. You could probably trace a line from all late-90s fashions back to this movie, either creating the stereotypical aesthetic of the time, or merely doubling down and reinforcing it. This movie is garish. It opens with a newscast acting as the narrator, followed by quick-cuts and flybys of a city centre framed by two imposing skyscrapers, each with the name of a respected mafia-like family conglomerate plastered over the roof. Between them is a giant statue of Jesus himself, almost as tall as these skyscrapers. It's almost cartoonish in its aesthetic. We're then introduced to the Montague boys, clad in Hawaiian shirts left open to flap in the wind, riding a bright yellow topless jeep. They pull up to a gas station and encounter the rival Capulet boys, clad in dark blues and leather, with clean-cut facial hair and a menacing glare. If the Montagues gave the instant impression of good guys having fun, the Capulets give the immediate impression of brooding and serious antagonists. After an exchange of insults, they break out in a gun fight. The saturation is turned way up, the camera shakes and zooms uncontrollably, the editing cuts every second or two. It's beautiful and ugly all at the same time, as Tybalt, the Prince of Cats falls on his knees dramatically, pulls out his pistols, attaches an excessive sight, and takes aim at the fleeing Montagues. It's big, it's bombastic, it's completely lacking in subtlety. There's bright colours and shouting, and emphasis put on every footstep and gun cocking. It's so bad. It's so 90s.Fortunately this style isn't maintained throughout the movie's runtime, but it never entirely leaves either. We get another frenetic array to the Capulet party, whereby a sexually-ambiguous Mercutio laces Romeo with Ecstasy creating a fever dream of visuals. And then there's that iconic meet-cute. The meet-cute to end all meet-cutes. And the movie slows to a halt. It remembers this isn't a story about the outlandish gang war between two mafia families, but a story about teenage love. Its garish and frenetic nature gives way to something more brooding and enthralling. Things turn serious, characters start dying, the prospect of marriage and a new life become real entities.Judging this movie literally is a recipe for disaster. Literally it's an over-edited series of scenes full of shouting and bad judgment, about a young boy and girl falling in love immediately, getting married the next day, and then committing suicide over one another a mere four days later. Literally this movie makes no sense. It's ridiculous. But the movie knows that. It's painfully self-aware of how ridiculous this story actually is when you boil it down, so it embraces it. And this is why the prose was kept largely intact: It's poetry. The whole movie is poetry. This isn't a movie about plot points and character development. It's a movie about feelings and moments, about capturing that teenage urgency in a glowing, multi-coloured bottle. I know I had these moments as a teenager, where everything felt like the most important thing ever, where I fell in love with pretty girls without even knowing their names, where anger and joy, love and hate were all so painfully intense. Every scene is bathed in this intensity, including that opening of garish colours and overemphasised sound effects. It's a movie so chock full of hormonal energy it's intoxicating.Leo is still a fairly young and inexperienced actor here, and his ego shines through his performance. He delivers his lines which such ferocity, like he too felt he was participating in the most sophisticated thing he'd ever done. But at this level his line delivery loses all emphasis, causing it all to merge into a mumble of Shakespearian vocabulary. That said, he's just about as perfect for Romeo as you could get. Claire Danes doesn't fare much better, seemingly struggling with the emotions of it all. It's like they were both put on auto-pilot while delivering their lines. Honestly I can't really blame them. Shakespeare's dialogue is in poetic verse, written for a different time with different dialects and slangs. We the audience are encouraged to just feel what's going on rather than follow and dissect every single word spoken. That said there are some genuinely fantastic performances her that prove that dialogue as outdated and wordy as this can be engaging and emotive. Harold Perrineau plays Mercutio with a fire in his eyes, like he poured over the script and accurately pinpointed which words needed more emphasis, and where he could embellish with gestures and intonation. John Leguizamo is also electrifying as Tybalt, grasping the over-the-top antagonism of his character and having fun with it, creating a whole new style of gun-fu to portray Tybalt's apparent fancy fighting style.And of course, I couldn't talk about this movie without talking about the soundtrack, which gave us one of the best Radiohead songs ever written (which is a bold claim, I know). It captures the 90s the same way the rest of the movie does, with OK Computer-era Radiohead, Garbage, Des'ree, Butthole Surfers, and The Cardigans. It's rocky, it's ravey, it's as garish and frenetic as the movie's cinematography, and if you're at all a fan of 90s pop music, this soundtrack is a snapshot of that exact taste. Of course this ages the movie horrendously, but hey, we're approaching the time of 90s nostalgia, so now's the time to embrace it.Romeo + Juliet is an interesting movie to judge, because it's a strictly terrible movie. The modern setting and 16th century dialogue goes together as well you'd imagine, despite some imaginative transpositions (like each gun's brand being a type of blade; Sword 9mm, Dagger .45, Rapier 9mm, or in the case of shotguns; a Longsword). It's so intensely bright and colourful, the editing so frenetic and hard to follow, and the story being somewhat nonsensical by modern standards, but its self-awareness makes up for it, making it all feel deliberate and purposeful. We hold Shakespeare up on a pedestal these days, as some form of high art, but in his time he was basically writing the best soap operas, aimed at entertaining the commoners (the exact same trajectory as actual operas, incidentally, which are nowhere near as sophisticated or intelligent as modern high society would have you believe). With that in mind, and Luhrmann's attempt to make what Shakespeare would've made today (in 1996), I think this movie nails every goal it aims for. It's pure visual poetry, encouraging you to feel the story than follow it intently, blasting you with the intense emotional highs and lows of hormonal teenagedom. I give Romeo + Juliet a bizarrely successful 8/10.",7.0,Anonymous,Romance
Leo is stunning,"As a 12 yo girl I don't understand Shakespeare one bit. It's like a different language that u just get bored of trying to translate. But this movie - I understood every bit of it. And I loved it. Why is there all this hate? Especially for Leonardo, his performance was beautiful and I'm not just saying that bcs of his face but it was genuinely moving and Clare Danes was great in it too. It's not the greatest movie I've ever seen no. But in 2021 I don't care if this movie is gonna change my life or not or if it's a masterpiece or a flop, I wanna watch a movie that I'll be entertained by and moved by. And that was this movie.",7.0,Anonymous,Romance
A mixed bag attempt to a classic story,"It's not often that I've seen a movie three times and I can't give it a rating any higher then a 6.I think I really tried and forced myself to like this since I can appreciate the modernization of this old story and the creativeness that was attempted.Maybe it's unfair to say this movie is hard to follow. The dialogue is obviously a challenge for any inexperienced viewer but the story is familiar and each scene makes sense even if you're struggling to understand what each actor says. That being said, it's nothing special. Each time I finish watching this movie I just feel like it's ok. There is no gut wrenching impact it has left on me and I can probably affirmatively confirm this now after the third viewing. It's an interesting movie, a bold, perhaps unnecessary, punk-like remake that swaps swords with guns and also attempting humour. A part of movie history to say the least.",6.0,Anonymous,Romance
Sorry but no,"It was an interesting idea in theory, but practical, was a failure. Extra points for the courage though and the efforts for reciting the original verses. If the lines were different, adapted to the modern era, maybe just maybe i would have liked it more.",6.0,Anonymous,Romance
overwhelming Baz Luhrmann style,Baz Luhrmann injects his brash style into Shakespeare's famous play. It's the modern world in a place called Verona. The two families of Capulets and Montagues are powerful corporate giants with gun totting thugs. Claire Danes plays Juliet Capulet and Leonardo DiCaprio plays Romeo Montague. There is no doubt that this is one of the more unique interpretations. Luhrmann throws every visual flashiness at the audience. He's pumped up the material with so many bells and whistles that the story feels overwhelmed. The music choice sometimes grades on my nerves. The leads are an adorable pairing. I wish Luhrmann has some more faith in the actors to allow them some peace and quiet to do their work. They do good work in the balconey scene but Luhrmann can't stop moving. The flash and glitz becomes more of a distraction.,6.0,Anonymous,Romance
Irreconcilable Differences...,"A marriage of old and new that's easily divorced from modern reality and therefore doesn't work when regurgitated verbatim in contemporary times. Great actors doing what it says on the side of their tin, allowing them to revel in their ruffs and blusher, imaginative in other aspects too but ultimately, however, a snake in their tights that cascades them back to square one - some things soak, marinate and mature others decay, corrode and compost, the catalyst of the ye olde moment, cannot always be preserved and translated into thy modernity.",6.0,Anonymous,Romance
Shakespeare Worthy,"Very underrated modernization of the classic Shakespeare play.  This movie has been pretty heavily criticized for the directors outlandishness in cinematography, but he understands when to tone down the often frantic pace of the storytelling during the dramatic scenes, and in fact this relationship tends to amplify their potency. Beautifully choreographed and shot, wonderfully acted by both the supporting cast and the main 2 stars, Leonardo DiCaprio and Claire Danes, and extremely sly modernization techniques to the dialogue.  All the elizabethan dialogue remains intact, yet it all seems coherent in the modern atmosphere. mostly due to good imagery and double meaning in the phrases (ex: their swords being a gun model, or the flash of money while quoting gold.).  One of the best shakespeare adaptations in the multitude of which have entered the cinemas in the past few years.",10.0,Anonymous,Romance
"Just as Good as the Original, by which I mean not Very Good","This is one of the corniest films I've ever seen and I can't decide whether that's intentional or not, everything from the editing to the sound design feels like it's some dumb action film and this works brilliantly in the opening scene, a great action set piece. The scene revels in this corniness and it works perfectly to create an atmosphere of care free fun, the film really falls down for me though when it try's to move in a more earnest, heartfelt, direction. The film continues feeling like a dumb action film but has characters spouting long monologues about love and life all in the original old English, this messes up the mood of the film for me and brings it crashing down into what feels like a pretentious mess. The acting is alright though and it is better than some of the versions that stick more diligently to the original story, still it could have been a lot better if they'd strayed further from Shakespeare's original story which I don't think holds up nowadays. 7/10 :)",6.0,Anonymous,Romance
Pointless,"I'll give Baz Luhrman credit for the creative idea for a remake, but it didn't pay off. This is a half-modernisation of Romeo + Juliet - it takes place in the modern era (good idea) but they still speak in Shakespearean English (bad idea). This is so distracting and bizarre that it is hard to watch the film.",4.0,Anonymous,Romance
Beautiful Modernization of Shakespeare's Classic Play,"The amazing thing about this movie is that it has managed to re-do Shakespeare's famous tragedy in a modern setting while still retaining its original dialogue. What's even more amazing is it works. I admit that I was a little apprehensive about seeing this movie, fearing that Luhrman had either destroyed the play's beauty and power by setting it in modern times, or had butchered Shakespeare's eloquent words by making them sound more modern. I was wrong. Almost everything about this movie is just incredible.Luhrman brilliantly casted Claire Danes as fourteen-year-old Juliet. The actress certainly looks the part, with her youthful features and innocent eyes. More importantly, she acts the part. Ms. Danes almost flawlessly captures Juliet's distressing journey from childhood to womanhood, beautifully showing her dramatic transition which had taken toll on her during her five day relationship with Romeo. When the story begins, Juliet is a naive girl, having not yet experienced true love, and by the end we can clearly see just how much her love for Romeo has deepened in passion, and how dramatically her character has developed.Leanardo DeCaprio's Romeo was almost equally impressive. Some of his recitations of Shakespeare made me cringe, but for the most part he was perfect. One of Romeo's most important characteristics in the play is the intensity of his emotions, and DeCaprio captures this feature incredibly. Romeo is brash and impulsive, with a tendency to act on the heat of the moment rather than to first consider the situation like the more levelheaded Juliet. This unfortunate characteristic, which played a huge role in leading up to the lovers' tragic fate, is wonderfully mastered by DeCaprio and retained throughout the film. But we also, like with Juliet, get a glimpse of his character's development. At the beginning of the play Romeo is a hopeless romantic who fantasizes of love, and seems to dwell more in his daydreamed world than actually on earth. At this point he has no idea what true love really is, he only thinks he does. It is not until he meets Juliet that he can begin to comprehend the true depth and passion of love. DeCaprio triumphs in this area as well.The other actors are superb, and wonderfully portray their characters as Shakespeare intended. But what really impressed me was, as I stated earlier, the keeping of Shakespeare's original dialogue in Luhrman's modern setting. I know some people criticize this film for destroying the romance and beauty of Shakespeare's words by setting the story in modern day Verona, but I feel that it only made the film more romantic. What Luhrman did was both bold and brilliant, and he succeeded wonderfully.I won't speak any more of the brilliance of this film, I just highly recommend you see it as soon as possible. If you're a fan of Shakespeare like me, I think you will enjoy this hip, yet still lovely, modernization of his most famous play ever.",9.0,Anonymous,Romance
