title,content,rating,username,genres
An atmosphere like no other.,"This is how horror films need to be made. Aside from The House of the Devil (a beautiful throwback to this period of the genre) there aren't any films that can so perfectly create this kind of a chilling atmosphere that keeps your skin tingling from start to finish. From the haunting echo of Mia Farrow's voice eerily leading us in, Rosemary's Baby immediately absorbs you into it's world and never lets you out. That's the perfect word for this; absorbing. Roman Polanski is one of cinema's finest directors and what makes him stand as such is how perfectly he can create an atmosphere. Even in his few failures he crafts a unique and full atmosphere that is expertly made for the film he's creating. He's one of the few directors who always know what he's doing and always creates a complete vision that never wavers. That's on display in spades in Rosemary's Baby, a film that drives mystery, supernatural paranoia and the fears of any pregnant woman into the heart of the viewer. With the help of a revelatory performance in terror from Farrow, Polanski creates a truly perfect film.",8.0,Anonymous,Horror
A Veneer Of Normalcy,"It starts off like one of those 1950's Doris Day movies. Young, idealistic Rosemary (Mia Farrow) and new hubby Guy (John Cassavetes) move into a Manhattan apartment building called the ""Bramford"". Throughout most of the film we, as viewers, see and hear what innocent Rosemary sees and hears. There's a veneer of normalcy at the Bramford that belies what's really going on, behind our backs. It's the script's POV, therefore, that makes this film so chilling.At the Bramford, which has quite a colorful history, you can hear through the walls. And, as Rosemary and we viewers soon find out, strange people lurk in other parts of the building. The strangest of all are Roman and Minnie Castevet (Sidney Blackmer and Ruth Gordon), superficially cordial, but a bit too inquisitive. Roman is retired. His wife, Minnie, wears tons of makeup and pawnshop jewelry, and gushes with praise for herbal cures, especially something called tannis-root. And Minnie's friend Laura-Louise (Patsy Kelly) wears thick glasses that make her eyes seem to bulge, and she talks with a strangely deep voice.""Rosemary's Baby"" is one of the great thrillers of all time. Given the underlying subject matter, can you imagine how this film must have come across to viewers in 1968? The strength of the film is the script, which through its plot and dialogue implies and suggests. Not until near the end do we, like Rosemary, find out the presumed truth. Suspense increases toward the end as Rosemary ventures into the inner sanctum of the Bramford.The film's acting is great, and reinforces the strong script. I particularly liked Ruth Gordon, with her delightfully eccentric behavior and mannerisms. Production design and especially costumes are lavish and colorful. Clothes and hairstyles, as you would expect, are very 1960ish. Visual effects are minimal, and are used to enhance the story, not be the story.Given the film's POV, the story is rather subjective. Its interpretation is based on Rosemary's perceptions, images, and fears. One could explain that Rosemary suffers from delusions. Or, alternately, one could explain that what happens is real. It's all in the interpretation. Either way, it's a great movie. It holds up well, forty years later, a tribute to its writer and director, Roman Polanski.",9.0,Anonymous,Horror
"""Awful things happen in every apartment house""","Rosemary's Baby was originally proposed as a project to Alfred Hitchcock. He turned it down, and instead it fell to the up-and-coming Polish director Roman Polanski. It's hard to imagine what the master of suspense would have made out of this tale of devil worship and Catholic guilt, even though there is some Hitchockian psychology and mystery at work. As it was however, it proved to be right up the young Polanski's street, taking his career to new heights, and spawning a run of occult horrors in the late 60s and early 70s, of which this is still one of the few greats.Polanski had already established himself as a director most comfortable with the confinement of interiors in films like Repulsion (1965). Here he draws us right into the claustrophobic feel of the upstairs apartment, often placing the camera in a room adjacent to the action, with the characters viewed through a doorway. The camera movement is mostly restricted to pans. It rarely tracks or dollys, as if it were trapped in a corner. Even in the exterior scenes the sky is often sandwiched or blotted out altogether between the buildings rising on either side. The actors often appear uncomfortably close to the camera, but not in individual close-up shots. Instead, they come in that close as they move around the set and the camera pans back and forth. Not only does this add to the cramped, awkward atmosphere, but this constantly changing distancing of actors within a single shots makes the audience feel as if they are actually standing there.Rosemary's Baby may come across as very slow to some viewers. 140 minutes certainly is a long time in the horror genre. There do also appear to be a lot of unnecessary details in the dialogue  we get to find out far more about Rosemary's background than is normal for a character in cinema. But for one thing, Polanski was not interested in making a shock-and-gore horror  Rosemary's Baby is all about the eerie atmosphere, the tension and the mystery. He holds our attention by regularly dropping in clues that something sinister is afoot. Furthermore, all the detail and depth has its significance in the finished product  like the references to Rosemary's Catholic upbringing or the background of the Castavets.Polanski has never overused flashy techniques  no fast editing, zooms or unusual angles that make for a very obvious directorial style. But there is always great complexity and meaning in the look of things  the set design, lighting, costume and so on. One of my favourite touches is Mia Farrow's extremely short Vidal Sassoon hairdo that she has done halfway through the film. With her bony features and pale skin she more and more begins to resemble a skeleton, especially under the carefully placed lighting in the scene after the party when she realises the pain has gone. It's simple yet significant ideas like that which make Polanski one of the best directors of his era.There's some great casting in this picture. Careful choice of character actors makes for some quirky supporting roles. Mia Farrow and John Cassavetes are perfect in the lead roles. The musical score  that haunting opening melody, or the atonal violin squeaks  all add to the atmosphere.Rosemary's Baby is a real landmark in horror. It helped keep the genre alive by pushing the occult - something fairly taboo, and not fully explored in cinema since the days of silents - to the fore. Also the restrained atmospheric horror was doubtless influential, particularly on Kubrick when he came to make The Shining. It inspired a lot, but was rarely bettered.",9.0,Anonymous,Horror
One of the ultimate horror classics,"Every bit of acclaim that Rosemary's Baby has earned is totally deserved. The Dakota, located at 72nd and Central Park West, is the perfect setting for the demonic events; all that rich Gothic detail in the heart of Manhattan provides the perfect atmosphere, serving as a dark fairy-tale world of its own within the modern setting. Roman Polanski knows this and utilizes it brilliantly, opening the film with stunning aerial shots of the skyline and focusing in on the ornate castle amongst the skyscrapers and tenements.The acting is fantastic, particularly Mia Farrow, who is the only person I can envision as Rosemary. Her fine-boned fragility makes her the ideal target for terror. She goes from obliviousness to suspicion to fear to near madness without showing a seam, and we as the audience are with her all the way. And Mia is given a run for her money by the delightful Ruth Gordon, a comical yet sinister presence popping in on a deliberate schedule with pale green drinks and sandpapery advice. She's scary because we know her--a batty old broad with a seemingly sweet nature beneath her caustic surface. That such a person could possibly be a vessel of evil is a thoroughly unnerving concept.Unnerving is the proper adjective for the entire movie. Unnerving, eerie, and penetratingly frightening in a very subtle manner. The subtlety is key, since a more explicit treatment would've spoiled everything. As the tension heightens, we feel what Rosemary feels: Curiosity, then vague suspicion, then paralyzing terror at the final revelation. At all times, the movie retains its dignity, from the opening and closing shots of the building to the flourishing title script to the beautiful music. Even on TV, this picture can chill you to the bone. The best big-budget horror movie of all time.",,Anonymous,Horror
Polanski's Baby,"When people talk about perfect films I don't actually know what they mean. Perfect for whom? Perfect compared to what? I think that perfection is in the brain and heart of the beholder. ""Rosemary's baby"" is a perfect film to me. Scary in a way that makes you breathless. You're thinking and feeling throughout the film. One of the many sides of Polanski's genius is to suggest. And what he suggest is so monstrous that we don't want to believe it, but we do. The characters are so perfectly drawn that there is no cheating involved. John Cassavettes's superb study in selfishness and egomaniacal frustration is so real that comes to no surprise that he could do what he does to advance his career, but we are surprised, we're horrified. The spectacular Ruth Gordon and Sidney Blackmer are not Deborah Kerr and David Niven, are they? So that they turn out to be what they turn out to be is totally believable, but Polanski presents it in such a light of normality that you can't believe it. Mia Farrow's predicament is as classic as the boy who cried wolf tale and yet, as told by Roman Polanski in the wonderful face of Mia Farrow, is as if we're hearing it, seeing it and living it for the first time. Every silence, every voice in the distance, every door opening. Your heart is always in your throat. There is something there that accelerates a constant state of dread. Very few movies have been able to take me to that place, most of them by Roman Polanski, what about ""The Tenant"" or ""Repulsion""? Other movies that come to mind: David Lynch's ""Eraserhead"" and Martin Donovan's ""Apartment Zero"" But ""Rosemary's baby"" stands alone as a terrifying masterpiece.",10.0,Anonymous,Horror
Flawless Horror Masterpiece,"Rosemary, in Mia Farrow's performance, is so immediately recognizable that everything that happens to her, happens to us. Her explanation to Dr Hill (Charles Grodin) about the absurdity she's at the center of, is so brilliantly written that she becomes more than just one of us, she becomes us in all the depth of our unspoken fears. To see this film in 2007 is really amazing. Perfection! And that for our benefit. Polanski is not one of those directors who concocts camera tricks to feed his own ego. Everything is at the service of the story. John Cassavettes is a scarily convincing weakling with an ambition bigger than his talent. Ruth Gordon got, what I, in my modest opinion, consider one of the most deserving Oscars in the history of the Oscars. Her performance is beyond superb. Okay, I'm running out of superlatives but let me finish with one more...Roman Polanski is the greatest.",10.0,Anonymous,Horror
Hauntingly beautiful,"This one stays as part of you for a long time after you watch it. Every detail of this movie is so beautifully portrayed. It is not scary , it's creepy as hell.. But so enjoyable .. And every time you catch it on tv again you'll enjoy it again and again... and you will find some new details you missed the previous time. It is very intelligent, very deep, very dark, but also kinda feels hypnotizing. I just love it! Absolutely love it no matter how sick it is. If you like psychological movies, not fast paced, this one is for you.",10.0,Anonymous,Horror
"Not The Classic ""Horror"" Movie You Might Expect - More Of A Psychological Mystery","This movie is a classic, and 50 years old, and yet strangely enough I had never watched it until now. And, to be honest, it wasn't really what I was expecting it to be. I had the impression that ""Rosemary's Baby"" was more of a straight horror/thriller type of movie. Instead what I found was more of a suspense/mystery type of story. I didn't find there to be anything particularly frightening in it. It was more mysterious, and for me the question hanging over the whole story was whether any of what Rosemary came to believe was real or if it was just a figment of her imagination. I'll give credit to Roman Polanski, who both directed this and wrote the screenplay - there are plenty of scenes and events in this movie that add to that uncertainty. Things happened or would be said that maybe at first seemed innocent, but as they added up I could see how they began to appear suspicious to Rosemary. But there's also enough going on that causes you to think - ""No - this is just Rosemary's imagination going wild."" So, although I have to confess that at first I was struggling with this just a bit (probably because it was so unlike what I was expecting) after a while I became quite fixed on the story. Once you're into it (even if you have to struggle a bit with the beginning) you have to see it through to the end. And I will say this about the ending (which I won't give away) - I don't think the resolution was as clear as some make it out to be. I was still left thinking that what was happening could be real - or maybe was still in Rosemary's mind. If I could hazard a guess I'd say that the intent was that what Rosemary believed turned out to be true, but it just wasn't crystal clear to me.I had mixed reactions to the performances in this. No one really came across to me as outstanding - this in spite of the fact that Ruth Gordon won the Oscar for Best Supporting Actress for her performance as Minnie Castevet - Rosemary and Guy's annoying neighbour. I truly did find the character annoying - which perhaps does say that Gordon pulled off the part perfectly, but my reaction to the character perhaps clouded my appreciation of Gordon's performance. I would say that if you wanted to make a movie that in some way features Satan, you could do worse than simply have a young couple move in to a new place who then have to put up with Minnie and Roman as their neighbours. ""Neighbours From Hell"" you could call it, even without a supernatural angle! As for Mia Farrow as Rosemary - she grew on me over the course of the picture. At first she seemed a bit wooden for lack of a better word, but I thought she did a good job of portraying Rosemary's ""evolution"" as she begins to suspect that something evil was going on.This was OK. Once I adjusted my expectations of it - after realizing that it wasn't going to be the traditional horror movie I was expecting - it managed to draw me in. I would say that I think it's perhaps a little bit over-rated, and if you are looking for a traditional horror/thriller type of movie, this is going to be a disappointment. It doesn't have many traditional frights involved with it and it's a little bit slow paced at times. It's a psychological thriller at best; more akin to a mystery than anything. As long as you keep that in mind, it's enjoyable enough. But don't expect to be scared out of your wits, or even to jump or be particularly startled by anything. (7/10)",7.0,Anonymous,Horror
Reassuring to fine it's every bit as good as its staunchest champions would have you believe,"Why aren't the horror directors of today as careful with their scripts as Polanski was?  Not that this is really horror.  Horror as we know it came into being with the slasher flicks of the late 1970s and early 1980s; ""Rosemary's Baby"" is rather the kind of thing that the term ""dark fantasy"" was coined to describe, by people of taste who noticed that the word ""horror"" promised audiences something distinctly unpleasant and nasty.The film's construction is marvellous.  Things start slow - one beat, so to speak, to a bar - and gradually pick up speed so that by the end we are nervously tapping out semiquavers with our feet.  Polanski also understands the gentle art of hint-dropping.  Many events are filed away as tiny puzzles to be solved later, and they ARE solved later; others we don't attach any particular significance to at the time Polanski invites us to re-interpret in retrospect, AND chooses the right moment to let us do so.  And then, at the end, AFTER we've worked everything out, he presents us with a surprise - a delightful, gratuitous twist which nothing had prepared us for, which we couldn't have guessed, yet which doesn't cancel out the story as we'd understood it.  (Alas, many people know what this surprise is in advance. I, for one.  Yet this foreknowledge did nothing to spoil my enjoyment: a sure sign of superb construction.)All in all, a film that tempts you to rank it with the best ever made - which is more, but not much more, than it deserves - simply because it's perfect.  Everything went right.  Rosemary is a wonderfully sympathetic heroine, powerless without being passive, largely ignorant of what's going on around her without being at all stupid, and Mia Farrow makes you care deeply about her.  The cinematography is pellucid; the art direction is subtly right; there's also a fine, odd yet tuneful, musical score.  I can't believe I waited so long to see this.",10.0,Anonymous,Horror
Staple Horror Film,"A great Polanski film, especially for his first American one. ""Rosemary's Baby"" is a classic movie for the genre, and has created a story for horror movies to leech from for decades. Mia Farrow is outstanding in her performance as Rosemary, seeming completely genuine in the role; the film is ripe with great supporting cast members. Eerie music that rises and falls with the scenes creates a perfect tension that fills out the 'scary' aspects when nothing truly frightening is happening; a great touch that keeps the viewer in suspense throughout the piece. A fan of the genre may not appreciate the film as much because of a lack of true gore, which seems to be all too common in movies now, but the way that ""Rosemary's Baby"" was shot is well-crafted, and well-suited to horror; Polanski helps add himself to a list of horror fore-fathers with this one.",7.0,Anonymous,Horror
