title,content,rating,username,genres
Exceed to Excess,"Every great gangster movie has under-currents of human drama. Don't expect an emotional story of guilt, retribution and despair from ""Scarface"". This is a tale of ferocious greed, corruption, and power. The darker side of the fabled ""American Dream"".Anybody complaining about the ""cheesiness"" of this film is missing the point. The superficial characters, cheesy music, and dated fashions further fuel the criticism of this life of diabolical excess. Nothing in the lives of these characters really matter, not on any human level at least. In fact the film practically borderlines satire, ironic considering all the gangsta rappers that were positively inspired by the lifestyle of Tony Montana.This isn't Brian DePalma's strongest directorial effort, it is occasionally excellent and well-handled (particularly the memorable finale), but frequently sinks to sloppy and misled. Thankfully, it is supported by a very strong script by Oliver Stone (probably good therapy for him, considering the coke habit he was tackling at the time). The themes are consistent, with the focus primarily on the life of Tony Montana, and the evolution of his character as he is consumed by greed and power. The dialogue is also excellent, see-sawing comfortably between humour and drama. There are many stand-out lines, which have since wormed their way into popular culture in one form or another.The cast help make it what it is as well, but this is really Pacino's film. One of his earlier less subtle performances (something much more common from him nowadays), this is a world entirely separate from Michael Corleone and Frank Serpico. Yet he is as watchable here as ever, in very entertaining (and intentionally over-the-top) form. It is hard to imagine another Tony Montana after seeing this film, in possibly one of the most mimicked performances ever. Pfeiffer stood out as dull and uncomfortable on first viewing, but I've come to realize how she plays out the part of the bored little wife. Not an exceptional effort, but unfairly misjudged. The supporting players are very good too, particularly Paul Shenar as the suave Alejandro Sosa.Powerful, occasionally humorous, sometimes shocking, and continually controversial. ""Scarface"" is one of the films of the eighties (whatever that might mean to you). An essential and accessible gangster flick, and a pop-culture landmark. 9/10",9.0,Anonymous,"Crime, Drama"
Al Pacino made it unforgettable,"Scarface is surely one of the best crime movie ever made.Al Pacino's performance as a sharp minded,angry,dangerous and powerful criminal is phenomenal.Al Pacino is playing a character which is brutal,angry,fearless and at the same time has love for his sister. Although movie is 2 hours and 50 mins long,but you will not find any dull moment in the movie.Alhough Al Pacino is playing a drug dealer but you will still like him as a person.Dialogues were excellent and there were couple of good songs in movie too.I also liked the way in which Al Pacino's character used to flirt with Michelle Pfeiffer's character.It was funny sometimes and was gentle too.I have seen many criminal movies but there is something special in Scarface.It is realistic and touching.This is Al Pacino's one of the finest performance.There was violence in some scenes but this is a crime movie and we expect some fighting scenes with violence.I heard a lot of positive things about this movie and when I finally watched it, I became its fan too. I am surprised that this movie even did not received any Oscar nominations.This movie surely deserves to be in top 250 list.Movie is a treat for Al Pacino's fans.This movie is recommended for all adults. Overall I give Scarface 9/10.",9.0,Anonymous,"Crime, Drama"
"""You wanna play rough?? OKAY!""","""Scarface"" has a major cult following even now, 22 years after its release.It has also been widely criticized as being very tacky, unrefined, over-the-top and all bloated up! These are people who compare Scarface to The Godfather movies. It is true that on the technical front, (cinematography, screenplay, direction, etc.) Scarface is way behind 'The Godfather'.But it is also true, that what Scarface has and some other gangster movies lack, is the rawness, the sheer crude approach of the gangsters. The Latino gangsters in this movie look much more menacing and real than any of the polished Italian or Irish gangsters from other gangster classics like 'The Godfather' or 'Goodfellas'. This is one of the major winning points of Scarface and I strongly believe that this fact has been written off as ""tackiness"" by most critics! I have seen the original 1932 Scarface, and I must say that both these movies are way too different from each other and should be seen as two different movies instead of praising the original over the ""remake""!Al Pacino has been criticized to be over-the-top and loud in this movie. But how about considering that that is precisely the way the film-makers wanted Tony Montana's character to be! He is this angry young man who takes hasty decisions and throws fits of tantrum every other minute! He is not the calm Michael Corleone here. He is Tony Montana, a very tacky, uneducated individual who doesn't really think much and gets angry all the time!There is definitely a very 80s feel to this movie. The soundtrack is all 80s! I love some of the songs, including 'Gina and Elvira's theme', 'Push it to the limit' and the title track instrumental.There are some memorable and beautifully shot sequences, including the famous chainsaw scene, the Rebenga hit, the first meeting with Sosa and Tony's visit to his mother's.About the performances: Al Pacino is brilliant as the angry Cuban refugee. He has reportedly mentioned that he enjoyed playing Tony Montana the most in his entire career. And it really does seem like he has enjoyed himself thoroughly in all his scenes! One wonders what ""Scarface"" would be like without Pacino. I just couldn't imagine anyone else portraying Tony Montana and in all probabilities, the film wouldn't be as effective without him!Steven Bauer shines as Tony's friend Manny.Robert Loggia is wonderful as Tony's boss, Lopez. So is F. Murray Abraham (as Omar) in a small role.Then there is some eye-candy in the form of Elvira played by Michelle Pfeiffer. She looks beautiful and is adequate in her role.The director does go a bit overboard during a particular part in the climax. Without revealing anything, I would only say that that was the only little part that suffers due to improper handling.""Scarface"" is definitely one of the most entertaining and one of the best gangster movies to ever come out. Enjoy it for what it is: a raw portrayal of the Drug Lords and their gangland!",10.0,Anonymous,"Crime, Drama"
The Real Scarface.,"""A Classic is something that everybody wants to have read but nobody wants to read. A classic is also something that everyone praises but no one has read."" -Mark Twain'Classic' seems to be the word used to describe ""Scarface"", Brian DePalma's 1983 film about opulence, self surrender, greed, and danger among Florida's drug ring. People and critics (and rappers for that matter) deem this film 'an epic gangster classic' or 'eptiome of gangster films.' When it is anything but. It is praised for all the wrong reasons. Scarface is a terrific film that deserves praise from all over, but not all the praise it gets from audiences today, and therefor the fine points it so poignantly makes are missed by the general public.First off, the film is about a Cuban refugee, with a past of wanting to escape communism grasp and find happiness. Simple? Yes. But the layers of De Palma's directing genius, and the great story written by Oliver Stone (yes I know, he actually wrote a real good one here) play into all of it. The characters are all looking for an escape, as escape is a natural element dealt with in the film by all. Each character has something to offer, that makes them likable by everyone who could appreciate this film. They are entwined in a world of mystique and money, but all that has a price, as they all learn. Each character thinks they are getting better chances in life, when in true dramatic irony, they are actually getting worse. 'Tragedy' would be a better word to describe this movie. All those who praise the film for it's drug usage, it's violence, it's dialog, totally missed the point. There is nothing really positive about the film besides the characters positive expectations of themselves. And that is why the film works so well. The devastation through out the film serves to deliver the message of the film, not to look cool or attract viewers. Brian De Palma doesn't make movies for cult gangsters, or brainless action fans.Next on, the film is an adult drama. It is not a 'gangster film'. It has it's share of action, but the action is plotted very carefully, so it has a point. It's not like ""Aliens""- an example of a big dumb action film, and most audiences perceive this film as a big dumb action gangster film about doing drugs and shooting people. Ridiculous. Hogwash. If this film is about that, then it is about how bad it is. Not a promotion of it.This being said, the film is indeed a great film. It has great cinematography that pulls you into the story. It has a very dramatic score (in true Giorgio Moroder style), which simply could give you chills, or bring you to tears. The film is rather lengthy, but it is a story, and each moment counts. The acting is terrific. Al Pacino - enough said. He can do any role that he puts his mind to, and this was no exception. Pretty boy Steven Bauer, as Manny. I didn't think much of him in other films he did, but he actually makes you like him when he goes under maestro De Palma's direction. Michelle Pfeiffer is a true gem as Elvira. Popping' fresh off the heels of a sort of embarrassment in ""Grease 2"" she got her ticket to ride performing a no holds barred performance of a beauty that is more than meets the eye. But the three true diamonds in this rough are Mary Elizabeth Mastrontonio as Tony's sister Gina, who when she smiles, or cries, we see her soul and her fresh way of living, and watch it deteriorate; Paul Shenar as Alejandro Sosa, a drug lord, who runs deeper than a river, and Shenar portrays him as so; and Miriam Colom as Tony and Gina's torn mother. These three dig the film as deep as it can go.This reviewer learned one main thing when watching ""Scarface"" for the first time. Always go into a film unsuspecting. All the hype and talk of this film cannot possibly prepare you for what you really see. Only knowing De Palma (like I do) can give you even a glimpse of what this film holds. So ignore the rap crap, ignore the mindless violence supporters, and fix yourself a glass of Bailey's on the rocks, and indulge yourself in an emotional viewing of a great film, the real ""Scarface.""",10.0,Anonymous,"Crime, Drama"
"Grandiose, bloodyminded and implacable","This is one of my all time favorites.If the movie has a flaw, it's that it comes at you like a raging bull. It doesn't so much engage the viewer as assault him. ''Scarface'' is as voracious and unyielding a production as Tony Montana himself. Nothing is left to the viewer's imagination.Moroder's languorous synthpop fits the action to a tee. Like the chorus in a Greek tragedy, it wails and gnashes, broods and tugs, a constant reminder of Tony's inexorable fate.Not so much a tale of caution as a disaster in progress, ''Scarface'' rips across the screen with the unstoppable force of a runaway train.",10.0,Anonymous,"Crime, Drama"
Pure Pacino,Pacino gives an amazing performance that is both comic and tragic in this remake of the 1932 classic about corruption in America.Brian De Palma updated the original Prohibition story to the era of the Mariel boat-lift and the heavy traffic in drugs that still infest the United States. The film is an uncompromising revelation of humanity's dark side as Pacino's character learns never to underestimate the other guy's greed. He neglects to learn the other important lesson -- never get caught in the vice you are pushing on others.Pacino's character wants the world and everything in it. That's what he gets. We are reminded to beware of what we wish for.The film is violent but never makes drug dealing seem glamorous.,,Anonymous,"Crime, Drama"
"Loved, But For The Wrong Reasons","Many people like this movie and many more love it, but it seems that it is all for the wrong reasons. Scarface should be liked and loved but not in the way it has been or is.Many people say the acting was over-the-top, but who better to do an over-the-top character than Al Pacino. To say that Pacino went over-the-top in here would be an understatement. Yet he does it so well, he just brings the inner devil out of you so well. His character Tony Montana was not such a great guy to begin with but his thirst for power just bring his sickness of greed to another level; an inhumane level. Sure at times Pacino seems to be a bit cartoonish and surreal but that does not at all to me seem to be a liability at all. The supporting cast served its job very well. Michelle Pfeiffer was not really at her best but she certainly fit the role she played. On the other hand Steven Bauer was at his best, still he is Steven Bauer. Mary Elizabeth Mastrantonio was good and like Michelle Pfeiffer fit her role very well. Robert Loggia I have always enjoyed watching in just seeing him yell. Other than Pacino they were not really any standout or memorable performances. Everybody just seemed to fit their roles by being there. They did not fit in perfectly but were convincing enough.Brian De Palma did a very good job directing this movie. Whenever an actor is able to become larger than life with his performance some credit should be given to the director and I will certainly give De Palma that. Brian De Palma, though not given the respect, is a very versatile director by my count. He knows how to direct movies according to their genres, but that at times has not turned out well. In here it does, this is by all counts a gangster movie but few are much better than this one because of De Palma.The writing was great it was just pure Oliver Stone. When I saw the credits at the end of this movie and saw that Oliver Stone had written this I was not the least bit surprised. That is a testament to him though. I have always though of him as a great writer and to me he proves this once again with Scarface. Nobody knows how to write a surreal reality for a movie than Oliver Stone.The music was good but not that great. It is certainly not my favorite from Giorgio Moroder. The music was a little bit too 80s-ish for me but it didn't annoy me. The cinematography was good, not amazing but really who cares with a movie like this.This has probably been one of the most influential movies in the past 25 years but as mentioned before it is for the wrong reasons. People should realize that the character of Tony Montana is no hero, he is a monster. He is not inspiring in anyway. He is greedy, bloodthirsty, uneducated and self consumed. Yet he is a role model to many people because he is in some way or another a rebel but probably most of all because he is a deluded gangster. A vigilante would be like Mother Tereasa next to Scarface.The good thing about this movie though is that it shows that the Tony Montanas' are not the real problem. If we or the people of authority would want to shut people like him down we could do it but we don't. In a freaky twisted way he is a necessity of our society. He is somebody you could blame everything on and fell better about yourself doing it. The Tony Montanas' of this world are the scapegoats of our society. This in no way excuses people like him. Instead it is more of a reminder that we shouldn't excuse or allow ourselves to do bad things just because we measure up or think we measure up compared better to a gangster or drug dealer. I love this movie because it is more than a corruption movie, it is a movie that in a strange way makes you self reflect.",10.0,Anonymous,"Crime, Drama"
The 80's and how not to live them...,"Ya know when one looks at this Brian DePalma film today, I'm sure there has been a lot of criticism about how dated it is. Also, about the violence. When I looked at this film on VHS when I was 20, I thought it was ulta-violent and gritty as well. But I didn't get 'it'.A few decades go by and man, how I know how much I didn't get in this film!! This is a remake of an excellent film which was done back in the 30's/40's. How can you improve upon a classic? Ya don't. But you tell a tale that is brought up to date through the eyes of the ""new immigrants"" during the most greed ridden decade, the over indulgent 80's. DePalma, Stone and the gang present an ambitious, disturbing and darn right good film.Yes....Disco was dying and New Wave/Punk were taking over but these immigrants from Cuba who had to make a new home in Florida couldn't tell the difference. It was exciting, it was what they wanted but how to get it???? To these immigrants, there was only one way to get it in Florida where they were..by having lots of money and to get the money, you had to take over running a drug empire.Al Pacino was fantastic to me as Tony Montana, the ""little train that could"". What an amazing way to have your lead character look at America: to fight, kill, steal. lie, cheat all to get -- ""the money, the women and the power.""That's what Tony saw as the American dream.He wanted it, he wanted to live it and in his circle saw nothing wrong with how he went to get it. Tony Montana's command of the English language was heavily saturated with the ""f"" word but what did you expect, Emily Post's finishing school for him and his co-horts? Look at how they CAME to America, what they knew, what they were exposed to. This is the way Tony and his crew chose to ""be all they can be in America."" It was all about the power. Tony Montana would and did ANYTHING to achieve it..it all its violent, lying, stealing, crooked, thieving glory.The part of the film that personified the 1980's to me, is the money laundering. Tony's crew bringing sacks of drug money to the bank. Did those around Tony and his crew care? At the clubs where he spent and drank? Nope. Money was money and with money, you get the power. Tony was living high off the hog. He and his pretty blond American trophy he married played well by Michelle Pfieffer.After Tony Montana's rise to power, he finds out its really crappy up there. He's riddled with doubt, he's drug addicted, he's paranoid, he's surrounded by those who want to take him on in a bloody take-over, his trophy 80's American blonde drug addicted wife he finds out is a bore, he needs to keep atop of his empire because...he's going down. And down he goes in a horrific violent fashion, but again I ask, what do you expect?This is the quintessential 1980's film telling you a warped tale of how some misunderstand the American Dream...to obsession. It's violent, bloody, overly so..but it drives the point disturbingly home. Not all Cubans thrown out of Cuba who landed in Florida in the 80's were anything like Tony Montana. Give me a break. But the showing of how miserable the 1980's were with its emphasis on greed and money as the only measures in the USA to ""be somebody"" and have power took its tool on these poor characters and their lives in America.Makes you wonder -- has anything from then -- been learned today?",10.0,Anonymous,"Crime, Drama"
"Decent movie, good movie, not a great movie","While I enjoyed it as a pop-corn flick, this movie to me is not at all what it was hyped up to be. I was promised an action-packed thriller of a movie with fantastic performances and ambiguous characters. This movie is not that. The pacing is awful, the performances apart from Pacino are decent but not outstanding, and the film drags on for a good 30 minutes more than it needed to. Cut a couple scenes of Tony Montana basically holding a monologue about politicians, bankers, and money, and you'll have a much more concise movie which delivers the same message. Don't worry, the underlying theme isn't lost on me, I just feel like some scenes could've done with more subtlety, your viewers aren't stupid, no need to spell his maniacal outbursts out to us over and over.Overall, it's a movie I can see myself watching and enjoying again in a couple of years, but it's neither a cinematic masterpiece nor a film with a lot of replay value.If you love this movie, don't be angry at me. You're entitled to your opinion, I don't mind people praising it. It's just not what I wanted out of the experience personally.",6.0,Anonymous,"Crime, Drama"
This is GREAT,"Directed by Brian De Palma and written by Oliver Stone, ""Scarface"" is a movie that will not be forgotten. A Cuban refugee named Tony Montana (Pacino) comes to America for the American Dream. Montana then becomes the ""king"" in the drug world as he ruthlessly runs his empire of crime in Miami, Florida. This gangster movie is very violent, and some scenes are unpleasant to watch. This movie has around 180+ F-words and is almost three hours long. This movie is entertaining and you will never get bored. You cheer for the Drug-lord, and in some scenes you find out that Montana isn't as evil as some other Crime Lords. This is a masterpiece and i recommend that you see this. You will not be disappointed. 9/10",10.0,Anonymous,"Crime, Drama"
