title,content,rating,username,genres
"Look, I love it!","I totally understand that this film and all of the scary movie films are pretty terrible films but I just can't help but love them! The comedy in this film is right up my street, it's ridiculous and it makes fun of all the classic horror films that I love. The comedy is just pure crude and I find it absolutely hilarious and will always film it funny. This is a great film to watch with friends and have a good laugh with, it's just contagious once one person if laughing. I will forever think that this movie is the best of the series and I think that is hands down because of the cast, how did they get Tim Curry in this thing? I will never know! Overall though I just love this movie and I don't care what anyone says as this will always be up there for movies to have a laugh to. I love it!",6.0,Anonymous,Horror
Mindless fun,Is there a plot?  Not really.  Do we care?  Not really.  Scary Movie 2 strings the audience along from one gag after another.  There are some big laughs in this film but sometimes it's tedious getting to them.  See this late at night with a full theatre and you're going to have a good time. It's just as raunchy as the first one and just as tasteless.  That's why the first one was so popular.  It's a mouth full of laughs (just ask Tori Spelling).,6.0,Anonymous,Horror
Stupid but a lot of fun.,"Scary Movie 2 (2001) follows four teens who are tricked into staying at a haunted mansion for a school research project. This film isn't good per say, but it is a lot of fun and definitely one to watch with friends.The humour was ridiculous yet charming, very stereotypically 2000s. It had me laughing out loud from the very start but, there again, I have a broken sense of humour! The references to pop culture really added to the humour and made it funnier in my opinion. However, I wasn't a fan of the gross visual jokes and I found myself unable to watch them.The film didn't have much interesting cinematography and visuals but I don't think it needed it. Plus the set designs were quite good, and there genuinely were some decent colour palettes throughout.The acting was poor but this was definitely intentional, and the characters were strangely loveable in a way. All the acting was over exaggerated and the characters followed stereotypes that mock other horror films. There were some fun and unexpected cameos too, for example I didn't expect Tim Curry to be in it, and found his character very funny.Lastly, the pacing worked well for this type of film as it was fast and witty, never dwelling on one moment for too long. Also, something I really didn't expect was that the story was actually pretty engaging.",6.0,Anonymous,Horror
Clever and Witty but Mixed Emotions.,"I have various mixed emotions about this sequel to the hit SCARY MOVIE. It wasn't as good but it delivered many laughs and slap-on-knees. I was a little surprised at this one on how they could spoof any movie right after the other. If you really liked the first one, you could be disappointed or satisfied with this one. I was satisfied. 7/10My MPAA rating: R for strong crude sexual content and humor, drug use and language.",,Anonymous,Horror
The entire movie was rushed except the editing.,Scary Movie 2 was slow and boring. The opening scene in the house that spoofs The Exorcist was desperate and painful already. Many scenes don't go anywhere and neither do the actors who stand around sometimes. They even spoof the brain removal scene in Hannibal which is impossible because Hannibal was released in theaters in February 2001 and this sequel was released Independence Day weekend the same year. How desperate. I don't even understand the basketball scene referenced when the basketball bounces down the stairs leading to some break dance sequence. How many today would know that reference?,2.0,Anonymous,Horror
"Oh, come on! Let go! Trust me, it's not that bad!","OK, not Oscar material and this was pretty badly made. But again like most brainless comedies, I walked in the theater with a good mood and expecting a laugh and I got that with ""Scary Movie 2"". I mean people are being so harsh on this film, I understand, I know this isn't the greatest movie or comedy. But if you aren't expecting fun and laughter, I think normally you just feel like bashing the movie then.We have some of the old cast members from the original Scary Movie: Anna Farris, a surprising return of Regina Hall, and Marlon and Shawn Wayne. This Scary Movie took on the films like The Exorcist(hilarious scene by the way), Poltergeist, The Haunting, Mission Impossible, Charlie's Angels, and What lies beneath. With some great add ons like Tim Curry, I just had a great time. Tori Spelling, yeah, she's a bit scary, but for some reason she still gets her equal share of laughs.The Butler just killed me with the hand. Yes, it was gross, but I think you just have to let go and just go with the joke. Scary Movie 2 isn't the best comedy ever, but it's a decent one with your brain turned off. Sick jokes, yes, and very crude one's, this movie isn't for everyone. But I think if you enjoyed the first Scary Movie, you'll enjoy this one too!7/10",7.0,Anonymous,Horror
"Scary Movie 2 is undoubtedly a continuation at the level that the previous film deserves, but it doesn't get to be funny all the time this time","Right after the release of Scary Movie, the production already indicated that there would be no sequel, and this is stamped in the subtitle of the original poster, ""No Continuation!"". The group, realizing the good reception of the work among the popular public, seeks to build a stylistic unit for future continuity. Thus, in the rhythm of the comedy, the production tries to play a prank on the audience that had become a fan since the success of the first film, using the slogan ""We Lied"", In the subtitle of the second film in the franchise, as a reference to the first feature, which in the subtitle said that there would be no continuation.At this point, the idea of a franchise was already a reality to be worked on in the coming years - considering that definitely Scary Movie, in less than a year after its first public appearance, had already fallen into popular prestige, today, canonized in its genre. The fact is that the continuation of Scary Movie was released in theaters in 2001, bringing a humor that had not saturated and being a box office success, generating a split between specialized critics and audiences, who, until today, differ in the quality of the film. This second part again brings director Keenen Ivory Wayans in charge and even a short time after the previous film he managed several other recent and old cinema successes to satirize.The management takes advantage and continues the narrative thread of the first part: the group that survived last summer enters college and friends meet again. Cindy (Anna Faris) is still a character who tries to be saintly and stars in sexual scenes as if she doesn't know what she is doing; Ray (Shawn Wayans) increases his range and throws himself at new guys, producing memorable scenes; Brenda (Regina Hall) still dates Ray, and Shorty (Marlon Wayans), the group's stoner, stars in one of the great scenes in the film when he is curled up by a tree and smoked by her. In a new adventure, the friends are invited by the university professor, Oldman (Tim Curry), and his assistant, Dwight (David Cross), to stay, in a field subject, at the house on the hill. There, the professor intends to study the phenomenon of insomnia, however, everything goes wrong, as is known.The film begins with an interesting scene by first parodying the classic The Exorcist. Interesting for the great art direction, photography and costumes that purposely ended up simulating the 70s, where the events of the honored film took place. Thinking the prologue with a satirization of The Exorcist is already the best entry in the series of films, even better than the great start of its predecessor, which begins with the parody of the initial scene of Panic. The opening scene makes a point of naming the possessed family's home ""Casa do Inferno"", without regard or pity for the young woman's family. The party on the ground floor of the house, while the possessed dies in the bedroom, is of unbelievable nonsense and the eschatological minutes of the character of James Woods, together with his unwillingness to exorcise her, makes the scene complete. In this film, the direction introduces hints of eschatological humor in some scenes, which it did not do in the previous one. The eschatological is well placed, it causes discomfort by nonsense and brings laughter for dealing with situations so distant, but also so close. The curious thing here is that Marlon Brando was originally chosen as Father McFeely and completed a day of filming before leaving production due to illness. Charlton Heston was even asked to take Brando's place, but he declined the proposal; Bill Clinton, who at the time had just stepped out of the position of President of the United States, was also considered to play the role. Finally, it was up to James Woods, who received $ 1 million for four days of filming, to play the priest.The change of focus in the story is not free. The writers wanted to make fun of other types of films and explore new ways to disrupt some classic horror movie scenes. And since they manage to do so well in a story involving a serial killer, there is nothing more fair than trying to explore the supernatural, after all, cliché productions involving haunted houses exist in droves and several of them are practically begging to be satirized. Although obviously not being able to be as smart as the original, this sequence manages to remain dignified, especially with its numerous connections with the previous film.In the first episode, the central theme was to play with Wes Craven's Panic series (started in 1996) and quote other similar films with a lot of humor. This time, the story was centered on the movie ""The Haunting (1999)"" and several scenes resembled satires to the films The Exorcist (whose director's version was released at the time), The Man Without a Shadow, Hannibal (in the famous brain sequence), Premonition, Revelation, and even films outside the fantastic genre such as the new version of the police adventure of Charlie's Angels, Crouching Tiger, Hidden Drago with their choreographed fights, and the catastrophe of the Twister hurricanes (in a scene where a ghost cow flies into a tornado), among other references. Titanic is also quoted, as in the original, with a direct allusion to the scene of the iceberg. It also shows a great scene of prominence closer to the end that makes reference to the movie Charlie's Angels and even Mission Impossible 2 (in a scene of action in a wheelchair, entitled to the famous doves of John Woo) ... There is still space, even, for a quick and hilarious joke with Harry Potter.For these scenes, some visual effects were very good, such as the clown scene. Others, on the other hand, were very artificial like those of the cat, but they worked very well at the time of its release, managing to amplify the laughter. Just like the previous film, the cast repeats their characters once again and continues without developing them in any way. For those looking for fun, the film manages to get a good laugh despite the short duration, the shortest of all. It continues with some creative scenes and is especially worthy of paying homage to other films recently seen. Once again the sexual jokes are very present in practically every scene and will certainly please your target audience again. The eschatology show is immense, with a urine bath, spurt of sperm, vomiting, flatulence, bad jokes with disabled people, etc. A film that is a waste of time, but that still serves to laugh without compromise.If in the first feature the grace is due to the novelty - for example, the novelty that is to discover, through Ray's hilarious holes, scene after scene, that he is homosexual, or also the novelty that the humorous style of Scary Movie brought to the genre, that is why it was so well received in public -, in the second film, the grace is due to the reused reasons of the first feature, which are renewed as new situations are proposed. It is a big mistake to think that the second film in the franchise has made a mistake, since everything that made Scary Movie funny, such as Cindy's stance, Ray's sexuality and Shorty's high, had already been shown and explored in the first feature. Quite the opposite.The continuation delivers a mood with similar vigor when applying the same script in a new environment, renewing the possibility of finding and taking the laughter out of other situations, expanding and multiplying your universe. However, even though it kept exactly its essence, this continuation presents good isolated moments, but it loses a lot even by the characteristics of the films honored this time. With House on Haunted Hill, The Haunting, The Exorcist, Poltergeist as a basis, that is, all films whose main action takes place inside a house, this parody follows the same steps, which ends up , in a way, limiting the situations to be explored. The choice of the honored films certainly obeyed this logic to what was proposed here, providing several new situations without necessarily leaving the environment of the haunted mansion. The problem is that this is a limiting factor for the plot.Now, however - in tune with the current taste of the average American teenager - this type of satire is only commercially successful if it is filled with eschatology. In this field, Scary Movie 2 is more than fertile. The film already opens with a urine bath. Sperm squirts, flatulence, vomiting in buckets and - worse - the most infamous and embarrassing evils against disabled people follow. Intelligence and subtlety don't stand a chance. Scary Movie 2 is undoubtedly a continuation at the level that the previous film deserves, but it doesn't get to be funny all the time this time. In this one, the direction leaves aside some acidic criticisms that it brought in the first film and introduces a more organic and ridiculous humor. Without taking away the strategy and expanding the humorous experiments to other groups to be parodied, some even a little more delicate, the film by Keenen Ivory Wayans plays with cinema and the daily life in an authorial, familiar and precise way, reaching, many times, the nerve point of laughter.",5.0,Anonymous,Horror
Entertaining,"Although not quite as funny as the original, I still enjoyed Scary Movie 2 very much. While some bits are downright idiotic, some are genuinely hilarious, and will have you rolling in the aisles. If you're not a fan of Scary Movie, you won't like this one either, however. But, if you enjoyed the first, come back to see this one too.",7.0,Anonymous,Horror
A very poor and lackluster effort.,"The unexpected success of ""Scary Movie"" demanded an immediate sequel and all the Wayans' brothers could come up with was this uninspired, irritating story that (attempts to) spoof Haunted House horror films such as the ""House on Haunted Hill"", ""Poltergeist"" and ""the Haunting"". Part two was released only a good 10 months after the original and this clearly resulted in a hack job that never should have come out. Apart from a bearable intro, in which a deranged James Woods performs a wacky exorcism, ""Scary Movie 2"" is nothing but a dreadful series of unfunny jokes, exaggerated graphics and gags that show no insight in the wonderful genre of horror. The complete cast returns and a few fresh ones are introduced (like the sexy Kathleen Robertson and the tasteless Tori Spelling) for spending a couple of nights in an ancient mansion where spirits dwell, cats become kick-boxers and the indoor plants smoke pot. Tim Curry, once the star of cult-classics, lowers himself to playing the horny college professor. This film is vulgar, tasteless and very offensiveyet, I couldn't care less about that! It's not funny and that's pretty bad for a supposedly hilarious parody/comedy. Avoid in case you've got some brain capacity left!",3.0,Anonymous,Horror
Stupid pothead humor,It was good when I was a kid. But it aged like moldy cheese.2.5/5 + 1 for the golden days of cheap early 2000s comedy.,7.0,Anonymous,Horror
