title,content,rating,username,genres
By Far the Best Scream Sequel,"Scream 2 is by far the best Scream sequel (tbh I won't argue if you say scream 4) and is a very solid entry in the slasher genre. Wes Craven was having a lot of fun with this movie and plays with the pacing and suspense at his heart's desire. The violence is amped up and we get lot of great sequences including the stage scenes, the car, and the infamous film class scene. The script delivers yet again; and the college campus setting for a slasher just works so well for me. Solid acting from Neve Campbell, Courtney Cox, and Jamie Kennedy all returning for their roles. Also some familiar faces show up with lesser roles like Timothy Olyphant, Jerry O Connell, and Sarah Michelle Gellar! But at times this movie can feel more like a crime drama and I can't say it's as scary even with a more violent Ghostface. Although this movie lacks in terms of real scares, it still manages to be an above average slasher.",7.0,Anonymous,Horror
"Still fun, but less clever than the original","How do you make a sequel to a horror film whose whole plot was made of in-jokes and film references? Easy: make the follow-up even more in-jokey and self-referential than its predecessor. This formula actually seems to work for Scream 2, at least in the first two acts.The prologue is arguably a masterclass in self-irony: an African-American couple (Omar Epps and Jada Pinkett Smith) go to a movie theater where a new horror film, called Stab, is screening. This flick is based on Gale Weathers' (Courtney Cox) book The Woodsboro Murders, which recounts the events of the first Scream. As the movie begins, Smith's character complains about Stab being a film ""with no black people in it"" (just like Scream was), and, predictably, this leads to the two African-Americans being brutally murdered as the film-within-a-film's prologue (with Heather Graham replacing Drew Barrymore) is shown on the screen, so that the fictional and real deaths occur almost simultaneously. From there on, things take the usual turn: the media go crazy about the killings and once again Sidney Prescott (Neve Campbell) is in the spotlight, as she and her friend Randy (Jamie Kennedy) must protect themselves from the new foe, who is apparently mimicking what happened in the past (an obvious reference to the first film's ""Movies don't create psychos"" line).The main charm of the original Scream was its ability to almost seamlessly combine clever in-jokes and a believable plot. This time around, the in-jokes are the best thing in the movie, while the story, particularly in the overblown conclusion, suffers from merely repeating key scenes from the first film. Now, this might be a satire on the lack of originality in most horror sequels, and it would work if the characters were developed correctly. Sadly, such a thing doesn't happen, with Sidney being reduced to the usual girl who keeps running and screaming (fitting, huh?) and everyone else (including Liev Schreiber, who gets more screen-time in the sequel) playing stereotypes, with the exception of David Arquette, very likable as the nice cop again trying to solve the case, and Kennedy, who has a great time stating the rules to follow in a sequel.Ironically, the movie's funniest scene has a bunch of film students discussing follow-ups that are better than the originals. And while few could have anything bad to say about Aliens, Terminator 2 or The Godfather: Part II, it must be said that Scream 2, while fun and watchable, most certainly doesn't have the same sharpness that made its predecessor an above-average horror film.",7.0,Anonymous,Horror
A slasher sequel finally done right.,"If you thought that slasher movie sequels could be nothing more than an inferior continuation to the original and provide nothing new or innovative, ""Scream 2"" is here to prove you wrong. The entertaining characters, suspenseful directing and unique kind of meta humor that you loved from the original are back and combined with an exciting new plot, proving that even slasher movie sequels can be great as long as there's enough care and passion put into them.",7.0,Anonymous,Horror
A pretty good sequel,"In addition to becoming the first major box office hit for Dimension Films, 1996's SCREAM also became the horror film that would set the tone for the other horror films of the late 1990s. It was a phenomenal achievement in the horror genre so of coarse a sequel was just around the corner. The most common rule with movies is that sequels are terrible and while that is normally always true, that isn't the case with SCREAM 2. It should be noted that SCREAM 2 came out just a year after the original SCREAM. Most often when sequels come out a year after their predecessor, they turn out to be pretty bad (CHILD'S PLAY 3 for example). SCREAM 2, while not as good as SCREAM, manages to be an effective and well made sequel that surprisingly is just as clever as the first one and it contains the same kind of great dialogue the first one had as well. It helps that SCREAM 2 has most of the same cast members as the first one too. I think it's safe to say that SCREAM 2 was one of the better sequels of the 1990s. I'm giving it 7/10. Recommended for fans of horror.",,Anonymous,Horror
Pretty good sequel,"The funny thing with 'Scream 2' is that it's not as entertaining and good as 'Scream' but with bad movies like 'I Know What You Did Last Summer' and 'Urban Legend' it's kind of a relieve. Probably the difference here is that Wes Craven is  a director who knows what he is doing.Neve Campbell as Sidney, Courteney Cox as Gale Weathers, David Arquette as Deputy Dewey and Jamie Kennedy as Randy return for this sequel. New possible subjects or suspects are Cici (Sarah Michelle Gellar), Hallie (Elise Neal), Sidney's new boyfriend Derek (Jerry O'Connell), former suspect Cotton Weary (Liev Schreiber) who was in prison for a year, Mickey (Timothy Olyphant) and reporter Debbie Salt (Laurie Metcalf) who is a big fan of Gale.The movie opens in a theater. The movie 'Stab' is showing for the first time and this movie is based on the book 'The Woodsboro Murders' by Gale Weathers. In 'Scream' Sidney predicted that Tori Spelling would probably play her if they would ever make a movie about those events and in 'Scream 2' we learn she was right. It is one of the many funny little things. Jada Pinkett Smith and Omar Epps are killed during the showing and of course the movie is blamed.From here it is like 'Scream'. The guessing can begin. Again it is a lot of fun, again the movie knows that it must not get too serious, again I was entertained by what I saw. 'Scream' was original and therefore better, more entertaining and more surprising in the way the subject was handled. Still, with all the inside jokes and references this is a lot of fun and a lot better than almost every other movie in the genre.",6.0,Anonymous,Horror
A Worthy Sequel,"'Scream 2' was the sequel to 'Scream', made only a year after its predecessor, it was clearly in high demand.It was a good film overall, it certainly would not be added to the long list of sequels which didn't live up to their previous films - as it is discussed IN the film. Again, the references to movie cliché's and common movie stereotypes and rules is very interesting and can be really funny as you find yourself agreeing with the characters when they discuss films. Wes Craven created a very worthy sequel, the dialogue, as with the first one, was probably the strength of the film. Neve Campbell's role was pretty much the same with no huge development in her character but she performed well and kept her acting up to the same standard as in 'Scream'. The two recurring characters who really out-did themselves in this film were Courtney Cox and David Arquette, both their characters developed substantially in this film and both actors did so very well.The script was well done but was slightly more predictable this time. When it came to who the killer eventually was, you had already worked out this because they had been absent for no apparent reason from the story for over half an hour. However, Craven did add some surprises and there were aspects of the story - both funny and scary - that you did not see coming. There was a lot more violence in this film and the body count is bigger as stated in the trailer, this film is definitely more horror than black comedy but there are some really great scenes featuring both.Overall, 'Scream 2' is not as good as the first one but it is still definitely worth a watch. Don't watch this unless you have watched the first one because you will be lost within the opening minutes of the film.",7.0,Anonymous,Horror
"More of the same self-relative horror, enjoyably balances mock and slasher film goods","Director Wes Craven and writer Kevin Williamson re-teamed for this unneeded but entertaining sequel. Also returning is a majority of the original cast (Neve Campbell, Courteney Cox, David Arquette, Jamie Kennedy, and Liev Schreiber), where the story picks up two years later with Campbell attending college when a new killer dons the Ghostface mask and stalks her and her college pals. As with the first film, everyone is a suspect and most importantly the film strikes a nice tonal balance of mocking slasher film conventions while also delivering the slasher film goods. Jamie Kennedy's video store clerk, now a film school student, at one point explains the rules for horror sequels, stating ""there are certain rules that one must abide by in order to create a successful sequel. Number one: the body count is always bigger. Number two: the death scenes are always much more elaborate - more blood, more gore - *carnage candy*. And number three: never, ever, under any circumstances, assume the killer is dead."" and ""Scream 2"" delivers on all three of these points. Besides meeting those sequel requirements, Craven is a master of suspense and shock and as with the first film, for a mainstream picture, he does deliver a shockingly rough horror film. Craven actually had to submit eight different cuts to the MPAA before getting an R-rating, so there's no mistaking that this film was from the same guy who made ""The Last House on the Left"" and ""The Hills Have Eyes."" The film is also immensely helped by a strong cast of new characters that include Jada Pinkett, Omar Epps, Sarah Michelle Gellar (interestingly playing a helpless blond character-type, the antithesis of Buffy the Vampire Slayer, which she was playing at this same time), Timothy Olyphant, Jerry O'Connell, Laurie Metcalf, Rebecca Gayheart, an unrecognizable Portia de Rossi, and the great David Warner in a small role as a drama teacher. Best of all are the very funny cameos for the movie-within-a-movie ""Stab,"" where Heather Graham plays the Drew Barrymore part form the first film and Tori Spelling & Luke Wilson play Campbell and Skeet Ulrich's parts (an inside joke from the first film where one of Campbell's friends asks her ""If they make a movie about you, who's gonna play you?"" and she answers, ""With my luck, they'd cast Tori Spelling.""). Look fast for a before-he-was-famous Adam Shankman as a Ghost Dancer and Selma Blair has an uncredited appearance (or is heard) as Gellar's friend on the phone. Also, the film was edited by Patrick Lussier, who'd later go on to direct the solid ""My Bloody Valentine"" remake, Nic Cage's ""Drive Angry,"" and was co-writer on under appreciated Terminator sequel ""Terminator Genisys."" My main complaint about the film is that Williamson's script hasn't aged all that well, seeming at bit too clever for itself, reminding me in many ways of the endless Tarantino wannabes of this era, where pop culture references were lazy substitutes for good dialogue, interesting characters, or original stories. Still, while this sequel basically covers the same ground of the first film, it's a strong cast with a talented director making a big budget slasher film, which is not something horror fans are treated to very often. FUN FACT! Robert Rodriguez (""Desperado"" ""Sin City"" ""Machete"") directed scenes of ""Stab"", the movie-within-a-movie.",7.0,Anonymous,Horror
Convoluted and silly,"The first Scream was a genre boosting achievement because it did away with the laborious corny crap of the 80s and went for something different and fresh, with it's much needed creativity and cleverness and the result was a mostly entertaining horror.Sadly, and I say sadly, because instead of building on its warmly accepted predecessor, Scream 2 goes back to the silly, unscary methods of the 80s and undoes all the good work done before it. Even though all the favourite characters are back, the awful dialogue and lame kills weigh the movie down terribly. Admittedly, matching or improving on the impressive original would have been a task, but Scream 2 looks like they just wanted to copy off the first and not even attempt to make anything worthy of a sequel.I might be wrong in saying this, but it really looks like a very rushed production, for whatever reason, and seeing that this was released just one year after the first, this would indeed appear to be the case. Which kind of smells like a money hungry crew wanting to further cash in financially, ignoring any notion of honouring the first movie and doing it justice.",4.0,Anonymous,Horror
Film Planted Firmly in Cheek,"Wes Craven is back again at the helm of Scream 2, his followup to the mega-successful Scream. As sequels go, one could do a lot worse than this film. Sure, it has a pretty silly story trying desperately to cling to the original source material, but it never ever takes the story too terribly serious. How does Craven do this? He laces the film with all kinds of film references and humour directly tied to the film industry and actors involved. Several mentions of ""Friends"" cast members abound whilst having Courtney Cox return in her signature role as Gail Weathers. Craven also brings back the rules to horror films - now horror sequels; these rules are right on mark too(wish we had heard the most important!). In fact my favourite scene in the whole movie is in a classroom where students debate the inferior sequel to the superior original. Excellent examples are given to support one argument that sequels are better: Aliens and Terminator 2, and of course, The Godfather 2. Naturally this small cross section seems great when none of the hundreds of truly bad sequels are mentioned. Purposely I am sure! Is Scream 2 better than Scream? No way. It doesn't have nearly as much punch to it. The opening scene this time takes place in a movie theater, but it is not as powerful as the opening scene with Drew Barrymore in the original. The story is really something unto itself as well...but any kind of examination of plot other than a cursory one would give too much away. Not that that would be any great pity. I did like the acting in this one more. Arquette returns as Dewey affecting some kind of limp and pinched nerve in hand. He does a fairly nice job. Cox is lovely as ever and also is good in her role. Campbell is OK, as is the rest of the cast with Jamie Kennedy again standing out as nerdy movie maven Randy Weeks and, in particular, Liev Screiber doing a wonderful job as Cotton Weary(the man who had been accused of killing Sidney's mama). This sequel has more blood, more deaths, and more jokes. Like the original, I too enjoyed this film for its entertainment value if nothing else.",6.0,Anonymous,Horror
Very bad sequel,"Craven used to be known to make REAL horror movies. Sometimes they were experimentation horror films. But now he has fallen for Hollywood's love of cheap scares and loud, loud, loud soundtracks. This film only has one musical cue that isn't criminally loud noise. But it's music stolen from Hans Zimmer's Broken Arrow soundtrack. A soundtrack I love. This kind of made me annoyed the first, and only, time I saw this (well over 2 years ago).The photography in this film is the worst I have ever seen. Almost everything that isn't in the immediate foreground is blurred and out-of-focus. Horror films offer so many opportunities for creativity in all areas of film production. But as this film is made to appeal to mass audiences the style has to be simple. Even terrible.There is nothing worthwhile about this film and nothing to recommend. The part that I hate most seems to be what most people (for some reason) like the best. A class full of film students discusses if sequels are better than originals. That's it. You seethis IS a sequel, and they talk about sequels. Wow! So what?! That's the irony! And it's not worth a penny. I have never seen a more simpleminded and superficial so-called 'horror' film as bad as this. The fact that it thinks it's so cool just makes it worse. The true horror of this film is the horrifying ignorance to the audience.Watch Urban Legend instead if you want to watch a Campus 'who's the killer?' flick. It's junk but it's better than this.",1.0,Anonymous,Horror
