title,content,rating,username,genres
It saddens me ...,"... not the movie, but the number of self-professed Holmes aficionados who apparently have no knowledge of Holmes. For the record, Holmes was a miserable, irresponsible drug addict who did indeed sleep on the floor, insult his best friend, experiment on his dog, and never ever wore a deerstalker's cap (at least, not until television was invented). He was a brawler who practiced martial arts and was as likely to slum around in the filthiest of rags as he was a suit.It wasn't until after Doctor Watson took him in hand that he truly refined himself and became a ""respectable"" member of society. And yes, we can tell that this movie takes place THAT early in their relationship because Watson has not yet married his wife (the retconning did annoy me, too, by the way, but you just can't avoid a little re-imagining here and there).Speaking of unavoidable, Irene Adler, Holmes' one uncapturable (is that a word?), simply had to be cast as a potential love interest. The flirting, the romance, and the near-make-out session were irresistible to the director (and to all of the audience who're honest with themselves).That being said, I felt Robert Downey, Jr. played Sherlock Holmes to perfection. His characteristic caustic attitude towards Lestrade and even Watson at times was exactly how I'd imagine him. He gives several summations of his observations and deductions that brought Holmes to life in an almost unparalleled way. His fight scenes (preceded the first few times by superhuman calculations) show both the mental and physical sides of Holmes in ways that Watson's notes can't quite convey, but at which they constantly hint.As for Watson himself, Jude Law delivered a wonderful performance. I was a little skeptical of how well he fought, given Watson's wartime injury, but his character and demeanor were entirely on the nose. His loyalty to Holmes despite his frustrations with him could not have been captured more expertly, I feel. No one, no matter how patient or forgiving, could endure Holmes forever without the occasional confrontation. The original Holmes, after all, was not above insulting his best friend or even deriding his deductive capabilities at times. Nevertheless, Watson never could abandon his friend in his time of need.This version (or vision, if you will) of Sir Arthur Conan Doyle's greatest creation may be more swashbuckling, more thrilling, and more edgy than any other incarnation, but that doesn't make it any less faithful to the original. Aside from a little revisionist history in the cases of the female leads, nothing is that far out of the ordinary; and no amount of references to Madonna will change that.",9.0,Anonymous,"Action, Adventure, Mystery"
"Hugely enjoyable, I seriously wasn't expecting to enjoy it as much as I did","First of all, I wasn't sure whether I wanted to see this movie initially. It looked entertaining enough, but I was wondering is it going to be an entertaining and stylish movie or another generic block buster? My answer is this, and you can probably tell by my summary, I thoroughly enjoyed it, it is not the best movie I have ever seen and it has its faults, but the thing is I thought it was fun, witty and somewhat original too.Those who didn't like it as much as I did will probably question whether I have any knowledge at all of Sherlock Holmes, whether it is the books or the countless interpretations of the character and his stories. The answer is yes, I really like Conan Doyle's stories, they are clever and insightful and Holmes himself is a very intriguing character with a distinct personality, and I am a fan of both Basil Rathbone and Jeremy Brett. If I had a preference I would say the latter but only marginally, Rathbone was excellent, he was sophisticated and gritty but Brett had that towering presence and generosity about him that made me like him a little more.Back to this film, I liked how it was filmed. I for one found it stylish, innovative and clever. The camera work is really good, even in the fight scenes which were suitably gritty and invigorating, and the sets, costumes and locations look as though they took their time with it and to make it true to the period. I also enjoyed the score, it was jaunty and somewhat tongue-in-cheek. Guy Ritchie's direction is solid as well, it is tight, assured and Ritchie does seem to know what he is doing, so we were treated to some fun set pieces.The pacing was fine for me, in fact although people may disagree I for one was surprised at how quickly in general the film went, even if it did slow down towards the end. The script was very witty and smart, there were a number of times when my whole family and I laughed, and a lot of it was Holmes's dialogue, plus I liked the idea of the plot, it was an original (if a little convoluted at times) and it moved along briskly. I will talk later about what didn't quite work, but in particular the final solution is interesting. It may be one you need to rewind a few times in order to completely understand though. I also think it was a good idea to put Moriaty as a background character, the ending is highly suggestive of a sequel, and if there is one that would be a perfect opportunity for Moriaty to flourish with the right actor, some good dialogue and some good character development.Finally the acting. In general, I was really impressed. Robert Downey Jnr, an actor who I like a lot, gives a very strong performance as Holmes. He plays Holmes as an avid boxer, as a keen martial artist, as intelligent being a master of logic and deduction and as a master of disguise, while tormenting his housekeeper in a playful manner and sometimes acting as selfish and self-destructive. Downey Jnr. delivers his lines pretty much brilliantly, sometimes saying them quite quickly, especially when Holmes is deducting but I loved his deadpan delivery. Jude Law is perfect as Watson, he plays him as young, intelligent, authoritative and there are some great moments when he tells Holmes off. The two do share a unique and effortless chemistry together and that really showed on screen and one of the reasons why the film was so enjoyable for me. Another strong performance is Mark Strong as Blackwood, a real villain he is, mysterious, cold, dark, suave yet charismatic yet deserving of one or two more scenes, and I liked Eddie Marsan's Inspector Lestrade.Despite all these strengths there were two primary weaknesses. While the plot was great and moved along briskly, there were some scenes that came across as rushed and unexplained, especially when Holmes and Watson save Irene Adler from being killed in the factory, that just felt like an action set piece and little else. Rachel McAdams I didn't like so much as Irene. She looks really pretty, with the lovely authentic hair style and her dresses were eye popping, especially the pinkish-red one which suited her perfectly, but acting-wise she looks stiff and unconvincing in her part.Overall, just plain fun. Whether you see it or not is up to you, if you don't like it that's fine, this film's not for everyone. But I am going to conclude to say I loved it, it was entertaining and smart. 9/10 Bethany Cox",9.0,Anonymous,"Action, Adventure, Mystery"
Sherlock Holmes retold......or a reliable adaptation.,"How many of us that adore the world of Sherlock Holmes, don't romanticise about the stunning Jeremy Brett series, or the modern dizzying cleverness of the Benedict Cumberbatch series.This film would have come as a massive surprise to both sets of fans. First off the visuals, it's a breathtaking affair, it's atmospheric and gothic, the blockbuster feel works incredibly well. Secondly, the humour, it's packed full of laughs, lots of witty lines and plenty of sarcasm. Thirdly, the acting, is tremendous, Downey and Law are sublime, it's a great cast.Overall, it's taken me some time to get used to it, initially I loathed it, as time has developed I've grown to enjoy it, and now cannot wait for the third film.The core essence of Holmes is actually captured here, plenty of what's in the books is brought to life, the darkness of the character, we're not given a member of the social elite, but a troubled, charismatic, fantastic slob.My only real issue is the plot itself, which is perhaps the most over the top element here, and that's saying something, enjoyable, but a little hard to follow.Crazy, complicated and fun, not my idea of Holmes, but a fun watch nonetheless. 7/10.",7.0,Anonymous,"Action, Adventure, Mystery"
"""Death is only the beginning.""","A+If there is one genre I began to detest over the years, it was the 'buddy-action' flicks. You know the movies where two guys who aren't exactly friends are forced to form an uneasy alliance which leads to hilarious escapades. It's only been done a thousand and one times, note the long line of duos: Bruce Willis & Samuel L. Jackson (""Die Hard 3""), Will Smith & (""Wild Wild West""), Chris Tucker & Jackie Chan (""Rush Hour""), and let's not forget Jackie Chan and Owen Wilson (""Shanghai Knights""). Though many (but certainly not all) of the aforementioned films are indeed funny, few have any real lasting qualities and even fewer a challenging storyline. The best they can often do is throw an alluring female co-star between the two leads, but I digress.This film however, stands a monumental achievement. Firstly, the cast is really something else. Robert Downey Jr. as our titular character, and he does a bang up job playing a man who's a mystery in himself. Jude Law is entertaining and I'm glad Eddie Marsan was aboard. Mark Strong makes for a very impressive antagonist, and Rachel McAdams is a seductive femme fatale of sorts. The gloomy setting, 1800s London, couldn't be better realized and it definitely gives the film a darker tone.Most importantly though, the story is truly a one-of-a-kind detective tale. It really is a pitting of rationality vs. superstition, and to my heart-thumping exhilaration for the majority of the film you would think good old logic had been defeated. Moving on before I spoil anything. The plot twists and turns menacingly, and leaves one astounded by the effort put into the writing.Lastly, kudos to composer Hans Zimmer who did a very catchy leitmotif that fit the film perfectly. The gray-blue cinematography is great, and I've got to congratulate Guy Ritchie on his feat.",10.0,Anonymous,"Action, Adventure, Mystery"
"Actor, and Placement","Somehow, i've always avoided the cinematic (or TV) presentations of Sherlock Holmes. I find the character fascinating, but i always felt it was more invested in literature, not cinema. His deductions, the way he surrounds the worlds he investigates are a feast for thinking minds. Even when the deductions are over the top (which happens often!) one can't stop smiling at the cleverness. More than that, the character is a perfect piece invested in a clever, irresistible and fascinating world. London. That part is visual, and a good ground to invest a cinematic world. But, unlike for example anything by Agatha Christie, Doyle's cleverness is rooted in pure deductive logic, not on the mechanics of the world. Notice that Christie's crimes are many times a matter of understanding how things happened, spatially (murder on the orient express is the zenith of that). I suppose Doyle formed his mind before cinema had any significant impact on how our minds work.So the challenge for any modern filmmaker, and actor, who wants to update Holmes, is to make the character more cinematic, more appealing. Several tricks are used here, most of them successful, even if straightforward. One is the most obvious, making Holmes an action character (which actually is in its original dna, even though TV productions usually ignore that). This might be a flop, and make the version laughable, but by now there is a sense of irony and self awareness in Ritchie's films (sincer Lock Stock) that allows him to support a xxi century action figure in Holmes clothing that actually is watchable. A minor trick here is the association of the deduction with the very process of physical fighting, which creates some Matrix moments. Well, their watchable, though not particularly interesting. In the greater arc, there are good action sequences, because, as any competent action these days, considers the elements of the surrounding space, and uses them.But there are two big things in this film, which take it to new levels of interest.One is the acting. Jude Law is a clever guy, an interesting actor whose greatest quality is how he merges anonymously with the context he is intended to integrate. He willingly becomes a piece of a larger tapestry, and that really is something to look upon. There are not many actors who can claim they can do this competently. But the king of the game is Downey Jr. He is the gold piece in the puzzle of updating Holmes. There certainly will be a before-after Holmes character, with this film. The man is capable to work his performances on several directions, and each of them is a perfect link to its surroundings. So he gives in to Ritchie's demands, and introduces humour, irony, and self-awareness in the character, to make it usable for the director's winks at ironic action. He invests totally on the creation of a character who merges with the textures of the context, while being distinct from it. And while doing it, he folds us into his game, so we do everything with him, side by side. We deduce, we smile, we run, all with him. So, if the film hadn't other qualities, Downey Jr would still make it worthy, because he, alone, solves one the most basic problems with any film: to find a channel audiences can safely cross into the game someone (director) proposes. He is one of the best ever.But there is another great thing here, which i suspect has a lot to do with several guys involved in the process of making the film. The result is an incredible sense of placement. London, XIXth century. All those dirty muddy streets, all the dirt. The fascination of the inner locations, namely the midget's laboratory. How those sets are usable, in the action scenes. That's all competent, more than competent. It's perfectly rendered, carefully photographed, it sounds overly artificial, but it's a matter of taste, i suppose. But what was really striking was the use of the London bridge. Notice how it is announced, early in the film, with a similar perspective to the one we'll get in the end. Than, the great sequence, when Irene Adler goes through the sewage, goes up, and we end up with a close up of her, in an unidentified location. The angle opens, we move away, and we are set up in the location for the final fight scene, which in its own merits is interesting enough. So, this was a unique way to actually use an establishing location, instead of merely showing it. I mean, how many films have shown the Eiffel towers? countless. How many actually use it? not so many. This is one of the best London cities we've seen lately.My opinion: 4/5http://www.7eyes.wordpress.com",,Anonymous,"Action, Adventure, Mystery"
As the Crow Flies,"Greetings again from the darkness. Great literature seldom makes for great cinema. The mediums are vastly different. However great literature, in the right hands, can make for very entertaining cinema. Such is the case with Guy Ritchie's interpretation of Sir Arthur Conan Doyle's greatest character.Mr. Ritchie provides us with quite a departure from the Basil Rathbone and Nigel Bruce ""Holmes and Watson"". Here we get dazzling special effects and near super-human feats and stunts. Another twist is that this Holmes here is no meticulous, fastidious bore in real life. In fact, he lives more like a frat boy or rock star - replete with trashed room and bouts of isolation.What is not missing is Holmes' world class attention to detail. The story here is multi-layered and actually very interesting, if not a bit high-minded and high-concept. The still-under-construction Tower Bridge plays a role in the film and the bleakness and gray of London is captured perfectly.Of course, I won't reveal any details of the story other than to say the ""good"" guys are out to get a real bad guy here ... wonderfully played by the always solid Mark Strong, who may or may not be dead. That always makes for an interesting case! Support from Rachel McAdams and Eddie Marsan are fine, but Robert Downey Jr and Jude Law are the real stars as Holmes and Watson. As odd as it seems, they really do have a buddy factor that works well on screen. Downey's physicality has always set him apart from many contemporary actors ... he moves like a dancer and fights like a champion. Jude Law is often too pretty-boy for me, but he really does a nice job of capturing the reluctant sidekick with complimentary skills.This is a BIG movie! It is made to be a rollicking good time with tons of popcorn munched. Smaller kids will not be able to follow the story, but anyone who has read a Holmes story (and isn't against a little artistic license) should see the film. It is extremely entertaining and fun to watch.",7.0,Anonymous,"Action, Adventure, Mystery"
Downey and Law are on the case,"Do Guy Ritchie and Sherlock Holmes fit? Why, it's elementary my dear movie fan. This is one of the most entertaining thrillers of the year and the fantastic Downey Jr. and Law are a big part of the reason why. They take top honors as the years best bro-mance, arguing like an old married couple while deep down knowing that they'd be lost without each other. Downey is Holmes and Law is sidekick Dr. Watson, embroiled in a plot where the black-magic-practicing Lord Blackwood (a perfectly grave and menacing Mark Strong) has risen from the dead after being sentenced to hang. Rachel McAdams also shows up as Irene Adler, the only criminal who has ever gotten the best of Holmes.Downey Jr. brings quick-wit, cunning, and a scruffy toughness to a role long seen as stuffy and dry, while Law a distinguished charm that, at times, spills over into testy aggressiveness (which is funniest at Holmes most annoying). Both toss off the one-liners with ease. Ritchie's directorial style also comes through, from the dark, grimy Victorian- London production values to the violent boxing and martial arts matches. Holmes' mindset (such as the steps he takes to neutralize a suspect, interpret clues, follow the deceptive) also brings out Ritchie's ability to create an ultra-stylized flashback. There are also a few really thrilling action set-pieces involving a boat and an unfinished bridge. The plot, by three screenwriters, is a little on the convoluted side but it gets the job done with plot-twist on-top of plot twist. With all the brutal violence and style, you can be sure this isn't your Grandpa's Sherlock Holmes, but it will have you drooling for a sequel nonetheless.",8.0,Anonymous,"Action, Adventure, Mystery"
"Lavish production  packed with  action ,  intrigue , suspense and amusement","It's a good film inspired on splendid novels about Sherlock Holmes character written by Arthur Conan Doyle , including two first-range nasties with malignant aims as Mark Strong as Blackwood and Doctor Moriarty , furthermore one woman , Rachel McAdams , as a suspicious young with mysterious purports .In the flick appears the usual of the Arthur Conan Doyle's novels : Dr.Moriarty , Mistress Hudson (Geraldine James), Inspector Lestrade (Eddie Marsan) and of course Doctor Watson (Jude Law) , the perfect counterpart to Holmes . Holmes along Watson will solve unanswered mysteries and Sherlock undergoes some risked experiences to resolve the cases using even his habitual disguise . It's a nice Holmes film with gripping London and sensational setting . A genuine ripping yarn very intriguing . The movie blends suspense , thriller , detective action , cloak and dagger , mystery and is pretty interesting . It packs an exciting amount of surprises with great lots of entertainment . This is a classy and effective romp with a strongly casting . Robert Downey Jr.'s interpretation is magnificent , he's a Sherlock for modern times , of course very different to Basil Rathbone considered the best Holmes in the cinema , likeness to Peter Cushing and Jeremy Brett in television. Robert Downey as Holmes plays in a clever , broody and impetuous manner , as whimsical detective is top notch , he's in cracking form acting as a two-fisted fighter . He makes an unique perspective on his life revealing a complex personality . He's finely matched in battle of wits with Blackwood-Mark Strong . The stars have a splendid fight towards the end on the Tower of London , plus Holmes tries to battle against his arch-enemy Moriarty but with an amazing final surprise . Although Basil Rathbone will be forever identified as Holmes , however Sherlock is also played by Robert Downey as an intelligent , cunning , broody and impetuous pipesmoking sleuth but addicted to the cocaine . Dr. Watson here isn't a bumbling and botcher pal generally represented by Nigel Bruce but an clever and astute partner perfectly incarnated by Jude Law . The film has a creepy atmosphere , it's in glimmer color with lights and shades that originate strange setting . Set design is of first rate , the movie is very atmospheric , the dark , shady and dirty slums of London are very well designed but with excessive use of computer generator images. Screenwriter Michael Johnson provides the original plot , creating the basis for this particularly storyline . The film boasts a beautifully cinematography by Philippe Rousselot and a haunting score by Hans Zimmer in John Barry style . This big budgeted production by Joel Silver sparkles with polish and wit and the ending is as exciting as moving and being well directed by Guy Ritchie .",7.0,Anonymous,"Action, Adventure, Mystery"
"A Fun Ride, Even For An Old Rathbone-Bruce Fan Like Me","I stayed away from this for a long time because I'm an old codger who loves the old Basil Rathbone-Nigel Bruce Sherlock Holmes movies and from the trailer, I thought this was going to be another far-out Robert Downey Jr. flick that would be more science fiction/FX movie than a good Holmes mystery. Well, it was....BUT the movie was still very entertaining and I really liked it......and I'd certainly watch it again.Yeah, it was a little weird seeing Holmes and Watson duking it out numerous times like they were members of The Expendables, but once that was accepted, I could settle back and enjoy the action, the dialog, the special effects, the fascinating characters and sharp picture and visuals, making it all surprisingly-fun ride. All the major characters in here were very entertaining, and all the while, Holmes still retained his incredible powers of deduction, which were a hoot to hear.So, for older people who expect a very sedate Holmes and Watson, either skip the film or loosen up and just be ready for two hours of wild entertainment.",9.0,Anonymous,"Action, Adventure, Mystery"
"Visually stylish, otherwise totally bland","As with most of Hollywood ""blockbuster"" cinema these days, the film suffers from an inescapable, one-dimensionalism. It is all about style; the cinematography, costuming, digital sets and effects, etc. are all top notch. As well, the quippy dialogue betrays a certain shallow, slick stylism that the script suffers from in general. However, far from being a clever distillation of the best of Holmes and Watson, the film instead suffers throughout from a post-modernistic reductionism that flattens our heroes into effete, world-weary caricatures of their literary counterparts.In a nutshell, for Holmes enthusiasts particularly, the film--in spite of the stylishly depicted action sequences--is dull and soulless, almost as if bored with its own pointlessness. Telling of our times, perhaps, but far from great storytelling.",4.0,Anonymous,"Action, Adventure, Mystery"
