title,content,rating,username,genres
The little movie that will wow audiences this year,"There has already been some talk coming from Telluride that this film is set to be this year's 'Juno.' It does have the same distributor and it is set for the same release period, and for anyone who hears this buzz, they will definitely not be disappointed.During the premiere of the final cut (in the words of director Danny Boyle) at the Toronto International Film Festival, the audience gave the film an incredibly enthusiastic response, and it went on to win the People's Choice Award. Boyle, who is somewhat like a British Richard Linklater for yet again surprising the audience with such diverse subject matter, worked his magic. He transcended genres and created a truly unique and energetic picture.Just about every aspect of this film deserves merit, and above all it belongs to Boyle, who managed to assemble such a massive achievement. The score by A. R. Rahman, with contributions from M. I. A., perfectly accompanies the action on screen. Still, it is great enough to be listened to on its own. With India as a backdrop, Boyle and his cinematographer have composed some remarkable images. The acting is roundly impressive, especially coming from the younger cast, almost all of which has never acted before.The film begins as Jamal (Skins' Dev Patel) is under interrogation by Mumbai police for cheating on India's version of Who Wants To Be a Millionaire, being only one question away from winning it all. As the inspector says, even doctors and lawyers cannot come close to the 20m rupee prize, and so Jamal, having grown up on the streets of Mumbai, cannot possibly know these things. As Jamal tries to avoid further torture, he begins to explain to the police how he knew each of the answers. Flashbacks present Jamal's boyhood and explain how he got to the show.At the centre of his journey is his brother, Salim, and a girl, Latika, who is left a homeless orphan after an attack that took Jamal's mother as well. After running from a man who exploits the trio for labour, Jamal replays the incident when Latika left his life when she was unable to catch a moving train. His uncertainty of her fate on the streets of Mumbai and his intense desire to see his first and only love again lead him to the interrogation room where the film began.Like 'Juno,' Slumdog Millionaire is by genre a comedic drama, but it becomes much more. The film asks questions about fate, righteousness, greed, and even urban sprawl. Above all, however, it asks about love in the face of the most dire obstacles, and if it can truly prosper. Jamal's story is a tragic and unfortunate one, but as seen through his eyes, it is still beautiful. The vast colour palate of India overwhelm any negative feelings, and Jamal's hope of finding and being with Latika overwhelm despair. For Jamal, 20m rupees isn't his prize. It would be nearly impossible for there to be a better picture this year.",9.0,Anonymous,"Drama, Romance"
Must-See,"This is an extraordinary film. From the original concept of the novel on which it is based (Q&A by Vikas Swarup), the screenplay by Simon Beaufoy (Full Monty) but especially the masterful creation and direction of the film by Danny Boyle. From the opening moments until the final scene, the audience was fully engaged. I was completely lost in the world that Danny Boyle created. This is not a story that has been told and retold, hashed and rehashed. It is fresh and engaging - all at once quickly moving, romantic, violent, culturally insightful, desperate and slightly fantastic. There are some comic elements to the film but to describe it as a ""comedy"" seems inappropriate. The film was shot on location in India, mostly in Mumbai. Slumdog Millionaire is yet another testament to depth and range of Boyle's artistic talent who has directed such diverse films as Shallow Grave, Trainspotting, 28 Days Later and Sunshine.I saw the film on at the 2008 Telluride Film Festival as a ""sneak preview."" The film was introduced by Boyle who said that the official opening of the film would be the next weekend at the Toronto Film Festival. He also said that there may be some final tweaking of the film prior to Toronto.In the discussion after the film Boyle strongly recommended three Indian made films: Satya, Company and Black Friday. He described each as superb. Boyle also stated that a portion of the Slumdog Millionaire was shot with a Canon EOS still camera, especially around the Taj Mahal, rather than a proper movie camera which creates unwanted attention while filming at popular tourist locations in India.8.2",8.0,Anonymous,"Drama, Romance"
One of the best cinema offered in 2008,"Danny Boyle has come up with some interesting cinema, certainly defining himself as someone above average. What he achieves in ""Slumdog Millionaire"" is transcend the line between inspiration and a miracle, awakening an emotional connection to the very special element great cinema can deliver. The packages might have changed, and the contents are more controversial and maybe a bit more tied to reality, certainly taking us to an exotic local, teaching us that our world extends beyond our freeway and limited perception of how more than the other half of the world's population has to deal without certainly preaching to us.The tale of two brothers' lives is told to us through episodic flashbacks tied to an episode of India's ""Who Wants to be a millionaire?"". At first, the story introduces one of the brothers as being the subject of a very strong interrogation to find out whether he is being truthful about some knowledge that might be relevant to the game. As he answers the questions, we discover that this young man's life story might be more interesting than we originally expected.There is an element of freshness in the way the story is presented, as we accompany Jamal through his life odyssey from a young child in the slums to a man who is determined to save those he loves. There are some strong emotions in the film, and Boyle's direction keeps the film dynamic and engaging.Prepare yourself to be overtaken by emotions as varied as joy, pity, happiness, anger, revulsion, surprise, and an exhilarating conclusion rarely seen in movies anymore. This film has made me grateful to be alive and that we still have people in cinema like Boyle who understands the power and beauty of the medium. He knows that the perfect mix of a great story and the respective imagery can provoke unforgettable memories in its audience.",10.0,Anonymous,"Drama, Romance"
"Good movie, Highly overrated","I FULLY AGREE that it is a good movie, no doubt about it, but it is highly overrated. If u people like this, there are 100s of other Indian Movies that are made much better than this(Both old and NEW). As for Rahman's music, it is GREAT (again no doubt). But this is definitely not his best. Pls go hear ""dil se"" and u'll know what i am talking about! Compare this movie to previous Oscar winners like American beauty, and well, u'll know wat i mean.Verdict : To everyone who has still not seen the film, It's definitely a one time watch. Good music,Good story and Good (kind hearted if i may add) cast and crew. But i request you to watch it with an open mind. And by the way, Mumbai is not just a ""slum area"". :-)",7.0,Anonymous,"Drama, Romance"
A stunning achievement: The best film of the year and one of the most exhilarating film-going experiences,"I won't see a better, more exhilarating movie this year than Danny Boyle's ""Slumdog Millionaire."" If Academy voters have any sense, they will nominate this for Best Picture and Best Director and then vote overwhelmingly for it for both awards.Boyle has taken what is essentially a story about a young man on India's version of ""Who Wants to Be a Millionaire?"" and transformed it into a gritty, realistic, powerful and, at times, gut-wrenching fairy tale. It's a Dickensian picture about a world rarely, if ever, seen in mainstream movies, a film that grabs us from the opening frame and doesn't let go until the credits roll at the end.This is why I love movies. Films like ""Slumdog Millionaire"" are rare. They are things of beauty, works of art that make me fall in love with movies all over again. Boyle has done it twice. First with ""Millions"" (2004), which also, coincidentally, was about a young boy and money; and now with ""Slumdog Millionaire.""This is Boyle's masterpiece - a stunningly original piece of film-making.Every once in a while there is a sleeper film, usually an independent movie, that comes along, takes everyone by surprise, then gets terrific word of mouth and becomes a huge success. ""My Big Fat Greek Wedding"" (2002), ""Little Miss Sunshine"" (2006) - though I did not care much for it - and ""Juno"" (2007) are such films. But, frankly, those films can't hold a candle to ""Slumdog Millionaire.""What might surprise many viewers is that a third of the dialogue is in Hindi. (And Boyle's placement of subtitles on the screen makes such good sense!) Please do not let that dissuade you from seeing this marvelous film. Do not let the R rating prevent you, either. What was the MPAA thinking? Honestly! There are far more offensive, vulgar and violent movies that are rated PG-13. ""Slumdog Millionaire"" should never have received an R rating. (This film should be mandatory viewing for young people, especially those in industrialized nations.)Simon Beaufoy's script was originally entirely in English, but Boyle's decision to have the Indian kids speak in Hindi, instead, is the right call. Having the children speaking in their native tongue makes perfect sense, especially because Boyle and Beaufoy depicts the realism of the kids' lives.That's what incredible about this film. Boyle and Beaufoy do not shy away from showing the squalor of Bombay. These kids live in deplorable conditions amid the grime, sewers and trash dumps of the slums. And, yet, thanks of Boyle true ingenuity, he creates uplifting and even humorous moments in the slums. There is one moment - and I shan't spoil it for anyone, but you will know it when you see it - that very well might be my favorite film moment in the last five years.Boyle doesn't do a thing wrong here. From his choice of actors to the music to his choice of colors, Boyle works his magic.The performances are uniformly good. Irrfan Khan finds the right balance between a tormentor and a quasi-father figure as the police officer. There's young Dev Patel as Jamal, playing with confidence, bringing a wonderful swagger to his role, as well as a sense of fear that we completely understand. Freida Pinto as the love interest is superb. And, of course, there are the three young 'uns. Perfectly cast, they actually make the film work. Their performances as Jamal, Salim and Latika are so utterly convincing that they completely draw us into the picture and make the jobs of the older actors playing them much easier.""Slumdog Millionaire"" is, I suppose, a dramatic comedy at heart. But it is also much more. It is a film about friendship, gratitude, love, betrayal, poverty and hope. It makes you laugh, weep and cheer as you can't help but marvel at Boyle's sheer genius.The film moves along at a breakneck pace, yet none of the cinematic flair - and there is plenty - seems superfluous. Everything Boyle does, including the Bollywood touches, makes sense. There's such a brilliantly kinetic energy to this film that it is impossible not to be enthralled by it.What Boyle has done is truly miraculous. He has turned a film about street life in Bombay into a visceral, genuine crowd-pleaser. And you will walk out of the movie theater feeling inspired and hopeful, knowing you've just seen something very special.""Slumdog Millionaire"" is not to be missed. It is the best movie of the year. And it is, without any doubt, one of the ten best films of the decade.",10.0,Anonymous,"Drama, Romance"
"""Slumdog"" beautifully bridges life in India and Western film","It doesn't seem like a stretch to suggest that America might now be ready to embrace films in the style of India's Bollywood films. While ""Slumdog Millionaire"" is far from a Bollywood tragic love story filled with singing and dancing, the way director Danny Boyle will rivet audiences with his film that is authentic to Indian culture while using a distinctly Western style of film-making might be enough proof that there is a profit to be made here.""Slumdog Millionaire"" is a drama exposing the tragic effects of poverty in gigantic Indian cities like Mumbai that is also fused with a modern day Indian fairytale. Jamal Malik is a young man on India's ""Who Wants to Be A Millionaire"" and is a question away from one million dollars when he's arrested on suspicion of cheating. Because Jamal is from the slums of India and has no educational background, it seems entirely improbable if not impossible that Jamal could make it this far, but each question is connected with distinct and sometimes painful memories for Jamal. It's as if he is destined to win, even though he only went on the show to impress a girl he has loved his whole life, Latika.Danny Boyle (""28 Days Later,"" ""Sunshine"") takes us from memory to memory as Jamal advances question by question toward the million dollars. These memories offer vivid insight into poverty in India as well as the lives of Jamal, Latika and Jamal's older brother Salim. As children they are left parentless and taught how to swindle tourists, leading to lives of little fulfillment or even corruption. Despite being separated, Jamal and Latika are reunited several times and in fact Jamal's only motivation in life is his love for her.While the young, unknown, Indian actors are absolutely amazing in this film, the biggest kudos go to director Boyle, who creates an astonishing film. For Boyle to go from science fiction and zombie thrillers to taking on a project as daring and unusual as ""Slumdog Millionaire"" proves that he's not only a brave director, but a versatile one. His great success with making this film intense, eye-opening and full of heart all at the same time prove that he's also an incredible one. ""Slumdog"" is just the beginning for Boyle who might be one of the most progressive and talented directors working today.It's hard to be completely blown away by a film whose core message is about destiny and leans on the fact that Jamal is simply fated to do this well in explaining what has unfolded, but like any good film ought to, Boyle makes you a fan of the characters and not care as much about the logistics as you might normally do. The fact that this film starts out so dramatic and real makes it hard to embrace the fairytale it blossoms into, but it's the great visual storytelling along the way that makes it so enjoyable.~Steven CVisit my site at http://moviemusereviews.com/",9.0,Anonymous,"Drama, Romance"
City of God Has One Vital Thing Slumdog Millionaire Does Not,"Slumdog Millionaire is one of the most critically acclaimed movies of 2008 but the hype surrounding it is a bit undeserved. Don't get me wrong, this is at the very least a good movie and is quite a terrific movie 2/3 the way through. What the movie does though in the last 1/3 is make the fatal mistake of turning into a Hollywood or maybe in this case a Bollywood movie. It takes away from that genuine and satisfying feeling.The acting all around was very good particularly from Dev Patel and the small kids. There performance are probably the only thing that is overlooked in this film. Without much of these very good performances the movie would not have been at the level it was at.The directing of Danny Boyle was his best yet. The look of the film was amazing and many screen shots of India were breathtaking. The musical score was very fitting to the style of the movie. It was one of the best scores of 2008. Where this film fell apart was at the writing. Towards the end its withdrew into a standard romance. It was no longer the great and amazing adventure we had witnessed for most of the movie. The complex relations seemed to be over simplified and it does the safe thing to do in the approach of tone but if taken into a drastically different direction could have lead it to be a real classic. Yet instead of ever peaking or sky rocketing to greatness it had plateaued and didn't deliver the way I had hoped it would, this largely in part by the failure of the screenplay.Many people have compared this film to City of God because the film are actually similar in many ways. Yet City of God has something Slumdog Millionaire does not have which is depth and character motivations. These things are vital to these kind of movies being successful. City of God seemed to have a more plausible story because the story was more linear. Events took place as a result of other events. This did not happen in Slumdog Millionaire, the story was more chopped up and too many of the events just seemed to pop up out of no where. Slumdog Millionaire did take a very ambitious approach in the way it was made which is commendable. Is this a 1st rate movie though? The answer to that is no.",7.0,Anonymous,"Drama, Romance"
"Wow, I really wasn't expecting what I saw.....","This movie was one of the best movies that I have seen so far at the Toronto International Film Festival. This film is beautifully filmed as Danny Boyle can do. He is a film master. The acting is magnificent as well. Imagine using 3 children under the age of 7 to tell the early part of the story plot. The film uses past tense, and present tense to tell the whole story, which is also seamless. Filming took place in India as well. Their was a question and answer after the showing of this film at TIFF-Toronto International Film Festival. Please go and see this film. This film is has and exceptional cast, and should be seen in the theaters. It was magnificent.",10.0,Anonymous,"Drama, Romance"
A Film That Works Better As An Inspiration Rather Than A Film,"SLUMDOG MILLIONAIRE is a movie that's a victim of its marketing . The screenplay is adapted by Simon Beaufoy from a novel by Indian writer Vikas Swarup . These two things should be remembered before watching the film . Beaufoy was the writer of THE FULL MONTY a film that was marketed as a comedy of sorts when in fact it was a rather downbeat gloomy narrative saved only by the upbeat ending . SLUMDOG is the same type of movie except it's even more gloomy , not to mention violent at some points . "" The feel good movie of the year "" ? yes but you'll have to wade through a lot of misery to get thereThe entire subtext revolves around the Hindu philosophy of Karma ie things happen for a reason , even the worst things happen for a reason and it's important to remember this . This is the only thing you should think of before watching the movie . The plot turns are not coincidences because Karma has chosen Jamal Malik for great things but first he must undergo heart breaking soul destroying things that he can never forget . In short this film is easier to respect than to enjoy or even like but the fundamental core of the story is food for the soul . You suffer heart breaking divorce ? Take comfort that in a future part of your life that you're free to live your life the way you want . You have no life , no friends , no future and every day is composed of watching dire movies ? Slag off the films on a website and someone will you give you Roger Ebert's job . Make a film set in Indian slums with subtitles and expect it to go straight to DVD because there's no way no one will watch it or nominate it for awards. Or will they ?Anything is possible screams SLUMDOG MILLIONAIRE and anything is . It's not a film that's likable and while Danny Boyle is an exceptional film maker I doubt if this is his masterwork , certainly 28 DAYS LATER and TRAINSPOTTING were better films . But as far as SLUMDOG MILLIONAIRE goes it's a reminder that the future is unwritten and perhaps maybe destiny has great plans for all of us",7.0,Anonymous,"Drama, Romance"
for all those giving less than stellar reviews...,"Just because part of this movie is un-realistic does not mean that the entire movie needs to be realistic. This movie was absolutely fantastic, spellbinding and I loved it from start to finish. A perfect combination of fiction and non-fiction, that's how I saw it. It wasn't depressingly realistic or completely phony, in my humble opinion it had the perfect balance. It was a 'fairy tale' as many have said with some very grisly realities injected into the 'childhood' portion of the movie. This movie does not claim to be a 'true story' and deliver bogus depictions of factual events, so get over it. This movie was made for the joy of viewers world-wide and I believe that it has accomplished that goal.. A perfect fusion of bolly-Hollywood which should win the Oscar for best movie this year, I feel that aside from Hollywood politics and politically correct biopics made by actors for a sure-fire shot at an Oscar (Milk) that this was the most enjoyable movie of 2008.",10.0,Anonymous,"Drama, Romance"
