title,content,rating,username,genres
Hugely disappointing,"As a lifelong Spidey fan I was expecting good things of Homecoming. Sadly - and I appreciate that I seem to be in the minority - it did not deliver for me.Let's start with the positives: Michael Keaton's Vulture was everything a villain should be with an added layer of charm and depth. The high school setting and our youngest Peter so far was definitely a step in the right direction (Tom Holland is a very capable actor although though his voice did grate after a while). Even the menacing Mac Gargan, a potential 'Scorpion', was a great addition.Now the negatives. I think the casting for Flash Thompson, Liz Allen and Ned Leeds was absolutely ridiculous. Flash is supposed to be a jock who bullies Peter - not a smaller Asian guy who is also a member of the same quiz team! And that throwaway 'M J' comment at the end - unforgivable!!!The costume AI also didn't work for me. I appreciate that this is a tool to integrate Spidey into the MCU - but for me he works better when he is on his own, a guy in a cloth suit overcoming the odds with a mixture of bravery and science.I can appreciate that Homecoming had some issues to get over, especially as the other movie incarnations covered his unique origin in such depth. Was it brave to avoid the origin altogether - or did it detract from really getting us onside? Maybe a 20 minute opening section with Peter narrating, recapping his origin might have helped...I've no doubt that younger viewers would have enjoyed this movie (and maybe that was the aim), but fans of the 60's, 70's or 80's Spidey might have wondered what had happened to their favourite wallcrawler.For me, the first 45 minutes of Raimi's 'Spider-Man' nailed it and SM2 was equally as good. My GF, who has no knowledge of the Spider- Man lore, left the cinema with me and remarked 'that was the worst one'.Though I don't necessarily agree with that comment, I certainly wasn't ready to hail SM:Homecoming as an all conquering triumph, instead a rather weak chapter in the MCU series.Sorry Spidey, I so wanted to love this movie! Maybe better next time...",6.0,Anonymous,"Action, Sci-Fi"
Raimi's Spidey is still the best (not including Part 3).,"I had a reasonably fun time with Spiderman Homecoming, but I have a few big issues that prevent me from loving it...Firstly, Peter Parker's vulnerability/invulnerability. There's a scene where Spiderman bangs his head on the roof of a truck, knocking himself unconscious, yet later on in the film, a couple of tons of concrete and steel land on the lad's head with no lasting damage. Not long after, Peter falls to the ground from a crashing jet (presumably travelling at a couple of hundred miles an hour) and gets up without a problem. Concussion one minute, indestructible the next!Spiderman's strength is inconsistent too: Peter is holding together two halves of the Staten Island ferry in one scene, but later he is struggling to free himself from some rubble.I also have a problem with The Avengers' very lax approach to shifting their equipment to new premises: Happy (Jon Favreau) loads all of the Avenger's weapons/armour onto an unmanned aircraft - not one person to guard it. Of course, this suited the plot, but it was extremely daft. Surely a couple of superheroes could have taken time out from saving the world to escort the precious cargo.Last moan: did Spidey really need a high-tech suit equipped with AI and special assault modes? I thought Spiderman relied on Spidey sense.On a more positive note, I enjoyed Peter's trials and tribulations at high-school, and thought that the twist revelation about the true identity of Vulture was well handled (I didn't see it coming). The special effects are, as always, very impressive, and Director Jon Watts handles the action well enough, but Sam Raimi needn't worry: his first two Spiderman movies remain the best.",6.0,Anonymous,"Action, Sci-Fi"
A 'spectacular' Spider-Man movie that proves that Spider-Man's still got it.,"Jon Watts (Director of Clown and Cop Car) perfects the character and charm of Spider-Man that we all love from the comics without doing disservice to either fans of both the Raimi and Amazing Spider-Man franchises with a fun superhero movie oozing with joy with its great cast and characters, big and small, as well as an 'amazing' performance from Tom Holland who brilliantly combines what Maguire and Garfield brought to the character by truly demonstrating the differences and similarities between the awkward nerd Peter Parker and the quippy crime fighting Spider-Man. The film also gives many critics of Marvel's lack of great villains what they want most, a relatable villain that is as, if not more, interesting than the hero itself and not only is great adversary physically but also psychologically and we see this with Michael Keaton's excellent portrayal of the Vulture. What Spider-Man: Homecoming does best, however, is its attention to detail and world building put into the town of Queens, which feels more real and believable than any other fictional world we have seen in the MCU, making Spider-Man: Homecoming one of the best chapters of the Marvel Cinematic Universe and another great example for future superhero movies to learn from.",8.0,Anonymous,"Action, Sci-Fi"
Amazing,Tom Holland really captures the heart of the character. Well paced. Michael Keaton is the 3rd best villain in the MCU behind Thanos and Loki. Great. Best Spiderman movie,10.0,Anonymous,"Action, Sci-Fi"
Not bad but not great,"If you are a true fan of spider-man, this movie isn't for you but if you can keep an open mind you might actually enjoy it.
It's predictable, like most super heroes movies, it's not a great movie but it's a good one!
Even though Tom Holland performs a teenager that talks to much I kind of enjoy his performance.
I would say it's a movie to watch when you want something light with a little bit of action.",7.0,Anonymous,"Action, Sci-Fi"
Top tier MCU movie,"SpiderMan Homecoming is one of the most fun, exciting, and easily rewatchable films in the entire MCU. Tom Holland has a great performance as a young, inexperienced adaptation of Peter Parker. And that's a great new direction for the character. I've always thought that SpiderMan shouldn't be great at being SpiderMan at first. Tobey Maguires adaptation gets bitten by a spider and within a day or two masters all of his powers. But this movie hinges on the fact that Peter is still learning how to be a hero. That's perfect.",10.0,Anonymous,"Action, Sci-Fi"
SPIDER-MAN HOMECOMIG (2017),"An American feature film of 2017 directed by John Watts with Tom Holland and Michael Keaton in the lead roles. The script is based on comics by Stan Lee and Steve Ditko of Marvel Comics. World premiere of the picture took place on June 28, 2017 in Hollywood.
The action takes place a few months after the events described in the film ""The First Avenger: Confrontation."" According to the story, Peter Parker is trying to find a balance between school life and to be a Spider-Man, while facing the Vulture.
The best thing about the film is the script (written by John Watts), which is fast and funny. The music's cool. The performances are great.
Would I recommended the film? Yes, I would. It's one of the most interesting comedies I've seen in recent years!
Review by Ira, 14, Voronezh",10.0,Anonymous,"Action, Sci-Fi"
Good points. Not so good points....,"Let me start with the not so good points:1.) Marissa Tomei is much too hot to play Aunt May.2.) Ned, his character is about as useful as mammary glands on a male hog.3.) Michael Keaton was a poor choice as the Vulture. John Turturro would have made a better choice.4.) Zendaya great character but not my choice for Mary Jane Watson.5.) Flash Thompson or is it Harry Osborne? The original Flash Thompson was a waspish muscle head not some spoiled ethnic rich punk.Good plot and nice inter-action between Peter Parker and Tony Stark. Good FX.",7.0,Anonymous,"Action, Sci-Fi"
Good Acting hero,It was so good with new suit introducing liz instead of Mary Jane and instead of Harry bringing Ned Leeds.,10.0,Anonymous,"Action, Sci-Fi"
I feel like it's missing something,"First of all I had to say I really have high expectations to this film, but the trailers did really ruin it for me, the trailers did almost show the whole movie itself. But for me it didn't feel like a Spider-man/Iron-man movie.Lets start first with the character, Tom Holland portray Spider-man and Peter Parker really well he's probably the best Spider-man yet, Michael Keaton did a good job on portraying the Vulture, and the other characters were also good, they did a good job on casting.The Film is kinda boring, the pacing slow but its not that bad, the film is more of a lighthearted movie than the others its more of a movie for teens but has fun moments for the adults specially for comic books fans, its has a teenage-ish feel but its okaythe action was not that bad but its not as exciting as the action in Sam Raimi's Spiderman 1 & 2, i thought it there will be more action scenes, but what you see in the trailers is what you getIt also didn't feel like a Marvel movie, it's so different from the others, it feel like more of a Disney TV movie with a taste of marvel in it (THIS IS JUST MY OPINION) but hey it's Fun and visually appealing movie, this movie is basically introducing Peter Parker on how he became the spider-MAN and introducing him in the avengersoverall this was above average movie, its GREAT!!!",7.0,Anonymous,"Action, Sci-Fi"
Painfully Generic,"Marvel Studios is the cinematic equivalent of McDonald's. Crushing any creativity and selling their version of Happy Meals at record quantity but no quality.Despite my gripes with the Raimi trilogy, it showed at least some, if misguided, sense of authorship. This however is bland and forgettable. Everything from acting to directing is average at best. Even Michael Keaton, who is usually great and can play a good villain: see Desperate Measures and Pacific Heights, is just phoning it in.Completely forgettable.",2.0,Anonymous,"Action, Sci-Fi"
Another Spidey?,"Another try to show us the same angsty story about power and great responsibility? Wrong! Peter stuck in the middle of the teenage drama? Not quite! Spider-man as an Avenger? Well.... let me stop you there. My first impression when the trailer came out was, well I had a lot of doubts. For instance why there is no Uncle Ben, why Peter's best friend knows his best-guarded secret (that has been reviled in the comics only to help Iron Man's team during Civil War). Aunt May who is even less aware of everything? Iron Man in the background? No 'Friendly Neighbourhood Spider-man'? But then I went to see the movie and to say, I was pleasantly surprised. We got the whole need look at Peter Parker's life. First of all, we've never got to see Peter so young, though Andrew Garfield and Toby Maguire tried. He looks young and he is young. His life isn't exactly defined by his uncle's death. Sure it is implied but at the same time, it doesn't imply that this is why Peter became Spiderman. What we also got to see is Peter who learns how to be a hero. This kid really got one of the most solid moral core among the heroes. And now we can see how he learns how to do his job. It's no longer than 5 minutes of speeded process of embracing the powers, where in one moment he breaks the tap, can't control his 'sticky' powers and performs superhuman reflex and the next scene he has his suit made and his powers under control. No. And that's why it's good. It's funny, comical even, but true. Peter is true, he eats larb, builds lego Deathstar, studies for Spanish quiz, and saves the day. The other thing that surprised me was how well Tom and his real friend Jacob played the dynamic duo of Peter and his 'guy in the chair' Ned. It gives us a bit of fresh view, innocent even when it all is a game, an awesome adventure. And it also gives us A LOT of good humour. Then next we've got Aunt May, who is building a new life with Peter, starting over. She also has some kind of different innocence than we've seen before. She supports Peter and is just a bit more than an episodical character needed for the plot. Another character that has been rebooted is Flash Thompson, Peter's bully. Of course, he still is a bully, but the writers decided to expose the other side of him. For me, it gives a glimpse at the future where after all Peter and Flash became friends and Spider-man's ex- bully becomes a hero, Venom. Additionally, we had a chance to witness Happy's great return, yay!? And finally RJ, we are here. He did good, what did you expect. But he didn't steal the show, oh no. it was A Spider-man movie from the very end. Another pro of the movie is that there is no romance-centric plot. It's not always about getting a girl people! Moving on, that scene! You know which one! You didn't see that coming? Because I didn't. Simple yet great plot twist. But enough about the plot. Then again, the marvellous Marvel logo that constantly gets better and SPIDER-MAN THEME! That's right! The music was good, even though I was hoping to get another catch and a great soundtrack like we had in GoTG and GoTG vol2. Another thing that got me surprised was the camera. We've been served with a whole lot of scenes from new, and different angles. We got lots of different perspectives. General, big, from point of view and the best of all Peter's vlog from Germany. Last but not least brilliance of the credits. It really makes you want to sit there and wait for the credits to end, not like we wouldn't do this anyway. ;) I heard someone saying that they were disappointed with Peter. He was making a fool of himself. He was constantly saying: ""I'm sorry but I gotta go"" and couldn't get the job done right from the take one. But isn't it just how his life goes? because from what I know it is. Peter is one of the most relatable and at the same time tragic (ok, maybe not that tragic) comic characters. Because of he always, always does what is right. No matter what. he sacrifices his personal life, his love his happiness to make the world a better place. This is the reboot. This is the beginning. This is young Peter learning to be a hero. Him learning about power and responsibility. Learning to stay closer to the ground. And even though teenage Peter being pulled into high schools drama does sound cliché it paradoxically isn't. It's good. It's funny and it's just simply Peter Parker's life.PS. Don't miss the extra Cap's message, straight from Middletown High.",10.0,Anonymous,"Action, Sci-Fi"
Good But One Thing Missing...,"Needs more naked brothers band. For instance, while Peter is at school the naked brothers band's hit song I Don't Wanna Go To School could be playing in the background. Or Peter could be making a banana smoothie to go with his dinner one night and their other hit song Banana Smoothie could be playing. While these are only two examples I feel Jon Watts overlooked the naked brothers band while making this movie and that wrong needs to be made right. Other than that 10/10 would recommend.",,Anonymous,"Action, Sci-Fi"
What I've Always Wanted!,"This movie is what I've always wanted from a Spider-Man movie.
Focus on him being an awkward teenager at high school, and have him being treated as such by his peers.The directing, editing, and cinematography is great. It certainly feels like a coming-of-age high school comedy, with some added superhero fun, and as expected, Tom Holland continues to deliver the best performance in this role to date. He is so charming, and I can't think of anyone better right now.
Michael Keaton also delivered an amazing performance as this movies villain, especially in the last act.SpiderMan movies have had their fair share of problems over the years, but I feel like I finally it. The Spider-Man movie I've wanted for years.In short, it has action, drama, and laughs. This one is worth re-watching.",6.0,Anonymous,"Action, Sci-Fi"
Very entertaining Spider-Man movie and good addition to the MCU,"I enjoy most of the Marvel MCU and was interested what they would do with Spider-Man after he showed up briefly in Civil War. The previous Spider-man movies were 'okay' for me (or even awful), so it could only get better!The movie starts with showing the aftermath of the 'Battle for New York' that was the epic final of the first Avenger movie. We meet salvage worker Adrian Toomes (Michael Keaton) who leads a team to take apart the alien invaders machinery. After some experiments, Adrian and hit teams learns how to create powerful weapons from the alien wreckage to sell to criminals. But shortly after this discovery, his team is shutdown and the salvage is taken over by a company hired by Tony Stark. We then fast forward 8 years in time were we see the videos Peter Parker made on his trip to Berlin to help Iron Man fight off Captain America. We learn that after Berlin, Peter was allowed to keep the suit which he puts on every day after school to fight (light) crime in New York. He desperately wants to fight with the other Avengers and spams the phone of Happy (Tony Stark's assistant) everyday, but he hears nothing in response. When Peter gets in contact with criminals that bought the alien weapons from 'the Vulture' Adrian Toomes, things start to get more interesting for Peter. But will he be able to stop the Vulture without messing up his high school life to much? And is he truly ready to become part of the Avengers?I really enjoyed this interpretation of Spider-Man, it was light with a lot of humor and good action sequences. I liked that the whole 'origin story' was skipped because we have seen that two times already, it just focuses on how Peter deals with combining high-school and his aspirations to become a super hero. In my opinion Tom Holland is a much better choice for Spider-Man then Toby McQuire or Andrew Garfield. Toby looked like a whiny little kid to me and Andrew is a way to serious actor to play in a comic-book movie. Tom fits this role as a glove, both his portrayal of Spider-Man and Peter Parker are excellent. Michael Keaton is also excellent in his role as the Vulture villain. Unlike other villains in Marvel movies, he's not pure evil for evil's sake but is just a guy that wants to make loads of money. Robert Downey Jr. is always a pleasure to see on screen and this movie is no exception.Another good thing this movie does is how it ties in with the MCU. They did a good job in this movie by not involving the whole superhero but keeping the focus on Spider-Man. Also cool to see how high school people live in a world where the Avengers actually do exist. (the Captain America instructional videos are hilarious) There is however a little bit to much high school stuff in it for my taste. Showing Peter asking a girl out for the big dance and showing him in school doing high school things could have left out or toned down a bit. The actors playing the 'high school cast' are mediocre and do not really feel like real people to me.But the main focus of the movie is still action oriented with amazing effects. Like all Marvel movies it gets a bit CGI heavy and Spider-Man looks a bit to much like a computer game character but overall it's very well done. The movie never bogs down and there are a few surprises to that I didn't see coming.Spider-Man: Homecoming is another nice addition to the MCU with lots of humor and some good action scenes. It's not the greatest coming book movie but definitely worth checking out.",7.0,Anonymous,"Action, Sci-Fi"
Love Tom hollands acting....,Tom hollands acting is amazing i loved it. This movie is amazing. I never got bored.,10.0,Anonymous,"Action, Sci-Fi"
A lot more than I think,I hope it is a good film but I didnt think this this much good.Actually to my opinion this is greater than far from home.I like his costume and he is really like a teenager.I like Tom Holland acting in this film.I really recommending this and this is in my favourite movie list,10.0,Anonymous,"Action, Sci-Fi"
Fresh new Spider-man,"This film does many things very, very well. It is a purposeful small film, and it's all the better for it.",7.0,Anonymous,"Action, Sci-Fi"
Why am in the minority saying this movie was not at all as good as people think it was?,"First time I watched this I fell asleep about 50+ minutes in because I just didn't find it as good as Tobey Maguire's Spider-man, or hell, even The Amazing Spider-man and I found Tom Holland's character in general, annoying and too childlike in comparison to the other Spider-men. It just didn't appeal to me... at all, whatsoever. The only reason I forced myself to watch it now is because i'm on a MCU marathon so I finished it. It just was not good for me personally. Although I can appreciate the CGI and soundtrack and other stuff which spikes it up to 3 stars I guess, but meh. Also that villain was one of the most boring characters to ever hit the screen in an MCU movie (can't even remember his name, that should tell you everything right there)",4.0,Anonymous,"Action, Sci-Fi"
Overrated Garbage! Worst Spiderman Movie EVER!,"Spideman: Homecoming was TERRIBLE and by far the worst spider-man film. This movie was a HUGE set back for Spiderman but sadly we live in a very tight lip controlled marvel press that have told us this is ""great movie"" because it came from another soulless product cake factory from marvel. This is the same Spiderman/Peter Parker from Civil War??? They severely dumbed him down for his solo movie and turned him into whiny clumsy idiot who screwed up constantly. Despite that Tom Holland is the best on screen Peter Parker and Spiderman to date. He deserved a MUCH better movie.I like Michael Keaton but his performance felt phoned in only to find that Keaton turned down this role twice before excepting it. Not his fault, am I'm the only one who thought the Vulture was lame? He was so hollow and them tying it up with the whole Damage Control thing felt forced and rushed.The high school stuff in this movie is awful. This movie was trying to so hard to be a John Hughes movie and it failed miserably. Homecoming was nothing like those movies. The teens in those movies were real, they smoked, drinked, swore, and acted like real teens. The supporting teen cast in Homecoming are nothing but terrible caricatures. Liz is a stock love interest with all the personality of a dry brick. She's useless and Laura Harrier and Tom Holland have zero chemistry. I never bought that these two liked each other. All they're very few scenes together are awkward. Flash was turned from a big jock bully bully into a annoying little doucebag who's about as threatening as a newborn kitten. Ned is stock fat friend comic relief who's not funny at all. Michelle was some wannabe hipster Daria type girl who hate everything. She served no purpose and the twist with character at the end was so forced and stupid. Aunt May's transformation into an object of male gaze/desire (and nothing more). No mention of Uncle Ben which is ridiculous. I didn't need to see him die again, but replacing Tony Stark as Uncle Ben's place as a father figure is absolutely ludicrous!Dull washed out cinematography. This looked like a TV movie. Michael Giacchino's uninspired score. Bad CGI on Spiderman, it looked WAY too cartoon. The action scenes were forgettable and had zero stakes. The Rubble scene had potential but it was poorly done, rushed, and ruined by water reflection with Tony's voice over. It's sucks because Holland acted his but off in that scene. All the Avengers/MCU references were forced and shoehorned it was eye rolling. The worst was the F, Marry, Kill game with Thor, Hulk, and Iron Man during the gym class. Really??? Speaking of gym class, those Captain America PSA segments were unfunny pointless filler. Jon Watts was a poor pick to direct this movie. His direction is bland and uncreative. He also doesn't know how to direct action scenes. At least the Raimi movie had their own distinctive zany kooky style. Homecoming looks like every other MCU movie. This movie also had 6, yes SIX writers and it's shows.The The forced diversity is so in your face. His best friends is Filipino, love interest is biracial, his bully is Guatemalan, weird girl is black, the Chinese and African kid on the decathlon team. No story-line progression. The movie is Peter wants to impress Mr. Stark to become an Avenger. That's.... it. The terrible childish comedy. ""Hur duh penis parker"", ""I was watching porn"", ""your aunt is so hot"". This is the comedy were supposed to laugh at? What was with the cringe built by slaves comment in the Washington scene? That has no place in a spider-man movie.Bottom line! Spiderman: Homecoming is another over-hyped Summer blockbuster that will be forgotten about after a month which is exactly what happened. These MCU movies have no staying power. I already forgot Guardians 2 came out 3 months ago. By the way that movie also sucked too!",,Anonymous,"Action, Sci-Fi"
Teenage Spidey.,"A young Peter Parker battles the everyday problems of a teenage student, whilst his alter ego, Spiderman battles a major threat.I am surprised to see so many one and ten star reviews for this film, I honestly don't quite see how it could create such passion for or against, for me it was a pretty decent money, but in the grand scheme of Spider man movies, many are superior, some are decidedly inferior.I wonder if this one will be influenced by age, I think a younger audience will have more love for it, I think some mature viewers may find it a little childish at times, some of the dialogue will have you cringing.Initially I was expecting someone to give Spiderman a little spidey dummy/pacifier, initially I found it frustrating, but I'm glad I stick with it, as it does improve. The ending is the best bit, I think you really do see Spiderman mature.Tom Holland was very good I thought, a fine, energetic performance, the script was challenging at times.Some nice action sequences, and a pretty good story, I did appreciate the acting of Michael Keaton, and the impact of Robert Downey Junior, I wish we'd seen more of him.6/10.",6.0,Anonymous,"Action, Sci-Fi"
Let's stomp The Amazing Spider-Man 1 & 2 this is the best Spider-Man reboot ever.,"This is a good reboot like I'm not saying this film is better than Sam Raimi Spider-Man films like I still like them movies. I think Tom Holland did a good job as Peter Parker / Spider Man just like Tobey Maguire. At least we didn't need another origin story like we have one like 15 years ago so we already know what happen. At least they have the Vulter just like what Sam Raimi want since Spider-Man 3 (2007) and the Shocker is on the big screen like it sucks he didn't get a lot of screen time but his acting is good. I think the one YouTube Poop video like what Flash Thopson said to Parker when he said to him (I don't know of the word is O.K to say so I'm censoring it) P***s Parker because it's funny to the writers. At least the villains in this film didn't suck like The Amazing Spider- Man (I'm not going to be talking about how this film is better than TASM films). Good film, recommend to watch and that's all I'm going to say. 7.8/10",7.0,Anonymous,"Action, Sci-Fi"
Got me into marvel,"I've never really been a marvel fan but after watching homecoming I dived straight in and now I'm one of the biggest marvel fans! Good plot line, acting was on que what more to ask for?",10.0,Anonymous,"Action, Sci-Fi"
Spiderman's Solo Debut in the MCU,"Spiderman Homecoming is the long-awaited Spiderman movie from Marvel Studios. This is the sixth Spiderman film and the third Spiderman continuity in the last fifteen years. That's crazy! After the disappointment that was the Amazing Spiderman 2, Sony was finally desperate enough to share the rights to Spiderman with Marvel Studios. Many have been waiting for Spiderman's big solo debut in the MCU. Was it worth the wait? In my opinion it was.Is Homecoming the best Spiderman film to date? In my honest opinion, no. I think Sam Raimi's Spiderman 2 is still the best Spiderman film we've gotten so far. I might even enjoy the first Spiderman movie by Raimi more, even though Homecoming is objectively a better film. Homecoming is still a good movie though. It's definitely better than Spiderman 3 and TASM films.With that being said, I think Tom Holland is the best portrayal of Spiderman we've seen yet. I like Tobey McGuire alright, didn't care for Andrew Garfield, but really like Holland. He embodies Peter's shy insecure side and his confident witty side as Spiderman perfectly.The plot is very simple. A villain who calls himself the vulture is stealing and building alien tech, left behind from the Avengers, to sell on the black market. Spiderman must stop him while dealing with the trials of high school life and try to prove himself to his mentor Tony Stark.It hits all the beats of a typical MCU film. It's lighthearted and fun, but gets serious when it needs to. It's your typical stop the bad guy shtick. If you've gotten sick of the Marvel formula you might be bored by this film, but if it's a formula that works there's no need to fix it. Plus, Spiderman, more than any other marvel character, fits with this formula. This is very much how the classic Spiderman stories were told.What works about this movie, besides Tom Holland's performance, was the villain played by Michael Keaton. As MCU villains go he's really good. He's not my favorite. I still think Loki and Zemo are the best MCU villains so far, but Vulture is still fun. This is to be expected, as Spiderman has one of the best rogues gallery in all of comics, along with Batman. I also like this film's version of Mary Jane. It's a very unique take on the character, and she was fun.The effects naturally were great. You can always expect above average effects in an MCU property. The action was also fun. I still think the action Spiderman 2 and the first Spiderman was the best, but the action here was definitely on par, if not better than the fight scenes in TASM movies.Now we get to my personal gripes with the movie. First of all, with the exception of MJ, I felt the supporting cast was weak. I did not care for Peter's best friend, who was the obvious comic relief. Occasionally he got a laugh, but mostly I found him irritating. The love interest is generic and forgettable. The other supporting characters aren't even worth mentioning.The film was a bit too long as well, and felt very padded in places. Not to mention the story is entirely predictable. You know pretty much how everything will play out. The music was there, but it was not that memorable at all. I had the same issue with the score in TASM movies. The music in the Raimi films was amazing and you could easily listen to it by itself.Overall, if you were excited for Spiderman's solo outing in the MCU this film should give you what you were expecting. Tom Holland is the best Spiderman yet, the villain is fun, and the action and effects are above average. The supporting cast is weak, and the film can drag, but the film is still a really solid Spiderman and MCU film.",6.0,Anonymous,"Action, Sci-Fi"
