title,content,rating,username,genres
A great Trek (begrudgingly),"I have to confess to being one of those people who never thought they should 'reboot' the original Star Trek franchise. William Shatner and co were so engrained in their respective roles that I didn't think anyone could fill their exact shoes (even if they were supposed to be their younger selves).I was wrong.Star Trek (XI) is undoubtedly the best of the franchise since The Wrath of Khan. If follows the early years of the most famous crew in sci-fi history. Yes, every actor nails his or her character (possibly with the minor exception of Simon Pegg as Scotty, but that's a minor gripe). Also, this isn't just 'Star Trek The Early Years' - the story cleverly weaves in the old mythology - I won't say too much on that in case you're not aware of how it all plays out.I will say that (if you can forgive JJ Abrams slightly overused 'lens flare effects') it is the most exciting of all the Trek movies. There's plenty of action and decent special effects. It doesn't quite rival Star Wars - it seems to be able to maintain its 'alternativeness' to the other great sci-fi franchise. It doesn't just breathe new life into the franchise (Star Trek X was a little disappointing), it makes 'Trek' accessible to the masses. If you don't know your Tribbles from your Borg, it really doesn't matter - this starts everything again and you don't need to know the backstory - you only need to be in for a good, popcorn-munching, sci-fi ride.May this franchise live long and prosper.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Review from comicbookculture.net,"Star Trek. When someone speaks this name, various images, ideas, characters and phrases come to mind. I know they certainly do with me. Characters such as Kirk, Spock, Picard, Data, Janeway, Seven of Nine; ideas like the prime directive; phrases like ""Live long and Prosper"", ""Good God Jim, I'm a doctor not a."". I wouldn't consider myself a ""Trekkie"", but I do have a deep affection for this series and world.To my great delight, I was fortunate enough to see an advanced screening last night of JJ Abrams re-imaging of ""Star Trek"". I must admit that I was skeptical at first about taking such iconic characters and recasting them, even in younger iterations, because most people think of the characters of Kirk, Spock, Bones, Scotty, Uhura, Sulu and Chekov with the actors that originally portrayed them. These portrayals are engrained in the pop culture consciousness of the world and hence my skepticism arose. Fortunately, my doubts were unnecessary.This is not your father's ""Star Trek"". From the moment the movie begins, so does the action and it never lets up. However, this movie has more than just incredible and intense action, it also pays homage to the series of old. Sure, they wanted to bring us a Trek for the 21st century, but they also realized that they needed to respect the source material and fans of a series that has been around more than 40 years. However, you don't need to know much about Star Trek to enjoy this movie. Each character has been given a background and history that lets you know a little something about each one. There's a lot to be told in an origin movie and it is handled deftly by both the writers and the director.But, what really made the movies for me were the actors chosen to play these roles, especially Chris Pine as Kirk, Zachary Quinto as Spock and Karl Urban as Dr. McCoy, aka ""Bones"". This movie would not have worked if the casting of these three characters had not been spot on. Both Mr. Quinto and Urban uncannily channel their predecessors, Leonard Nimoy and DeForest Kelley. They took on some of their inflections, mannerisms and expressions to really give you a sense that they are just younger versions of the originals. Chris Pine, however, takes on the most memorable role in Trek history and makes it his own. This Kirk is not only the womanizer, lover, and captain that you already know, but as portrayed by Mr. Pine also has a swagger, bravado, intelligence, and is a complete adrenaline junkie. We could not have asked for a better Kirk in this movie.They have laid a solid foundation for a new series, with new life, perfect cast and a director with a true vision. If the first movie can be this good, my expectations for further adventures have risen exponentially.This is my first review for our website and as such might not be very good since I have no experience at writing reviews. I intentionally didn't reveal any plot points so as to not spoil anything for whoever may read this. I may in the future reveal areas that may have spoilers but mark these sections so you can skip over them. I'll be seeing Wolverine tomorrow and hope to have a review up by tomorrow night. Until we meet again, ""Live long and Prosper!""",8.0,Anonymous,"Action, Adventure, Sci-Fi"
What a production - cheesy bits forgiven!,"There was no way that this reboot was going to avoid all references to either the original series of Star Trek or the other spin-off series - anyone going in to see this film had to accept that as a given. But any cheesy bits (of which there were relatively few) are blown away by the sheer beauty and bravado of this film.I was a fairly big Trekkie in my youth, but in the last 10 years only really kept up with it by watching a few new episodes here and there and seeing the big screen outings (OK, I admit that I have all 10 films on special edition DVD - £47 was a bargain!) - but Abrams' vision here has me thinking the new franchise will be even better than what has come before.What made this film special for me was not the story (remarkably good, bearing in mind that, like the first film in any new franchise, it's backbone was character development). What made this film for me was the....photography? Can you even call CGI photography? Well, either way, this film was a visual feast. The way that scale was conveyed was breath-taking. I'm not sure whether I read this somewhere or if I can take credit for it myself, but the difference came in the way that Abrams shoved aside the traditional Star Trek view of Enterprise as a lumbering naval ship and took a more Star Wars-esquire dogfight approach. This has set a high standard for a new era of Star Trek that I hope will spawn at least a couple more films.It's not that I wasn't impressed with the character development, the acting, the script or the story - it's just that this film looked so gorgeous that I haven't been able to think of anything else since I saw it last night! But sufficed to say, this was overall an excellent feature. It might not quite deserve a 100% rating, but it's worth more than 90% in my eyes - so, by rounding up, it gets 10/10 from me! Final warning: see this film in the cinema. Do not wait for it to come out on DVD. It. Will. Not. Do. It. Justice.JJ, you've won a fan!",10.0,Anonymous,"Action, Adventure, Sci-Fi"
"10 out of 10, an incredible reboot...!!!","So I managed to go to the world premiere at the Sydney opera house last night. While I will not ruin the film before its release by delivering a shot by shot review here I will say that JJ Abrams is quite possibly the smartest film maker on the planet. Managing to poke fun at some of the sillier aspects of the original series/movies while still being completely respectful, action scenes that easily rival anything in Transformers, and space battles that are breathtaking. Now let me just say that while I do consider myself a big fan of Trek in all its forms, i don't have a uniform hanging in my wardrobe and I cant speak Klingon, but having said that I will say the movie is F###ING AMAZING...!!! Honestly, incredible film, do yourself a favour and see it as soon as it comes out. thanks, the end.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Star Trek for a new generation,"I am proud to call my self a Trekkie, I attend conventions, dress up and I even have ""Live Long and Prosper"" tattooed on my back. My family however, despite my best efforts, will watch the occasional episode but have never embraced the Star Trek world as I have. My husband took me along to the premier of Star Trek in London last night and thank you JJ you converted him in one film, I have been trying for 25 years! What JJ Abrams has done is create a film that can be enjoyed by all, its irrelevant whether or not you have seen Star Trek before, this film stands alone as brilliant entertainment. There are plenty of references to the original series to keep the fans happy. Of course there are going to be the ""hard core"" fans who will criticize certain aspects. I enjoyed seeing the lead actors imitate the characteristics of the original crew, Karl Urban as Dr Mcoy was particularly good. Good story line, plenty of humour, non-stop fast action, fantastic special effects, great acting from all the main ""crew"", Zacchary Quinto and Chris Pine especially. Can't wait for the next one to see more in-depth character development (of all the characters, not just Kirk and Spock and a moral dilemma which is at the heart of the best Star Trek. Film fans are going to love this film and that means Star Trek Lives Long and Prospers!",8.0,Anonymous,"Action, Adventure, Sci-Fi"
"Thrilling adventure with great characters, maintains the spirit of the original series while appealing to a mass audience. A landmark blockbuster for sure","I'm a fan of ""Star Trek"", but not obsessive, having read only one ""Star Trek"" novel, owning no merchandise and only TOS in its entirety on DVD. I abhor ""Voyager"" but like every other Trek series, including ""Enterprise"" although nearly all of that show's especially good episodes are in the fourth season. My favorite remains TOS for its unforgettable characters, performances and stories, as well as the sense of camaraderie aboard the Enterprise.I hope I've established my feelings on Trek (after all there are Trekkers who think ""The Motion Picture"" is the best Trek film, and a lot of people seem to like ""Nemesis"") and what I truly value in it. As long as it wasn't overwhelmingly dumb I didn't require any sort of truly thoughtful sci-fi in this film, nor did I expect it. What I desired, what I can say with a deep, deep sigh of relief, I got, is a film brimming with confidence, energy, a sense of adventure, a suitably emotional story for the film's main characters, and, thank heavens, superb characterization.Using a plot device bring Nero, our Romulan villain played by Eric Bana, and Nimoy's Old Spock into the film, the writers Bob Orci and Alex Kurtzman maintain canon. While Trekkers will whinge about many things here no more canon contradiction happens here than in the Trek series following TOS. Instead of merely rebooting the series entirely and creating an entirely separate canon, the writers have fairly deftly worked this film into the existing Star Trek universe. It's an alternate (not mirror) universe story done well. A great deal to enjoy for Trekkers with throwbacks to the originals but there's also a lot to satisfy summer movie-goers. It's a very, very fast-paced film, the action scenes are exhilarating (and you can actually keep track of them), and there's a great deal of humorIt sounds almost unbelievable but they've actually managed to pull it off: they've made a ""Star Trek"" film which is a Trek film through and through and yet will still draw a bigger audience than any of the previous films, and moreover satisfy that audience. The film has been compared to ""Iron Man"" in more than one review the similarities are clear. Both films feature excellent dialogue and character interactions, swift, clever characterization, a minimum of laborious exposition, and also have a common flaw: a rushed plot which overall is almost a side plot. The only reboot to truly escape this pitfall thus far is ""Casino Royale"", which successfully told a very tight story and also consistently developed Bond as a character. Bana is menacing enough and his ship is well-designed but overall he's no Khan or Chang and was much better-written in the Countdown prequel comic than in the film itself. There are also a series of massive contrivances to get everything where it needs to be which will have viewers rolling their eyes, but even these are handled well by the script, which is smooth and fast as opposed to clunky and sterile. Plus, they're necessary for this origin story not to be a typical boring origin story and become what it is.The partnership of director Abrams and cinematographer Mindel will annoy some people with their deliberate use of lens flares as well as shaky cam in scenes (not in a Greengrass or worse, Peter Berg style, but merely a slightly unstable camera), but overall I found it to be consistently involving and thrilling to watch, with good visual storytelling throughout. I also quite enjoyed the lens flares. It's not quite on par with Nicholas Meyer's attempts for me but still good, and interesting. The score by Michael Giacchino suffers from familiarity and a lack of individual identity, but works well with the film itself.Chris Pine is absolutely terrific as Kirk, doing so much more than a Shatner impression and creating something of his own character (and it is, after all, an alternate Kirk) while absolutely nailing several of the trademark attitudes and behavior of the Kirk we all know and love. Much more than a pretty face, Pine's in for mega-stardom after this. Quinto's Spock is really quite terrific and much more nuanced than expected, and Spock's emotional story (and backstory) in the film is well-written as is Kirk's (though Spock gets a more emotional and better overall arc for sure). Pegg is fantastic as Scotty, used here mostly as comic relief. Urban's McCoy is the closest to an impersonation but overall just a joy and a pleasure to behold. Cho's alright as Sulu, who doesn't really get much to do (heck, when did he ever?), though Uhura is surprisingly prominent and well-played by Zoe Saldana. Yelchin as Chekhov is the only really problematic casting choice for me, he really overdoes the accent and takes you out of the film a bit. Bruce Greenwood as Pike nails the character and in a crucial role Leonard Nimoy shines yet again as Spock.Abrams' ""Star Trek"" isn't quite tight enough and emotional enough to compete with ""The Wrath of Khan"", isn't as much fun for me as ""The Voyage Home"", but overall is probably the third best Trek film to date, on par with ""The Undiscovered Country"". It's a fairly new direction, yet totally faithful to Trek where it needs to be: in spirit. In a world of dreary blockbusters and 'dark' reboots, this Trek, though grittier in terms of design than anything before, shines, from opening to closing, as an example of optimistic, exciting, thrilling, humorous, and thoroughly enjoyable adventure cinema, as well as a great addition to Trek's long, long history.",,Anonymous,"Action, Adventure, Sci-Fi"
Fun,"As someone with a longstanding fondness for most things Trek (I've seen most of the movies and quite a few of the shows), I have to say that JJ & Co did a fine job with this picture; the character dynamics were broadly satisfying, the action scenes entertaining and the set pieces well put together. Most of all I was impressed with the lightness of touch of the whole venture - it would be very easy to criticise the picture for making what could be considered significant changes to certain parts of Trek lore, but given that the changes were accomplished with such comfort and confidence makes them, in my view, perfectly acceptable.With regards to the acting characterisation, everyone was pretty much solid, with perhaps the exception of Sulu, who I thought didn't have much to do. Kudos, though, to Zoe Saldana's loveliness as Uhura and also, especially, to Chris Pine as Kirk - I had always thought Spock was my favourite character, but it looks like I may have to reassess; Pine lives and breathes that Kirk moxie exquisitely and he'll be great fun to watch in future instalments.With regards to plot, it's pretty good; there is a decent sense of internal logic to it, without it being too overwrought. True, there are a number of points where you might think, ""Blimey, that's serendipitous,"" but as I'd already suspended my disbelief to accept the possibility of time travelling green-blooded alien from the planet Vulcan, these things really didn't bother me at all. Plus there were a number of points in the movie where they were saying, ""We were pulling this kind of shtick 20+ years ago, and you loved it then; run with us on this one,"" and I was happy to.Oh, and most importantly of all, the movie is fun; it has the good sense to not take itself too seriously, despite remaining well aware of that sense of pomp and importance that all great character dramas should have, and that isn't a bad thing at all.How this movie will bear up to repeat viewings, I'm not certain yet, but at the premiere, it was a blast.Addendum: It's a month plus since I originally wrote this and I have seen the film three times in total now - the opening ten minutes remain a manipulative marvel that the remainder of the film struggles to match, the coincidences and conveniences seem even more far fetched than ever and the jokes seem even more silly BUT I still fancy seeing it again, so I guess it must work for me.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
A Sci-Fi Classic By All Means,"I should start this by saying that I always leaned more toward Star Wars than Star Trek. I've memorized much of the Star Wars epic sci-fi fantasy and numerous characters, but the universe of Star Trek is one I have not really explored. The beauty of this film is that you can be a hard core Trek-fan or a simple lover of sci-fi or action and still find this an incredibly enjoyable movie. I myself was surprised when I first saw it, seeing all the relatable humor it was pouring out, but unlike the redundant idiocy of let's say Michael Bay, the jokes are welcome and don't go too far.The cast is pretty well put together, and each character is pretty memorable and involved quite well. Eric Bana was excellent as Nero, not to mention Bruce Greenwood is awesome as well. Zachary Quinto is the beloved Spock and for one of those hyper-intelligent characters it's a character you will end up feeling emotionally drawn to. The story never drags at all and it's all together a pretty well written piece of sci-fi I must add. To be honest Chris pine is great in the movie, it's just that at times he too much of an archetype 'bad-ass', dare I say it? How many times have I seen a drunken protagonist in a bar starting a fight with a guy and/or trying to get a girl who views him as trash. Other than that, though, he does fine, and the rest of the cast is no less than good.The cinematography was beautiful on its own, let alone the action scenes. Speaking of which, a new bar for space battles has been set. And the score by Michael Giacchino and Alexander Courage was not too shabby. In fact I thoroughly embraced it. I consider it a must see, being one of those rare sci-fi gems anyone can enjoy.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Awesome - highly recommend,"I was one of the few lucky fans who attended the Sydney premiere and my impression was ""Wow!"" The use of a well known Roddenberry plot device to reset the franchise was a brilliant idea and means the franchise can now move forward without the ""FANS"" shouting ""canon!"" The movie itself was brilliantly cast and performed with each actor being enough like the original to be believable in the role without the over the top acting that was part of TV when it all began in the 1960's.The special effects are top notch.Its a film which you can take anyone who enjoys sci-fi to, not just someone who knows the last 40+ years of Trek.So what level of fan am I? I own 3 costumes, attend conventions and appear in ""Trekkies 2"", and yet loved Enterprise because from the first episode I simply said its was in an alternate universe, its the same but different. I view this film in the same light, same but different.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Blockbusterised,"I haven't seen the original Star Trek but it has a reputation for being heavy on the technobabble and continuity lockout. This film is an attempt to remake it closer to a traditional Hollywood blockbuster and it works. It is easy to follow and full of exciting action, though I can't compare it with the original.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
A Truly Glorious Enterprise,"As a complete and utter fan of LOST I ventured down to Sydney on Tuesday for the World Premiere of Star Trek to feast my eyes on JJ Abrams new venture. I have never seen Star Trek. Not one episode, Not one movie. Yet the idea of JJ Abrams attempting to breathe creative life into a franchise drew me to the Sydney Opera House to meet my Idol and to see just what he can do.As the lights went down in the glorious Concert Hall and the vibrant cast and crew thanked the audience and took their seats an anxious hush swept the hall from united Trekkies and newcomers alike. As Paramount, Spyglass and the Bad Robot flitted across the screen Michael Giacchino's score pulsed through the audience and the film began.From the first stunning visuals of a pre-Enterprise time to the final iconic sweeping space shots Star Trek is fully and wholly back, completely engaging for Fan and newcomers alike. Easily grabbing a mainstream audience and yet still retaining the in-crown jokes and nuances of the original Universe, Abrams new Trek is quite the achievement.The actors are superb and the appearance of Leonard Nimoy and Eric Bana takes the tale to the beyond.It is easy to see why Paramount has held on to the innovative creative Bad Robot team ready for a sequel as Trekkie storytelling is reinvented for today.As always I was blown away with the power and creative precision that JJ Abrams brought to the screen. As a final note I recommend this film for everyone who has ever looked to dream up the impossible, to take an idea that you love onto the next level, a feat achieved by the truly glorious Abrams and crew.A must see.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
JJ Abrams needs to cool it on the strobe lights,"What on earth goes on in JJ Abrams' head when he tries to blind his audience with those stupid effects? It's like literally in all his movies, and it serves no purpose but to provoke epileptic fits, it seems. Anyway, the movie: It's good. It's got space battles, weird alien species, trials and tribulations, strife between the crew of the ship... everything you'd want in a Star Trek movie. I'm rating it a 7, but as far as 'sci-fi space movies' goes, it's a 8.5",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Great movie,"Apparently a lot of die-hard trekkies hate this film, but I doubt anyone could make a film that would satisfy them.I personally loved the movie, I'm not a trekkie, far from to be honest, but this one was great.I've seen all the old movies, and liked them, my girlfriend hates them though, she watched a whole 15 minutes of the one where they go back to earth in the 80's and hated it.So she was obviously extremely suspecious when I rented this movie, but she ended up being extremely excited about it, and said that she'd deffo watch any sequel to this new version of star trek.And I personally liked it more than the old star trek movies.It's abit like James Bond, the new James Bond movies are very different to the original ones with Sean Connery.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
""" I   have   been   and   ever shall   be   your   friend ""","There are several generations of Star-Trek fans out there and based on their refusal to 'Grow Up' will in all likelihood be more. Those of us who enjoy the original series and perhaps a couple of the movies, realize that despite all the effort to replicate the original dream, directors will never please everyone. This newest film entitled "" Star Trek "" is reasonably better than others in that the new cast is well selected. In this offering we have Bruce Greenwood as Captain Christopher Pike, the original Captain of the Enterprise. (Superior selection.) Chris Pine plays the young James T. Kirk, who is full of vim, vigor and enthusiasm. Zachary Quinto plays the early Spock, full of expectation, promise and definitely logical for the role. Karl Urban plays the erasable Dr. Leonard 'Bones' McCoy. It seems they select the right man as he fits reluctantly into his role. Simon Pegg plays engineer, Montgomery Scott well and believable and I believe, James Doohan would have agreed. John Cho is the youthful Lt. Hikaru Sulu, the pilot and portrays him very and observably masculine. One wonders why? The navigator is the very young Russian Pavel Chekov (Anton Yelchin) Based on his performance, very believable. Then we have eye-candy Zoe Saldana as Communication's officer Nyota Uhura. Her 'brief tease' and wondrous appearance in this film is not only attractive, vivacious, but forcefully sexy. What is unexpected is her apparent love interest which will conjure up a bagful of mixed images in the sequel. After the introduction of Eric Bana as the heavy, Ben Cross as Sarek, we are further treated to special guest appearance by Leonard Nimoy as Spock Prime. The film is loaded with magnificent action scenes, hurtling explosive crafts, photon blasts and violently exploding worlds. In addition, the inter-dimensional space-time travel and encounters with gigantic Black Holes will have the audience gasping and wanting more. Excellent film and a worthy addition to Gene Roddenberry's dream. ****",9.0,Anonymous,"Action, Adventure, Sci-Fi"
I loved it.,I loved it. Have fun from start to finish. This is the first film of this genre I like. Well done! Great effects.,10.0,Anonymous,"Action, Adventure, Sci-Fi"
"Yeah, not Star Trek of old, but great fun.","For folks who dissed this movie, and the second, because it wasn't the Star Trek of yester year, get over it. Roddenbury rolling over in his grave? Oh, please. The events in the first movie somehow made all the other off-shoots impossible? Yikes! How does anything in this movie affect the series with Piccard, Janeway, etc.? Give it a break, eh?Yeah, both movies had some corny lines and one or two ridiculous scenarios (Spock and Uhura making out?), but the first two movies in this reboot were great fun. The actors were brilliant even when their lines weren't, the action decent. Was either movie award-worthy? No, but not every movie has to be in order to enjoy it. I wasn't disappointed. Both kept me very well entertained. Sometimes it's good just to sit back, relax, enjoy, and not take everything so damn seriously.Now, the third installment is altogether another matter. While it did have its moments, it was really terribly written. There is a limit to how much even good actors can do with pervasively bad lines, and how much slop a viewer can put up with. And if Hollywood doesn't stop with their ""wokeness"", I think I'll have to stick with foreign flicks.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
SOMETHING REALLY SPECIAL!,"Before analyzing Star Trek, a few words: In the theater, skeptically, I waited for it to begin. After all, I didn't believe in action movies anymore, nor did I believe in Star Trek! Well, now I'm a believer!Within minutes, I felt time-warped! A little kid mesmerized by Forbidden Planet; a teen-ager, totally awed by 2001; a young adult, blown away by Star Wars! If you don't like this new Star Trek, do yourself a favor: forget about the Sci-Fi/Action genre for life!O. K...Where to begin? On almost every imaginable level, Star Trek really works! Solid character development, well, at least for this genre. Stunning, imaginative, cleverly original & at times, even dazzlingly artistic special effects. An intensely engaging story-line, that manages to pay homage to all that has gone before, but, at the same time presents multi-faceted character and plot elements few of us could have imagined beforehand. Without any spoilers, let's just say there is something in this for everyone! Glimpses of Kirk and Spock in their youth, both rebellious in different ways. Hints of romance between major characters, previously unsuspected. Kirk and Spock starting out as rivals, but becoming friends as a result of an ingenious plot twist! And extremely well-conceived and orquestrated action sequences that will make you feel as if you'd been catapulted into hyper-drive! Whether or not you liked Star Trek in the past, you have got to treat yourself to this experience in a theater. Preferably, as I plan to do next time, in IMAX!",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Perfect introduction to Star Trek,"Shamefully this 2009 movie was pretty much my first full experience of what the Star Trek franchise has to offer. I have never been a fan and was completely new to the series. I have since begun to understand its following although I'm glad to have started with JJ Abrams remake as it was the perfect introduction. As a science fiction action movie it ticked all the boxes and had a well crafted cast which made watching this movie thoroughly enjoyable. The story is along the lines of what I expected going into it but together with its effects and smart script it was smooth and sleek. I really enjoyed learning how these characters came together and involved more action than I participated, much to my delight.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Loved it and just re-watched 10 yrs after - it still holds up.,"So many negative reviews from 'fans'. I am a fan. I'm not the kind of fan who goes to conventions and my entire life is not consumed by Star Trek. However, I watched the first episode of TOS when it aired in 1966. I was 10 years old, and my entire world changed. I started to imagine a future - a future like nothing anyone had ever thought of before. That show was the catalyst for my love of the sci-fi genre, for many books and films over the years, in particular the many entries in the world of Star Trek. Honestly, this is a good little movie. It has the elements of Star Trek that make it what we loved - and love. The Prime Directive, the Enterprise, the themes of friendship and courage - the crew, the comedy, the rebellious nature of Captain Kirk - the new cast did such a great job portraying these beloved characters, I just felt I was seeing them all again, and I liked it very much. Don't get so hung up on what is Canon, and what is scientifically possible, that you forget to enjoy a tall tale - a story - with characters that are larger than life, and with whom we fall a little bit in love every time. Live long and prosper.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
A reboot worthy of new fans.,"Just caught an advanced screening of this tonight. As one who never really enjoyed Star Trek, I found myself pleasantly surprised with how likable this movie was.The casting itself is one of the great pluses to begin with, especially with Zachary Quinto who manages to make being Spock look so easy. Simon Pegg delivers very well as Scotty with funny moments, but not being too over the top - good job there. And Anton Yelchin definitely steals the show in any of his scenes as Chekov.Kirk was well-casted too, but the others definitely warranted a greater mention.The greatest thing about this movie was that it managed to be genuinely funny, without compromising itself. There are so many brief moments and quick gags that work with snap precision. The worst things I can say about this film was the somewhat weak plot and the superficial character development (understandable, given how many characters were shoved at us). But everything else was awesome enough to divert focus from the minuses.If you've never seen anything Trek, or maybe saw one or two episodes - you will like this. If you've spent your life hating Trek - you will still like this.I certainly do. 8/10(PS: Stargate: Atlantis fans be ready to spot Paul McGillion as the Barracks Officer)",8.0,Anonymous,"Action, Adventure, Sci-Fi"
"Underwhelmed, almost disappointed","I have been a Trekkie since it came out on NBC. I've seen them all, all the movies, all the shows. This one disappointed me.No, I am not disappointed by the new cast. Most were good, especially Zachary Quinto as Spock. Quinto showed great versatility, a completely different person than Sylar. What I am disappointed by is the new characters. The action of this new Spock were not that of the historic Spock. His on screen romance with Uhura simply did not fit.Also, I am totally disappointed by the lack of any sense of following the chronology of time events we have seen throughout Star Trek. Spock was a junior officer on the Enterprise when Chris Pike went down to Talos IV. That means the Enterprise could not have been on its maiden voyage. That's one small example of the screw-ups. Ranks, assignments, so many things just wrong.These are the faults of the writer and the director. J.J. Abrams, with his experience with Lost, surely knows better. Roberto Orci and Alex Kurtzman are from from Abrams's Fringe studio. I enjoy Fringe, but obviously they just are not up to Trek.People rave about special effects, but that does not impress me. No amount of special effects can make up for bad writing.",6.0,Anonymous,"Action, Adventure, Sci-Fi"
