title,content,rating,username,genres
The death of a franchise.,"The Last Jedi is a well-made film; it's visually stunning and well directed. The problem is that it singlehandedly ruined the sequel trilogy by closing the second chapter with a dead end. There are truly baffling character decisions, awkward humor, useless subplots - it's by far the most frustrating Star Wars movie because of the potential it had. If it were 20 minutes shorter, it could have been something special, but the last act sees our characters in the exact same spot as they began. As a standalone movie, it's watchable. As the second part of a trilogy, it's a disaster.",6.0,Anonymous,"Action, Adventure, Fantasy"
Amazed by the negativity,"I walked out of this movie with six friends at 3 am, and all of us were WIRED from adrenaline and amazement. And then I checked IMDB and saw nothing but angry fans, proving that there really is no pleasing organized fandom. Everyone complained mightily at how unoriginal and ""safe"" The Force Awakens was, and then a movie comes along with an actual point of view, with incredible style unlike anything that has come before it in the series, that is daring, fresh, and original...and now it's just too different for everyone.Though some of the complaints are fair (namely that one major subplot turns out to be largely a digression), this was so surprising and thoughtful and fresh that it frankly makes The Force Awakens better by recontextualizing it. This movie has something to say if people will take a moment to listen to it rather than getting pissy that it wasn't what they were expecting.",9.0,Anonymous,"Action, Adventure, Fantasy"
It's bad. I don't know why people defend it.,"I really want to sit across from Rian Johnson and Kathleen Kennedy and ask them honest questions:1. Do you know what ""heavy-handed"" means?2. In film school, or in any time in your career, did you ever learn about building tension, or making the audience care about characters, or continuity from a previous installment?3. Is this a Star Wars movie or a Marvel movie version of Star Wars?",6.0,Anonymous,"Action, Adventure, Fantasy"
"A beautiful, humorous and magical Star Wars movie!","I've been a Star Wars fan since I was 7 years old, and I even remember seeing Empire and Jedi on the big screen as a kid. Yeah, I'm old. But, I'm a little shocked at so many haters of this movie, many of you have given a 2! A 2???? Seriously?I've given The Last Jedi an 8. It's an epic and original Star Wars movie, with gorgeous cinematography and incredible music from the wonderful John Williams again. Rain Johnson has managed to expand the force mythology, inject some good ol' humour back into the saga, and throw in some wonderful surprises, that I believe, we all needed. It seems like many of you do not like change, or are not prepared to enjoy a Star Wars movie that takes risks. This movie takes huge risks; it dares to offer something fresh in a franchise that is over 40 years old. It also pays homage to the original trilogy in a beautiful and tasteful way. So, no, I do NOT understand the haters out there.Nevertheless, it's not a perfect movie. There are some risks that Johnson takes, that will upset some fans, but some of those decisions have made me ponder the force in a new way. One of the main problems for me was the 'detour' from the main storyline with Finn and Rose. This storyline felt a bit sluggish, 'forced' and feels kind of shoehorned in there, and it also doesn't really serve the greater story-but then again, maybe it DOES. I will need to see it again to decide on this. There were also a handful of 'dumb' little moments, that I won't get into, and certainly at times I was reminded that Star Wars movies were originally made for children, and while we have our darker adult themes at work here (and even spiritual themes), there are also many magical moments for children. Maybe us 'grownups' need to stop taking it all so seriously and learn to be kids again?For the most part, this is a solid, original and gorgeous Star Wars movie that I believe, makes The Force Awakens seem a little bland and unoriginal. Go and see it, it's the best Star Wars movie since Empire.",8.0,Anonymous,"Action, Adventure, Fantasy"
Star Worse,"I've seen some Star Wars movie lately, 3 or 4, skipped episodes, but they were not as bad as this one. This seems to hit all records, and by this, I mean the bad ones. It's a Swedish buffet with the worst thing you can imagine: poor acting, action, scenes, etc. It certainly doesn't look like Star Wars to me. And I don't believe it looks this way for others either.",6.0,Anonymous,"Action, Adventure, Fantasy"
"Star Wars: The Last Jedi can only be surmised, for me, as a disappointment.","I'm not exactly sure what everyone else watched, but this is certainly no masterpiece. I've seen words like risk-taking, bold and edgy being thrown around. Bold? Gimme a break. There's more boldness in the Times New Roman font. This instalment has evidently, looking at aggregated scores, polarised viewers. And I can see why. In this episode, the rebels attempt to flee from The First Order and it's up to Finn to retrieve someone to help them infiltrate their primary ship. Meanwhile, Rey tries to convince Luke to help the rebels and train her in the Jedi religion. That's pretty much as grand as this chapter gets. Where is the grandeur!? Where are the stakes!? Why am I not on the edge of my seat! No matter how aesthetically pleasing the visuals are, the constant feeding of nostalgia and the inclusions of a few memorable scenes...it doesn't make a film great. This episode is weighed down by underdeveloped characters, sluggish pacing and pivotal elements that are rushed. I have no doubt in my mind that Rian Johnson's directing style was glorious, in fact the technical aspects to The Last Jedi are outstanding. Visually I cannot fault the effects that are used and also appreciated the use of puppets and animatronics, particularly the Porgs which are bound to make Disney a fortune. Various memorable scenes, such as a cruiser lightspeeding into another ship, make for some general entertainment. But, I can't shake off the fact that I was bored. It took nearly half the film's runtime to get going and become interesting. Kylo Ren is the most intriguing character with plenty of internal conflict. Adam Driver gives a perfectly good performance, full of emotion beneath his eyes. I can see it! They just didn't explore his character arc or utilise him to his maximum potential. The Force Awakens introduces us to these fascinating bubbly characters that are just utterly wasted in this. I'm uncertain about ""bold"" choices regarding Leia, Snoke and Luke...but even so, I wasn't enthralled enough to care.",6.0,Anonymous,"Action, Adventure, Fantasy"
WTF is wrong with you people?! It is a good movie! :D,"Won't post any spoilers, but reading all these bad reviews: I just have to set this straight.First of are any of you fans at all? Do not sound like it, it borrowed from the old movies in a good way, while it was it's own thing.It is visually stunning for sure, the music is of course awesome!It is ALOT better better than TFA.
Think many of these negative review are just there too belittle the movie.
It is cool to hate every movie beyond four to six... You people...
Rian Johnson did not fail, he did really good!Everyone I talked with at the movie theater liked it, none rated it under 7/10.
I walked out of the movie theater more hyped than I where going in.It was creative, it was a Star Wars movie. If you have a open mind and heart when you go see it; you will enjoy itPS: What happen to Luke is a nod to what happens in the original three.",8.0,Anonymous,"Action, Adventure, Fantasy"
"Have an open Mind, This is not your Fathers Star Wars","I should start by saying if you're an unwavering star wars fan who can enjoy the prequels then you will be able to enjoy this movie. Seeing how most user reviews are 5 or below i feel most will disagree with me, but here goes nothing.Leaving The Last Jedi i wasn't sure what to think about the movie. That's not saying that i wasn't happy or pleased with what i saw, its just the movie gives you so much to think about. The tone was great and the pacing felt fine with the exception of one story arc. Most the Humor landed, and some didn't. Some things felt really forced and some felt natural. If you come into this movie hoping to see a remake of Empire then you will leave disappointed. This movie stands on its own legs as it should. It explores new aspects of the force that we've never seen before. But what i really like most is its unpredictability. In multiple scenes my mind was racing with the thought of whats going to happen now. It takes so many twist and turns along with some big risk that I think pay off. So if you haven't seen this movie but you're a big star wars fan id recommend seeing it so you can have your own opinion about it. Not everyone will be pleased with this movie, and again you have to have an open mind about it.",9.0,Anonymous,"Action, Adventure, Fantasy"
The Force chooses The Weakest Jedis,"So even the most powerful Jedis didn't know how to contact each others this way, only feeling & high sense of each others.But for some reason the force chooses the weakest of them to contact through live videos!I watched the whole series and left this movie for the last cause of the rates & reviews, but i never thought it would be this mess.",6.0,Anonymous,"Action, Adventure, Fantasy"
Did Rian Johnson watch the other films on mute?,"It is as if Rian Johnson watched the Star Wars movies on mute before writing/directing this film. Visually, the movie is stunning. From the set pieces to the action sequences, ""The Last Jedi"" has some of the best visual moments in the franchise. Unfortunately, the story and a true understanding of the Star Wars universe is lacking.The actions of some of the characters are completely against what we have seen in other films (the treatment of Luke Skywalker is absurd).The new characters introduced are irritating and shallow (Laura Dern's Vice-Admiral Holdo might be my least favorite character in Star Wars history).Force sensitivity is a joke (Leia, Luke, Kylo and Rey).The entire ""master code breaker"" plotline is frustratingly pointless.When I look at the poster for this movie, I think about the epic fight sequences and the daring visuals. This is fortunate, because the rest of the film is frustratingly disjointed from the rest of the franchise.Best Character: Kylo Ren
Best Quote: ""Pass on what you have learned. Strength. Mastery. But weakness, folly, failure also. Yes, failure most of all. The greatest teacher, failure is."" - Yoda
Best Moment: The battle against Snoke's guards. The red scene!",2.0,Anonymous,"Action, Adventure, Fantasy"
