title,content,rating,username,genres
pleasant surprise,"I went to a small advance screening of this movie on July 19th, knowing no more than the names of a few of the actors and that it was a fantasy/adventure quest of some sort.The plot line really is nothing like I have seen, and a unique story is certainly appreciated with everything else that is currently in or coming soon to theaters. In spite of what first impressions may give, it isn't cheesy, corny, tacky, or ridiculous, and is actually highly entertaining and funny. The flow is quite well done, nothing seems rushed or dragged out. The soundtrack, for lack of better words, is magical and adds much to the film, as opposed to simply filling the silence as often happens in movies or TV. And even though I might have known what was coming at points, I still couldn't bear to stop watching the screen; to my knowledge, not a single person left the theater during the entire movie.My one gripe is that there seems to be almost no marketing for this film, and as brilliant as it is I can't figure out why.",9.0,Anonymous,Fantasy
Provides more fun than all of the summer blockbusters put together,"The 14 year-old in me is immensely happy that they're now able to make really good looking fantasy movies, and that they're all the rage, what with Lord of the Rings, Harry Potter and The Chronicles of Narnia making loads of cash at the box office. This year will see (and already has seen) several more, most notably The Golden Compass, which has the most exciting trailer I've seen this year. Stardust, based on a novel by Neil Gaiman, showed up in theaters this week with little more than a peep. I saw no previews for it, only a couple of commercials. The critical reaction is kind of blah. I wouldn't even have seen it if not for the fact that I have to wait on a friend to see The Bourne Ultimatum, and that nothing else interesting opened this weekend. Well, if you'll forgive the horrible pun, the stars must have been rightly aligned, because I went to see Stardust, and I loved it. It's not a huge movie like Lord of the Rings. The plot line is your very basic fantasy quest (the hero sets out to look for a fallen star) filled with obstacles. But within that basic outline, the story is lively and imaginative. It's simply aiming to be a lot of fun, and a charming little romance. And it succeeds wonderfully. There were a lot of big films this summer, but none of them were nearly as fun as this one. There's a lot going on, but the story is told well and is almost entirely coherent. It isn't a masterpiece, but it definitely can occupy the same kind of ground that something like The Princess Bride has (though I don't like it quite as much as the earlier film). A lot of fun to be had here if you're a fan of the genre.",9.0,Anonymous,Fantasy
Much Better Than it Looks,"Surprised at how much I enjoyed this. The characters were really well developed, the world building was fantastic and the action was really enjoyable. Mark Strong is great as ever as the villain, but it has to be Robert DeNiro who just steals the film in the weirdest role I could think of for him. The story is genuinely intriguing, but it's the world building that really did it for me. I really felt immersed in this fantasy world, and the exposition was delivered really naturally. As much as I have gripes with some of Matthew Vaughn's films, the actual direction is never the issue, and it's quite good here too. Now my main issue is that the film is trying to juggle quite a lot of storylines, and it feels a bit rushed as a result. You could probably cut Michelle Pfieffer's plotline down quite a bit in order to concentrate on the main storyline more. But overall, this is a surprisingly fun film that I would definitely recommend",8.0,Anonymous,Fantasy
Previews do no justice...,"Why are the previews so blah for a movie that is so awesome!! Everyone should know what an excellent movie this is. It is engaging and funny from moment one, original, and well-acted. I wish the movie was doing itself as good press as it deserves!For anyone that loved The Princess Bride, Labyrinth, and other truly funny and original fantasy adventure, this is one of the great ones. Robert DeNiro is hysterical. Relative newcomer Charlie Cox is an incredible leading man. Claire Danes is fantastic as always. Michelle Pfiefer is making quite a splash with her recent returns to the screen. There are also a lot of wonderful moments from minor characters...even down to facial expressions.",10.0,Anonymous,Fantasy
A magic that isn't puerile . . .,"The power to dream is a wonderful thing. There's a saying, ""Not all dreamers achieve, but all achievers dream."" By exploring our imagination we shape our own futures. Or build empires. Perhaps overcome our fears, limitations and obstacles. Gain wisdom and benefit mankind. Or (put simply) just find our way to true love and happiness. Freud might express such things in symbols. The language of fantasy.Tristan ventures out of a rather twee English village called Wall. He goes through a break in the wall. A portal. In search of something that will prove his love to Victoria (Sienna Miller). Victoria doesn't take him very seriously. So he pledges to bring back a falling star.Stormhold is the world outside the wall. He discovers the fallen star has taken the form of a beautiful girl, Yvaine (Claire Danes). To complicate matters, three evil witches want to get hold of Yvaine. If they can eat her heart, it will replenish their youth. (One of the witches is played by Michelle Pfeiffer, who does fabulous young-old transformations of looks and manner.) The 'good guy' they meet on their way is Captain Shakespeare (Robert de Niro). He has a fierce, swashbuckling pirate exterior but is a sweetie closet queen underneath. Heirs of Stormhold meanwhile are engaged in a pitched battle over inheriting the Kingdom. Ricky Gervais is an added extras. A buffoon trader throwing in standard Gervais-type gags well. Tristan's purity of spirit arouses the love of Yvaine, so there is a nice little triangle going. Till he achieves the maturity to discern pedestal divas from real women.Stardust is a full-on, large scale fantasy that does credit to its myriad stars. Wholly positive, and written with a clarity that makes it more worthy of psychoanalysis that a coven full of Harry Potter romps. Production values rival Hollywood, and the storyline is free of the racial stereotyping, misogyny, religious or class agendas than shape and pervert so many large scale fantasies.That is not to say that Stardust is without its faults. Plot and dialogue have many predictable elements, and the fairytale quality may be too saccharine for some audiences. But if you want an excuse to let your heart fly, this film may well provide it.As a boy, I remember listening in wonder to albums by the Moody Blues (who practiced in a house not far from where I lived). They made records with names like ""In Search of the Lost Chord,"" and wrote lyrics like, ""Thinking is the best way to travel."" I would fill my head with books on magic and mystery, from Timothy Leary to Aleister Crowley. Shaping dreams. Learning to make them real. Nowadays people might talk of NLP or positive thinking. Adults that remember how to dream with the force of youth but with the vision and application of maturity. Do you still enjoy that feeling?You are advised not to wait for Stardust on DVD. See it on the biggest cinema screen you can find. And Dolby Digital Surround Sound if you can get it. The actors look like they had a ball. Maybe you will too.",9.0,Anonymous,Fantasy
"Overwhelming adventure full of fantasy ,  a love story  and pirates","This fantastic picture concerns a Tristan (Charlie Cox) , a young living in an English village rounded by a wall . But a breach surveyed by a keeper (David Kelly) is the walk for a world fantasy named Stronhold . Tristan trespasses the breach looking for a fallen star (which results to be Ivaine : Claire Danes) to demonstrate his love for a beautiful girl (Sienna Miller). But also a nasty witch (Michelle Pfeiffer) and the King's (Peter O'Toole) heirs (Mark Strong , Rupert Everett) are looking for Ivaine and the jewel she holds . Meanwhile , Tristan and Ivaine get away and aboard a flying vessel full of pirates (Dexter Fletcher , Fogerty) and commanded by a sympathetic captain (Robert De Niro).This exciting motion picture displays derring-do adventure , romance , fairy tale , spectacular fighting and fence and with phenomenal outdoors . The flick gets lots of bombastic special effects including supernatural transformations , flying ships , stars explosions and numerous images have you on the edge of your seat . Riveting set pieces illuminate the full-blown adventures blending witchcraft , wizardry , necromancy and turns out to be extremely amusing . Casting is frankly extraordinary , Michelle Pfeiffer plays magnificently a shamelessly villain-witch and Robert De Niro as the likable gay pirate steals the show . Ideal cast is completed by awesome US and British actors . The movie packs a sensational production design by Gavin Bouquet (Star wars). Mesmerizing photography with wonderful , marvelous landscapes by Ben Davis . Emotive soundtrack appropriately adequate to fantasy by Eshkeri . The pic was brilliantly directed by Matthew Vaughn . He's a good writer, producer (Guy Ritchie movies) and director, though only made one film titled ¨Layer Cake¨ (with Daniel Craig) which achieved big time . Rating : Better than average. Essential and indispensable watching.",7.0,Anonymous,Fantasy
Great fantasy,"I like how the characters grow throughout the movie. The fairytale is quite unique, and the movie manage to not bore me the whole time im watching it. Will I watch it again? Yes, I will",7.0,Anonymous,Fantasy
A Spectacularly Entertaining Piece of Fairy Tale Fantasy,"'Stardust' was a splendid watch. I wasn't expecting it to be as good as it turned out to be. To me, it seemed like just another passable fantasy flick but 'Stardust' is a lot more than one might expect. It is a fairy tale about a fallen star and a young boy. Vaughn's direction is solid. The visuals are fascinating, even though sometimes the CGI is obvious. The cinematography is stunning and the soundtrack is beautiful. The writing is commendable and the dialogues are fine.Comparisions might be made with 'Lord of The Rings'. While I did not like Peter Jackson's movie as much as others did, I throughly enjoyed 'Stardust'. However, 'Stardust' too has its share of flaws. I thought the ending (in spite of some humorous moments) was a little dragged on and gave the film a fluffy touch. The American actors act very well but some of them lose the British accent at times (at one point Michelle Pfeiffer pronounces the 'r') but this is a very very minor case and the reason why I mention it is because it was something I noticed. This minor point does not make me like the film any less but the unnecessarily stretched ending somewhat does.'Stardust' boasts of a stellar cast that comprises of both British and American talents. The luminous Claire Danes and the naive Charlie Cox have the right chemistry and look convincing on screen. Danes is literally and metaphorically the star of the film. Michelle Pfeiffer springs a surprise performance as the evil villainess. It's great to see her after a long time, that too in a completely different role which she effortlessly pulls off. Robert De Niro too springs a surprise. I won't say much about him because that would be ruining the fun. Let me just say this much that perhaps one will never look at Mr. De Niro the same way. Notice the welcoming cameos that include a magnificent Peter O'Toole, a funnily odd Dexter Fletcher, a hilarious Ricky Gervais and a pitiful Rupert Everett.There are so many wonderfully shot scenes. I particularly liked the pre-climax scene where Yvaine is approaching towards the wall and the camera switches back and forth to the different characters. The cinematography and music add power to that key scene. Of course there are many other such great scenes but this was one I freshly remembered. The scenes between Tristan and Yvaine are quite nice and fun and thankfully they are not overly sugarcoated (except in the end). The light comedy is quite cleverly put and special thanks to De Niro and his pirates, the 6 (?) ghosts and Gervais for pulling them off.On the whole, 'Stardust' is a wonderful film. As stated earlier, i would have liked it more had the ending been a little crisp. Nonetheless, it felt like two hours well spent and I recommend it to those who enjoy original fantasies.",,Anonymous,Fantasy
"Shop Boy, fetch me that Star","Greetings again from the darkness. This one will be compared to ""The Princess Bride"" and although it doesn't measure up to that classic, it is extremely entertaining and well made in its own right. The story line is a bit odd and the whole wall thing is never really explained, but the execution is fine, even building up strong suspense.Charlie Cox plays Tristan, who falls for the wrong girl (Sienna Miller), and agrees to fetch her a fallen star ... who happens to be played by the stunning Claire Danes. Not much suspense on what happens with these two, but the suspenseful part comes in with the wicked witch played by Michelle Pfeiffer and the prince son of King Peter O'Toole looking to reclaim the ruby necklace our ""star"" is wearing. Lots of bad chasing the good.Along the way, an encounter with the strangest pirate you will see (including any from the Carribbean). Robert Deniro plays Captain Shakespeare - tough on the inside, and shall we say in touch with his feminine side. Another encounter involves the brilliant Ricky Gervais as a fast talking trader and that is good for a couple of laughs.Not your typical chase, coming of age, or fantasy film, but director Matthew Vaughn's (""Layer Cake"") effort deserves an audience. Sadly the poor marketing campaign will probably prevent it from making any money. My guess it will find big success on video.",7.0,Anonymous,Fantasy
The most fantastical adventure of the year!,"I went into this film with modest hopes, the director had pedigree, I had seen Charlie Cox in Casanova and was impressed, and literally EVERYONE had been raving about it. As the story started to unfold I was introduced to Victorian England on one side of a mysterious Wall, and on the other a magical land, Stormhold. The actual plot weaves together many strands and I don't want to ruin the surprises for anyone, but at the barest it is the simple tale of a young man (Charlie Cox) in love with the village beauty (Sienna Miller). To win her love he tells her he will fetch back a fallen star from the other side of the Wall. Howver when he arrives at the star he finds not a lump of astral metal as he expected but a beautiful woman (Claire Danes). As the two journey back to the wall they find themselves in the adventure of a lifetime. The visuals are brilliant, England looks stunning, in a similar fashion to New Zealand in LOTR, and it s full of wonderful little flourishes, such as the way that the star shines when she is happy, a very simple effect, but one that looks radiant. As well as this the acting good, especially from the leads and Robert DeNiro, whose turn as the captain of an airship is incredibly memorable. This film is THE perfect date movie, it is romantic without being a ""chick flick"", funny and full of wonderful action pieces that will satisfy any action film fan. All in all it is a truly magical experience from beginning to end, and I now Im raving about it to EVERYONE!",9.0,Anonymous,Fantasy
