title,content,rating,username,genres
Absolutely Charming,"Overtly nostalgic movie about a bunch of kids stumbling on a secret weapon blunder while making a zombie flick. Yes, it is an obvious hommage to Spielberg, that much have been said.The kids are remarkable, everyone of them. In fact, as soon as the movie moves away from them, it suffers, althought Kyle Chandler, reliable, does a good job with non-verbal acting. The one kid I liked most was the ""directing"" one, reacting with slight disgust at the thought that his own sister (she must have been ugly when younger) could actually be attractive to others, but all of them had their quirps that made them likeable in their own ways.When compared with contemporary Stephen King's ""It"" adaptation, which is similar in many ways, it is less lurid and graphic, and adults are less of a threat, but the nostalgia factor is doubled. I especially liked the middle-class settings and realities, the small Ohio town. My favorite moment was when they actually showed the full movie the kids made (""The Case"") during the end credits, which makes it the most agreable end credits I ever witnessed.Alas, not all was perfect and the main CGI creature is somewhat of a wet petard, and some characters were less than convincing, like the stoner guy. It is however a movie with a heart. Or maybe it's me who's getting too old.",7.0,Anonymous,Mystery
first 80 minutes : great!!! last 30 minutes : horrible!!!,"I have never seen a movie which could be divided to two parts of ""absolutely amazing"" and ""boring and childish"". The first 80 minutes is awesome, I was shocked by how good this movie was as I had seen some bad reviews on IMDb but then the cheesy part kicked in and ruined the whole thing.First thing that comes in to everybody's mind when they see the first scenes is that this movie is so similar to et! The style is the same, the theme is the same, it even happens in the same era with the same kind of neighborhood which is kinda cool and nostalgic for my generation. Super 8 seems like a fan-made dedication to Spielberg but it just didn't work quite well.From the actor's performance perspective; Elle Fanning's performance was breath-taking, and she saved some scenes. She's got potential to be a big star in the future. Kyle Chandler on the other hand was just plain and simple awful. He made the whole thing look kinda funny and stupid.From special effects and sounding perspective, I'd say it was stunning. One of the best I have seen in the genre in years as you would expect when you see Spielberg's name on the screen. There's this big scene at the first half an hour into the movie where you just get nailed to your sit due to the load sound which should have been annoying but it was not. It was awesome. You don't see this in Germany often but after this specific scene, the audience gave Abram an standing ovation!!! It was awesome. Of course at the end, everyone was angry because he ruined the whole thing with a very cheesy ""et-like"" ending but all in all it was worth the money, better than most of the movies in the last 6 months, I would say.I'm giving it 6/10 because first of all, I expected so much more from the creator of Lost and second of all, the last 30 minutes is really bad and the ending is just pure garbage. They used some cgi stuff which was very impressive but didn't quite go with the theme of the movie and was really inconsistent. All in all, it doesn't deserve the crap that it's getting in the reviews but it quite doesn't deserve the praises either. It's only OK",6.0,Anonymous,Mystery
"Been there, done that","As an homage to the Spielberg films of the 80's, this movie succeeds. As a piece of original entertainment? Nothing happening, folks. Now, if you're a kid and have never seen The Goonies, Jaws, ET, War of the Worlds, and Cloverfield, you may think this film is absolutely wonderful. And judged through the lens of cinema history, it may well be looked upon as a culmination of all that came before.Let's just hope that the future is filled with something in rare supply: originality.It's not that I wasn't entertained, it's just that I expected something more.And I suppose that's another problem with getting older. There aren't as many surprises left in the world.",6.0,Anonymous,Mystery
Six friends spend their time making a terror film when takes place weird deeds and something more terrifying than any of them could have imagined.,"Entertaining film with funny situations , state-of-art special effects and interesting screenplay ; according to J.J. Abrams was homage to the producer of the film, Steven Spielberg, and his films of the 1970's ranging reverence from Spielberg's directorial films . This Spielberg production is a fun movie concerning a feisty bunch of underprivileged kids whose Super 8 filmmaking project is about to be destroyed by weird events . During the summer of 1979, in a small Ohio town a group of friends (film debut of Joel Courtney and Riley Griffiths) while making a super 8 Zombie movie (since the kids were making a zombie movie, there are several references to director George A. Romero , as the poster for one of his movies in Joe's bedroom) witness a catastrophic train crash and soon suspect that it was not an accident. Shortly after, unusual disappearances and inexplicable events begin to take place in town, and the local Deputy (Kyle Chandler, Jeremy Renner declined the lead role ) tries to uncover the truth - something more frightening than any of them could have thought - and investigate subsequent unexplained events in their small town. They spend one last adventure-filled Saturday Afternoon together when one of them is kidnapped (Elle Fanning , sister of Dakota Fanning who during the town hall meeting, for a brief second you can spot among the assistants) . This happens after they find a film about their teacher , that could be the solution to all their problems .This is an amusing mess made in Spielberg style, the goal was to pay homage to the science-fiction movies of the '70s and 80s . The story results to be an emotive homage to Spielberg -as the famous bicycle from Steven Spielberg's movie E.T. can be seen as a part of metal junk that is being attached to the water tower in one of the final scenes- and to cinema of the 80s , taking parts here and there from various film as ¨E.T.¨ , ¨Close encounters of third kind¨ and specially ¨The Goonies¨ , though directed by Richard Donner was written by Spielberg . Imaginative and rousing musical score by Michael Giacchino in John Williams style . Colorful and evocative cinematography by Larry Fong . Top-notch FX , Bruce Greenwood provided the motion-capture performance of the alien , as J.J. Abrams insisted that the train station scenes were actually shot at night outside, instead of in a studio , though the train is completely computer-generated , in fact , the train crash was purposely made much more sensational than a train crash would actually be. Lavishly produced by Steven Spielberg was reportedly on set many times throughout the course of filming , Director J.J. Abrams and Spielberg have both gone on record stating that the filming of this production was some of the most fun they have ever had on set. The motion picture will appeal to Steven Spielberg and J.J. Abrams buffs . Rating : Better tan average , well worth watching .",7.0,Anonymous,Mystery
Magic,"Look, I'm biased. When I first saw the movie in 2011 while I was still just in middle school, I was enamored. Now, 8 years later, as a film student inspired by this movie, I can honestly say that it still holds up. A lot of the love I have for this movie is purely fueled by nostalgia, but even aside from that, the thrills and heartstring tugs this movie delivers still stand up to the test of time so far. This movie is always going to mean the world to me, and I hope someone out there sees this and gives it a shot. It's so criminally underrated and under-appreciated.",9.0,Anonymous,Mystery
Nostalgia Not of the Cynical Kind,"It is nostalgia ridden like many other films have been this past decade, the only difference is it's not of the cynical kind.The film's narrative FELT all over the place (probably more the plot than the narrative) - there was a certain tightness missing from this that was present in J.J. Abrams' previous film but, other than that, everything else did exactly what it's supposed to. The kids are both engaging and entertaining, the monster turns out to be quite frightening, the dialogue's great, the acting's great, visual effects, cinematography- everything's on point.It felt like I was watching a proper film! I mean it seems too much to ask for from our blockbusters these days.",,Anonymous,Mystery
Interesting mystery sci-fi film,"This film is an interesting mystery sci-fi that revolves around a small group of teenagers with a passion for cinema. They have a common project for a film, but end up witnessing a major rail disaster while filming. It is immediately clear that the accident is very unusual, and that the military's interest in what happened is far from normal. Set in the late Seventies, a remarkable decade for sci-fi thanks to the fascination of aliens and technology in general, it is a film of familiar contours where mystery is well used.The film is skillfully directed by J.J.Abrams, and presents a good story, with young teens taking the lead. The film strives to portray teenagers, the way they relate and even the family environment and the relationships between families, which are important for a very small community like this small town. I don't think sentimentality is bad, I think that in the right measure it brings depth to the film.Elle Fanning and Joel Courtney are the main actors in the film, which gives a lot of scope for young actors to show what they are worth, and these two young actors have definitely done a good job here. Riley Griffiths is good, but not so good. In the adult cast, Kyle Chandler and Ron Eldard deserve an especially positive mention, the latter giving life to a character that is rather unfriendly to the audience.Technically, the film invests a lot in the environment, in creating tension. It is not that kind of film loaded with thunderous effects, but one where what is suggested matters more than what we see. Honestly, I think it's more interesting than most big-budget sci-fi films, which are basically shot on the green screen. This does not mean that it was not used here or that there are no effects: the film has good special and visual effects, a competent CGI and good sound, but it knows how to use these resources without exaggeration. The good soundtrack also deserves a mention.",7.0,Anonymous,Mystery
Mixing Their Trademarks,"The concept of ""Super 8"" is combining the elements of J.J. Abrams and Steven Spielberg. The trailer made you think it's like E.T. plus Cloverfield. Well, it's true. There is nothing new about ""Super 8"" but it brought us back to the good old classic times, it's funny, it's exciting, and it's amazing.""Super 8"" is another intriguing monster movie by J.J. Abrams. Yes, you really wanna know what it looks like but I'm not gonna tell you. The sad thing is it's not as intriguing as Cloverfield. But It's easy to ignore that problem because there is something better than being another Cloverfield. It feels like you are watching a good old classic movie. Great characters, Good old fashion score, and kids intrigued by the situation.The story is really about the characters' zombie movie making and the family tragedy while there's a monster attacking their town. The monster is like the background or the subplot of this film. But the movie still got suspense. The movie is indeed beautiful and plenty of heart. The movie is just nostalgic stuff. It's not trying to be new. It just wants to show how J.J. Abrams is inspired by Steven Spielberg's movies.There are some amazing scenes in this film. Example, the train collision was breathtaking. The movie sure has a lot of humor. It's like a relic to the old family movies. The CGI is good enough. The performances were good. The kids gave a lot of personality to their roles.""Super 8"" is a J.J. Abrams film with Spielberg's trademarks all over it. It's not a blockbuster that has a lot of action and less talking. This movie is made in old fashion style. Yep, this movie is nostalgic if you saw Spielberg's old movies and it's good to see another one like it.Note: There is something interesting in the credits. You might wanna check it out.",8.0,Anonymous,Mystery
ET meets Goonies meets The Sandlot,"I was fortunate enough to see a screening this morning in DC. I had pretty high hopes for it from what I saw from the trailers. I don't lean one way or the other when it comes to Abrams, some of his stuff I like, some of it I don't. Super 8 is one that I loved.In the current era of CGI laden, soul-dead adventure flicks, Super 8 distinguishes itself by having heart. There is an authenticity to those kids in the film, a familiarity in their conversations. It reminded me of when I was a kid. It was like ET meets Goonies meets The Sandlot. And the film that they are trying to make within the film, and their obsession with ""production values"" draws a lot of laughs.The friendship between the kids in the film really resonates, and the emotional elements of the film totally deliver. One of the most poignant scenes in the film has nothing to do with whats in the train car, or the air force, and anything like that....rather, its a scene that takes place in Joe's bedroom as he sits on the floor talking to Alice.Now, as much as I loved the film, it is not without some flaws, mostly in continuity. Also, I would have liked a little more exposition for some of the characters, I would love to know more about Alice's father. That being said, I am forgiving on those things because the movie hits its mark everywhere else.Surely it will draw its comparisons to ET, and the other early Spielberg works, but those comparisons will always be unfair. Those films came at a different time. And the people who see Super 8 today, have changed since they first saw ET, or any of those other films. I am just glad the generation of younger people will have this as a generational film for them, as I had with those other great adventure films.All in all, Super 8 was a terrific film experience, that will leave you with a smile on your face.",10.0,Anonymous,Mystery
Best 2011 Movie,"Steven Spielberg and J.J Abrams working on a project together. That idea alone is great however the finished project is a masterpiece. I was expecting a lot when I walked into the theater, when I walked out, not only were my expectations met but it was much better than i thought it would be. Let's start off with the actors, they all did a great job, but I was really impressed with Elle Fanning's acting, she added lots to the movie. I know it won't happen for this movie but I think she deserves an Oscar for her performance. Next, let's talk about the overall movie, it was great, it had, action, comedy, Mystery, romance, and suspense. The special effects were amazing, best this year. Now, the ending, i'm not going to say what happens, but many people hated it but I thought it was perfect, great way to end the film. Overall, suspense, action packed movie with great special effects and great acting from underrated stars makes the best movie of 2011, and one of the best movies ever. 10/10",,Anonymous,Mystery
"A fantastically entertaining, old school movie","I'm just going to say this upfront, Super 8 is now one of my favorite movies. It is one of the most thrilling , emotional, well-acted and just all around entertaining movies I have ever seen, and I've seen a lot of movies. It brings back that old school movie feel of wonder and innocence that made movies like E.T. , Stand By Me, and the Goonies , the classics that they are now and I think Super 8 is right in the same league. But Super 8 has another side to it as well, it's a monster movie. This aspect is obviously modeled after other Spielberg classics like Jurassic Park and Jaws and uses some of the same techniques to great effect.As I said above, the acting is amazing. All the kids are absolutely fantastic they really act like real teenagers- the way they talk, the way they act and all their different quirks are all hilarious. It's so fun watching them all together. The adults are all great too particularly Kyle Chandler who plays the main character, Joe's, father. He perfectly displays his difficulty in the situation he is in and his lack of communication with his son.Super 8 is actually a very emotional movie. Joe and his father have been through some tragic events and they are still trying to cope with their loss. There is some real depth in the emotional scenes and this makes you care more for the character and it makes the movie much more intense when the action starts heating up. That brings me to the next great aspect of the movie, the action.There are some very intense scenes in Super 8. The movie has one of the most awesome scenes of destruction (the train crash) I have seen in a movie, and its in the first thirty minutes. After this is when the unseen monster starts causing havoc. What's great is that you hardly ever see the monster. It's just like Jaws, the less you see, the scarier things are. This makes it so that once you see the monster it is very satisfying.There are flaws in the movie such as the drastic change in tones between the lighthearted events with the kids to the pretty dark and violent scenes with the monster, and the movie ends a little bit too soon, but this is all negligible because the movie is so entertaining, moving, and heartfelt.http://evsmoviezone.wordpress.com/2011/06/12/review-super-8/",7.0,Anonymous,Mystery
