title,content,rating,username,genres
Comedy Special,"Maybe back then you couldn't tell what would become of Jonah Hill eventually (an Oscar nominated actor, playing with/against Brad Pitt and Leonardo DiCaprio) ... actually if you told anyone back then this would happen, they'd have written that in the script, because it would have sounded hilarious.Speaking of hilarious: That's something that can be said about this movie. Of course many will start comparing this with American Pie, Porkys and what not. But the movie stands on its own two feet and has been copied a lot itself. Never to that success and never as good as ""Superbad"" obviously. If you like your teen comedies to be raunchy and dirty, this is exactly your cup of tea. After watching this, you might also be McLovin (this) ... no relation to any Fast Food chain by the way ...",9.0,Anonymous,Comedy
Hilarious Jonah Hill and the nerdy Michael Cera,"Seth (Jonah Hill) and Evan (Michael Cera) are high school best friends and nerdy outsiders. It's almost the end of high school, and they're going their separate ways. Their weird friend Fogell (Christopher Mintz-Plasse) claims to be getting a fake ID. Seth is hot for friendly Jules (Emma Stone). When Jules invites Seth to her party, he volunteers to buy the booze. He's counting on Fogell to get the alcohol, but his fake ID name says McLOVIN.I love the friendship between Jonah Hill and Michael Cera. Jonah is the break out star. He is hilariously loud. And McLOVIN will forever live on. For these and so much more, this movie is crazy funny.The only problem is that Officer Slater (Bill Hader) and Officer Michaels (Seth Rogen) are way too silly. They're drawing focus away from the kids. It's a mistake. The movie is about the kids. They should be the ones doing stupid things. They should be the ones having the hilarities. The cops should be more straight. That way it would be more relatable, and much more funny.",8.0,Anonymous,Comedy
Mclovin,I like the bit where the cops get drunk and do silly things,10.0,Anonymous,Comedy
The Last Great American Comedy Film,"The Good:In the spirit of a horny teenage boy awkwardly confessing his love to his crush of forever, I'm just going to list everything I love about this comedy classic.The ambiguous time period. Superbad looks, sounds, and feels like the 1970s (hence the title), with warm browns and oranges, a grainy ""shot-on-film"" feel, and a killer funk inspired soundtrack. Yet, it's clearly a movie set in the 2000s, with the cellphones, and the PS2s and the cars in the background. It's almost as if the movie is sub-communicating how timeless it would eventually become. Which, whether intentional or not, is telling as to how brilliant this raunchy, vulgar comedy truly is.Jonah Hill and Michael Cera's chemistry in this film is UNREAL. They sound, act, and feel like actual friends and the reality that they've never done another movie together sort of propels their dynamic in this film to LEGENDARY status. There's nothing to compare them to really; they are one of cinema's all time duos in this one, perfectly balancing off one another.It calls back to another amazing aspect of this film; how realistic the teenagers look and act in this film. Clearly everyone is in their mid 20s, but most of the teens look like seniors on the cusp of graduation. More than that, they ACT realistically. One thing American high school films always get wrong is the ""clique."" They're really not as rigid as films and TV portray; people frequently talk to, hang out with, and befriend people outside of their clique on a regular basis. Superbad nails how high school isn't a straightforward tribal hierarchy. It's a web of relationships.I know that sounds like a weird thing to praise this movie for, but it all culminates in one of the best party montages I've seen put to film. It's super satisfying not just to see our heroes finally get to the Promised Land, but for it to be a party filled with generally realistic people. It harkens back to parties I went to back in the day; maybe that's why this movie speaks to me so much.Speaking of realism, this film managed to impact pop culture going forward with the inclusion of the iconic Christopher Mintz-Plasse as McLovin. It's kind of appropriate he came and went; I'd be surprised if he could ever top this role, to be honest. A testament to exceptional casting throughout this film, there's no one else I could imagine possibly being McLovin than this dude.What else can I say? The writing is basically perfect, with so many jokes crammed into this that you can watch it dozens of times and still find new things to laugh at. The performances are top notch from absolutely everyone, whether they're minor characters or romantic interests. The movie's real message about friendship and growing up is unbelievably heart warming.AND THAT ENDING. Would anyone have expected a movie about two horny teenage boys trying to deliver alcohol to a party for the express purposes of getting laid to end like this? For it to tug at your heart strings and wish there was another movie right after? I don't think so.Bad: It's Super.The Ugly: I'm going to say it. Superbad is probably the last great American comedy film. There have been good comedies since, for sure, but do any of them even come close to Superbad? It'll be 15 years in 2022 since this movie came out, and honestly, it hasn't been topped. All hail the baddest of them all.",10.0,Anonymous,Comedy
Impressive,"Normally I don't like this kind of film about teenagers trying to act like adults, but this film really works. It is funny, it has brotherhood, friendship and romance all in one. It is impolite at times but it is not over the top. It doesn't feel annoying or stupid either, which is actually quite impressive.",,Anonymous,Comedy
Holy Crap This Movie Was Amazing!!!!,"Okay, so today i went to an advanced screening of this movie. It was really last minute and I didn't know much about it other than it was from the makers of The 40-Year-Old Virgin and Knocked Up and it looked pretty funny.I expected it to be funny, but my expectations were blown out of the water. It was extremely smart and pretty much believable. Well, some of the situations are a little ridiculous, but what's a good comedy without a little nonsense? But the characters were all so awesome.There were a few parts where i was a little uncomfortable. There are some pretty explicit drawings in it so you might not want to see it with younger siblings or parents. But I'm telling you, this movie was super funny.",7.0,Anonymous,Comedy
Incredibly funny comedy,"Superbad is an incredibly funny comedy that's heartwarming, hilarious and shocking. Jonah Hill and Michael Cera are incredible and have amazing chemistry. Christopher Mintz-Plasse and Emma Stone are great. Seth Rogen and Bill Harder are perfect, consistently hilarious throughout but unfortunately steal every scene even when they're not supposed to. Greg Mottola's direction is great, it's well filmed and well paced. The music by Lyle Workman and the soundtrack are both really good.",9.0,Anonymous,Comedy
Supergood,"Coming of age films typically come through rose tinted glasses of the teenage years in modern America. Superbad holds back no punches and embraces the awkward, cringey phases that everyone goes through as they try to fit in. The cast excel at their roles and each actor makes the story feel more fun and exciting. Everyone works so well off of each other and that makes their jokes land harder almost every time. With so many iconic jokes and quotable lines, this film buries itself in your brain and checks in for life. Though the edgy, teenage humor has been done thousands of times since 2007, Superbad still feels fresh and still captures laughs and relatability from new and repeat viewers.",7.0,Anonymous,Comedy
"""Super Bad"" is very funny, but had the potential to be a great movie too","""Super Bad"" is great until the moment the two policemen appears, from that scene it stop being clever to become just a funny movie that is only looking for the easy laugh (like most of the comedies we are used to watch), that is not a bad thing, I like that kind of comedy too, but the problem is that ""Super Bad"" promised much more of what it finally delivers, it could been the best teen boys comedy movie ever, which dealt with the boys interest in the opposite sex. I think this movie deserves an average of 6.8 stars.The star of the film is Jonah Hill who is very good as the smart ass Seth (who is very funny making jokes and comments), on the other hand I didn't like the character Evan, this character is so annoying (he could haven been made not so naive). Christopher Mintz-Plasse was great playing the Fogell character, I enjoyed every moment he was on screen because he is very funny in a rare way like mr bean.The plot is about two best friends Seth and Evan with a secondary character Fogell who have their last chance to lose their virginity at a party before going to the university. They will have to face problems taking a lot of beer to the party in order to have sex with pretty girls.I recommend watching it because is very funny, despite the two policemen characters who are funny too but the didn't belong to this film. Enjoy it.",6.0,Anonymous,Comedy
Supergood Millennials Coming of Age Film,"A lot can happen in 24 hours when two best-buddy co-dependent outlier H/S Seniors get an invite to the ""big party"". Teaming up with a third-wheel friend getting his fake ID with just one name ""McLovin"" starts the ball rolling down a steep slippery slope of chaotic comic events, and rapidly turns into a day and night that will forever be ingrained in their memories.One of the best coming of age films of the 2000s, the awkward moments are played with deft skill by Cera, Hill (one of his best performances that opened many doors for him in future films) and Mintz-Plasse (steals the show), with the screenplay co-written by Seth Rogan. A must see film for teens and older.On my IMDb list of the ""Top 25 All-Time Best ""Buddy Films"" list.",8.0,Anonymous,Comedy
