title,content,rating,username,genres
Tim Burton Claims Sweeney As His Own!,"As a fan of the original stage version of this grimly Gothic tale, going into Sweeney Todd was bittersweet in my hopes and expectations. However, I'm pleased to announce that I did find Burton's latest effort impressive and intentional. Fans of the original won't be disappointed with a top-notch cast and the wonderfully dark overtures that haunt every minute of Sweeney Todd. Tim Burton, one of the masters of ambiance, sets his atmosphere in the grisly streets of a depressed London and his artistry punctures through every scene of screen time. I would have to clarify that, while Johnny Depp is a skilled actor, fans of the original will find it hard to believe that Depp has the ability to transform into the George Hearn ""Sweeny"" we've come to know. This is in fact true and recognized by Burton. In this respect, the character of Depp is not played as the same manner as the deep-voiced, towering Todd from the musical adaptation. Depp's is more of a less boisterous and thoughtful one. The vocal performances are great but have a different approach and feel to them. It was a refreshing adaptation and I feel a triumph on the part of Burton for making a stage-to-screen experience that captures you from it's bloody introduction.",8.0,Anonymous,Horror
The Butcher of Broadway,"After fifteen years in the Australian pokey, barber Johnny Depp (as Benjamin Barker) returns to his nineteenth century Fleet Street, London flat and assumes the name ""Sweeney Todd"". Wrongly imprisoned, Mr. Depp is in a vengeful mood. He learns his wife has poisoned herself, and left teenage daughter Jayne Wisener (as Johanna) in the clutches of lusty Alan Rickman (as Judge Turpin) and Timothy Spall (as Beadle Bamford). Depp's sailing companion, young Jamie Campbell Bower (as Anthony Hope) hears Ms. Wisener singing, and falls in love at first listen. And, she is similarly smitten.Meanwhile, acting like ""Aladdin Sane"", Depp showers himself with the blood of throat-slit victims. His new co-dependent companion, dark-eyed Helena Bonham Carter (as Nellie Lovett), sells meat pies made with the human carcasses Depp provides. ""And baby makes three"" when Depp and Ms. Bonham Carter ""adopt"" gin-swigging young teenager Edward ""Ed"" Sanders (as Tobias ""Toby"" Ragg), after making tasty mince meat out of his swarthy guardian, Sacha Baron Cohen (as Adolfo Pirelli).Subtitled ""The Demon Barber of Fleet Street"", director Tim Burton's ""Sweeny Todd"" is more horror opera than Broadway musical. The promotional material says it ""has been hailed as a masterpiece by critics and audiences everywhere."" Now, that's going too far, in this case - but, you know Burton and Depp are going to be attached to something visually arresting, and is certainly so. There is, at least, masterpiece-caliber work from the likes of Colleen Atwood, Dante Ferretti, Francesca Lo Schiavo, and Dariusz Wolski, who will hopefully continue to be seen among the outstanding Burton/Depp crews.******* Sweeney Todd (12/3/07) Tim Burton ~ Johnny Depp, Helena Bonham Carter, Jamie Campbell Bower, Ed Sanders",7.0,Anonymous,Horror
Sublime,"As it happens more often than not, greatness is relegated to some obscure angle. In a year of brilliant opuses by the Cohen Brothers and PT Anderson, this Tim Burton film shines as the best from every angle. It's not just that Burton creates another superb, dark universe with Dante Ferretti's complicity or that Johnnt Deep breaks new ground, or that Helena Bonham Carter surprises us with a complex, marvelous realistic parody. The film touches visually a very private cord. Ed Wood managed that but Tim Burton with ""Sweeny Todd"" elevates it to the purest form of art. He will be punished for that, as Ed Wood was in its day. Disappointing grosses in a world that worship grosses will make it appear as a sort of a failure. My advise to you is run to see it wherever you can find it. Try to see it in a big screen with great sound. You will fly and dream and be taken away by the masterful hands of Tim Burton and the glorious faces of Johnny Depp and Helena Bonham Carter.",10.0,Anonymous,Horror
Gloriously Dark,"Tim Burton has gone beyond himself and anything he has ever done. ""Sweeney Todd"" is stunningly beautiful. Dark? yes, bloody? sure! but then we're in Victorian London where everything is what it appears to be no matter how turgid. The meeting of Mr Todd and Mrs Lovett is so scrumptiously conceived that I'm sure will be one of those film moments that are used whenever ""great film moments"" are compiled. Johnny Depp will never cease to amaze me. He is not just the beautiful boy with soulful eyes, but a great actor. How extraordinary that two talents like Burton and Depp should meet at the perfect moment in time. How lucky for us! Mrs Lovett is played by another extraordinary actor: Helena Bonham Carter. She is spectacular! Sacha Baron Cohen, Alan Rickman and in particular Timothy Spall add to the perfection of this film. Dante Ferreti, the production designer and Coleen Attwood, the costume designer, deserve all the kudos they are getting and will get. Glorious!",10.0,Anonymous,Horror
Johnny Depp's greatest movie!!,"""Sweeney Todd: The Demon Barber of Fleet Street"" is one of the best musical films ever made and probably the last truly excellent Tim Burton effort in directing. It's a romantic and enthralling vision of the dark perspective about life and death for the poor people controled by the privileged, cruel and envious society. It finds a inspired Johnny Depp in probably his best performance of this century. Helena Bonham Carter, Alan Rickman and Timothy Spall compelte this luxury cast, which is one of the most talented one assembled in a musical!",,Anonymous,Horror
If Disney were Emo,"I enjoy watching Depp as he has honed playing disturbed characters at the level of Christopher Walken ,Jack Nicholson, or even Kinski. I enjoyed the dark humour and the murders were quite graphic although the first doesn't happen till nearly an hour in. The story of a wrongfully imprisoned barber set on revenge of the judge who sent him away hatches a devilish plan with a meat our baker. I enjoy thrillers and this film did deliver in that genre. However I have never seen a musical before and likely never will again. For me it didn't quite work and as a result had to give it a slightly lower rating. 3/5.",7.0,Anonymous,Horror
Johnny and Tim forever,"What an extraordinary treat this bloody dirty tale of vengeance and gore is. The exquisite way Tim Burton presents it to us makes it so. Stephen Sondheim's stage masterpiece becomes a film masterpiece of unequaled stature. Everything about it reeks of genius of magic. Once again, Johnny Depp fills, Burton's macabre universe with overwhelming humanity. He can slash as many throats as he wants if we look into Johnny's eyes we see the struggle, the human winning in despair. I know I'm not making too much sense but I just want to urge you, if you love cinema, to rush and see it as God intended, on a big screen and Dolby surround sound.",10.0,Anonymous,Horror
Attend the tale,"""Sweeney Todd: The Demon Barber of Fleet Street,"" directed by Tim Burton and starring Johnny Depp and Helena Bonham Carter, is based on the Stephen Sondheim musical from the 1970s. I remember sitting stage right, down front, in the theater when I saw this musical with Angela Lansbury and Len Cariou and being completely, utterly blown away. As a stage show, it was jaw-dropping, with some of Sondheim's most beautiful music: ""Johanna"" is perhaps my favorite of all Sondheim's songs, but the score also includes the beautiful ""Not While I'm Around"" and ""Pretty Women.""Seeing the film is a different experience from seeing the musical. Burton does a marvelous with it, blending the macabre grand guignol with the cartoonish and also with reality, overall giving the movie a really murky atmosphere. ""By the Sea"" was, for me, pure Burton. Depp, Carter, Rickman, Ed Sanders, Jamie Bower, etc., are all excellent, Sacha Baron Cohen does a great turn as Pirelli. Sweeney can be a great singer, as he usually is on stage, but he really doesn't have to be, and Depp and Carter match well. The singers need to be Joanna, Anthony, the judge, and Toby if at all possible. They all sing very well in the film, and the orchestrations are fantastic, ""Johanna"" and ""Pretty Women"" being the highlights.The ""gore"" looked fake so it wouldn't be too off-putting; it off-put me anyway. More than that, the entire story is sickening - somehow the distance between the audience and the stage makes it more palatable. Plus, the original show has a much lighter touch and, in the character of Mrs. Lovett, a good deal of humor. Burton plays the story much darker. I literally gagged a few times. I would have been better off just listening to the soundtrack.In the end - not my thing, but this extravagant musical may surely be yours.",7.0,Anonymous,Horror
A refreshing and brilliant film,"Contrary to the many comments I have read and heard about the film thus far, I thought it was absolutely wonderful. After what some could term a ""dry spell"" for Tim Burton, it is such a breath of fresh air to see this new offering, Sweeney Todd. The movie showed Tim returning to his roots of the dark, the sinister, and the macabre. All were blended together in the setting he is so very well-known for, the dark streets of London.In addition, I thought the fact that he maintained the musical aspect of the film/play worked in the movie's favor. I know Johnny Depp has said that he can't sing, but he sang rather well if you ask me. Keeping the cockney accent, whether singing or not, it made the film that much better. While I was surprised to see Danny Elfman not included in this movie, I believe the music was performed and carried out beautifully, nonetheless. Indeed, the accents can at times make it hard to discern what is being said, but that's not always a bad thing, considering the circumstances. Were they to all of a sudden not speak or sing with their cockney tones, it may provide a problem with consistency. Overall, I loved the movie and have no complaints. A very refreshing return to the realms and themes that Tim Burton is so very amazing at capturing. Top notch!",10.0,Anonymous,Horror
Dark Humor Done Right,"Despite the grim expectations from the story synopsis, the film delivers gore in a surprisingly tasteful way. There are no screaming teenagers running from a lunatic; instead we get a somewhat British blend of satire, slapstick and just ""wrong"" humor. Although I'm not much of a Johnny Depp fan, I enjoyed his performance as well as Helena Bonham Carter's. Even the portrayal of the common clients was stunning.Despite being generally familiar with the story, I fell into some traps expecting specific twists, yet something different (and better) being delivered. This is a model of how to do dark humor that filmmakers should and probably will follow. It is most refreshing. Don't read the story and don't read any spoilers until you've seen it.",9.0,Anonymous,Horror
