title,content,rating,username,genres
"Familiar tale told freshly, with appealing cast","We've sorta been down this road before: 1960s pop band makes it out of their dead-end hometown for Hollywood, but fame and fortune unravel the fun. Still, this picture has remarkable focus, careful period detail, and a lovely cast that rarely (if ever) strikes a false note. If some of the young actors sometimes seem like they're doing Tom Hanks impersonations, that's okay because director Hanks (himself a co-star) seems to know these characters inside and out--and he likes them. We in the audience are quick to respond, and even the conventional parts of the movie work because Hanks rides over clichés with verve and enthusiasm and wit. Not a raucous comedy a la ""I Wanna Hold Your Hand"" (which is what it looked like to me in the ads), this has its share of subtle moments. There is a mean-spirited dig at the Frankie & Annette ""Beach Party"" flicks, and the ready-made romance at the end is sugar-coated, but ""That Thing You Do!"" is immensely likable. It has a huge heart. *** from ****",7.0,Anonymous,Music
"sweet, nostalgic story of a rock band","My guess is that Tom Hanks is a really nice guy. He certainly seems like it when he's interviewed, and since he wrote and directed this movie, and it's really nice, too, that seems to be more evidence.This is a very small movie. It has no pretensions, but just tells a simple story about a small-town band that makes good. It paints a nostalgic picture of the 60's -- I grew up in a small town during that time, and life wasn't so idyllic in my town -- but it isn't trying for gritty realism. The cast is attractive and more than adequate (some are quite good, including Hanks as the band's manager), and the story is observant enough to be an enjoyable confection. It's very nice family movie (my kids liked it, and so did I).",8.0,Anonymous,Music
A great little film with cult movie ambitions,"""That Thing You Do!"" is a perfect film about a group of guys in the mid-1960's inspired by Thelonius Monk-type jazz and Beatles-esque pop music. With one hit single, they are catapulted to clean-shaven, teen idol stardom. The band ""The Wonders"" could easily have been the 60's pop group ""The Turtles"" or ""The Beau Brummels."" The film's plot is fairly simple, yet it doesn't veer off into the typical VH1 Behind The Music avenue of excessive sex and drugs. Matter of fact, they aren't even mentioned. Written, directed and starring Tom Hanks, ""That Thing You Do!"" is honest and easily palitable for younger audiences. It rarely strays away from its theme: The climax and downward slope of musical fame. Viewers can also appreciate several 60's pop culture bones, thrown by Hanks himself to a nostalgic audience of youngsters such as myself. Plot occassionally gives way to hype and music, but that's okay. I was sort of looking for that. I really appreciated the ""The Wonders"" drummer relationship to ""Dell Paxton,"" a jazz musician that's obviously a Thelonius Monk reference. Check them out jamming together during the third act of the film. Now THAT'S what I call truly remarkable music. The song ""that thing you do"" could easily have been a number one single in 1965. It's a simple, hook-laden piece of popcorn that's catchy on a near paranormal level. It was written by members of the modern pop/rock group ""Fountains of Wayne."" One can only wish for more music such as this today. There's enough innocence in it to guarentee parents' wide-eyed approval ... and just a bit of angst to attract the attention of hormone-raging teenagers the world over. Definetly an excellent movie for your shelf ... right next to your DVD copies of ""A Hard Day's Night"" and ""The Beatles Anthology."" Also ... check out ""The Beau Brummels."" Rhino Records has issued a great best-of package. One has to wonder if Tom Hanks had them in mind while writing the script. They had a few hits, though none will be as remembered as the poppy ""Laugh, Laugh."" A true gem from 1960's rock 'n roll.",,Anonymous,Music
Still humming that title track.,"In the mid-1990s, Tom Hanks was on the top of the world. He had just won two Oscars in a row and starred in the innovative phenomenon Toy Story. Frankly, he could do just about anything he wanted. So he went ahead and made his directorial feature film debut, a love letter to an adored era, the explosion of pop music in the 1960s. That Thing You Do is a pretty routine but charming flick like an alternate Beatles fame tale. However, the story takes a pretty straight trajectory. It rises, rises, rises, keeps rises without much interruption, then there's the fall, then soft landing then credits. It suffers from lack of meaningful conflict, instead just showing the cracks til the inevitable explosion within the band. It's okay for mild entertainment, just a little bland. Wish he chose a better lead than someone who just looks like him. Steve Zahn is the only zany highlight who livens the picture up. But it all hinges onto its title song, which is very catchy, if quite 90s. The disappointing thing about the film is it doesn't explore the joy of discovery in this early pop music. Instead, kids just nod when things feel right. It needed much more energy and confidence, but it's a generally inoffensive film.6/10",6.0,Anonymous,Music
Meet The Oh-NEED-ers!,"Tom Hanks wrote and directed this paean to the glory days of rock n' roll, an era in which even the wildest music still reflected a certain innocence, long since gone if not forgotten, before the advent of Metal, Rap and Grunge.  It's 1964, and `That Thing You Do!' is about to become a hit record for a small band out of Erie, Pa., who call themselves the `Oneders (pronounced Wonders),' but who are destined to begin their musical odyssey know as the `Oh-NEED-ers.'  Drummer Guy Patterson (Tom Everett Scott) works in his father's appliance store, but when the band's drummer breaks his arm right before a gig, Guy is asked to sit in for him.  And it winds up being a case of being in the right place at the right time for Guy, like when Ringo joined The Beatles, and the rest-- as they say-- is history.It's a lively, upbeat tale in which luck, talent and chance all play a part.  Hanks presents the upside of making it in the music business, including the adrenaline rush of hearing one's own song on the radio for the first time, as well as all the hoopla that surrounds those who happen to be in the spotlight at the moment.  But he also shows the downside:  The creative differences and in-fighting which plagues just about any band ever formed to some degree at one time or another, the personality conflicts and petty jealousies that are apt to surface at any time, and the reality of dealing with bloated egos, adoring fans and rude, insensitive record label executives who could care less about the talent that is putting the coins in their coffers, as long as they're selling records.For the most part, Hanks keeps it lighthearted and cheerful, which-- along with the original songs (some of which he helped write)-- makes this an entertaining, fun and thoroughly enjoyable movie.  He sugar-coats the dark side of it all to a certain extent, which makes the bad things that happen a bit easier to swallow, though it compromises the impact of the events somewhat as they unfold.  Then again, he manages to maintain the credibility and integrity of his story, and after all, `this' is the film he wanted to make, and he presents it exactly as intended.  Hanks captures a sense of time and place with this film, and also that same sense of reality conveyed by The Beatles' film, `A Hard Day's Night,' intentionally avoiding the more stoic reality of the more recent `Almost Famous.'  All three films are fairly true to life, but with varying degrees of honesty.  It's a matter of whether to `imply,' as Hanks has done, or to be explicit, as Cameron Crowe chose to do with his film.With this film Hanks proves that he is equally as adept behind the camera as he is in front of it; he knows exactly where he wants to take his audience and when, and he does it quite successfully.  He also extracts some nice performances from his actors, especially Scott, Johnathon Schaech (Jimmy, the lead singer), Steve Zahn (Lenny, on guitar) and Liv Tyler as Faye Dolan, Jimmy's girlfriend, who takes the brunt of the blunt edge of Jimmy's sudden notoriety.  Hanks also turns in a notable performance himself, as Mr. White, the representative of one of the labels interested in the Oneders.The supporting cast includes Ethan Embry (The Bass Player), Charlize Theron (Tina), Obba Babatunde (Lamarr), Giovanni Ribisi (Chad), Chris Ellis (Phil), Alex Rocco (Sol), Bill Cobbs (Del Paxton), Peter Scolari (Tony), Rita Wilson (Marguerite), Chris Isaak (Uncle Bob) and Kevin Pollak (Boss Koss).  What `Happy Days' was to television, `That Thing You Do!' is to movies; a film that evokes that perceived sense of  innocence of a time when life at least seemed simpler.  For the more distance you put between the present and the `Good old days,' the better they get.  In reality, they may not have been better, but Hanks preserves that illusion by giving us a picture of the way we'd at least like to think things were.  And it's more than a pleasant diversion; this is a feel-good film you'll be able to enjoy time and again, because it takes you to a place you'd like to be-- a place you've been to before at one time or another, in one way or another, if only in your mind. And that Hanks can take you there so readily is not only a credit to his talent, but another fine example of the pure magic of the movies.  I rate this one 9/10.",9.0,Anonymous,Music
How to Build a Pop Sensation in Sixty Days or Less,"A ride through the music-making machine with a wholesome, mid-sixties one-hit-wonder. For years I thought I'd hate it, based on trailers and tone alone, but was pleasantly surprised. The film's got some issues, no doubt - especially the horribly tacked-on, telegraphed romantic ending - but it's got a lot of soul and I actually started to like the little tribe of stereotypes as we spent more time together. The theme song is appropriately catchy, too, without being grating like a lot of the era's pop records. Which is important, because it plays no less than once every ten minutes. There's good stuff here, with a nice leading performance from (who?) Tom Everett Scott as the band's hip, friendly drummer, but it's also clearly a learning project for writer / director / supporting actor Tom Hanks. Could've been much better with a bit of a trim and a wilder fire burning behind the lens.",7.0,Anonymous,Music
A Refreshing Throwback,"I remember when I first saw this in the '90s and thinking, ""Wow, what a shock: a modern-day movie with no no villains, no nasty people and nary a cuss word."" I kept waiting for that stuff, and it never appeared. It also has a nice sentimental ending.The story is a simple one about a group of average guys who form a band and become one-hit wonders.Tom Everett Scott, a young Tom Hanks-lookalike, is an appealing lead and Liv Tyler looks very, very pretty in the female lead role. The band in this almost-old-fashioned musical, is good to hear, too. They are a throwback to the old movie musical days of Mickey Rooney and Judy Garland. Yes, you hear the same song (the movie title) over and over but's a great song which is very catchy. The rest of the music is decent, too.Speaking of Hanks, he plays the promoter of the group. It's not a huge part but Hanks, as always, is entertaining. The whole film is, and, is refreshing to see.",9.0,Anonymous,Music
Catchy Tune Propels The Film,"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager (Tom Hanks).There is nothing really new here. A cast of fresh-faced kids (and a young Liv Tyler), rising up in stardom, and stumbling along the way. We all know what happens if we let fame get to our heads and we leave our friends behind.What makes this film stand out is the catchy tune. Even though they play it a dozen times throughout the film, it never really gets old. Had the song been not as good, the film would drag and certainly would not having the staying power it does. (Not unlike ""Eddie and the Cruisers"", which is very much anchored by its ""Dark Side"" song.)",7.0,Anonymous,Music
A very good movie to say the least.,"First things first, i have to hand it to Tom Hanks. The man can direct and act. ""That Thing You Do"" is a movie with no antagonist, no good guys and yet it's a great movie. It follows the story of the Wonders, a band Eerie, Pennsylvania who make it big with their hit single, ""That Thing You Do!"" They are then picked up by a major record company and are headed off on tour. The rest of the film follows the relationships that blossom and wilt within the band as they climb the ladder of success.This is a sweet and innocent movie with no other intentions than to tell a story. Which in my opinion is the way a movie should be done. ""That Thing You Do"" gets an A.",10.0,Anonymous,Music
Tom Hank's childhood dream,"Follows a band as they rise from the garage to the charts. With a obvious young Tom Hanks look alike in the starring role. A fun family friendly ride through the music world of the US. With the generic conflicts taking place, in a homage to the Beatles. Tom Hanks has the smaller role of the wise businessman pulling the strings. A fun adventure full of clueless youths and the two Tom Hanks.",5.0,Anonymous,Music
