title,content,rating,username,genres
What an interesting thriller,"There's no reason why The Adjustment Bureau isn't included in the top ""fate flicks"", like Inception, Interstellar, Eternal Sunshine of the Spotless Mind, Unbreakable, and Minority Report. It's really good! I went with my family to the theaters to see it when it was released, and we were all on the edge of our seats. Except my mom, who was jealously eyeing Emily Blunt because she knew my dad had a crush on her.Basically, if you like the Bourne Identity movies, you'll love this one. Matt Damon stars in another thriller about fate and total strangers knowing more about his life than he does, but I liked this better than the more famous trilogy. I'm not the biggest Damon fan, but I was so engrossed in George Nolfi's screenplay, the lead actor could have been played by anyone and I would have liked it. He starts the movie as a senatorial candidate, but a chance encounter with a beautiful interpretive dancer (Emily Blunt) rocks his world. He sees her again and they start dating, and pretty soon they fall in love. But one night, he gets kidnapped and taken to a mysterious warehouse by the ""bad guys"".Are they really the bad guys, though? They're the titular bureau, led by Terence Stamp, in charge of making sure everyone stays on his or her path. When people deviate from their predestined path, they ""adjust"" things so life goes back on track. Depending on your point of view, Damon is the pot-stirring villain and Stamp is the hero who sees the bigger picture - which is why this movie is so enjoyable. You can root for anyone you want to, and it can spark any number of conversations afterwards with your friends. You'll also see lots of familiar faces, like John Slattery, Michael Kelly, Jennifer Ehle, and Anthony Mackie, as well as New Yorkers giving cameos, like Jon Stewart, James Carville, Chuck Scarborough, Michael Bloomberg, Terry McAullife, Jesse Jackson, and Madeleine Albright. Check it out!",7.0,Anonymous,Romance
Fighting for fate,"The fascinating premise, that there are some talented actors on board and the generally positive word of mouth were my reasons for seeing 'The Adjustment Bureau'. Seeing it, there are no regrets watching it but at the same time it was a little frustrating. It is an interesting and decent film, but had real potential to be a great one and could have been much more.Matt Damon is a charismatic presence and commands the film with ease without ever trying too hard. Emily Blunt has a genuine winning charm as one often finds with Blunt, her character is not quite as interesting as Damon's but Blunt makes it work. The two have great chemistry together, it really sparkles. In fact it is the romance that comes off the best and most consistently, being where 'The Adjustment Bureau' really comes alive. Anthony Mackie is suitably mysterious while also quite likable in the film's latter stages.John Slattery really looks the part and has a lot of fun in a suitably shady role while Terence Stamp brings some sinister dignity and authority to a rather severely underwritten character that appears in the film too late somewhat. On the acting front, 'The Adjustment Bureau' is very good.As it is too with the way it's made, suitably gritty and slick with some inventive moments and an audacious style. The locations are chosen well and used cleverly. The music score has a good mix of understatement and thrilling pulsation. The first half has a lot of very interesting and smart ideas that leaves one gripped enough to carry on and see further how it goes and there is a good deal of fun and a few suspenseful jolts to be had.For all those great things, 'The Adjustment Bureau' would have been an even better film if it had done more with the premise. The romance is the most well done and memorable element of it and the rest doesn't live up. It's intriguing and entertaining, but the second half suffers from playing it too safe and having too many ideas needing to be tied up, meaning that potentially great ideas are not fully expanded upon (even the whole basic premise doesn't feel fully cooked).Pacing does get stodgy, as a result of the lack of risk-taking and struggles with keeping things probable and consistent. Despite the conflict being well performed the threat feels lacking because it is handled in a way that's under-cooked and somewhat repetitive which dilutes the suspense quite badly. The more under-explored 'The Adjustment Bureau' gets, the more confusing, tonally muddled and far-fetched it gets too. This is especially true with the ending, which to me is down there with the decade's ""what the heck"" film endings.Overall, has a lot to recommend but there was a lot more to the film that never fully emerged. 6/10 Bethany Cox",6.0,Anonymous,Romance
very interesting!,"This movie has been a very good experience for me.
I found the story extremelly interesting and intelligent.I enjoyed every second, cause there was a lot of action, mystery (in the nice way of it), romance, humor, and at the same time the story made you think deeper about life it self. About getting out of your little every day life and try to see the ""greater picture"". How ready and capable is any of us ""every day people"" to make a change, to believe, to dare, to even actual think ""differently"" in any part of our lives...",8.0,Anonymous,Romance
Intelligence mixed with big-budget Hollywood action to form the new science fiction romance genre,"I'm starting to like this new genre of science fiction romance that ""The Adjustment Bureau"" falls into. Hollywood seems to have learned how to add a significant amount thought to their films, just with their usual dumbing-down procedures.David (Matt Damon) has met Elise (Emily Blunt) and based on one spontaneous kiss and one flirtatious encounter, he's determined that she's the one he's supposed to be with. They have other plans. Oh yes, the indefinable, ambiguous pronoun ""they"". Just to keep a sense of the intrigue afloat, I'll define ""they"" as the men of ""The Adjustment Bureau"". What they want, we don't really know. But David wants the girl—a beautiful girl—but just a girl nonetheless.For us, questions of free will, fate, soul mates, success and pre-defined destinies abound. All running around an intricate maze of New York architecture. Although intricate might not be the best word because there's nothing here for us to figure out; the film lays everything out well in advance, and over and over again in case you missed it. At least there's intelligence to the story but unfortunately no subtlety.""The Adjustment Bureau"" has pretty city-scapes and pretty people playing more profound characters than pretty people usually play. As with most genre-mixing films, there is something for everybody. I got the intelligence that is usually sorely missing from big-budget Hollywood action films although I could have done with a bit more respect.",7.0,Anonymous,Romance
An intelligent romantic film with a sci-fi twist,"This film is about a successful politician who has to choose between the woman of his dreams and his career, when he meets a team of messengers who control fate.""The Adjustment Bureau"" is certainly a different romantic film. The plot is an engaging and refreshing mix of romance and science fiction. The thrill and excitement of the science fiction part is well maintained throughout the film, while the romance part melts viewers hearts. Matt Damon and Emily Blunt are so convincing together, making their romance very believable. Once again, Emily Blunt puts on a particularly stellar performance, showing her impressive range of acting skills and on screen charm.""The Adjustment Bureau"" is a good film as it is a refreshing departure from mundane and formulaic romantic comedies. It deserves 100 minutes of your time.",,Anonymous,Romance
Intriguing and Ambiguous Story,"In New York, the prominent politician David Norris (Matt Damon) is disputing the election for the Senate but his past of bad boy makes him lose the election. He meets the stranger Elise Sellas (Emily Blunt) hidden in the Waldorf's toilet and she tells that she had crashed a party and the security guards are chasing her. They start a conversation and they immediately fall in love with each other. However the guards find her and David does not see her again. However she inspires him to make a remarkable speech.One day, David is traveling by bus and he meets Elise again. She gives her phone number to him and David promises to call her. However, strangers wearing hats approach to David and tell that they belong to the Adjustment Bureau and Elise and David must be kept apart. They destroy the piece of paper with her phone number and David is unable to contact Elise. Three years later, David sees Elise walking on the sidewalk. He gets out of the bus to meet her and he learns that she is a dancer. But the strangers use their abilities to keep them apart. What is the reason why David and Elise can not be together?""The Adjustment Bureau"" is a romantic and suspenseful sci-fi based on a short story by Philip K. Dick, the writer of ""Blade Runner"", ""Total Recall"", ""Impostor"", ""Minority Report"", ""Paycheck"", ""A Scanner Darkly"" and ""Next"", among other sci-fi films. The intriguing story is ambiguous; the chemistry between Matt Damon and Emily Blunt is wonderful; and it is always great to see Terence Stamp. My vote is seven.Title (Brazil): ""Os Agentes do Destino"" (""The Agents of Destiny"")Note: On 06 September 2023, I saw this film again.",7.0,Anonymous,Romance
Sparkling chemistry between Damon and Blunt,"Fate, coincidence and free will come at odds with one another in this sci-fi romance re-imagined by George Nolfi from the short story, ""Adjustment Team"", by sci-fi legend Philip K. Dick. Nolfi's plot can go from interesting and intriguing to downright silly at times but the main attraction is not the narrative. It is the pulsating chemistry between lead stars Matt Damon and the sensually beguiling Emily Blunt set in all the famous spots of Manhattan and NYC.Having been to New York City recently, I find the sets nostalgic, and I am defenseless to the charms of Emily Blunt.Young Senate candidate for New York City, David Norris (Damon), is rehearsing his speech in the men's restroom when a beautiful stranger (Blunt, right, with Damon) emerges from one of the stalls and starts chatting with him. Before she leaves - in quite a hurry - they have an impulsive, passionate kiss, and he is smitten. Their next encounter in a city bus has to be by chance - and he learns that her name is Elise. He is determined to call her. To court her...And then David comes across a bunch of Men in Black suits and hats, led by a Mr Richardson (John Slattery), who says bluntly: ""We are the people who make sure things go according to plan."" David's relationship with the free-spirited Elise is NOT part of their plan and he must not see her again - for both his and her own good! The rest of the movie is, of course, the tussle between Love and Fate for David. After being charmed by Elise, a rising star ballerina, we can understand why David is bent on seeing her. We can also understand how their relationship would possibly wreck their careers - and why David would want to take a chance on that. David and Elise seem so perfect for each other that we root for them.It is good that Nolfi has written such a romantic angle into this Dick tale instead of turning it into another action flick like ""Total Recall"", ""Paycheck"" and ""Screamers"". He could have polished up a bit more on the second half to keep it from becoming childish, though. Still, the notion of Fates personified could not be taken too seriously - and it would be better to just go along with the flow of the love story so charmingly portrayed by Damon and Blunt - and supported by a sympathetic Anthony Mackie and menacing Terence Stamp as members of the Adjustment Bureau. Emily Blunt has such captivating eyes that look into your soul and make you weep.",7.0,Anonymous,Romance
A well made and more thoughtful film that you might be expecting,"What if your own free will was nothing of the sort. Every move you made was in accordance with a master plan, any kinks or imperfections ""adjusted"" by persons unknown, constantly on hand to ensure you stayed on track.Many people might assume that their lives are quite the reverse, with all the bad decisions they have made, anything resembling a master plan is unlikely.David Norris (Matt Damon) is a rising New York Congressman with his heart set on becoming a young Senator, everything is going according to plan until he meets the beautiful quirky ballerina, Elise (Emily Blunt) in a mens restroom.Elise inspires him in ways that he could not have imagined but any longer term relationship is not part of the plan the ""Men in Grey"" have mapped out. They do not like their careful plans messed with, ever. Although they do get to wear Trilby's, which not only look cool but are also a necessary tool for their profession.The many scenes between Blunt and Damon are very believable and natural, real chemistry in action and is fun to watch. Blunt is a breath of fresh air in the congressman's driven life, living more in the moment than he possibly ever did before.Just when you think the film will descend into a smorgasbord of special effects, the story goes into the opposite direction. A thoughtful and character driven piece about choices and the ripple effect each path taken, or not taken, has on your own and other peoples lives.Terence Stamp, still with one of the best voices in the business, together with Anthony Mackie & John Slattery, do good work as the agents attempting to get everything back on track.There are some good lines and Damon can play an aspiring politician with ease, no doubt he could be one in real life if he chose to move in that direction.The central question of defining who we are by the choices we make is explored and it is good to see another movie messing with our heads, if only just a little. If we have no free will are we still the people we thought we were, very deep but don't panic, the film does not get too caught up in this existentialism.The action is limited, there are no cars exploding and the body count is non existent, a refreshing change from most modern films. A film that could have been made in the 50's from a story point of view, although actually based on a short story by Phillip K Dick of ""Do Androids dream of electric sheep"" fame, the inspiration for ""Blade Runner"".Production values are good, although not of the highest flight. The costumes worn by the adjustment police are rather dodgy and look like guys with spare motorcycle helmets sprayed black. Not what you would expect in a big budget Hollywood movie, a small point but quite noticeable.Similar to many films of this genre, the movie has to decide how to wrap everything up neatly. The final reel is perhaps a little disappointing but that depends on how you would want the film to end, somehow it feels that the easier option was taken.SummaryA well made and more thoughtful film than you might be expecting.Well acted with a believable romance, a light dusting of Sci-Fi and a great story. ""Inception"" lite perhaps, which is certainly recommendation enough for any film.http://julesmoviereviews.blogspot.com/",8.0,Anonymous,Romance
I am eagerly looking forward to this first-time director's entire career,"""The Adjustment Bureau"" is a first-time piece of directing work by a certain George Nolfi, who before had worked in Hollywood pretty much exclusively as a screenwriter. He also composed the script for this picture and that is half of what impressed me so much. Just looking at the way he choreographed his images, and worked so well with his two stars, despite the occasional lapse here and there expected of somebody making their first feature-length motion picture, I must say I am eagerly looking forward to his entire career. For ""The Adjustment Bureau,"" while not any kind of a masterpiece, is one of the most unexpectedly pleasing and wholeheartedly enjoyable movies of the year.Mr. Nolfi's involvement in the third Jason Bourne movie may have had some input in his getting Matt Damon to take the lead as an ambitious but somewhat dubious New York governor candidate. Through some odd and very charming circumstances, Mr. Damon runs into a bold, pretty young ballet dancer played by the always intoxicating Emily Blunt. Affectionate toward each other at first sight, they slowly fall in love and try to reach each other several times over a period lasting years. But the only thing tearing them apart and stopping them is not a jealous ex, not a terrorist plot, but instead a group of mysterious men in 30s-style jackets and fedoras calling themselves the Adjustment Bureau.The screenplay was based on a Philip K. Dick story called ""The Adjustment Team"" and although the story is completely warped, the purpose of the titular men remains essentially the same. Their purpose, as a character played by very-good actor John Slattery explains, is to control how time plays out. Time and fate is prewritten in what is called 'The Plan' and they work in groups to make sure that things play out according to 'The Plan,' using whatever methods possible to make sure that the rest of the world falls in accordance to it. And as it turns out, the romance between Mr. Damon and Miss Blunt is something that is prohibited in their strategy and the film evolves into a very passionate and exciting story about two people deciding what is more important: to be with who you love, or to do what is better for the world entire.With a plot this extravagant, it is surprising that director Mr. Nolfi did not blunder into an entirely corny yarn. Occasionally, he does falter (some of the scientific lingo gets a little too pseudointellectual for my taste) but as a total, he succeeds in weaving a strong and passionate tale. But that may also return to the surmise that ""The Adjustment Bureau"" is not really a science-fiction tale. Rather, it is a deep romantic thriller that benefits from two sharply-written characters and two very charismatic performances. The movie rides on the romance between Matt Damon and Emily Blunt and you could not ask for better performances. This coming from someone who typically gripes at the 'Love At First Sight' gimmick but became an instant sucker for it here within ten minutes. Mr. Damon, who usually casts himself as tough guys with pasts, takes a chance at playing a softer, more emotional type who does not hurl a fist until the third act and does not instantly become a stuntman. And Miss Blunt does a fabulous job playing a courageous and strong-hearted woman. It's their chemistry and their moments together that really benefit the picture. For right away, I believed in the love brewing between them and it mattered to me whether or not they actually got together at the end. Just looking at these two people together is absolutely charming and even the obligatory love moment between them in bed is performed and shot in such a way that it does not become unnecessarily erotic and doesn't stop the story. Rather, it seems to work, like a piece of a puzzle.That is the definition of a good love story. If you were to take it out and transplant it in some totally different movie, it would still work.The love story is more interesting than the Adjustment Bureau men themselves and that may be one of the weaknesses of the picture. Despite some great performances from John Slattery, Anthony Mackie, and Terence Stamp, and the fact that we see inside of their operations quite a bit, we don't really come to know much about them. In addition, because this is a first-time directing job, some of the shots are imperfect. A moment where Mr. Damon tries to escape from the Bureau men and trips on a rising floor tile is awkward. The shot seems sped-up too fast and his leg hangs in the air for too long.My only real complaint about ""The Adjustment Bureau"" would have to be the much-griped-about ending, which has some religious subtexts that may anger some. Not offended myself, I just felt it, despite that wonderful shot of the two leads - and one of the few times where I liked the shot of the camera whirling 360 degrees around them - was a bit of a cop-out and not entirely satisfying.But my few notifications aside, I must happily repeat that this is one marvelously entertaining and emotionally-gripping little movie. And despite the fact that there have been some better-made pictures this year, few of them are liable to last as long in the memory as it. Sometimes it's better when a picture does not aim for masterpiece-status and it's better for the audience going in with an open mind and not assaulted by a big hype campaign. For then a movie like this becomes even more surprising and delightful. Congratulations all around, especially to Mr. Damon and Miss Blunt for their fabulous performances, and to writer-director George Nolfi, who has made a more-than-impressive first step into the most-cherished profession of directing motion pictures.",7.0,Anonymous,Romance
Think Charade meets The Matrix in 2011,"The Adjustment BureauThink a scripted blending of ""Charade"" (1963) meets ""The Matrix"" (1999), and you have an idea of the plot that is the basis for ""The Adjustment Bureau."" (2011) All three films revolve around romance, suspense and a heightened sense of place. In ""The Adjustment Bureau"" New York City is almost a third character, and spotting cameo appearances by East coast media elites (past and present) is a side game. Humor is also an element of this story, although it sometimes undercuts the power of the suspense and romance that I imagine is the film's intended tone.There are engaging performances to recommend the film, such as those by stars Matt Damon and Emily Blunt; as well as supporting actors Anthony Mackie, John Slattery, and the ever dangerously sexy Terrence Stamp.All the witty repartee between characters, the striking views of New York City, and the driving pulse of the soundtrack make ""The Adjustment Bureau"" an entertaining film, but not so well pulled together that it demands great thought and consideration after the screening is over.",6.0,Anonymous,Romance
