title,content,rating,username,genres
The Amazing Spider-Man 2,"8/10 - I know I am definitely in the minority on this one, but I for one feel that this 2014 sequel is not only not the ""worst Spider-Man movie,"" but actually improves on its predecessor by doubling down on heart, the swoon-worthy chemistry between Garfield and Stone, and jaw-dropping visual effects.",8.0,Anonymous,Sci-Fi
Why the hate?,"I don't get the hate for this movie. Was it the ending? the death scene? green goblin?
TASM1 I can understand that one was bland.Fans just love to nitpick and don't know what they want.Its a sad, fun movie all the way. Like all spiderman movies , shows, comics. Peter is trying to figure stuff out while nothing goes right. He fights crime, gets a big baddy and wins.Same thing happened in this movie, but for a price.",8.0,Anonymous,Sci-Fi
"Better, bigger, more ambitious and emotionally heavier","As the story unfolds, and all conspiracies behind Oscorp unwind, the life of our lovable web-swinger gets more adrenaline full and also more complicated. There is a bit of a sense of DeJa Vu, specially when Peter Parker is trying to balance his personal life and his super hero life. But the aspect in which this movie really shines (like his ancestor) is in the characters, however this time the emotional weight is much more present,and the scale of both the drama and action is much bigger. Andrew and Emma were just as great as in the previous movie, and the chemistry between them is fantastic. Jaime Fox also nailed it as Electro, even thou the character itself was not the best written character, but his performance was so great that i was able to overcome the writing. Dane DeHann was equally great as the Green Goblin, at first i didn't like the idea of Harry being the Green Goblin instead of Norman Osborn, but it was a good choice and it matched perfectly with the plot and tone of the movie.(Also Dane has a knack for playing psychopaths) As to be expected there are plenty CGI scenes but it really didn't bother me because the action sequences were done in a very creative way. The Score, composed by Hans Zimmer,is amazing and somewhat contemporary, so it fits the themes of each character and moment. Overall the movie was much more intense and heavier than the first installment, as our main character deals not only with supernatural challenges but also emotional dilemmas.",,Anonymous,Sci-Fi
Best version of Spiderman till date...,"The original trilogy seemed incomplete but now, that incompleteness is completed by this new one. I love the background story of Spiderman shown in this movie, at least it has got one unlike the original. The story of how Peter Parker ended up with his Uncle and Aunt, the story of why ""Peter Parker"" is the only one who could be Spiderman and no-one else. It all feels complete now. A satisfactory plot for a superhero movie.Talking about the performances, I like the new Peter Parker, humorous and entertainer. I've started to feel the original 'Peter Parker' was actually boring. Really good job by the actors here. And with that SuperVillian : 'Electro', the movie becomes one of the best SuperHero movies. Visual effects are quite good and the movie is perfectly entertaining. For me, this is the best version of Spiderman movie till now. I don't care what the critics have to say, this movie is a good one.",7.0,Anonymous,Sci-Fi
Spider-Man more on his plate than he can handle in this sequel,"I'm an unabashed die hard fan boy for Spider-Man. There I said it. You can call me a homer for anything Spider-Man. I wasn't a happy camper when I heard they were rebooting the films that I fell in love with. The first two Raimi films for me were great. The sequel still holding up today as one of the best superhero movies of all time. The first Amazing Spider-Man was a bit jarring for me. I walked out of the film not knowing what I thought about it. I enjoyed Andrew Garfield's Spider-Man but his Peter Parker didn't click with me. I also had some nit picky things about the film as a whole (Gwen instead of Mary Jane, lackluster villain). But watching the film a few more times I realized that I liked it.I do research on films that I'm excited for. This film came out weeks earlier in the UK and Europe. And the reviews were mixed which was sinking my high hopes. I didn't like the fact that there were three villains (More on that later). But it seemed like they were choosing the right actors for parts and surrounding the film in talent. After much heart and headache reading people thoughts and reviews for me, I'm okay with saying I liked much of this second Spider-Man film.Andrew Garfield is Spider-Man and it seems he's embraced the part much more this time than in the first film. His Spider-Man is having fun being the savior of the city. He's making the quips, the jokes and the all around energy of his Spider-Man feels directly out of the comic book. I am finally sold on his Peter Parker. Director Marc Webb finally lets the smart but dorky Parker shine in a few scenes that are hilarious and engaging.I'm still not an Emma Stone fan but she is a good counter to Garfield's Parker. They have excellent chemistry. You can tell that these may be Webb's favorite scenes to shoot. When they are on screen this huge summer tent pole film because a small drama about two people with a unique love story.The villains, there are three of them but not really. Let me explain. Rhino played basically as a cameo by Paul Giamatti is really only on screen to show Spider-Man in action at the beginning and end of the film. His main adversaries are Jamie Foxx's Electro who starts off as a man who is saved by Spider-Man. He then becomes a obsessed fan only to in perfect comic book fashion have a horrible accident that grants him superpowers. Foxx is okay, I wouldn't say he is awful. He has some good moments and contrary to what has been written I think he only has one cringe worthy line.Dane DeHaan is one of if not my favorite actor working this moment. His method style works so well in many of the films he's in and here it's perfect. His Harry Osborn is less cartoon-y than James Franco's from previous films. He's creepy, spoiled, arrogant but dealt with a lot of adversity. His chemistry with Garfield feels genuine. It doesn't feel forced like it could have been. They are long time friends who have been distant but because of new circumstances are forced back together.The action is fun, fast and so Spider-Man if that means anything. The way they use his spider sense was very cool. I want to see more of that. The small nods to the comic book are fantastic. There are nods here and there to the upcoming sinister six film which doesn't cloud the film. It's just there in the story that this is apart of a large story in the future. I was trying to count the nods to the comic books. The only issues I had with the film was Peter's search for what happen to his father was kind of just there to fill time. Also the great Sally Field as Aunt May got only a few scenes. She was great on screen but mostly wasted.Because this film is dividing fans I think I've pinpointed the problem. I'm a fan of the comic books and this film feel like a few issues of the comic books aka a mini-series. There are multiple stories, with multiple villains and a lot going on. I'm okay with the finally product and eager to see the film again. For Garfield's performance, the chemistry with Stone and the action scenes this film is a fun ride for any fan of the neighborhood web shooter.",7.0,Anonymous,Sci-Fi
Finally!,"This film is getting too much hate by some people and too much love by others (including me), and it seems to be only based on the mental image each group has of spider-man and movie scripts in general.Those who love the soup opera aspects of Peter Park, hated, they missed the character grow, the motives of the villains (arguable) and complained for having too many story lines. On the other hand those who love comic spidey, loved, for all the stupid puns, the charisma and the of course the action. But the main complain is about the script, but understanding as a comic adaptation, it makes sense, the several sub-plots going on between each fight,the preface and Peter Parker/Spider-Man parallels objectives, it makes just like a regular comic (weekly or monthly) and less like a regular movie.But What can I say, I was expecting to see the real (mental image, again) Spider-Man on screen, the costume is really (a lot of emphasis here) beautiful, Andrew Garfield really is in the character, Emma Stone makes an active love interest, Dane DeHaan makes a 'realistic' Green Goblin and Paul Giamatti goes a over-the-top, more related to an usual Spider-Man Villain. The only big flaw is Jamie Foxx getting the spotlight just because Django, the character is lost in the movie, half-way between fun villain and real threat, shame because he is the main villain.Marc Webb got me, I'm gonna be the first in line for: The Amazing Spider-Man 3, Venom-Carnage, Sinister Six, maybe Spider-Woman (not confirmed yet), or any other release of a fun comic adaptation.",7.0,Anonymous,Sci-Fi
"""Let's go catch a spider.""","""Let's go catch a spider.""Marc Webb's first feature film, 500 Days of Summer, was a successful small indie romantic film with a lot of heart. He went from that to the huge production of the Spider-Man franchise which I thought didn't necessarily need a reboot so soon. However the film did work thanks to Andrew Garfield's portrayal of Peter Parker. His natural charisma and confidence translated really well to the character and his sense of humor makes him the perfect candidate to play Spier-Man. I began my review by mentioning that Webb directed 500 Days of Summer because for me the heart and soul of this film is the love story between Gwen and Peter. I can't think of any other superhero film with such a great love story and believable chemistry than this one. Garfield and Emma Stone are incredible together and I loved their scenes. Webb knows a thing or two about young romance and it is the film's strongest asset. The sequel is entertaining and has some great action scenes, but I could've watched this film for the romance alone. The flaws are actually the villains in this film. They don't crowd the film like the trailers led me to believe, but they really don't seem to menacing until we reach the final third act. For a film that runs at 140 minutes it went by really quick and that is always a good sign. Spider-Man 2 might not be as good as this year's Captain America, but it does have its solid moments and clever one-liners. At times the CGI took me out of the film as it looked more like a video game, but there were some interesting shots as we got to follow Spider-Man swing across the New York City landscape. The film works better as a romantic comedy than an actual superhero movie but that was fine with me because it was a really good one. It makes most other recent rom-coms look ridiculous and unbelievable.After a short flashback where we see what happened with Peter's parents, the camera follows Spider-Man (Andrew Garfield) swinging across NYC as he tries to stop a Russian mob criminal, Aleksei Sytsevich (Paul Giamatti), who has stolen something from OsCorp. In the midst of all the action he receives a call from his girlfriend, Gwen (Emma Stone), who is reminding him that he's going to be late for their graduation. Somehow Spider-Man manages to take care of business and arrives in the nick of time to receive his degree as Peter Parker. His Aunt May (Sally Field) is the only family he has left, but she's there for him like she's always been. Peter however has been having visions of Gwen's father reminding him of the promise he made to not date his daughter in order to keep her out of danger. Apparently it has been a conflict they've dealt with over the last few months and Gwen decides it's time for the two to break up. Gwen continues to work at OsCorp which is now managed by Norman's son, Harry (Dane DeHaan), after his passing. Harry seems to suffer from the same degenerative disease of his father and wants to continue researching for a cure in OsCorp. Peter is glad to see his childhood friend back, but when he realizes what he's up to things get complicated. When an employee from OsCorp suffers a freak accident he becomes Electro (Jamie Foxx), a dangerous foe for Spider-Man and the city.The Amazing Spider-Man has some flaws but it still entertains thanks to the great chemistry between Stone and Garfield. They are perfect together. DeHaan is also great as Harry and he does look like a believable threat for Spider-Man. I had a problem with Foxx's clumsy performance as Max but once he becomes Electro he does look menacing. I didn't care too much about the villains or the action set pieces despite the fact that they were well crafted. The inner struggles that Peter Parker faces with his family drama and relationship with Gwen is at the heart of this film. The final act is more than just a gigantic action face-off, there is actually a lot of emotional elements at stake and that is what lifted this movie as it finished on a high note. There was a very emotional scene scene near the end of the film that left the entire theater in silence. The best thing about this sequel is that it was much more emotionally involving than the original and it banks its strength from Andrew Garfield's charismatic and spot on performance as Peter Parker.",7.0,Anonymous,Sci-Fi
8.5/10,"Lets give a disclaimer here: I am a comic book nerd-geek and Spider-Man is one of my favorite fictional characters ever, so maybe I am inclined to be fully absorbed by this movie very easily, yet this doesn't take away from my film nerd-fan side that genuinely thought very highly of this film from a simple filmaking point of view. As storytelling goes I was very-pleasantly surprised to find a really strong grip: it never commits the Spider-Man 3 mistake of being over-crowded and maintains a brilliant balance on all the characters flowing naturally with a story that feels perfectly fine despite the pressure it had from Sony. It never tries to be over intricate but manages to pull of multiple inter-twining story lines in a magnificent way. Never does it leave loose ends and that is something I hadn't seen in a comic-book movie for a couple of years. Furthermore it isn't a banal plot, there of course are some clichéd moments but as much as they don't get me in 90% of movies they got me here (credit to director/actors for making those few feel very spontaneous), it has valid originality and keeps a core fidelity to the source material that deserves high praise. Just as good is the way in which this sequel builds on its predecessor tying up loose ends, proceeding with minor story lines of the first movie and adding great parts in it. As a director Webb proves to be amazing. The action scenes are complexly put together, with visual brilliance and continuity in them. Great improvement from the first movie. They really were breathtaking, nail-biting sequences that found me on the edge of my seat continuously. Another visual aspect that is stunning is the swinging sequences of Spider-Man: this is what I always wanted to see but never fully experienced with the other Spider-Man movies; the shots there were fantastic. Yet what I most admire Webb for is the talent he has for character development and coherence, we have seen this in his previous two movies and here it is firing once again in all cylinders. There just isn't one character in whom I did not believe, I never spotted the stereotypical comic-book person in here. Everybody had there chance to shine. Sure a couple of characters have minor short-comings and I understand if somebody doesn't believe in Electro's personality, but I found that it walked the line between movie acceptability and comic-book campyness in the perfect dose. To this I also have to give credit to the soundtrack which blew me totally away when Electro is introduced to the public: that was some serious use of music and sounds for storytelling, brilliant, intelligent! Adding to this is a really powerful score from Hans Zimmer, one of the better ones I have heard from him and generally in recent years. Our introduction to Harry Osborn/Green Goblin was positive on the character part (indeed there was no need for him to be green goblin in this one but I honestly did not mind him), yet from an acting point of view I think Dane Dehaan overacted in some scenes, nevertheless he was good enough. There have been many criticisms of this movie in regards to messy tone, unoriginality and rushed villains and as much as I see where people are coming from and I would indeed have appreciated a more untraditional villain(s) introduction and story I just never thought of that during the movie: there are many movies in which I simply cannot be taken in because of originality issues, but for some reason this one felt to me so fluent I never had any problems with this and actually felt it kept a consistent tone throughout. Yet I must address the fact that watching it twice I could feel the studio putting too much of its hand in the movie: they were way to manipulative of this and I think that by leaving Marc Webb just some more creative power this movie could have been enormously better. The CGI wasn't always seamless but great in many moments and anyways it never bothered me because the story was always the driving force behind it and what I was most interested in: this also speaks to the fact that the action was used to propel the plot so it never felt out of place, that is something really hard to pull off. There is lots of humor in the film and I can safely say that it actually is very funny and very faithful to who Spider-Man is and how he acts and to expand on this the humor fits both the tone of the movie and the storytelling, speaking again to the fact that, just like the action, it is used appropriately for the character development or the story, it is never gratuitous. I was excepting more fan service, but I can't really fault the movie for not satisfying my unsatisfiable thirst for it, that was nevertheless kept at bay. ""The Amazing Spiderman 2"" truly was a comic book movie. It took the best aspects of the two world and combined them in what I always figured in my head when I read Spider-Man comics. Yet, I have been holding back this for all my review and here it is: what truly is the best part of the movie, the most riveting element, the thing that Webb does best in a really majestical way, the driving force behind this film, the main reason and thing that kept me most absorbed in the drama and what gives it honest emotional depth is the relationship between Gwen Stacy and Peter Parker. honestly do not know how Webb is so amazingly good with romance and character interaction but what we have here (and in the previous movie) is something really special.",7.0,Anonymous,Sci-Fi
"Too much, too unbalanced and a waste of talent","I can't say I went in to the theater with high hopes. I did enjoy the first installment of this unnecessary reboot, almost anything seemed like a step up from ""Spiderman 3"", and Garfield felt way more natural than Maguire, and Emma Stone is always welcome. But after seeing the first trailer I thought it seemed like a total mess, and I wasn't convinced by Electro one bit. Unfortunately I was spot on, I hoped to at least get an enjoyable time at the cinema with my friends, but ended up feeling quite uncomfortable and laughing throughout most of the film.Garfield and Stone has their chemistry and does their best with the incredibly thin script and cheesy one-liners, but their potential quite beautiful scenes together gets lost in the over-full and messy plot. I can't buy an emotional scene that is interrupted by heavy dub-step and a blue electric guy.Oh Jamie Foxx, how did you go from Django to this? Before he goes all CGI-Electro he tries to play the nerdy unseen scientist (with a worse comb-over than Christian Bale's 'Hustle'-look). As Electro it's hard to say how much is his fault, and what can be blamed on the rest, I'd go with the rest. You don't sympathize with him nor do you believe how fast he becomes this super-villain.Everything that Dane DeHaan did so well in ""Chronicle"" just feels unnatural and (maybe not misplaced, but wrong) here. And his character development is way too rushed and quite unnecessary for this film, it just becomes another sub-plot standing in the way of what really matters.Sally Field does good work as Aunt May, but leaves no lasting mark. Paul Giamatti's Russian criminal is just in the way and only gives a couple of dreadful and laughable scenes. And then there's the mad German scientist named Kafka and I rest my case.The action and visuals isn't bad, but still doesn't make up for the low ""trying to be Marvel""-comedy and horrific soundtrack, a soundtrack that almost itself destroys the film throughout the exhausting 142 minutes. And sometimes it feels like the movie is taking us as an audience to be stupid, with pointers to what is going to happen. I would like to say that you might enjoy it if you just try and see it for what it is, but it's hard, but hopefully possible! It had an interesting start, with a glimpse inside the past and Peter's parents, but it's left underdeveloped, as is almost everything else, to make room for all its action and villains.It's amazing how the difference between two big-budget superhero-movies can be so huge, if you put this against ""Captain America: The Winter Soldier"", a great and, opposed to this one, original film.Oh how I wish that Marc Webb could have continued with a ""(500) Days of Summer""-esque movie instead, he could keep the sub-plots starring Garfield, Stone and DeHaan, and it could very well be a great film, and probably not such a waste of talent.",5.0,Anonymous,Sci-Fi
Better action,"My wish for you is to become hope. People need that.The second Amazing Spider-Man movie, and it was pretty amazing for me. Electro is probably the best Spider-Man villain, not in terms of characterization, but in terms of coolness and power. That last fight scene was so dope with the electricity that made all the music. Blue is a great color for Electro. He is also very powerful, and he definitely could have done more than in the movie.Andrew Garfield again brought charisma to the our favorite local superhero. And just like in the first, Peter and Gwen had such amazing charm and chemistry, only because of the actors.My problem is although they revealed more about Peter's parents, it kinda led to nothing. I was quite disappointed in that. Then, Harry Osborn was pretty boring and just rushed.Overall, it was just slightly better than the other Spider-Man (of course not even close to Spider-Man 2) because of a cooler villain. 7.5/10.",7.0,Anonymous,Sci-Fi
