title,content,rating,username,genres
beautiful but slow,"Jesse James (Brad Pitt) is a mystery to his own kids living a secret life under a different name in Kansas City. He's 34 and it's 1881. The remaining members of his gang include Robert Ford (Casey Affleck), Charley Ford (Sam Rockwell), Frank James (Sam Shepard), Wood Hite (Jeremy Renner), Ed Miller (Garret Dillahunt) and Dick Liddil (Paul Schneider). Frank and Jesse are the last two remaining original members.Andrew Dominik films a beautiful looking movie but his script runs on and on. Roger Deakins's cinematography is a thing of beauty. The first train robbery at night is haunting. The dialog is a long rambling affair. As always, I don't particularly like narrations. One would expect a Jesse James movie to be exciting and a great thrill ride. In this movie, even the action scenes are moody and stylish. What starts out as a fascinating beautiful hypnotic watch turns into more of an endurance test at over two and a half hour. Brad Pitt plays Jesse James as a mercurial calm commanding presence. Affleck has an unstable edginess. The cast is filled with wonderful actors. Nevertheless, the movie could use a little trimming.",7.0,Anonymous,Biography
Interesting but flawed,"It's hard to imagine this film being much of a success, despite starring Brad Pitt. It's a long-haul: slow-moving, intensely melancholic and sombre, dealing in grey-paletted landscapes and skyscapes, pauses, silences, things unsaid as much as things said. Still, it's been critically successful, and it address questions pertinent to today's society. Fame. Hero worship. The desire to be someone else, as an escape from the drudgery of your own life (""do you want to be like me, or do you want to be me?""). The realisation that that someone else is ""just a man,"" just like you, and that he perhaps struggles with the same sense of drudgery and hopelessness, as you do.Notably, the film conveys a sense of the drudgery and sheer hardship of life in the west that many films miss, and, unlike most other westerns (with the exception of 'True Grit'), the dialogue often feels authentic  slightly grandiose, perhaps stilted to our ears  almost Elizabethan; slow, deliberate, unusual, and just right.Roger Ebert comments on the bleak emptiness of the landscape (like McCabe and Mrs Miller, it was shot in Canada- all huge grey skies, desolate waving wheat-fields, snow, ice, and mud), and how, because of this, because ""the land is so empty, it creates a vacuum demanding men to become legends."" As in the Russian drama 'The Return', the landscape becomes almost a character, or at least a driving force which partially dictates why the characters behave how they do and what courses of action they take.I say this partly because no explanation is sought, or offered, by anyone in the film, for the gang's actions. This is simply what they do - perhaps to avoid the drudgery of working in a grocery store, like Bob, or making shoes, as Frank suggests he will do; perhaps for the money, to give themselves a chance of a fuller life. Perhaps simply because, in this environment, doing anything feels almost like a random act. The film is detached from the characters, and the characters are detached from themselves. At one point, Jesse speaks about watching himself from outside: ""I look at my red hands and my mean face... and I wonder 'bout that man that's gone so wrong."" The state governor comments that, while some say Jesse's crimes are revenge on Republicans and people who wronged his family, his victims didn't seem to be chosen on account of their political persuasion. In other words, he's no political rebel. He's just an outlaw, who does what he does - who knows why? That's not important to the governor. He wants the man captured, not to understand his motivation. The film should go beyond his concerns though, and examine the latter..shouldn't't it? Doesn't it?I'm not convinced that it does, and more context of the sort hinted at in the governor's two or three lines might have helped. For all the film's desire for historical accuracy in detail, in the bigger picture it's rather sketchy. I'll return to these criticisms later.But, still, it's a film easy to admire, for several reasons: the use of space, and silence, building tension in long, drawn-out dinner-table conversations. The inexorable build toward death, like Sergio Leone's 'Once Upon a Time in the West', a dance of death - or a slow, deliberately paced walk towards it. It feels like something winding down: everyone is aware of impending confrontation, but unable to escape from it. People face their deaths with stoicism, as if this is what fate has dictated for them, as if it is their role to play: the gang member Pitt shoots in the back for real, or imagined betrayal; James himself, who glimpses his assassin in a mirror but makes no attempt to dodge the bullet's path.It will probably be admired most for its performances: Casey Affleck's insinuating, awkward hero-worshipper, at once understandable and pitiable - bullied, insecure, unloved - and at once somewhat contemptible, annoying and disturbing. Pitt's James - aloof, detached: melancholy, for no clear reason, at one point he hints at his desire for death, for suicide. ""Once you've looked over the other side, you'll never want to go back into your body,"" he says. Or something of the sort. Then shoots holes into the ice.Ultimately however, despite this admiration, it's hard to like, much less love. It is characterised by the same aloofness I've just discussed in its protagonist. Jesse's occasional mentions of the soul raise the possibility of a deeper philosophical strain (which might be somewhat out of place, given the dour 'factual', 'realistic' nature of the film, such as the vomit that smears Bob Ford's suit when he falls over on a saloon floor)- but it remains merely a suggestion, adding to a vague impression of some sort of inexplicable sadness. Of course, James is not simple: a psychotic family man. But there's a lack of insight into his character, and the other characters in the film. They seem to remain ciphers who simply exist, rather than fully fledged human beings who act. James' family seems barely to exist, except for occasional shots to show that he has one. The film observes dislikeable characters doing dislikable things; the audience is left to judge, but are not given that much to base their judgements on, despite the slow pace. The film's attitude to its legendary titular character is unclear: do we admire him? He's a cold-blooded murderer - surely just as much of a coward as Bob Ford. Or is he let off the hook because he's Brad Pitt, because he's brooding and handsome and has a family? Ultimately, the film is indifferent - neither tragic nor exciting, just generally glum, it gives the impression of saying more than it actually does. It had the potential to be more than it is, and is thus an interesting, perhaps necessary, but flawed movie.",6.0,Anonymous,Biography
The Expectation of Applause,"""The Assassination of Jesse James by the Coward Robert Ford"" is a handsomely mounted, film-school like study of the last days of the infamous James' Gang by director Andrew Dominik. Growing up in awe of Jesse James (Brad Pitt), Robert Ford (Casey Affleck) finally gets to live out his dream of living side by side with his idol when his brother, Charles (Sam Rockwell) joins the gang. Young Robert quickly learns that the exploits of the murderous train-robbers are far from the exciting flights of fancy he grew up reading about in newspapers and dime-store novels. A series of cowardly acts in the wake of double-crossings and humiliations ultimately lead to the titular event.The style of the film is often visually arresting and downright disturbing, especially in the acts of violence, which leave the most gruesome parts slightly off camera, but are frequently shot and framed in such a way as to maximize shock value and leave an uncomfortable feeling of tension in the theater seats. Dominik sometimes relies too heavily on voice-over narration torn straight from the book upon which the film is based leaving us to assume that aside from dreadfully beautiful photography of passing clouds and desolate Midwestern landscapes, he wasn't always sure how he visually wanted to tell the story. This leads to a sometimes snails' pace as the plot unfolds, though the haunting Oscar-worthy cinematography from Roger Deakins and mesmerizing music score from Nick Cave and Warren Ellis eventually get under your skin even as the hands of the clock seem to move slower as if stuck in a pretty photograph of a nightmare.The acting in the film is superb from all involved. However, the performances often blur the line between caricatured scenery-chewing and emotional nuance (especially from Pitt and Rockwell). While there is some entertainment to be found in the lighter scenes of camaraderie amongst the gang members, the audience never really feels anything for the characters aside from sharing their sense of paranoia and fear knowing that around any corner someone will be betrayed and shot. The film also suffers from some scene stealing cameos from James Carville as the governor hell-bent on catching Jesse and the otherwise lovely Zooey Deschanel, who appears out of nowhere for a few moments about ten minutes after the film should have rightfully ended.When the credits finally rolled, I wasn't sure what to make of the film. There's some unforgettable imagery (my personal favorite being the almost surreal depiction of the cloth-masked robbers waiting in the dark woods as the train comes roaring down the tracks), and many commendable artistic elements to be found in the film. If the idea was to leave the audience feeling the era showcased was a tension-riddled and violently lonely existence, then the film succeeded wonderfully. Those seeking a more pure entertainment will most assuredly be left stressed and stretched to their limits.",7.0,Anonymous,Biography
A hauntingly beautiful film,"Andrew Dominik's The Assassination of Jesse James by the Coward Robert Ford, is a deliberately paced, stunningly visualized, and emotionally charged exploration of the early development of mass media celebrity in America. The film riveted my attention for two hours and 40 minutes, and has remained on my mind for several days after my viewing. Although centered on one of the iconic legends of the Old West, it is far beyond an updated reincarnation of the Western. It is an epic allegory about the development of the American cult of celebrity and the effects of this obsession on the individuals caught in its web.Visually, the film soars beyond anything that has hit the screen since Conrad Hall's final masterpiece with Road to Perdition. Roger Deakins, the cinematography genius behind The Shawshank Redemption, Kundun, and all the Cohen brothers"" films since The Hudsucker Proxy, surpasses his best work. He pulls out all the stops hereintricately orchestrated changes in focus, richly textured colors, dazzling use of light sources, careful manipulations of time, powerfully significant fade-ins and fade-outs, and shots through rain, snow, and rippled old glassto communicate the story. Deakins' contribution stands out in the railroad train robbery sequence at the beginning of the film. Clearly defined, flickering light sources and deep black shadows create a dazzling, nightmarish vision that haunts the rest of the film. This sequence alone is worth the price of admission.The richly textured, historically precise visual aspects of the film bring to mind Terrence Malick's Days of Heaven and Robert Altman's McCabe and Mrs. Miller. However, instead of the understated, ""realistic"" performances featured in those films, The Assassination of Jesse Jamesshowcases powerful, yet still realistic performances by an outstanding ensemble cast.Sam Rockwell, as the not-too-bright but well-meaning Charley Ford, and Mary-Louise Parker, as Jesse's loving wife, stand out. Yet the film belongs to the two titular leads, both of whom deliver the performances of their careers and create characters filled with disturbing contradictions. Brad Pitt's Jesse James is alternately pitiable and terrifyingan affectionate, loving father, an old-before-his-time sage, an adventurous daredevil, an unrepentant bad boy, and a vicious sociopath. Casey Affleck's Robin Ford is a complex, repellent, and tragic character who challenges the audience's complicity in the undercurrents of the film.All in all, this is a great filmnot for those seeking the simple pleasures of instant gratification. But definitely worth the attention of those who still believe that movies are an art form.",10.0,Anonymous,Biography
Great but hard to sell...,"If you have watched the trailer and know this movie is two hours and forty minutes long you know what you are getting into and should not be disappointed. This movie delivers on every level of film making, be it cinematography, acting, or writing. Casey Affleck delivers a fantastic performance in how he portrays Robert Ford as the bright eyed fawning kid in a way so sincere it makes the audience uncomfortable even when it shouldn't. Brad Pitt underplays his part as Jesse James hitting all the right notes while never saying much. Exactly the way one would expect an outlaw to act when they have everything in the world to hide. I can't say the movie didn't FEEL two hours and forty minutes long but I never wanted it to end sooner than it did. I guess I just enjoyed the time I got to spend watching these characters for the full running time.I loved this movie. Unfortunately, a long western without action is something seemingly impossible to sell to the public these days. It would be to the advantage of the studio to sell this like The English Patient was sold 10 years ago. Just make people feel like ignorant idiots if they don't like it! As much as it pains me to say it, I think most people don't care enough to bother seeing what makes this movie so great. The only other option to make this a success is to fool them into THINKING they love the movie. I'm really curious how many folks out there that like the movie agree with me here.",10.0,Anonymous,Biography
Amazing Work of Art,"Wow, does this film have style or what? The Assassination of Jesse Jamed by the Coward Robert Ford, is one of the longest titles I've ever seen for a film and the movie's run-time follows the same pattern. I have no problem with this. I would sit through a ten hour ""Jesse James"" because of the excellent tone given out by director Andrew Dominik. The frozen Missouri/ Kansas landscapes are a treat for the eyes. The musical score does its job: to blend into the film so subtly that I cant imagine the images on the screen without it. The narration neither detracts or adds to the tone, although there is one bit of bad editing that confused my friend as to whether the narrator was speaking or a man's voice had been dubbed poorly.""Jesse James"" delves deep into the inner conflicts and emotions of every character. We live with them, eat with them, and often feel their pain or their confusion. This confusion is often associated with the bi-polar nature of the film's central character, Jesse James, played by none other than Brad Pitt. Casey Affleck delivers a subtle performance here that actually becomes the most effective as the film progresses over its 160 minute running time. I hated Robert Ford for a good portion of the film, thought he was so annoying and clingy that it was a wonder Jesse James didn't kill him within the first day of their complex relationship. But then, as I sat through the so called ""gruelling"" running time of the film, I learned to feel for him and understand his motives and attraction for Jesse. But ultimately, his childhood, comic book worship of the famous outlaw changes.The ""style"" of the film is evident in the first frame of passing clouds. Roger Deacon's cinematography is the best I've seen since Conrad Hall's work in Road to Perdition, perhaps better. He is definitely winning the Oscar this year, between this and No Country For Old Men. There is a scene involving a train robbery where the visuals and utter style blew me away. The lighting and camera direction becomes more subtle and less noticeable after the train scene, but, does not lessen in quality and pure artistry. There is a topic on the IMDb message boards approaching the topic of whether certain films should be labeled ""art films."" Well all films are works of art, some are horrendous, some are extraordinary. Well, The Assassination of Jesse James by the Coward Robert Ford is an extraordinary work of art.",,Anonymous,Biography
Awesome  and spectacular Western with good performances from Pitt and Affleck,"This is a sprawling and glamorous Western but overlong. Packs colorful scenarios, slow-moving pace and slick edition. Wonderful cinematography by Roger Deakins and atmospheric musical score by Nick Cave. The motion picture is well realized by Andrew Dominik who displays enough off-beat touches to keep things interesting.Adding more details over the largely described on the movie, deeds happened of the following way : Later events led disaster on 6 September 1876 in which Jesse(Brad Pitt) and Frank James(Sam Shepard) with three younger Younger brothers attempted a bank robbery at Northfield , Minnesota, only Jesse and Frank got clean away to live quietly for several years under assumed names , Jesse as J.D. Howard and Frank as B.J. Woodson. In 1879 they robbed a train and another one in 1881, in the latter crime a conductor and a passenger were killed. Governor of Missouri raised rewards of 10.000 dollars each for the James boys, dead or alive. On 3 April 1882 Bob Ford, a new member , treacherously shot Jessse dead in the back of the head in his home at St Joseph, Missouri where Jesse was living along with his wife(Mary Louise Parker) and sons. Frank surrendered six months later , he stood trial and was acquitted. He gave up his criminal ways and lived a respectable life until he died aged seventy-two in 1915. Robert Ford(1861-92) made his mark on the history as the man who killed Jesse James. It was his claim to fame. Bob(Ben Affleck) and his brother Charlie (Sam Rockwell) were new recruits to Jesse's gang in 1881 and when a reward was offered for Jesse and Frank, dead or alive, the brothers Ford made a secret agreement with Governor to assassinate the outlaw. For the rest of his life Ford was reviled for the manner in which he had killed Jesse , whose gravestone bore the words: ¨Murdered by a traitor and a coward whose name is not worthy to appear here¨. Forced by public opinion to leave Missouri , Bob wandered through the old West , taunted by the words of the popular song : ¨The dirty little coward, who was shot Mr Howard, has laid poor Jesse in his grave¨ .Others films about this legendary outlaw are : The classic version (1939) titled ¨Jesse James(1939)¨ with Tyrone Power and Henry Fonda, ¨The return of Frank james(1950) by Fritz Lang with Henry Fonda ; ¨I shot Jesse James¨by Samuel Fuller with John Ireland as Bob Ford ; ¨Jesse James vs the Dalton(1954)¨ by William Castle with John Ireland, ¨The true story of Jesse James¨ by Nicholas Ray with Robert Wagner and Jeffrey Hunter.",7.0,Anonymous,Biography
Hero Worship Turns Sour,"Though Jesse James through the newspaper accounts of his exploits and through the dime novels of the day was already a legend, his immortality was sealed on April 3, 1882 by the manner of his death. The lengthy title of the film tells all or at least the official version of the story.But was that accepted version the real story? For the first time the Ford brothers, Robert and Charley, get their due. As played by Casey Affleck, Robert Ford was a most complex character indeed. Ford is shown for what he was, a moonstruck kid who was brought up on those dime novels and idolized the legendary bandit. The fact that Charley was already riding with the James gang got him into the group.After the last job the James gang pulled and the only Ford was ever in on, the Fords kind of attached themselves to Jesse James. Of course the idol is no hero. Brad Pitt plays a most unheroic Jesse.Hints of Pitt's interpretation of Jesse's character are found in the classic portrayal of Jesse James by Tyrone Power. Remember when the laconic Henry Fonda as Frank James dresses Jesse down, tells him he's getting mean, meaner every day even with some of his own gang members? Power was showing signs of it, but we see Pitt as Jesse do some really brutal and cruel things. At the same time he's a loving husband to Mary Louise Parker and doting father to his two children.As good as Pitt is I think the acting honors go to Casey Affleck. His gradual disillusion with his idol is really something to see on the screen. He becomes really scared of Pitt for reasons I won't reveal, but were definitely sufficient to want him to get Pitt.We also get to see the Fords sorry aftermath. Things did not go so well for them. Bob Ford did not quite get the acclaim he would have liked as Jesse James became bigger after death than in life.Frank James as played briefly in the beginning is an odd peripheral character in this film. The James brothers did separate some months before Jesse's death. Frank is played by Sam Shepard who has an encounter with young Bob Ford at the beginning of the film and announces to one and all, the kid creeps him out. But Jesse likes having the kid follow him around like a puppy dog to his ultimate regret.The Assassination of Jesse James by the Coward Robert Ford is a very good western and we sure don't see too many of them in these times. It's shot in an unusual color, almost like one of those sepia-tone films that were in vogue for a brief spell. The location shooting was done in western Canada and looks a whole lot more like Missouri then than Missouri does now.",9.0,Anonymous,Biography
Pitt assassinates the Oscar competition,"From writer/director Andrew Dominik comes the long titled and lengthy timed The Assassination of Jesse James by the Coward Robert Ford starring Academy Award nominee Brad Pitt and Casey Affleck. The film in so much of its glory has both positive and negative components that make this an uneasy experience at the movies.Director Dominik has great control of the picture but when the film went into the editing room the film underwent some problems. The film never keeps the momentum to be an amazing picture. The viewer is connected for the first 15 minutes, then bored for 10, then enchanted for 45, bored for 15, then comes the anticipated climax and you think its over, then it goes on for another half hour. Dominik gives the audience the best understanding of Jesse James possible so we can become better acquainted with him but brings in an slew of different characters that, to be perfectly honest, I don't care that much about. I believe this might be a example of over character development where we get all the aspects of his life but all we want is Jesse.Last year, many critics were stating Brad Pitt gave his best performance ever in Babel however, his Jesse James is the best performance of his career by a mile. Pitt wears Jesse like an overgrown coat that you don't want to get rid of. Pitt gives the most tortured, endearing, and frightening performance of the year thus far. He makes the audience so uncomfortable and awkward yet gives off sensitivity and compassion for a very unlikable and ferocious man. If buzz builds, expect Pitt to be a huge contender at the Oscars.Casey Affleck, arguably the better actor of the Affleck clan gives the most pathetic, annoying and cowardly performance in the last ten years; and its brilliant. With his deep ""admiration"" for Jesse, his Robert Ford is engulfed in Jesse's presence and wants enjoy the moments with him, even if he is in fear of him. The finale is truly his show as he stretches out his acting legs and dissolves into a character you can't wait to see off-screen.The cast ensemble is a true revelation as each character as over-developed as they might be, all bring a sense of humanity, charisma, and heartbreak to their roles. Sam Rockwell who is on the verge of being a household name and coming his way to a nomination one day plays Charley Ford, brother of Robert, as magnetic as the character demands. Mary Louise Parker, who is one of the better actress' working today, goes nowhere as Jesse's wife. This is a role that is very Academy friendly, and throws it away in a her limited screen time Sam Shepard who plays the older brother of Jesse, shows fear and anguish built up in a man who yearns for emotional freedom from crime. Paul Schneider, Jeremy Renner and Garret Dillahunt all turn in exceptional performances and enhance a cast of big name stars. Expect a possible Screen Actors Cast Ensemble nod for these men.Expect a possible and much deserved cinematography nomination for the overdue Roger Deakins, which is the strongest technical aspect of the picture. Also a great score by Nick Cave and Warren Ellis is a possibility along with great costumes by Patricia Norris and perfect art direction by Janice Blackey-Goodine. The appeal is there for the film as a whole but it leaves us floating a little too often in a long river of bravery, artistry and commendation. Dominik will likely be cited for some breakthrough director awards with the picture popping up during precursors' season.Get ready for the assassination everyone knows is coming but no one can prepare for. Never has been a film that tells you the entire story in the title and can still surprise the viewer with beautiful cinematic moments.Grade: ***/****",9.0,Anonymous,Biography
the most beautiful film ever made,"I've been thinking of a good way to start my review, I've been pondering many opening sentences, but none of them are close enough to the point, so I've decided to just say that this film is perfect in all aspects. When the credits started to roll I didn't move at all, I sat staring at the screen just thinking about what I just watched. I was trying to understand if what I just saw was really that good, or if I was just thinking it was. The film runs at almost three hours, but never looses your attention for one second. It moves forward through dialog that is poetic, but increasingly haunting at times.First off, the performances. Brad Pitt as Jesse Jame makes you feel that he is a vulnerable person, and then at the next second he'll make you completely change all your feelings for him. He doesn't talk much in the film, but is none the less flawless. Casey Affleck as Robert Ford is in his best performance ever, makes you hate him. His character is very shaky, very nervous at times, but always seems confident of what he's doing, whether it's right of wrong. He steals most of the scenes he's in. The biggest surprise however for me was Sam Rockwell as Charley Ford, Robert's brother and Jesse's right hand man. At the beginning of the film, you think that Charley is the stupid brother and that Robert is intelligent beyond any standard Charley could reach. At the end of the film though, the roles switch. You realize that Robert has been making all the dumb decisions, and Charley has been trying to save him by covering them up and usually taking all the crap for it. His last scene was intense and beautiful. One other performance to talk about is Paul Schneider as Dick Liddil, an outlaw womanizer. His performance is somewhat comedic, but in some scenes he can be the backbone for the drama. I can easily see Pitt getting a Best Actor nomination while Affleck pulls in the Supporting Actor for the win.The musical score by Nick Cave and Warren Ellis is on par with Clint Mansell's classic Requiem for a Dream score, if not better. In the films most horrific scenes, the music turns them into something beautiful. You'll want to sit through the end credits just to hear it one more time. The music will draw you back to the film to see it again. The score also fits the tone for the most of the scenes.Andrew Dominik's direction is perfect. He uses the camera in such a unique way that you never miss anything that happens. In one of the film's best scenes, he places the camera so that you can only see Pitt's silhouette become meshed into a train's smoke and then reappear seconds later as it pops out. Dominik also wrote the entire script by himself, which really shows how versatile he is. He originally wrote the film into a 3hr and 50min cut that the studio made him trash. I can't wait to see that cut.The best thing in the film though, is Roger Deakins' cinematography. That is what you gives the feel for the film. The blurry landscapes, the wheat fields that Pitt gracefully moves through, and the greatest train robbery scene ever on film. It perfectly portrays the landscapes of the old 1800's and everything that took place there. The film is consistent with providing one memorable scene after the other. When the assassination finally happens, you'll be sitting in your chair gawking at the screen in amazement of how sudden it happens.I am very proud to say that this is now my favorite film of all time, and my definite choice for Best Picture of the year. It brings new flavor to the art-house scene and never lets you down. I recommend this film to everyone. It truly is a beautiful film.I give it a 10 out of 10",10.0,Anonymous,Biography
