title,content,rating,username,genres
Chilling and Sad.Ignore the One-Stars!,"Never written a review before. Haven't felt the need. But after seeing the 1 star reviews of this film,i just felt compelled.Firstly,what this is.I would say a cross between The Shining and We Need to talk about Kevin. This film is desperately sad. A woman who is haunted,first by her husbands death,then by the Babadook all while looking after her young son. This is a creepy, no jump scare, fantastic psychological horror. A rare gem that plays on all those fairytale fears that you may have had as a kid.Second.What this isn't.Well,not ""The worst horror in years"".I get that people have different opinions.I do.But this isn't a film that can justify that sort of nonsensical comment. It isn't a dull jump scare-filled blockbuster. The characters are not hot teenagers. They are believable, disturbed and this makes the film the slow,creeping horror that it is.If you are a fan of horror,it really is a must see film.",8.0,Anonymous,Horror
A meditation on grief,"The Babadook surprised me on two counts.First, as someone who doesn't often get the warm fuzzies at spooky films, this did. It's a well acted, believable account of a mum and child being haunted by a seemingly malevolent 'thing'. Effective jumps and creeping tension are handled well.But I was surprised again by the end, as I came away seeing it as an allegory for deep grief and a way through it. I found it quite moving, the mum finding a place for that darkness, finally taking control of it.",9.0,Anonymous,Horror
One of the Best Horror Films of 2014,"A single mother (Essie Davis), plagued by the violent death of her husband, battles with her son (Noah Wiseman)'s fear of a monster lurking in the house, but soon discovers a sinister presence all around her.Some people find this film terrifying, some just find it eerie. If nothing else, it stands out as original. Writer-director Jennifer Kent hits a home run, taking what she learned from her very unusual film school (watching Lars von Trier) and incorporating it here. But it is so much more than good direction and excellent framing.This is a film that could fail if the elements were off. If the creature effects were cheesy, it would not be as scary. If the mother was not as convincing, it would not be so emotional. And Noah Wiseman? Wow. Few child actors are able to perform on this level. The last one with this much talent that comes to mind is Chloe Moretz. Give this kid more roles, and give them to him now.",7.0,Anonymous,Horror
Much more than a horror film,"While ""The Babadook"" may display some of the hallmarks of the traditional horror film, there's a lot more going on here than meets the eye. Far from the typical Hollywood bloodfest so brilliantly satired in ""Cabin in the Woods,"" this film's characters are layered, its plot is mercurial, its actions are metaphorical, and its conclusions are ambiguous. All this is likely to disappoint those filmgoers who need to be spoonfed a formula. But if you're a film lover, Do. Not. Miss. This.Director Jennifer Kent understands what most horror filmmakers fail to grasp: that our biggest fear isn't of crazy killers or monsters or ghosts, but of ourselves—what lives inside us, the emotions we have to live with, the illusory veil of self-control.The plot revolves around a mum, her troubled son and the book he pulls off the shelf one night. But you already know too much. This is one film where knowing less going into it will really pay dividends. Really, don't even watch the trailer.Just know that the storytelling and craft are flawless. Essie Davis delivers one of the most challenging performances put to screen with total commitment and credibility. Kent's storytelling is utterly absorbing and she so delicately treads the line between what's real and what's not that you can never be sure of yourself.What you make of ""The Babadook"" will depend on who you are. You might take it at face value, as a creepy monster flick with all the constant threat and looming dread and shocking moments. You might take it as an attempt to capture the authentic experience of mental illness. You might take it as a symbolic story using a metaphor for grief and loss. The best films make you feel something and allow you the room to make sense of it yourself.Personally, I thought about this film for days after seeing it, both because of its ambiguity and because of the themes it explores, namely mental illness and domestic violence. Yes, it's scary. But it's also touching and heartbreaking. While ""The Babadook"" belongs alongside other great psychological horror films, like ""The Innocents"" and ""The Haunting"" (1963), to classify it purely as ""horror"" really belittles its accomplishment as a film that challenges us to examine and discuss issues we are very uncomfortable tackling in reality.",9.0,Anonymous,Horror
"The scariest ""children's film"" I have ever seen","We are all familiar with the scenario: a young boy with an overactive imagination becomes terrified of the monster underneath his bed, and rushes to his mother for a therapeutic bedtime story. But what if this imaginary monster actually becomes real? This is the set up for a new Australian horror flick premiering at this year's Sundance Film Festival entitled The Babadook. Our protagonist, Sam, is terrified of monsters. So terrified he is loosing sleep, causing trouble in class, and creating his own sinister weaponry out of household objects as a means of defense. It's enough to drive his widowed mother, Amelia, into a frantic state of paranoia. As tensions between the two escalate, a new presence called the Babadook makes it's way into the household which questions the sanity of everyone involved. The film cleverly embraces and deconstructs typical horror film conventions in order to create something new. Though it is hilariously playful and entertaining, it's also a terrifying psychological thrill in the same vein as films like Black Swan or Rosemary's Baby. Essie Davis is great as Amelia, but newcomer Noah Wiseman gives an incredibly memorable child acting performance. If you are a horror fan looking for something new, look no further than The Babadook. Just be prepared to have nightmares afterward, and remember to leave the kiddos at home for this one.",7.0,Anonymous,Horror
The Depths of Despair...,"There's a demon likes to get inside your mind, if he enters he can be a bit unkind, takes you down a winding path, a quite determined sociopath, doesn't care what trauma that he leaves behind. It's the kind of shade that's often caught alone, the recipient may feel they don't belong, an imposter in their world, wearing a mask fully unfurled, all life's treasures we take for granted, simply gone.A stellar performance from Essie Davis in a film that will get you thinking about the effects life's challenges present and how you deal with them, albeit through the eyes of one possessed by demonic urges they can't control while becoming a silhouette of themselves.",8.0,Anonymous,Horror
Good But Overrated,"Why are so many of the reviews here giving this a 9 or 10 taking the time to insult everyone who feels otherwise? I get it with movies based on superheroes or popular book series -- they have rabid fans who lash out. But why this? It's just a horror movie. And, honestly, an overrated one. I'm not saying its bad. It's actually a good watch. But the praise is pretty over the top. It's a well-crafted movie of its type but not an instant classic or any of that hyperbole. One thing I was very happy about was that it actually did follow through with the advertised premise. As I was watching it, about midway through I became concerned this was not going to be a movie about a supernatural creature but rather a message movie about mental illness and child abuse. Thankfully the movie dispels that in the last twenty or so minutes.It's a pretty good (but not great) movie with a couple of nice scares and shocks. However, I didn't find it to be as groundbreaking or unique as many other reviewers. Sometimes I think horror fans are dying of thirst so every little drop of water is oversold as being on par with ""fill in the blank with a classic horror film."" It's not all that. It's just not. And the mom and kid got on my nerves big time before the first hour was up. This is a movie with a lot of scenes of people being assholes. A lot of yelling, etc. If you're like me that stuff drains you after awhile. I had a headache by the end. Speaking of the end, I'm unsure how I feel about it. Kudos for not tying it all up too neatly but I didn't quite get what the hell Babadook was and, more importantly, why is it eating worms? I kinda like the weirdness of that. Hope they don't ruin it by doing a sequel. Who are we kidding, of course they will.",6.0,Anonymous,Horror
Beyond the Creeps,"At first glance, The Babadook may sound like a tale that warns people  to not let children put creepy stories up into their heads. It may also  be like one of those old horror movies with children being influenced  by the ghost. The titular monster seems to have the potential of being  a silly urban legend, such as Slender Man or the Hash Slinging Slasher  (sorry about that), that is destined to be flooded with fan fiction, or  simply just another horror movie icon, but the film surprisingly has a  different aim than just scaring the audience. It might as well be a  character study of a mother having a hard time moving on after the  tragedy she's been through losing her husband and trying to raise her  only son. The real horror doesn't come out that quick, but there is  already a pretty compelling movie when it come to its characters. The  tension is just the prize for being intrigued by the story's core.  One thing people must know about the film is it's not generally about  The Babadook monster. In spite that the antagonist has an ambitiously  great campy design and his story is told well by a twisted storybook  with wondrously illustrated diorama, the movie is still laden on the  more human element of the tale, which is the struggle of a mother who  is unable to live normally. The pacing of her life may move too fast  for the film, but the sadness and deprivation beneath those regular  troubling days are totally manifested even without extending any of its  breathing. The plot mostly concerns Amelia finding a way to overcome  Samuel's behavioral issues and her memories with the accident than  dealing with the whole supernatural threat, for sure it is trying to  build some slow burn, but even without that horror movie sense, it  still feels like they're being tormented by life.  It deliberately takes their personal grief seriously, making sure that  they actually aren't insane, and nobody else could ever understand what  they're going through. This is pretty much the most compelling view of  the film, which makes them reasonably trapped into their own  nightmares. Mister Babadook only becomes the boiling point of the  ordeal. And when it hits to the part of the real scares, it sells well  whenever the monster attacks. Instead of loud lazy jump scares, it  rather spreads away signs of his presence and its effects to the  family. His appearance has more terror if he's lurking in the shadows.  It also has a nice use of practical effects to endure its very  effective creeps. The performances of the two leads are outstanding for  bringing the real heart of the picture. Essie Davis embraces the  character, making her fear, depression, and shifting madness all  visibly genuine. Same to the young Noah Wiseman who as well gives his  character's actions some sense of anxiety.  Some horror fans might get slightly disappointed for not giving The  Babadook monster enough of the characterization he deserves. The other  story is a lot more interesting to follow than his diorama tricks, and  that is why I keep stating that the the movie is best viewed as a  gloomy fairytale about a mother and a son fighting to keep a hold of  themselves and promise to protect each other from the odds, even if the  promise doesn't always apply, than just another horror movie being  shown in our theaters. While it still has the right amount of admirably  campy scares, the film often explores to the larger and much affecting  side of the story, and that sure offers beyond than what you expect to  this stale genre.",10.0,Anonymous,Horror
Interesting...,"Don't let the movie's somewhat silly title discourage you from watching ""The Babadook"". If you like a proper horror movie that is driven by an interesting storyline and good acting then ""The Babadook"" should be on your list to watch. It doesn't, however, unlike many other horror movies, rely on shocks and to make you jump in your seat tactics. And that is what makes this horror movie stand out.The story is about widowed Amelia and her son Samuel who are trying to cope with the tragic loss of husband and father. When introduced to a children's storybook titled Mister Babadook, Samuel starts acting strange and claiming that the babadook is around him. Slowly as unexplainable things start to occur, Amelia realize that they are indeed not alone.While ""The Babadook"" is not the ultimate scarefest, then it is definitely a horror movie that you should take the time to watch, because director Jennifer Kent really managed to build up suspense slowly throughout the course of the movie. But a lot of credit goes to Essie Davis (playing Amelia) and Noah Wiseman (playing Samuel) because their acting performances were just amazing.One thing that I was missing more of in the movie was more scenes where we could have seen more of the mysterious babadook creature. Sure, having limited exposure for it adds to the suspense and mystery, but it would have been so much more entertaining if we had gotten more footage with the babadook.""The Babadook"" was a much needed addition to the horror genre. I was genuinely entertained and surprised with how good this movie actually was.",7.0,Anonymous,Horror
Great Australian horror film,"You've heard of feel-good films, well this is not one. It's creepy and disturbing pretty well all the way, a good old horror fantasy with a nod to the psychological canniness of Nightmare on Elm Street but much more economical in terms of special effects, casting and I would imagine budget. It nevertheless maintains tension and atmosphere along with some high-flying dramatic sequences from the actors which bear comparison with The Exorcist. The plot also connects nicely with the psychological and existential conflicts facing a single mother whose son's birth coincided with the tragic death of her husband, and the whole nasty Babadook phenomenon, and its unresolved outcome, can certainly be read as an allegory of this traumatic event. Maybe it's over-reading to say the film also contains a Nietszchian lesson about the importance of embracing every aspect of one's life and history, no matter how horrific - but it works for me. The acting is amazingly good from the two leads, although the supporting characters are a bit stereotyped, a directing decision presumably. Sets and locations are charged with a bleak gloom, and the colour accordingly verges on monochrome. Love the specially made children's book, and Mr Babadook's physical character, as well as the wonderfully curated vintage movie footage appearing throughout on the TV screen. And a special word for the very fine intricately crafted sound design.",8.0,Anonymous,Horror
