title,content,rating,username,genres
The Beach WILL NOT DIE TODAY,"The Beach is interesting in that some people feel that its terrible while there are others who feel that it is an unsung hero of a movie. When I first saw The Beach, back in 2000, I thought it was OK, not as bad as most people said it was. But, just like with A Life Less Ordinary, The Beach grew on me and I had to watch it again. After seeing it a few more times I really started to pick up on what was going on and realized that at the end of the film the viewer has gone through quite an adventure with Dicaprio and co. The acting, cinematography, music, and story are great and hold up after repeat viewings. The Beach is one of those movies that I watch once a year as its enjoyability never decreases. This is a very solid film that will no doubt only increase in its popularity as time goes by as fans of The Beach are quite hardcore. Even though Dany Boyle has said that he is not very proud of The Beach I believe that he's made a gross error and misjudged his work because even after all these years The Beach still has a freshness to it that most films lose while they are still in the theaters. Because of these reasons The Beach will not die today.",8.0,Anonymous,Romance
Why did it get such bad reviews here?,"This is one of the few times that I have been badly mislead by the reviews on IMDb! I avoided this film in the past because of this, but thought it would be a good ""soft"" film to watch on video with with a friend and his wife (she doesn't like difficult films).What a revelation! I understand that people who have read the book may be disappointed, but as an uneducated viewer this is a fantastic film! Novel situation, novel location (beautiful images, even though the beach was re-modeled), novel plot, novel characters (all of whom are wildly different yet possible to sympathise with - except maybe for Bugs)... this film has everything in it that I find so desperately lacking in the average Hollywood pulp I'm forced to watch with friends.And I *liked* the fact that the film made a few surprising changes in style... I hate knowing the end of a story at least an hour before it finally grinds its inevitable way there (see any ""action"" film).",8.0,Anonymous,Romance
Too High a Score?,"I thought it would be right to give The Beach an 8. It's dreamlike scenes on islands really got to me. You really felt like you were a traveler. It was also awesome how an eerie secret comes about, regarding a secret island. It adds a lot of intrigue and suspense. The scenarios that take place on the island are also well done, but I think it was the beginning that really is really appealing. Him discovering the island and getting situated.Well worth the watch. Great vacation flick with cool suspense.8 Stars",8.0,Anonymous,Romance
Looks good but is a little hollow when it comes down to it,"American back packer Richard is one of millions of travellers all looking for an unique experience.  When in Bangkok he meets the slightly deranged Daffy who leaves him with stories and a map to a beach on a remote island that can't be seen from the sea.  Taking with him 2 French travellers, Richard sets out to reach the island and finds it inhabited by a mix of people living as a small ideallic community.  However internal conflicts rise up with their arrival and a copy of the map that he gave to some friends threaten to expose the paradise community for it's darker roots.While I know that the critics were a little hard on this film when it came out, my main reason for not going to see it was a feeling of total apathy towards it.  I wasn't interested in the story, have never read the book and didn't feel I had to see it because of either the big name star or the famous British team behind it.  On television (for free) though, is a different matter and I gave it a go.  Firstly the film does look great; I know there are tales of environmental damage to the area but it does look like paradise and is very lush.  Director Boyle's direction is visually good too  whether it be drawing style from scenes or contrasting the city with the island or doing imaginative things like computer game style images, he does work well.The plot is good on paper but isn't as well brought through.  Richard's journey and initial settling into the island is involving and interesting but the main plot is really in the second half which is also where it becomes a weaker film. The film clearly is building into a teenage Hearts of Darkness type story where the DIY civilisation leads to cruelty and madness  this aim can be seen in an early scene where tourists sit watching Apocalypse Now in a waiting area.  However his descent into madness is less well done and less convincing than Brando's.  It all happens to quickly and, although with brutal consequences, it really needed to be seen to be more of a gradual distancing from the norm rather than a sudden leap into an abyss.DiCaprio is not an actor that I particularly like or enjoy to watch but he is pretty good here.  The fact that this film did as well as it did (in terms of box office) is probably mostly down to his star power, but he also gives a good performance.  His madness is well portrayed and it's not his fault the film requires him to suddenly switch the way he does.  Swinton is better as Sal, her `madness' is more subtle and is continual rather than sudden.  The mix of multinational unknowns in the support roles are all good  even if, with so many good looking young people, it does feel a little like a music video shoot at times.Overall I enjoyed the film even if it never got as involving as I hoped it would.  The story lacks punch and point  a fact that can be seen in a very weak ending which was a real wash out in my opinion  but it is still good enough to watch once.  The whole thing looks great and DiCaprio's star power and charisma helps keep the audience with him, it's just that the actual story doesn't quite have the rich feeling or depth that the tourist-film location does.",,Anonymous,Romance
"Pretty good, despite all the bad reviews I've read","I went to this one, knowing that it could be crap, but hey, I do not care what others think and once again this way of thinking did not prove me wrong.This flick is basically about a young twenty who goes away on a trip to Thailand by himself, because he wants to forget his past. There he meets a loony (Robert Carlyle) who gives him a map to a secret paradise. He asks two strangers, Françoise (Virginie Ledoyen who was really great in her first big American Film and good looking too by the way) and Etienne (Guillaume Canet) to come and join them.After they have found the island they meet an alternative group who lives there and they join them, but after a while problems evolve and a minor 'hell' breaks loose.This is the plain story-line of the movie, but there is so much more to it, it has a message and that really is what fascinated me a lot in the beginning and at the end. There was a good story there, but the way it was brought over, never really losing the actual message out of sight. Now believe me the direction, the soundtrack and the cast are good. There also is a bit gore, but it fits good in the movie and is not unnecessary.Yet this film is not flawless, it was good entertainment over all, yes and it was very good in the beginning and in the end, but in the middle when Richard (Leonardo DiCaprio) loses it, so does the film and that is a shame. It is just too weird, too long and too incomprehensible (in the sense that the viewer himself doesn't know if it is real or not). It could have been so much better, but I guess it had to be.NO MUST SEE BUT DEFINATELY WORTH A TRIP TO THE VIDEOSTORE OR TO THE CINEMA AT A DISCOUNT!!!!!!!!7 out of 10P.S. Don't agree?????, sue me!!!!!!!!!!! or mail me (see above)",7.0,Anonymous,Romance
Lost,"Paradise - the search of it. Where are we at home? Could we live anywhere? Could we do without all the technical gadgets? I'm not saying living alone (though for some that may be the way to do and live it), but living without certain things that make life ""easier"" ... or at least that is how we perceive it.Nature can be quite the enticing thing. And it is in this movie too. The Beach that lends the movie the title is quite the sight. And for a vacation spot ... I mean you could do far worse. Now there had been rumors that the filming was done on a beach or in a place that was supposed to not be touched by western civilization ... I remember Leonardo DiCaprio getting quite a lot of heat because some activists were not happy with him.I can't confirm if they actually loitered or ruined nature in one way or another. If that really interests you, you surely will know a way to find out. I just thought I give an insentive to those who are interested in behind the scenes thing - real or not. Then there is also those who may take offense in the portrayal of certain animals (feeding into our fears and portraying them way more evil than they actually are - talking sharks here).The movie itself is quite the decent thriller. Because the Paradise is not all fun and games. It is also filled with cliches and quite the predictable plot. Still the movie knows to hold up its tension and has quite a few gruesome moments too (graphic violence that is). Not a bad movie then, but not a masterpiece either in my book (while I came to finally admire Leo, his character here is not as relatable - choices and such. There's a general detachment from it all)",7.0,Anonymous,Romance
Do not miss this movie just because of its low rating,"Recently a friend of mine watched ""The Beach"" after I told him my favorite quote (i.e. ""Never refuse an invitation, never resist the unfamiliar, never cease to be polite, and never outstay your welcome""). He enjoyed the movie a whole lot and told me he hadn't watched it before because of it's low IMDb rating. That's when I decided to register here and post a comment - I hope I help someone else to watch the movie because it is worth a watch. What I personally like so much about this movie is that it is not just plain vanilla. It actually makes sense and can be a starting point for new thoughts and ideas - something I truly appreciate in a movie.",10.0,Anonymous,Romance
"Promising start, let down as it progresses","I enjoyed the first half, even two thirds of this movie. It seems to set up an interesting reflection on the fallacy of 'splendid isolation' and 'ignorance is bliss' ways of approaching the unpleasant things about the world as represented by the grimy, noisy nightlife of Bangkok.However, it never quite delivers on this and with the final act fails to stick the landing in terms of hammering home the (what seemed to be) point that burying your head in the sand (no pun intended) is not sustainable and indulging in selfishness/hedonism will always ultimately hurt other people. There are also some weird non-sequiturs with some very dated graphics that really age the movie, although I appreciate they were trying to draw parallels between the pitfalls of becoming lost in virtual worlds and the paradise of the eponymous beach.Most of the performances are fine, although Di Caprio's screaming can get a little annoying at times. Another issue is the fact that, despite being set in Thailand, the only Thai characters we see are presented as violent thugs or stereotypically happy tourist workers - I don't know if that was sort of the point; that only wealthy, (mostly) white westerners were the ones luxuriating in the 'paradise' of the beach, but it feels more like an oversight. Overall it's fine, but no need to go out of your way to watch this one.",6.0,Anonymous,Romance
"Starts out interesting, but half way through it simply implodes as a mediocre, silly plot about teenagers on holiday...","The good:
The music is great. The beach scenery is gorgeous and beautifully photographed. Actors are good. What's not to like? Even this story starts out interesting at first, but after 45 minutes things definitely turn sour:The bad:
After 45 minutes into the story, suddenly there are several ridiculous plot turns that are quite laughable and spoil the final part of this movie.Recommended only for teenagers or anyone else dreaming of a far away paradise island, where the inhabitants do nothing else but partying all night long. Take a chance of watching it if you are a diehard Leonardo di Caprio fan. Other folks might wanna avoid this teenage party flick...",5.0,Anonymous,Romance
Unfairly Panned; A Good Movie,"Here is another of those films that got panned by critics all over the place, but I liked the movie and thought it was unfairly criticized.Two things are not up for debate: the film is entertaining and the cinematography is gorgeous.Leonardo DiCaprio's lead character is not particularly likable, but that's nothing new for him. He's good at playing the boyish, cocky immature type. He's also good at narration, which he provides here, as he has in a number of other films. In fact, I wish there were more of it in here.French actress Virginie Ledoyen is a new face to me, and a pretty one. I found her intriguing, and not just because of her face Actually, all the characters were pretty darn interesting in this film and you get a varied group.The scenery from Thailand is magnificent. By the way, ""the beach"" that's in this film really exists, just as it's seen here. The story is interesting, too, for the full two hours. My only complaint was that they might have toned down the language, particularly with all the f-words.Don't listen to those national critics who blasted this. I think you'll be entertained.",9.0,Anonymous,Romance
Read the Book,Well - Where do I start... A classic story written by Alex Garland - Destroyed by Danny Boyle & co. It would take a long time to pick my way through the debris of this particular shambles so I shall narrow it down to what I see as the main critical flaws that sank Leo's latest water borne epic 1. The movie has been aimed squarely at a teen market hence you get style over content - The beautiful people in paradise hanging out with a highly commercial soundtrack and a Top Shop tie in on the fashion side2. The removal of the deep cynicism evident in Garlands novel - Read the book  - you will find it very hard to find a sympathetic character.3. Richards(Leo) fascination with the whole 'Nam pop culture - this is throw in as an afterthought in the last 25 minutes of the film(apart from a fleeting glimpse of Apocalypse Now in the opening reel)and falls completely flat - what we get is comical( check out Leo as he does his best Cat. Willard impressions - hilarious!4. The love interest. Okay - this I can understand purely for its commercial reasons - it has a bums on seats factor. But it damages a vital part of the book - Richard never gets it together with Francois let alone Sal hence there is an unspoken tension in the air which adds to Richards isolation and his descent into 'Nam paranoia. Enough! If you want the real experience read the book - if you want a very cheap facsimile go see Leo and the gang...3/10,1.0,Anonymous,Romance
